8/5k2/3P4/2p1P1P1/1pK4p/8/1P6/8 w - -,g5g6
rnb2rk1/ppp1qpp1/4p2p/3n4/3P4/1QN2N2/PP2PPPP/R3KB1R b KQ -,f8d8
r1b2r2/4qpbk/pp1p1npp/4n2P/P2NP3/1B4N1/1P3PP1/R1BQR1K1 b - -,f6g4
5k2/8/5K1P/5N2/6p1/8/8/8 b - -,f8g8
r1q2rk1/pp1bpp2/n2p2p1/2pP4/2Pb2P1/2N5/PP1NP1B1/R1BQ1RK1 w - -,g1h1
rnbqkb1r/p1p2ppp/1p2p2n/3pP3/3P1P2/2N1BN2/PPP3PP/R2QKB1R b KQkq -,c7c5
6k1/p5p1/1p4Qp/3p4/3P3N/P6P/5qPK/2r5 w - -,h4f5
6k1/pp1b1rrp/1q2p3/4Q3/1PR1B3/P7/5PPP/5RK1 b - -,d7e8
8/1p2k3/1rpRb1p1/p1n1P1Pp/2BR1p2/1P5P/P5PK/8 w - -,d4f4
2b1r2r/1p3pkp/p1p3n1/3pPB1Q/1P1P4/P7/7R/6K1 w - -,h5h6
8/8/5Bp1/3p1p2/2p1b2P/2P1K3/8/5k2 w - -,f6g5
1k1b4/1p1q1p2/3p1p2/p2N4/1P2Q2P/1P6/2P4r/1K1R4 w - -,e4f4
4rrk1/p4pp1/1p1p3p/2pP4/2P1Bq2/2P5/PR2Q2P/4R2K w - -,e2g2
r1bqk2r/pp2bpp1/2np1n1p/4p3/4P3/1NN1B3/PPP1BPPP/R2QK2R w KQkq -,d1d2
8/6k1/8/4R1P1/3KBP1P/6r1/8/8 b - -,g3g4
r1bqr1k1/1p2np1p/p2p2p1/P1pN4/8/2PB4/2P2PPP/R1BQ1RK1 b - -,e7d5
8/8/1k1r2p1/R4p1p/1p3P1P/6P1/R1r1K3/8 w - -,a2c2
r5k1/1b2p1bp/3p2p1/2q1r3/2P5/NQ3P2/PP4PP/1R1R1B1K b - -,b7c6
2r5/k2r1pq1/pp2p3/2p1b1P1/4B1P1/P1PPQ2R/1P6/1K3R2 b - -,c8h8
rn1q1rk1/pp2ppbp/2p1bnp1/8/2pP1B2/1QNBPN2/PP3PPP/R3K2R w KQ -,d3c4
6k1/4B3/2p2PK1/p3N3/4r1P1/1b6/1P6/8 w - -,e7d6
r4k1r/1b2pPb1/pq3n2/2p1n1p1/1pN1P3/6NP/PPP1Q1B1/R1B2R1K b - -,e5c4
r3kb1r/1p1n1ppp/p2p1n2/4pP2/4P3/1NN1B3/PPP1K1PP/R6R w kq -,a2a4
r1bqnrk1/p1p1n1b1/1p1p4/BNPPp1pp/4Pp2/3N1P2/PP2B1PP/2RQ1RK1 w - -,c5d6
r4rk1/ppq2ppp/2npb1n1/1Bp1p1b1/4P3/P1PP2N1/1P3PPP/R1BQR1K1 w - -,c1g5
8/8/4B3/4p1k1/4P2p/5P1K/3n4/8 w - -,h3g2
8/2k5/K7/P7/8/7R/5b2/8 w - -,h3f3
6k1/4R2p/p2Npp2/1p1r4/8/4K3/PPP4P/8 b - -,d5d6
2r1brk1/pp2b1pp/1qn1p3/3pPp2/3P1P2/P1N1BR2/QP1N2PP/R5K1 w - -,c3a4
r1b1r1k1/1p2pp1p/pn1p2p1/q1pP3n/P3P3/2Q2N1P/1PP1BPPB/R4RK1 b - -,a5c3
2q3k1/5rbp/1R3pp1/1pr1p3/3pP3/3p2PP/1QP2PBN/1R4K1 w - -,c2d3
6k1/3Rr2p/8/p4p2/1p6/2P5/PPKR1rPP/8 b - -,f2d2
r1bq1rk1/p3bpp1/n1p2n1p/1p1p4/3P3B/2NBPP2/PPQ3PP/R3K1NR w KQ -,c2d2
3r2k1/1p1r1pp1/p2pq2p/3R4/PP1R4/3QP1PP/5PK1/8 b - -,e6e7
r1b1k2r/1pp1nppp/p2p2q1/4n3/3NP1P1/2P1BP2/P1PQB2P/R3K2R b KQkq -,c8d7
2b1r1k1/1p1nqppp/2p5/8/1P1Pp3/r1N1P3/2QN1PPP/1R3RK1 b - -,d7f6
rn1qkb1r/pp3ppp/2pp1n2/4p3/2PPP1b1/2N2N2/PP2BPPP/R1BQK2R b KQkq -,b8d7
4R3/pp4kp/6b1/2BP4/6R1/4P1K1/5rBP/4b3 b - -,f2f5
3q1rk1/pb3pp1/1p1b3p/2np4/3B4/1P1BPN2/P4PPP/1QR3K1 w - -,d3h7
8/8/3k1p1p/2pb4/7P/4K3/4BP2/8 w - -,e2d3
r1bqnrk1/pp3pbp/6p1/2pPp3/4PB2/2N4P/PP2BPP1/R2Q1RK1 w - -,f4e3
2r1r1k1/2q1bpp1/pp3n1p/3bp3/P3P3/4B1PP/1PPRQ1BK/5R2 w - -,e4d5
8/5r2/P1Q5/2P4k/6p1/1P2r1K1/2P5/8 w - -,g3g2
1k1r1bnr/ppp3pp/8/3Npp2/1P1q4/3P1B1P/P1P2PP1/1R1Q1RK1 b - -,g8f6
4r1k1/1b3pp1/3p1q1p/p3rP2/1p1Q4/1B5P/PPPR2P1/5RK1 b - -,f6g5
8/6k1/6p1/1p2r2p/p6P/P2R2P1/1P3P2/5K2 b - -,g7f6
5rk1/1R2Q1b1/2Bp1qp1/p2P3p/P1P1p3/4B2P/4n1PK/8 w - -,e7e6
8/1r6/p2B4/P2p4/1P1Pk3/4P3/3K4/8 b - -,b7g7
2r3r1/pp2p2k/7p/5N2/3Bnp2/P1Pb3P/2P5/1K3R2 w - -,c2d3
r1bqkbnr/pp2pp1p/2n3p1/2ppP3/3P4/2P5/PP2NPPP/RNBQKB1R w KQkq -,e2f4
8/pp3pk1/2p2qp1/2p4r/3rPp2/2QP1P2/PPP3P1/1R2R1K1 b - -,f6h4
rn1q1rk1/1b2bppp/pp2pn2/2pp4/2P5/1PN1PNP1/PB1P1PBP/R2Q1RK1 w - d6,d2d3
5k2/2q1bp2/2p1pp1r/p6p/2P4B/1P3Q1P/P4PP1/3R2K1 w - -,h4g3
8/4q1bk/1p4p1/p2Qp2p/2P3P1/6K1/PP5R/8 b - -,g7h6
8/1B5p/p2rn2k/4qp2/8/7P/P4PP1/2Q2R1K b - -,e5f4
r1b2rk1/1pp1qpbp/1nn3p1/4p3/p3N3/P2PPN2/1PQ1BPPP/R1B2RK1 w - -,c1d2
1r2bk2/p1R2p2/4pNp1/3pP1Np/P2n3P/1P3PPK/8/8 b - a3,f8g7
6k1/pp1b4/6p1/3pB2p/3N2P1/1Pb1K2P/P1P5/8 w - h6,e3f4
2b2rk1/6b1/3p3p/1p1Pp1qn/p4p2/P2N1P2/1P1Q1BPP/1B3RK1 w - -,g1h1
r5k1/pp1br2p/2n1pnp1/q2p2N1/2pP1P2/P1P5/2PBB1PP/R2Q1RK1 w - -,e2f3
5rk1/p4p1p/4pQp1/8/6N1/5PK1/1r1pq2P/3R4 b - -,h7h5
r3kb1r/pp3ppp/1qn1p3/3p1b2/2pP1P2/2P2N2/PP1NBPPP/R1Q1K2R b KQkq -,f8d6
6k1/2pr1pp1/7p/p3r3/8/1P1P2PP/PN2PP2/2R2K2 b - -,e5h5
4k3/R2n1p1p/p7/P3p3/2K2p2/7P/6r1/3N4 w - -,d1c3
2kr1b1r/ppp1pppp/5n2/8/1Q1Pq1P1/4B2P/PPP1NP2/R3K2R w KQ -,e1c1
r1b1q3/ppp2rbk/7p/5n2/2Pp2PN/1P6/P4PBP/R2Q1RK1 w - -,d1d3
6k1/p1q2ppp/1p2P3/2b1P3/2P5/P7/6KP/R4R2 b - -,c7c6
8/p4kp1/2n4p/1p3P2/8/2N2PK1/7P/2B5 b - -,b5b4
rnb1kb1r/pp2qpp1/2pp1n1p/4p3/P1B1P3/2N2N2/1PPP1PPP/R1BQ1RK1 w kq -,d2d4
r1b1kb1r/2qn1ppp/p1p5/2ppp3/8/1P1PPN2/PBP2PPP/RN1QK2R w KQkq e6,b1d2
rnbqk2r/ppp1bppp/4pn2/8/2PPP3/P1N5/1P4PP/R1BQKBNR b KQkq -,e6e5
r1b2rk1/1pq2pbp/5np1/p3p1B1/P3p3/1NPQ3P/1P1N1PP1/R4RK1 w - -,d2e4
8/p5bP/k7/4p3/4p1p1/8/3BKP2/8 w - -,e2e3
1rbq1rk1/4npbp/ppnpp1p1/2p5/P1P1P3/2NP1NP1/1P1B1PBP/R2QR1K1 w - -,a1b1
r1b2rk1/1p2q1pp/2pbp3/p2p4/2PPp1n1/PPN1P1P1/1B2QPBP/R4RK1 b - -,e7g5
3rk2r/1b3p1p/pq1ppPp1/1p6/5P2/2PB4/PP2Q1PP/3R1R1K w k -,d3e4
3qrbk1/pp3ppp/2p2n2/2n5/4P3/2N1B1PP/PPQ2PB1/4R1K1 w - -,b2b3
r1bq1rk1/pp3pbp/6p1/3p4/2N2Qn1/2P5/PPB1N1PP/3RK2R b K -,d8h4
3r4/5kp1/6p1/1r6/8/5P2/4RKPP/4N3 w - -,e1c2
4rb1k/5q2/p1p1rn1n/P3p2p/1PN1P1p1/2B2BPP/3RQ3/3R2K1 w - -,f3g2
8/2q1pk2/1p3p1r/p1pPpP2/P1P1P2p/1P1Q3P/4R2K/6r1 w - -,h2g1
2r3k1/6p1/1p5p/p1qPQ2P/5P2/1R4P1/PPr5/4R1K1 w - -,b3e3
4r2k/7p/4b3/3B4/2Pb2p1/6P1/7P/1R5K w - -,b1d1
2R2b2/r5kp/p2pB1p1/Bb1Pp3/1P6/6P1/5P1P/6K1 b - -,a7e7
8/7p/pp3p2/8/3kb1P1/1P4PP/P2K4/4N3 w - -,a2a4
2r2r1k/p6p/8/4P1q1/1p3R2/8/PPQ3BP/5RK1 b - -,c8c2
2q1rnk1/4r3/b7/p2P2p1/2pQNp2/4P3/2B2PPB/4R1K1 b - -,e7e4
2k5/4pp2/7n/2p1PP1p/1pK1B3/1P2bN1P/2P5/8 w - -,c4d5
3n3Q/1p2k2p/2p3p1/p1q5/P1N5/1P5P/6P1/6K1 w - -,g1h1
8/2r1kp2/p5p1/1p2r3/P1P4P/4P3/2R1K3/1R6 b - a3,b5c4
5n2/1N3k2/p7/8/8/PP2K3/8/8 b - -,f7e7
3r2r1/1p2kp2/p1n2p1p/4pB2/1P6/2P5/1P2KPPP/R2R4 w - -,g2g3
r2qkb1r/pb1p3p/np1Pp1p1/1Np1Pp2/5QP1/P2B1N2/1PP2P1P/R3K2R w KQkq -,g4f5
3rq1k1/p4p2/6p1/3Q3p/7P/P3B3/Rb3PP1/5K2 w - -,d5b3
2rr2k1/p4pp1/1p3bN1/2pp1q1p/3Pn2P/1P1QPNP1/P4PK1/B1RR4 b - -,f7g6
4qr2/1p5k/p2prnp1/2p2p1p/4P2P/P1PP4/1P2Q1P1/2B1RRK1 w - -,e2d2
7k/pp4rn/2pp1Qq1/8/2PPN2R/8/PP6/2K5 w - -,f6f8
7k/1p4bp/p1p1N3/8/PP6/6P1/2nB3P/7K b - -,h8g8
2r1n3/Rp3k2/2b1Np2/1BBp1P1p/4p3/6KP/8/8 b - -,e8c7
4rr1k/RP4bp/8/6p1/5p1q/5Q2/1P3PP1/2B2RK1 b - -,g7e5
8/2p5/p1p1kpp1/1pP3p1/1P1PK1P1/P6P/8/8 w - -,e4d3
r7/p1k2ppp/2n1p3/3r4/2N1R3/4B2P/2P2PP1/6K1 b - -,a7a5
r2qk2r/pp1bbppp/2n1p3/2p5/6P1/2NPB2P/PPP2PB1/R2QK2R w KQkq -,e1g1
1R2K3/2bPB2p/6p1/3k4/2p5/1r6/6PP/8 w - -,b8c8
8/5R1p/8/4p1P1/5p1r/5k2/3r4/1R4K1 w - -,b1b3
1Q6/2p5/5n2/2P4k/3P4/P3P3/1K1B2qP/8 w - -,b2c3
4r3/p2bq2p/3p1nk1/2pP1p2/2P2PP1/P4Q1P/7K/B4RN1 w - -,f3c3
1r2r3/pp3pk1/2p5/q4P2/7Q/1Bp3n1/1PP2PP1/5RK1 w - -,f5f6
8/3k1r2/1bn1p3/1p1pB3/pP1P1NPp/P4K1P/2R5/8 w - -,c2c6
3r1rk1/pppqppbp/1nn1b1p1/2N1P3/3P4/4BN1P/PP2BPP1/R2QK2R b KQ -,d7c8
r7/p1q3k1/2pbrNPn/1p2Pp2/3p1P2/1P1N4/P1P1Q1K1/R3R3 b - -,d6e7
3r1rk1/1p5p/p1p3p1/4P2B/1P6/1R4P1/5P2/5RK1 b - -,g6h5
r1b2rk1/1p2bppp/2ppn3/p1n5/P3P3/2N1BN1P/BPP2PP1/3RR1K1 w - a6,f3d4
1nq1r3/5k2/p3pnpp/Npr2p2/8/P1P1R1B1/1P4PP/3RQ2K w - -,a5b3
2q1kb2/1b3ppr/p2pp3/7P/1prBPP2/P1N3R1/1PP1Q3/2KR4 w - -,a3b4
r4rk1/3npp2/7q/p2Pp2p/P1Q1N1p1/2P5/4R1PP/5R1K w - -,c4c7
r3r1k1/p4pbp/bp1q1np1/2pNp3/2PNP1P1/1P2B2P/P2Q1PB1/3RR1K1 b - -,c5d4
1k6/6p1/4R2p/1pBp4/1P2p2P/6P1/2PK3r/8 w - -,d2c3
r1bq1rk1/5p1p/p2ppnpQ/2pP4/2p1P2P/2N2PN1/PP4P1/R3K2R w KQ -,d5e6
1q3r2/1R1Q1pkp/3pp1pn/8/8/3P1BPP/4PP2/6K1 b - -,b8c8
r1bq1rk1/ppp1bppp/3p4/4N3/8/2P1B3/PPPQ1PPP/2KR1B1R b - -,d6e5
1rr3k1/1p2ppbp/p2pbnp1/8/2P1P3/1P3B2/P2BNPPP/2R2RK1 b - -,e6g4
r1b2b1r/5kp1/3pp2p/p1n5/1pqNP2P/4BPN1/PPPQ4/1K1R3R w - -,h1g1
r1n1k2r/ppqnbppp/2p1p3/P3P3/3P1PP1/1BN5/1P4KP/R1BQ1R2 b kq -,e7b4
r1r3k1/5p1p/2p2np1/p1Pp1b2/5B2/1PR2PP1/4P1BP/R5K1 b - -,d5d4
8/1pb2k2/p1p1bpp1/4p2p/P3P3/2P1BPP1/1PB2K1P/8 b - -,f6f5
8/qr2bpk1/p2p2pp/2pNp3/2P4P/R5P1/PPQ1PPK1/8 b - -,e7d8
r1b1r1k1/1p2qppp/2p1nn2/p1p1p3/2P1P3/P2PB1PP/1PQ1NP2/R3KB1R b KQ -,b7b5
8/4k3/4B1K1/6p1/8/7P/8/8 w - -,g6g5
5rk1/q3ppbp/3p2p1/1p1PP1B1/nP3P2/7P/3Q1NP1/4R2K b - -,f7f6
3r1rk1/p1q1n1pp/PNn1bp2/1Q2p3/8/2P1B1P1/4PPBP/R2R2K1 w - -,b6d5
8/8/3b4/1p5p/5p1P/2Pk1P2/2bB1K2/5N2 w - -,f2e1
r3k2r/ppq2ppp/2p1p1b1/2b1P3/PnB1PP2/2N4P/1P2Q1P1/R1B2RK1 w kq -,g1h1
r2qkb1r/pp3ppp/2n5/3P4/3p2b1/6Q1/PP2PPBP/R1B1K1NR b KQkq -,c6b4
rnb2rk1/ppppqppp/4p3/8/2PPn3/2B2N2/PP2PPPP/2RQKB1R w K -,e2e3
5r1k/5p1p/p7/2R2p1Q/1pB1P3/1P3P1R/1q2K2P/8 w - -,e2e3
r1b1k2r/1p2bppp/p2qpn2/4n3/2PN4/2N4P/PP2BPP1/R1BQ1RK1 w kq -,c1e3
rnb1k1nr/pp2pp1p/3p2p1/2q5/4P3/2PB4/P1PBNPPP/R2QK2R b KQkq -,g8f6
1r6/1r3ppk/4q2p/3pP1bP/2pB4/5RQ1/6PK/R7 b - -,b7b3
rnbqkbnr/pp3pp1/7p/2pp4/3P4/6P1/PPPN1P1P/R1BQKBNR w KQkq -,d4c5
1brr2k1/p2q1pp1/1pp1pnp1/3p1n2/2PPP3/1PNQ2PP/PB3PBK/2RR4 b - -,d5e4
rnb2rk1/1pp1qppp/3p1n2/p2Pp3/2P5/P3PN2/1PQ1BPPP/R1B2RK1 w - -,e3e4
1qr2r2/pb4k1/1pnp1p2/4pPP1/2P1P3/1P3B2/P2Q2P1/R4RK1 w - -,g5f6
6k1/5p1p/4b1p1/8/2P1P1P1/p3Nr2/5PK1/R7 b - -,f3e3
rn3rk1/p1qb1pp1/4p1p1/1p1P4/2pQP3/B1P5/4BPPP/R4RK1 b - -,f8e8
rn2k1nr/pp1b1ppp/1q2p3/2bpP3/3N4/2PB4/PP3PPP/RNBQ1RK1 b kq -,g8e7
8/3k4/3b3p/5Pp1/1Pb3P1/2pB2P1/5K2/8 w - -,d3c2
1r3rk1/1q3ppb/p4n1p/Ppb2P2/8/1Q4NP/1P1B2PN/2R2BK1 w - -,c1c5
8/4k3/3R1p2/1KPp2r1/3P4/8/8/8 b - -,g5h5
r3r1k1/bpp2pp1/p1n1qn1p/5b2/2P1p3/BPN1P1PP/P1QN1PB1/3R1RK1 w - -,g3g4
4kr2/4pp2/6p1/6N1/2b3PQ/8/3R1KP1/q7 b - -,a1f1
r2qkb1r/pb1n1ppp/1p1pp1n1/2p3B1/3PP3/N1PB1N2/PP2QPPP/R4RK1 b kq -,f8e7
2br3k/6b1/3r1p2/1PN1p2p/4P3/4B2P/R5P1/2R4K w - h6,c1b1
r1bqk2r/pp2nppp/1bn5/1B1p4/5B2/1N6/PPP1NPPP/R2Q1RK1 b kq -,e8g8
6k1/3R1p1p/B3pbp1/1pr5/5P2/4n1P1/P2R3P/6K1 b - -,b5b4
r4k2/2R1pp2/3p2pp/pp1P4/5P2/1PB1P1PP/8/b4BK1 b - -,a1c3
1k1r1r2/7p/1b3p2/4p3/8/NP3NP1/2K4P/4R3 b - -,b6c7
r1b2rk1/1p1n1ppp/p7/3Ppq2/5P2/1Q6/PP1B2PP/2R2K1R b - -,f5f6
r1bq1rk1/ppp1n1bp/3p1np1/3Ppp2/1PP1P3/2N1BP2/P2NB1PP/R2QK2R w KQ -,a1c1
3r1rk1/p4p1p/1p2pQp1/4Pn2/8/PP2q3/1BP2RPP/5RK1 b - -,f5d4
8/3k4/2p3R1/p3B3/8/5P2/2r3P1/6K1 w - -,g6d6
6R1/8/8/5pk1/5npp/4K3/8/8 b - -,f4g6
1r1qrbk1/3n1pp1/p1npb2N/4p2p/Pp2P3/3PN1QP/1PBB1PP1/R3R1K1 b - -,g8h7
r1bq1rk1/3nbppp/p1p1pn2/1p4B1/3P4/2NBPN2/PP3PPP/2RQ1RK1 b - -,c6c5
r2r2k1/p3bppp/1qp1pn2/8/8/2PBB3/PP2QPPP/R2R2K1 b - -,e7c5
r2q1rk1/2n1ppbp/4b1p1/p2n4/3P4/PQN3P1/1P2NPBP/R1B1K2R w KQ -,b3d1
1r3r2/R4pbk/3pb1p1/pp1N3p/3Pp2P/P4PP1/3KN1B1/R7 w - -,f3e4
4r1r1/pp3N1k/2p4q/3p1b1p/3P3P/1P4R1/P4RK1/8 w - -,f7h6
r1b1r1k1/1pp2ppp/p4b2/4n3/8/1NP1B2P/PP2BPP1/R2R2K1 b - -,b7b6
r1b2r2/1pqnppkp/p2p1np1/2pP4/P1B1P3/1NN5/1PPQ1PPP/R4RK1 b - -,a8b8
8/7p/3kn1p1/4pp2/1NP4P/2K3P1/5P2/8 w - f6,b4d3
2rr2k1/5ppp/P2pbn2/1B2n3/Pq1NPP2/1P4QP/1B4P1/3R3K b - -,f6e4
r1r3k1/1p2ppbp/p2n2p1/3Pp3/4P3/N3BP2/PP4PP/2R2RK1 b - -,f7f5
br3rk1/2q2pp1/3ppb1p/8/1p1NP3/5Q1P/1PPR1PP1/R2N2K1 w - -,f3d3
r1bq1rk1/4npb1/p2p3p/1p4p1/2P1P3/2p2NBP/P1B2PP1/R2Q1RK1 w - -,g3d6
5b2/R2r4/q2k3p/1P1p1p2/2pP1N2/1r6/6B1/R6K w - -,a1a6
1r2kb1r/p1pqppp1/3p1n1p/1P1P4/Q3b3/5NP1/PP2PPBP/R1B2RK1 w k -,a4a7
8/8/7p/6p1/3k2P1/P2R3P/2P1K3/r7 b - -,d4e4
r2qkb1r/pppnpppp/5nb1/3p4/7N/2PP4/PP1NPPPP/R1BQKB1R w KQkq -,g2g3
r1bqk2r/ppp3pp/2n1pp2/3pP3/1b1P4/P1NB1N2/1PPQ1PPP/R3K2R b KQkq -,b4e7
1krr4/4bpp1/p1q1p1p1/1p2P3/3P2P1/2N1B2P/PP3P2/R2Q2K1 w - -,a2a3
7n/7P/pp1k2p1/2pB2P1/P1P1K3/8/8/8 b - -,d6d7
rnbr2k1/5ppp/p2b1n2/1pq5/3Np3/1PN1P2P/PB2BPP1/R1Q2RK1 w - -,f2f4
r5k1/2rbbppp/1q2p3/3pP3/p2N4/1PB3P1/P1RQ1PKP/2R5 w - -,c3b2
2rq1rk1/3n1ppp/p3p3/P1bb4/1pNNn3/1P2P3/3BBPPP/R3QRK1 b - -,e4d2
b4rk1/3q1ppp/p3p3/P3P3/1r1p1PP1/1N1Q4/1K1B3P/R1R5 b - -,b4b5
5k2/5p1p/4b1p1/1R6/p7/3BK3/r4PPP/8 w - -,b5b4
rnbqk1nr/pp3p1p/3pp1p1/2p5/4P3/3PB1P1/PbPN1PBP/R2QK1NR w KQkq -,a1b1
r2q1rk1/pp2npbp/3p2p1/2p1p3/2Pn2b1/2NP1NP1/PP1BPPBP/R1Q1R1K1 w - -,f3d4
2rqkb1r/1p3ppp/p1n5/2pp1b2/3Pn3/PQN1PN2/1P2BPPP/R1B1R1K1 b k -,c5c4
r1bqr1k1/pppp1ppp/5n2/8/2PN1P1n/2P1PB2/P5PP/R1BQ1RK1 w - -,f3e2
8/3k4/5p2/1Kp1pP2/2n1P3/1p4N1/8/8 w - -,g3e2
