5b2/6k1/6p1/8/rpN1K1P1/5R2/8/8 w - -,e4d5
r2qk2r/4nppp/p1pp1n2/2b1p1B1/8/3P2PP/PPP1NPB1/R2Q1RK1 b kq -,d6d5
rn1qkbnr/pp2pppp/2p5/3p1bB1/3P4/4P3/PPP2PPP/RN1QKBNR w KQkq -,c2c3:g2g4
r1br2k1/pp2qppp/4p3/1PP1Qn2/3Pp3/PN6/5PPP/3RKB1R b K -,a7a6
r1q1r1k1/ppp2ppp/3P4/1P6/3p4/P3B1Pb/4PP1P/2QR1RK1 w - -,d1d4
8/6k1/4Bp2/R6p/4P3/p7/5K2/r7 b - -,g7g6
r3r1k1/1p5p/b1p2pp1/2Pp4/PR1P1P2/R3N1P1/5K1P/8 b - -,h7h5
5k2/1p3rp1/2n1p3/p2pP1p1/3P2P1/P3KB2/1P5P/3R4 w - -,d1d3
1r1q1rk1/1pp1ppbp/p1np2p1/5b2/Q1PPn3/2N1BNP1/PP2PPBP/R2R2K1 w - -,f3h4
r4rk1/pbq1bpp1/1p2p2p/2pnn3/2N5/2PP2P1/PP2QPBP/R1B1R1K1 w - -,c4e5
r4rk1/1b2bppp/pq2pn2/1p1n4/3PN2P/P2Q1N2/1P3PP1/RBB1R1K1 w - -,e4g5
3R4/r4kp1/4P3/1p3P1P/1np3p1/r3N3/p5K1/R7 b - -,f7f6
5bk1/3Q2p1/p7/2p2P2/2Np1q2/1P6/5PPK/1B6 w - -,h2h3
1n5r/b1Rn1kp1/p3p2p/1p1pPp1N/1B1P3P/P7/1P4P1/4KB2 b - -,a7b6
2k1rb1r/pbpp2pp/1np1q3/4P3/2P1Q3/1PNB4/PB4PP/2KR3R b - -,f8d6
2r2r1k/1p2q1bp/5np1/p3p1B1/Nn1p2P1/2P2N1P/bP2BP2/1Q1R1RK1 w - -,b1a1
2b1r1k1/3n1pbp/p2B2p1/1r1P4/Q1N5/2q1P2P/5PP1/2R1RBK1 b - -,c3f6
r1b4k/pp2q3/2p3p1/4p1N1/2pbP1P1/2P5/PP2QP2/1KBN4 b - -,d4c5
8/5B2/3k1ppp/8/P4P2/2b1PK2/7P/8 b - -,g6g5
r3rb2/3n1k1p/2p1bpp1/p1p1p3/N1P1P3/1P1N3P/PR2BPP1/3R2K1 w - -,g1h2
r1b2rk1/ppN1qppp/2n2n2/4p1B1/1bp5/4PN2/PPQ1BPPP/3R1K1R w - -,c7a8
7r/8/3p1k2/2pP4/4Pp2/2P2P1p/5K1R/8 b - -,f6g5
7k/1p1n2p1/3P1n1p/4pP2/1b2N1P1/3B3P/r5K1/B2R4 w - -,g2f3
8/3PK3/8/4k3/8/8/6p1/8 w - -,d7d8q
6qk/p3p1rp/1p2Pp2/2pPb2Q/2P1P1pR/6P1/P6P/1R5K b - -,e5d6
6k1/3bBp2/2p5/3p3p/P7/2b5/5KP1/R2B4 b - -,c3a1
r1bq1rk1/pp3pbp/n2ppnp1/2pP2B1/2P1P3/2NB1N1P/PP3PP1/R2QK2R b KQ -,e6d5:h7h6
3r4/p2r1pb1/1P1pk1pp/2pR4/4P1PP/2P1N3/1P4K1/5R2 b - -,a7b6
4r1k1/Q4qb1/p1p4p/5pp1/2P5/P3P1P1/6BP/3R2K1 w - -,a7f7
rn1q1rk1/pb2bppp/5n2/2pp2B1/8/2NBPN2/PP3PPP/2RQK2R w K -,e1g1
7k/pp3p1p/2p4B/4pP2/4q2r/1B5R/PPP2R1K/8 b - -,h4h6
8/4k2p/1p4p1/1R6/4pKp1/4P3/P1r4P/8 w - -,b5b6
r2qkb1r/p2p3p/np1P2p1/1Np1Pp2/2Q5/P4N2/1PP2P1P/R3K1R1 b Qkq -,f8h6
k2r4/5R2/1pP1p2p/4P3/P7/8/2q4P/6QK w - -,f7f1
8/8/4kp1R/6p1/2p1p1P1/6K1/2r2P1P/8 b - -,c4c3
1r1k4/1Pn3pB/r4p2/4p3/6P1/2RPP2P/7K/1R6 w - -,h7e4
r7/1pq1r1kp/3R1pp1/p3p2n/P5bP/1B3N2/1PPQ1P2/2KR4 w - -,d2d5
r2qk2r/pp1n1pb1/2p1p1p1/3pP3/3P1P1n/3Q2P1/PPP1NB1P/R3K2R w KQkq -,g3h4
r3kb1r/1bp2ppp/p2p1n2/Np6/3P4/1PN5/1PP1KPPP/R1B4R b kq -,b7g2
5rk1/2p3p1/p3b1q1/1pP1Pr1p/1P1RN3/2Q2P1P/6P1/R6K b - -,e6c8
r1r3k1/pRR2ppp/2p1b1n1/B2pp3/n7/3P2PP/P1PN1PB1/6K1 b - -,a7a6
8/4kNpp/4P3/p2K1P2/8/1P5P/1b4P1/8 w - -,f7e5
8/p4pkp/2b3p1/2N4r/PP2PP2/2KR4/5P1P/8 b - -,h5h2
8/2k5/2p5/7R/2P3r1/1PK5/8/8 w - -,c4c5
3r1rk1/pbn2pp1/1ppq1b1p/3pN3/Q2PPP2/P1N3P1/1P4BP/3R1RK1 b - -,a7a5
N3R3/5pK1/p5p1/Ppkb3r/8/8/5P2/8 b - -,h5f5
2r2kr1/pb5p/1q2p3/1pb1B2Q/8/4P2P/PP3PP1/2R2RK1 w - -,g2g3
1r6/2p5/3p3p/1PpP2kP/p1Kp2p1/P5P1/5P2/1R6 w - -,b1e1
r1r5/p3qkpp/P2ppn2/1Pp2p2/2P1PP2/8/2Q2NPP/RR4K1 b - -,g7g6
r1bq1rk1/1p2npbp/p1n3p1/2pp4/P1B2P2/2NP1N2/1PPB2PP/R2Q1RK1 w - -,c4b3
1r6/5pk1/1r1p1b2/p1pP2p1/2P3P1/1P4BP/R5K1/1R6 b - -,b8a8
rn1qk2r/p2p1ppp/4pn2/2p5/2P1b3/5NP1/PP1bPPBP/R1BQ1RK1 w kq -,c1d2
r1b1k2r/1pq2ppp/p3p3/2B3n1/P1N5/1P1P4/2P1B1PP/R2Q1RK1 b kq -,c7c5
4rr1k/p5pq/1p1R1n1p/2p5/P7/1PP1B1RP/2bN2P1/2Q3K1 b - -,f6h5
r1bq1rk1/1p1nbppp/4p3/8/p1PNQ3/P5P1/1P3PBP/R1BR2K1 b - -,d7c5
r4rk1/1p2b1p1/pq3p2/3Pp3/4QP1B/P5Pp/1P5P/2R2RK1 w - -,g1h1
r1bq1rk1/pp2ppbp/2n2np1/2pp4/2PP4/2NBPN1P/PP3PP1/R1BQ1RK1 b - -,c5d4
6k1/pp1n2qp/3bp1p1/QP1p4/3P1PNP/1B4P1/P5K1/8 b - -,d7b6
4rk2/p4p2/3p2p1/3P1b1p/2P2P1P/1NK1p3/P5P1/4R3 b - -,e8e4
2rq1k2/1pp2pbp/3p2p1/1NnPn3/p1P3P1/P6P/1P2QP1B/1B2R1K1 b - g3,d8h4
8/2r1kp2/R2rp2p/1P6/7P/1PbB1NP1/4KP2/8 w - -,a6a8
1r6/p6r/b2kBp2/5P2/2p3Rp/2K3pP/P5P1/2R5 w - -,g4d4
5rk1/2qb1ppp/3p1b2/1p1P4/r7/pQ1B3P/PP3PP1/1RB1R1K1 b - -,c7a5
1r1q1rk1/4ppbp/bnp3p1/p1N5/P2P4/1BP5/1P2NPPP/R2Q1RK1 b - -,a6c4
1n3rk1/p4pbp/2p3p1/4p3/3pP2q/3N4/PPQ2P2/1K1R2R1 w - -,f2f3
r5k1/p1p3pp/1p6/2n1P1q1/2P5/P4rB1/1PQ4P/3RR1K1 w - -,c2g2
2q2rk1/1p3pp1/p4b2/3p1b1p/3P3P/1Q3B2/PP1N1PP1/5RK1 w - -,f3d5
1k5r/p2q1p2/1bp5/4p3/1P1pP1p1/P5Nr/5PKP/2RQ3R w - -,a3a4
r7/5p1p/3k2p1/1RRP4/6b1/8/P6P/6K1 w - -,b5a5:c5c6
r2qr1k1/1bp2p2/pp1bnnp1/3p3p/1P1P4/P2BPPN1/4NQPP/1RB2RK1 w - h6,e3e4
2kr4/1pq1bp1r/p1b1p2p/2p1P1pQ/8/2N3B1/PPP2PPP/3RR1K1 w - -,d1d8
r4rk1/1p2n1pp/2pp2q1/1b3p2/3PPB2/5Q1P/3N1PP1/RR4K1 b - -,f5e4
r1bq1r1k/1p1n2pp/5n2/p1bPpp2/2N5/P1N1P1P1/1P2BP1P/R1BQ1RK1 b - -,a8a6
r1bq1rk1/p4n1p/1p1p1b2/2pP1Pp1/1PP2pP1/P2B3P/6K1/1RBQ1RN1 b - -,f8e8
rnbq1rk1/pp2ppb1/3p1npp/2p5/2PPP3/2N1BN2/PP2BPPP/R2QK2R b KQ -,f6g4
2r2rk1/pp1q1nbp/4p1p1/4Pp2/7Q/2NP3P/PP4P1/R1B2RK1 w - -,c1e3
1k2r2r/2pp2pp/1p6/pq1P4/4NP2/PP3Q2/1KB3P1/3R4 b - -,h8f8
2r1r1k1/pb1n1ppp/1p1qpn2/8/2PP4/2BB1N2/P3QPPP/2R1R1K1 b - -,g7g6
r5rk/2pb2b1/B3p2p/2PpPp2/PP1N1P2/7P/3K4/1R4R1 w - -,a6b5
q4r1k/4n1pp/3BQn2/2pP4/2p5/2P4P/5PP1/4R1K1 w - -,d6e7
r1br2k1/pp3pbp/2p2np1/4p1B1/4P3/2N5/PPP1BPPP/3RR1K1 b - -,c8e6
4rrk1/p3n1bp/qp2p1p1/2p1Pp2/2P1bP2/1P2BNPP/P3Q1BK/1R1R4 w - -,b1b2
6k1/p4pp1/7p/8/3p4/1P3rP1/P4PKP/5R2 b - -,f3d3
5r1k/2R1Q1bp/6p1/1p1p4/8/3P1BP1/1q3P1P/6K1 w - b6,g1g2
rqrb2k1/3b1pp1/3p4/p2PpP2/PpN1PRPp/1P1QB2P/6B1/R5K1 b - -,e5f4
r1bq1rk1/ppp1ppbp/1n4p1/8/3n4/2NPBNP1/PP2PPBP/R2QR1K1 b - -,e7e5
r1bq1rk1/1p2nppp/p4b2/2Pp4/3N1PP1/2N1BQ2/PP5P/2KR3R w - -,c1b1
r4rk1/3q1pbp/bpn1pnp1/p1pp4/P3P3/2PP1NP1/1PQN1P1P/R1B1RBK1 w - -,d2b1
r1bq1rk1/pppnbpp1/3p1n1p/4p3/2BPP3/2N2N1P/PPP2PP1/R1BQ1RK1 w - -,c1e3
4kb1r/1b3ppp/pq1ppn2/Np6/PP2P3/2Q5/2PB1PPP/R4RK1 b k -,f6e4
3r4/pr3pk1/4p1p1/3p3p/R2q3P/6P1/Q1R2PK1/5B2 b - -,d4b6
8/5pk1/N1n3p1/1p2r2p/7P/1P5P/P3KP2/3R4 w - -,e2f3
8/8/8/7N/3K2kP/r5p1/1R6/8 w - -,h5g3
1R6/4r1k1/5pp1/2Q5/8/1p4P1/5PKP/4q3 b - -,e1e4
8/1p2ppk1/5qpp/7r/p2R1n2/2P2PR1/PPQ2P2/6K1 w - -,g3g4
2rq1rk1/1b2bppp/pn1p1n2/1p2p3/4P3/PNN1BP2/1PPQB1PP/R2R3K w - -,b3a5
r4rk1/2qb1pp1/p6p/3p3P/1p1N1b2/3B1P2/PPP4P/1K1R2QR w - -,d3f5
r1br1bk1/1p3pp1/p3p2p/4P3/q1B1Q2P/P1R5/1P2NPP1/5RK1 w - -,c3g3
4r3/4P1k1/1R6/2n4p/3N1p2/P6P/P7/1K6 w - -,d4f5
1r3rk1/1b1n1pbp/3p1np1/1P1P1PB1/1qp5/2N3NP/1P1Q2P1/1B1R1R1K w - -,g3e4
r1br2k1/p3p1bp/1pq3p1/n1pP1p2/4PP2/2PBB2P/P3N1P1/2R1QRK1 b - -,c6d6
r3n3/8/1pR3P1/3pk3/3N1p2/1P6/6P1/7K w - -,d4f3
2rq1r2/p2bppbk/1p4pp/n2P1n2/3NN2P/1P2B1P1/P2Q1PB1/2R2RK1 w - -,c1c8
3rk1r1/1p1bnpp1/p1qpp2p/2b2P1B/4P2B/P1NQ4/1PP3PP/R4R1K b - -,e6f5
3q1k1r/4bp2/p7/1ppN1B1b/8/3Q4/PPP5/2K1R3 w - -,e1e7
2r3k1/7p/4p1p1/4P3/Pp6/3r3P/P1p2PP1/2R1RK2 b - -,d3a3
r4rk1/p1ppqppp/bnp5/2b1P3/2P5/PP4P1/1B1NQPBP/R3K2R b KQ -,d7d5
2kr1b1r/pb1n1p2/1qp1pP2/1p4B1/2pP4/2N3P1/PP3PBP/R2QK2R w KQ -,e1g1
r1bqk2r/pppn1pb1/3pp2p/6p1/3P4/3BPNP1/PPPNQPP1/R3K2R b KQkq -,d8e7
r4rk1/pnp1q1bp/1p4p1/3Pp3/b1P1Pp2/1N1B1P2/P4BPP/R2Q1RK1 w - -,d1c1
r1bq1rk1/pp2ppbp/2p3p1/3n2N1/3P4/1P1Q2P1/P2BPPBP/R4RK1 b - -,e7e5
3q2k1/6pp/8/p1Qp4/p2Ppr2/3b3P/1P1R1P2/K1R5 w - -,c5c8
1B6/8/4p1k1/6P1/p3PP2/P3K3/b7/8 w - -,e3d4
r6r/1p2k1bp/pq1ppnp1/8/4Pp2/1BN5/PPPQ2PP/R3K2R w KQ -,d2f4
6k1/p7/1p6/8/4K3/4B3/P6r/b7 w - -,a2a4
r4rk1/pb4pp/1b1Q4/1p1Pp3/8/4BnP1/PP3PKP/R4R2 w - -,a1d1
rnb1kbnr/1p3ppp/p3p3/2pq4/3P4/2P5/PP1N1PPP/R1BQKBNR w KQkq -,d4c5:g1f3
b7/8/P7/6N1/3K1p2/5P2/6k1/8 b - -,g2g3
5r2/6k1/pp3p1p/P1b1pB2/4R3/6P1/1PP4P/7K w - -,b2b4
R7/4rp1k/1B2p1bP/p1P5/Bb2p1P1/1P5P/4K3/8 w - -,c5c6
2qrr1k1/pp3pp1/2n1pn1p/3p4/2PP4/PPN2N1P/2Q2PP1/3RR1K1 w - -,c4c5
r2q1r2/p4pk1/np2p1pP/2ppN3/3P1P2/2P1P3/PPQ4P/R4RK1 b - -,g7h6
8/5p1k/1P4p1/8/4p3/3q2P1/1Q3P2/4K3 b - -,e4e3
r7/1pp2kpp/1n1pRb2/8/2PP4/1PB1RNP1/2r2P1P/6K1 w - -,c3b4
3b4/p5p1/Pp2k3/3p3p/3Pp2P/1R2BrK1/1P3P2/8 w - -,g3g2
2k2r1r/pp2qp2/4p2p/n2pP1bN/b1pP1BP1/P1P4P/1P2Q1B1/2R2RK1 w - -,h5f6
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/1PN1PN2/PB2BPPP/R2QK2R w KQ -,e1g1
3R4/p1r4p/4kpp1/p4p2/1qp1r3/1P2P1PP/P4P2/K1RQ4 w - -,d1d5
r1b2rk1/ppp2ppp/3b4/8/2nP4/2PB2P1/P1P1N2P/R1B2RK1 b - -,c4b6
rq1rn1k1/pb2npbp/1p1pp1p1/1N6/2P1PP2/2N1BB2/PP3QPP/2RR2K1 w - -,c1c2
3q2k1/5p2/p3pp1Q/1p6/1P6/6P1/P4P1P/6K1 w - -,h6c1
5rn1/2pk4/2n3p1/pp1p4/3Pp1P1/2P1B2r/PP1N1P2/R3K1R1 w Q -,d2b3
6k1/3Bp2p/2pbP1p1/5p2/2q5/7P/6P1/4Q2K w - -,d7e8
r5k1/pQ3ppp/8/2P3q1/5n2/P2r3P/1PR3BN/4R1K1 b - -,a8d8
r3k2r/2pnb2p/pq2p1p1/1p2P3/3pQ3/5N1P/PPPN1PP1/R4RK1 b kq -,a8d8
7r/4p1kp/3p2pR/r2P1pP1/8/6P1/P4PK1/7R w - -,h1e1
1r4k1/p4pp1/2R1pnbp/8/2NPP3/6KP/r2N1PP1/2R5 w - -,f2f3
r2q1rk1/p4ppp/1pnppn2/8/2P1P3/2B3P1/PP1N1PKP/R2Q1R2 b - -,d6d5
3R1bk1/8/7p/7K/5rP1/3N4/r4P2/8 w - -,d3f4
2kr3r/ppb2pp1/2pqpn2/8/2PP1P1p/2B1Q2P/PP2B1P1/R4RK1 w - -,c4c5
1r3rk1/p4pb1/1q4p1/1ppPnb2/1P6/2PPB3/P2Q2BP/R2N1RK1 b - b3,f5d3
r1b1r1k1/p1p2pp1/7p/3p4/4nQ1q/3B3P/PPP1NPP1/R2R2K1 b - -,h4f4
8/4Nppp/1pk5/p1n5/P2R4/r4P2/6PP/6K1 b - -,c6b7
3r2k1/2p2pp1/3N1nbp/1P6/3pP3/1P1B2P1/5P1P/2R3K1 w - -,d6b7
4q1k1/1b4n1/1p3pp1/pP1p4/2pPrPP1/2P1P3/5K1R/1QB4R b - -,e8d7
2q1kb2/1b3ppr/p2pp3/1p5P/2rBPP2/P1N3R1/1PP1Q3/2KR4 b - -,b5b4
3r2nr/p2qppkp/1p1n1bp1/2pP4/5B2/N1P2N2/PP2QPPP/3RR1K1 w - -,h2h3
8/p5r1/5k2/4p3/7P/2RP2pK/P7/8 w - -,h3g2
7r/7P/2K5/8/8/7R/5k2/8 w - -,c6d6
5r2/2p1k3/2p3R1/p2p4/P6q/6Q1/1r2N1RP/2K5 b - -,f8f1
3r2k1/1p4pp/p3b2r/5p2/4p3/PPN1b1P1/1B2B2P/2R2RK1 w - -,g1g2
5rk1/2pq3p/3pR1p1/1P1P2P1/p6P/P4p2/1P6/4KQ2 b - -,f3f2
1r6/r1k5/3p1p2/pBpP2p1/2P1P3/6P1/3B1P2/R5K1 b - -,c7b6
6k1/pbp1bppp/1pq1p3/4P3/2PP4/P7/1BQN1PPP/6K1 w - -,f2f3
2r1nrk1/1p3pp1/p1p1b3/3pP1qp/1P1Q4/3PN1N1/1PP3PP/4RRK1 b - -,g7g6
3rr1k1/pp1b1pp1/3b1n1p/3p3q/3N4/P2PB1PP/1P3PBK/2RQR3 b - -,d7g4
r5k1/5pp1/4p2p/3nB3/3P4/2b2N1P/5PP1/1R4K1 b - -,c3b4
rq3rk1/1b3ppp/2n2n2/2B1pP2/1PN1P3/1p5P/4Q1P1/1BRR2K1 w - -,e2e3
8/1p1r1p2/p1p1p3/K1P1Pk2/2Br4/1P2Q3/P7/8 w - -,a5b6
6k1/8/pBr3pb/P3ppNp/3p3P/8/2r2PKP/3R4 b - -,h6g5
8/2p2pk1/1p1p2p1/p2P3p/P2P3P/1P4P1/2Q2P2/4q1K1 w - -,g1g2
r1r3k1/1p1n1pbp/pq2pnp1/3p4/3P1B2/1Q1BP2P/PP1N1PP1/R4RK1 b - -,f6e8
r1bq2k1/p1pnn1bp/1p1p1r2/3Pp1p1/1PP1Pp2/2NN1P2/P3BBPP/2RQ1RK1 b - b3,f6h6
r1bk1b1r/ppppq1p1/2n4p/4P1NQ/3p4/8/PPP2PPP/RNB2RK1 w - -,g5f7
r2q1rk1/5p1p/p2p2p1/P7/1Q6/1b3P2/1P2B1PP/R4RK1 b - -,d8b8
r1bqk2r/ppp2ppp/4pn2/3P4/3n4/2bB1N2/PPP2PPP/R1BQ1RK1 w kq -,b2c3
rn3rk1/p3ppbp/1qpp1np1/8/1p1PPP2/3PBN1P/PP2N1P1/R2Q1RK1 w - -,e2g3
r1bq1rk1/1p1nbppp/p2ppn2/8/2BNP3/2N2Q2/PPP2PPP/R1BR2K1 w - -,f3g3
5rk1/6rn/3p1qpQ/p1pPn2p/bp2P3/P3NPR1/1P2B1RP/2B4K b - -,a4d7
r2q1rk1/pp1n1pbp/2p1pnp1/3p4/2PP4/2NBP2P/PP2QPP1/R1BR2K1 b - -,f8e8
8/5p2/1p4k1/4P3/p3KP2/8/1P6/8 b - -,b6b5
2r3k1/1b1nbppp/1q2p3/p2pP3/3p1P2/3P2PP/PP1B2BK/1Q1N1R2 w - -,b2b3
2r3k1/2qb1p1p/1r1pp1p1/8/2B1P3/2Q2P2/PP4PP/1K1R3R w - -,c3e3
r6r/2k2ppp/2p1bn2/1pb1p3/p3P1PP/2NB1P2/PPPB4/2K1R2R w - -,a2a3
r1bqk1nr/ppp2pbp/2np2p1/1B2p3/3P4/1P2PN2/PBP2PPP/RN1QK2R b KQkq d3,e5e4
4r1k1/2p5/1q4pp/3pr3/QP2P3/P3R2P/6PK/4R3 b - -,d5e4
8/8/6k1/6p1/3K2P1/5PN1/6n1/8 w - -,d4e4
6k1/1p3r1p/4Qb2/5p2/pq6/P6P/1P3PP1/1KB1R3 b - -,b4c5
r2qkb1r/pppn1ppp/5n2/3p4/8/3P1bPP/PP2PPB1/RNBQK2R w KQkq -,g2f3
6k1/3qnpb1/4p1p1/P7/1Qp1b3/2Pr4/4B2P/1R2BNK1 b - -,d3d5
8/r4pk1/4b3/7p/1PPQ2p1/q2B4/P6P/K3R3 b - -,g7g8
8/8/p1k5/1p1p4/1P1K4/P5R1/7r/8 w - -,g3g6
1n2r2k/r1Q3pp/p4n2/2P1pb2/8/2P1BB2/P5PP/1R3RK1 b - -,a7c7
2rr2k1/4bp2/1p1n1q1p/p2Pp1pR/5NP1/1P2P3/1B2QPK1/R7 w - g6,f4d3
1k2r3/pp3pb1/6p1/2P2p2/5P2/2P2Q1P/PP1q4/1K5R w - -,h1d1
3r1r2/pp2b1k1/1q3pp1/7p/3PP3/1B2Q2R/P5PP/3R3K b - -,f8h8
8/4R3/6p1/2p2p1p/2Pk1K2/3r2PP/8/8 w - h6,e7g7
8/1p3bk1/7p/2P5/4Np2/5PPP/7K/8 b - -,f4g3
r4rk1/2q2ppp/pp3n2/3Rp3/P3P3/5B2/1PP2QPP/5R1K w - -,d5d2
5r1k/1q4pp/1p6/2b5/P1QNpP2/6P1/3N1K1P/8 b - -,f8d8
1r2r1k1/p3qp2/2p4p/2Pp1bp1/8/1PQ3P1/4PPBP/R3R1K1 b - -,b8b5
8/2k5/8/3p4/PRbKp3/2P5/8/8 b - -,c4d3
r2q1rnk/3bbpnp/p2p2p1/2pPp1P1/PpP1P2P/2N1BP2/1P1QN3/2KR1B1R w - -,c3b1
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq -,f8e7:f8c5:f7f5:d7d6:g8f6:c7c6:b8c6
2kr2r1/pp1bnp1Q/2n1pB2/2qpP3/7P/P1p2N2/2P2PP1/R3KB1R w KQ -,h4h5
N2q2k1/pb1nbrpp/1p1p1n2/4p3/3PP3/2N1B3/PPP2PPP/R2QK2R w KQ -,a8b6
r3k1r1/2pq1p2/1p2pBp1/p2pPnNp/P1nP3P/2PQ1P2/2P2KP1/R6R b q -,c4b2
r2qk2r/1ppn1pb1/p2ppnp1/4P2p/3P1P1P/2N1B2R/PPP1B1P1/R2QK3 b Qkq -,f6g8
8/7k/R7/8/5rpp/8/5PK1/8 b - -,h7g7
2q2b2/1r3p1k/4b1p1/1p1pPpPp/p1rB1P1P/P1P2N2/1P1Q4/R3R1K1 w - -,e1e2
r1b1k2r/pp3pbp/1qn1p2p/2ppP3/3P4/2P2N2/PP1QBPPP/RN2K2R w KQkq -,e1g1
4r1k1/b1p2pp1/p2q1n1p/Pp6/1P1P4/BN3b1P/2Q2PP1/R5K1 w - -,g2f3
8/2p4p/8/P1pk1p2/2b1pPP1/P1BnP3/7P/3B2K1 b - g3,f5g4
1r1qr1k1/1p3ppp/3p1b2/p1pPpP2/PnP1Pn2/4BN1P/1P1QBP2/1R3K1R w - -,f3h2
8/8/3b2R1/3Pkp2/6p1/4P1P1/6K1/8 b - -,e5d5
6rk/1bq1b1rp/ppnpp1p1/2n2pB1/P3PP1Q/2N1RN2/1PP3PP/3BR2K w - -,h4h3
r2qk2r/3b2pp/2n1pp2/1p1pP3/1bpP1B1P/5N2/3NBPP1/R1Q2RK1 b kq -,e8g8
8/1p2Q3/p2p2p1/1P6/P7/5k2/5Bq1/4K3 b - -,g2f2
