8/4pp2/3p3b/2pP3P/2P5/2K5/k7/1B6 b - -,a2b1
8/2kn2p1/2n5/p3pP1p/1p5K/BP2P3/P4PB1/8 w - -,a3b2
rn1q2nr/p2pkp1p/1pbNp1p1/2p1P1N1/3P4/8/PPP2PPP/R2QKB1R b KQ -,g8h6
2rqkbnr/pp3ppp/2n1b3/2pp4/Q2P1B2/2N2N2/PP2PPPP/R3KB1R w KQk -,e2e3
r1bq1rk1/1ppn1pbp/n2p2p1/p2Pp3/2P1P1P1/P1N1BN1P/1P3P2/R2QKB1R b KQ -,f7f5:d7b6:a6c5
1r1q1rk1/3bpp1p/p1np2p1/1ppN1n2/2P5/1P1PP1P1/PQ2NPBP/R4RK1 w - b6,b2c3
6k1/6pp/1p6/p1p3R1/2P4P/1KP1rb1B/P4r2/2R5 b - -,e3e2
r1b2rk1/1pqnbppp/p1npp3/8/3NP3/1P4P1/P1P1NPBP/R1BQR1K1 w - -,c2c4
8/pp6/3k4/8/PP6/4Kb2/8/8 w - -,e3f3
8/8/8/P3k3/1K6/8/3R4/5r2 w - -,a5a6
8/3k4/8/P6R/r7/2K5/8/8 b - -,d7c7
8/5p2/8/3pPp1k/1R3P1r/1P6/3K4/8 w - -,b4d4
5rk1/5pb1/pqr1p1p1/3p3p/PpnP1B1P/1B2Q3/1PP2PP1/1R1R2K1 w - -,e3d3
8/6pk/3p3p/3P1p2/P3p3/1Pq4P/6P1/3Q2K1 w - -,g1f1
1r3rk1/1pq2ppp/p1np1b2/P2Qp3/2B1P3/1NP5/1P3PPP/R3K2R w KQ -,a1d1
qr1bbnk1/1r1n4/1p1p2p1/pPpPp1Pp/N1P1Pp1P/P2N1P1B/1B1QK3/R1R5 w - -,d2c3
8/1p3pkp/1np2qp1/8/4B3/1P2P1P1/2Q2P1P/r3R1K1 w - -,e1a1
1r3k2/1b1nqp1r/p3p1pp/4P2P/1npP2Q1/2p2NR1/2B2PP1/R1B1K3 w Q -,h5g6
Q7/1Rnqkp1p/4p1p1/8/1p6/6P1/PP3P1P/4rBK1 w - -,a8a5
5rk1/q4pp1/p5p1/Bpb1P3/2p2P2/6P1/PP2Q1KP/3R4 b - -,f8e8
3r3k/q1P4p/p5p1/2p1b3/P5B1/2N2R1P/Q4P2/6K1 b - -,a7c7
r4rk1/pp2pp1p/2np2p1/3Rb1q1/2B1PN2/4Q2P/PP3PP1/2R3K1 w - -,d5e5
4r3/6k1/1pp5/3pPR2/8/P2B4/1P6/2K5 w - -,f5g5
r1b2r2/p4pkp/2p2qp1/8/3Q1N2/8/PPP2PPP/2KRR3 b - -,c8b7
r1b1rbk1/ppq2ppp/2p2n2/4pP2/4P3/P1N1B2P/1PPQB1P1/3R1RK1 b - -,b7b5
2r2rk1/2qb1pp1/p3p2p/1pP5/1P1NQ3/P1n4P/4BPP1/3RR1K1 w - -,e4d3
r1bqkb1r/p4ppp/2p1pn2/3pP3/8/3BB3/PPP2PPP/RN1QK2R b KQkq -,f6d7
6k1/p4pp1/1pq1p2p/2n5/1B1P1P2/P4QPP/6K1/8 b - -,c5e4
8/4PN2/p5pk/1p3b1p/7P/1P6/PKP3R1/4r3 b - -,h6g7
8/6p1/2p1p1p1/3pPpP1/1b1P1P1P/1k1K2B1/8/8 b - -,b3b2
r1b1nrk1/2q1npbp/p2pp1p1/1P6/N3P3/4B3/PPNQBPPP/1R1R2K1 b - -,a6b5
1kr2r2/1p2b3/3pppB1/p7/bqn1PP1P/1NN4R/1PP1Q1P1/1K1R4 w - -,c3a4
r2q1rk1/pp3ppp/2n2n2/2b1p1B1/2P1N1b1/P2B1N2/1P3PPP/R2Q1RK1 b - -,c5e7
r1bq1rk1/4b1pp/2p1p3/p5P1/3p1PNP/3P4/PP1BQ3/R4RK1 b - -,d8d5
r2qr1k1/2n2pbp/p2p1np1/2p2P2/2p1P3/P1N2N2/1PQ3PP/R1B1R1K1 w - -,f5g6
8/5p1p/7k/4n3/Np6/1P6/PK4RP/4r3 w - -,a2a3
r1b2r1k/ppppq1pp/8/3BP3/1nP5/4PpP1/PP2NP1P/R2Q1RK1 w - -,e2f4
8/N1p4R/3bk3/1K6/1P6/8/8/2r5 b - -,d6f4
8/8/5k1R/2b3pP/r7/7K/8/8 b - -,f6f5
r2q1rk1/pp1bbppp/2nppn2/8/3PP3/5N1P/PPB2PP1/RNBQR1K1 b - -,c6b4
2r1kb1r/pp1b1ppp/2q1p2n/2NpP3/1PnP2P1/P4N2/1B3P1P/R2QKBR1 w Qk -,d1b3
r2q1rk1/1p2n1bp/4Pnp1/2p1pp2/2P1P3/2N3P1/P4PBP/R2Q1RK1 w - -,e4f5
2r2rk1/p2nbppp/1p1np3/3p4/3P4/N5P1/PP1BPP1P/2RR1BK1 b - -,a7a6
8/1p6/p1p5/P1Pr1P1k/1P3KpP/6B1/7P/8 b - -,h5h6
r3r2k/7p/pp1pp1p1/2p1b1B1/P1B3P1/5K2/1PP1N2P/3R4 b - -,d6d5
r3r1k1/1pq3b1/2pp2pp/NP2p2n/1BPn4/2NPp1Pb/3Q1P1P/R3R1KB w - -,f2e3
1r6/p4kpp/b7/2p5/3bR3/1P3PpP/P1P3P1/3R3K b - -,h7h5
1r5r/2k5/ppp5/P2p1ppp/1P1P4/3KP1P1/5PP1/1R5R b - -,b6a5
2r2r2/1p1bpq1k/3p4/pNnPbpp1/8/2N1PQP1/PP3PB1/2RR2K1 w - -,f3e2
r2qk2r/1b1nbp1p/pp1ppnp1/8/2PNP3/BPNB4/P3QPPP/R4RK1 w kq -,a1d1
4q3/4p1k1/4Ppp1/3p4/3P3p/3Q2bP/2N3P1/5K2 w - -,d3a3
rnb1kbnr/ppq2ppp/4p3/8/4N3/5N2/PPP2PPP/R1BQKB1R b KQkq -,b8d7
2r1r1k1/1bqn1ppp/pppbpn2/P7/2PP4/5NP1/NBQ1PPBP/2RR2K1 b - -,c6c5
2r1k2r/1bqnbp2/pp1ppnp1/7p/3NPP2/2N3PP/PPP1Q1B1/R4RBK w k -,a1e1
rnbqk2r/pppp1ppp/5n2/3Np3/1bP5/6P1/PP1PPP1P/R1BQKBNR b KQkq -,b4c5
2rqk2r/1pp1b1pp/p3b3/1N1pPp2/4nB2/3B4/PPP2PPP/R2Q1RK1 w k -,b5d4
3n1r2/3b2nk/3p1ppN/2pPp2p/1q2P1P1/1P3N1P/3Q1P1K/3BR3 w - -,d2e3
rnbq1rk1/1ppp1ppp/p4n2/2b1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQ -,g1e2
b7/P1k5/R1r1pp1p/6p1/8/3NKPP1/7P/8 w - -,a6c6
rnbq1rk1/p4ppp/1p2pn2/2pp4/2PP4/P1P1PN2/2Q2PPP/R1B1KB1R w KQ -,c4d5
3r1r1k/p5bp/1p2b3/5p1q/1N4n1/4B1P1/P1Q2PBP/2RR2K1 w - -,h2h3
4r1k1/pbr1q2p/1ppb1np1/3pNp2/3P4/1QB1PPP1/PP4BP/2RR2K1 b - -,c6c5
6k1/p4p2/2p3pb/7p/PqP4P/1P1Q2P1/5PK1/3N4 b - -,b4e7
r1bqr1k1/pp3pbp/2pp1np1/2n5/2PNP3/2N5/PP3PPP/1RBQRBK1 w - -,f2f3
8/7k/1R4p1/1P1Pp2p/8/5P1r/r7/4R1K1 b - -,h5h4
8/1b6/1k6/pp6/3K4/PP3p2/2R5/8 w - -,b3b4
r3kb1r/8/pqbppp2/1p5p/4P3/2N5/PPPQ2PP/1K1R1B1R w kq -,d2f4
4k1r1/2q1Bp1p/Qp4n1/4p3/P7/1N6/1PP3bP/R2RK3 b - -,g6e7
r4rk1/q3ppb1/3p2p1/n2P3p/1B1n1P2/P2Q2PP/5PBK/1RRN4 b - -,f8c8
8/4k1pp/np1npp2/3p4/3P4/1PN1P1P1/2N2P1P/6K1 b - -,e7d7
3r1rk1/p2q1pbp/1p2p1p1/n1pPPb2/2P2B2/5N1P/P2QBPP1/R3R1K1 w - -,d5d6
3r1q1k/bpp2ppn/p2p3p/3P4/2P4P/1P4PB/PB2QPK1/4R3 w - -,h3f5
8/r3q1k1/6p1/4pp2/1PR4p/p4P1P/3Q2P1/K7 b - b3,e7f6
8/5R2/6r1/4p3/3pk3/8/1P2KP2/8 w - -,f2f3
r2q1rk1/pp1n1pbp/2p1p1p1/3n4/3P4/1BPN4/PP3PPP/R1BQR1K1 w - -,d1g4
2r1r1k1/pp2pp2/3p4/4P2p/1n6/PNN5/1PPB4/1K5R b - -,b4c6
2r2rk1/5pp1/QP2p1qp/2PbPn2/8/P5B1/5PPP/3RR1K1 b - -,f5g3
r1q1k1nr/ppnbppbp/3p2p1/2p5/3NPP2/2NPB1P1/PPP1Q1BP/R3K2R w KQkq -,d4f3
1r3knr/6pp/3b4/8/1B1q1PQ1/P2p4/5RPP/4R1K1 b - -,g8f6
r2q1rk1/1pp1bppp/pn4b1/3P4/5BP1/1BN2Q1P/PP3P2/R4RK1 w - -,f1e1
1r1q1rk1/1p2n1p1/p1p1n1b1/2PpP3/3PR1p1/1Q4N1/P4PB1/2BR2K1 w - -,e4g4
8/5p1p/RP2p1k1/4P1p1/6P1/8/1rr2PK1/4R3 w - -,e1f1
3k3r/2q2ppp/4p3/1Q1pP3/P4P2/3Nb3/6PP/R6K w - -,a4a5
r3k2r/1ppn1ppp/p1bb4/2p5/2P1P3/2N2P2/PP2N1PP/R1B2RK1 w kq -,f1d1
1r3r2/p1q3bk/1n3ppp/N1p1pn2/8/Q1PP1NP1/PP3PBP/2BbR1K1 w - -,e1d1
rqbr2k1/1p2bpp1/p3pnn1/3p3p/NPPNP3/P3BP2/3QB1PP/2RR2K1 w - -,e4d5
1r1n1r2/p3ppk1/2pq2p1/2NnNb1p/2QP4/1BP5/P4PPP/3RR1K1 w - -,c5e4
r4rk1/5pp1/1np1p1qp/p7/2PPR3/P5P1/3B1P1P/1RQ3K1 w - -,f2f3
2b2rk1/1p2qpbp/2p3p1/4p2n/1PP1P3/5N2/2QBBPPP/R5K1 w - -,g2g3
r4rk1/2pq4/bp3bp1/p2PBn1p/2P5/2NB4/PP1Q3P/2KRR3 w - -,e5f6
q4rk1/3nppb1/r2p1n1p/2pP2p1/4PB2/2N2NPP/PP3PK1/R2QR3 w - -,f4d2
rn1qkb1r/pppb1p1p/3p1np1/4p3/2PPP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,b8c6:e5d4
r2qkbnr/4n1pp/p2p1p2/3Pp3/2p5/N3B3/PP3PPP/R2QKB1R w KQkq -,a3c4
8/3r3k/p5p1/1P5p/P1Q5/4q3/8/2R2K2 b - -,a6b5
1R6/5p2/3Bb3/5k1p/3r1p2/5P1P/6PK/8 w - -,d6c7
4rr1k/2p3pp/p1bb4/1p4N1/3P2P1/4N2P/nqBRQP2/3K2R1 w - -,d1e1
4Nk2/7P/1R6/4p1N1/3n2PK/1n6/1p6/8 b - -,d4f3
rn2k1nr/pp1b1pp1/4p2p/2qpP2P/6P1/2P5/PP1N1PB1/R2QK1NR w KQkq -,d2b3
1q4k1/1r2bb1p/p3p1pB/3p3n/2pP4/2N1PR1P/PPQ3P1/1B5K w - -,f3f2
3b4/p7/4k1p1/1p1N3p/4KP2/PP4P1/8/8 w - -,d5c3
r5k1/q4pp1/2p3bp/3p4/1PpP2PP/r1P2P2/N3Q3/R1b1R1K1 w - -,a1c1
2r1rnk1/6qp/pp2p1p1/8/2P1B3/1P3R2/P4QPP/5R1K b - -,c8b8
r1bqk1nr/1p1p1ppp/pbn1p3/8/2P1P3/1N6/PP2BPPP/RNBQ1RK1 b kq c3,d7d6
6k1/5p2/4n3/4PQp1/1K6/r6P/8/8 b - -,a3b3
8/2B3bk/8/2p4Q/P4p1P/2Pq1P2/6K1/8 b - -,h7g8
r2q1rk1/1p2ppbp/2npbnp1/8/p1PNP3/2N1B3/PP1QBPPP/R4RK1 b - -,c6d4
r3r1k1/p1pqnppp/1p6/3P1b2/1nP1N3/8/PB3PPP/RB1QR1K1 b - -,e7g6
rnbqkbnr/3p1ppp/p3p3/1p6/3NP3/P1N5/1PP2PPP/R1BQKB1R b KQkq -,c8b7
5r1k/p3r2p/1p3p1P/2q2P2/3Q4/P7/1P2N3/1K1R1R2 b - -,e7e2
r5k1/4ppb1/3p2pp/2nP4/2N1B3/7P/4RPP1/2B3K1 b - -,a8a1
2b1q1k1/1p4pp/8/2pPpP2/4P3/8/6PP/Q4RK1 w - -,a1a5
r2q1rk1/1p2npp1/p2pBb1p/4p3/1P2P3/3P1N1P/2P2PP1/1RBQ1RK1 b - -,f7e6
r2r3k/1p1n1pp1/2p1qnbp/p3p3/4P1NB/2P3PP/PPQ2PB1/R3R2K w - -,f2f4
1r6/5p2/4bk1p/P1QBp1p1/2P1P1P1/7P/1r4P1/6K1 w - -,a5a6
r1b2rk1/ppp2ppp/1nN5/1q2P3/1b6/5N2/PP3PPP/R1BQ1RK1 w - -,c6b4
r2q1rk1/pbp1bppp/1pn1pn2/8/2pP4/P1NBPP2/1P1BN1PP/R2Q1RK1 w - -,d3c2
8/8/5rpp/8/4k2P/6PN/4KP2/8 b - -,f6a6
4r1k1/6b1/1p5p/p3pp2/7P/2P1N1PN/P2r1P1K/6R1 b - -,e5e4
5k2/1pp2pp1/1p6/1P2P2p/P4Pn1/1B1R2P1/8/2r2NK1 w - -,b3d1
1rbq1rk1/p3ppbp/3p1np1/2p5/2P5/1N4P1/PPQBPPBP/R4RK1 b - -,d8b6
r1b1k2r/ppbp1ppp/4p3/P1p1P3/2Bn1P1q/2NP4/1PP3PP/R1BQ1RK1 w kq -,c3e4
8/r3Pbk1/8/pp1N1R1p/7P/P7/1PP5/1K6 b - -,a7d7
r3k2r/pp2qp2/2p1n1p1/3b1P2/3P3p/3B2N1/PPQ3PP/1K1RR3 b kq -,h4g3
5rk1/5p1p/pr2Q1n1/2p3B1/3pP3/1P3P1R/P5P1/2KR4 b - -,f7e6
r1bqk2r/p2n1pb1/2ppp2p/1p4p1/3PP3/2NBQN1P/PPP2PP1/R4RK1 b kq -,d8e7
r4rk1/p3q1pp/bpp1p3/3pP3/2PP4/1P2QR2/P3P1BP/5RK1 b - -,f8f3
8/2k4B/1pp5/8/r2nP1P1/8/5P2/3R2K1 b - -,c6c5
r3k2r/pp1b1p2/2n1p1pp/3pq1B1/2p2PB1/2P4Q/PPP3PP/1K1R3R b kq f3,h6g5
r5k1/5pp1/7p/4P3/3R1P2/5K2/1r3P1P/2R5 b - -,a8a2
r2qk2r/1pp2pp1/2npbb1p/p1nN4/2P2P2/4PN2/PPB1Q1PP/R1B2R1K b kq -,c6b4
r3kb1r/1bqn1ppp/pp1ppn2/8/2PNPP2/2NB4/PP2Q1PP/R1B2RK1 w kq -,g1h1
r1b2rk1/1p3pbp/1qp3p1/p3p3/P2nP3/3P1NP1/1PQB1PBP/1R3RK1 w - -,f3d4
3R2nk/5p1p/8/6p1/1r6/5B1P/6P1/7K w - g6,d8d5
8/1p6/p1p3P1/4k3/1P2B3/4KP1r/8/8 w - -,e3d3
r1b4r/pp2k1bp/2pN2p1/2n1pp2/8/4PNP1/PP2BPP1/2KR3R w - -,e2c4
2R2rk1/4ppq1/pn4pp/2Nn1b2/6P1/1B6/PP1B1P1P/3QR1K1 b - -,f8c8
2r1kn1r/1pq1bp2/p2pbn1p/P3p1p1/4P1P1/2N1B1NP/1PP2PB1/R2Q1RK1 w k -,g3f5
r5k1/2p4r/1p1p4/pN2n1p1/2P1P1q1/1P1B1p2/P4Q2/2RR1K2 w - -,f2g1
3r1rk1/ppp2ppp/2nb4/5b2/2PPq3/P3BN2/4BPPP/R2QR1K1 b - -,f8e8
5r2/R1R2p2/5q1k/2P4p/5N2/5PP1/4PK2/8 w - -,c7e7
1r4k1/5ppp/pp3b2/2p5/P2rP3/1R5P/1P1B1PP1/5RK1 w - -,d2e3
r2q1rk1/p4pbp/1pb1p1p1/8/5P2/2Np2Q1/PPPB2PP/3R1RK1 w - -,d2e3
7k/6rp/4R2q/1pPP1p1P/p7/P4r2/1P2K2R/8 w - -,e6h6
r2q1rk1/pp1nppbp/3p1np1/2p1P3/2PP1P2/2N2B1P/PP4P1/R1BQK2R b KQ -,f6e8
4r1k1/5p1p/B5p1/2pb2q1/P3p1P1/7P/1bPNQ1P1/5RK1 b - -,b2c3
1n3r2/p5kp/1pB3p1/8/8/P1N3P1/bP5P/4R1K1 w - -,c6a4
3r4/p5k1/1p4b1/2p1p3/2P4R/2P1K3/P3BPP1/8 w - -,h4h1
2rq1rk1/p2p2p1/1p1Ppn1p/2n1N3/2P4P/P1B5/1P2BPP1/3QK2R b K -,f6e4
6k1/5p2/4pBpp/bq6/p1pPP3/5P1P/1P2Q1P1/3K4 b - -,a4a3
1r3rk1/q3bppp/p2p2n1/4nR2/N3P3/1BB5/1PP3PP/3RQ2K w - -,c3d4
rn3rk1/p1p1q1bp/1p1p1pp1/1N1Pp3/2P5/6P1/PP1BPPKP/R1Q2R2 b - -,a7a6
6k1/5ppp/4p3/1N6/4n3/5PP1/7P/6K1 b - -,e4c5
2rr2k1/p3bp1p/4ppb1/1qppN3/N2P2P1/P3P2P/1P3P2/2RQ1RK1 w - -,e5g6
1rb2rk1/p4ppp/2B5/q7/2pQ4/4P3/PP4PP/1K1R3R w - -,d4c4
r1q1k2r/1p3pp1/2p2np1/2nPp3/p1P1P3/2N3P1/PPQ3BP/2KR3R w kq -,c1b1
8/8/5np1/8/1N1kp1pP/6K1/8/8 w - -,b4c6
rnbq1b1r/pp3k1p/2pp1np1/8/3PP3/2NB4/PPP2PPP/R1BQK2R b KQ -,f8e7
8/P2q1pbk/6b1/7p/8/2P1R2P/5PP1/R5K1 b - -,g7c3
2r1k1nr/pp2p2p/4p1pb/4B3/3P4/5P1P/PPP2P2/RN2K2R b KQk -,g8f6
5R2/6p1/8/5k2/4p3/6K1/8/4r3 b - -,f5e5
8/3b2rk/2p2q1p/1pQpRp1B/1P3P2/3K2P1/7P/8 w - -,d3c3
7r/1p1knp2/p5p1/3pP3/3P3P/5K2/PP3N2/2R5 w - -,f2d3
r4k2/pp3p2/2pR2p1/1q4Pr/4PQ1P/8/1P6/1K1R4 w - -,d6d8
8/4pp2/3p4/pPkPr3/1b4P1/5K2/4B3/5R2 b - -,e5d5
8/5pkp/p5p1/8/3NPKP1/P1R2P2/7P/1r3b2 w - -,h2h4
r1br2k1/1pb1qppp/p1p5/2P1n3/3NP1n1/5N2/P1QBBPPP/2R2RK1 w - -,h2h3
2rq1rk1/1b1nbppp/p3pn2/1pp5/3P4/P1NBPN2/1P2QPPP/R1BR2K1 w - -,f3e5
1r3r2/3bqpkp/3p2p1/p1pPn3/1pP1PR2/1P4NP/P1B2QP1/5RK1 b - -,a5a4
r5k1/4bqpp/8/2p1B2n/1p3P2/1P5P/2Q4K/4RR2 w - -,f1g1
2r2rk1/3n2p1/2q2n1p/2b1pP2/2p4N/2N1p1PP/PPQ4K/R1B2R2 w - -,c2e2
