8/5p2/1k1p4/2p1p2p/K1P1P2P/5P2/8/8 w - -,a4b3
8/8/8/4p3/P1k3p1/2P1K3/8/8 b - -,c4c5
8/5p2/1p2p3/7K/P4k2/5P2/8/8 w - -,h5h6
r5rk/pp1qb2p/4pN2/4Q3/2P5/8/PP2BPPP/5RK1 b - -,e7f6
r4rk1/ppqbn1pp/2n1p3/3pPp2/3P4/P4NQ1/2P1BPPP/R1B2RK1 w - -,g3h4
2rr2k1/p4pp1/1pn1pnqp/2p5/3PP1P1/P1P1RN1P/1B3P2/4RQK1 w - -,f1g2
rnbqk2r/p2p1ppp/1p2pn2/8/1b1N1B2/2N1PQ2/PPP2PPP/R3KB1R b KQkq -,d7d5
4r1k1/p2qbppp/1p6/3p4/3B4/4PPP1/PP2Q2P/2R3K1 b - -,h7h5
3qk1r1/rp1npp1p/p1p1bb2/2Pp1N2/3P4/2QBP2P/PP4P1/R1B2RK1 w - -,c1d2
4r1k1/5ppp/p7/3q1R2/P3p3/1P6/2P3PP/5R1K w - -,f5d5
rnbqk2r/p1p4p/1p2p1p1/3pP3/1b1P2Q1/2N2N2/PPP2PP1/R1B1K2R b KQkq -,b4e7
r4rk1/1p2bppp/1q2bn2/pNnp4/5N2/P3PP2/1PB3PP/R1BQ1RK1 w - -,b5d4
5k2/1b3p2/5P2/2N5/P2n1K2/7P/8/3B4 b - -,b7c6
4r3/1p1r1k1p/p1p2pp1/5Pb1/2PP4/2R2Q1P/1q6/5RBK w - -,h3h4
r1bq1rk1/p4pp1/1pnbp2p/6N1/2BP4/2P5/P4PPP/R1BQ1RK1 w - -,g5e4
8/2B5/8/1p1b1pp1/8/P5Pk/8/6K1 b - -,h3g4
rn1qkb1r/pp2pppp/2p2n2/3pN3/2P3b1/6P1/PPQPPP1P/RNB1KB1R b KQkq -,g4e6
2qr1rk1/2n1ppbp/2p1n1p1/p1P5/PpBPR3/5N1P/1P1B1PP1/R3Q1K1 w - -,e1e3
5k2/2q2p2/p1P2prr/3Bb3/PP1pQ2P/6P1/6R1/7K b - -,e5g3
r1b2rk1/6b1/pp1p2pp/2pPnp2/P1P1NP2/R5qP/1P1BQ1P1/5RK1 b - -,g3h4
rnbq1rk1/ppp2pp1/5n1p/3p4/1b1P3B/2N1PN2/PP3PPP/R2QKB1R b KQ -,c7c5
kr6/pp3p2/2q1pp1p/7P/2P2P2/1P1Q2P1/P7/1K1R4 w - -,b1b2
7r/3qkp2/p1rpbp1p/1p2p3/4P2P/P2R2P1/1PPQ1PBK/3R4 w - -,f2f4
8/5pkp/1p4p1/1P6/8/2R1P3/r2r1PPP/5RK1 b - -,a2b2
r1qr2k1/1n3ppp/p1p1bb2/1p1pN3/5B2/PBP2Q1P/1PP2PP1/3RR1K1 b - -,b7c5
rn1qk1nr/pp3ppp/2p1p3/3p4/3bP3/1PN2Q1P/PBPP1PP1/2KR1B1R b kq -,g8f6
rnbqk2r/pp4bp/2p1ppp1/3p4/2PP4/1QN2NP1/PP2PPP1/R3KB1R w KQkq -,e2e3
2B5/4k2p/8/P2b1pp1/4p3/6P1/7P/6K1 b - -,f5f4
2kr3r/3q4/1b2p3/2P4p/1p1pbpp1/3Q4/3B1PPP/R2R2K1 w - -,d3e4
rn1qkb1r/ppp2ppp/4pn2/3p1b2/8/3P2P1/PPPNPPBP/R1BQK1NR w KQkq -,g1f3:e2e4
3r1r2/p1qb1pk1/1p5p/2p3p1/3pPpP1/3P3P/PPP2RQN/R5K1 w - -,f2f3
r1b1k2r/1pqn1p2/p2ppb1p/6P1/3NPPP1/2N2Q2/PPP5/2KR1B1R b kq -,h6g5
6r1/3qb1rk/3p1p2/p1pPpP1p/1nP1P1pP/1PN1Q1R1/5P2/3B1KR1 w - -,c3b5
r1b1k2r/pp3p2/4p2n/3pP1Np/2pP3P/Pnq1B1P1/4RPQ1/4R1K1 b kq -,b3d4
r3r3/1p2qpkp/1np3p1/p6n/Pb1PPp2/1BN2P2/1PQ2BPP/3R1R1K w - -,d4d5
1r1rq3/6k1/1p1nb2p/p1pB1pp1/P1N5/1P2P1P1/4QP1P/3R1RK1 b - -,d6c4
3r4/4kp2/1pR1p2p/bN1p1p2/3P4/P3P1P1/5P1P/6K1 w - -,g1f1
8/2rrk1pp/pp1ppp2/6P1/1PPRPP1P/P7/1K6/3R4 w - -,b2b3
r1bq1rk1/ppp1n1bp/3p1np1/3Ppp2/2P1P3/2N1BP2/PP2B1PP/R2QNRK1 w - -,g2g3
5Rk1/p3r1qp/1p1p2p1/2pP4/PnP1P3/6PP/4Q1B1/2R3K1 b - -,g8f8
rnbq1rk1/pp2ppbp/5np1/2pp4/3P1B2/2P1PN1P/PP2BPP1/RN1QK2R b KQ -,d8b6:b8c6
2q2rk1/pbr1bpp1/1p2p2p/4N3/2BP4/P1R3P1/1P2QPP1/3R2K1 b - -,e7d6
8/2kn2p1/3p4/2p3P1/2P1BP2/1K6/P7/8 w - -,f4f5
8/8/1p1p4/3P1Bk1/1pP3P1/pKb2P2/P7/8 w - -,f5c2
5rk1/5ppp/1b3P2/q2r2P1/1pQ1p2P/pP6/P1P5/1KNR4 w - -,d1d5
r2q1rk1/2nn1ppp/b1p1p3/p1PpP3/3N4/6P1/PPQN1P1P/R3RBK1 b - -,d7b8
2kr3r/pppqbppp/2n1p3/3n4/2QP4/2N1P1P1/PP3PBP/R1B2RK1 b - -,h7h5
1r2r1k1/q4ppp/p2p1b2/3B4/1P2p1P1/R4N1P/Q4P1B/R5K1 b - -,f6a1
3bnrk1/3q3p/R2p2p1/1p1Np1P1/1P2P1P1/P3B1K1/8/2Q5 w - -,a6a7
8/8/R7/6p1/6P1/p3Pk1P/r7/5K2 w - -,f1g1
2bk1r2/q2nb3/p1B1R2Q/4p3/8/1r2PN2/6PP/3R2K1 w - -,e6e5
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP1B2/2N2NP1/PPQ1PPBP/R4RK1 b - -,c8b7
r3k2r/2q2ppp/2pb1n2/3pp3/PNnP4/2B1P3/4BPPP/R2QK2R b KQkq -,e5d4
2krr3/1pp2p2/1p1pb2p/4q1pP/3NP1P1/P3QP2/1PPR4/2KR4 w - -,d4f5
8/pb3k1p/3qp1pB/7r/3P4/1P1BQ2P/P4PP1/6K1 w - -,h6f4
rq2r1k1/pp1n1p1b/2pbpn2/3p2p1/2PP3N/1P2P2P/PB1NB1P1/R2QR1K1 w - -,h4f3
r3rbk1/1p3pp1/2p1bq1p/p4p2/2NP4/P1QBP3/1P3PPP/2R2RK1 w - -,c4a5
1r4k1/q6n/p2p2p1/R1pPp2p/2P1P1n1/3N2P1/Q5BP/6K1 b - -,b8b6
6k1/8/p5pp/1p1q4/2p5/3n2PP/Pr2BP2/3R1QK1 w - -,e2d3
r1bqr1k1/pp1nBp1p/2p3p1/3p3n/3P4/2NBPN2/PPQ2PPP/1R3RK1 b - -,d8e7
8/3R4/p2p2k1/3Pp3/1P2P1pq/P7/6BK/8 w - -,h2g1
5rk1/p1nq2p1/4p2p/2p5/2Pb4/P1N1N3/1B2Q1PP/R5K1 b - -,f8b8
r2qk2r/p4pp1/1p2p3/3pPn1p/2pP1P2/P1P4Q/2PN2PP/R4RK1 w kq -,g2g4
2Nqn1k1/1p3rb1/r2p2n1/P1pPp2p/2P1Ppp1/6P1/3B1PBP/NR1QR1K1 b - -,d8c8
r1b2rk1/ppqpbppp/4pn2/8/2P5/2P2NP1/P1Q1PPBP/R1BR2K1 w - -,c2d3
2r3k1/p1q1npp1/2pR3p/1pQ5/1P6/P3P1P1/1N3P1P/6K1 b - -,a7a6
2r5/p1P1k2p/4p3/2R2p2/1p1K1P2/8/P5PP/8 b - -,e7d6
6k1/B1R3p1/pp5p/7P/n1p1r3/P1P3K1/1P6/8 w - -,c7c6
r1b1r1k1/bp4p1/pq6/3pPP1p/2pN2p1/2P1B1Q1/PP4P1/R2B1RK1 w - -,f5f6
rnbq1rk1/p1pp1ppp/1p2pn2/8/2PP4/P1B5/1P2PPPP/R2QKBNR w KQ -,g1f3
2kr3r/p2bnpp1/1p5p/3pPp1P/q1pP3R/P1P5/2PBBPP1/R1Q1K3 w Q -,a1b1
r1b1kb1r/2q4p/pn1p2p1/1p1Pp1B1/3N3Q/8/PPP3PP/2KR1B1R b kq -,f8e7
r1b1kb1N/1p1n2pp/p3p3/2p1P3/P1nP3q/2N1B1P1/1P3P1P/R2QK2R b KQq -,h4h3
8/4kp2/8/8/1R4PK/P1r5/8/8 w - -,b4a4
8/8/8/2p1B3/p3qPRp/P4k1P/1P6/6K1 w - -,e5c3
8/8/3p2k1/2pP1p2/1rP5/1p2K3/1R4P1/8 b - -,b4c4
r1b2rk1/pp2qppp/3b1n2/3pn3/3N4/1P4P1/P1QNPPBP/R1B2RK1 b - -,c8d7
br1r2k1/p3bpp1/2p1pn1p/N7/7B/8/PPP1BPPP/R2R2K1 w - -,d1d8
2rr2k1/1bq2pbp/p1npn1p1/1p6/4P3/PP2BNNP/2BR1PP1/1R1Q2K1 b - -,c6e7
r7/1p2rk2/p4Bp1/5p2/P7/1NP3p1/1P4PP/3R2K1 b - -,g3h2
r1r1b1k1/5pp1/1b3q2/p3p1Np/PpB1PnnP/1N3QB1/1P3PP1/R1R3K1 w - -,c1c2
rn1q1rk1/1bp2pbp/pp1ppnp1/8/P2PP3/1BN2N1P/1PP2PP1/R1BQR1K1 b - -,h7h6
r2q3r/1p2bpk1/2p1n1p1/p2pP1P1/5B1N/1P1P2Q1/1PP4R/6RK w - a6,h4f3
5rk1/1p3ppp/p3pn2/6q1/8/1PPR4/P1B1QPPP/6K1 w - -,e2d2
5rk1/pp4p1/4pp2/4q3/8/4N3/P2Q2PP/3R2K1 w - -,d2d4
3rn3/3b2bR/8/1pNPpkP1/p3N3/P4P2/1P2B1K1/8 w - -,c5d7
r3rbk1/1bp2pp1/p6p/P2n1q2/1pNp4/1B1P1P2/1PPB2PP/R2Q1RK1 w - -,f1e1
8/8/5Rpk/7p/3r4/7P/8/6K1 b - -,h6g5
r3r1k1/1bq3bp/p5p1/2pB1p2/P1P5/7P/1BQ2PP1/R3R1K1 b - -,b7d5
2r1rbk1/pp3pp1/2pqpn1p/4N3/1PPPbP2/P1Q2BP1/6KP/R2R2B1 w - -,d1d2
2r1r1k1/1p1nnqpp/p4p2/2B1p3/2P5/QB3N2/P4PPP/3R2K1 w - -,d1d7
1q3r1r/pp1nk3/3Np1Qp/1P2Ppp1/P2B1n2/8/5PPP/2R1R1K1 w - -,g6g7
8/1p6/p1p1kb2/5ppp/1PPP2P1/4BK1P/1P6/8 b - g3,f5g4
6k1/p4p2/8/8/P2pNpP1/8/2r2PK1/8 b - -,d4d3
4r1k1/ppq2p2/2p3pp/2Pn3n/1P1Nr3/5QPP/P2RPRK1/5N2 w - -,d4f5
8/p3bk2/1pb1npp1/2p1p3/4P3/N1P2PP1/1P1B1K2/5B2 b - -,e6c7
r1bq1rk1/pp2ppbp/1n1p1np1/3P4/2P5/1PN1BN2/P3BPPP/2RQ1RK1 b - -,a7a5
k3r3/1p3n2/p3qp1P/2p5/3p1Q2/8/P3B2R/5K2 w - -,h6h7
2r4k/2p1R1p1/5r1p/npN5/8/P2R1bPP/B4P2/6K1 w - -,c5d7
r2r2k1/pp3p1p/2ppbnp1/8/2P5/1PN3P1/P3PPBP/R2R2K1 w - -,d1d3
8/8/1pk1p3/4P3/8/P2N2r1/1P1K4/8 w - -,d3f4
5rk1/2q3p1/4p2p/p3p3/2nrN3/1Q6/2P1R1PP/4R2K b - -,c7c6
2r2rk1/pb1n1qp1/1p2pn1p/2pp1p2/2PP3B/1Q1BPP1P/PP2N1P1/1K1R1R2 b - -,b7a6
q1r1k2r/1b2bpp1/p1p1p3/Pp5p/3PB2P/2Q1B1P1/1P2PP2/R4RK1 b k h3,f7f5
r1k2b1r/pppb1Np1/2p1p2p/3n4/6P1/2N5/PPP2P1P/R1BR2K1 w - -,f7h8
2k5/1q4p1/p2b1pNp/3pp3/3P4/PQ2P1P1/1P3PP1/6K1 w - -,b3a4
r1bq1rk1/pp2bpp1/2n2n1p/2p1p3/4P3/N1P2NP1/PP2QPBP/R1B2RK1 w - -,a3c4
8/p3k2p/4p2b/1p2P1p1/3P2r1/PB1K1p2/1P3R1P/8 w - -,f2f3
r2qr1k1/1p2bpp1/1np4p/p2pBQ2/3PP3/6P1/PP3PBP/1R1R2K1 w - -,e4d5
4rk2/p3bpp1/1p3q2/4n2r/4Q2P/4B1P1/PP3PB1/2RR2K1 w - -,d1d5
3r2k1/p5pp/4np2/2p5/7P/P1R1P1B1/3r1PP1/1R4K1 b - h3,d2d1
r1b3k1/1pq1bp1p/4pnp1/p3N1B1/7P/2P5/PPB1QPP1/3R2K1 w - a6,d1d4
8/5pk1/b7/p1r3p1/P2q4/Q1p2BP1/2R1PPKP/8 w - -,h2h3
1r2nk2/1r2bp1p/2Rp2p1/1p1P2PP/pP2Pp2/P2KB3/4N3/2R5 w - -,e3f4
8/7R/pr4p1/2p2k2/2P3NP/1P3P2/8/2bK4 b - -,c1a3
rnb2rk1/ppp1qp1p/1n4p1/8/3QP3/2N2N1P/PP2BPP1/R3K2R b KQ -,c8e6
r2q1rk1/p1p1bppp/b1p1pn2/8/2pP4/4P1P1/PP3PBP/RNBQ1RK1 w - -,b1c3
2r4k/1ppbq1bp/r5p1/p2PPp2/7P/PB3N2/1P3QP1/2R1R1K1 w - -,f3g5
5r1k/pR3p1p/2Q3p1/2qB4/3bP3/6P1/5PKP/8 w - -,c6c5
3r1bk1/1r6/6p1/PN1n1p1p/5P2/B2p3R/3P1NPP/2K5 w - -,a3f8
2n5/p1k5/4p1p1/3pP2P/2pP1P2/2P3K1/1r6/R3B3 b - -,g6h5
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP3N/2N1P3/PP2QPPP/R1B1K2R b KQkq -,b8d7
6k1/6pp/p1p1r3/1p1n1p2/2p5/5P2/PPPB2PP/R4K2 b - -,g8f7
8/6k1/4Q3/1Pp2pp1/3q3p/3P2P1/5P1P/6K1 w - -,e6f5
r4r1k/QR4p1/5pbp/8/4p2B/2q1P3/P5PP/5RK1 w - -,b7c7
3R4/5k2/pn3r1p/8/1p1N1ppP/2b5/P4PPB/6K1 w - -,d4e2
8/2pr1k1p/p4nRP/1pp1BP2/5P2/2P5/P1P5/2K5 w - -,g6g7
r1b3k1/pp3rpN/2nq3p/3pp3/3P2P1/3B2P1/PP2NP2/R2Q1RK1 b - -,e5e4
6k1/p1r2ppn/1p1p3p/2rPpP2/2P1P1Pq/4QR2/P2N3P/6RK w - -,f3h3
r3r1k1/5p1p/2pRb1p1/3nP3/pp3P2/8/PPK1B1PP/1N4B1 w - -,g2g3
r1r3k1/p2b1ppp/3Qpq2/8/2BP4/2P5/P4PPP/R3R1K1 b - -,c8c4
1rbqr1k1/3n3p/p5pb/3Qp3/3B1P2/2N5/PP2B1PP/R3K2R b KQ -,g8h8
8/8/6k1/4Q3/6PK/8/8/3q4 w - -,e5f5
r1b1k2r/1pq2p1p/p2pp1p1/4b3/2B5/2N2QP1/PPP2PP1/2KR3R w kq -,c4b3
r4rk1/pp2pp1p/2n3p1/5b2/8/1NR1P3/PP3PPP/3B1RK1 b - -,a8c8
r1b1qr2/p1p1ppbk/1p5p/3p2pP/3P4/2P1PNN1/PP3PP1/R2QK2R w KQ -,d1d3
r4b2/1q4kp/2p2pp1/p1P5/R3PB2/2Q4P/6P1/6K1 b - -,b7b5
r1bqk2r/pp2bp1p/2n1p3/1BnpP1p1/8/2P2N2/PP1N1PPP/R1BQ1RK1 b kq -,c5d7:a7a6
7Q/5k2/2r5/P3p3/3r1p2/1P3P1K/6P1/8 b - -,d4d6
8/1n2kp2/4b1p1/1Br4p/P4PP1/3RN1KP/8/8 w - -,f4f5
1r3r2/4qpkp/p5p1/2p2b2/2Q5/1P2P1P1/P4PBP/2R2RK1 w - -,e3e4
r1bqkb1r/1p1n1ppp/p2p1n2/2p1p3/B3P3/2PP1N2/PP3PPP/RNBQK2R w KQkq e6,e1g1
5rk1/R1p2ppp/8/4P3/8/3qn3/1PP3PP/5RK1 w - -,c2d3
8/3q4/4RR2/3p4/3kp3/6P1/5PK1/3Bb3 b - -,d4d3
rn1qkb1r/pp2pppp/2p2n2/3p3b/3P4/3BPP2/PPPN2PP/R1BQK1NR w KQkq -,b2b3
b1rr1qk1/p2n1ppp/8/PPpnp3/8/BN2PP2/3QB1PP/2RR2K1 b - -,e5e4
3rr3/pp2kp2/6p1/2p4p/2b2P2/P3PK1P/1P1R2P1/1B1R4 b - -,c4b3
r5rk/ppqn1bpp/3p1p2/n1pPpP2/2P1P1Q1/1BP1BRN1/P5PP/R5K1 b - -,d7f8
2R5/k1P4r/8/1p6/4K3/8/8/8 b - -,a7b7
8/3K4/1k6/8/2Q5/8/8/8 b - -,b6a5
r2q2k1/pb5p/1p6/2nPNrp1/P3pP2/8/2B1Q1PP/R2R2K1 b - -,b7a6
8/pR5p/4pk1p/2bn1p2/2N2P2/5BP1/5r2/4K3 b - -,f2f3
1rb1k2r/1pq1bppp/p1nppn2/2p5/P3PP2/2NP2P1/1PPN2BP/R1BQ1RK1 b k f3,b7b5
r6r/6p1/3k1p1p/2p1p3/2n1P3/2B2PP1/1PP1R2P/1NK5 b - -,d6c6
2r2nk1/2q3b1/1p1nr1p1/p2pNp2/P2P1P2/1PPQ2N1/3B2R1/5RK1 w - -,g1h1
r4r1k/pbp1q2p/1p2p3/5pp1/2NPp3/2P1P2P/PPQ2PP1/R4RK1 w - -,c4e5
5r2/1R1bk1pp/p1p2n2/3pp1B1/4P3/8/P1P1B1PP/7K w - -,e2g4
r1b2rk1/pp3pbp/6p1/q1NB4/P2n4/1Q2B1P1/1P2PP1P/R4RK1 w - -,b3c4
1b1r4/1b2kppp/1Nn1pn2/1N6/Bp6/4P3/1P1B1PPP/3R2K1 w - -,b5d4
3r4/1p4k1/p1q1Bn1p/5pp1/P3p3/1QB1P1P1/1P3P1P/6K1 b - -,g7g6
5rk1/pppqn1pp/3p4/P2P1r2/4pN2/P5P1/5P2/R1BQR1K1 w - -,d1g4
5rk1/5ppp/1p3q2/3R4/8/P6P/5rP1/R3Q1K1 w - -,e1f2
6k1/p5p1/1P5p/P4r2/8/2R2bP1/5P1P/6K1 b - -,a7a6
r2q1rk1/1p2bppp/2b1pn2/p3N1B1/PnBP4/1QN4P/1P3PP1/3RR1K1 b - -,c6d5
5b2/1p1r4/p3k1p1/N1Pb1p1p/PP2p2P/4B1P1/1K3P2/3R4 w - -,b4b5
4rbk1/1p3p1p/p2p3q/2r5/P1P1Pp2/1P3B1b/5P1P/R1BQR1K1 w - -,g1h1
2k3r1/p4p1p/1p3B2/2b2pP1/1P6/8/P5rP/2R1K2R w - -,b4c5
2kr4/pppb3p/1n1b2p1/3p4/6N1/2PB1P2/PP1B1P1P/2K1R3 b - -,d8f8
1r2bR2/1p4rk/p7/P1pPp1p1/6N1/8/1P4P1/4R1K1 b - -,b8c8
r1bq1rk1/1p1nppbp/p1pp1np1/8/2PPP3/2NBBP2/PP1Q2PP/1R2K1NR b K -,e7e5
rnb2k1r/1pp2p1p/p2b1p2/4p3/P1B1P3/2N2N2/1PP2PPP/R3K2R w KQ -,e1c1
8/8/2r5/2pR2p1/4P3/2k2K2/8/8 w - -,d5g5
6k1/p5P1/8/P1p4p/4p1pK/1P1b4/5r1P/B3R3 w - -,h4h5
8/1pp4k/6n1/p2P2P1/2Pp1rp1/PP6/6NP/4R2K b - -,f4f3
r2q1rk1/2p2pbp/p1ppb1pB/2n5/4P3/1BN2P2/PPPQ2PP/2KR3R w - -,h2h4
3rr1k1/1bq2pbp/2pp1np1/p1p1N3/P3P3/1P4PP/1BQN1PB1/3RR1K1 b - -,d6e5
r5k1/5p1p/6p1/8/4P1P1/1P2B3/p2R1PPK/8 w - -,e3d4
2r2rk1/pb2qppp/1p2p3/5n2/1PB1n3/PQ2PN1P/1B2KPP1/2R4R b - -,f5h4
r1bqk2r/2p1npb1/p2pp1p1/1p4N1/2BPPP1P/2N1B3/PPPQ4/2KR3R b q -,b5c4
2rqk2r/3bbppp/p2ppn2/1p2n1B1/3NP1P1/P1N2P2/1PPQ3P/1K1R1B1R w k -,g5e3
8/8/5b2/2K4n/4k3/8/8/8 b - -,h5f4
6k1/R5p1/5p1p/P3p3/1BR2n2/7P/1P3PPK/r2r4 w - -,c4c7
r1b1r3/2q2pbk/pp3npp/2p1p3/2P1P3/3QBN1P/PP2BPP1/2RR2K1 b - -,c8b7
5k2/8/1P1p1b2/p2P3Q/8/7P/1q6/4K3 b - -,b2e5
8/8/8/2R2k2/2P1pP2/6K1/8/2r5 b - -,f5f6
3r3k/1p2b1r1/p1b1p1q1/3pPp1p/P1p1nB1P/2P1PNP1/RPB3QK/4R3 w - -,a2a1
r2q1rk1/ppp2pb1/6pp/4p3/1P1BP1b1/3P1NP1/P4PBP/R2QR1K1 b - -,e5d4
8/R4pk1/1p5p/2p2b2/P7/6P1/2r2K1P/3R4 w - -,f2e3
4r1k1/5pp1/4Qb1p/8/8/3R2PP/5P2/3R2K1 b - -,e8e6
r1q3k1/3rn1p1/1pn2pNp/1p1bpP2/2p1N3/2P3P1/PP3QBP/3RR2K w - -,f2b6
rnbqk2r/p3bppp/1p1ppn2/2p5/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,e8g8
5b1k/1R5p/5pp1/4p2q/2Q1P3/3P2Pb/5P1P/5RK1 w - -,c4f7
r2kn3/pp2r1p1/2pN1p1q/8/3P2p1/3QP1P1/PP3KPP/2R2R2 w - -,d6b7
2r1b3/p1r1bpkp/4p1p1/1p6/3N4/2P3P1/PPBR1P1P/3R2K1 w - b6,c2b3
2r4r/1p3pk1/pn1b3p/4p3/3p4/1P1P3P/1P1B1PPN/2R1R1K1 b - -,c8c1
4rr1k/1p3qpp/8/2n1p3/2PpB3/3P3P/3Q1P1K/1R3R2 w - -,f2f3
5Rk1/3n2pp/Q1p5/2Pp2q1/3Pp1b1/2N1P3/3N2PP/6K1 b - -,d7f8
r1b2r2/1pnnq1kp/p1p1ppp1/8/3PP3/P1N2N2/BPQ2PPP/2RR2K1 b - -,b7b5
r4rk1/p1p2ppp/1npb4/5b2/2P5/1PN5/P2B1PPP/2KR1B1R w - -,c1b2
r1bqk2r/ppp1b1pp/2np4/3Np3/4N3/3P1Q2/PPP2PPP/R1B1K2R b KQ -,c8e6
2kr3r/ppqn1p1p/2pbpp2/8/3P2b1/5NB1/PPPQBPPP/1K1R3R b - -,g4h5
1k2n1r1/p1qr1pp1/2pbp3/1p5P/2PP4/4BQ2/PP2BPP1/1K1R3R b - c3,c7b7
r7/p4p1k/8/6R1/3b4/5PB1/P4PK1/8 w - -,g5d5
r3r1k1/pp1n1pbp/1q4p1/3B2P1/3p2n1/1P1P2P1/PB1NPP2/R1Q2RK1 b - -,b6a5
3rr1k1/pp2qpp1/2pb1n2/2N1n1p1/3B4/1P2P1P1/P3QPBP/2RR2K1 b - -,e5g4
3rk2r/pbq1bppp/4pn2/1pp1p3/4P3/1PPPN1P1/P3QPBP/R1B1R1K1 b k -,e8g8
2rqk2r/pp3ppp/2n1pn2/8/1b1P4/2NQ1NP1/PP2PP1P/R1B1KB1R b KQk -,d8a5
2k1Q3/8/1pp5/p7/P4Pq1/7p/7K/8 b - -,c8c7
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/PP2PN2/4BPPP/RNBQ1RK1 b - -,d7d6
r3r2k/3q3p/3n1PpP/3PQ3/8/1N6/1PP5/1K1R3R w - -,e5c3
8/7p/p7/3P1k2/2P1pb2/7P/P4BK1/8 w - -,f2d4
8/7p/4b1p1/p1r2p2/5k2/3B3P/2PK2P1/R7 w - -,a1e1
r2r2k1/1pqbbppp/p3p3/2p1P3/1nP1B3/2N2QP1/PP3P1P/R1B1R1K1 b - -,d7c6
6k1/6p1/4p2p/b2pPp2/P2P1P1P/1rp3P1/4NK2/2R5 b - -,b3a3
r1b3k1/pp2rpp1/2pp1n1p/2n1P3/P2R1P2/2N2Q2/BqP2BPP/5RK1 b - -,d6e5
