5k1R/6r1/5p2/5B2/4K1PP/8/8/4b3 b - -,g7g8
1r4k1/p1qbn1bp/3p4/2p1n3/4Pr1N/2P1N2P/P2Q2B1/3R1RK1 w - -,f1f4
3n4/2q2pk1/6pp/1p2p3/pP1pP1P1/3P1N1P/1P1Q1P1K/8 w - -,f3e1
r1b2rk1/p2nbppp/1qp1p3/P2n4/1p1PN3/1Pp1P1B1/N3BPPP/R2Q1RK1 b - -,b6d8
8/3nknpp/1p6/3Pp3/1PP4P/5KP1/P7/3R4 b - b3,f7d6
r3q1n1/2p2nbk/p5bp/NpP1p1p1/1P2PpN1/7P/PBQ1BPP1/3R2K1 w - -,f2f3
5r1k/1p6/1P1rpp2/5bp1/2KP4/5PpP/P5P1/R5R1 b - -,d6b6
2kr3r/1bqnnpb1/p2pp1pp/Pp6/1PpPP1PP/2P1BP1R/2BQNN2/2K3R1 b - -,e7c6
2rq1rk1/3b1pbp/p1Pp4/4p1P1/2Q1P2P/2n1B3/PP1N1P2/R3K2R w KQ -,c4c3
r4rk1/1pnqbppp/3pb3/4p1Pn/4P3/pPN1BP2/P1PQN2P/1K1R1B1R w - -,f3f4:e2g3
3r1rk1/1p4pp/2p2b2/2B2p2/2b2P2/P6P/1PB2P2/R3R1K1 b - -,f8e8
2rq1rk1/p3bppp/1p2pn2/3P4/3N4/1P3PP1/P3P1KP/R1BQ1R2 b - -,f6d5
8/5k2/3B3p/6p1/3pr3/6P1/R4K1P/8 b - -,f7e6
6k1/p1q2pp1/1p2bn1p/3p4/P2Pp2P/1P2N1P1/3QPPB1/6K1 b - -,c7d6
5r1k/b1r1n1p1/q6p/1R2Nb2/PQ1Pn3/4P1NP/6P1/R5K1 w - -,g3h5
1r2r1k1/2nn1p2/pp1p2p1/2pP2p1/P1Pb1P1q/3Q3P/1P1BN1BK/R4R2 w - -,e2d4
4b3/2k5/8/4P2p/1p1K4/1B6/8/8 b - -,c7b6
8/7p/p3R1pk/3P4/2p2p2/2qb1B1P/P4RP1/3K4 b - -,c3a1
r1bq1rk1/pp1n2pp/2p1p3/3p1p2/2PPnP2/1Q3N2/PP1NPPBP/3R1RK1 b - -,b7b6
2r2rk1/1p1pppbp/4n1p1/q3P3/4Q3/2P2N1P/PP3PP1/R1B2RK1 b - -,b7b5
1r2k2r/p3nppp/1qn1p3/3pP1B1/3P4/P2Q1N2/5PPP/R4RK1 b k -,e8g8
4b1k1/p1N3pp/8/3pPr2/4p3/1P5P/P4PP1/4R1K1 b - -,e8c6
2r2rk1/p3qppp/1p1bpn2/8/2PB4/1P1R1BP1/P1Q2P1P/R5K1 b - -,d6c5
5rk1/2r1bp1p/p3p1p1/1p1b4/3N1P1n/P2BB3/1PPR2PP/5R1K w - -,h1g1
4qk1r/Q3n2p/5P2/p3p3/P3P3/8/1PP5/2K3R1 b - -,e8f7
8/R4pp1/p2Bp1k1/3nP3/4r2p/P4K1P/6P1/8 b - -,e4f4
3b1B2/7p/6p1/3k4/4p3/6P1/nK5P/8 b - -,e4e3
r4rk1/pbq1bppp/1p1p1n2/4p3/4PP2/2NQBB2/PPP3PP/R4R1K w - -,g2g4
rnb2rk1/pp2ppbp/6p1/q2p4/2PPn3/2N1BN2/PP2BPPP/R2QK2R w KQ -,e3d2
6k1/7p/3n1bp1/ppNq4/1P1p1P1P/P2P4/4Q1N1/6K1 w - -,g1f2
r1b2rk1/2qnppbp/2pp1np1/p7/Pp1PP3/3BBN1P/1PPQNPP1/R4RK1 w - a6,e2g3
rn3rk1/pb2q1pp/1p1pp3/2p2p1n/1PPP4/2Q1PP2/P3BNPP/R1BR2K1 b - b3,b8d7
r7/6rk/2p1q2p/1p2Pp2/1P1Pp2P/4Pb2/N1R2Q1R/6K1 w - -,g1f1
r2q1rk1/pb1nbp1p/1p2p1p1/2ppP3/2P2P2/1P1BP3/PB1N2PP/R2Q1RK1 w - -,c4d5
8/8/7p/5p1k/4pP1P/6K1/8/8 w - -,g3h3
8/p2n1pk1/4p3/q3P3/1p4pp/8/P1R2PPP/1B2R1K1 w - -,c2e2
8/1p1k4/1K6/P7/8/8/2P5/8 b - -,d7c8
6k1/p1q4p/1pb1pn2/3pNpp1/P2P4/QP2P1P1/5P1P/5BK1 b - -,c6e8
r1b2rk1/1pq1ppbp/p2p1np1/n7/2P5/1PN1B1PP/P1N1PPB1/R2Q1RK1 b - -,c8d7
r6k/ppqn1r1p/2pp3B/4bp2/1PP2P1R/6P1/P5BP/3QR1K1 b - f3,e5c3
r2q1rk1/2n1bpp1/b1p1p2p/ppPpP3/3P4/3B1NP1/PP1N1P1P/R2QR1K1 b - -,b5b4
8/R5pk/1r2p2p/2Nb1p2/3P4/4P2P/6P1/6K1 w - -,c5d3
1q3bk1/3Q1p1p/p5p1/2P4n/3B1P2/6PP/6BK/8 b - -,b8b3
r4k2/pp2bp2/4p3/4Q3/P3N1P1/1q5P/3R4/5R1K b - -,b3h3
r4rk1/pp1bqppp/2nbpn2/8/4P3/PNNB4/1P1B1PPP/R2Q1R1K b - -,c6e5
3r2k1/ppq2p2/6p1/P1P4p/2Qb4/3N2P1/P3PP1P/1R4K1 w - -,e2e3
8/1p1kp3/p2p3p/3P2p1/1P1N2P1/P4K1P/8/1b6 b - -,b1d3
2r3k1/1bq1rpbp/p2p1np1/1p6/3N1P2/2P1BB2/PP1Q2PP/3R1R1K w - -,e3g1
5k2/p2r1pbp/R5p1/8/1P6/3p4/P2B1PPP/3K4 b - -,g7d4
8/8/pB6/1p1p4/P1pPk3/2P1r3/KP6/8 b - -,e4d3
1r6/5pkp/p1R1p1p1/4Pn2/PP2R3/5P2/3rNP1P/6K1 b - -,d2e2
3Rr1k1/8/pR2r1p1/P3b1Pp/1B6/7P/8/7K b - -,g8f7
rn1qkb1r/1bp2ppp/p3pn2/1p6/3P4/3BPN2/PPQ2PPP/RNB1K2R w KQkq -,c2e2
2r1q2k/6p1/1nbnpr1p/p2pN3/1p1P2QP/3B2P1/PP1N1P2/R3R1K1 b - -,c6b5
6k1/N4p1p/1p4p1/1P1p4/3P4/4P2P/P1r1KPP1/8 w - -,e2f3
8/ppr2k2/3npr1p/3pR1p1/8/2PB1P2/PP4PP/3R2K1 b - -,d6c4
2r4k/1bqnbp1p/pn1pp3/1p5N/3PP3/1P1Q1N1P/P1rBR1B1/5RK1 w - -,f3e1
8/1p2k1bp/2n3p1/1N3r2/PPKpNP2/7P/6P1/3R4 w - -,g2g3
8/pp4pp/3k4/8/2P5/2K5/PPR3PP/4r3 w - -,c2d2
1qrr2k1/1b2bppp/pp1ppn2/4n3/2P1P3/2N1NP2/PP1QBBPP/2RR3K b - -,b7c6
8/4np2/1k2p1p1/1p6/1P2BPP1/2PK4/3B4/6b1 b - -,b6c7
k1b5/pp3pp1/3Pq3/2Qp4/4p3/8/PP3P2/1K3B2 b - -,a7a6
rnbqr1k1/1p3pb1/p2ppnpp/2pP2B1/2P1P3/2NB1N1P/PP3PP1/R2Q1RK1 w - -,g5e3
r2qkb1r/1p1n1ppp/p2pbn2/4p3/4P3/1NN1B2P/PPP2PP1/R2QKB1R w KQkq -,f2f4:d1f3:g2g4:d1d2
r1b1rnk1/ppq1bppp/2n1p3/2p1P3/8/1BP2NN1/PP2QPPP/R1B1R1K1 w - -,h2h4
7r/pp2kn2/2p2nb1/4pB1p/7P/5Pb1/PP2N3/1K1RR3 w - -,e2g3
2b1r3/1p1n1kbp/1ppn1pp1/4p3/r3PPP1/PNP4P/1PN2KB1/R1B1R3 b - -,e5f4
1r4k1/3r1ppp/4p3/4P3/ppP1pP2/1P2Q3/P3BKPP/8 b - -,a4a3
4Rbk1/7p/1N3pp1/3P4/4P3/7P/1P3PPK/2r5 b - -,g8f7
8/1p6/p5p1/P1nkPp1p/5P1P/3K4/3B4/8 w - -,d3e2
r4rk1/1pp3p1/3p1bq1/p2P1b1p/P7/R3R1P1/1P1Q1PBP/2B3K1 b - -,h5h4
r3k2r/2q2ppp/p2b4/1ppPn3/6PP/4B3/PPP1BQ2/2KR3R b kq -,e8c8
r1br2k1/2qpbppp/p1n1p3/1p4Pn/3NP3/2N1BP2/PPPQ3P/1K1R1B1R w - -,f3f4
2r5/5p1p/ppP2kp1/2p5/P7/5PP1/1P3K1P/4R3 w - -,c6c7
3r2r1/p1qk1pp1/2p1p2p/3nP2P/2p1QP2/7R/PP1B2P1/1K1R4 w - -,e4c4
8/3b1pk1/3p1p2/3P3p/r3P3/1pK1NP2/6PP/2R5 b - -,a4a2
r2q1rk1/pbn1ppbp/1p1p2p1/2p5/1PPnP3/P1NPB1P1/4NPBP/1R1Q1RK1 w - -,d1d2
8/k7/P5p1/2P1pPP1/4P3/1p4K1/3b4/5B2 b - -,g6f5
3r1rk1/1p3p2/3qb1p1/p1npb2p/3p1N1P/PB1P2PN/1PP1QP2/R3R1K1 b - -,e5f6
1r3rk1/4ppbp/pqp3p1/4P3/3P2b1/P3R3/BPQ1N1PP/3R2K1 w - -,e3b3
1r2rnk1/5pn1/1q1p2pp/p1pP2P1/2Pb1P2/1P4NQ/3B2BP/1R3R1K w - -,g5h6
3R4/1p5k/p3p3/P3Pn2/2r2p2/8/1P3B2/6K1 b - -,h7g6
r1b2rk1/p1p3pp/2pp4/Q7/2P5/3B4/PP3qpP/2KR2R1 w - -,a5c7
8/p1p5/3p3p/2kP4/4BP2/1Pbp2P1/P3K2P/8 w - -,e2d3
r1bq1rk1/p1n2pbp/1p1p1np1/2pP4/P3P3/2N5/1P1NBPPP/R1BQR1K1 b - -,a8b8:f8e8
1r1q1rk1/pp3pbp/6p1/4p3/QR6/3P2P1/P3PPKP/2B2R2 b - -,d8d5
8/8/8/5k1P/2K2p2/2P1p3/3r4/6R1 b - -,f5e4
8/3Q4/8/5k2/6p1/7r/6K1/8 b - -,f5g5
2kr3r/p1p5/1pnq4/3p1pp1/P2P2b1/2PBP1Pp/2PQ3P/1RB2RK1 b - -,h8f8
2r5/p4kb1/1p2pp2/6p1/3P3p/1n2PP2/PRr2BPP/1R2K3 w - -,a2b3
r5k1/3P4/4P1p1/1p4p1/2p5/n1r3B1/P4P2/R1K5 w - -,c1d2
rn1qkb1r/pp3ppp/2p1bn2/3P2B1/3Pp3/2N3P1/PP2PPBP/R2QK1NR b KQkq -,c6d5
4r3/3q1p1k/1pNp1Pp1/3P1bQR/4n3/7P/2B3P1/7K b - -,h7g8
r1b2rk1/1p2qppp/p3pn2/4N3/8/5B2/PPP1QPPP/3R1RK1 b - -,e7c7
r1bqk2r/1ppn1p1p/p3pb2/4Np2/3P4/2N5/PPP1BPPP/R2QK2R w KQkq -,f2f4
R4b1r/1p2k2p/1q1p2pn/4p1N1/3pP3/Q2P2P1/1rP3BP/5RK1 w - -,g5h7
rnbqk2r/ppp1bppp/3p1n2/3Pp3/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,g2g3:e2e4
r1bq1rk1/1p4pp/p3pb2/8/3nNB2/P4N2/1P3PPP/R2Q1RK1 w - -,e4f6
3r4/1p2kp2/4p3/4b3/4N3/8/PPP1K3/7R b - -,d8a8
2r1r1k1/pb1qppbp/1p4pB/2pPp3/2P5/3P2PP/PP1Q1PB1/4RRK1 b - -,e7e6
r1b1rbk1/p1qn1pp1/1pN2n1p/8/2P5/1PN3P1/PBQRPpBP/3R2K1 w - -,g1f2
5q1k/1p3p2/p1p1rp1p/5Q2/3P2R1/P6P/1P3PP1/6K1 b - -,f8d6
8/5pk1/4p2p/p3P1pP/1p1q4/1P1N2P1/n1Q2P1K/8 w - -,f2f4
8/p1k5/Pp3pp1/1P3p1p/N1KP1P1P/b5P1/8/8 w - -,c4d5
5rk1/7p/2ppp1p1/p1n3q1/2PQ4/1P3PrP/P3B1P1/1R1R2K1 w - -,e2f1
r2Q1rk1/pp2b1pp/2p5/5p1b/2P5/P3Bn1P/1PB2PP1/R4RK1 w - -,g2f3
8/8/1k6/ppnPK3/3N4/PP6/8/8 b - -,c5d3
2r5/1p3r1k/p2RR1p1/8/6KP/bP2B3/5P2/8 w - -,d6d5
r1r1n1k1/pn2qpp1/3pp2p/2p5/2P5/2B2NP1/PPQ1PPKP/R2R4 w - -,d1d2
r2nr1k1/1pp1qpp1/3p1n1p/4p3/pPP3b1/P1QPPN2/1B2BPPP/R3R1K1 w - -,a1c1
3k4/2p5/2P2Nq1/p3R1P1/1p4K1/8/8/8 b - -,b4b3
8/4k3/2p2p2/1p2pP1P/1P2P3/4N3/2PKB3/6r1 w - -,e3f1
r1b1r1k1/1pp1qpb1/p4np1/2p4p/P3PQ2/2N3NP/1PP1BPP1/3R1RK1 b - -,c7c6
2bqr1k1/1p3ppp/2pp1n2/2b5/1P2P3/3P1Q1P/1BNN1PP1/R5K1 b - -,c5b6
1r1r2k1/Np3pp1/p4n1p/P1PPQ3/q2npN2/5bPP/5PB1/2R1R1K1 w - -,c5c6
2r1r1k1/pb1n1ppp/1qpb1n2/1p2P1B1/4P3/2NQ1N2/PP2BPPP/2RR2K1 b - -,d6e5
3r2k1/5b2/2q2b2/p1n2Q2/Np1p1B2/1P3P2/P3r1B1/4R1K1 w - -,e1e2
r4rk1/p1p1bppp/2n1q3/2ppP2Q/8/2P5/PP3PPP/RNB1R1K1 w - -,f2f4
r7/1b2rp1k/p2b1q1p/1p6/3Pp3/1PN3PQ/P2B1P1P/2R1R1K1 w - -,d2e3
6rk/5Qp1/R4p1p/4p2P/4P3/p5P1/1q3PK1/8 w - -,f7c4
3r1rk1/1bq3pp/3p2n1/pp2p3/4PnB1/1PPNQ3/P2RN1PP/3R3K w - -,d3f4
8/1pp5/3b4/p5p1/P3K1k1/8/1P6/6R1 b - -,d6g3
r1k1r3/1bb2p1p/4Q3/p7/2N1n1R1/4B3/PPP2P1P/2KR4 b - -,f7e6
3n2k1/1p3ppp/p2Np3/3n4/r2P4/4P3/1B2bPPP/2R3K1 w - -,c1c8
2r5/p4q1k/2pRb1r1/2P1p1pp/2p1Pp2/5P2/PQ5P/1R2B2K b - -,c4c3
8/8/8/2n1Bk2/1r5P/6K1/5N2/8 w - -,e5d6
6k1/1p4p1/2b4p/p2qP3/2p5/2Pp2BP/1P1Q2PK/8 w - -,g3f4
2r1nr1k/1q2b1pp/p2ppP2/2n3B1/1p1N1P2/6Q1/PPP1R1PP/1NKR4 b - -,e8f6
r1bqkbnr/3p1p1p/p1p1p1p1/8/4PB2/2NB4/PPP2PPP/R2QK2R b KQkq -,d7d6
r2q1r2/3bppk1/3p1npp/3P4/pRPP1B2/1nN4P/1Q2BPP1/3R2K1 w - -,c4c5
8/5pkp/5r2/p7/8/1P3pPq/P1P2P1P/4RQK1 b - -,h3f5
5r1k/2p3b1/2P5/3pN2R/1p2n3/r3B2P/P1K2p2/5RN1 b - -,h8g8
r2q1rk1/ppp3bp/2np1np1/4p3/3P2bN/2N2PP1/PPP3BP/R1BQ1RK1 b - -,e5d4
rnb2rk1/2q1ppbp/p1pp1np1/1p6/2PPP3/2N1BN1P/PPQ1BPP1/R4RK1 b - -,c8b7:b8d7
3R1rk1/p4pbp/1p2p3/4Pbp1/Q1P5/6P1/P3PKBP/8 b - -,f8d8
3r4/1p3pk1/p2p2p1/3Pp2n/PP2P3/7R/3N1N2/6K1 w - -,h3c3
2r3k1/1bq1bpp1/p3p2p/1p6/3rpPQ1/P1N1P1P1/1PP2R1P/R5K1 w - -,e3d4
3r2k1/p1R2pp1/1p1P3p/5q2/3Q4/1P2p1P1/P4P2/6K1 w - -,d4e3
r2q1rk1/pp2ppbp/2n1b1p1/3n4/3P4/1QN2N2/PP2BPPP/R1B2RK1 w - -,b3b7
rn1qk2r/pbppbppp/4pn2/8/P2P4/2P2NP1/4PPBP/RNBQ1RK1 b kq -,e8g8
r4rk1/1p1bbp2/1qn1p1pp/4P3/2p5/1N1Q1N1P/P4PPB/1B3RK1 w - -,d3c4
rn1qkbr1/1bpp1p1p/p3pp2/8/Pp1PP3/5NP1/1PPN1PBP/R2QK2R b KQq -,c7c5
3r3k/1q4p1/R4p1p/4p3/2N4P/1P2Q1P1/5PK1/8 w - -,g2h2
5k2/3n2pp/1Q1r1p2/p1p1p3/8/1PB1P2P/P1R2PPK/8 b - -,d6b6
2kr1b1r/pp3ppp/2p1pn2/8/1P6/5BPP/P1PP1P2/1RB2RK1 b - -,f8e7
r2qk2r/1bpnpp1p/p2p2pb/1p1P4/3BP1n1/P1N2N2/1PP1BPPP/R2QK2R b KQkq -,g4e5
1k1r3r/1bp1bp2/1p5p/p2PPB2/P3R1p1/1N4B1/2n2PPP/1R4K1 w - -,d5d6
8/8/5b2/5pk1/3qp3/2p3P1/1P2Q3/1K1N4 w - -,d1c3
3r1rk1/1bpqbppp/p1np1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/R1BQRNK1 b - -,e5d4
2r5/5kpp/p2Rbp2/1pp1p3/4qP2/8/PPPQ2PP/2K1N3 w - -,f4e5
8/4kn2/5p2/5P2/4K3/6P1/3N4/8 w - -,d2c4
r1q1r1k1/pb3pbp/1p1p1np1/2pN4/2PNn3/4P2P/PPQ1BPPB/2RR2K1 w - c6,d5f6
rn1q1rk1/1p2ppb1/p5p1/2p2b1p/2PPp3/1P2P3/PBQNBPPP/R4RK1 w - -,d4c5
4rk2/5p2/pp6/3N2p1/PP2P3/7Q/5KP1/q7 b - -,a1g7
2kr3r/p1qb1pp1/2p1p2p/1p1nP2Q/3P4/3B4/PPPB2PP/2KR3R w - -,h5f7
r2qr1k1/1pp2pbp/n2pb1p1/1N1PP3/1P3P2/pQ4PP/P4BB1/3RR1K1 b - -,e6d7
r2q2k1/3b1rpp/p1p4n/2Bpb3/B5P1/2N2Q1P/PPP5/R4RK1 w - -,f3e3
3r3r/2kb2pp/p4p2/NpbR4/2p1P3/5P2/PPP3PP/R4K2 w - -,d5c5
rnb2rk1/pp2qpp1/2p4p/3p4/3P4/2PBPN2/P1Q2PPP/R4RK1 b - -,c8e6
2r1nrk1/2qbbppp/p1npp3/1pp5/4PPPP/3PBNN1/PPP3B1/R2Q1RK1 b - -,d6d5
r3kn2/p1q1b3/P4p1r/3p3p/1p1P4/1N1P1Q2/1P2RPPP/R5K1 b q -,a8d8
r2q1r2/pp2ppbk/1n4pp/n2PB3/8/2N2BP1/PP3P1P/R1Q1R1K1 b - -,g7e5
r2q1rk1/pbp1ppbp/1p1p2p1/n1P5/3P4/2P2NP1/P1Q1PPBP/1RBR2K1 b - -,d6c5
8/2p5/5B2/p1k2K1p/P6P/1P6/5b2/8 w - -,f6c3
3rkb2/8/p2qr1pp/1p1pp3/8/1B4QP/PP1BRPP1/R5K1 w - -,a1e1
8/p4p1k/6pp/Nr1P1q2/4Q3/1P3P1P/1P6/1K1R4 b - -,f5d7
8/3k4/3P4/4p2p/2r5/3RK2P/8/8 w - -,d3d5
1r3rk1/3b1pp1/4p2p/2q5/pp1N1P2/4Q3/PPPR2PP/K2R4 w - -,e3e5
8/p7/1p4k1/P1n2p1p/1N3K2/2p5/8/8 b - -,b6a5
3r4/pp1r1pk1/6p1/3p3p/2R1Pp1n/P2B4/1P3PP1/4R1K1 w - -,e4d5
2rr2k1/p1q1bppp/bpn1pn2/2p5/2PP4/P2BPN2/1B1NQPPP/R2R2K1 w - -,d2e4
r2qk2r/ppp1bppp/3p1nn1/3Pp3/2P1P1bP/2N2NP1/PP2BP2/R1BQK2R b KQkq -,e8g8
8/1r3k2/1pR2p1p/p1p2Pp1/P1P1K3/1P6/5P1P/8 w - -,c6e6
1N4k1/1b4p1/4p3/pp1Q2KP/2p2PP1/4R3/P2R4/8 b - -,b7d5
8/5qpk/3B1p1p/8/4b2P/6Q1/6P1/6K1 w - -,d6f4
6k1/1p5p/p3pp2/8/P2b4/2N5/1P2KPPP/8 w - -,e2d3
4Rbk1/Q5pp/1p6/2np1q2/5P2/1P4P1/P4B2/6K1 w - -,a7b6
