1r5k/6p1/p4r1p/4QP2/8/7P/6P1/6K1 b - -,b8b5
5r2/P7/K7/1P2k3/8/2PR4/6b1/8 w - -,d3d2
8/1n1k1p2/1R2p1p1/1P1pP3/3K4/5P2/7r/5B2 b - -,d7c7
8/7p/5kp1/5p2/3p1p2/1B6/2P1K1PP/8 w - -,e2d3
2q1r3/1p1n1pk1/p2pr1p1/2p3Pp/1P2PP2/P1P1R1QP/2N3K1/4R3 w - -,h3h4
r3rbk1/ppp2ppp/4b3/4N3/3P4/2B4P/PP3PP1/R3R1K1 w - -,a2a3
r2r2k1/pp2bppp/2n1p3/3q3b/3P4/PQ2BN1P/1P2BPP1/R2R2K1 w - -,b3d5
r1bq1rk1/1ppn1pbp/p2p1np1/4p3/2PPP3/2N1BP2/PP1QN1PP/3RKB1R b K -,d8e7
r2r2k1/1pp1qpbp/6p1/2N5/1PQ2p2/3PP1P1/6KP/2R1R3 w - -,e3f4
r3kb1r/1bq2ppp/p2pp3/1p4P1/2nnP3/2N2P1B/PPP1QB1P/2KR3R w kq -,f2d4
3r2k1/p1p1rp1p/1p4p1/3p4/3PnN1P/4P1P1/PP3PK1/R2R4 b - -,g8g7
1R6/8/6k1/7p/4n2P/r5PK/8/8 w - -,h3h2
r7/p3kpp1/2rp1n1p/1p2p3/2b1P3/1BPRBP2/PKP3PP/R7 w - -,d3d2
1n1q1rk1/r3bppp/4pn2/p1NbN3/Pp1P4/3BB3/1P3PPP/2RQ1RK1 w - -,d1e2
8/2p3k1/2PpK3/1p1P2P1/8/8/8/1Br5 w - -,b1f5
r1bqkb1r/1ppn1ppp/p3pn2/8/2QP4/6P1/PP2PPBP/RNB1K1NR w KQkq -,g1h3:c4d3
1k1r2nr/ppq2ppp/2pbpn2/8/1PBP4/5N1P/P1PBQPP1/R4RK1 b - b3,g8e7
2r5/2Pk1np1/1R2p2p/pN1pPp2/P4P2/2P5/6PP/6K1 w - -,b6a6
1r4k1/1p5q/p2NP1p1/P7/3p1P1p/8/1PQ3PP/7K b - -,g8f8
rnr3k1/1p1qppbp/p2p1np1/8/2PNP3/1PN1BP2/P5PP/R2QK2R w KQ -,d1d2
r1bqkbnr/pp3ppp/2n1p3/3pP3/3P4/p1P2N2/5PPP/RNBQKB1R b KQkq -,c8d7
r2q1rk1/1p1n1pbp/p2p1np1/2pP4/P3P1P1/2N1BP2/1P1NQ2P/R4R1K b - -,f6e8
r1bbk2r/1p1n1p1p/pB2pPp1/3pP3/B7/1RN3Pq/P1PQ3P/4KR2 w kq -,b6d8
1rb2rk1/2q2ppp/p1p1pn2/3P1P2/1b6/2NQB3/PPP1B1PP/R4RK1 b - -,c6d5
1r4k1/1p1b1p2/p2p2p1/3Pb2p/4P1n1/N2p3B/NP6/R4RK1 w - -,a1d1
r1bq1rk1/pppn1pbp/3p1np1/4p3/P2PP3/2N2NP1/1PP2PBP/R1BQ1RK1 b - a3,a7a5
6n1/p5k1/1pr2bPp/8/8/7P/1R4K1/1B3R2 b - -,g8e7
5q2/Q7/3pk1p1/4p3/1p2n3/3b4/1P1B2PP/4R2K w - -,a7e3
r1b1k2r/5ppp/2P1p3/p7/1bB5/4BN2/1PK3PP/RN5n w kq -,b1d2
8/p2Q2p1/Pp3k1p/1Pq5/4p1P1/5P2/7P/5K2 w - -,f3e4
1q4k1/3n1pb1/p2P2pp/1Np2b2/2B5/P4N2/1P1Q1PPP/6K1 w - -,b5c3
3B1bk1/7p/p3p1p1/8/pP6/8/P3K1PP/8 b - -,f8b4
3r1r2/p4pk1/1pq1pnp1/6Qp/2p2P2/2P4P/PPB5/2BR1RK1 w - -,d1d8
r4rk1/2p1qppp/p2b4/1pp1pP1n/8/1P1P4/PBPN1PPP/R3QRK1 b - -,e7g5
r2qnr1k/6pp/p2p1p1b/1p1N1R2/3BP3/P1P4Q/1P4PP/3R3K b - -,a8b8
8/5R2/5p1k/5P2/6P1/r5K1/8/8 w - -,g3h4
1r2r1k1/1p3pb1/p6p/N1PRPPp1/1P6/2B5/1P2p2P/4K3 b - -,b7b6
r1b1k2r/1p3pb1/p2p1npp/4pP2/P2NP3/2NPB3/1P4PP/R3K2R w KQkq e6,f5e6
1rq2r1k/2pbnpb1/p2p2pp/P7/2BnP3/2PQ2B1/5PPP/R3RNK1 w - -,c3d4
r1b2rk1/p3ppbp/2p3p1/q7/4B3/2P1B2P/PP3PP1/R2Q1RK1 b - -,a8b8
r1bqk2r/pppnnpb1/3pp1pp/8/3PP3/2PBB3/PP1QNPPP/RN2K2R w KQkq -,b1a3
8/1b2b3/7B/7P/2P1p1k1/8/5K2/8 b - -,e7c5
r1bq1rn1/ppp2pbk/3p2pp/2nPp3/2P1P3/2N1BP2/PPBQ2PP/R3K1NR b KQ -,a7a5
8/1R4pk/7p/4rp2/8/6P1/7P/7K b - -,e5e2
r1bqnrk1/4bppp/2p5/2npP3/5B2/2NBP3/4NPPP/2RQK2R w K -,d3c2
2k5/1p5p/p7/5R2/P4P2/1K4P1/2r5/8 b - -,c2g2
2q1rrk1/p1pn1pbp/3p2p1/2P1P3/4QP2/1P6/PB1N2PP/2KR1R2 w - -,c5c6
1r6/p2rpk1p/1pRb1pp1/3P4/P3P3/4B1P1/2R2PKP/8 w - -,c2b2
r1b1kb1r/1p1n1pp1/pq3n1p/4p3/2BNP2B/P1N5/1PP3PP/R2QK2R w KQkq -,d4b3
rn1qkb1r/pp3ppp/4bn2/3p4/3Q4/2N2NP1/PP2PPBP/R1B1K2R b KQkq -,b8c6
2r1r1k1/1p2qppp/p4n2/5R2/4p2Q/3P3P/PP4PB/5R1K w - -,h2e5
2Rr2k1/4q1pp/1p2p3/p2b1p2/Pn1pn3/NP2PNP1/1Q3PBP/3R2K1 b - -,d8c8
rn3rk1/p1p2ppp/bp2pn2/3q4/1b1P4/2N2NP1/PPQ1PPBP/R1B1K2R b KQ -,d5b5
r3r1k1/p1qn1ppp/1p2pn2/3bN3/3P3B/1BP1Q3/P4PPP/3R1RK1 b - -,d5b3
1r3r1k/3q3p/1p3p2/3N1b2/2Qp4/3P1BP1/P3P2P/2R3K1 w - -,c4d4
4r2k/q4p1p/3Q4/3PP2p/2p2P2/6RP/3r2P1/3NR1K1 w - -,d1e3
5R2/8/p7/P3B3/3Kp3/3bP2r/6kP/8 b - -,h3h7
7k/pp4q1/3p3n/2pPb3/2PpQ1p1/6P1/PP4KP/3B1N2 b - -,h8g8:g7g5
8/6Rp/p2kP3/r4P2/1pp5/4K3/2P4P/8 w - -,g7d7
r1b1k2r/pp2np2/2q3pp/8/3N4/8/P1PQ1PPP/R3KB1R b KQkq -,c6e4
4r1k1/pb1n1p2/1p3n1p/3pq1p1/1P1Q4/Pr1BPP2/5BPP/R2R2NK b - -,b3b2
8/4kppb/7p/1pNpp3/1P6/r2P2P1/3K1P1P/2R5 w - -,h2h4
r4r2/1bqn1pkp/p2p1np1/1p2p3/P3P3/1NNB3P/1PPQ1PP1/1R2R1K1 b - -,b5b4
2r3k1/p4pp1/1p2q2p/2rp4/3Q4/P3P1P1/1P1R1P1P/3R2K1 b - -,a7a5
8/pkq3r1/1p2pQB1/3bP2p/2p5/2P5/P1P2PPP/3R2K1 b - -,g7g8
r1b2rk1/pppp1ppp/5n2/4q3/4P3/2bQ4/PPPB1PPP/2KR1B1R w - -,d2c3
1r1r1bk1/R4p2/1pB2npp/1P2p3/R1pp3P/3P2P1/3BPP2/6K1 w - -,d3c4
7R/p3rkpp/1p6/2n5/2N5/P4P2/2K3PP/8 w - -,c2d2
1rrb2k1/1p3pp1/p1b1pn2/6pP/1NP5/PB4N1/1P3PP1/3RR1K1 b - -,c6e8
r2k4/1ppqr3/3p1Qp1/p2BpP2/6P1/PP2R3/4P3/3R2K1 w - -,f6h8
8/7p/3p3k/5P2/1p6/4R3/2r2KRP/r7 w - -,f2g3
4n3/3k2pp/R3pp2/8/4PNPP/2r2PK1/8/8 w - -,f4e6
r6r/2pnkpp1/p4n1p/1pb1p3/4P3/PPN1B3/1P2BPPP/2KR3R w - -,b3b4
3r4/4kp1p/1n2b3/4P3/p2P4/1PP3R1/P2K3P/6R1 w - -,g3g8
1k6/p1qr2p1/Pp2p3/1P3p2/5n1p/5B1P/1Q3PP1/3R2K1 w - -,d1c1
r1B1r1k1/4qp1p/p2p2pB/2pPb3/1pP5/1P1Q3P/P4PP1/3N1RK1 b - -,a8c8
rr4k1/3nppbp/3p1np1/2pP4/Pq2P3/2N2NP1/1P1BQPKP/R6R w - -,h1b1
1R6/6pk/1R5p/5p2/8/5K2/PP1r2rP/8 w - f6,a2a4
rnb2rk1/p3qpp1/1bpp1n1p/1p2p3/P2PP3/1BP2N2/1P3PPP/R1BQRNK1 w - -,f1g3
r2qk2r/pp1nbppp/2n1p3/1B1p1b2/3P1B2/2N1PN2/PP3PPP/R2Q1RK1 w kq -,a1c1
6k1/p4p2/1p1Pp1pp/8/4PPP1/3QK1q1/8/8 w - -,e3d4
rnq1k2r/pp2bppp/2p1pnb1/3p4/2PP3N/1QN2PP1/PP2P1BP/R1B1K2R w KQkq -,h4g6
1q2r1k1/5p1p/p4np1/QP1p2r1/P2N4/5P1P/5KP1/1R1R4 w - -,a5d2
1n2r1k1/2q2n1p/pN1p2pb/2pP1b2/2N2p2/1Q2P2P/1P2BPPB/R6K w - -,e2f3
3qk2r/1b2ppbp/p2p1np1/2p5/1rP5/1PN1BPP1/P1Q1P1BP/R4RK1 b k -,b7c6
2krqb1r/ppn2pp1/2pBp3/2Pn1bPp/3PN2P/PB3P1N/1P3Q2/2KR3R w - -,d6f8
8/4r2p/P5p1/5p2/2kp1P2/2p2KPP/2R5/8 w - -,c2a2
r6r/7p/ppqkpQ2/2p5/2Pb4/2N3P1/PP3PKP/3R1R2 w - -,f2f3
8/8/pn3k1p/1p1p4/1P1P4/P1r2PP1/4NK2/8 w - -,e2c3
5rk1/pr2p1bp/2q2pp1/3p4/1p1B4/8/PPP1QPPP/1K1R3R b - -,e7e5
5rk1/pb6/6p1/2pP1r2/3b1Bp1/1PN3P1/P6K/2R2R2 b - -,f5h5
3q4/1p3k1p/p2Qnpp1/3Np3/2P5/7P/1P3KP1/8 w - -,d6b4
2brrnk1/pp2qppp/2p5/2N4n/2BPP3/8/PPQ1N1PP/R4RK1 b - -,f8e6
6k1/3rppbp/p5p1/1p6/8/2P1B3/PP2KPPP/3R4 b - -,d7d1
rnbqkb1r/pppp1ppp/1n2p3/4P3/2PP4/5N2/PP3PPP/RNBQKB1R b KQkq -,d7d6
3rk3/p2prp1p/1p4pb/1Bp1P3/5P2/P2R1KP1/1P5P/3R4 b - -,h6g7
2b1q2k/3n2bp/1p1p2p1/2pPp1N1/P1P1Q1P1/1P1N3P/3B4/5K2 b - -,d7f6
8/8/8/5p2/4q3/4p1P1/5k1K/6Q1 b - -,f2e2
2R5/6p1/8/8/4K2k/8/8/8 b - -,h4g4
8/p6p/5k2/1p1n2p1/3N4/2K5/5PPP/8 w - -,c3b3
r3k2r/pp3p1p/2qppp2/2b5/2P5/P1NQ2P1/1P2PP1P/R4RK1 b kq -,a8c8
8/5pk1/2Bp4/3Pq2p/P7/2rR1QP1/5PK1/4r3 b - -,c3c1
5k2/1b2b2Q/p3pp1P/1p6/8/8/PPP2PPK/3r4 b - -,e7d6
3r3k/p2r2p1/Pp3p2/3bp3/2B5/1P5P/2P2PP1/3RR1K1 w - -,c4b5
r4rk1/1p3p1p/4b3/1p4p1/8/P7/1R2NPPP/1R4K1 b - -,e6c4
6k1/1pp2ppp/8/p3P3/P4PQ1/3rP1P1/1P3K1q/R1B5 w - -,f2f1
r5k1/p2b2p1/1p1Bp1n1/3pP1rp/P1p2PB1/2P4P/2P3P1/R4RK1 b - f3,g6f4
1r1r2k1/2q2pbp/p3p1p1/1P4P1/P2p1P2/1P5P/2PQP1B1/3R1RK1 b - -,a6b5
rnbqkb1r/3p1ppp/p3pn2/1PpP4/8/2N1P3/PP3PPP/R1BQKBNR b KQkq -,e6d5
8/5p2/p2rkp2/7p/2P1K1P1/R6P/P7/8 b - -,h5g4
8/2k1q3/2b1P3/pp1p1p1p/2pP3P/r5P1/2PQ1R1K/4R3 w - -,f2f5
n5nk/2q1bp2/3p2pp/pB1Pp1B1/1p2P2Q/1P5R/P4PKP/8 w - -,g5e7
4r1k1/1b1q1pp1/pp1b1n2/3p3p/P2P4/1PN3P1/1B1Q1PBP/2R3K1 b - -,d7f5
1r1r2k1/4p2p/b1pn2p1/5p2/pqp5/1PQ1PPP1/P2N3P/2R1RBK1 w - -,c3b4
r2q1rk1/4n1b1/1pnpb1pp/p1p1pp2/2P5/P1NP1NP1/1P1BPPBP/1RRQ2K1 w - -,f3e1
8/4kp2/2b5/4p1p1/3nP1P1/3P4/5K2/8 w - -,f2e3
2r5/8/3N2R1/4k2P/2P5/2K1n3/P5P1/8 b - -,c8a8
8/3R4/8/3k1ppp/2N3n1/2PK4/5r2/8 b - -,d5e6
r1bq1rk1/ppp1n1pp/5n2/1B1p1PB1/1b1Pp1PN/2N5/PPP2P1P/R2QK2R b KQ g3,c7c5
8/p3R3/kp6/6K1/r7/6P1/8/8 w - -,g3g4
2r1r1k1/1p3pbp/p5p1/1Pqn4/3p4/1R2PN2/3BQPPP/1R4K1 w - -,b1c1
r4rk1/1bqnbppp/pp1ppn2/8/2P1P3/1PN1QNP1/PB3PBP/2R2RK1 b - -,f8e8
rnbqk2r/pp3ppp/2p2n2/4P3/2B5/P1P1P3/5PPP/R1BQK1NR b KQkq -,d8d1
2rrk3/1p1bn1pp/5p2/2bpn3/p7/1PP1NP2/1P1RNBPP/3R1BK1 w - -,f3f4
8/R7/2p5/6pk/P1bBr3/2P5/6P1/7K w - -,a7b7
4r1k1/p3q1pp/1pb2p1n/2p1P3/4PP2/P1PrB1NP/5QP1/R4RK1 w - -,a1e1
rr6/3n1kp1/2p1b2p/1R3p2/p1Pp1P2/P2N4/1P4PP/2R2BK1 w - -,b5b4
4r1k1/1pq2p2/p1pbr1bp/2P4n/1P2P3/1QN3PP/P5B1/4RRK1 w - -,c5d6
2r2n1k/2p2rN1/1pq1p2R/2P1P2P/1P6/6Q1/5PP1/4R1K1 b - -,f8h7
6k1/8/p1pr2bp/2p2p2/5N2/1P1P2P1/P4P2/2R1n1K1 w - -,c1e1
1r1r4/R2Pkp2/4b1p1/7p/B2R4/1p6/1P5K/8 b - -,b8b6
1r3rk1/5pp1/1b1p1n1p/p1q1p3/Pp2P3/1B1R1N2/1PPRQPPP/1K6 b - -,b8d8
8/pp1n1r2/3Rp1kp/P1pN1p2/8/8/1PPK1PPP/8 w - -,d6e6
2rq2k1/3bpr1p/3p1bp1/1p6/3BP3/1pN2P2/PPP4Q/R3K2R w KQ -,d4f6
5rk1/pp1Q3R/2r3pP/4qPP1/8/P7/2P5/1K3R2 w - -,d7g7
r7/6kp/1pN3p1/2p1P3/5q2/5P1P/4B1P1/3Q2K1 b - -,a8a2
7k/3b4/6p1/p2R2N1/5PP1/P2p3P/4rK2/8 w - -,f2g3
1rb2rk1/2q1n1b1/3p2p1/1ppPppBp/2N1PP1P/3P4/1P1QB1P1/R4RK1 w - -,c4a5
2brr1k1/1pp1q1pp/p1p2p2/2b5/2P1Pn2/1P2N3/PBQN1PPP/4RRK1 w - -,b2c3
rnb1r1k1/pp1pp1bp/1q3np1/2pP1p2/2P2B2/5NP1/PP2PPBP/RN1Q1RK1 w - -,d1c2
8/3n4/8/2p2P2/1pP1K2p/pP4k1/P3N3/8 b - -,g3g2:g3g4
2q1r1k1/pn1n1pbp/1p2p1p1/3b4/1P1P4/P2BQN1P/1B1N1PP1/2R3K1 b - -,c8b8
r2q1rk1/1b1nbpp1/p1p1p2p/1p2P2n/3P3B/1QNB1N2/PP3PPP/R4RK1 w - -,h4e7
3r2k1/q6p/p3p1p1/4Bp2/2P1nP1P/1P2R3/5QP1/4R1K1 b - -,e4f2
2br4/R4n1p/5kp1/2N2p2/BP2p2P/4P1P1/2P5/2K5 b - b3,f7e5
8/p2r1pk1/2R3p1/3p3p/7P/1P1KPNP1/Pb3P2/8 w - -,f3d4
r1bqk2r/pp1pppbp/2n2np1/1Bp5/4P3/2P2N2/PP1PQPPP/RNB2RK1 b kq -,e8g8:a7a6
4r1k1/1p2pbbp/p1rp1np1/q7/3BP1P1/P1N2P1B/1PPQ4/1K1R3R w - -,g4g5
rnbq1rk1/4ppbp/p2p1npB/1ppP4/4P3/2N2P2/PPPQN1PP/R3KB1R b KQ -,b8d7
2r2rk1/1pn3p1/p1nbb1P1/5p2/2P2N2/1PB1P3/P2PBP2/1K1R2R1 w - -,g1g5
2r1r3/p3ppkp/1p1n2p1/3P2P1/3N3Q/1P6/P3PP1P/2qR2K1 w - -,d1c1
1rbqk2r/4ppb1/p1np3p/1p2n1p1/4P2P/1NN2PB1/PPP1B1P1/R2QK2R b KQk -,e5c4
rnbqkbnr/1p3ppp/p7/3p4/2pP4/5N2/PPPNBPPP/R1BQ1RK1 b kq -,f8d6
r3r1k1/pp3ppp/3P2n1/2p1P1P1/4q1N1/2P3Q1/P2R4/5RK1 b - -,a8d8
2r2k2/5p2/8/3bPN2/1p3P1r/b7/4BP2/1R4K1 w - -,f5h4
rnbq1rk1/ppp2ppp/5n2/8/1bBP4/2N2N2/PP3PPP/R1BQK2R w KQ -,e1g1
8/6B1/p3k3/1pK5/8/1PP5/P6n/8 w - -,c5b6
r3r1k1/pp2qppp/2p5/3p1b2/3P4/2nBPP2/PPQ3PP/4RRK1 w - -,c2c3
1n6/2q2k2/4ppp1/1Q1p3p/3P1P1P/3NK1P1/5P2/8 w - -,d3b4
r3r1k1/1pq2pb1/2pp2pp/p3n3/2P3P1/2B3P1/PP2QPBP/3RR1K1 b - -,e8e6
7r/8/1p1kp3/p2b2p1/8/P2BKP1P/1P4P1/4R3 w - -,e3d4
3rr1k1/pbp5/3q2p1/pP2pp1p/7P/2RP1N2/P3QPP1/5RK1 b - -,e8e7
rn1q1rk1/ppp2pp1/4pn1p/3p1b2/3P4/2P1PNP1/PP1NBPP1/R2QK2R b KQ -,b8d7
5r1k/p4P1p/8/2p2p2/4bP1P/2bR2P1/P1R4K/8 w - -,d3c3
r3k2r/p2p1p1p/1p4p1/3Pb3/2PpPB1q/P4B2/1P3P1P/R2QK1R1 b Qkq -,h4f4
2r3k1/1pR1ppb1/1R1q2pp/8/8/4Bn1P/5PP1/2Q3K1 w - -,g2f3
7R/8/3p1pkP/8/2P1PP2/3K4/8/7r b - -,h1d1
1r6/pp1b1pk1/2p2n2/N4P2/6P1/8/PP4B1/3R2K1 b - -,g7h6
r3kb1r/pp1qp2p/2p3p1/4Pp2/n1RP1N1P/P3B3/1P1Q1PP1/4K2R b Kkq -,a4b6
8/4R3/1k6/p5P1/1p3r2/1K6/8/8 w - a6,e7e6
4rk2/ppp1N3/3p1b2/3P4/2P2P2/5K2/PP1B4/7R b - -,e8e7
r1b2rk1/pp3p2/5n1p/3p2p1/3qn3/1N1BP1B1/PP3PPP/R4RK1 w - -,b3d4
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQK2R w KQkq -,a1b1:b2b4:c3e4
8/p2n1pbk/1p4pp/2p1p3/4P3/1PN5/PP3PPP/2B3K1 w - -,c3b5
1k2r3/1pr3p1/p3pnNp/8/3nPRP1/P2P3P/1P6/1K1R4 b - -,f6d7
2q3k1/1b2r1p1/1Q3p1p/P2p4/2pNn3/4P2P/5PP1/BR4K1 w - -,b1c1
7R/5k2/1p1rp3/p6p/P2PK2P/1P6/6P1/8 b - -,d6d5
r2r1nk1/1p2bpp1/1q2p2p/p1pnP3/3PQ1P1/P2B1N1P/1PRB1P2/R5K1 b - -,b6a7
r1bq1rk1/5pbp/2Bp2p1/p1pPp2n/P3P3/2N1BP2/1P1Q2PP/R3K2R b KQ -,a8a6
8/6k1/4p3/5pp1/6P1/5P1K/3r2r1/2R4R w - f6,g4f5
r4rk1/ppp2pp1/2np1q1p/4p2b/2P5/P1QP1NPP/1P2PPB1/R3K2R w KQ -,g3g4
r1b1kb1r/ppp3p1/2n3np/4p2q/Q1Pp4/6P1/PP1NPPBP/R1B1NRK1 b kq -,g6e7
8/pb3rkp/1n4p1/4R3/8/1P3P2/P5PP/3R2K1 b - -,f7c7
5rk1/pp2bppp/4p3/3nP3/qP1PQ1P1/P7/5P1P/2B1NRK1 b - -,f8c8
4r1k1/pp6/2p5/2P3Q1/3P4/P5bP/1Pq1r1B1/K2R1R2 b - -,g8h8
2r1k2r/3nbppb/1q2p2p/1ppnP3/3p1PP1/pP1P1NN1/P1PQ1BBP/R4RK1 b k -,b6b8
8/5k1p/p2q4/1p3N2/1P2K1P1/2P1R1P1/8/8 b - -,d6c6
8/8/1k6/7R/8/1BK5/P7/6r1 b - -,g1g4
r1bqnrk1/3p2pp/pp1b1n2/2pPp1B1/2P1P3/2N2NPB/PPQ4P/R4RK1 w - -,f1f2
r2r2k1/1b1nbppp/pqn5/1pp1P3/4BB2/P4N1P/1P3PP1/R1Q1RNK1 w - -,f1e3
r3qrk1/2p1b1pp/1p2p3/p1P2p2/3Pp3/PQB1P2P/1P3PP1/R2R2K1 b - -,b6c5
8/1pr1kp2/2pR4/p1P1PP2/P4K1r/8/8/1R6 w - -,f4g5
rnb1kb1r/pp3ppp/3qp3/2pn4/8/2P3P1/PP1P1PBP/RNBQK1NR w KQkq -,g1e2
5rk1/1n3q1p/2Q1b1p1/8/p1B1P3/1P4KP/2PR4/R7 b - -,f7f4
8/8/5p2/4p3/4K1k1/8/5P2/8 w - -,e4e3
2kr1b1r/1p1b1p2/pqnppp1p/8/4P3/1NN3P1/PPPQ1P1P/1K1R1B1R w - -,f1g2
5rk1/6pp/p3r1n1/1p1R4/6P1/4p1B1/PPP4P/2K1R3 b - -,e6e4
4n3/p4k1p/1p3P1P/6B1/P1p1q3/6Q1/1P2rR1K/8 w - -,f2e2
1r5k/1b3rpB/3p4/B2Pp3/P1n2pPq/5P2/2P3QP/4RR1K w - -,h7g6
8/1p6/p7/P7/5B2/5kp1/1P6/6K1 b - -,f3f4
r3r1k1/5ppp/p2p1P2/1p6/8/2NB1N1P/PPP5/6K1 b - -,g7f6
r6r/1p3pp1/2nk3p/1p1p4/n1pP4/P1P2N1P/1PRN1PP1/4R1K1 w - -,d2f1
3r2k1/4ppbp/6p1/3q4/2p5/4BQP1/PP3PKP/R7 w - -,f3d5
1r3rk1/2p1bp2/p3p1pp/n7/3P4/P2BP3/3N1PPP/R4RK1 b - -,a5b3
8/3k4/7p/1PP1p1p1/4N3/4K1P1/6bP/8 b - -,d7c7
3r2k1/2p2pp1/pb4rp/1p6/3P4/P1Q1BqPP/1P3P2/3RR1K1 w - -,d1d3
r1bqr1k1/1p3pb1/p2p1np1/2pPn2p/P3P3/2N1BP2/1P1NB1PP/R2QK2R b KQ -,c8d7
r4b1k/1p1r2pp/1pn2p2/p3p3/2q5/PP1PP1N1/1B3PPP/2RR2K1 w - -,b3c4
4rb2/2qb1p1k/1n1p1npp/1p2p3/2pPP1P1/2P1BNNP/rPBQ1P2/1R2R1K1 w - -,g4g5
6k1/p4pp1/1p5p/3Q4/3P3n/2P1K3/P2N3q/8 b - -,h2h3:h4g2
3r4/p2qp1k1/1p3p2/3r2pp/1P2Q2P/P5P1/2R1PP2/5RK1 w - -,g1g2
r1b1k2r/pp2pp1p/1npq1npQ/8/3P4/1P4N1/PKP2PPP/3R1BNR b kq -,c8e6
rn1r2k1/ppq1ppbp/6p1/2p2n2/3PbP2/NQP1BNP1/PP4BP/R4R1K w - -,e3g1
