8/p5kp/8/p4b2/2r1p3/4K2P/2P1R1B1/8 b - -,a5a4
6kr/4qrb1/1p1p1npp/pNnPpp2/P1P5/1P3P2/2BB1QPP/3RR2K b - -,g8h7
6k1/3R1p1p/1p4p1/r7/5n2/8/P2R1PPP/5K2 b - -,a5b5
8/5p1p/1bk1pBp1/p7/PpK1P1P1/1P3P1P/8/8 b - -,b6c7
7k/5p2/p2p1Pp1/3N2bp/P1Pp4/5KPP/1P2r3/3R4 b - -,e2b2
rn1q1rk1/pbpp1pbp/1p2pnp1/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b - -,d7d6
r6r/1p1k1pp1/1ppbpn2/3p1b2/2PP3p/2N1PP2/PP1BBKPP/R6R w - -,a2a3
r1bq1rk1/4npb1/p2p2pp/n5B1/PppPP3/5N1P/1PB1NPP1/R2Q1RK1 w - -,g5f4
8/6kp/8/p1p1pp2/N1B5/1P4KP/3r2P1/8 w - f6,a4c5
1q4k1/r4b1p/p3p1p1/b1Np4/2pP4/4PR1P/P1B3P1/3Q3K w - -,c2a4
3nn1rk/R1p1r2p/1p1p4/1N1P1p2/1PP1pP2/6P1/7P/1R1B2K1 w - -,b1a1
2r3k1/5ppp/p3p3/1p1nN3/3P4/8/PP2KPPP/3R4 w - -,e5d3
5rk1/p5bp/1p2pqp1/3n1p2/4B2P/3R3Q/P2B1P2/6K1 w - -,e4g2
2r1r1k1/5qb1/6pp/1p3p2/1n3P2/1NpP1QP1/2P2K1P/1R2R1N1 w - -,b3a1
1r3rk1/5ppp/1p2pn2/1P2Q3/4P3/1q1N1PP1/6KP/2RR4 b - -,b8a8
k7/1b3p2/p2ppNnp/1pn4N/4P1P1/1P5P/P1r5/KR3B2 w - -,b1d1
8/B7/p1p1p2k/1p1p1bp1/3P4/1PP2N1P/P5K1/2b5 b - -,c1a3
r3r2k/1p2Npp1/p3b2p/3p4/4nR1B/2P1PP2/4B1PP/5RK1 b - -,e4c3
8/6k1/3p4/7P/2PpN3/8/r2B2K1/8 b - -,a2c2
r1bq1rk1/ppp2pp1/2np1n1p/4p3/2B1P3/2NPPN1P/PPP3P1/R2Q1RK1 b - -,f8e8
2r3k1/1b3pbp/p5p1/1p1p4/3NBP2/qPP3P1/P1Q3KP/5RB1 b - -,d5e4
8/pp3k2/5bR1/2pPq3/2P4p/1P6/P1BB4/7K b - -,e5e2
r2q1rk1/ppp2pb1/3pbnpp/8/2Pp4/1PN3P1/PB2PPBP/R2Q1RK1 w - -,d1d4
1n1r1rk1/p3qppp/bpn1p3/1Np1P3/7P/5NP1/PPP1QPB1/3R1RK1 w - -,a2a4
8/2r5/8/1PK1k3/8/8/8/8 w - -,c5b6
r4rk1/pp2ppbp/6p1/4qb2/1n3B2/1NP2P2/PP1Q2PP/2K1RB1R b - -,b4a2
2r1k2r/2qbbpp1/p1np1n1p/4p3/Np2PPP1/1N6/PPP1QBBP/1K1R3R w k -,g4g5
r3k2r/ppqbnpp1/2n1p2p/2ppP2P/3P4/P1P2N2/2PB1PP1/R2QKB1R w KQkq -,f1d3
5k2/p6R/1p6/1PpB3P/2Pb1pK1/3P4/8/5r2 b - -,d4e3
2r2rk1/pb1pqpbp/1p2pnp1/8/2PR4/1PN1P3/PBQ1BPPP/2R3K1 b - -,a7a6
r3br1k/1pq3bp/3pB3/1p1Pp1Pp/p1P1Pp2/P4Q2/1P1N1P2/2KR3R w - -,h1h5
8/6k1/R5p1/8/5P1p/p1rpK1P1/P1rR3P/8 w - -,g3h4
8/8/p4R2/1p1kpP2/6P1/4K3/r6P/8 w - -,g4g5
r4r2/1p3pk1/1P1p2p1/p2Pp1b1/P3q1Pp/1R1B3P/2P2P2/5KR1 w - -,d3e4
r4rk1/pp6/3b1n2/3pq1p1/4Pp2/1P2P1NP/P2Q1PB1/2R2RK1 w - -,e3f4
2r5/p2q1rk1/1p3b2/2p2n1p/3pRPpP/PP1P2P1/3B2QK/1R4N1 w - -,a3a4
4k3/2p3p1/1p4p1/p2bN3/P2B4/8/2P2Pr1/R1K5 b - -,e8e7
rnbq1k1r/4Nppp/p2p1n2/2bP4/1p3B2/6P1/PPP2PBP/R2QR1K1 b - -,c8g4
4k3/8/3P1P2/8/3KN3/8/8/3r4 w - -,d4e5
2r1rq1k/4n1pp/2pb4/p1B1pp1P/N1Pp4/1P1P2PQ/P4P2/2R1R1K1 b - -,d6b8
4r2k/1p2rpp1/p2p2q1/P1pP3p/1n6/2N3BB/1PPQ1P1K/6R1 b - -,g6f6
2b1kb1r/p2n1ppp/1p2P3/3p4/3p4/3P2P1/Pq1BQP1P/4RNK1 b k -,f7e6
4r1k1/4Bp1b/8/1p2P1P1/2p2K2/P1P2p2/7R/8 w - -,e7d6
5k2/pp3rbp/3p1n2/2pP1b2/2P5/1P4R1/PB4BP/5R1K b - -,f5g6
2r2rk1/pp2ppbp/2n1bnp1/6Qq/2N5/1P3NP1/PB2PPBP/R4RK1 b - -,h5g5
3rk2r/1p2nppp/p3b3/4p3/3nP3/P1NB2P1/1PP3P1/R1B1K2R b KQk -,d4b3
r1bq1rk1/pp1n1pbp/2nPp1p1/2p1P3/2P2B2/2N2N2/PP1Q2PP/2KR1B1R b - -,c6e5
4k3/p1rprpp1/1p4np/3B4/5P2/PP2P1PP/3R2K1/3R4 w - -,e3e4
1n1r4/r2bkp1p/1pp3p1/p3N3/4PP2/PP2K1P1/1R4BP/2R5 w - -,e5c4
r3r1k1/1p3pb1/1npR2p1/p1n3Pp/2P1PPb1/1PN3B1/P3N1BP/6RK w - -,e4e5
4r1k1/1p1r1pp1/p2Pn3/3B4/q2bN1Q1/6PP/5P2/3R1RK1 w - -,e4f6
3r1rk1/4q2p/p4np1/2p1p1Q1/2PNP3/1P6/2B3PP/4RR1K b - -,d8d4
rnbqr1k1/pp3pbp/3p1np1/2pP4/2P5/2N2N2/PP2BPPP/R1BQ1RK1 w - -,h2h3
r1bq1rk1/ppp2ppp/2nppn2/8/1bPP4/2N2N2/PPQBPPPP/R3KB1R w KQ -,a2a3
r4rk1/3nq1pp/p2p4/1p1Pnp2/3Qp3/BP2P2P/P2N1PP1/2RR2K1 w - -,c1c7
4k2r/qbr2pp1/1bnp1P2/1p2p2p/3pP2P/PN1P2PB/1BP2Q2/R2K1R2 b k -,g7g6
r2n2k1/2qbb1np/3p1pp1/1p1Pp3/1Pp1P1P1/2P3NP/rBB2PKN/1R1Q3R b - -,d8f7
r1bq1rk1/1pp1ppbp/6p1/3n4/p2P4/P4N2/BPP2PPP/R1BQR1K1 b - -,c8g4
rn2k1nr/pp2ppbp/2pp2p1/q7/N2PPPb1/5N2/PPP1B1PP/R1BQK2R w KQkq -,c2c3
3r4/4p2p/P5p1/2kn1p2/8/3K1PP1/6P1/R3B3 w - -,a6a7
2rr2k1/ppq1bpp1/4p1n1/2Pp4/3PB3/1P1Q2PP/PB6/R3RNK1 b - -,d5e4
2brr1k1/1p3p1p/1Rp3p1/4p3/N3P3/b2PB1PP/5PB1/3R2K1 b - -,a3d6
r2q1rk1/5pbp/2npb1p1/ppp1p3/1P2Pn2/P1PPNN1P/2B2PPK/R1BQR3 w - a6,c1d2
r4rk1/1qnnbppp/p2p4/1ppPp3/P1P1P3/1PN5/1BQN1PPP/R4RK1 w - -,a4b5
4r1k1/1p4p1/P7/1PB5/5b2/4nP1p/4R3/6K1 b - -,b7a6
r1b1r3/ppb1pp1k/2p3pp/P1B5/R3P3/2P5/1PK1BPPP/4R3 b - -,c8e6
8/4rpk1/6pp/p2p4/2bP1Q1P/P1N1r3/6PK/2R5 b - -,e7e6
qr4k1/1r3p1p/p5p1/1P2bPPQ/P1p1P3/2Pn3P/3B2K1/1R3R2 w - -,h5h6
r3k2r/pppq1pp1/2npbb1p/8/8/1PP1BN1P/P1PQ1PP1/1K1R1B1R b kq -,a7a6
3B4/5p1k/3pr2b/8/1PR1P1R1/5P2/1r4P1/6K1 b - -,h6e3
6r1/pp6/3k1B2/3p3B/3N4/8/PP3r1P/4R2K w - -,f6e5
r2q1rk1/ppp3bp/2np2p1/2n2b2/2PN4/2N1B1P1/PP3PBP/R2Q1RK1 b - -,c6d4
5r1k/3P2pp/1rP1Np2/4n3/4P3/6P1/1p4P1/1R4K1 b - -,e5c6
5rk1/1p3pbp/p4np1/4p3/P7/1N2B1PP/1PP2PK1/R2r4 w - -,a1d1
2r3k1/3n1p2/6p1/2qP3p/5Q2/2p3PP/5PB1/2R3K1 w - -,h3h4
6rk/pp5p/2pPp3/7b/2NP4/1P3pbP/P1B5/5R1K b - -,g8d8
8/2B5/4k3/8/p3n1p1/P7/6K1/8 w - -,c7f4
2k1r2r/ppp2qp1/2npbp2/7p/2P4P/4B3/PPPQ1PP1/1K1R1B1R w - -,b2b3
r1b1rnk1/ppq1bpp1/2p2n1p/4p3/P1B1P2N/2NQ3P/1PP2PP1/R1B1R1K1 w - -,d3g3
3r3r/pkp5/2p2p2/2N2q2/2P5/6P1/PP2Q2P/3R1RK1 b - -,f5c5
1r1q1r1k/p2n2pp/bb1N4/2p1P3/3p1P2/P5PP/2Q2BB1/2RR2K1 w - -,c2a2
3b4/3P3p/4k2P/6p1/B3KpP1/8/8/8 b - -,e6f6
2k1N3/2q2r1p/ppp3n1/8/1PQ1P3/8/2P3PP/3R2K1 b - -,b6b5
4r3/p1q2pk1/4p2p/2p3p1/PpBb2QP/1P1R4/2P2PP1/6K1 b - -,c7e5
3r4/1r1nkpp1/1p2p2p/p6P/8/3N1PP1/PP2PK2/2RR4 b - -,d7c5
r3k2r/pp3ppp/2n5/2b2bN1/8/2P5/P4PPP/R1BBR1K1 b kq -,e8d7
