8/1R4P1/6K1/7P/p7/k7/1p6/7r b - -,h1g1
R2b4/B2r2p1/1p1k3p/1P3p2/P7/5P2/5PKP/8 w - -,a7b8
8/1p6/p7/Pk5p/1r5P/7K/8/R7 b - -,b4b3
8/5p2/2P1k1p1/3nN1P1/1p2K3/4P3/8/8 w - -,e5c4
r4rk1/1pp2ppp/2b2b2/p1q5/2Pnp1PP/PP2Q2B/1B1P1PR1/2KR2N1 b - c3,a5a4
3r2k1/pR5p/4P3/2pp1r2/4p1p1/4P3/P4PPP/5RK1 b - -,f5e5
r5k1/pp1r1pp1/7p/1RPp4/2nN4/2P1P3/P4PPP/4K2R w K -,c5c6
7Q/3k4/1pn1bP2/p1p1p1P1/P3P3/2P4B/1P5K/2q5 w - -,h8g7
8/p2n1kp1/PpB2nbp/1Pp1p3/2P3P1/7P/1B1NPP2/6K1 b - -,f7e6
r5k1/pp3pp1/5n1p/3pr3/3N4/P4P2/1PP3PP/2KR3R b - -,a8e8
r1bq1r1k/1p4p1/1bp2n1p/pP1pp1p1/P3P1P1/1BPP3P/3NQP2/R1B1R1K1 w - -,d2f3
r1bq1rk1/1p2ppbp/3p1np1/p5B1/2P1P3/2NB4/PP1Q1PPP/R3K2R w KQ a6,a1c1
2rq1rk1/1b1nbp1p/pp1p2p1/6P1/2P1Pp1P/2N5/PPN1BQ2/2R2RK1 w - -,c3d5
1r4k1/p3pp1p/B2bb1p1/BP2P2r/q1p5/P1Q3P1/5P1P/1R2R1K1 b - -,d6c5
rn2k1nr/1bq1bppp/p2pp3/1p6/3NPP2/P1N1B3/1PP1B1PP/R3QRK1 w kq -,e1d1
1rbqn1r1/1p2k3/p2pn3/P3p1p1/2N1P2b/2N1B2P/1PPQ1PB1/3R1RK1 w - -,c3d5
2r1r1k1/p4p2/2pb2p1/3p2np/N2P1P1q/P2QP2P/2R3P1/2B2RK1 b - f3,g5e4
2r3nr/qp2bpk1/4p1p1/pB1pP2p/P2P1B2/1RP2QP1/5P1P/1R4K1 b - -,c8c7
r2q1rk1/1p1bbpp1/2pn1n1p/p2pN3/P2P1N2/3BP1BP/1PQ2PP1/3R1RK1 w - -,f2f3
3bn1k1/5pp1/6p1/1p1p2N1/p1rB3P/P5P1/1PPR1P2/1K6 w - -,b2b3
6k1/p5bp/2p3p1/2Pp1pP1/3rrN2/1P6/P5P1/3RR1K1 w - -,g2g3
8/1p3rk1/p2K4/7p/PR4PP/1P6/8/8 b - -,h5g4
r1b1kb1r/pp1n1ppp/2n1p3/2ppP3/3P1P2/2N1BN2/PqPQ2PP/R3KB1R w KQkq -,a1b1
7R/p4Q2/5p1p/6pk/7N/6B1/PP3PK1/1q5r b - -,h5g4
1r1qk2r/p1p1npbp/2ppb1p1/8/2P1PB2/2N5/PP2BPPP/R2Q1RK1 w k -,d1d2
8/8/8/2p3p1/3k1rP1/6R1/8/2K5 w - -,c1d1
5qk1/p2b2Bp/1p6/3p2b1/4n3/1NP2r2/P4PQP/3R1R1K b - -,f8f7
5rk1/2p1r3/1p1pP1np/pPbP1p2/P2NpPp1/2Q1P1Pq/1B3R1P/6RK w - -,d4c6
rn1qk2r/3b1ppp/2p1p3/pp1nP3/P1pP4/2P2N2/3BBPPP/RQ2K2R w KQkq a6,b1c2
r3kb1r/pp1qpp1p/2np1np1/3N4/3NP3/8/PPP2PPP/R1BQ1RK1 b kq -,f8g7
r1b1kb1r/pp2pppp/1np2n2/3q4/2p5/N5P1/PPQPPPBP/R1B1NRK1 b kq -,d5h5:d5f5
2N2rk1/1p2pp1p/4bnpb/1P1p4/3BP3/1Q1B1PqP/P1R3P1/3R2K1 b - -,h6f4
1q4k1/1np2pb1/3p2pp/1P1Pn3/1B2PPbP/1p2Q3/2r3PN/1N2RBK1 b - f3,e5c4
7k/1p3p2/2p2P1p/p6q/8/1PPQpb2/P7/3RR1K1 w - -,d3d8
4r2r/pp1k1pp1/2pn3p/3pPP2/1P1P1BP1/P2R4/2P4P/4R1K1 b - g3,d6e4
3q4/5pkn/3Pp1p1/4P2p/3R4/1B3Q2/Pr3PK1/8 w - -,d6d7
3r2k1/2nrb2p/p3b3/1pppPpp1/5P2/1P2P2P/PBN1BKP1/2RR4 w - g6,g2g3
2r2rk1/p2q1ppp/b2b1n2/4p3/3pP3/2N2N2/PP3PPP/R1BQR1K1 w - -,c3e2
r1bqr1k1/1p3ppp/n7/p1pP4/2Pp2P1/P6P/1P3PB1/R1BQ1RK1 w - -,c1f4
r5r1/pp1n3k/8/2pP4/8/2N3R1/PP5P/R5K1 w - -,a1e1
r1b1kb1r/pp1n1ppp/4p3/q2pP3/3Q4/PPN2N2/2P2PPP/R3KB1R b KQkq -,f8c5
6k1/q2r1pb1/4p2p/p2nP2P/PpNR1p2/1P1Q1N2/5PPK/8 w - -,d3e4
3rr1k1/2pqn1p1/1p5p/p1nP1p2/4PB2/P3NP2/6PP/1R1Q1RK1 w - f6,e4f5
2r5/pbr1k2p/1pnb2p1/3Bpp2/4P3/P3BP2/1PRN2PP/2R3K1 w - -,b2b4
r2qkbnr/ppp2ppp/2nP4/8/2P3b1/5N2/PP2PPPP/RNBQKB1R b KQkq -,f8d6
3B4/3Rb3/p3rkp1/1p3p1p/1P5P/5KP1/5P2/8 b - -,e7d8
r3k2r/p3bppp/b1n1p3/q2pP1B1/B6P/5N2/PP3PP1/R2QR1K1 b kq -,a6b5
8/1R6/8/3k4/1PrN2P1/4PK2/8/8 w - -,f3f4
8/8/4k3/4p1Kp/2n1p2P/8/2N5/8 w - -,g5h5
rr4k1/2q1bppp/p1bp1n2/2p1p1B1/2P1P3/1P1P1N1P/2Q1NPP1/R3R1K1 b - -,b8b6
r3r1k1/1ppqnpbp/2n3pB/1BPp4/P2P2P1/5N1P/3Q1P2/2R2RK1 b - -,g7h8
4r1k1/p3qppp/2p1r3/1pP1n3/3Q4/PP2B1P1/5PKP/R2R4 b - -,e7f6
r3k2r/1b1p1ppp/p3p3/3q1P2/3B4/2P5/2PQ2PP/R4RK1 b kq -,f7f6
2r2rk1/3q1pbp/p3p1p1/1p1pPnB1/2pP2P1/1P3N2/P1PQ3P/3R1RK1 b - g3,f5e7
1n1qk1nr/r2pbppp/4b3/1p1NP3/4Q3/P3BP2/1P4PP/R3KB1R w KQk -,e3a7
8/p3B1k1/1p3p1p/4b1p1/4P3/1P1K1P1P/P5P1/8 b - -,g7f7
4rrk1/pbpn2p1/1p1p1q1p/8/2PPN3/3B2B1/P3Q1PP/R3R1K1 b - -,f6d4
6k1/1b3p1p/2qn2p1/8/p2Q1P2/2N1K1PB/7P/8 b - -,a4a3
3r4/1pp1brk1/p3qpp1/P6p/2NpP3/3P1R1P/1PP3P1/Q4R1K w - -,f3g3
r1b1kr2/ppp1q3/2n2bpp/8/2B3nP/4PpQ1/PPPN2PB/3R1RK1 w q -,d2f3
6r1/8/1p2kp2/2p3Pp/2PnP3/PpKN2P1/8/4R3 b - -,f6g5
3r1k2/1p3p1p/pNp1b1p1/2P5/8/1PKB1PnP/P5P1/4R3 b - -,g3h5
r2r1nk1/1p2qpp1/4p1p1/3P4/p4bP1/6QP/PP2RPB1/2R3K1 w - -,g3f4
2r3k1/1PB2p1p/6p1/2b1p3/4R1P1/2p5/8/1K6 b - -,c8f8
1Qr3k1/5p1p/p2p2p1/Pp1P2B1/1Pnp3P/6P1/5P1K/4RB2 b - -,c8b8
r1rb2k1/1qpn3p/3n1pp1/p1RPp3/1p2P3/3BBP2/PP2Q1PP/2R2NK1 w - -,c5c2
q2r1rk1/p4pb1/1p2p1p1/2p1P2p/2PnNPnP/1PN3P1/PB1Q4/1K1R3R w - -,d2e1
8/5pk1/4p3/1N2P1pp/3P4/7b/3r1P1P/2R3K1 b - -,g7g6:g7f8
6k1/7p/3Np1p1/2P1p3/3r4/p7/K1P3PP/8 w - -,c2c4
7r/R4pk1/6p1/1R6/6K1/6Pp/3r1P1P/8 w - -,g4f3
2rq1rk1/pp2npb1/2n1b1pp/2pp4/8/P1NP1NP1/1P1BPPBP/1R1Q1RK1 w - -,b2b4
2r1r1k1/pb6/4q3/B2n1pp1/2p5/5PP1/PP1QP2P/R2R2K1 w - -,d2g5
rnbq1rk1/ppp1ppbp/5np1/8/2pP4/5NP1/PPQ1PPBP/RNB2RK1 b - -,b7b5
r2q1rk1/pb1nbpp1/1p1pp2p/2pn4/3P1P2/2PBPNB1/PP1NQ1PP/R4RK1 b - -,a8c8
8/1k6/8/KB2N1r1/P7/8/8/8 w - -,e5c4
7k/8/6p1/pR2r3/P5P1/1P1n4/5PPK/8 b - -,d3f2
2Q1n1k1/4q2p/p3N1p1/5p2/2p4P/4P1P1/P4PK1/8 w - -,c8c4
r3k2r/pp1q1ppp/2N1p3/2bnP3/Q3N3/3p4/PP3PPP/R1B2RK1 b kq -,c5e7
8/1p4k1/p5p1/P2p1p1p/1P1Pr3/4PR1P/4K1P1/8 b - -,g7f6
2r5/p1P4p/4pk2/1p3p2/5P2/2R5/P4KPP/8 w - -,f2e3
1br3k1/1p1r1pp1/2n1p1np/1B2P3/7P/2p2NB1/1P3PP1/R3R1K1 w - -,b2c3
7Q/5BP1/1p1q3p/p1p2pk1/P4n2/2P5/8/4K3 b - -,d6e5
8/8/2pr2k1/1p2R2p/3P1P2/3K4/8/8 b - -,d6d5
r2qkbnr/pp1b2pp/4p3/2ppP3/8/2P5/PP2BPPP/RNBQ1RK1 b kq -,d8c7:g8h6
8/8/4B2R/1k2P1pP/3Pb3/6r1/3K4/8 w - -,e6d7
2q1r2k/5ppp/R2P4/Q1pp4/6nP/3P4/1PP3P1/2B4K w - -,c1d2
r1b1k3/2q1b3/p2ppnp1/6Br/1p2P2P/1NN5/PPP1Q3/2KR3R w q -,e4e5
8/2RR1pk1/4p1p1/1P1p4/3b1P2/4n1P1/1r2B2P/5K2 w - -,f1e1
3r4/1p1P1n2/r4Nk1/p3P1p1/8/1P6/1P2K3/5RR1 w - -,f6e4
rnbqk2r/1p3ppp/p4b2/2Pp4/3N1P2/2N1BQ2/PP4PP/R3K2R b KQkq -,b8c6
r2qk2r/1pp1bppp/p1npb3/8/5B2/2P2N2/PPPQ1PPP/1K1R1B1R b kq -,d8d7
2kr3r/1ppq1p2/p2pbb1p/6p1/3n2P1/1PP1B2P/P1PQ1PB1/1K1R3R w - -,c3d4
3q1rk1/1b2bpp1/4p2p/r7/1p1P3P/1Q2PN2/1P1KNPP1/R6R b - -,d8a8
5rk1/prqpbpp1/4P2p/2p5/p7/1PP1PNP1/P3QPP1/3RK2R b K -,d7e6
8/6Rp/8/2P1k3/2b1p3/8/2r3PP/5K2 w - -,f1e1
3r2k1/p5pp/1p1q4/4pp2/2P5/PP2PP2/6PP/Q1B1bBK1 w - -,b3b4
r1br2k1/1p2bpp1/p1nqpn1p/8/3P4/P1NBBN2/1PQ2PPP/2RR2K1 b - -,c8d7
1r4n1/4qp1k/p2p2pp/2pPp1PP/1rpnP3/2N1NP1R/PP4RQ/2K5 w - -,f3f4
3Q4/p4pk1/2B1p3/4P3/P7/1P4P1/4bP1K/5q2 w - -,d8d4
1q1rkb1r/1p3p2/pNnppp2/P7/4P2p/4Q2P/1PP1BPP1/R4RK1 w k -,e3c3
r5r1/p1pkq1P1/1p2p2Q/3p1p2/2nP3R/P1P4N/5PP1/R3K3 b Q -,e7g7
3r2k1/p4pp1/4p3/1pb3P1/7P/2B5/PPP1K3/7R w - -,a2a3
r5k1/3r1pp1/2bp1n2/7p/3RPP2/2N1R1PP/6B1/6K1 w - -,g2f3
2r1r1k1/5ppp/1p1bp1b1/p1p5/8/1PBPN3/1PP1RPPP/4R1K1 w - -,e3c4
r1bqr1k1/bp3ppp/p1n2n2/3p4/1P6/P1N1PN2/4BPPP/R1BQ1RK1 w - -,c1b2
r3r1k1/ppqnbppp/2p1bn2/4pN2/N1P5/6P1/PPQ1PPBP/R1BR2K1 w - -,f5e7
r2q1rk1/pp2bppp/4p3/3p1b2/2nP4/1Q3NP1/PP1BPPBP/R4RK1 w - -,d2b4
1r1r1k2/5p2/p1b1p1p1/3pP2p/1P1R4/5P1N/PP4PP/4R1K1 b - -,a6a5
8/1b6/4R1k1/5p2/pB5p/Pr5P/5P2/6K1 b - -,g6h5
6k1/5pp1/2RB4/1n6/1P6/2pn1P1p/3bN2P/7K b - -,b5d6
2k2n2/1p1r4/p1p1pppr/P1P4p/3P3P/2P2PP1/1R6/1R3KN1 w - -,g1h3
r4rk1/5pp1/5n1p/2b4q/4PPb1/2N1B3/PPP3PP/R3QRK1 b - -,a8d8
r1b2rk1/5pp1/p1nqpn1p/1p1p4/1P1P4/P1N2NP1/2Q1PPBP/3R1RK1 b - -,d6c7
r1b1k2r/pp1p1p1p/1q2pp2/3n4/1bBP4/4PN2/PP1N1PPP/R1Q1K2R b KQkq -,b6c6
2rq1rk1/p3bppb/2p1pn1p/2pp4/2P1P3/1P1P2P1/PB1NQPBP/R4RK1 w - -,f2f4
r2r2k1/pp3pbp/3pqnp1/4n1B1/2b1P3/1NN2B2/PPPR2PP/R2Q3K b - -,h7h6
rnbq1rk1/pp3ppp/4pn2/3p4/1bPp4/P1N1PN2/1P1B1PPP/R2QKB1R w KQ -,e3d4
r1b1k2r/pp4pp/2p1p2q/3pPp2/2P1n1n1/1P1BP1P1/PB2QP1P/R2NK2R b KQkq -,h6h3
7r/4kp2/3p1np1/2pP4/1pP1Pp1P/rP1K1P2/1R4BR/8 b - -,g6g5
2r2rk1/1b2qpbp/pp1ppnp1/4n3/2PNP3/PPN1B3/2Q1BPPP/R2R2K1 b - -,d6d5
4r1k1/5pbp/pr1p1qp1/1bpP4/1p3B2/1P3BPP/P2QPPK1/2R1R3 b - -,f6d4
2r5/1p1bk1p1/p2p1p1p/P1r1p2P/2P1P1P1/1P1B1P2/R2K4/6R1 w - -,g1d1
8/p4pkp/4p1p1/1p2P3/2p5/2P2P2/PP1r1P1P/4R1K1 w - -,e1b1
8/6R1/1p6/4pkp1/P2p4/2n5/7P/4K3 w - -,g7f7
