8/7p/6rP/Pk6/1P5K/8/3B4/8 b - -,b5a6
r1r3k1/P2R1p1p/1Q2p1p1/2P1n3/8/2N4P/1Pq2PP1/3R2K1 w - -,d7d8
6k1/3N2p1/1p2pp2/pP5p/5P1P/6P1/4PK2/8 b - -,a5a4
r1bqr1k1/ppp2pb1/2n3pp/4p2n/4P3/2PBBN1P/PPQN1PP1/R2R2K1 b - -,d8e7
1rr5/1pqnppk1/p2pb1p1/7p/N1P4P/1P4P1/P2QPPB1/2RR2K1 w - h6,d2g5
1r2qrk1/np1bnpbp/3p2p1/BNp1p3/Q1P5/P2P1NP1/1P2PPBP/1R3RK1 w - -,a5c7
8/8/4k3/1nP4p/1N2n3/5p1P/3B1P1K/8 w - -,d2e3
3rr1k1/pp2ppbp/2n1b1p1/q1Pp4/3P3B/1Q1BPN2/P4PPP/1R3RK1 b - -,e6c8
1rq2bk1/2p2pp1/p2prn1p/P7/1p1QP3/1P5P/1BP2PP1/R3RNK1 w - -,f1g3
8/2r5/3p4/5k2/2P1p3/8/3KR3/5q2 b - c3,c7c4
3rb3/1R3n1k/4p1p1/p2p1p1p/3P1P2/4P2P/PP4P1/2R4K w - a6,a2a4
7k/8/8/5pQp/7P/6P1/4P1K1/4q3 w - -,g5h5
r2q1rk1/4bppp/p4n2/1pp4b/2n1P3/2N1BN1P/PPB2PP1/R2QR1K1 w - -,e4e5
6k1/5ppp/4p3/3p4/p2P4/B1n1PP2/P1r3PP/2R1K3 b - -,c2c1
r1qr1bk1/pb1n1pp1/1p5p/2pPp3/2P1B3/1PN3P1/P1Q2P1P/1RBR2K1 b - -,d7f6
r2qkb1r/pp1bpp1p/3p2p1/1BpP4/4n3/N1P2n2/PP3PPP/R1BQR1K1 w kq -,d1f3
r2qkb1r/pp1npppp/2p2nB1/8/3P4/5NN1/PPP2PPP/R1BQK2R b KQkq -,h7g6
3r2k1/p1q1bppp/2p1p3/4n3/1P2PB2/P2r1P2/1NQ3PP/R4R1K b - -,d3d4
2r5/p7/2pRbkr1/2P1p2p/4Pp2/5p2/P6P/1R2B2K b - -,c8c7
r2qk2r/pp1bbp2/4p2p/3p2p1/3N1P2/2PBP1P1/PP4P1/R2QK2R b KQkq -,d8c7
6k1/1b3pp1/1p4p1/p2p4/8/1Pr2PN1/P5PP/R5K1 b - -,g8f8
4nrk1/q1nb1pbp/1Q2p1p1/2pPP3/2N5/P1NB4/3B2PP/5R1K b - -,a7a8
3rkb1r/5ppp/p3p3/1pq5/4Q3/P4N1P/1PP2PP1/R3K2R w KQk -,e1g1
R7/1r1q1rbk/1p1p1npp/1PpPp3/4N3/2PQNP2/6PP/R5K1 b - -,f6e4
4r1k1/pp3pp1/2p4p/3rp2P/6n1/2PR2N1/PPP2PP1/1K3R2 w - -,d3d5
4n1k1/4pp1p/2Pp2p1/r1n5/2R1P3/2p1B1PP/1b2QPK1/8 b - -,e8c7
8/2p4p/pp1k2p1/5p2/1nP2P2/4K1PP/P2N4/8 w - -,a2a4
b4r1k/2R4p/1p3npN/pB1p4/1p1P2P1/4P3/PP3P1P/6K1 b - g3,f6e4
4n1k1/pn1q1rb1/1p1pb1pp/1P1Npp2/2Q5/B2P2P1/P2NPPBP/2R3K1 b - -,b7c5
8/5pk1/3rpp1p/8/2R2P2/6P1/2K4P/8 w - -,c4c5
r7/pppq1k2/2nbbnp1/3p4/3Pp3/1BP1Q3/PP3PPP/RNB1K2R w KQ -,h2h3
2rq1rk1/1b1nbppp/p2pp3/1p6/4P3/PNN1BP2/1PPR1QPP/5R1K b - -,d8c7
r1bq1rk1/p3pp2/6p1/1pnN2N1/2B1P3/8/Pb3PP1/R2Q1K1R w - -,d5f6
8/P1p3pk/2p3bp/2Bp4/r7/2P3RP/6P1/6K1 b - -,g6e4
1r6/4kp2/r1p1p1p1/7p/p1RP4/4PKP1/PP3P2/1R6 w - -,e3e4:f3e2
8/p7/6p1/2Nbkp2/2p5/P1P1K1PP/1P6/8 w - f6,h3h4
2r1q1nk/ppp3bp/3p2p1/1P4B1/2P2PBQ/8/P3r1PP/3RR1K1 b - -,e2e1
8/4k2p/4ppp1/1P6/3P4/5N1P/1q3PPK/5Q2 b - -,b2b4
4r1k1/1pq2pb1/7p/pP2Rb2/3p4/P4QP1/1B4BP/R6K b - -,c7e5
2rqr1k1/p2n1ppp/2b5/1p6/2pPP1P1/PnP3B1/R3Q1BP/1R1N2K1 b - -,a7a5
6k1/6p1/5p1p/3p4/4b2P/4B1K1/R5P1/7r b - -,g8h7
r4rk1/p2q1pbp/bp2p1p1/3p3n/2nP1BN1/2P3P1/PP1QNPBP/R3R1K1 w - -,d2c2
2rr2k1/p4pp1/8/2n2q1p/1P1b1P2/2Np1RPP/PB4K1/3Q1R2 b - -,d4c3
5r1k/1r4pP/4p3/p2qpnN1/3p2Q1/8/PP3P2/1R1R2K1 b - -,d4d3
rnb2rk1/pp2ppbp/1qp2np1/3p4/2PP4/1QN2NP1/PP2PPBP/R1B1K2R w KQ -,e1g1
2rrn1k1/pp1n1p1p/1q2p1p1/3p4/5P2/1NP1Q1PP/PPB2P2/3RR1K1 w - -,d1d4
6k1/4bpp1/4p2p/p2p4/3P4/Pq2B2P/1P3PP1/2Q3K1 w - a6,g1f1
r2qr1k1/1b2ppbp/1p4p1/p2p4/3Pn3/BP1NP3/P1R1BPPP/2R1Q1K1 b - -,b7a6
r1b1k2r/pp2bpp1/1q2p2p/2n5/4N1P1/P3B2P/1PP2PB1/R2QK2R b KQkq -,b6c7
4q1k1/5pbp/8/p5Pp/2Q4P/1Pp1r3/P1R5/1K3R2 b - -,e3e4
1rbq1rk1/1p3pb1/2n2npp/p1p1p3/2Pp4/PP1P2P1/1BNNPPBP/1R1Q1RK1 b - -,c8f5
rn2kb1r/pp3ppp/2p1pn2/3pN3/2PP4/1PN1P3/1P3PPP/R1BbK2R w KQkq -,e1d1
3rqk1r/2p3p1/1p3p1p/pn6/2Q1PP2/PP6/1B4PP/4RRK1 b - -,d8d2
r1bqrnk1/pp3ppp/2pbpn2/3p4/2PP4/2NBPN2/PPQ2PPP/R1BR2K1 w - -,e3e4
r1b1r1k1/1pp1q3/n2p2pn/p2P4/2P1NB2/2P4P/P2QB3/2KR3R b - -,h6f7
4rrk1/pbq2pp1/1p1p1n1p/2p3b1/P2PP3/2PB4/1PNN1RPP/4RQK1 w - -,d4d5
3r4/2k5/4B3/4K3/8/8/8/6R1 b - -,d8d2
8/1pp3kp/1p4p1/8/4p3/2PRRnPP/r7/5K2 b - -,e4d3
8/5p2/1p4kp/3p4/3N3P/4nRP1/1r6/6K1 b - -,b2g2
4r1k1/1b1nr2p/2qp2p1/Q1p2P2/R1Pn4/3R1PP1/5NBP/5NK1 w - -,a4a2
8/5R1k/2p3rp/p1Pp4/1p6/7P/PP3PP1/6K1 b - -,h7g8
4nB2/1p1q3p/n2b4/k2p1P2/p3p3/P5PP/1P1Q2BK/2R5 b - -,a5b6
r3kb1r/2p1pppp/p1nq1n2/1p3Q2/8/1B3N2/PPPP1PPP/R1B1K2R b KQkq -,e7e6
6k1/5p2/1p4p1/p6p/PnqPN3/2Q3P1/1P5P/6K1 b - -,c4e6
5bk1/1p3r1n/1B1p2p1/3Ppb1p/4B2q/1R3P2/4N1P1/2Q3K1 w - -,b6f2
8/3k4/1r4p1/2R5/6pP/5P2/7K/8 w - -,f3g4
1Rb3k1/p4p1p/2r1n1p1/3Rp3/8/P1P3P1/4PP1P/6K1 w - -,d5e5
r1q1r1k1/p2n1pbp/2pBn1p1/2P1p3/Q3P3/2N2PP1/P3N1KP/1R1R4 w - -,a4c4
2r1r1k1/4npbp/R5p1/8/3PpB2/2P1N2P/5PP1/R5K1 w - -,a1a3
3r1r2/2pn1ppk/1p4np/p7/P4NPq/1P2B2P/7Q/3RR1K1 b - -,d7e5
r2r2k1/1p2p1bp/p5p1/P3P3/4pP2/4P3/1P3P1P/R1B1K2R w KQ -,c1d2
r2qr1k1/p2n1ppp/2pb1n2/1p2p2b/4P2N/1P4PP/PBPN1PB1/R3QRK1 w - b6,g1h1
r2r2k1/1p1qbppp/p1np4/3Np3/2P1P3/1P4P1/PB1Q1PKP/R4R2 b - -,e7f8
8/4N1P1/7K/p7/1p3k2/1P6/r7/8 b - -,a2h2
r2bq1k1/1p1n1p1r/p3p1p1/2BpP2p/bP3P2/P1RBQN2/6PP/4R1K1 w - -,c5d4
n1r2rk1/1pq1bppn/p1p1b2p/2Pp3N/NP1Pp3/P1B1P2P/3QBPP1/2R1K2R b K -,h7f6
r2q1rk1/p3ppbp/3p2p1/8/1pP3b1/1PnNPN2/1B1Q1PPP/R4RK1 b - -,a7a5
2rq1rk1/p2n1pp1/1p2pn1p/2pb4/3P3B/PQ1BPP2/1P2N1PP/R3K2R w KQ -,b3d1
1q1r1bk1/1b1n1ppp/p3r3/2PNnN2/1P6/4BP2/P4QPP/1R1R1BK1 b - -,d8e8
8/5p1k/6pP/8/1P2Pp1P/2r2P2/5K2/3R4 w - -,d1d7
2r2r1k/1N4bp/p3p1p1/2Pnp3/P2nB3/6P1/qR3PKP/2BQR3 b - -,a2a1
5Qk1/p5p1/1p2pq2/2b1np1p/3N2n1/6PP/P4PB1/R1BR2K1 b - -,g8f8
r1bq1rk1/pp3pbp/n3pnp1/2pP4/2Q1P3/2N2N2/PP2BPPP/R1B2RK1 b - -,e6d5
2r4k/p1rnqpp1/1p2p2p/2P5/4Q3/2R1PN1P/PP3PP1/2R3K1 b - -,d7c5
r2r2k1/5p1p/4b1p1/p2nP1N1/1p6/2p4P/PP3PP1/1B1RR1K1 w - -,g5e6
3r1rk1/1bq2p1p/p5p1/P1pp4/3b1P2/2NQ1BP1/1PP3KP/R4R2 w - -,b2b4
r2qr1k1/1pp2p1p/1n2b1p1/p3b3/4PP2/2N3P1/PP2Q1BP/R1B1R1K1 b - f3,e5d4
4k1r1/1p1r2b1/p3p2p/2Pp1n2/1P3P2/2PB1P2/P2B1K1P/R6R b - -,d5d4
8/4B3/1p6/8/k7/r7/4K3/8 b - -,a3c3
1q3bk1/5p2/1PQn2pp/p1B5/4n3/5NPP/5PBK/8 w - -,c5d6
5k2/6p1/4K1Pp/7P/8/8/5P2/8 b - -,f8e8
8/5r1p/p2kp1p1/8/2P1K3/1P6/P5RP/8 b - -,f7f1
1q1r2k1/pb3ppp/1p2p1n1/8/4P2P/PP3NP1/1Q3P2/1B2R1K1 b - h3,h7h6
r1bq1rk1/b4ppp/p1n1pn2/1p6/1PNp4/P2Q1NP1/1B2PPBP/R4RK1 w - b6,c4e5
4R3/3r2k1/4bp2/8/4PPPK/2p5/2r5/6R1 b - -,d7d3
r2q1rk1/p2n2pp/1p1bp3/6P1/2p4Q/P1N1PP2/1P1B3P/R3K2R w KQ -,h4c4
r4rk1/p1nqp1bp/2p1b3/1p1p2NR/3P4/2N1Q3/PPP1B1P1/1K1R4 b - -,e6f5
2rq1rk1/pp1b1ppp/4pn2/3pN3/2nP1B2/P1PBP3/2Q2PPP/R1R3K1 b - -,b7b5
8/2b2pk1/2P3p1/1P2p3/3pq3/3B3P/5P2/6K1 w - -,d3e4
2r4r/1b3k2/p1q1npp1/3Np2p/p1p1P2N/2P1Q3/PP1R1PPP/4R1K1 b - -,c8d8
8/p5pk/7p/4p3/1nprN3/5P2/1P4PP/R4K2 w - -,h2h4
r1qnr1k1/pppbbpp1/3p1n1p/3Np3/1PP5/3P1NPP/P2BPPBK/R2Q1R2 w - -,e2e4
5rk1/p2n3p/3NN1p1/2p4n/3p3Q/P2q3P/1P2rPP1/R3R1K1 b - -,f8f6
3rr1k1/1b3pbp/p5P1/1p1pp3/1P2Pn1q/P2BBQ2/2P2NPP/4RRK1 b - -,h7g6
2r3k1/2pqnr1p/1p1p4/pP1P1pp1/P1P3n1/4PRP1/1BQ3BP/5RK1 w - -,g2h3
r1b2rk1/pp1n1ppp/2pp3q/b7/5N2/4PN2/P1PPBPPP/R2Q1RK1 b - -,a5c7
2kr3r/pp2n1pp/N3p3/Pb2p3/3p4/3P4/1P3PPP/R2QR1K1 b - -,b7a6
5r1k/1p1nNp1p/r5p1/1q1pP3/p2P2Q1/Pn3R2/1P4PP/R1B2N1K w - -,a1b1
4r1k1/p1rn2p1/4p1q1/PPpb1p2/7p/Q3PP2/1B1R2PP/2R2B1K w - -,h2h3
r2qk2r/1b1nbp2/p2ppn1p/1p4p1/4P1P1/PNN1BP2/1PPQ3P/2KR1BR1 b kq -,d7e5
r4rk1/pp2bppn/q1pp2n1/3Pp2p/2P1P2P/2N3P1/PP2QP2/R1B1KN1R w KQ -,f1e3
6r1/p1R1npk1/1p2ppp1/8/5P2/4P3/PP1r1NPP/5RK1 b - -,e7d5
2rr2k1/1p1bbppp/p2ppn2/q7/P1PQPP2/1PN5/1B2B1PP/R4R1K b - f3,a5c5
r1bqk3/pp1nb1pr/2p1p3/3p4/2PP1Bp1/2P1PN2/P1Q2P1P/R3K2R w KQq -,c2g6
r1bq1rk1/ppp2ppp/2n1pn2/3p4/1bPP4/1Q2PN2/PP1N1PPP/R1B1KB1R w KQ -,a2a3
8/5pp1/2k1p3/4P1P1/1n1P1P2/5R2/5N1r/4K3 w - -,f3c3
r5k1/1p4pp/4p3/q4p2/P2PpP2/4n1P1/2r1BK1P/QR5R b - -,e3g4
8/3n2k1/r1p1Rb2/3Rn1p1/P6P/1P6/5B2/6K1 w - -,h4g5
r5k1/p4rb1/4p2p/1p2P3/2p2PQ1/4P3/q1b3P1/2R2RK1 w - -,g4e2
r3kb1r/3p1ppp/pB2p3/8/qp2RP2/P7/1PPQ2PP/2KR4 b kq -,f8e7
7r/1b1Q1k2/1q2pp1b/4P2p/n4P2/8/PPP3PP/1K1RR3 b - -,f7g6
r1b1k2r/1pqn1ppp/p2ppn2/8/2P1P3/1NPBB3/P4PPP/R2Q1RK1 b kq -,b7b6
1R6/1P4k1/6P1/8/8/4K3/1r6/8 b - -,b2b1
3r2k1/p2r1p2/1p2b1pp/2qpP3/3R1PP1/2P2B2/PPQR3P/7K b - g3,f7f5
8/kp5R/p7/5K1P/8/b4P2/8/3r4 w - -,f3f4
r1bqk2r/pppp1ppp/2n5/2b5/2P2P2/2N1P3/PP4PP/R1BQKB1R w KQkq -,f1d3
2r1n1k1/4qp2/p2p2pb/1b1P3p/1PpBPP2/6P1/1Q5P/2R1RBK1 b - f3,g6g5
8/8/1R5P/8/6K1/8/5k2/4q3 w - -,b6f6
r1bqkbnr/pp3ppp/2n1p3/2ppP3/5P2/5N2/PPPPB1PP/RNBQK2R b KQkq -,f7f6
1rr2k2/pp1bppbp/3p2p1/3N4/P1PNPP2/1P1n2PP/3B2BK/1R3R2 b - -,g7d4
r7/pp1brn1k/3bp1p1/3p1p1p/3P1P1B/3BP2P/PPR3P1/2R4K w - -,h4e7
2r2rk1/p3bppp/1qp2n2/8/2pP4/2NbPQP1/P2B1P1P/R2R1BK1 b - -,c6c5
3r1rk1/1p2bppp/1Nn1b3/6q1/2N4P/P4QP1/1P3PB1/2R2RK1 b - h3,g5b5
6k1/5p1p/4p1p1/1P1p4/4n3/1Q4P1/4Nq1P/3R3K b - -,f2e2
r2q1rk1/pp1n1pb1/n2p2pp/2pPp3/1PP1P1PP/P1N1B3/4BP2/1R1QK2R b K -,b7b6
r1bq1rk1/pp2ppbp/2n3p1/2p5/2BP1B2/2P1PN2/P4PPP/R2Q1RK1 b - -,c6a5
8/p1b5/8/1P3k2/P3p2K/6P1/8/3B4 b - -,c7a5
8/4Qpp1/6kp/4p3/4q2P/6P1/5P1K/8 b - -,e4f5
8/8/4r1nk/R7/7p/5R1K/6P1/8 w - -,f3f5
r4rkb/pp3p2/3ppPp1/4n1B1/2B1P3/P1N5/1PP3PP/R4RK1 b - -,e5c4
5nk1/pq1rnpbp/2p3p1/1PB1p3/P3P3/1QN2PP1/4N1KP/3R4 b - -,c6b5
8/pp3r1k/2b1p3/4P1R1/PB1p1P2/1P2n2P/7K/5R2 w - -,f1g1
r4rk1/p4pbp/1p1p2p1/n1p5/b3PB2/5NP1/P4PBP/1R2R1K1 w - -,f4d6
5rk1/p1R3pp/1p3b2/1P1qpp2/3p4/PN1P1PP1/1Q1Nn1KP/8 b - -,e2c3
8/2p2k2/3p3p/6r1/1P1PB3/4P2P/3B1K2/8 w - -,e4f3
1r3rk1/pq2n1pp/4p3/4P3/2PP1p2/P1Q1pP2/1B5P/1K1RR3 w - -,d4d5
8/7p/8/7k/P3q1p1/5b2/6BP/5Q1K w - -,h2h3
3r1rk1/1p1q1pp1/p1nb2np/8/P2p2bP/3N1NP1/1PPB1PB1/R1Q1R1K1 b - h3,f8e8
r1b2rk1/pp3ppp/2n1pn2/3p4/q1P4Q/P3PN2/1P1B1PPP/R3KB1R b KQ -,a4c2
2rq1rk1/1p2bpp1/3pbn1p/p3p3/Pn2PP2/1NN2B2/1PP1Q1PP/R1B2R1K w - -,f1d1
r2qk2r/1b3ppp/4pn2/p1n5/Pp6/4PN2/1P1BBPPP/R2Q1RK1 w kq -,e2b5
r2r2k1/1qnnp1bp/ppb3P1/3pp1P1/2pP4/2P1N2P/1P1NQ2B/1BR2RK1 b - -,e7e6
8/4b3/pp1k4/2p1p1p1/P2pP1Pp/1P1P4/2P1KB2/8 w - -,e2d1
4r1k1/pbq1r2p/1p1p2p1/2p2P2/P1P5/1P3PP1/2Q2KBP/3RR3 b - -,e7e1
r4rk1/1p1nqppp/2pbpn2/p2p3b/2P5/PPBP1NPP/3NPPB1/R2Q1RK1 w - -,d1c1
rn1qkb1r/pp3ppp/2ppp3/3nPb2/3P4/1B3N2/PPP2PPP/RNBQK2R w KQkq -,e1g1
1r3nk1/4r1b1/2Q2pp1/4p2p/4N3/2B3P1/1P3PKP/8 w - -,e4f6
rrb3k1/3nppbp/1q1p1np1/2pP4/8/2N2NPP/PPQ1PPB1/1RBR2K1 b - -,f6e8
3B1n2/3k2p1/p1p2p1p/2pp1P2/2P2PP1/1P1K3P/P7/8 w - -,d8b6
6k1/pp1bb2p/2p1pn2/P7/1PBPpP2/2B1P2q/6r1/2KQRN2 b - -,f6d5
7k/6p1/2p4p/2Pp4/3PbN2/4P1P1/r4R1P/6K1 b - -,a2a1
r1br2k1/ppq2pb1/2n2npp/4p3/7B/4PN1P/PP1NBPP1/R1Q2RK1 b - -,g6g5
b4rk1/B3b1pp/p1qp2n1/8/1rP1pP2/1P6/P1NR1QBP/2R3K1 b - -,b4b7
r2q1rk1/ppp2ppp/2n2b2/8/2QP4/2P2N2/P4PPP/R1B1R1K1 b - -,f8e8
2r1kbr1/pp3p1p/1qn1p3/3p1p2/3P1BnP/2P2NPN/PP2QP2/R4RK1 b - -,c6a5
7r/2bk1p2/1p1p2Pr/pRpPq1p1/P1P1PpP1/2P2P2/2KQ1R2/5B2 b - -,h6g6
2Q5/8/8/6p1/8/1P2KP2/6k1/7q b - -,h1e1
1r4k1/2pb2np/1p3r2/p1pP1p2/2P1pP2/8/PPB1N1PP/1R2qRK1 w - -,f1e1
r1b1k3/1p2bpp1/p3p2p/4N3/P2R4/8/1PP1BPPP/6K1 w - -,a4a5
r3r1k1/bpp1qpp1/p1n2n1p/3bp3/4N2N/2PP1Q1P/PPB2PP1/R1B1R1K1 b - -,f6e4
2rqrbk1/pp1b1p1p/3npnp1/3pN3/P2P4/1PN1P2P/1B2BPP1/R1RQ2K1 b - -,a7a6
B1b1r1k1/1n3p1p/p5p1/4p3/1B1b4/8/P4PPP/1RR3K1 w - -,c1c8
rnb4r/1pN1kppp/p3pn2/2b5/5B2/2P5/PP3PPP/2KR1BNR b - -,a8a7
8/PK2q3/2B3pk/1Qp5/2Pb4/7P/8/8 w - -,c6d7:b7a6
r4r2/pp1n1kpp/1n1p1q2/2pPpN1P/2P1PP2/1P6/P2QN3/2KR3R b - f3,f7e8
r2qkb1r/ppp1nppp/2n1p3/1B1p4/3P2b1/4PN1P/PPPN1PP1/R1BQK2R b KQkq -,g4h5
5k2/8/2r3b1/8/6PP/4RP2/5K2/8 w - -,f2g3
rn4k1/pp4q1/2pn1rPR/3p1b2/3P4/P1PBPP2/5K1R/2BQ4 b - -,f6g6
r3r1k1/1p3ppp/p5q1/3b3N/3P1n2/4R1QP/PP3PP1/R4NK1 b - -,g6g3
r1rq4/ppn3k1/4p1pp/1N1bNp2/P1BPn3/8/1P2QPPP/2R2RK1 w - -,b5c7
rn1qkb1r/pb1ppppp/1p3n2/2p5/3P1B2/4P3/PPPN1PPP/R2QKBNR w KQkq -,g1f3
r1bqkb1r/pppn1ppp/4pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,f8e7:f8d6
r1bqkb1r/1p3ppp/p2ppn2/2p5/4P3/1PN5/1PPPNPPP/R1BQ1RK1 w kq -,d2d3
r1bqkbnr/pp1p1p1p/2n1p1p1/2p5/3PP3/5NP1/PPP2P1P/RNBQKB1R b KQkq -,c5d4:d7d5
1r4k1/1P1q2pn/p2p1b2/2pP4/2P1QP1P/2B1K3/N7/1R6 b - -,f6c3
2b5/p2qp2Q/1p1p1kp1/3P3p/P1P3p1/1P3rP1/4RP1P/4R1K1 w - -,e2e6
1rr3k1/p2bq1bp/2n1p1p1/3p1p2/1p1P1P2/4P1P1/PP1QNBBP/2RR2K1 w - -,b2b3
1r1q1bk1/5ppp/pNQp4/3Pp3/1P1nP3/4B2P/5PP1/R4K2 w - -,e3d4
r1b2rk1/7p/p3p3/Np3p2/2pBnP2/P1P5/2P3PP/4RRK1 w - -,f1f3
6k1/1ppq2pp/1p1p1p1r/5Q2/2P2R1P/2BP4/P1P5/5RK1 b - -,d7c6
8/8/7k/6p1/5R1P/4P1P1/1r6/5K2 w - -,h4g5
r1bq2k1/1pp3bn/3p3p/p1PPp2n/1PN1Pr2/P1N2PB1/4B1PK/R2Q3R b - -,d8g5
R4nk1/1R2bpp1/2p5/2Pp3p/3Pp1n1/2B1P1Pq/5P1P/2NB2K1 w - -,d1g4
