7k/p4r1p/6p1/2p5/8/6P1/P6P/4R1K1 w - -,e1e8
r4rk1/2qnbpp1/3p1n1p/pp1Pp3/1Pp1P3/P1P2QPP/1B1N1PB1/R4RK1 b - -,d7b6
8/8/8/3kPp2/5Pp1/B5Pp/7K/4b3 b - -,e1c3
r3r1k1/pb2qpbp/1p1p2p1/4p3/2PnP3/1P1QN1P1/PB3PBP/2RR2K1 b - -,a8d8
3r4/p4p2/2Bb1kp1/1P1P4/1P2R1PP/7K/8/8 b - -,d8h8
r1bqr1k1/1ppn1ppp/p4b2/8/P2N4/2P2B2/1P3PPP/R1BQ1RK1 w - -,c1f4
3r4/pp3p1k/2q3pp/3p4/3R4/1Q2P1P1/PP4P1/6K1 w - -,g1h2
3rk3/1p3p2/p7/P2P1N2/4Pq2/2Q2B2/6P1/6K1 b - -,e8d7
r1q4r/1p3pbk/p2B2np/3P1N1Q/8/8/PP3PP1/R3R1K1 w - -,f5e7
3r3k/p2r1q1p/1p1PRp2/2pQ1Pp1/P1P5/3R4/6PP/6K1 b - a3,f7f8
2r1k2r/ppq1bppp/2nppn2/8/2P1P3/5N2/PP2QPPP/RNBR2K1 b k -,a7a6
2n3k1/2bb2p1/8/p2p2pn/1p1PpP2/PP2P1P1/1B3NB1/5NK1 b - -,g5f4
r1bqr1k1/pp1nbppp/2p1pn2/3p4/2P5/1PNP1NP1/PB2PPBP/R2Q1RK1 b - -,e6e5
8/6p1/4pk1p/5p1P/2r4K/5P2/5R2/8 w - -,h4h3
r1bq1rk1/pp2p1bp/2pp1np1/3Pnp2/2P5/1P4PN/PBQ1PPBP/RN3RK1 b - -,c6d5
6k1/q4p2/2R3pp/rp1rb3/N7/P3P1P1/1PQ2PP1/2R3K1 b - -,b5a4
r1bqr1k1/p1n2pbp/1p1p1np1/2pP4/P7/2N3PP/1P1NPPB1/R1BQ1RK1 w - -,f1e1
r3r1k1/1bn1q2p/3n1pp1/1p1p4/2pP1PP1/2N1PN1P/1P1Q4/1BR1R1K1 w - -,g1h1
8/8/8/p7/P4rk1/1P2R3/4K1p1/8 w - -,e3e8
3r4/1pp1q1bk/2p3p1/2P1p2p/p3P3/Pb1rQPP1/1P1B1N1P/2R3K1 w - -,f2d3
r2r2k1/p1q2pb1/2p1b1pp/2Bnp3/2B1N1PQ/5P2/PPP4P/2KR3R b - -,d8d7
2rr2k1/p1qnpp1p/2n1b1p1/2p5/P1N1P1P1/2P2N1P/5P2/2RRQBK1 b - -,e6c4
Q7/1pkr4/3p4/2q5/1p1p4/1Rn3P1/2r2PBp/5R1K b - -,c5b5
3rkb1r/p5pp/2p5/2Pn1p2/N2B1P1n/6N1/PP4PP/3R1RK1 w k -,g3e2
rnbq1rk1/1pp1bpp1/p4n1p/3p4/3P1B2/2NBPN2/PP3PPP/2RQK2R b K -,c7c6
r4rk1/1pq1bppp/p1n1pn2/2pp4/4P3/2PP1NPP/PP2QP2/R1B1RBK1 b - -,c5c4
8/3n4/1pk1bp2/p1p1n1p1/2P1P1P1/PPN1KP2/3NB3/8 b - -,c6d6
K7/8/8/5k2/1Pp2p2/2P1p3/5R2/8 w - -,f2b2
8/6n1/5kPp/4N3/8/4N3/8/3K4 w - -,e3c4
5rk1/pp2p1bp/1qp1n3/P2pP1p1/3Pb1P1/1B2Q2P/1PP1N3/2KRB3 b - -,b6a6
4r3/1p2r1k1/1P1p3p/2pBqb2/2P2NpP/3P2P1/5P2/Q2R1K2 w - -,a1e5
8/pR6/3r1p1p/1p6/1P1n1kP1/P1K1N3/5P1P/8 w - -,b7a7
