8/1RP5/1P4k1/4b3/4pp2/2r2p2/8/5NK1 b - -,e4e3
8/p6p/2r2kp1/1p3p2/1Pp4P/P4KP1/5P2/2R5 b - -,f6e5
rnbqkb1r/pp1ppppp/5n2/2p5/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq c6,f1g2:c2c4
r3kb1r/pp1qn1p1/2p1pp2/3nP1Bp/3P3P/P1NQ2N1/1P3PP1/R4RK1 w kq -,c3e4
3rr1k1/pQpq2pp/1b6/5pN1/6nP/2PP2P1/P1P2PBK/1RB5 w - -,h2h3
rnb1k1nr/pp2ppbp/2pp2p1/q5B1/3PP3/2N5/PPPQ1PPP/R3KBNR w KQkq -,g1e2
2b3k1/7p/1nn5/1Nq3p1/2P1Q3/3r2P1/P6P/1R5K w - -,b5c7
2kr2r1/pp5p/2p1pn2/q3ppbQ/8/1PP2PP1/P2PN2P/R1B1K2R w KQ -,h5h3
2k2b1r/1p3ppp/p3p3/2P1r3/1P6/7P/P1P2KP1/R3B2R b - -,f8e7
r2q1rk1/1pp2ppp/p1nbp3/3n1b2/2BP4/2P1BN1P/PP1NQPP1/R4RK1 b - -,d5f4
8/P1n5/8/8/1P2K3/2k5/2P5/8 w - -,b4b5
2rqr1k1/pb3pbp/1p2p1p1/2ppP3/2P5/1P2P3/PB2QPPP/1BRR2K1 w - -,f2f4
8/1p6/2pk1n1p/p4Bp1/P1P3P1/4PK2/8/8 b - -,d6c5
1rn4k/2r1b1pp/3pB3/R3p3/8/2P1B1P1/1P3P1P/3R2K1 w - -,a5a2
rnbq1rk1/6bp/4p1p1/1B6/5Pn1/N4QN1/PP5P/R1B1K2R b KQ -,a8a3
r2q1rk1/pppnbppp/2b1pn2/6N1/3P1B2/P1NQ4/1PP2PPP/2KR1B1R b - -,f8e8
2bqnrk1/4r1b1/3p1nQ1/2pP4/1pP5/1P3NNP/1B3RPK/5R2 b - -,f6d7
6k1/4R3/p5B1/1p1b4/1rp5/5PP1/4K1P1/8 w - -,e2e3
r1bqr1k1/pp3pbp/nnp3p1/8/8/BPN1P1P1/P1Q1NPBP/R4RK1 w - -,a1d1
r1b2rk1/1pq1bppp/p1n1pn2/8/1P2P3/P1N1BNP1/4QPBP/2R2RK1 b - -,f8d8
1k4r1/2q5/8/5B1p/Rpp5/2P1BP2/5P1P/3R1K2 b - -,g8g1
6k1/pp1q1r1p/6p1/3Q4/2PpPpP1/4b3/1P5P/4RR1K w - -,e4e5
r4rk1/p4pb1/b6p/q1P1pN1p/3P3B/2R5/P2Q1PPP/2R3K1 b - -,e5d4
2r3r1/pp1k1pbp/3q2p1/3pp3/2P2P2/4P1B1/P2Q1P1P/2RR2K1 b - -,d7e7
r2q1rk1/4bppp/p1bppn2/1p6/3BPP2/P1N5/1PP1B1PP/R3QR1K w - -,e1g3
r4rk1/5p1p/1q2p1p1/3nP1P1/3NQ3/p6R/PP5P/1KR5 w - -,h3b3
8/5p1k/6p1/2P5/p7/2q3P1/3PPPK1/8 w - -,d2c3
3r2k1/1b2qpp1/p7/1p1pp3/n3Pn2/PN3P2/K1PRB2P/4Q1R1 b - -,a4c3
4qrk1/3nbpp1/rp2pn1p/8/7B/2N1PN2/P1Q2PPP/R2R2K1 w - -,c3b5
r1br2k1/1pq1bpp1/pBn1pn1p/3p3P/4P3/1NN2P2/PPP2QP1/2KR1B1R b - -,c7f4
2q1k3/1r4pp/2N1pp2/1PQ5/8/4P3/5PPP/3R1NK1 b - -,e8f7
rn1qk2r/pp2ppbp/6pn/3pP3/3P1Bb1/5N2/PP3PPP/RN1QKB1R w KQkq -,f1b5
r1br2k1/b4pp1/p2pp1n1/1p6/2n1PP1p/PNN4P/1PP1B1PB/R4R1K w - -,e2c4
r3k2r/1pqbbpp1/p2ppn2/8/3NP2p/1P2N1PP/P1P1QPB1/R3R1K1 w kq -,g3g4
r2qk2r/pp1bppbp/1n4p1/2p5/8/1QN1P3/PP1PBPPP/R1B2RK1 w kq -,c3e4
8/8/pb2k1pp/4p3/PPK5/2N2P1P/6P1/8 b - -,h6h5
3q1rk1/1b5p/1r1np1p1/1pQ5/4P3/1P4P1/P4PBP/3RR1K1 b - -,b6c6
7r/3kbp2/4p1n1/p2pPp2/P2N1P2/1PP1B1RP/3K4/8 b - -,h8h4
r3r1k1/pp3p1p/2pRbbp1/2n1N3/2P1PP2/2N5/PP2B1PP/2KR4 b - -,a7a5
2r3k1/5p1p/1Q2p1p1/2n5/P1P4P/2q3P1/5PB1/3R2K1 b - -,c5a4
8/6k1/1R6/4PP2/6P1/1p2r3/7K/8 w - -,e5e6
br3rk1/p2nq1pp/4pp2/2p1N3/N2pP2P/P2B4/1PPQ1PP1/3R1RK1 b - -,d7e5
8/2n4p/4pk2/2N2pp1/6P1/4KP1P/B7/8 w - -,a2c4
1b4k1/1p3p1p/4rp2/R4N2/P4P2/1P2PKP1/2r4P/3R4 b - -,c2h2
r1b1k2r/ppq2ppp/2nbpn2/2pp4/2PP4/1P1BPN2/PB3PPP/RN1Q1RK1 b kq c3,c5d4
3r2k1/2r3bp/3Np1p1/p1p1P3/5q2/1P3N1P/P3Q1P1/5RK1 w - -,e2a6
8/1P3pk1/2B1p3/2bpP3/8/3b2p1/1K6/8 w - -,b7b8q
r3r1k1/pp1bqpp1/2n1pn1p/3pN3/3P1P2/2PB4/PP1N2PP/R3QRK1 w - -,e1g3
3r1k2/p2r1ppp/2pp4/8/2R5/2P2P2/PPK2P1P/3R4 b - -,d8c8
2r3k1/8/3b3p/3p3P/3B2q1/1P2Q1N1/P4P2/6K1 b - -,d6f4
8/8/3k1n2/1p3pp1/3P4/3K1PP1/3N4/8 w - -,d2f1
1r2q1k1/p4ppp/4p3/1pb5/5P2/PQ1RP3/5PBP/6K1 w - -,f4f5
8/3P1k2/p2Qp3/1pp3q1/6P1/1P3K2/8/8 b - -,g5d8
8/8/8/2p3kp/8/PR3K2/1Br4P/8 b - -,c2h2
r1bqr1k1/1p3pbp/p2p2p1/2pPn3/P4B2/2N3P1/1P1QPPBP/1R3RK1 w - -,b2b4
8/3R3p/k7/2r1p3/3p3P/8/PPP3q1/2KBR3 w - -,b2b4
8/2n5/1R2p3/3k1p2/5P2/6P1/6K1/r7 w - -,b6b7
r1b1k1nr/ppqpppbp/2n3p1/8/2P1P3/1N2B3/PP3PPP/RN1QKB1R w KQkq -,d1d2
r3r1k1/1p3pp1/p2q1n1p/3Pp3/8/4Q1PP/PP3PB1/2R1R1K1 w - -,e3c5
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP4/5NP1/PPQ1PP1P/RNB1KB1R w KQkq -,e2e3:f1g2
r2r2k1/3P1ppq/1p3n1p/b3N3/P5P1/NQ6/PB3PKP/3R4 b - -,h7e4
r1b2rk1/1p1n1pbp/2pp2p1/p1n1q3/2PNP3/2N1BB1P/PPQ2PP1/3RR1K1 w - -,g2g3
r1bq1rk1/ppp2pbp/1n4p1/1B1Pp3/4P3/4BP2/PP1Q2PP/2KR2NR b - -,c7c6
2r1rnk1/4bppp/q7/1p1pP3/3P3P/5N2/1P1BQPP1/2R1R1K1 w - -,e2d3
2r2rk1/pp2b1p1/1qn4p/1P1p4/3Pp3/P2BPN2/2R3PP/1Q3RK1 w - -,b5c6
8/5pkp/2p1qnp1/2Pp4/1Q1P4/3B2P1/5PKP/8 b - -,e6g4
r1bqk2r/pp1nppbp/2p2np1/3pN3/3P1B2/2N1P3/PPP1BPPP/R2QK2R b KQkq -,e8g8
r2r2k1/pp2bppp/2p1b1q1/8/P3NQ2/2BR4/1PP2PPP/4R1K1 b - -,d8d3
r3k2r/1bq1bpp1/p1np1n1p/1pp1pP2/4P3/2PP1NP1/PP3NBP/R1BQ1RK1 b kq -,a8d8
1rb3k1/4rpqp/3p2p1/2pP4/1p1nP3/1P1N1B1P/3Q1PP1/1R2R1K1 w - -,b1a1
2Br4/3Pk3/pb3p2/5R2/P3K3/8/8/8 b - -,d8h8
5rk1/pp4p1/3N3p/8/2p5/2P1B3/Pn2b1PP/R5K1 w - -,a1e1
5k2/2q2pp1/2p1p3/NpPpP3/1P3QPp/7P/7K/8 b - -,f7f6
1r2r1k1/2p3b1/p1p3p1/4qbB1/3p4/6R1/PPPQ4/2KN2R1 w - -,g3g2
6k1/p3Q3/1p1P4/2pP3p/2P2Bn1/2P4K/P7/6q1 w - -,e7e6
6k1/1p4p1/7p/7r/P7/3Pp3/6P1/4R1K1 b - -,h5e5
1br1r1k1/5pp1/pp4q1/3p4/1P1BnPp1/PN2P3/6PP/3QRRK1 w - -,g2g3
8/2r2k1p/1p2p3/4bpB1/n7/5PP1/P2R2KP/8 b - -,a4c3
2r2rk1/2q1ppbp/R4np1/1pP5/4P3/1bN2N2/1PnQBPPP/2B2RK1 b - -,c7c5
r2q1rk1/1p1nbppp/p1n1p3/3p2B1/N2P4/P2QPP2/1P2N1PP/2R2RK1 w - -,g5f4
r1b2rk1/pp3ppp/2n1pn1q/8/3P4/P1NB4/1PQ1NPPP/R4RK1 b - -,e6e5
1rbq1rk1/3np1bp/p2p1npB/1p1P4/P1p1P3/N1P2P2/1P2B1P1/R1Q1K1NR w KQ -,h6g7
r1b1nrk1/2q1Bppp/p1ppp3/8/4PP2/2N3Q1/PPP1B1PP/R4R1K b - -,c7e7
3r2k1/pb3pp1/1q2n3/2p5/2B3R1/P3P2P/1bQ2PP1/5RK1 b - -,b2f6
rnb1k2r/pp3ppp/4pn2/q3P3/2BN4/2P5/P4PPP/R1BQ1RK1 b kq -,f6d7:a5e5
6k1/1b6/8/1p2p1p1/1bp2nP1/2P3Q1/1PqNKR1P/3N4 w - -,e2e1
rnb2rk1/p4ppp/3p1q2/2pPp3/1pP1Pb2/3B3P/PP1N1PP1/1RBQR1K1 w - -,d2f1
6k1/3r1pbp/1Bn3p1/8/5P2/5B2/PP4PP/3R2K1 b - -,d7d1
6k1/qb2rp1p/3pp1p1/8/1R1bP3/P2BN3/3B1PPP/5RK1 w - -,f1b1
2r1rbk1/1p1q1ppp/p2p4/3Np3/P2nP3/1P1Q2Pb/2P2P1P/R1B1R1KB w - -,c2c4
r5k1/p1R2pq1/8/pP1p1P2/1P1p2Q1/6K1/8/8 w - -,b4a5
r3kb1r/pp1b1ppp/2nppn2/q7/4PB2/2N2N2/PPPQ1PPP/R3KB1R w KQkq -,c3b5
7R/8/8/2k2K1P/8/8/8/2b4r w - -,h5h6
8/1n1Nkr2/6p1/p1p1p3/P3P1B1/4P3/4K3/8 b - -,e7d6
1q4k1/1b1nbp1p/p3p1p1/1p1p4/nP5P/PN1PPNP1/3Q1PB1/B1r3K1 w - -,d2c1
r2q1rk1/4bppp/1p1p1n2/p2Pp3/1nP5/1N2BP2/PP1QB1PP/R4RK1 b - -,b4a6
r2qkb1r/pp1n1ppp/2p1b3/3np3/Q7/2NP2P1/PP1BPPBP/R3K1NR b KQkq -,f8e7
r2qk2r/pp1nbppp/2p1pn2/3p3b/2PP4/1PN1PN1P/PB2BPP1/R2Q1RK1 b kq -,h5g6
r2q1rk1/pp3ppp/2nb1n2/3p4/3P2b1/1PPBBN2/3N1PPP/R2Q1RK1 w - -,e3g5
4r3/1Rp1q1pk/3b1pbp/8/P2RP3/2rBQNP1/5P1P/6K1 w - -,e4e5
8/3B3p/1p1p4/4p3/1PPnk3/P5P1/7P/7K w - -,a3a4
r1bq1rk1/1p1pbppp/p1n1pn2/8/4P3/1NN1B1Q1/PPP1BPPP/2KR3R w - -,e4e5
rnbqkbnr/pp3ppp/3p4/2pPp3/2P1P3/8/PP3PPP/RNBQKBNR b KQkq e3,f8e7
5rk1/p5b1/1p2p1qp/8/4P3/2NQ4/PP3PP1/5RK1 b - -,g7e5
rn2k2r/2Q3pp/1b2p3/p2bNp2/Pp2n3/6P1/1P1NPPBP/R1B2RK1 b kq -,b6c7
r2r2k1/p2qp2p/1p4pb/2p1pnQ1/4N3/P4R1P/3P1PP1/2BR2K1 w - -,g5g4
rnb1k2r/ppp1qpb1/3pp1pp/8/3PP2P/2N2N2/PPPQ1PP1/2KR1B1R b kq h3,a7a6
r3k1nr/1pp2pp1/p1n5/4pR2/4P3/3PN1pq/PPP1N2P/R4QK1 w kq -,f1h3
2rq1Bk1/p4p1p/6p1/2p5/Q7/7P/PP3PP1/4R1K1 b - -,g8f8
5rk1/5pp1/2n1p1np/1R1pP3/r4PP1/P4N2/2P4P/2B2R1K b - -,g6f4
r4rk1/pp1nbpp1/1qn1p2p/3p4/3P4/P1N1PNBP/1P3PP1/1R1Q1RK1 b - -,f8c8
6R1/2p5/1p2P3/p3nKB1/k7/8/2P1r3/8 w - -,e6e7
r4rk1/1p2pp1p/1n1p2p1/2pP2B1/4P1n1/2b5/1PPN1PPP/R4RK1 w - -,b2c3
r2qk2r/pp1bnpb1/3p1n1p/2pPp1pP/2P1P1P1/2N2P2/PP1B3N/R2QKB1R b KQkq -,d8c7
2B5/7p/3p1kb1/2pP4/1pP5/1P1n1K2/P2R3P/8 w - -,f3e2
8/1p6/2p1p2p/PP2k1p1/3rPp2/5P1P/4KP2/2R5 b - -,c6b5
3qr1k1/pbrnbppp/1p2pn2/3p4/3P4/1P1B1NPQ/PBPNRP1P/2R3K1 b - -,h7h6
2r2rk1/6pp/p2q4/2p1p3/2PpPp2/P2Q1PP1/1P5P/2RR2K1 b - -,a6a5
1r1r2k1/4qpbp/3ppnp1/1p6/3BP3/1PN4P/P2Q1PP1/2R1R1K1 w - -,d2d3
4Q3/6b1/q5pk/p6p/4B2P/6P1/5PK1/8 w - -,e8d8
6k1/5pp1/4r3/p3p3/qp1n2Q1/7P/2PR2P1/5R1K w - -,d2f2
6k1/2RK4/pp4rp/4PN2/1P3n2/P2P4/8/8 b - -,g8h8
r1bq1rk1/pp1nppbp/2p3p1/8/2PPn3/3B1N2/PP3PPP/R1BQ1RK1 w - -,d3e4
r4rk1/ppqb1pbp/4p1p1/2p3Nn/P1B1P3/2P5/1PQ2PPP/R1B1R1K1 w - -,c1e3
r1bqkbnr/pp2pp1p/2np2p1/8/2B1P3/2P2N2/PP3PPP/RNBQK2R w KQkq -,e1g1
8/5p1k/p3r3/K7/1P6/2Q5/8/8 w - -,c3d4
5b2/3b2k1/1p5p/4R3/1p1P1KPN/1P6/P7/8 b - -,g7f6
8/3Q4/8/5ppk/8/4q3/7K/8 b - -,e3e2
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PB2NP1/P1Q1PPBP/RN3RK1 b - -,c8b7
2r5/1n3kb1/pp1pp2p/5pp1/P2P4/2rN3P/3N1PPB/2R1R1K1 b - -,g7d4
5b2/7p/3p1kp1/1pr5/2p5/2N3P1/1P4KP/3R4 w - -,c3e4
r1bqk2r/1p1n1ppp/p4b2/3Np3/3P4/3BP3/PP1N1PPP/R2Q1RK1 b kq -,e5d4
4r1k1/pp3pp1/1b5p/2pP1q2/1PP1p1b1/P1Q5/1B3PPP/R3R1K1 b - -,f7f6
4r3/p5p1/3k4/3Pr1pp/1PP5/8/P5KP/R2R4 w - -,d1d2
3rk2r/2qp1pp1/1p1Rp3/1Q6/1pP1P3/P4PP1/8/3R2K1 w k -,a3b4
r4rk1/p3pp1p/2np1np1/8/4P1b1/2PBBN2/P1P2PPP/R4RK1 w - -,f3d4
r4rk1/6pp/p1pN4/bP2Pb2/2p5/1nN5/1P4PP/3RKB1R b K -,c6b5
2k1r3/pp3p2/2n1bBr1/q2pPp2/3P1Q2/P4N1P/2P2PP1/R4RK1 b - -,a5c3
r2qk2r/pp1n1ppp/3bpn2/2pp4/3PP3/2PQ1N2/PP1N1PPP/R1B2RK1 b kq -,d5e4
rn3rk1/pp2p3/1npq2pB/8/4P3/2Q5/PP2NP1P/R3K2R b KQ -,f8f7
r2r2k1/1bp1qpp1/p4n1p/P3p3/1pBbP3/1N5P/1PP1QPP1/R1B1R1K1 w - -,b3d4
5n2/2p3k1/1p1p4/p2P3p/P1P1N3/6P1/1PK1r3/5R2 w - -,e4d2
r2k3r/1p1q2pp/2p2pb1/p7/1b1P1BPN/1Q6/PP3P1P/R3R1K1 w - -,h4g6
rnb1k2r/ppp2pbp/6p1/3Nn1B1/2P1P3/5N2/PP4PP/R3KB1R b KQ -,e5f3
4rrk1/2p1q1np/1p1p1npb/pP1P4/P2Ppp2/R3P1PP/2QNBP2/2B1R1K1 w - -,e3f4
5rk1/5pp1/2q1p2p/1NbbP3/2r4P/P5P1/1Q3P1K/R1BR4 b - -,d5f3
5bk1/4pp2/1p1p3p/p1r2Np1/2P1P3/Nq3PP1/7P/1R5K w - -,b1b3
8/r5k1/R6R/8/8/8/3r2P1/6K1 w - -,a6g6
r1bq1rk1/pp1nbppp/2n1p3/8/1P6/P1N1PN2/3B1PPP/RQ2KB1R w KQ -,f1e2
6r1/p2b1p2/1b2pk2/2N2p1p/1P3P1P/6P1/6B1/2R4K b - -,d7b5
r3r1k1/1p3p1p/6p1/q7/8/P2B1PQ1/1PP3PP/1K5R w - -,h2h4
2r2rk1/pp3pbp/6p1/3qpPB1/4P3/8/PP2Q1PP/R4R1K b - -,d5c4
8/5pk1/3r3p/5N2/5P2/6PP/1n3K2/8 b - -,g7g6
8/r7/Pk4p1/5p2/3p1P1p/3K3P/R4P2/8 w - -,d3d4
r3r3/5pkp/p1N2bp1/8/1PR1p3/4P3/P3K1PP/7R w - -,a2a4
r1bqkb1r/1p3ppp/p1n1p2n/2ppP3/P4P2/2N2N2/1PPP2PP/R1BQKB1R w KQkq -,g2g3
8/5rk1/4R2p/pB3pp1/P1N5/6P1/1r3PKP/8 b - -,b2c2
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PP4/2PBPN2/P4PPP/R2Q1RK1 w - f6,f1e1
r4rk1/1bq1bppp/p1nppn2/1p6/3NPPP1/P1N1BB2/1PPQ3P/R3K2R w KQ -,g4g5
r2nnrk1/2qbbppp/pp1p4/2pPp3/P1N1P1P1/2P2N1P/1P3P2/R1BQRBK1 b - g3,f7f6
B5k1/4r1pp/8/p7/Pp1n4/1P1P1PP1/3bpK1P/1R2R3 b - -,d2e3
r3k2r/1bq1bpp1/p2ppn2/1pn3B1/3NP3/2N3RP/PPP1QPB1/2KR4 w kq -,a2a3
8/7p/6p1/4k3/7P/2rpbPPK/8/3R4 w - -,h3g2
4k3/4np2/2p5/2R1p3/6P1/8/8/6K1 b - -,f7f6
2r3k1/6p1/6p1/4r3/p4qP1/3Q1B2/5PK1/3R4 b - -,c8e8
2N3k1/5pp1/r6p/1Rnp4/8/2P3P1/P4PK1/8 b - -,c5e4
2r5/5pk1/r5pp/3n2q1/P2Pb3/R3P3/P2Q2PP/5RK1 w - -,d2f2
r2q1rk1/pp1bbppp/3p1n2/2p1n3/4P3/1NN1B2P/PPP1BPP1/R2Q1RK1 b - -,d7c6
7k/4b1pp/p2p4/1pn1p3/1q2P3/5QBP/2P1B1PK/8 b - -,b4a5
r1bq1rk1/pp1p1ppp/2n1p3/8/2PN4/2P1P3/P3BPPP/R2Q1RK1 b - -,c6a5
5b1k/R3r2n/3pB1p1/3Pp1Pp/1p2P3/1P2B3/P4P2/5K2 w - -,a7a6
r5k1/R4ppp/4p3/3b4/1n1N4/4P3/4BPPP/6K1 w - -,a7a8
8/5k2/7b/1p1qRPr1/6K1/2Pp3Q/1P6/7R w - -,g4f4
r1b1k2r/pp2bppp/n1n1p3/q1p5/4P3/PQNP1N2/1P2BPPP/R1B2K1R b kq -,e8g8
2k1rb1r/1ppb3p/p4np1/2p2p2/4P3/2N1BPN1/PPP3PP/R4RK1 w - -,f1e1
r4rk1/p4pp1/2p1bb1p/q7/2pP4/2N1P1P1/P4PBP/R2Q1RK1 w - -,d1c2:a1c1
2kqrb2/pb1p4/2nr4/1p1Qp3/P1p3P1/2P2N2/1P2PP1P/R3KB1R w KQ -,d5b5
r2q1rk1/2p1bppp/p1n1b3/1p1pP3/4n3/1BP2N2/PP1N1PPP/R1BQ1RK1 w - -,f1e1:b3c2:a2a4
8/4pp2/5kp1/8/1P1r1P2/1NK5/p1P3BP/8 b - -,d4f4
r3k2r/p1pn2pp/1bppbp2/8/4P3/1P3Pq1/PNPB2PP/2KR1B1R w kq -,h2g3
8/8/1Q6/1PK1q3/8/2P5/1k6/8 w - -,c5c6
r2r2k1/pb2qp1p/1p1Npnp1/2Pp4/1P1P4/6P1/P2Q1PBP/2RR2K1 w - -,d2g5
r3kbnr/1bqp1ppp/p1n1p3/1p6/3NPP2/P1N1B3/1PP3PP/R2QKB1R w KQkq -,d4f3
r2k3r/1p2ppb1/p2p2pp/1B2n3/1n2NB2/8/P1PR1PPP/5RK1 w - -,b5a4
r2q1rk1/ppnnppb1/3p2pp/2p5/3PP3/2P1BN2/PP1Q1PPP/RN2R1K1 b - -,g8h7
