8/p7/6k1/2pn4/2p2PK1/2P5/P7/3N4 w - -,g4f3
3rr1k1/pbq2pp1/1p2pn1p/2b1N3/2P5/1P1B3P/PB2QPP1/3R1RK1 w - -,d3c2
r2nrbk1/1ppq1p1p/6p1/pP5n/2PN4/P3B1P1/2N2PKP/1R1Q1R2 b - -,d8e6
r2qk2r/1p1bnpbp/p1np2p1/2p1p3/2P1P3/2NPB1P1/PP1QNPBP/R3K2R w KQkq -,c3d5
3r1rk1/2R3bp/1p2bpp1/np2p3/5P2/P2NN1P1/1P2PKBP/3R4 b - -,a5c4
5k2/8/pB2p1b1/3pP2p/P2Pp2P/1P2K1P1/4P3/8 w - -,e3f4
3r2k1/1b3p2/3bpp2/qBn5/2P2P2/r1N2NPp/1Q5P/1R3R1K w - -,b1c1
2kr3r/pp1bb1pp/1qn1pp1n/2p5/3pPPP1/P2P2N1/1PPN2BP/R1BQ1RK1 b - -,h6f7
6k1/p4ppp/1pn1p3/2p1P1b1/2P2N2/2B3P1/PP3PKP/8 w - -,f4d3
1r6/pb1pkprp/1np1pp2/8/P2P4/1BR1P3/1P1N1PPP/1R4K1 w - -,g2g3
r7/p3kb1Q/5pr1/q2p3R/1pBP1p2/7P/PPP3P1/R5K1 w - -,c4d5
2k3r1/pq3p2/1p2p3/2p1Q1P1/8/P2P3P/1PP3b1/1R3RK1 b - -,g2h3
r1bq1rk1/p3nppp/3p1n2/1P1P4/2p2P2/2PB2N1/P5PP/R1BQ1RK1 w - -,d3c4
5k2/1r5p/2p1PP1K/ppPb1P1P/6R1/8/1P6/8 b - -,a5a4
8/6p1/4Q1Pk/p2pP3/Pp2qr1p/1P5P/5p1K/2Q2R2 b - -,h6g5
r4rk1/ppRb2pp/4p3/n2P4/3Pp3/4q2P/PP1NB1P1/3Q1R1K b - -,f8d8
6k1/4p1bp/n3N1p1/1p1p4/p2P1P2/P6P/1P3BP1/6K1 b - -,g7h6
3Q1q1k/r4p2/2b1p1p1/2p1P3/2Pp4/8/5PPK/8 w - -,d8f8
r1b2rk1/pp2npb1/1qnpp1pp/2p5/2P1P3/2NPB1P1/PP2NPBP/1R1Q1RK1 b - -,c6d4
8/b7/B1pk4/P4p1p/1P3P1P/4pK2/8/8 b - -,d6d5
4r1q1/2kbR2R/1r1p1p2/p1pPp3/PpP1P1P1/1P1B1QN1/5PK1/8 b - -,e8e7
2r3k1/5p1p/pq2p1p1/N2R4/1n3P2/8/1P1Q2PP/3R3K b - -,b4d5
r2q1rk1/pp1bppbp/2np1np1/8/2PN4/1P2P3/PB2BPPP/RN1Q1RK1 w - -,b1d2
8/5q1k/1p1p3b/pP1Pp3/P1Q5/2B1r2p/3N3P/6RK w - -,c3b2
6k1/1pq1bppp/2p1bn2/p1P1p3/1P6/P4NP1/1BQ1PPBP/3r2K1 w - -,c2d1
r3kn1r/1p1bb1p1/pqn1p2p/3pPp1P/3P4/3B3N/PPN2PP1/R1BQR1K1 w kq -,h3f4
r2qk2r/pp3p1p/1np1pp2/5b2/3P4/1B3NP1/PPP3PP/R2Q1RK1 b kq -,a7a5
2r2rk1/p4ppp/1qP2n2/1pbp4/n2N4/3Q2P1/P3PPBP/R1B2RK1 w - -,d4b5
6Rk/2R4p/2N1N2n/3pP3/8/7P/3r1PP1/1b4K1 b - -,h8g8
2n1rr1k/pR5p/3pB1p1/2pP1P2/3bP3/8/3B3P/5R1K b - -,g6f5
rnbqk2r/1pp1ppb1/p4np1/7p/3PpB2/2N2P2/PPPQ2PP/2KR1BNR w kq -,f3e4
2k4r/3r1p2/p1bpp3/1p4N1/n6P/K1P3P1/P1P1B3/4RR2 b - -,h8g8
3r2k1/pp5p/4q1p1/5p2/8/1n4P1/3PP1BP/3QR1K1 w - -,d2d3
2r1kb1r/pp1b1ppp/2q1p2n/2NpP3/1PnP2P1/PQ3N2/1B3P1P/R3KBR1 b Qk -,b7b6
4r3/1k1p4/1p6/1pnP1P1p/2p4P/P4P2/1P6/3RKB2 w - -,e1d2
2r1r1k1/pp3ppp/4n3/8/3BPqP1/2P2P1P/P3Q1K1/R6R w - -,a1b1
5bk1/5p1p/p4Qp1/8/8/3q1N1P/5PPK/8 w - -,g2g3
r1q2rk1/pb1n1ppp/1p3n2/3pp1B1/2PR4/P1N1P3/1PQ1BPPP/4K2R w K -,d4h4
5r1k/3r1qpp/5n2/p1pPpPB1/PpPbB2P/1P3Q1R/8/5R1K b - -,d7d6
8/p6p/1p6/5p2/1P1pk1P1/P7/4K3/2B5 w - -,g4f5
r4rk1/1pq2pbp/pnp2np1/4p3/2BP4/P1N1PQ1P/1P1B1PP1/2RR2K1 w - -,c4a2
8/5rk1/pp6/4pn1p/4Q2P/P5pK/1PB2RP1/8 b - -,g3f2
r1b1nrk1/3nppbp/p2p2p1/qPpP4/4P3/1NN1BP2/PP1Q2PP/R3KB1R b KQ -,a5b4
5rk1/pp1b1p1p/2pn1p2/8/3P4/1B2P2P/PP1N1KP1/2R5 b - -,d7e6
3r1r2/pbq3k1/1p2p1Bp/8/1P1n3Q/5P2/P5PP/R3R2K w - -,g6h5
r6r/p2k1ppp/R1p5/2b1Pp2/8/1P6/2PN1PPP/5RK1 b - -,d7c7
8/2p2pk1/2p2n1p/2q3p1/p1P5/2Q1R1PP/5P1K/8 w - -,e3f3
8/8/7p/P7/2K4k/7P/8/2b5 w - -,c4d3
4r3/pp2rkpp/2p2p2/3n4/1P1P2P1/PN2P3/2R2PP1/2R3K1 b - -,a7a6
5r1k/p3q1pp/Bb1r4/4n3/1P3p2/2P5/P3QP1P/R1B2R1K w - -,f2f3
2r2rk1/ppqbn3/4p1p1/4Pp2/3P3P/B1PQ4/P1B5/1R3RK1 b - -,g8f7
r2qr1k1/p1p1nppp/1p2p3/3pN3/1bPPnP2/1P2P3/PB2Q1PP/R2N1RK1 w - -,d1f2
8/p4k1p/1p4p1/5pP1/3pbB1P/PK6/1P3P2/8 b - -,d4d3
r1bqk2r/4bpp1/1np1p2p/1p1pP3/p2P4/P1P2N2/1PB1NPPP/R2QK2R w KQkq -,e1g1
3r1qkb/p2r1p2/np1p2p1/1N4B1/2P1b1P1/7Q/PP1RB2P/3R2K1 w - -,g5d8
r1b2rk1/p2n1pbp/2pp1np1/qp2p3/3PP1P1/2N1B1NP/PPP2PB1/R2Q1RK1 b - -,a5b4
r1bqkb1r/pppn1pp1/3ppn1p/8/3P3B/2P2N2/PP1NPPPP/R2QKB1R b KQkq -,g7g5
8/PR3pk1/6pp/3p4/r2P4/4P1P1/4KP1P/8 b - -,g7f6
r4rk1/p1p2ppp/1pn1pn2/1R1q4/3P4/2P1PN2/P3QPPP/2B2RK1 b - -,d5e4
q1rr2k1/1bb2pp1/pp1ppn2/2n4p/2P1P3/2N1BPPQ/PPN1B2P/2RR2K1 w - -,e3g5
r3r1k1/1b1nb1pp/p2q1p2/Q3p3/2P1P3/1N1B1R2/1P4PP/1N3R1K b - -,d6b4
1r3rk1/p1n1qpbp/bp2p1p1/2Pp4/1P1PnN2/4PNP1/1B2QPBP/1R1R2K1 w - -,e2c2
r2q1rk1/pbn1bppp/3p1n2/1ppP4/2B5/1PN1PN2/PB3PPP/R2Q1RK1 w - -,c3b5
r2qr1k1/1p2ppbp/2n3p1/1N1p4/P2Pn1b1/1Q2PN2/1B2BPPP/R1R3K1 b - -,c6a5
2kr3r/p2n1p1p/bp1p2p1/2pP4/2q2P2/2P1B2P/P2QN1P1/R3R1K1 w - -,a2a4
n2r2k1/5bp1/1pp4p/4p3/2P5/PN2P1PP/1R2BPK1/8 w - -,b3d2
2rr4/4bkp1/pq2p1p1/1pp5/6Q1/2N3B1/PP3PPP/4R1K1 w - -,c3e2
r3r1k1/1p1qb2p/1np1bpp1/3p4/p2P1BP1/P1NR3P/1PQ1PPB1/R5K1 b - -,e6f7
6k1/5p2/4pbp1/2q1P2p/8/6P1/1P2QPP1/6K1 w - -,e5f6
2R2r1k/6pp/8/8/3P4/4q2P/2Q3BK/8 b - -,e3f4
1b3q2/r4pk1/5pp1/1p1B4/1P4P1/3RQ2P/5PK1/8 b - -,f8b4
2r4k/p5p1/5p1p/q7/3Bn3/1Q2PN1P/P4PPK/8 w - -,b3e6
8/2n3p1/2kp1p1p/1p3P2/1P1KP1P1/3N4/7P/8 w - -,d3f4
3q1r1k/pp3p1p/5p2/2pP1Q2/5P2/P6P/1P4P1/5RK1 b - -,d8e7
2r2rk1/pp2nppp/8/3p4/1P4b1/P1q1PN1P/R2QBPP1/5RK1 b - -,g4d7
6k1/1R4p1/4N2p/P4p1P/8/3K1P2/6rb/8 b - -,g2a2
r1b5/3qk1p1/1ppNpr2/p1n1P1Q1/8/8/PP4PP/1B3RK1 w - -,f1f6
3qr2k/1b3pp1/ppp5/5r1p/3Pp3/2R1P1P1/PPQ2P1P/2R2BK1 w - h6,h2h4
6k1/1p1n2pp/2bPpp2/pr2P3/8/1N3PB1/P2R1KPP/8 w - -,f3f4
rnbqk2r/ppp1bppp/3p1n2/8/3p4/1P2P3/PBP1NPPP/RN1QKB1R w KQkq -,e2d4
1rb1k2r/p3n1b1/3pp2p/q1p2p2/3P1P2/2P1B1P1/P2Q2BP/2RN1RK1 b k -,c5c4
1rr5/6k1/3q2pp/p1Np1p1P/P2P4/1p1QP1P1/5PK1/2R5 w - -,c1b1
3r1n1k/p1q3p1/3n3p/5b1P/1Np2PP1/P4Q2/5NB1/2R3K1 b - -,f5c8
6k1/1b2qp1p/pp4p1/8/3Q4/1P2P3/PR2BPPP/2r3K1 w - -,e2f1
8/2k2p2/4p3/pP1pPn1p/K2P1P2/8/8/4B3 b - -,h5h4
rn1q1rk1/4p1bp/p1p2pp1/2P5/Np1PBPb1/1Q6/PP4PP/R1B2RK1 b - -,g8h8
r5k1/6b1/1p2b1np/1Pp1n1p1/2PBPpP1/1N3P1P/3NP1B1/4K2R b K -,c5d4
8/1Q6/p2r1k2/8/P4K2/8/8/8 w - -,a4a5
4r3/6k1/pq4p1/1pn2pb1/3N3p/P1PB3P/1PQ2PP1/3R2K1 b - -,g5f6
4q1k1/3b1p2/6n1/4pB2/p3P3/6PK/5P1P/2Q5 w - -,h3g4
8/8/8/5r1p/8/7k/4K3/6R1 b - -,h5h4
1r4k1/1pq1pp1p/p2p1bp1/1P2r3/P1P1Q3/4B1P1/4PP1P/2RR2K1 w - -,e4d3
2R5/p4pkp/6p1/1p6/3b1PP1/3P1K1P/PP6/4r3 w - -,c8b8
2r1k2r/2qb1pp1/p3pn2/1pb1p1Bp/4P3/6PP/PPP1QPB1/1N1R1RK1 b k -,f6g8
3nr1k1/1b3ppp/p4q2/3p4/P3p3/1BN4P/1PPQ1PP1/3R2K1 b - -,d8e6
k2b2r1/1pq3r1/p3p3/3pPb1p/2pPpB1P/2P3P1/R1P4K/2Q2R1B b - -,g7g4
8/3B4/8/6k1/8/5r1K/8/8 w - -,h3g2
6r1/ppkn4/P4p2/1P2p2p/1bP2prP/5N2/1B2RPP1/R4K2 b - -,b7b6
2b2rk1/r3qppp/p2ppnn1/8/Np2PP2/1N3BP1/PPP2Q1P/R2R2K1 b - -,a7c7
1k1r3r/pp3p2/1P1b2pp/P1q2B2/3pQ3/6PP/5P2/R2R2K1 w - -,a5a6
2r3k1/3b1nbp/q3pnp1/3pB3/1PpN4/P1N1Q1PP/5PB1/5RK1 w - -,d4f3
8/8/1pr3k1/p2R4/5PK1/8/PP6/8 b - -,g6g7
8/pbp3k1/1p6/1P1P4/P5Pr/2N2R2/3K4/8 b - -,h4g4
r1b1kb1r/1pp2pp1/p1nppq1p/8/3PP3/2N2N2/PPPQ1PPP/2KR1B1R b kq -,c8d7
2q1r1k1/pp3p2/2pr3p/8/2bPPQ2/2P4P/P1B3P1/3RR2K b - -,d6g6
6k1/2p1b1rq/1p1p4/3Pp3/QPPr3p/P4R1P/1R4P1/5N1K b - -,h7g6
3q2k1/1P3p2/2P3pp/p1n1P3/Pb3P2/5BPP/2Qp1BK1/8 b - -,c5a6
r3kb1r/ppp2ppp/8/3Pq3/1nBp4/P4P2/1PP1KP1P/R1BQ3R w kq -,e2d2
r2r1k2/1p1n1ppp/p1bNpn2/8/1P2P3/2N3P1/P4PBP/R2R2K1 w - -,a2a4
rn2k2r/p2nbppp/1p2p3/2ppP3/3P4/2P2N2/PP2RPPP/R1B2NK1 b kq -,b8c6
8/Q1pk1p1p/3pb3/7p/8/8/PPq2PPP/4R1K1 w - -,b2b3
2rqr1k1/bp3ppp/p1n2n2/7b/1P1p4/PQN1PN1P/1B2BPP1/R3R1K1 w - -,e1d1
r3r1k1/5pbp/2p3p1/p1B1P2n/2P4P/1PN3Pq/P1Q2P2/3RR1K1 w - -,c3e4
1b1r2k1/1q3pp1/p1b1p1np/1pP5/1P6/P1NB1P1P/2Q2BP1/4R1K1 b - -,g6e5
5R2/1p2r3/p1p1b1k1/2P1B1Pp/3P4/2P5/P4P2/6K1 w - -,f2f4
1rbq1r2/5p1k/p1R1p1p1/1p1PQ2p/4BP2/1P4PP/P6K/5R2 b - -,e6d5
r4rk1/pp3pbp/nq2b1p1/3p4/3p4/1B1P1N1P/PPP1NPP1/R2QR1K1 w - -,e2f4
1r2k1r1/4bp2/1qpp1p1p/p4B2/4PN2/2Q3P1/bPP4P/2KR3R b - -,b6b4
r1bq1rk1/1p1N1ppp/p4n2/8/8/2BP4/PP3PPP/R2Q1RK1 b - -,c8d7
2r1k2r/pp1qbppp/2n1pn2/2p5/Q7/2N3P1/PP1PPPBP/R1B2RK1 w k -,d2d3
8/p4k1p/8/1p3P2/3N2P1/P2b1P2/1P5P/4K3 w - -,e1d2
3r1r1k/1q4pp/p2b4/4pp2/1P2n3/PQ2PN2/1B2NPPP/1R3RK1 w - -,e2c3
1rb2rk1/1p5p/p5p1/2p1Pp2/3q1P2/5B2/P5PP/1RQ2R1K b - -,c5c4
rr6/4ppkp/2p3p1/p2n4/P2N4/RP1N2P1/2RnPP1P/6K1 b - -,d2b1
8/1p1r3p/p5p1/2pkR3/P3R3/1r6/6PP/6K1 b - -,d5c6
rn1qk2r/pp2bppp/2p1pn2/8/2BP1B2/5Q1P/PPP1NPP1/R3K2R b KQkq -,b8d7
r1q1r1k1/1p1nbpp1/p1p1pn1p/2Pp1b2/N2P1B2/1Q2PN1P/PP2BPP1/2R2RK1 b - -,e7d8
1k6/6p1/4p2p/1p2p3/p2pP1qP/P2P1RP1/1P1N4/1K6 b - -,b8c7
7k/7p/5N2/8/P1b5/5BP1/2r1PK1P/8 b - -,c2a2
8/4k3/4p3/p4pPK/8/6r1/PR6/8 w - -,b2b7
1rr1b1k1/5pb1/p3pqp1/np5p/3N3P/2P1N1P1/PP1RQPB1/3R2K1 w - -,g2f3
2R5/5pkp/p2B4/1b3P2/2p2b2/8/6PP/5R1K b - -,f4d6
r1bq1rk1/pp1n1ppp/4p3/2bpP3/1n6/3B1N2/PPPNQPPP/R1B2RK1 w - -,d3b5
2r3k1/4pp1p/p2pbbp1/8/2p1P1PP/P4P2/3KB3/1R5R w - -,b1b6
8/6R1/2P5/7k/4KP2/5N2/2r4b/8 w - -,f3h2
rrb1n3/4bpk1/1pp3pp/p3p3/1PB1P3/P1P1BPP1/1K4NP/3R1R2 w - -,f3f4
r4r2/2pq2bk/1p1ppnpp/p7/P1PPp3/1P2P2P/3NQPPB/R4RK1 b - -,c7c5
6k1/pp2qr1p/6p1/3Qpp2/2Pp4/3Pb3/1P4PP/4RR1K b - -,e5e4
r2q1rk1/pb1nppbp/5np1/2pp4/2PP4/4PN2/PB1NBPPP/R2Q1RK1 w - -,a1b1
2r1r2k/1p3pp1/p1p5/P2p4/1P1P1n2/2N1PPqP/2Q3P1/4RRK1 w - -,g1h1
r2qr1k1/pp1n1pbp/2p1bpp1/8/3P1B2/5N1P/PPPQ1PP1/1K1R1B1R b - -,d7b6
r2qkbnr/pp3ppp/2n1p3/2p1Pb2/2BP4/4BN2/PP3PPP/RN1QK2R b KQkq -,c5d4
2r4k/6p1/1R3p1p/p7/P7/1PP5/5PPP/6K1 b - -,c8c3
4r1k1/5ppp/3p4/3b4/BBp5/P1P5/1P4PP/4qQK1 b - -,e1e5
4K3/8/7k/8/8/6qp/8/5Q2 w - -,f1f8
8/6k1/1b4p1/1P1r1p2/8/3p2PR/3B1P1P/4K3 b - -,d5e5
r1q2r1k/4b1p1/6Pp/p1P5/4n3/P3Q1B1/5P2/R4RK1 b - -,e4g3
r2qr1k1/1pp2ppp/p2b1nn1/3P4/6b1/2N1BN1P/PP2BPP1/R2QR1K1 b - -,e8e3
r2qkb1r/pp2pppp/2n2n2/3p4/3P1Bb1/1QN1P3/PP3PPP/R3KBNR b KQkq -,c6a5
1r6/4kb2/1n3p2/pBp1pPp1/Pp2P1P1/1P2NK2/2P5/3R4 b - -,b8h8
2bk4/8/1b2p1p1/1B2Pp1p/1K1N1P1P/2P3P1/8/8 b - -,d8e7
8/p1rnk2p/5pp1/2bBp3/2N1P3/2PK1P1P/P5P1/1R6 b - -,c5f2
1r6/3k4/p2p4/3B4/2p1P3/2B4b/P7/2KN4 w - -,d5c4
8/4k2p/4p1pr/p7/3R2P1/1P2KP2/P7/8 w - -,d4a4
1r2r1k1/p7/4p1pp/2q5/5Q2/2pB3P/P4PP1/3R2K1 w - -,d3g6
1r1q1rk1/6bp/3pbpp1/1B1Np3/1p1nP3/3QB3/1PP2PPP/R4RK1 w - -,e3d4
7r/1p3kp1/2bbqn2/3p2B1/p4P2/4pNQ1/PP4PP/2R2RK1 b - -,f6e4
r3k2r/1pqbbp2/p2ppn1p/4n3/P2NPpP1/1PN1B2P/2P3B1/R2RQ1K1 w kq -,e3f4
8/8/8/7P/2k1KP2/6P1/8/r7 b - -,a1g1
rn1q1rk1/p4pp1/1p2pb1p/3b4/3P4/P1N2N2/1PQ2PPP/2KR1B1R w - -,c3d5
rnbqkb1r/pp1p1ppp/4pn2/2p5/8/1P2PN2/PBPP1PPP/RN1QKB1R b KQkq -,b8c6:f8e7
8/8/8/8/R5pk/p7/6PK/r7 w - -,a4b4
r7/4pk1p/3q1pp1/3P3P/4Q3/6P1/5P2/4R1K1 b - -,a8a5
r2q1rk1/1bp1bppp/p1nppn2/1p6/3PP3/P1NBBN1P/1PP2PP1/R2Q1RK1 w - -,f3d2
rnbqk2r/1p1pp1bp/2p2np1/p4p2/1PPP4/5NP1/P3PPBP/RNBQK2R w KQkq a6,b4b5
5r1r/qpk2ppp/p3p3/P1p1Pb2/BnP4Q/6BP/1P3PP1/R4RK1 w - -,f1d1
rnbq1knr/pp3ppp/4p3/2bpP3/6Q1/5N2/PPP2PPP/RNB1KB1R b KQ -,h7h5
r7/1p3Bk1/2p1P2p/p1b3p1/4n3/P1P4P/1P3PP1/R1B3K1 w - -,c1e3
1r3rk1/n2bpp1p/pq1p2p1/2pP1P2/2P1P2P/2N1Q1P1/1P3RB1/R5K1 b - -,f7f6
5bk1/8/3p1nn1/3Pp2p/1N2P3/r1N2PP1/8/1R2B1K1 b - -,a3a5
8/p1p3p1/2k1K2p/4P3/7P/P5P1/1P1R4/5r2 b - -,f1g1
3rr2k/1p1n1pbp/1q1P2p1/pNpQp3/P1P5/4B2P/1P3PP1/3R1RK1 b - -,e8f8
r1bqkb1r/1p3ppp/p3pn2/2p1n3/P2p1P2/1P2P3/1BPPB1PP/RN1QK2R w KQkq -,f4e5
8/Rq4bk/7p/1Nr1p3/1B2p3/7P/5PP1/6K1 w - -,a7b7
2b1rk2/3n4/2R2pqp/1p2r3/nP2P3/1B2Q1NP/2P3P1/5RK1 b - -,e5g5
r1r3k1/1n1bq1bp/3p2p1/1p1P1p2/1P1QPP2/6N1/1B2N1PP/2R2RK1 w - -,d4g7
5rk1/5p1p/3Q1np1/8/B6q/2P2P2/PP5P/1K2R3 w - -,e1c1
r1bqk2r/2p2ppp/p2p1n2/1p2n3/3QP3/1BN5/PPP2PPP/R1B2RK1 b kq -,c7c5
r1b2r1k/1p2b1pp/p2q1nB1/4Rp1Q/8/1NP5/P1PB1PPP/R5K1 w - -,h5e2
r2q1rk1/ppp2ppp/2nb4/4p2b/4P3/2P2NPP/PP3PB1/R1BQ1RK1 b - -,d8f6
r1b1k2r/1p1pQppp/p1n2n2/4p3/2P2B2/2N5/PP2PPPP/R3KB1R b KQkq -,e8e7
8/ppk1n3/8/3p2P1/3br3/5B2/PP6/1KB4R b - -,e4e6
r3kb1r/2qnpp2/p1bp1n1p/1p3NpP/4P3/2N1BP2/PPPQ2P1/1K1R1B1R b kq -,d7e5
rnbqkbnr/pp3ppp/3pp3/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,c5d4
6k1/2pq2pp/1p1p1n2/p1n3B1/7Q/P4NP1/5PBP/1b4K1 b - -,c5e4
r1bqk2r/1p2bp1p/p1n4B/3npB2/8/1NP2Q2/PP1N2PP/R3K2R b KQkq -,c8f5
3q4/1b3pk1/p3p1pp/1p1r4/3P1Q2/1P3N2/P4PPP/2R3K1 w - -,f3e5
r1bqr1k1/pp3pp1/2pb1n1p/4n3/3NP3/2N4P/PPQ1BPP1/R1B1R1K1 b - -,d6c5
2kn2Q1/2p3pp/5p2/2P5/5B2/7P/2P1qPPK/8 w - -,g8g7
3r1rk1/1b4pp/1ppR1b2/p1n1p3/2P1Pp2/1PB2B2/P3NPPP/5RK1 w - -,f1d1
1r4k1/5p1p/p3b1p1/2p1PpP1/P2p4/1r4N1/1P4PK/RR6 b - -,b3b2
R1b5/p1r2pk1/1p5p/3np1p1/8/2P2P2/PPBKN1PP/8 w - -,c3c4
2r3k1/3b1pbp/2qp1pp1/1p1Nr3/1P2P3/5QPB/2P2P1P/3RR1K1 w - -,h3d7
r1bq1rk1/ppppbpp1/2B2n1p/4p3/N3P1P1/P2P1N2/1PP2P1P/R1BQK2R b KQ -,d7c6
r1bq1rk1/pppn1pb1/3p2pp/4P3/2P1P1n1/2N2N2/PPQ1BPPP/R1BR2K1 b - -,d7e5
r4rk1/ppq1bpp1/4p2p/2n4P/4n1P1/4NN2/PPPBQP2/1K1R3R b - -,a8c8
r4rk1/pp1nbppp/1qp1pn2/3p4/4P3/3P1NPP/PPP1QPB1/R1B2RK1 b - -,a8c8
8/5k2/4R3/2pP2p1/2PrPp2/5P2/6K1/8 b - -,d4c4
3r4/5pk1/1pb3p1/4P3/2B2RPp/1P6/4p2P/6K1 w - -,f4f7
2r3k1/3r1ppp/p7/2n5/Ppnp4/1P3NPB/4PP1P/R5K1 w - -,h3d7
8/p5p1/2brk3/2p1pp1p/3rP2P/2N1RKP1/PPP2R2/8 b - -,f5e4
1r1qr1k1/pbn2pbp/1p1p2p1/2pPN3/4PB2/PQN3P1/1P3PBP/3RR1K1 b - -,d6e5
2r5/2rb1k2/pq2p1p1/1p1p1p1p/3P1P1P/2PB2P1/PP1R1Q1K/4R3 w - -,f2e3
2br3r/1p2k3/1np2p2/p1n1pPp1/P3P1Pp/1PN4P/1NPR4/2KR1B2 w - -,b2d3
r5k1/pp2rppp/2p1p3/3n4/3P4/2PB2P1/PP2RP1P/1K1R4 b - -,a8d8
r2qkb1r/pp1b1ppp/4p3/3pPn2/1N1P4/5N2/PP2BPPP/R1BQK2R b KQkq -,f8b4
6k1/1R6/5p2/3pp1p1/5q2/5N1P/6P1/2r3QK w - -,f3e1
7r/6k1/p2N1np1/2pPn3/1p2Pp1r/1P3PqP/PQ2BRP1/2R4K w - -,e2f1
r4r2/1np1qpbk/1p1p2pp/pQ1PpP2/P3P3/2P5/1P1NN1PP/4RRK1 w - -,b2b4
8/6R1/p2kp1p1/4n3/2p5/2P1K2P/r3B1P1/8 b - -,a2c2
r2qk2r/pp1nbppp/3pbn2/4p3/2P1P3/1N2BP2/PP4PP/RN1QKB1R w KQkq -,b1a3
5bk1/2q2p1p/2P3p1/1P1R4/2Q2P2/6PP/r4B1K/5B2 b - -,a2f2
r4rk1/p2b1ppp/2p1pn2/2qpN3/4PP2/2NQ4/PPP3PP/2KR3R w - -,g2g4
8/8/8/8/2p3p1/4K1k1/2r5/5R2 b - -,g3g2
8/8/6pp/8/2K1N3/8/6k1/8 b - -,h6h5
8/r6p/P2k2p1/Rn1p1p2/2p4P/5P2/P2KB1P1/8 b - -,b5c7
r1bq1bk1/1p1nrppp/2pp1n2/p3P1N1/P3P3/2N4P/BPP2PP1/R1BQR1K1 b - -,d6e5
4k2r/1p3p1p/4p3/rb1pP1q1/pP1P2p1/4Q3/P2N1PPP/R2R2K1 b k -,g5e3
8/8/6kn/2N2p2/PP3Rbp/8/1KPR2P1/4r3 w - -,a4a5
4r1k1/1p4b1/rPp1bqnp/p1Pp1pp1/N2P4/PN3PP1/3Q2BP/3RR1K1 w - -,d2c3
1r3rk1/1b2pp2/6p1/4b2p/8/1P2B3/P1PR2PP/2K2B1R w - h6,f1c4
r4rk1/p2nb1pp/1q2p3/2pp3b/3PpP2/1P4PP/PB2P1B1/R2QNRK1 w - -,g3g4
8/3K4/1k2N3/1p1Pn3/pP6/P7/8/8 w - -,d7e7
2r2rk1/p4pp1/2nqpnp1/3pN3/1p1P4/2P1R2P/PP1N1PP1/R2Q2K1 w - -,d1a4
