R7/1p2k3/2p1P1K1/8/7P/6P1/p4r2/8 b - h3,b7b5
r2q1rk1/1p3p1n/p2p2p1/4b1Pp/2BNP1bP/2N1Q3/PPP5/2K2R1R b - -,a8c8
r4rk1/6b1/3pp1p1/1qp3Np/5B1P/3P2P1/4PP2/3Q1RK1 w - -,g5e6
1r3k2/pq3pp1/3rpn1p/3b4/6N1/1P1B2RP/P3QPP1/4R1K1 b - -,b7e7
8/5kpp/p3q3/7Q/P7/6PP/2r5/6K1 b - -,f7g8
8/8/3p4/pPpPk3/3n2B1/3K4/PP6/8 b - -,e5d5
6k1/p4p2/bp2p1pp/8/3PPPP1/q2BK3/P1Q4P/8 b - -,a6d3
7k/6pp/3r4/p1q1p3/1p2P1B1/1Pp2PP1/P1R1Q1KP/6b1 w - -,f3f4
r4rk1/1bqnbppp/p3pn2/P7/1p1P4/3B1N2/1P1NQPPP/R1B2RK1 w - -,f1e1
3r3r/1p3k2/p1b2p1p/5R1P/2R5/6N1/PP3PP1/6K1 b - -,d8d5
8/8/1N1p2p1/2p2n2/2P1p3/5k1P/3K4/8 b - -,f3f2
1r6/8/3ppk2/7p/1PR1PP1P/5K2/8/8 b - -,d6d5
2q1r1k1/1br3pp/p1pbp3/1pNn1p2/1P1P1P1B/P3PB2/2R1Q1PP/6RK w - -,g2g4
r2q1r2/5pk1/3Q2p1/4p3/pp2P2P/5P1R/PPP5/2KR1N2 b - -,d8c8
6R1/3r3p/5p1P/4pPp1/4P3/1P2kPK1/4b3/8 w - -,b3b4
8/3N1p1p/1k2n3/4P1p1/1PK2P2/6P1/7P/1N6 b - -,b6c7
rr4k1/2nbbppp/1q2p3/3pP3/p2N4/2B3P1/PP1Q1P1P/R1R2BK1 b - -,c7a6
8/8/5P1p/8/1k1pb1P1/N1p5/7P/2K5 b - -,d4d3
r1b1nr2/pp2q1bk/2p3pp/2P1pp2/4P3/4BN1P/PPQ1BPP1/3RR1K1 w - f6,e4f5
rnb2rk1/p1q1ppbp/1p4p1/2p5/4PP2/2P2NP1/PP4BP/R1BQ1RK1 w - -,d1c2
2r2rk1/1p1qb2p/pB1p1n2/P2P1p2/1PP3p1/5B2/6PP/2RQ1RK1 w - -,f3e2
r3qrk1/pp2pp1p/2b3p1/7P/3RP3/Q1n2P2/PP2BP2/4K1R1 w - -,b2c3
r3r1k1/1p3pbp/pq1p2p1/3P2B1/2PRn1n1/1N6/PP1Q2PP/4RB1K w - -,d4e4
r1b2rk1/pp3pqp/2n1p1p1/8/1bP1N3/1N1B2P1/PP2QP1P/3R1RK1 b - -,e6e5
rnbq1rk1/p4pbp/5np1/8/2B1PB2/8/PPQ1NPPP/R3K2R b KQ -,c8b7
r4rk1/1p1nbppp/p1p1pn2/2Pp1b2/1P1P3N/2N3P1/1P2PPBP/R1B2RK1 b - -,f5c2
6k1/p5p1/b3q2p/Q2nN3/5B2/2P3P1/5P1P/6K1 w - -,f4d2
6k1/8/7b/3K4/P2N1R1P/8/1r6/8 w - -,f4g4
1rr5/p4pkp/2pRp3/2P1n1p1/3R1P2/1N4P1/P3P2P/6K1 b - f3,g5f4
3r2k1/p4pp1/5n2/5P1p/2R3Pq/4P2P/P2B2Q1/6K1 w - h6,c4d4
2r1r1k1/1p2p1b1/pnnp2pp/5p2/1P1P4/2P2BBP/1P1N1PP1/R3R1K1 w - -,e1e6
2rq1rk1/5ppp/4pn2/p2p4/1bb5/2B1P1P1/P2NQPBP/1RR3K1 w - -,d2c4
3r4/1p1r4/2pppk2/p5R1/P3PP2/1P3K2/2P5/6R1 b - -,d8f8
1rq1r1k1/2p2pbp/1p1p2p1/pNBP4/Pn2PP2/6PP/1P3QB1/3RR1K1 b - -,b6c5
6k1/R2B1pp1/8/7p/P2B1P1n/4P3/2r3bP/3K4 b - -,g2e4
r1r3k1/2q1p1Bp/4Pp2/3p1N2/1n1P4/PpP5/3Q2PP/1K1R3R w - -,b1b2
2b2k2/4ppbp/6p1/8/1B1nN3/3P2P1/2r2PBP/5R1K b - -,h7h6
r3b2k/pp6/1qnbprpp/3p4/3P3N/P2Q2P1/1PB1NPP1/R4RK1 w - -,b2b4
3rk3/6Rp/p3p3/1p3p2/2pBbP2/P1P5/2P3PP/6K1 w - -,g7h7
8/3r3k/2p3p1/2P2q2/2QpR3/3K4/5P2/8 w - -,c4e6
rr4k1/3qp3/2bp2p1/3P1p1p/PPp2P2/6PB/1RQ1PK2/3R4 w - -,d5c6
4k1r1/1pq3Bp/p1p3n1/8/1P2P1N1/8/2P3PP/3Q1RK1 b - -,g8g7
r1bqk2r/pp3ppp/2nbp3/3n4/2BP4/5N2/PP3PPP/RNBQ1RK1 b kq -,e8g8
r1bqk2r/pp2ppbp/2n2np1/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq -,e1g1
r2qkbnr/1p1b1ppp/p2p4/4p3/3QP3/2N2N2/PPP2PPP/R1B1K2R w KQkq e6,d4d3
6k1/3r1p1p/p5p1/3b4/1R1N4/P3P3/5PPP/6K1 w - -,f2f3
2kr2nr/ppqbb3/4p3/nP1pPp1p/3N1P2/2PBB3/P3Q2P/RN3R1K w - -,b1d2
6r1/r3k3/p1bppp2/1p6/4PP1p/2P4B/PP3R1P/1K2R3 b - -,a7c7
8/3B4/5p1p/4p1p1/1kn1P1P1/3K2P1/8/8 b - -,c4a5
r2r2k1/1pp1b1pp/4bp2/pP2p3/4N3/P1NqB1P1/5P1P/1R1Q1RK1 w - -,d1a4
r1bqr1k1/pp1nbppp/2p2n2/3p4/1P1P4/P1NBP1N1/5PPP/R1BQ1RK1 b - -,e7d6
r5k1/2pqprbp/pp1nN1p1/3P2B1/P1n2PP1/2PQ3P/4P1B1/1R3RK1 w - -,e2e4
8/8/8/K5B1/8/3p4/3n4/3k4 w - -,a5b4
r7/1kpr2p1/3b1p2/p1P5/3P4/P1R3P1/5PK1/7R b - -,d6c5
5rk1/1p5p/p3b3/3pN1q1/3Pp1P1/1R2P3/PP1bBQ2/R5K1 b - -,f8f2
5rk1/1bp2pbp/1p4p1/P3p1q1/1P2Pn2/7P/3N1PP1/RQ2RBK1 b - -,f4h3
r3r1k1/3q2pp/3P4/5b2/2Q1pp2/P1B5/1PP3PP/1K1RR3 b - -,g8h8
r4rk1/pq3ppp/1p1ppn2/2p5/2PP4/P3P3/1P1N1PPP/2RQ1RK1 w - -,d1f3
r2qr1k1/2pb1pbp/p2p1np1/np2p3/3PP3/2P2NN1/PPB2PPP/R1BQR1K1 b - -,c7c5
r1b1k2r/p1q1bppp/2pp1n2/2p1p3/2N1P3/3P1N2/PPP2PPP/R1BQR1K1 w kq -,f3h4
8/r4r1k/P1Rp2pp/2b1p3/4P3/5PPP/q1P1Q1K1/3R4 w - -,e2d2
8/2k3p1/pn1b1p1p/4p3/1P2P3/1B3KP1/3B1P1P/8 w - -,f3g4
5rk1/1pp1qppp/B3b3/3rn3/8/P1Q2N1P/1P3PP1/2R1R1K1 w - -,a6b7
2b2r2/r1q2p1k/p2RpPp1/1p5p/7P/3B2Q1/PPP3P1/5R1K w - -,g3e5
r1b1k2r/ppq2ppp/2p1p1n1/3nP1N1/8/P1B5/BP2QPPP/3RR1K1 b kq -,e8g8
r1b2rk1/pp1nqppp/2p5/3p3n/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - -,d1c2
rnbq1rk1/ppp1p2p/5p1b/6p1/2BP4/4PNP1/PP3PP1/RN1Q1RK1 b - -,g8h8
2rr4/1p2kp2/p2pp3/2n1b1p1/2P1Pn1p/1P2BP1P/P1N3P1/1R1R1BK1 w - -,e3f2
r7/6p1/2p1n1k1/p1PpPpP1/1P3P2/P7/3B2K1/R7 w - -,g2g3
r3kb1r/pp3pP1/2pqp1p1/3n4/3P4/1B2BQ1P/PPP2P2/R3K2R b KQkq -,f8g7
1k2rb1r/2q2ppp/1p6/1P1RPp2/8/4BQ2/1P4PP/R6K w - -,a1a8
r1bq1rk1/pp3ppp/2pp1nn1/8/3PP3/1B3N2/PP1N1PPP/R2QR1K1 w - -,e4e5
7k/3n3p/2p2pp1/p3p3/PpB1P1P1/1P3P1P/2P5/6K1 w - -,g1f2
8/4k3/3p2K1/2pP4/1pB3n1/1P3Np1/P7/8 w - -,g6g5
r4rk1/1bqn1ppp/4pn2/8/ppPP1P2/3BP3/1B1N2PP/R2Q1RK1 w - -,a1b1
2krb1r1/pp6/2nq4/4pP2/3pn3/P1p2B2/2P1Q1PP/1RB2RK1 w - -,f3e4
2q3k1/1p4pp/pQ3p2/3b4/3Bp3/1P2P2P/P4PP1/6K1 w - -,b6d6
5rk1/p1q1ppbp/3p2p1/1R1P4/8/4BP2/P1rQ2PP/3R2K1 w - -,d1c1
3q1r1k/1BQ3bp/3p2p1/5p2/nP3B2/6P1/4PP1P/2R3K1 b - -,d8c7
8/5R2/3r4/1p6/1P2kb2/P7/2K5/8 w - -,a3a4
r1b2rk1/bppp1pp1/p1n2q1p/4p3/B2PP3/2P2N2/PP3PPP/RN1Q1RK1 w - -,a4c6
rqn2rk1/3b1pbp/p2p2p1/1p1Pp3/1Q2P3/3BNN2/PP3PPP/R3K2R w KQ -,g2g4
7k/1p3Rp1/p6p/P1r5/2p5/8/1PP3PP/6K1 w - -,f7b7
4q1k1/3n1ppp/3r4/p1p1pQ2/8/1P2P2P/PBR2PPK/8 w - -,f5e4
6r1/p1b2k1p/1p1q1npB/2p1R3/2Pp3Q/7B/PPP3PP/R5K1 b - -,d6e5
3r3k/pp6/2n1Q3/4p3/7P/3b4/P4PP1/2B3K1 b - -,d3e4
r2q1rk1/ppp3pp/5p1B/2b1P3/8/2pP1RQ1/P1P3PP/R6K b - -,d8e7
4r2k/ppp3qp/3p1rb1/4n1p1/1P1Q4/P3P1P1/3RNPBP/5RK1 b - -,b7b6
2r1k2r/1pq2p2/p3p3/P2pP2p/3n1P2/2PB1QpP/1P3nP1/R4RK1 w k -,c3d4
1r2r1k1/2q2pb1/b6p/p1pp1Q2/7B/1P5P/P1B2PP1/3R2K1 w - -,h4g3
6k1/5rpp/3p4/p1pn1P2/PrN5/1P2P2P/2QK4/q3R1R1 b - -,a1f6
5r1k/1p2R3/p4qp1/3p1N1p/b1r5/7Q/PPP2RPP/6K1 w - h6,h3e3
3r2k1/pq2ppbp/6p1/1P1n4/1Pr5/Q4N2/6PP/1R3NBK w - -,b1d1
3rnrk1/2pq1pp1/ppp4p/4B3/3PP3/1Q5P/PP3PP1/3RR1K1 w - -,d1c1
5r1k/1pq3pp/6b1/p1p5/2Pp2P1/PP6/2N3B1/2Q2NK1 b - -,c7d7
r1bqrbk1/pp3ppp/2p1p3/2P1NnP1/1P1PB3/P3P3/1BQ2P1P/R3K2R b KQ -,d8g5
5k2/p7/2n1pQ2/4P2p/3q4/P7/5RP1/6K1 b - -,f8e8
4r1k1/6pp/2n2p2/2q5/R1Np1P2/3P4/3Q3P/6K1 w - -,d2a2
R7/6pk/8/3P4/2P3p1/p3r3/6PP/6K1 w - -,d5d6
r4rk1/1b3pbp/p3p3/q3P1p1/2pN1P2/2N1Q2P/PP1R2P1/2K4R w - -,h1e1
r1bn2k1/6b1/5r2/pNR1p1pp/4Pp2/P4P2/4B1PP/4BRK1 b - -,f6c6
r4rk1/1p2qppp/2p3b1/n2p4/Pp1PP3/6N1/4BPP1/R1RQ2K1 b - -,d5e4
r1b1k2r/pp3ppp/q1n1pn2/3P4/1b6/1QN2NP1/PP2PPBP/R1B1K2R b KQkq -,e6d5
r1bqkbnr/1p2pppp/p1np4/8/4P3/4QN2/PPP1BPPP/RNB1K2R b KQkq -,g8f6
r2qrbk1/2pn1ppp/1pp5/p3p3/P1b1P3/1P1P1NP1/1BP2P1P/R2Q1R1K w - -,b3c4
4Q3/pkp5/1p1p1r2/3P2p1/1PP2n2/5R1P/P4K1r/5B2 w - -,f2g3
r4rk1/3pbppp/p1q1p3/8/1P1Bn3/2PQ4/P3NPPP/R4RK1 w - -,f2f3
rnbqkb1r/pp3ppp/2pppn2/8/2PPP3/2N2P2/PP4PP/R1BQKBNR b KQkq -,f8e7
2r3k1/1p3pp1/p2q3p/1b1r4/3pR3/2P1QP2/5NPP/2R3K1 w - -,c3d4
6k1/r5bn/p2p1BR1/2pP1q2/P3r1R1/2Q5/1P2N2P/7K b - -,e4g4
r1bqk2r/ppppbppp/5n2/6B1/1nP5/1Q2P3/PP3PPP/RN2KBNR b KQkq -,f6e4
2rqk2r/1b1n1ppp/4pn2/1pb5/8/5NP1/1PQ1PPBP/RNB2RK1 w k -,c2b3
1rr3k1/4qp1p/3nb1p1/2p5/p1Pp1Q2/P2P2P1/1PNN1P1P/1R2R1K1 w - -,f4e5
r2q1rk1/nbp2ppp/p2p1b2/1pnPp3/P3P3/NBP1BN1P/1P3PP1/R2QR1K1 b - -,d8d7
4k2r/1p2bp1p/4n3/q4p1B/p4B2/4Q2P/PP3PP1/1K2R3 b k -,e8g8
rnbqkbnr/pp3ppp/4p3/2pp4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq c3,g8f6
1k1r3r/1bq4p/pn1ppnpQ/1pp5/1P2P3/P1N2PP1/2P1N1BP/RR5K b - -,e6e5
3r2k1/3r2p1/p7/4p1Np/7P/6Q1/bP4PK/8 b - -,d7e7
1b6/1B4kp/nB4p1/5p2/5P2/6P1/6KP/8 w - -,b7a6
8/pp4pk/7p/4B3/4pP1n/PP3Q2/5P1P/6K1 b - -,h4f3
r1bq1rk1/1p1nbppp/4p3/p2pP3/Pn1P4/1N3N2/1P3PPP/RBBQR1K1 w - -,h2h3
6R1/2p5/1bPpB3/p1kP3P/1r6/1P6/K7/8 b - -,b4h4
r2nr1k1/ppp2qpp/1n1p1b2/5Bp1/P1PP2P1/5P2/1P1N1B1P/R2Q1RK1 w - -,d1c2
3r2k1/pb1r2p1/6Np/2pn1p2/4p3/P3PP2/1P3BPP/2KR3R w - -,f3f4
2r2k2/1p2bpp1/p1q5/4B1P1/5P2/7r/PPP2Q2/1K1R2R1 w - -,g1e1
4k3/p4p2/4rp1p/3Rp3/5P2/2PK4/P5PP/8 w - -,d5a5
r1b2rk1/p1n2ppp/2n1p3/1pppP1q1/8/3P2P1/PPPN1PB1/R1BQR1K1 w - -,d2b3
r1b1kbnr/ppp2ppp/2n5/3q4/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq -,c3d4
4rbk1/pp3p1p/2p3p1/2n1p3/8/1P4PP/PBPRPPB1/6K1 b - -,f7f6
r1bkn2r/2q1bp1p/p2p2p1/1pNP2PP/2p2B2/N1P2P2/PPQ5/2KR1B1R b - -,c7c5
r1b2rk1/2q2ppp/ppnppn2/8/2P1P3/1NNBQ3/PP3PPP/2RR2K1 b - -,c6e5
5r1k/pp5p/2pp1b2/4pN2/4P1P1/8/PP5P/R6K b - -,d6d5
1rbq1rk1/4bppp/p2p4/n2Pp3/Pp6/3BN3/1PP1QPPP/R1B2RK1 b - -,f7f5
r2q1rk1/1pp2pp1/p2p1b1p/P2Pp3/1P1n4/1B1P1N1P/2P2PP1/R2QR1K1 w - -,c2c3
8/1p1R4/p4p2/P4Pk1/1r6/8/6K1/8 w - -,d7d5
rq3rk1/pb1n1ppp/1p1bpn2/2ppN3/3P4/3BPNB1/PPP2PPP/R2Q1RK1 w - c6,d3b5
8/5pk1/4p2p/p3P1pP/1p1qnP2/1P1N2P1/3Q3K/8 w - -,d2e2
r1br2k1/2p1nppp/1pp3q1/8/4p3/2PB4/PPQN1PPP/R4R1K w - -,d3e4
3r2k1/1p2qppp/p3p3/2b5/P3n3/3BP3/1P2QPPP/R3B1K1 b - -,e4f6
8/6kp/R7/8/5KP1/1r3P2/8/8 w - -,g4g5
8/1p5p/8/8/Pk1pK3/1P6/7P/8 b - -,b4c3
4R3/6k1/2K2p2/3N4/7p/3q4/8/8 b - -,h4h3
2r1r1k1/p2q1ppp/1n3n2/1PB5/3P4/3RP2P/5PP1/1QR3K1 w - -,d3a3
r7/5p2/1R2pk2/5p2/5P1P/7K/7P/8 b - -,a8g8
8/8/p7/1kp1r2p/3p1R1P/1P1K4/P7/8 w - -,f4f3
8/7k/8/p4pR1/8/bP1K4/7r/6R1 w - -,g5f5
8/6p1/5k1p/R4p1K/P4N1P/4p1P1/3r4/8 w - -,a5b5
8/p2r4/1p1kp1p1/nP4P1/P3PP1p/3RB3/5KP1/8 b - -,d6e7
2rq1rk1/1p1bbpp1/p1nppn1p/2p5/P1B1P3/2NP1N1P/1PPB1PP1/R2Q1RK1 w - -,f3h2
r4rk1/pb3ppp/1p2p3/4q3/3n2Q1/P2B4/1P3PPP/2R2RK1 w - -,f1e1
1r3rk1/1b1n1pb1/1q2p1pp/2p1P3/5B2/1PN2N1P/1PP1QPP1/R3R1K1 b - -,g6g5
1r6/prqbk2p/5ppP/Rn1Pp3/2p1P3/2P2PN1/2BQK1P1/R7 w - -,g3f1
r3b1k1/4Q1b1/2p3pp/4B3/8/2q2N1P/2PR1PPK/8 b - -,g7e5
r1bq1rk1/p2nbppp/1pp1p3/2Pp4/1P1P1P2/2NB1N2/P4PPP/R2Q1RK1 b - b3,a7a5
5bk1/1b3pp1/3p4/p2q3p/P2P1p2/1p1R3Q/1P2N1rP/3R1K2 b - -,d5e4
5rk1/5p1p/2r2bp1/3R4/1P1B1p2/2P2P2/6PP/R6K w - -,b4b5
r1b1qrk1/ppp1bppp/2n1pn2/3p4/QPPP4/P3PN2/3N1PPP/R1B1KB1R w KQ -,a4c2
6k1/1q2bp2/4p1p1/1r1p3p/4PP2/1P1QR2P/3N2P1/7K b - -,e7b4
1R6/1b2rk2/8/R1p1n1p1/4Pp1p/2N3rP/PPP1BKP1/8 w - -,a5c5
5rk1/2Rb1pb1/1q5p/7P/3p1p2/P2P4/1r3BB1/2Q2RK1 b - -,b2b1
5rk1/pp4r1/2p1p3/3pN1nP/3P2PK/1P2P3/P7/R4R2 b - -,g5f7
8/p3B2p/1b6/4pk2/PP3p2/5P1r/2R1K3/8 w - -,c2c6
8/2p1k3/1p1p2p1/p2Pbp1p/P1P4P/NP3KP1/6P1/8 w - -,a3c2
5rk1/5pp1/p2pb3/1p2b2p/4PQn1/1NqB3P/P1P5/2KR2R1 w - -,f4f3
1rbq1rk1/p3bppp/4pn2/2P5/2p5/6P1/PP2PPBP/RNBQ1RK1 b - -,d8d1
r1r1q1k1/p2n1p1p/1p3p2/3Pp3/2p2N2/P3Q1P1/1P2PP1P/3R1RK1 w - -,f4h5
8/4k1b1/2n5/1p1pp1p1/1P1P2P1/2B1P3/2K2N2/8 w - -,d4e5
8/7p/5nk1/6p1/1R5P/r4B2/5K2/8 b - h3,g5h4
8/5Pk1/p7/3P2p1/5qBp/5P1K/P2r3P/6Q1 w - -,f7f8q
6k1/5p2/8/6p1/8/B3rQK1/6P1/R2R2q1 b - -,e3f3
6k1/1p3p1p/p4bp1/3Q4/8/1P2qP2/P4RP1/2rR2K1 b - -,c1d1
r1bq1rk1/p3nppp/1p6/3p4/3P4/P1NQ1N2/1P3PPP/3RR1K1 w - -,f3g5
8/5pk1/7p/4K2P/3R1PP1/8/8/7r b - -,h1e1
3rrbk1/p1q2p2/1pp1n1pp/4p3/2P5/3PP1P1/PBQ2PBP/1R1R2K1 b - -,f8g7
3r4/4k3/2p2P2/pp2b3/2p1N1BP/P2n4/1PKR1P2/8 b - -,e5f6
8/5k2/8/2K4p/2P4P/1PR3P1/5r2/4r3 w - -,c5b5
6k1/1p4b1/p7/P1P2pB1/1q5P/8/6P1/2R4K b - h3,g7h6
r1bqk1nr/pp3pbp/2np2p1/2p1p3/2B1P3/1PN2N1P/PBPP1PP1/R2QK2R b KQkq -,g8e7
rr6/6bk/6pn/p2pp2p/2b4P/P1B3P1/1P2NPB1/3RR1K1 b - -,c4b3
