8/4k1p1/4p2p/pp2P3/1P1P1RKP/r7/8/8 w - -,b4a5
1b6/pk6/1p2rp1p/3Np1pP/PP1nP1P1/4K3/5P2/2R1N3 w - -,e1f3
r1q1k2r/pp4pp/2pbbn2/4pp2/8/1Q1P2P1/PP1NPPBP/R1B2RK1 w kq -,d2c4
7k/b3qn1p/2b2p2/1p2pP2/1Pp1P2P/2P2QN1/2B4K/2B5 b - -,f7d6
r2r2k1/2q1bp1p/2p2p2/ppn1p3/4N3/P3Q1P1/1PP2PBP/R2R2K1 b - -,c5e4
r2qk2r/pp1b3p/2n2np1/2p2p2/2P5/2P2N2/P1Q1PPPP/R1B1KB1R b KQkq -,d8a5
8/p4ppk/1p2p3/1P2Pn2/2P2P2/5NP1/Pq1Q1K2/8 b - -,b2b1
2r3k1/1bq1bppp/p3p3/1p1pn3/4P1P1/3B1PQ1/P1PB2KP/3R3R w - -,h1e1
r3kb1r/pb1n1p1p/1q2pp2/1p6/3P4/1pN1P3/2QN1PPP/R3KB1R w KQkq -,c2b3
2R5/3r4/4k3/5pp1/1P2p3/4N1P1/1K3P1P/8 w - -,c8c6
8/5pk1/3p1q1p/pr1Pp2p/1nRpP3/3P2P1/1P1QKP2/R7 w - -,c4c1
r1bq1rk1/3n1pbp/2pp2p1/p7/2PpP3/3P2P1/P3NPBP/1RBQ1RK1 b - -,a8a7
8/p7/8/3p1k1Q/1P1Kb3/8/r7/8 b - -,f5f4
8/5p2/3k4/2R5/3Pq3/2K5/8/8 b - -,f7f5
4R3/8/5p2/4pk2/r5p1/4K1P1/5P2/8 w - -,e8g8
3r2k1/p3ppbp/1p2q1p1/2p1P3/2Pr4/1P1PR2P/P3Q1P1/3RB1K1 w - -,e1c3
1r1r2k1/pp1bqppp/2NNp3/4P3/5P2/6Q1/PP4PP/2R2RK1 b - -,d7c6
4r3/1p2p2k/p1b1P1pp/R4p2/2P5/1P4RP/5BPK/3r4 w - -,a5a2
r2q2k1/p2p2pp/2p5/1p1nrPN1/1P6/PQ2B3/5PPP/3R1K1R w - -,g2g4
8/3n4/1p6/p1pPp2k/P3Pp2/1P3N1K/5P2/8 b - -,h5g6
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2NQ1N2/PP2PPPP/R1B1KB1R b KQkq -,b8d7:f8b4:b7b6
r1bqr1k1/2p2pbp/2n2np1/pp1pp3/P3P3/2PP1NNP/1PB2PP1/R1BQ1RK1 b - a3,b5b4
r1bq1rk1/ppp2ppp/1b3n2/3Pp1B1/2B1P3/2N5/PP3PPP/R2Q1RK1 b - -,h7h6
8/6p1/1k1r2p1/pp2R3/2p3PP/P2r1P2/1PK5/4R3 b - -,d3f3
2k2r1r/pp2p3/3p2p1/6B1/1PPpR1bP/P5b1/6B1/1R4K1 b - -,g4f5
r4k1r/pp2n1pp/6q1/1B2pb2/3PRQ2/8/PPP2PPP/R5K1 w - -,e4e5
r1b1q1rk/ppp1n1pp/5n2/2Pp1p2/3P4/B2Q2PN/P3PPBP/1R3RK1 w - -,h3g5
r3k2r/2p1qppp/p1b1p3/Qp6/2pPP3/2N3P1/PP3P1P/2KR2R1 b kq -,e8g8
r5k1/p4rpp/1p2p3/2bb4/5B2/3B4/PPP3PP/R4R1K w - -,f4g3
4r1k1/p3rpp1/1qp5/1P1p4/3Pb1Pp/4P2P/1R1Q1PB1/R5K1 w - -,a1a6
8/2bQ1pk1/8/4q1pp/4p3/4P1PP/5PK1/8 w - -,g2f1
r4rk1/1pqb2pp/p1nbpn2/2pp2B1/3P4/2P2N2/PPN1BPPP/R2Q1RK1 w - -,f1e1
8/6pp/p4p2/1p1k4/2nB4/3K1P2/PPP2P1P/8 b - -,c4d6
6k1/3r1p2/pp2b2p/B1bpp3/2P5/1P4P1/P4PBP/3R2K1 w - -,a5c3
2b2q1k/5r2/p1n4p/1p1p2p1/3Pp3/2P1P1P1/R5KP/2B1Q1N1 w - -,c1a3
r1bq1rk1/ppp1bppp/1n3n2/8/3P4/1BN2N2/PP3PPP/R1BQ1RK1 b - -,c7c6
r1bq1rk1/pp1n1ppp/2p1p3/3p4/2PP4/4P1P1/PPQN1PBP/R4RK1 b - -,d7f6
8/p2b1k1p/1p1qNpp1/3P4/1p1Q1PP1/7P/P7/6K1 w - -,g4g5
rn1qkb1r/ppp1pppp/1n6/4Pb2/3P4/1B2B3/PP3PPP/RN1QK1NR b KQkq -,e7e6
4r3/2k3p1/1pp2p2/2b4p/P1N1P3/1K4P1/2P1R2P/8 w - -,c4d2
6k1/1b2Bpb1/p3p1pp/4P3/2P2PN1/3R2P1/1r6/5K2 w - -,g4e3
rnbq1rk1/pp2ppbp/8/2p5/5P2/2P5/PP1B2PP/R2QKBNR w KQ -,g1f3
2b3k1/1p3qpp/3p4/pN1Pp3/P3P1n1/6P1/3NKrR1/7Q w - -,e2e1
r1b3k1/2qn1pb1/p4rpp/1pp1N3/P3P3/2P2NP1/1PQ2PBP/3RR1K1 b - -,d7e5
2r3k1/p4pb1/6pp/1pPR4/1P3p2/2B3P1/P6P/6K1 w - -,c3g7
6Q1/5nbP/5k2/8/8/2K5/8/8 w - -,c3d4
4r3/5pp1/6p1/pkppP3/5P1P/1P4P1/2PK4/7R w - -,h4h5
8/2P1R3/5pk1/7p/2r2P2/6K1/8/8 b - -,g6f5
3rr1k1/pb3p2/1p3bp1/n3p2p/P1p1P3/2P2P1P/1PBB2P1/R2R1NK1 b - -,b7c6
r4rk1/p5b1/3p3p/1PpP2pP/1q2B3/4P3/PPQ2P2/R4K1R b - -,a8e8
r1b2rk1/4ppbp/p4np1/2pP4/2P2P2/R2BPN2/1P4PP/4K2R w K -,e3e4
4r3/3k1p2/3p1Pp1/6r1/1pB1b2p/1P6/P1P2R1P/3R1K2 b - -,d6d5
rnbq1rk1/1p1nppbp/p2p2p1/2p5/2PPP3/2NBBP2/PP1QN1PP/R3K2R b KQ -,b8c6
5rk1/5p2/ppr3n1/4PQ2/1P1q2p1/P2N2P1/5R1K/5R2 b - -,d4e3
5k2/p5p1/2p1b3/n6P/3Pp3/8/P1P1B1K1/2B5 w - -,a2a4
3r2k1/4pp1p/6p1/1B1P4/PqP2p2/3Qb2P/6P1/5R1K b - c3,e7e5
r2r2k1/pb2bppp/1pn1pn2/7q/2BP4/P3BN2/1P1NQPPP/R2R2K1 b - -,e7d6
r2q1rk1/1p4pp/p1b5/3pPp2/p2Qn3/6P1/4PPBP/1RB2RK1 w - -,h2h4
8/3b1nk1/p4p2/1p2p1p1/n2BP1N1/P4P2/BP2q1P1/2Q3K1 w - -,a2f7
1r1rn3/6k1/1p1ppqpp/p7/P2Q2P1/2N4P/1PP2P2/3RR1K1 w - -,e1e6
r1bqk1nr/pppp1pp1/2n5/2b1p2p/2P1N2P/6P1/PP1PPP2/R1BQKBNR b KQkq -,d7d6
6k1/5pp1/2N4p/p7/PpQ5/1Pn1q2P/6P1/2R3K1 w - -,g1h2
r2qkb1r/ppp1pppp/1nn5/5b2/3P4/1B2BN2/PPP2PPP/RN1QK2R b KQkq -,e7e6
rnbqkbnr/1p2pppp/p2p4/8/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
r3b3/1p2ppbk/5np1/p1R4p/4P3/4BP2/PP2N1PP/5BK1 b - -,f6d7
r4rk1/p3ppbp/2nq1np1/3p4/N2P4/4BB2/PP3PPP/R2Q1RK1 b - -,f8d8
r1bq1rk1/pp2bpp1/2np1n1p/2p5/2B1Pp2/2NP1N2/PPP3PP/R1BQ1RK1 w - -,c1f4
r2r2k1/2q2pp1/b1p1pn1p/p1P1N3/Pp1PPP2/1B3QP1/7P/R2R2K1 b - -,d8f8
6k1/2p1q1p1/5p1p/2PPn3/rP1NQ3/r3P2P/5RP1/5RK1 w - -,d4c2
r1bqr1k1/ppp2ppp/3bn3/2p1p3/4P1N1/3PB1NP/PPP2PP1/R2Q1RK1 b - -,e6f4
1r4k1/p5pp/3qbp2/2bNn3/4PB2/2Q3P1/6BP/5R1K w - -,f1d1
r4rk1/pp1n1pp1/2pbpnp1/3p4/2PP2P1/1PN1PP1P/1P1B4/2KR1B1R b - g3,a7a6
r4r2/pp6/2p4k/3pP3/4b3/1N4R1/PP4PP/5R1K w - -,b3d2
r1bqkb1r/5p1p/p1p1pPp1/4P3/P2B2Q1/3P4/N5PP/1R3RK1 b kq -,c6c5
2rr2k1/1pq2pbp/p3pnp1/P2Pp3/R5P1/2N2B1P/1PPR1P2/3Q2K1 b - -,f6d5
r1bq1rk1/p1p2ppp/2p5/3pP1n1/3Q4/2N1B3/PPP2PPP/R3K2R w KQ -,d4a4:e1c1
2r1r3/4k2p/3p1pp1/2n5/3RPP2/2P3KP/6B1/3R4 b - -,e8d8
3r1rk1/5bp1/p2qp2p/1p1nNp2/3P4/PB3Q1P/1P3PP1/3RR1K1 w - -,e1e2
4r1k1/ppqn1rpb/2n1pp1P/8/2pPp3/2P1B3/PP1NBP2/R1Q1K1R1 b Q -,c7h2
rn3rk1/pb3p1p/1p1p2p1/3Pq3/1pP1PR2/3B1Q2/PP1N2PP/R5K1 b - -,b8d7
8/R5k1/8/4p2P/2BpP1p1/4b1P1/P1r5/7K b - -,g7f8
r3r1k1/2p2ppp/b1pp4/p7/4P3/2P2Q1P/PP1qNPP1/1R2R1K1 b - -,a8b8
3r2k1/p2b1pp1/2p2q2/3p1P1p/3P4/P3Q1N1/1rP3PP/2R1R1K1 w - -,e1f1
8/2k4r/1p4RP/1P2R3/6K1/8/8/3r4 b - -,d1h1
6N1/5p1p/8/3P2P1/pk3b1P/1p6/1K6/8 w - -,h4h5
8/6k1/1p4p1/p1b5/P1B5/1P1Q3P/6K1/4q3 w - -,d3e2
r2r2k1/1q3pp1/2p1pnp1/p7/3PP3/P1R2PP1/1B1Q3P/3R2K1 w - -,d2c2
1krr4/1pq2p1p/p3p3/P3R3/4pQ2/3R2P1/1PP2PP1/6K1 w - -,e5e4
1r1qr1kb/p3pp1p/2bp1npB/1pp1nP2/4P1P1/2NP2NP/PPPQ2B1/R4RK1 b - -,f6d7
4r3/ppk1rpp1/2p4p/5b2/3RpP2/P3N1P1/1PP4P/2K1R3 b - -,f5c8
r1b2rk1/p2pbpp1/n6p/1NpPq3/1pP1P3/3B4/PP3PPP/R2Q1RK1 w - -,f2f4
8/5ppk/1pB1p2p/rb2P3/PR1rP3/6P1/7P/R3K3 w - -,b4b5
8/4p1k1/4p2p/pB4p1/Pp1P4/1b1K4/1P3RPP/r7 w - -,b5d7
rnb4r/ppkn2pp/2p2p2/4p3/2P1P3/2N1RN2/PP2BPPP/4K2R b K -,a7a5
r1bqk2r/1pp2ppp/p1nB4/8/8/5B2/PPP1NPPP/R2QK2R b KQkq -,d8d6
6k1/pp1q1pp1/7p/2rpR3/3R4/2N5/PPP2PPP/6K1 w - -,d4d5
r1bq1rk1/1ppn2bp/2np4/p2Pppp1/2P5/P1N1PN1P/1P2BPPB/R2Q1RK1 b - -,c6b8
8/8/8/2N2k1p/8/6KP/p1r5/R7 w - -,c5a6
8/1p3n2/pB1p2k1/P2Pp1p1/1b2K1P1/1P2N2P/8/8 b - -,g6f6
1rb2rk1/2qnbppp/2pp1n2/1p2p3/3PP3/1P1B1N2/1BP1NPPP/R2QR1K1 w - -,e2g3
rnbq1rk1/1p2b1pp/p3p3/3p1p2/2Ppn3/PPN1PNP1/1BQ2P1P/R3KB1R w KQ -,e3d4
r4rk1/1np1qppp/bp1p4/1N1Pp3/PQP5/2P3P1/4PPBP/1R1R2K1 w - -,b1a1
2R2b2/5k2/2P2p2/6pp/3B4/6PP/2r2P2/6K1 w - -,c6c7
5rk1/p1R1np1p/q3p1p1/P7/4B3/7P/5PP1/4Q1K1 w - -,c7e7
8/8/8/8/3p4/5r2/1K1k3R/8 b - -,d2d1
3r1rk1/pp3pp1/1q5p/4b3/1P1pB3/6P1/1PPQ1P1P/R4RK1 b - -,e5d6
5nk1/pp3pp1/8/2p3p1/2Pq2P1/1P2QP1P/P4KB1/8 b - -,d4a1
r1bqkb1r/pp2pppp/2n5/4P3/1n6/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,d8d1
rnbq1rk1/4ppbp/p5p1/1p6/3PP3/1N2B3/P4PPP/R2QKB1R w KQ -,a1c1
rnb1k2r/ppq1bppp/4pn2/8/2BP4/2N2N2/PP3PPP/R1BQ1RK1 w kq -,c4b3
r3r1k1/1b1n1p1p/pq1b1np1/1p2p3/4P3/PP1B1NNP/1B2QPP1/2R2RK1 w - -,f1d1
4n2k/1p4rp/pPb1p3/4P1N1/1qP5/3Q4/5RpP/3R2K1 b - -,g7g5
8/8/6p1/4Kb2/8/3k4/6Q1/8 w - -,g2d5
8/7p/nk4p1/2p3P1/1p1r3P/1P1NKP2/8/2R5 b - -,d4h4
2rq1rk1/1b1n1ppp/4pb2/p7/PpBNn3/1P1NP3/1B2QPPP/2R2RK1 w - -,f2f3
8/Q4pkp/8/3qp3/8/6P1/P4PKP/8 w - -,f2f3
r1b1k1nr/ppp2ppp/2q1p3/8/2B5/P3P3/1PQB1P1P/2KR3R w kq -,d2c3
3r3r/pn6/1pqppkpp/2p2p2/1PP5/P1P3P1/2QRPP1P/3RN1K1 b - -,d8c8
1r3r1k/6pp/p3q3/1p1Nnp2/7P/P3P3/1P2QPP1/3RK2R b K -,h7h6
1q2r1k1/5ppp/1pr2n2/pN2p3/2P5/1Q1R2PP/1P2PP2/3R2K1 b - -,e5e4
5rk1/1pp4p/3p4/3Pr3/p1P1p1b1/P6P/1P4PK/2Q5 w - -,h3g4
3n2k1/2qb2rp/p2p2pn/2pP1p2/2P1PP2/3N3P/PQ1N2BK/1R6 w - -,b2b6
r3r1nk/2q2pbp/p2p2p1/1p1Pn3/3N3Q/2P1B3/PP2B1PP/3R1RK1 w - -,e3g5
3rr1k1/p1pn4/1p2p2p/4Nppq/2PP4/P6P/1P2QPP1/3RR1K1 b - -,h5e2
4r3/8/p1p5/6k1/2PBp3/1P6/P3K1B1/8 w - -,e2e3
3r1k2/5pp1/4n2p/p6P/1pR1P3/P2P2R1/1P3r2/2KB4 w - -,d1g4
6rk/p6p/3r4/1b1N1R1p/1P6/5P2/P5P1/4R1K1 b - -,b5c4
r6k/ppq1rp1p/4pbp1/n7/Q7/4BB2/PP3PPP/2RR2K1 b - -,a5c6
5n2/5k2/4p3/1p3p1p/2PPpP1B/1P2P3/3K4/8 b - -,b5c4
8/5p1k/p3r3/K7/1P6/8/8/6Q1 w - -,g1d4
r1b2rk1/ppp1qpp1/1b4Q1/6B1/4P3/1Bp4P/PP3PP1/R3R1K1 b - -,e7e5
r2r2k1/pp1bqppp/1np1p3/8/2pP1P2/2N3P1/PP1QP1BP/R2R2K1 w - -,c3e4
2rq1b1k/3r1p1p/4pP1Q/1p1p4/1p3P2/6P1/PPPR2BP/3R3K w - -,h6h4
r5k1/1p4p1/4N2p/p2pP3/b7/1P6/2P2rPP/2KR3R b - -,a4d7
r6k/ppp3bp/3p4/5r2/1PP1N2q/3PBpR1/P4PbP/1R1Q2K1 w - -,e3g5
8/2P3k1/p2K2p1/5b1p/2r1NR2/8/P7/8 b - -,f5c8
r1r5/p2bppkp/1q1p2p1/4n3/3NP3/1P4PP/P2Q1PBK/R4R2 b - -,a7a5
r3k2r/p4pp1/2pbpn1p/1P1q3P/3P3R/5N2/1PPBQPP1/R3K3 b Qkq -,c6b5
r1bb2k1/2p2qpp/1pP4r/1Nnp1p2/1p1N4/1P2PPPP/P2Q2B1/R2R2K1 w - -,d2b4
1r4k1/p2p1ppp/8/1P1p4/8/P2BP1P1/1R1n1P1P/2r2QK1 b - -,d2f1
1r3rk1/p1qnppbp/5np1/2P5/N3b3/R2BBN1P/1P3PP1/3Q1RK1 w - -,d3e4
4r1k1/2pn1p1p/p2p2p1/1q1P4/R7/1P2B2P/2P2PP1/3Q2K1 b - -,d7c5
8/r6p/P2k2p1/3p1p2/2pn3P/R4P2/P2KB1P1/8 b - -,d4b5
2r1k2r/4bpp1/p1N1p2p/4P3/1Nn2PPP/P1P5/2PB4/1K5R w k -,d2c1
5rk1/Q4p2/B2q3p/P5p1/4p1P1/4P3/6P1/6K1 b - -,f8d8
1rnr2k1/1pN2pbp/3P2p1/2p1P3/2q2PP1/7P/1P3QB1/2BR2K1 b - -,c8d6
r1b1R3/5pk1/2p5/2Np1P2/3P1KPp/7P/8/8 b - -,f7f6
3r2k1/6pp/2p5/5p2/2pP1P2/6P1/2P1q2P/2QR2K1 b - -,d8e8
8/8/6p1/3k1pp1/p2rP1P1/P1R4P/2K5/8 b - -,d5e4
r3k2r/1bqnbp1p/p2pp1p1/1p4P1/3NP3/P1N1B2Q/1PP2P1P/R3R1K1 b kq -,d7c5
5k2/p4ppp/1p1p4/8/2b2P2/2P3P1/7P/1R4K1 b - -,f8e7
7k/1n4q1/r2p1b1p/pB1Q1Pp1/1p1pP3/3P2P1/PP1B4/1K5R b - -,a6a7
1K4k1/1P4P1/8/8/5p2/8/6R1/2r5 b - -,f4f3
1r4k1/5qp1/p1p2BNp/3p1B2/1Pn5/6PP/4rP2/2QR2K1 w - -,c1f4
rnb1k2r/1pp2ppp/p2b1n2/4p3/2B1P3/P1N2N1P/1PP2PP1/R1B1K2R b KQ -,b8d7
r1bqk2r/3p1ppp/p1p1pn2/8/1b2P3/2N1B3/PPP1BPPP/R2QK2R w KQkq -,f2f3
rq3rk1/4bppp/1P6/4p3/1P1pP1b1/3B1N2/3Q1PPP/2R1R1K1 b - -,g4f3
r3k2r/pp1q2b1/2p1np2/3p1npp/3P4/P1N1B1PP/1PPQ1PB1/R3K2R w KQkq -,e1c1
r4rk1/4bppp/2p1pn2/p7/2P5/1N4P1/P3PP1P/R1BR2K1 w - a6,f2f3
r2qbrk1/pp1n2p1/2pbp2p/3pNp2/P1PPn3/1P1N2P1/2Q1PPBP/R1B2RK1 w - -,f2f3
4bbk1/5p1p/pB1r1np1/Pp1P4/1Pr4q/2N1QP2/4N1PP/1R1R3K w - -,d1d4
2rq1r1k/p3bpp1/2b1p2p/4P2P/2Pp1BQ1/2n2NP1/P4P2/R3RBK1 b - -,d4d3
4r3/1p2ppkp/p2p3r/3P1p2/8/1P3PP1/P1P4P/2RR2K1 w - -,d1d4
4k3/3R2p1/7p/1p1PP3/8/2r5/4K3/8 w - -,e5e6
2kr3r/pbqpbp2/1pn1p3/1B3p1p/8/4PNN1/PPP1QPPP/R4RK1 w - -,h2h4
r1bq1rk1/p3p1bp/2p2pp1/3p4/Np1Pn1P1/3QP2P/PPP1BP1B/R3K2R b KQ -,e7e5
1r3bk1/p1n2pp1/3p3p/P1pPn3/8/N1N3R1/1P3PPP/2B3K1 b - -,f7f5
2krr3/pp5p/2pp2p1/5n2/1Pn5/2N1P2P/P3KP2/2RR3B w - -,b4b5
5r2/3bk3/p4q2/4p2P/2pnB3/P3QN2/5KP1/1r2R3 w - -,e1b1
2br2k1/6pp/2pPpq2/pr3p2/1PN2P2/P3Q1P1/4P2P/3R1RK1 w - -,c4a5
3r1r2/1bp1n1bk/pp2B1p1/4Pp2/5P1p/N1P4P/PP3NP1/2B1R1K1 b - -,e7d5
r3r1k1/pp1n1ppp/2p1qn2/3p1N2/3P4/2NQP3/PP3PPP/4RRK1 b - -,f6e4
rnbq1rk1/1pp2ppp/3ppn2/8/1pPP4/3BPN2/PP1N1PPP/R2QK2R b KQ -,b8d7
3Q4/4ppk1/4b3/p6q/8/1r4P1/5P2/1B3RK1 w - -,d8d4
1rbq1rk1/p2nppbp/3p1np1/8/PpPpP3/3BBN1P/1P1QNPP1/R4RK1 w - -,f3d4
r4r2/pbpn1p1p/1p2pk2/8/3P4/2PB1PN1/P1P3PP/R2KR3 b - -,f6g7
r5r1/1q1kbn1p/n1p1p1pP/1b1pPpP1/pP1P1P2/P3B3/1Q6/1NRBR1K1 b - -,b5c4
r1q4r/pp1n2k1/3P2pp/2pNn3/3b1B2/3B4/PP4PP/R2QK2R b KQ -,c8c6
8/8/6pk/R1P4p/8/5K2/2r3PP/8 b - -,h5h4
r1b2r1k/2q3p1/p3p2p/5p1P/3pN1n1/7Q/PPPbBPP1/3RR1K1 w - -,d1d2
8/4r1kp/R5p1/p1pB4/2P3KP/1P4P1/P2b4/8 w - -,g4f3
r1bq1rk1/1p3ppp/p1np1b2/4p3/P1B1P3/N1N5/1PP2PPP/R2QK2R b KQ -,f6g5
3rk2r/1pp2pp1/p1n2b1p/4p3/1Pb1P3/P1B1RN1P/3P1PP1/2R1N1K1 w k -,c3e5
2bkq1r1/pr2p3/1p3n1B/2ppQP2/4P1P1/1P1P3P/6R1/5RK1 b - -,e8d7
1r3rk1/1p2bp2/1n1p2pp/pPp1n1q1/P1P1PR2/3PN2P/1B2BQP1/R5K1 b - -,h6h5
7r/6b1/4k3/p2pP1pN/2pP2K1/1nP1B3/RP6/8 b - -,g7h6
8/6k1/p7/3P2p1/1P2pp2/P4q1P/1B2rP2/2Q3K1 b - -,g7g6
8/p1k1npb1/1p1r2pp/2p1p2P/P1N1P1P1/2PN4/1P2KP2/7R b - -,d6e6
R7/8/4pk1n/8/3K4/8/8/8 b - -,h6f5
8/8/p3pk2/5p2/1PP2P2/2R3KP/8/1r6 b - -,b1b4
3r1q2/kp6/2p1p3/P1RbQp1p/3Pp1pP/6P1/3KPP2/R7 w - -,d2c3
1k5r/p1q2ppp/1pnrp3/2p5/1PQ4P/2P2N2/P1P2PP1/1R3RK1 b - b3,c5b4
5r1k/6p1/6Pq/8/B5Q1/6P1/1P1p2K1/8 w - -,b2b4
1rN2nbk/r2nq1p1/1p3p1p/1B2pP2/1P2P1PP/2Q5/1B1R4/3R2K1 b - -,b8c8
r1b2rk1/ppq1np1p/4p1p1/3p2Q1/1P1B4/2PB4/2P2PPP/R4RK1 b - -,f7f5
r2qkb1r/1p3ppp/p1n2n2/2P5/P2p1Bb1/2N2N2/1PP2PPP/R2QKB1R w KQkq -,c3b1
2rr2k1/pb2bppp/1p2p3/2pp4/2PP1Pn1/1P2PB2/PB4PP/2RR2K1 w - -,f3g4
8/7p/p3k2b/2p1Ppp1/2RP1P2/P7/1r1BK2P/8 b - -,h6f8
2rr3k/8/2p2p2/1p2b2N/p6p/PP3R1P/2B5/5N1K b - -,a4b3
