8/1pR1rpk1/1P3r1p/3R4/4P3/8/6K1/8 b - -,e7e4
r3k2r/1bp1bppp/p7/3qp3/P7/1P1P1N2/1PQ2PPP/R1B2RK1 b kq -,d5d6
1r4k1/R4p1p/3R2p1/8/1p2PPP1/p6P/PbbN1K2/8 b - -,b2c3
rr6/1p1nkpp1/p2p4/P1pPp1n1/4P1Pp/1PNB3P/2P2RP1/R5K1 w - -,f2f5
rr4k1/2n1ppbp/q2p1np1/2pP4/2N1P3/2N3P1/PP1BQPKP/R3R3 b - -,f6d7
5n2/1b4pk/p3pn1p/q1N5/2Q1PP1N/6PP/P5BK/8 b - -,a5c7
2r1r1k1/5ppp/1p2b3/p2p4/R4B1P/2P5/PP3PP1/4R1K1 w - a6,f2f3
1rb3k1/1pn1prbp/pNn3p1/2P3q1/4Pp2/5P2/P1NQBBPP/2RR2K1 w - -,b6c8
r3r2k/1p4p1/1bp2q1p/pP1nNbp1/P2P4/BB5P/3Q1P2/R3R1K1 w - -,b5c6
r1bqr1k1/1pp2pbp/1n4p1/p3n3/3P4/1PN1P1P1/P4PBP/R1BQR1K1 w - -,d4e5
8/8/8/1R4pp/6k1/6P1/4r3/6K1 b - -,e2a2
4q1k1/2Rr1p2/p1N3pp/1p1p4/nPn5/P2B3P/Q4PP1/6K1 w - -,c7d7
3rr1k1/4bp1p/1pp1n1p1/2n1p3/4P1P1/1NP1BP1P/1P3K2/R1N2R2 b - -,d8d7
2rr4/Qb1q1pkp/5np1/3p4/8/2N3P1/PP3PBP/2RR2K1 b - -,c8c4
rn1qr1k1/2p3bp/pp1Pp1p1/4p3/P3N3/1P3N2/2P2PPP/R2QR1K1 w - -,f3g5
1r1qk2r/4b1pp/p1np1n2/1pp1pb2/2P5/1PNP1N1P/P2BBPP1/R2QK2R w KQk -,g2g4
r1q1rbk1/1p3ppp/1n6/p1p1PP2/Pn6/1PN2QPP/3B2B1/3RR2K w - -,f3e4
8/6p1/8/4p2p/1K1n3P/2R3P1/4k3/8 b - -,d4f3
2r1n3/pp4k1/2b4p/6p1/3Rp3/2N1P3/PP2B1PP/5rK1 w - -,g1f1
R7/8/8/4p3/4P1p1/2N1k3/7r/4K3 w - -,c3d1
1b4rk/p2qnp1p/1p2pp2/8/1P1P2Q1/P3N2P/5PP1/3R1NK1 w - -,g4f3
3r1rk1/1p3ppp/1np1pn2/p7/Pbpq1PPR/2N5/1PQP1P1P/R1B2BK1 b - -,b4c5
r5k1/1p1b2pp/5b2/3P4/1B6/Pp2P1P1/5R1P/5BK1 w - -,f1d3
4R3/p1p4p/8/2pk1p2/5B1K/2P2P2/r5rP/8 w - -,e8e5
3rk2r/pp2np2/2p1p1p1/4P3/2B2P1p/4R2P/PPP3P1/2KR4 b - -,d8d1
r1b2r2/pnq3pk/2p3np/4bp2/2B5/2N2QN1/PPP2PPP/R1B1R1K1 w - -,c1d2
8/8/p1Bpk3/5p2/1pP2P1b/1P5P/1P2K3/8 w - -,e2e3
r2qnrk1/1N2ppb1/3pb1p1/p3n1Pp/4P2P/1B2BP2/1PPQNK2/R6R b - -,d8b8
2rq3k/pb4pp/n4r2/2pp4/6Q1/1PR1PNPP/P4PB1/3R2K1 b - -,d8f8
r2qk2r/pp1bbppp/2n1p3/1B6/8/2P2N2/P2P1PPP/R1BQR1K1 w kq -,d2d4
2r5/8/8/4B3/4K3/1R6/3k4/8 w - -,b3b6
r1bq1rk1/p3ppb1/1npp2pp/8/4P2B/2N4P/PPP1BPP1/R2Q1R1K b - -,c8e6
6k1/8/3p4/1n1P2P1/8/r4R2/2B2PK1/8 w - -,f3a3
6k1/1p3p2/6p1/5b1p/1P1R3P/1B6/1KPR1PP1/r6r w - -,b3a2
r5k1/1p2rppp/2p5/1qNp4/p2Pn3/P3P3/1PQ1RPPP/3R2K1 b - -,e4c5
4b1k1/5np1/pr5p/4p3/1b2N2P/2B3PB/PP6/3R2K1 w - -,b2b3
r1r3k1/4qpp1/2n1b2p/ppRpPp2/1P1P4/P4N2/3QNPPP/R5K1 w - -,a1c1
3r2k1/p4p2/p5p1/6R1/4p3/2p5/2r5/6RK w - -,g5g3
R5k1/2b2pp1/8/4q3/2P4p/1P3Q1P/1r4P1/6BK b - -,g8h7
3r2k1/pb4p1/1p2R1p1/8/2P3Q1/P1B5/5K1P/4R2q b - -,h1h2
1r1r2k1/Np3pp1/p1P2n1p/P2PQ3/q2npN2/6PP/5PK1/2R1R3 b - -,d4f3
2rqk2r/1p2bp2/p1npbn1p/3Np1p1/1P2P3/2PBN1B1/4QPPP/R2R2K1 b k -,c6b8
8/3n1pp1/2bkp2p/p2p4/Pp1P4/1P1BPPP1/4K2P/4N3 b - -,f7f6
2r5/8/1pp2p2/p2p3P/P4P2/1P2k1K1/8/4R3 b - -,e3d2
8/4bk2/2R2p2/1r2pKp1/1p6/1Pp1BP2/8/8 b - -,b5b7
2qr2k1/p4p1p/5np1/3rN3/Nb1p1P2/1P1R1QPP/P5K1/3R4 w - -,g3g4
3r4/6kp/8/8/Rbp1Np2/3p1K2/P6P/8 b - -,d3d2
r5r1/pq2bp1k/npQppp1p/8/3PP3/3N4/PP1N1PPP/2R2RK1 b - -,a8b8
8/4r3/6pk/4p3/P1Q1N2P/1P3P1K/8/6q1 b - -,g1h1
1r1q1r1k/1b2b1pp/1pBp1n2/pP1Pp3/4p3/PQ2B2P/3N1PP1/2R2RK1 b - -,b7c8
r2r1nk1/1p3p2/p3p2p/6p1/3N3P/2PR1Nb1/PP3PP1/R5K1 b - -,g3c7
rnbqkbnr/pp2pppp/2p5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq d6,g2g3:c1f4:c2c4
rn1qk2r/pppbbp2/4p1p1/3pP2p/3PNP2/4B1Q1/PPP1N1PP/R3KB1R b KQkq -,d5e4
8/7k/8/8/1P1R3P/1K1R4/8/4q3 w - -,b4b5
2r3k1/p4p2/1q2p1p1/4Q1Pp/3R1P1P/2N2b2/P1PK4/8 w - -,a2a4
r3r1k1/p3bppp/2npp3/1qn5/1P2P3/P3BNN1/5PPP/2RQR1K1 b - b3,c5a4
2r2rk1/1p1b3p/pQ3n2/3p1pp1/3NqN2/P5P1/1P2PP1P/2RR2K1 w - g6,f4e6
r7/ppp1kp2/5p1p/4pb2/1PP1Pn2/P1Kr1B2/3N1PPP/3R3R w - -,c3c2
7R/8/8/1rp5/p3kPKP/P1Pp4/1P6/8 w - -,h8e8
3r1r2/1p2q1kp/p1bpn1p1/PP2p3/2P1Pp2/2R5/B2N1PPP/2R2QK1 b - -,c6d7
5r1k/p1p5/7p/1P1BRnp1/2P1q3/6PP/P4PK1/8 w - -,d5e4
4rrk1/2q3pp/4p3/p2p1n2/2p5/P5PN/1PK1Q1BP/3R1R2 b - -,c7b6
5k1r/2r5/3p1p2/p2PnB1q/PpP1P2P/6QP/6R1/6RK w - -,g3e3
8/8/3p2pp/3Rk3/2P4P/N4KP1/q7/8 b - -,e5e6
r6k/p7/3p1Nqr/2p1pR2/1p4P1/1P1P3P/1PPQ3K/8 w - -,f6h5
r5k1/pp2rpp1/1bpq1n1p/3n3b/3P4/P1NQ1PP1/1P2N1BP/2BRR1K1 w - -,c3e4
8/5pk1/4p3/p2pP3/Pq4Q1/4P1K1/5PP1/8 b - -,g7f8
rq3rk1/3bbpp1/p2p1n1p/1p2p3/2P1P3/1P1QN3/P2N1PPP/R1B2RK1 b - -,b8b6
8/7k/7p/8/5B1p/3p4/4r1P1/3KN3 w - -,f4c7
1R6/1P4p1/2R2nk1/8/5r1p/7P/1r3PK1/8 b - -,f4f2
r2r2k1/5pp1/3bp2p/3qN2n/2pP1B2/2P2R1P/2Q2PP1/1R4K1 w - -,f4h2
r1bqkb1r/pppn1ppp/3p1n2/3Pp3/4P3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,f8e7
4r1k1/p2pP1pp/1p5r/4p2q/2P4P/P2Q2P1/1P3PK1/R4R2 b - -,e8e7
8/8/3Pk3/p7/P4Kb1/6p1/6N1/8 b - -,g4d1
8/p7/1pb1k1p1/5p1p/1P1K1P1P/P1N3P1/8/8 b - -,e6d6
2r5/2B3bk/1Rp1Npp1/3ppn1p/2P5/3PP1P1/5PKP/8 b - -,d5c4
5qk1/1p1n1p1p/2pp2p1/Q3rP2/2P5/PP1B3P/5PP1/3R2K1 w - -,a5c7
1r6/p4k2/2prp1pp/2N2p2/P1b1P3/2P1R1P1/5P1P/4R1K1 w - -,e3f3
5R2/3b2pp/2p3k1/2P2p2/4p3/1BPn4/5PPP/6K1 w - -,b3f7
r2q1rk1/pp1bbppp/2n1pn2/6B1/3P4/2NB1N2/PP3PPP/2RQR1K1 b - -,a8c8
r2q1rk1/pp1nbpp1/2p1bn1p/3p4/3P3B/2NBP2P/PPQ2PP1/R3K1NR w KQ -,g1f3
r1b2rk1/4ppbp/p2q1np1/np1P4/8/2N2N1P/PP3PP1/R1BQRBK1 w - b6,d1d4
r1bq1rk1/2p1ppbp/p1n3p1/1p2P3/3P4/1QN1PN2/PP2B1PP/R3K2R b KQ -,c6a5
4r1k1/5pb1/p5np/5bp1/NpB5/5P1P/1P4P1/R2R1K2 w - -,d1e1
3rkb1r/5ppp/p2qbn2/2P3N1/Pp6/1n2Q3/1B2NPPP/2R1KB1R b Kk -,d6e7
5rk1/p2b2b1/3p3p/1P2rpq1/P1pN4/4PR1P/2B2QP1/4R1K1 b - -,f5f4
r1br2k1/pp3ppp/1qn1p3/3pP3/3N1P2/2Q5/PPP3PP/1K1R1B1R b - -,c8d7
4r1k1/p5pp/1qp2b2/1p1p4/4n3/1PP1N1Pb/P3BP1P/2R1QR1K w - -,f1g1
4r1k1/3b2p1/1pp2n2/p2p2p1/3P1pP1/2PN1P2/PP1N1K1P/3R4 w - -,d3e5
3r2k1/1b3ppp/nb2p3/p2n4/3N4/4PP2/1PBBNKPP/3R4 w - -,c2e4
1n4k1/2q2ppp/1pP5/r3p3/1b1r4/2N2B1P/P3QPP1/R4RK1 w - -,c3b5
2Q5/pp3Bbk/3P3p/1Pp1n3/P2p1P2/4q3/1B3R1K/8 w - -,c8g8
8/1p3r1k/p2p2p1/3Pp3/1P1pP1b1/P2P1BQ1/3q2KP/5R2 w - -,g2h1
8/2pnk1pp/4bp2/2p5/4PP2/3B4/2P2KPP/B7 w - -,a1c3
4Q1k1/5pp1/p1p4p/2b5/PqN5/1P4P1/5PKP/8 b - -,c5f8
8/pp3k1p/1n1p1p2/3P1P2/2PB4/1P6/PK5R/3r4 w - -,b2c3
8/4ppkp/1p1p1n2/2r2Pp1/2P1P1P1/1B5P/P4K2/4R3 b - -,f6d7
r1br2k1/pp2bppp/2n1pn2/3q2B1/3PN3/5N2/PP3PPP/RB1QR1K1 b - -,c6d4
8/1p2rnk1/2p3p1/4qp2/3R1N2/6P1/3Q1PK1/8 b - -,b7b5
2kRr3/1pp1b1p1/5pb1/p7/P1P1N2p/4BP1P/1P3KP1/3R4 b - -,e7d8
8/p1R2ppk/7p/3r4/1P6/6P1/5PKP/8 b - -,d5b5
1k1n4/2p5/Bpr3p1/8/P3p3/2P4P/2P2PP1/4R1K1 b - -,b8a7
2r5/5ppp/2Pkp3/pB1r4/Pn6/5P2/5P1P/1RR3K1 w - -,c1c4
8/3n2k1/3q2P1/p2p4/8/1B4P1/PP2QP1K/8 b - -,d7e5
b4r2/2q3kp/B2b2p1/2pPp3/2N2p2/2P3P1/1PQ2P1P/3R2K1 b - -,f4g3
2R5/1p1r2k1/2p1n3/8/4BP2/8/5K2/8 b - -,e6d4
1k1br2r/ppp3p1/1nn1p2p/1N1P1p2/8/PB2PPBP/1P3P2/2RR2K1 b - -,e6d5
r3r1k1/1b2ppb1/p1qp1npp/1p6/3P4/P1P2QB1/1PBN1PPP/R3R1K1 b - -,c6f3
r1r3k1/1b2bpp1/3p3p/1pnPpP2/qN2P2P/P2Q2P1/5B2/2R1RBK1 w - -,d3b5
2r3k1/1br2p1p/1p2pbp1/pq6/3p1P2/PB1P4/1PPQ1RPP/2R1B1K1 w - -,c1b1
rnbq1rk1/pp2ppbp/3p1np1/2P5/2P5/5NP1/PP2PPBP/RNBQ1RK1 b - -,d6c5
r1bq1rk1/1pp1ppbp/p1np1np1/8/3PPB2/2N2N1P/PPPQ1PP1/R3KB1R w KQ -,f1d3
6k1/2p4p/4prp1/1p2p3/4P3/7P/5P2/2R3K1 w - -,c1c5
7k/1p4p1/p6p/5B2/1P4P1/5K2/1r6/3R4 b - -,g7g6
2r2rk1/3n1pbp/2pp1np1/pq2pP2/3PP3/Pp1PBN1P/1P2NQP1/3R1RK1 w - e6,e2c3
6k1/1Q3pp1/1pp4p/4p3/4P3/1PP3PP/1q3PK1/8 b - -,b2c3
8/3Pk3/p1K2N2/1p6/8/P6b/1P6/8 b - -,e7d8
r4rk1/1q1nppbp/2p3p1/p2p1b2/N2P1B2/P1Q2N1P/1P3PP1/3RR1K1 b - -,f8e8
r2r1bk1/1p3p1p/2p1p1p1/p2n4/1P1P1P1q/P1B1PB2/5P1P/R1R1Q1K1 b - -,a5b4
8/4kp2/4n2p/pp6/4BP1P/1P2K1P1/P7/8 b - -,f7f6
r1b1rnk1/1p3pp1/2Pp4/p3p1p1/P3P1P1/7P/1PP1NP2/R3RBK1 b - -,b7c6
r1qr2k1/1p3pb1/8/pB3QP1/P2p4/2P3B1/1P4K1/4R3 w - -,f5f3
7r/kpr2ppp/p1nb4/2pB1b2/8/4BN2/PP3PPP/2R2RK1 b - -,b7b6
r4r1k/1pq4p/p2p1N2/2b1pbPp/4NP1P/2B1n3/PPPQ4/R3K2R w KQ -,f4e5
rn1qkb1r/pp2pppp/5n2/3p1b2/8/5NP1/PP1PPPBP/RNBQK2R w KQkq -,d1b3:e1g1
8/p5pp/1p2kp2/8/4pP2/PP2P3/4K1PP/1bB5 b - -,b1a2
rqb2rk1/1p3ppp/p1P1pn2/8/3N4/4BP2/PbP1B1PP/R2Q1RK1 w - -,a1b1
rn1q1rk1/1b2ppbp/pnp3p1/1p2P3/3P2P1/NP1N3P/1B3PB1/R2Q1RK1 b - -,b8d7
q2b2k1/p4p2/1p2bnpp/n1p1N3/2P1P3/PPN2Q2/1BB2P1P/6K1 w - -,c3d5
1r3r1k/3R1p1B/4ppQ1/p1q1p3/8/8/PPP2PPP/1K5R w - -,g6h6
3r2k1/pppr1bp1/1b2np1p/4p3/B3P3/2P2PB1/PP1NK1PP/R2R4 b - -,c7c6
4r1k1/8/7p/pN1p1p2/Pb1P1Pp1/1b2B1P1/1R3K1P/8 b - -,b3c4
r1bq1r1k/ppp1p2p/2np3b/6p1/2BPP3/2N2N2/PPPQ1BP1/2KR3R b - -,f8f6
8/3k3p/8/2PP1pp1/1P2p3/N2bK1P1/5P1P/8 w - g6,e3d4
5k2/6p1/1q3pb1/2bprN2/6P1/1P4N1/2PQ1PK1/4R3 b - -,g6f7
1r1q1rk1/p4ppp/b7/2p1p1b1/2P1P1P1/3P3P/P1Q1N1B1/R4RK1 w - -,a1b1
r2qnrk1/pp2ppbp/2n3p1/2p5/3PP1b1/2P2NP1/PBN2PBP/R2QR1K1 b - -,e8d6
rnb1k2r/pp2ppbp/2p3p1/8/4PB2/2P2N2/PP3PPP/R2K1B1R w kq -,d1c2
3rr1k1/1p1q1ppp/2n5/pN2p3/Q1Pp2b1/B2P2P1/P3PPBP/4R1K1 w - -,b5d6
2r4r/1b1k2pp/p2p4/1p1p2N1/1PnP4/P1N5/5PPP/R4RK1 w - -,g5f3
r1b2r1k/pp2bp2/2n1p2p/5q1p/P1BPN3/6R1/1P2QPPP/3R2K1 w - -,c4d3
1r6/4q1k1/1p1Np2p/p3P1p1/P4n2/3P1Q1P/6P1/2R4K w - -,c1c6
2rr2k1/pp2qpb1/2p1n1p1/2P1p2p/NP1nP3/4B3/P4PPP/1RQBR1K1 w - -,a4b2
4rrk1/1p1n1ppp/p1pp2b1/8/4PNP1/1PPP1N2/2P3KP/R4R2 b - -,d7e5
r1b2rk1/1pp2ppp/2n3q1/3p4/pb1P2P1/5N1P/PP1BPPB1/R1Q1K2R b KQ -,f8e8
8/2p5/pknp4/1p2b2R/8/PPP5/2K5/8 w - -,h5h4
r3r1k1/2qnbppp/p4n2/1p1P1P2/4p3/PN1BBQ2/1PPR2PP/5RK1 w - -,d3e4
1r4k1/pp1R1pp1/2n1p2p/b2pP3/3P2P1/1P2B3/N4P1P/6K1 b - -,g8f8
4k1r1/p3r3/R3R3/3p2P1/3P1P2/2P2K2/8/3n4 w - -,e6e7
8/1k4p1/1p2qpp1/2p5/P7/3Q3P/1PK2PP1/8 b - -,g6g5
3r1rk1/p1p2ppp/1pnqbb2/3nN3/2BP4/PN4QP/1P1B1PP1/R3R1K1 b - -,c6e7
r3r1k1/pb2ppbp/1pqp2pB/8/5R2/2P2N2/PPQ2PPP/3R2K1 w - -,h6g7
r4rk1/pp2bpp1/1qp1p1p1/1n6/P2PP3/1P4P1/1BQ2PBP/3R1RK1 b - a3,b5c7
8/2R2k2/3p1b1p/4n1p1/4P1P1/2P4P/1r1BBK2/8 b - -,f7g6
1r4r1/1pkb1p1p/p2p4/q1pPpp2/P1Pb1P2/1QN2BPP/1PK2P2/R4R2 b - -,b8e8
5rk1/7p/1Q4p1/1p3qb1/p1b1p3/P2nBP1P/1P2R1P1/5RK1 w - -,g2g4
r7/2pkRp2/p1p2q1p/3b1pp1/1BpP4/P7/1P1Q1PPP/6K1 b - -,f6e7
8/5pk1/5p1p/1p5P/1P6/4PKP1/R4P2/1r6 b - -,b1b4
r4r1k/2p1q1b1/pp1pb2p/3Ppn2/2P1B1n1/2N3P1/PP3PK1/1QB2R1R w - -,d5e6
4r3/1R3bk1/5p1p/p2p1Bp1/3P2P1/6BP/PP1b1PK1/8 w - -,g3d6
rn3rk1/pp2ppb1/1q3npp/2pPPb2/7B/2NQ1N2/PP3PPP/R3KB1R w KQ -,d3e2
r3r3/1p2q1kp/pP1p2p1/2p2p2/1PP1n3/1Q2RN2/5PPP/4R1K1 w - f6,f3d2
rnbq1rk1/1p3ppp/p3p3/b2pPn2/3P1P2/N4N2/PP1B2PP/R2QKB1R b KQ -,b8c6
2k5/7R/1P6/6r1/2P1p3/8/2K5/8 w - -,c2c3
r2q1rk1/1p1b1pp1/p2pp2p/4n3/3N4/P1PB2P1/2P3PP/R2Q1RK1 w - -,d4f3
5rk1/6pp/1P1p1b2/p1r2p2/P2npP2/1q2N1P1/3R2BP/3Q1R1K w - -,d2d4
r1r5/pp1k2pp/2pP1n2/2P5/1P2p3/5R2/1B4PP/4R1K1 w - -,f3f4
1r1r4/4kp1Q/2bq4/6p1/1p2P3/1PN4P/P3B1P1/5R1K b - -,d6g6
3r4/pp2p1kp/4Q1p1/6N1/6P1/4P2P/P4P2/2q3K1 w - -,g1g2
2R3k1/4rppp/1p2pn2/8/1q6/5QP1/P4PBP/5RK1 b - -,f6e8
r1b1k2r/pp3ppp/1q2pn2/3p4/1bnN4/2N1P1P1/PP2QPBP/R1B2RK1 w kq d6,f1d1
4rr2/1b1q1pkn/3p2p1/p1pPpP1p/1pP1P2P/1P1B2P1/P2QN3/R4R1K b - -,b7c8
3q1nk1/1pr1brp1/p3p2p/P2pPp2/3P1PP1/1N1Q2RP/1P1B3K/6R1 b - -,e7h4
4r1k1/p5p1/bp1p3p/2nP2q1/2P2N1P/P5P1/3B1P2/1Q3RK1 b - h3,g5f6
7R/7P/1p6/1k6/2p5/2K5/7r/8 w - -,c3d4
r1br2k1/pp4pp/2n1pq2/1B1p4/4nP2/2N1QNP1/PPP4P/2KR3R b - -,e4c3
2kr1b1r/pp2p1pp/1n3p2/1B1p4/3PbP2/2P3N1/PP3KPP/R1B4R b - -,a7a6
2r1r3/p2n1pkp/1p2p1p1/3pP3/P7/1BP1RP2/1P4PP/R6K b - -,d7b8
r5k1/4b1p1/4p2p/5p1P/pr1PN3/5N2/5PP1/2R3K1 w - f6,e4d2
4r1k1/1pqn2pp/p1n2b2/P1p1p2Q/2Np4/3P2P1/1PPB1PBP/R5K1 b - -,g7g6
1r3rk1/p2qppbp/3p1np1/1p6/3pPPb1/2P2NP1/PP2Q1BP/R1B2RK1 w - -,c3d4
2r2rk1/p4p1p/Qp1bpnp1/6N1/2qP1P2/2P3P1/P2B3P/R4RK1 w - -,a6c4
5knQ/p4p2/1p6/8/4q3/2R2nP1/6KP/8 b - -,e4e2
r4r1k/pp4pp/1bbq1n2/3p4/3B1P2/P1NB3P/1P4P1/2RQ1RK1 w - -,d3b1
rn1qk2r/1p3ppp/p3pn2/2b5/2N3b1/1P1BPN2/PB3PPP/R2QK2R b KQkq -,b8c6
r1q2rk1/pppb2p1/5n1B/3p1n2/1P6/2P3NP/P1B1QPP1/R3R1K1 w - -,h6f4
7r/1k3p2/p5n1/1q2p2p/1N6/5PP1/PP2Q3/1KR5 w - -,e2e4
r2bn1k1/1rp2p2/3p2p1/1P1Pp2p/2R1P2P/q1N1BP2/5QP1/1R4K1 w - -,g1h2
3rb1k1/R1R2ppp/1r1n4/pp1BB3/8/6PP/P3PP2/6K1 w - -,e5d6
r2qrk2/7p/p2pPnp1/1pp5/5Pn1/N1P5/PP1Q2P1/2KR1B1R w - -,f1d3
1rb2r2/p4knQ/3pp1p1/1pp3q1/4B3/2NP2P1/PPP2P2/2KR3R w - -,f2f4
rn1qkbnr/pp1b1pp1/4p2p/2ppP2P/3P2P1/2PB4/PP3P2/RNBQK1NR b KQkq -,d8b6
1q2r1k1/5pbp/p2p2p1/2pPn3/P3BB2/6P1/Q3PP1P/1R4K1 b - -,b8c7
r6r/pppkn1b1/3p3p/3Pp1pP/8/2N1P3/PP1B1PP1/R3K2R w KQ -,e1e2
r3kb1r/pp4pp/2p1n3/4q1B1/4P1Q1/2N5/PPP3PP/3R1RK1 w - -,g5h4
4B3/2n3pk/R4p1p/p7/P3p2P/4P1P1/2r2PK1/8 w - -,a6c6
2rq1rk1/1p1nbpp1/4pnp1/p7/3P4/P1N3P1/1PQB1P1P/R2R1BK1 b - -,d7b6
5r2/p3Qpk1/2pNb1pp/3rP3/P1p5/8/1q3PPP/4RRK1 w - -,d6e8
2rqr1k1/1p1nbpp1/p3pn1p/3pN3/3P1B2/2P4P/PP1N1PP1/R2QR1K1 w - -,d1f3
1r1q2k1/3b1pp1/p2N3p/bppP4/5Pn1/2N3P1/1P3PBP/3QR1K1 b - -,g4f6
