5r2/p1k5/8/1R6/P2P2P1/2Pp3P/P6K/8 w - -,b5b2
r1bq1rk1/pppnppbp/3p1np1/8/2PP1B2/4PN1P/PP2BPP1/RN1QK2R b KQ -,d8e8
2krr3/2p3b1/pp5p/2pPnp2/5B2/1N2R1P1/PP5P/2KR4 w - -,c1c2
r1bqk2r/pp1nnppp/1b2p3/2Pp4/4PB2/P1NB1P2/1PP1N1PP/R2QK2R b KQkq -,d7c5
rn2k2r/pp2ppbp/1qp2np1/3p4/2PP2b1/1Q3NP1/PP2PPBP/RNB2RK1 w kq -,b3c2
5rk1/pp3ppp/3p4/3Pp3/4PqB1/2r1BK2/P6P/R5QR w - -,f3e2
Nn3rk1/1p1b2bn/3p2q1/3Pp2p/1P2Pp2/2N2Pp1/4BBPP/1R1Q1RK1 b - -,g3f2
5r2/pbkp4/6BQ/1pqP4/2r5/6P1/3R3P/3R3K w - -,h1g2
2rr2k1/1b2qpp1/ppnRp2p/4P3/NP3P2/PQ4PP/6B1/3R2K1 b - -,g7g5
5r2/1q6/3p1pkb/1p1Ppnp1/nPp1P1Bp/2P1B2P/6P1/R3Q2K w - -,g4f5
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/2N2P2/PP2N1PP/R1BQKB1R w KQ c6,c1e3:d4d5
N7/1p1Q3p/p2p2p1/2pK3k/P2b4/3Pq3/1PP4P/R5R1 b - -,e3f3
7r/1p2qb2/pR3p1k/7p/8/2P2BQ1/5PP1/6K1 b - -,e7e1
8/4k3/2n1P3/2Qp4/1p6/3r1N2/KPb5/8 b - -,e7f6
4bk2/R2r2p1/5b1p/2p2p2/2B5/1P2P2P/5PP1/5NK1 w - -,a7d7
2r1rbk1/3n1pp1/ppqp3p/4p3/PNP1P3/1P1QBP2/6PP/R2R2K1 b - -,c6b7
r2qr1k1/1ppb1pbp/1n1n2p1/p2Pp3/P3P2N/1PN3P1/2Q2PBP/R1B2RK1 w - a6,c1e3
rn1q1rk1/1bpp1ppp/1p1b4/p2P4/4P1n1/P1NB1N2/1P3PPP/R1BQK2R w KQ -,e1g1
r4rk1/pp2q2p/2n1p1p1/1NP1b1P1/Q2p3P/8/PPPR4/2K2B1R w - -,d2d1
2rr2k1/1p3qp1/pP5p/R2Ppb2/8/4NPP1/Q4K1P/3R4 b - -,f5d7
r2q1rk1/1p2bpnp/p1npb1p1/4p3/2P1P3/1PN1B1PP/P2QNPBK/3R1R2 w - -,a2a4
2rq1rk1/p4ppp/bp6/2bp4/8/PP2P1P1/1B3KBP/2RQR3 w - -,d1g4
rb2qr1k/1b1nB1p1/pp1P3p/2p1p2n/P1B1p2N/4P3/1P2QPPP/2RR2K1 b - -,h5f6
8/r7/3p4/1p2k1pp/3p4/P1bP2PP/4RPK1/2N5 b - -,e5d5
5r1k/2q4p/p5R1/2pP1n2/5r2/3B4/PP5R/2K3Q1 w - -,g6e6
r5k1/1b3r1p/p1qn1Pp1/3pp3/4P2Q/3BB3/2P3RP/5R1K b - -,d6e4
1r2rbk1/1pq2p1p/p1bp1np1/P1p5/1nP1PBP1/1PN3NP/3Q1PB1/R3R1K1 b - -,f6d7
r2q1rk1/pp2ppbp/2np1np1/6B1/4PP2/1bN5/PPP1B1PP/R2Q1R1K w - -,a2b3
1br2rk1/1p2npp1/pq5B/3Nn3/8/2PB1P2/PP1Q1P1P/R3R1K1 b - -,e5f3
4r1k1/4ppb1/qp3npp/2pP4/1r3B2/1PN1RQ1P/P4PP1/3R2K1 w - -,d1e1
6k1/2p1pp1p/6p1/8/8/1q2P1P1/1R1r1P1P/6K1 w - -,b2b3
7R/1r4p1/1k3p2/7P/1pr5/7K/1R4P1/8 b - -,b6b5
1b1N4/4n3/4p1p1/3kPp2/5P2/5KP1/8/8 b - -,b8c7
rn1qk2r/pbp1npp1/1p1pp3/7p/P2PP2P/2PB1N2/1P1N1PP1/R2QK2R b KQkq a3,a7a5
3rn3/4Rk1p/p1p3p1/P2q1p2/1Q1p4/1P4PP/5P2/B5K1 b - -,f7g8
r1bq1r1k/pp4bp/n1pp2p1/4p3/2PPR3/1Q3NP1/PP3PBP/R1B3K1 w - e6,c1g5
r4rk1/3q2pp/3bpp2/pp1b4/1PpPpPN1/P1P1P2P/1B4P1/R2Q1RK1 b - -,a8a7
r1bq1rk1/pp2p1bp/2p1p1p1/4n3/8/2N4P/PPP1BPP1/R1BQR1K1 w - -,d1d8
r2q1rk1/3nppbp/n2p2p1/2pP4/4PB2/2N2NP1/PP3PKP/R2QR3 b - -,d8b6
3rr1k1/1bq2ppp/1p1bpn2/pPppn3/P1P5/1Q1PPN2/1B2BPPP/R2R1NK1 w - -,f3e5
5nk1/2Rn1r2/3P1b2/4p3/2B1PpP1/2B5/6P1/6K1 b - -,g8g7
5rk1/1p2q2p/2p3p1/p2p1b2/2n5/P1QN1P2/1PP3P1/1R1B1K2 w - -,c3e1
4r1k1/pb4Bp/1p4p1/5p2/N1P2n2/PP2pP2/6PP/3RKB2 b - -,e3e2
rnbq1rk1/ppp2pp1/3p1n1p/4p1B1/2P5/P1QP1N2/1P2PPPP/R3KB1R w KQ -,g5f6
r2qkb1r/2pn1ppp/pp6/3Pp3/P1B1b3/5N2/1P3PPP/R1BQ1RK1 w kq -,d5d6
r2q1rk1/pp2npbp/2b1p1p1/2pp4/3nPP2/3P1NP1/PPP2RBP/R1BNQ1K1 w - -,c2c3
4r1k1/1pq2pp1/p1n2b1p/4pb2/1PP5/P4NPP/1B2QPB1/3R2K1 b - -,c7c8
2b1r1k1/4qpp1/3r3p/p1n5/Pp1pP3/1P4Q1/3N2BK/B3RR2 b - -,d6g6
r5k1/3b2b1/2N4q/3P1p2/8/3PrQNp/4P2P/1R2R2K w - -,g3f5
8/8/6R1/p3k1p1/8/5P2/r5PK/8 b - -,e5f5
8/4Qpk1/6pp/p2PN3/4n3/7P/P4PPK/2q5 b - -,c1f4
rnb2rk1/1pqpbppp/p3pn2/8/2PN4/1P4P1/P2BPPBP/RN1Q1RK1 w - -,b1c3
5r1k/1p4pp/p2pn2r/3Np2q/2P1QP2/P2R2P1/1P3R1P/6K1 b - -,e6c5
r1bqk2r/1pp1n1b1/p2ppnpp/5p2/P2PPP2/2NBBN1P/1PPQ2P1/R3K2R w KQkq -,e4e5
1r1qr1k1/Nbpn1pbp/1p1p2p1/p7/PnP1PP2/2N1B1PP/1P3QB1/3RR1K1 w - -,a7b5
3r1r1q/ppn1pk2/2p4p/2P3pN/P2P4/7P/2Q2PP1/2R1R1K1 w - -,c2f5
3rr1k1/2p2ppp/1pn5/p1b1p3/P1N1P3/2P1B1P1/1P3P1P/R3R1K1 b - -,c5e3
1r3rk1/2p1nppp/Rb1p1q2/1N6/1P1PPpQ1/2P5/2B2P1P/5RK1 b - b3,d6d5
4rk2/1p3rbQ/p1b1qp2/4pR2/4P3/P1N3R1/1PP3PP/7K w - -,h2h4
8/8/3p2nk/2pPp3/2PbP3/1R1N2PB/7K/3r4 b - -,d1d2
8/8/1rpk4/3pp3/1r6/1P2R3/1K2R2P/8 w - -,e3e5
6B1/8/1b1k4/5P2/2P3K1/8/8/8 b - -,b6d8
8/8/3pk3/p2p2b1/P2P3p/NP3K1P/8/8 w - -,a3b5
2r1r2k/1pqnb1pp/p2p4/P1PPp3/1P2Np2/3Q1P2/5BPP/R3R2K w - -,e1c1
8/5k1p/8/8/P4bpB/8/6K1/8 b - -,f4c7
r1q1k1nr/p1nbppbp/6p1/1pppP3/3P3N/3BB1NP/PPPQ1PP1/R3K2R w KQkq -,c2c3
8/1pp2kpp/2n2p2/1p1q4/6r1/P3QN2/1PP2PPP/4R1K1 b - -,f7g6
8/p4k2/1p1bpp2/6pp/8/1P2BKPP/P1R1PP2/3r4 w - -,c2c8
1rbq1rk1/pp3pb1/3pp1pp/2p5/P2nPP2/2NPB1P1/1PP1Q1BP/R4R1K w - -,e2d2
6r1/3k1p2/3bpp2/1ppr3p/8/P1P2NP1/1PKR1P2/7R b - -,d5d2
r2q1rk1/2p3pp/1p1ppn2/5p2/pPPP4/P1B3P1/Q3PPKP/R4R2 b - -,d8d7
r1b2rk1/1p3ppp/p1p5/8/3N1b1n/2P3NP/PPB2PP1/3RR1K1 b - -,h4g6
1rb1nk2/pp3ppp/8/2p5/2PpN3/3P2P1/PP3PBP/4R1K1 b - -,b7b6
rn1qk1nr/pp2ppbp/2pp2p1/8/2PP4/2N1BP2/PP1Q1PPP/R3KB1R b KQkq -,b8d7
r2b2k1/2p2r2/1pPp2nB/1N1P3n/PR2Pp2/5N2/6K1/6R1 w - -,g2f2
3q1r1k/r4pbp/2Pp2p1/p3p3/1p2P2P/1P1QN1PB/P4P2/5RK1 b - -,a7c7
r1bq1rk1/1p2nppp/p1n1p3/3pP3/3N1P2/5N2/PPPQ2PP/2KR1B1R b - -,c8d7
Q4k2/4b2p/6p1/2qB1p2/2P5/4P1P1/5P1P/6K1 b - -,f8g7
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PPP3/2N1BN2/PP3PPP/R2QKB1R w KQ d6,e4e5
1r2r1k1/2qbbppp/ppnppn2/8/P3PP2/1NN1BB2/1PP3PP/R3QR1K w - -,g2g4
rn2k2r/1pqb1pp1/p3p2p/3NP3/P2N2Pb/3B4/1PP1Q2P/R1B1K2R w KQkq -,e1d1
4r2k/1p1r1qp1/p2P1n2/4BP2/1P6/P4Q1P/4R1RK/8 w - -,e5f6
r2r2k1/p1qn1ppp/4pn2/2b5/B4N2/P3PP2/1B3P1P/R2Q1RK1 w - -,d1e2
7k/1q2br1p/2p2N2/4Pb2/1PQ5/2B5/5PPP/R5K1 b - -,f5g6
r1q3k1/3bbpp1/pr1p1n1p/2pPp3/4P3/RPN1B2P/2PNQPP1/R5K1 w - -,g1h2:d2c4
2Rnk1r1/pr1qb3/1p2p1p1/3pP1Pp/3N1P1P/4B3/PP2Q3/1KR5 w - -,f4f5
8/p5k1/8/2K1q3/2Qn4/7P/PP6/5R2 w - -,c5b4
r1bq1rk1/pp1n1ppp/2pb1n2/4p3/2BP4/2N1PN1P/PPQ2PP1/R1B2RK1 b - -,d8e7:h7h6:e5d4:f8e8
r2qk2r/ppp2pbp/2np1np1/4pb2/2PP4/2N1PN2/PP2BPPP/R1BQ1RK1 w kq -,a2a3
8/5K1B/1r6/3n3R/3k4/8/1p6/8 w - -,h5h4
r1b1r1k1/1pq1ppbp/6p1/2Pn1n2/p1N5/2PB4/PP1BQPPP/1R2RNK1 b - -,c7c5
rn1q1rk1/pbpn1pbp/1p2p1p1/3pN3/2PP1B2/1PN3P1/P3PPBP/R2Q1RK1 b - -,b8c6
6r1/8/P7/1R3p2/5k1p/7P/KPP5/8 w - -,a6a7
r3kb1r/ppp2ppp/2nq1n2/1N2p2b/3P1B2/3B1P2/PPP1N1PP/R2QK2R b KQkq -,d6e7
8/5p1p/8/6p1/kp2P3/2b2P1P/2K5/2N5 b - -,a4b5
r4rk1/1bp1bppp/4pn2/1p1q2B1/pn1P4/4PNP1/P1QN1PBP/R4RK1 w - -,c2b1
4r1k1/5q2/Q5pB/4n3/8/6PP/P3PP2/5RK1 w - -,h6f4
2r2rk1/1p1bbpp1/1qpn1n1p/p2pN3/P2PPN2/3B1PBP/1PQ3P1/3R1RK1 w - -,g3f2
8/5pk1/6p1/4p1P1/7p/2Q2KbP/8/5r2 w - -,f3e4
6k1/4rpp1/7p/p3q3/1n1pPQ1P/1PrP2P1/4B3/1RR3K1 b - -,e5c5
6k1/pp2rpp1/2prQ2p/5R2/PP1Pp3/4P3/6PP/5RK1 b - -,d6e6
8/P5k1/5p2/7p/6p1/3K2P1/4Q2P/5q2 b - -,f1b1
6k1/p4pp1/3B2n1/1p6/1P2P1pP/P3P1K1/8/8 b - -,g6f8
r1b1k2r/pp1n1ppp/5n2/q1Pp2B1/1b6/1QN2N2/PP2PPPP/R3KB1R w KQkq -,a2a3
r4rk1/pb1nqpbp/1p1p1np1/2P1p3/2P1P3/1PN2NP1/P1Q2PBP/R1BR2K1 b - -,d7c5
8/k7/2p5/2Np4/PR6/3KP3/r7/8 w - -,b4b7
8/2K1R3/1P4k1/8/8/2r5/8/8 w - -,c7b8
8/3k4/1p2p3/p3b3/2P1P3/PP2KNr1/5R2/8 b - -,e5d6
6k1/p1q2pp1/6rp/2pr4/4p1b1/P3P3/1BR2PP1/1R3NQK w - -,f1g3
8/5pk1/4p2p/p2nP1pP/1p1q4/1P1N2P1/P3QP1K/8 b - -,d5c3
r2qk1nr/1pp2pp1/p1pb2b1/4P2p/6P1/5N1P/PPPP1P2/RNBQ1RK1 b kq -,h5g4
r4n2/pB1rkppp/1p2pn2/8/3p1P2/2N3P1/PPPR3P/2K1R3 w - -,b7a8
r3rbk1/p1pn1pp1/2p1bq1p/8/2P5/P2B1N1P/1PQB1PP1/R3R1K1 b - -,e6h3
1k5r/2bB2p1/6p1/2R1PpP1/1p1P3n/3nK3/1P2N2P/R7 b - -,d3c5
2r1b1k1/R3qpbp/2p1p1p1/1p6/3PNP2/3BP3/1P4PP/6K1 w - -,a7e7
6k1/pp3pb1/2p1p3/7P/5PNq/2P5/PP2Q3/1K6 b - f3,g8h8
6r1/2r2pk1/p3p1pp/1p2P3/8/1N6/PK3BPP/3R4 b - -,g8c8
4kr1r/pp1bb1p1/1q2p3/nP1pPn1p/3P4/P2B1N2/1B1Q1P1P/RN2K1R1 w Q -,d2c3
3rr1k1/pp3pp1/2p4p/2q3Pn/2BpP2P/1P3P2/1PP4Q/1K1R3R b - -,b7b5
4r1k1/2Bp1pp1/p1q5/1pb2P1p/4b3/2P3Q1/PP2R1PP/5R1K b - -,a6a5
2q3k1/5pbp/p3rnp1/1PBp4/P7/3B1P2/5QPP/1R4K1 b - -,a6b5
2kr1b1r/1bq2p1p/pn1p4/3P1N2/1p3PPP/5Q2/PPP5/1K1R1B1R w - -,h1h2
2r5/2P2k2/1P3p2/pP2pP2/P3P2p/6p1/6PP/6K1 w - -,h2g3
8/1p5p/p5p1/P2pk1P1/1Pb4P/2P1K3/8/2N5 w - -,c1d3
r3k2r/1b3pp1/p2p1n2/q1p1pP1p/N1P1P3/4Q3/PPB3PP/R4R1K w kq -,a1d1
5r1k/p5pp/1p6/5q2/P2R1p1b/1QB5/1P3PPP/6K1 w - -,b3d1
r2q1rk1/1p1n1p1p/1np3p1/p3b3/P3P3/1BN1BQ1P/1P3PP1/R4RK1 w - -,f3e2
2r2k2/5pp1/4b2p/pBn1N3/P7/2R1P2P/1r3PP1/3R2K1 b - -,f7f6
1krq3r/1p2pp2/p2p1npP/3P2Q1/2P4P/3B1P2/PP6/1K1R3R w - -,d1e1
8/5b2/8/8/8/2K5/3R4/k7 w - -,d2f2
3r2k1/1b1nbp1p/p2qpnp1/1p2N3/5P2/1P2P3/PB2QNPP/1BR3K1 b - -,d6b6
r4rk1/1p1q2pp/p2p1b2/3P1p2/b1N1nP2/3B4/1PP4P/R2QR1BK b - -,f6d8
2b1rrk1/1p3p1p/p1p2np1/4P3/5P1q/1P1N1QNP/1P4P1/4RRK1 b - -,f6d5
2n2bk1/3q1p1p/1p2p1p1/p2p4/3P4/Q3P1P1/PP3P1P/4BBK1 w - -,a3b3
r1b1r1k1/1pq1p1bp/2pp1np1/p1nP1p2/2PN4/1PN3P1/PBQ1PPBP/3R1RK1 b - -,c8d7
6k1/1pr1npp1/7p/1R2P3/5PP1/8/4N1KP/8 b - -,g7g6
8/pp2k1p1/2p2p2/3p4/3P1n2/1PP1KPP1/P7/8 w - -,e3f4
1Nr5/6pk/3P1p2/8/6b1/P2R4/7P/6K1 w - -,d6d7
3q4/p4pk1/1p1bp2p/3p4/1P1Pp3/P3PPP1/2QN2KP/8 b - -,e4f3
8/r5kp/8/p6R/P1N2PP1/1P3K2/8/4b3 w - -,h5b5
q2r1nk1/2r2pb1/ppbNp1p1/3n2Np/3P3P/P5Q1/1B3PP1/2R1RBK1 b - h3,a8b8
r1b2r2/1p1n2bk/p2Bpq1p/5p2/3P4/2N2N2/PP1Q1PPP/R4RK1 b - -,f8g8
rn1qkb1r/1b3ppp/p2ppn2/1p6/3NPP2/1BN5/PPP3PP/R1BQ1RK1 b kq -,b5b4
r1b1kb1r/pp1n1ppp/2pp1n2/q3p3/2BPPP2/2N2N2/PPP3PP/R1BQ1RK1 b kq -,f8e7
r2q1rk1/1p1bppb1/p2p1n1p/6p1/2PQP3/2N2NB1/PP3PPP/R3R1K1 b - -,f6h5
5rk1/p4pbp/2NQ1np1/2p5/6P1/2N1q2P/Pr4B1/5R1K w - -,f1f3
k2r1r2/2n2pp1/B3p2p/p7/PN6/1R2P2P/6P1/2R3K1 b - -,d8d7
rnbqkb1r/pp2pp1p/2p2np1/3p4/3P1B2/2NQ1P2/PPP1P1PP/R3KBNR b KQkq -,f8g7
r4rk1/1ppbqp1n/n2p2p1/p2Pp3/2P1Pb1p/P1N2P2/1P2BBPP/1R1QRNK1 w - -,b2b4
2rk1br1/n4p2/2p4p/NpPpP3/1P1P1B1q/R7/2Q4P/5R1K b - -,c8c7
6rk/p1n4r/1p2p3/3pP3/3P2p1/2P3R1/PP4RP/2K1B3 w - -,e1d2
r7/pp5p/3bk2B/8/3Pp3/2P5/PP3R1P/6K1 b - -,a8g8
r2qr1k1/pp1nbppp/2p1b3/3n4/3P4/2NB1N2/PP1B1PPP/R2QR1K1 w - -,a1c1
3r2k1/1p2bpp1/pqb1pn1p/8/P2R3B/2N1P2P/1P2QPP1/1B4K1 w - -,d4d8
2Rr2k1/1p3p2/4pbpp/p2r4/3Pp1q1/4P1P1/PP3P1P/2R1BQK1 w - -,c8d8
rnbqkb1r/pp1p1ppn/4p2p/2pPP3/8/8/PPP2PPP/RNBQKBNR b KQkq -,e6d5
r1b1k2r/pp1nq1b1/2ppp1pp/5p2/2PP1P1P/Q1N2N2/PP2BPP1/R3K2R w KQkq -,e1c1
2b1r1k1/R6p/3p2p1/1p2bp2/4q3/1NP5/1P3BPP/3Q2K1 b - -,c8b7
r2qkb1r/1ppn1p2/p1n1p1p1/3p2Pp/3P1B1P/2NQPP2/PPP1N3/2KR3R w kq -,e3e4
r7/6Q1/ppk5/2qp4/P7/3B2P1/2P4K/8 w - -,h2h3
1r2rbk1/pp3p1p/1n4p1/1RpPp3/q1P5/4B1PP/P2Q1P2/2R2BK1 b - -,b6c8
2r3k1/2r1ppbp/p5p1/3b4/2pP1B2/4PP2/P1R3PP/2R3K1 b - -,e7e5
1rr5/3b4/5kp1/1pnPppp1/p1p1P3/B1P1KP1P/1R2B1P1/5R2 w - -,f1b1
r4r1k/pppb1qNp/2np4/4n1p1/4Pp2/1PN3PP/PBP2PB1/R2Q1R1K b - -,f7g7
6k1/2p5/2K4p/2P5/R2P4/7r/8/8 w - -,c6c7
r2q1rk1/1p3n1p/p3Q1p1/4b3/1B4P1/7P/PP3PB1/R3R1K1 b - -,f8e8
r4rk1/2p4p/3p2pb/q1PPp3/4N3/3Q1PP1/2R2RKP/8 b - -,f8d8
3rr1k1/1pqn1p1p/p1pp1bp1/P7/4PP2/2N4P/1PPQB1P1/R2R2K1 w - -,d2d6
r3kb1r/pp3ppp/2n1pn2/2pq4/3P2b1/2P1BN2/PP2BPPP/RN1Q1RK1 b kq -,c5d4
8/4r3/3R4/8/8/2p5/3k1K2/8 b - -,d2c1
2r3k1/7p/R3Nppb/Bp1r4/2p5/P2b3P/1P3PP1/3R2K1 w - -,a5c3
4r1k1/1p1R1p1p/1Bp1p1nb/4P3/1qP2P2/1P2Q2P/6B1/6K1 b - -,h6f4
k5rr/1pq1b3/p3p2p/P2pP2b/2pPpB1P/2P3P1/2P2Q2/R3RB1K w - -,f1h3
5k2/2R3p1/5p1p/5Pn1/6P1/8/7K/8 w - -,h2g3
8/7p/1n6/8/1Pp1k3/P1N3P1/3K1P1P/8 b - -,e4f3
6k1/R7/6p1/3pK3/p4PP1/Pb6/8/8 b - -,b3d1
r3kn1r/3np1bp/p2qp1p1/1ppp2N1/3P1P2/2N4Q/PPPB2PP/2KRR3 b kq -,c5d4
rnbqk2r/ppp1bppp/4pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,f1d3:c2c3:h2h3:c2c4:b1d2
7k/1p1b3p/5r2/p2p4/Pr1b3N/1P6/2BQ1P1P/4R1K1 w - -,e1e7
8/p2q1r1k/1pn4p/1RP4Q/6r1/2B1p1P1/P1P1pP2/4R1K1 b - -,c6e5
r1b2rk1/ppp2q2/2n5/b2pP1pp/Q2P4/P1N5/1P2N1PP/2R1KB1R w K -,e1d1
1r4k1/3q1pb1/1Bp2npp/p1P1r3/P3p1P1/1QN1N2P/1P3PB1/3R2K1 b - -,d7e7
2r2bk1/2Br1p1p/1pRP2p1/pP6/8/4P3/5PPP/R5K1 w - -,c6b6
r2q1rk1/1pn1ppbp/2p1b1p1/p7/Pn1PP3/2N1BN1P/1P2BPP1/R2Q1RK1 b - -,h7h6
1rb2rk1/p2nppbp/q2p2p1/1p1P4/2nBP3/5NPP/PP1N1PB1/R2QR1K1 w - -,d4g7
8/1p2k3/2pb3p/4K3/2P2P2/1P5P/8/3B4 w - -,e5e4
r5k1/2p5/p3p1p1/1b1p4/1P1Pr3/2P1R3/2N3PP/R5K1 b - -,e4e3
r2q1rk1/pBp3b1/3pb1pp/4pn2/1PP5/2N5/P4PPP/R1BQR1K1 b - -,e6c4
1qrr1bk1/1b1n1ppp/BP2p3/2p5/N3P3/5PB1/6PP/1RR1Q1K1 b - -,b8a8
8/6pk/7p/P2Q4/5q2/6PP/7K/8 b - -,f4a4
5rk1/ppp1r1b1/3p1qb1/PP1P1np1/3PppBp/4P2P/R3QPPB/2R2NK1 b - -,f6f7
5B2/8/6N1/2pK2P1/P2b4/2kb4/8/8 b - -,d3g6
8/8/5k2/3b3P/p5P1/P2p1NK1/8/8 w - -,g3f4
3r1rk1/pp3pp1/2pbpnp1/1n6/1PRP4/PN4P1/1B2PPBP/4R1K1 w - -,b3a5
r2qnrk1/p3b1pp/1pp1b3/5p2/3PN3/2PBQ1B1/PP4PP/R4RK1 w - -,e4c5
r1bq1rk1/1p2bppp/p2ppn2/8/P2NP3/1nN1BP2/1PP3PP/R2Q1RK1 w - -,d4b3
2k1r1r1/p1p2p2/1p2q2p/3pPp1P/2nP1P1B/P1PQ2R1/2P4K/R7 b - -,g8g3
r4rk1/ppq1bppp/4bn2/1Pp1p3/P1B1P3/2N5/2P2PPP/R1BQR1K1 w - -,d1e2
8/4kp1p/2pq2p1/pp4P1/P5QP/2P1P3/5PK1/8 b - -,d6d5
r2qnrk1/pp3ppp/4p3/2B1P3/2p3Q1/P1P3P1/2P2PBP/5RK1 b - -,d8c7
2r1n3/3B1k1p/1R2p1p1/3pPp2/p2B1P2/4P1P1/1P2n2P/6K1 w - -,g1f1
5r1k/p4q1p/1b2Rp2/1p3B1Q/6P1/8/P4P2/6K1 b - -,f7h5
8/R7/2p1kp2/2B1pn2/p1P1P3/P7/5rPK/8 b - -,f2c2
r4rk1/pp3pp1/2p1bq1p/2Q5/1R6/4PB2/PP3PPP/R5K1 b - -,f8b8
4k3/7R/4p3/2K1B2P/1p3P1r/1P6/2n5/8 b - -,h4h3
1r5k/2R5/2b1p2p/3pP2N/2nP3P/2P2N2/r5P1/6K1 b - -,c4e3
2rq1r1k/pppbp1b1/1n1p4/B2P1pp1/3P1P2/1Q2P1P1/PP1N2B1/2R2RK1 b - f3,g5g4
r4r1k/1pp1q1b1/4p2p/pPn2p2/2QN2pP/4P1P1/P3N1P1/3R1RK1 b - -,g7e5
4r1k1/5p2/p1rpqBp1/1p1RPn1p/5P2/P1P3P1/1P3Q1P/3R2K1 b - -,d6e5
2k5/ppb2p2/2p3pp/8/3NrPK1/2P3P1/PP1r3P/R6R b - -,e4e3
3r1rk1/1pp1qpp1/1p1p1nnp/8/4P3/1P1P1QBP/1PP3PN/4RRK1 b - -,g6e5
2r3k1/1b2rpp1/pq3n1p/2ppN3/5Q2/1P2P3/P1R1BPPP/3R2K1 w - -,e2f3
r1bqk1nr/pp1p1pbp/4p1p1/2p1P3/2Bn1P2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,d7d5
4rrk1/5nbp/1q2p1p1/ppppp2n/3PP1N1/BPP2NPP/P3QPK1/2R1R3 b - -,e5d4
