8/2R4P/7r/2P5/4pk2/8/6K1/8 b - -,e4e3
r2q1rk1/1p2bn1p/p1b1npp1/3p4/3PP3/1QNB1N2/PB3PPP/R4RK1 b - -,e6f4
8/1p3k1p/p5p1/4Rr2/3P1P2/6B1/P1q1Q1K1/8 b - -,c2c6
5rk1/r1q3p1/2p2b1p/p1Pp1p2/1P2n3/P2Q1NP1/1BP2P1P/R3R1K1 w - -,f3d4
r1bq1rk1/p4ppp/1p4n1/3p2N1/3P4/P1NQ4/1P3PPP/3RR1K1 w - -,d3g3
2b1r1k1/1p3pb1/3p2p1/1Pp5/2P1N1n1/4N2p/r3PPB1/2BR1RK1 w - -,g2f3
1rbqr1k1/1pp2pb1/p2p1n1p/3Pp1p1/2Pn4/1PN2NPP/P2BPPB1/2RQ1RK1 w - -,f3e1
2r3k1/1p3rp1/p2bpn1p/q2pn3/1P6/P1N1P1P1/1BQ2PBP/3R1RK1 b - -,a5d8
3r4/1p1r1pbk/1q1pb2p/pNn5/P1P1PBP1/1P2Q2P/3R2B1/3R2K1 b - -,b6a6
8/1p2pk1p/3p2p1/5p2/P2B1P1P/1P2n1P1/3Q1K2/1q6 b - -,e3g4
8/5p2/pR6/3b1k1p/8/P2rB3/1P3P2/6K1 w - -,b6b4
rnbqkb1r/pp1ppp1p/5np1/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq c6,d4c5:g2g3:e2e3:b1c3:d4d5
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq d3,d5c4:f8e7
2r1r2k/p1qb1pp1/2p4p/4bB2/8/1P3NP1/P1Q2P1P/2R1R1K1 b - -,d7f5
8/1pprrpkp/3p2p1/p2P4/4P3/1P2KP2/P1R3PP/2R5 b - -,f7f5
Q1bq1rk1/p4pbp/4p1p1/6N1/8/8/PP2nPPP/R1B2R1K b - -,e2c1
1R1b2k1/p3rp2/q1p4p/2PrN1p1/3P4/4P1P1/P1Q3K1/5R2 b - -,e7e5
4R3/8/5k2/6p1/P4p2/8/1pB2K2/2r5 w - -,c2h7
8/R2p3p/4k1p1/2p4r/8/1P4K1/P4P1P/8 b - -,h5d5
r2q1rk1/p1n1bppp/3p1n2/2pP1b2/2B5/2N5/PPQ2PPP/R1B2RK1 w - -,c2f5
r2qk2r/1p2bp2/2n1p1pp/PN1pP3/3P1P2/1P1Q4/3B2PP/R1R3K1 b k -,e8f8
3k1r2/4R3/Qp4p1/p1qp1b1p/P4P1P/2P5/1r1B2PK/4R3 b - -,b2d2
3rr1k1/5pp1/4bqn1/1p1pp3/7p/1BPP2PP/1P2QP1K/R4RN1 b - -,d5d4
8/3rPK2/p1r4p/8/1k6/8/2R1R3/8 b - -,c6c2
4r1k1/5pp1/3Bpnp1/p7/6P1/1Pq1P2P/P2Q1P2/3R2K1 b - -,f6e4
1r1q1r1k/1p1bp1bp/2np4/p1p2p2/2Pn1P2/PPNP2PP/3QN1BK/1R3RB1 b - -,d4e2
r1b2rk1/pp1pppbp/1q4pn/8/3n3P/N1P3P1/PP2PPB1/R1BQ1RK1 w - -,c3d4
r1bq1rk1/pp1p1ppp/2n1pn2/2b5/2PN4/P1N1P3/1P3PPP/R1BQKB1R w KQ -,f1e2
r2q1rk1/pp3ppp/2pp1bb1/3PnN2/3B2PP/2P3Q1/P1P1BP2/R3K2R b KQ -,g6f5
3r2k1/1bpr2pp/1p1q4/p2P4/P2R4/1PQ3PB/7P/3R2K1 b - -,d7e7
r1b1k2r/ppq2ppp/2Nbp3/3p3n/3P1B2/3BP3/PPQ2PPP/RN2K2R b KQkq -,h5f4
5r1k/1p3r2/p1pq4/P3p1pp/2Q2p2/3P1PP1/1P2P1KP/2R3R1 w - -,g2h1
2r2rk1/1bb1q1pp/2p1pn2/1pPpNp2/pP1P4/P2BPP2/1BQ3PP/3R1RK1 b - -,g7g6
r1bqkb1r/1p1n1ppp/p3pn2/1B2N3/3Q4/2P5/PP3PPP/RNB1K2R w KQkq -,e5d7
4r1k1/Q4pp1/5q2/7p/8/P2r3P/5N2/1R4K1 w - -,f2d3
r1b1k2r/2q1bppp/p1npp3/1pn3P1/3NPP1P/2N1B3/PPPQ4/2KR1B1R w kq -,d4c6
2kr3r/pppq1ppp/2nb4/3p4/P2P4/2P1QN1P/1P1N1PP1/R4RK1 b - -,f7f5
6k1/p3pp2/1p4pp/4P3/q1r2n2/B4R1P/1Q3PP1/6K1 w - -,g1h2
r5k1/2p3b1/1p1p3p/3qPN2/5p2/5pPn/1BQ1P1KP/2R5 w - -,e2f3
rn1qkbnr/1b3ppp/p2pp3/1pp5/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 b kq -,b8d7
r7/1p3k1p/p2p4/3P1p2/2P1p2R/4b3/PP1K1P2/8 w - -,d2e3
4r1k1/5nbp/4bpp1/pp1Np3/2r1P3/P4P1P/1BPR2P1/3RN1K1 w - -,d2d3
3rrbk1/nq4pp/Qp2bp2/2pnp3/2N1N3/2PP2P1/1P3P1P/R1B1RBK1 b - -,b7a6
8/5k2/3Bn3/p1pp2p1/1p6/P1P1K3/7P/2N5 w - -,c3b4
4r3/k7/5p2/1Q6/P2P1P2/1P4P1/5K1P/4r3 w - -,b5a5
8/3r1pk1/5np1/2pqp2p/3b4/P5NP/3Q1PP1/2B1R1K1 b - -,g7g8
8/5pk1/R5p1/p6p/4P2P/6P1/5PK1/r7 b - e3,a5a4
5r2/6bk/1P1p3p/2pPnq2/4p3/1Q5P/R4P1N/5BK1 b - -,f5g5
r4bk1/5p2/p1N1pp1p/8/2p5/5P2/PPP3PP/R4K2 w - -,a1d1
2rqnrk1/pb1n1ppp/1pp1p3/3pP3/1bPP4/1P3NP1/PBQN1PBP/R4RK1 b - -,b4e7
r1bqkb1r/pp1p1ppp/2n1pn2/8/3N4/6P1/PPP1PPBP/RNBQ1RK1 b kq -,d8b6:f8e7:d7d5:f8c5
8/2N5/2bp4/8/6kP/1K4P1/8/8 b - -,g4g3
6k1/p7/1r2p1p1/2p2r1p/8/1PB1P3/P1NP4/5RK1 w - -,e3e4
r1bq1rk1/ppp1npb1/3p2pp/3Pp3/1PP1Pn2/2N5/P2NBPPP/R1BQR1K1 w - -,e2f1
r4rk1/1bq1ppbp/3p2p1/2nPn3/3BP3/1PN3P1/2NQ1PBP/1R3RK1 w - -,f2f4
r4rk1/ppq1npp1/2p4p/8/2NPP3/2Q2P2/P5PP/1R3RK1 w - -,f1d1
6k1/7p/6b1/2R3p1/r3P3/6P1/P5BP/6K1 b - -,h7h6
2n5/6bk/qp3rpp/p1p1p3/P1P1P3/2PR1PPB/5B2/3Q2K1 b - -,c8e7
6k1/5p2/1b2p1pp/4Q3/7P/P1p2PP1/3r4/2K5 w - -,e5c3
rbb1r1k1/1pqn1ppp/8/p1p2N2/P1PpPP2/1N4PP/1PQ3B1/R3R1K1 b - f3,g7g6
r4rk1/p2nqppp/2pb4/2n1p3/2b1P3/1PN1BN1P/P3QPP1/R3R1K1 w - -,e2c4
1k2r3/ppq2pp1/8/2b3P1/2n5/2B2Q2/PPP2P2/1KN1R3 b - -,e8e1
r5k1/pb1nb1pp/1pp5/8/2PP1q2/8/PPQ2PBP/1K1R3R w - -,h1e1
8/8/1r3p2/2Nk2pp/8/1P1KB1P1/7P/8 b - -,h5h4
1n3k2/1b2bpp1/pp1np2p/3p4/3P4/PP3PP1/1BN1P1BP/2N1K3 b - -,b8c6
4B3/6p1/5k1p/p1pb1p1P/4pK2/P3P3/1P3PP1/8 w - -,e8d7
r3qrk1/pp2bp1p/n5p1/1Q1RP3/2p5/P4N2/1P3PPP/2K2B1R w - -,c1b1
5qk1/6pp/1r6/3P4/2PQ4/1P3P2/6PP/3B2K1 b - -,f8b4
1r1q1rk1/3bbp1p/pn4p1/1p2N3/3PB3/P1N2Q2/1P3PPP/R3R1K1 b - -,e7d6
r1b2r2/ppp1k1pp/2np1nq1/2b1p1N1/4P3/1BNP3P/PPP2PP1/R1BQ1RK1 b - -,h7h6
2r3k1/p4p2/1p1Rp3/6p1/1PP5/PQ2PqP1/7P/6K1 b - -,f3e2
r1bq1rk1/pp2bppB/8/3p4/3n1N2/P7/1P3PPP/R1BQ1RK1 b - -,g8h7
1n6/4ppk1/3p2pp/3P4/2q1P3/2Nn3P/P1Q1NPP1/6K1 w - -,e2c1
rn1qkbnr/pb2pppp/1p1p4/2p5/2P1P3/2N2N2/PP1P1PPP/R1BQKB1R w KQkq -,g2g3:d2d4:d2d3
r3kb1r/pp2p1pp/1qn2p2/3b4/1p1P3B/4P3/P2N1PPP/R2QKB1R w KQkq -,d1g4
r5k1/pp4pp/2q5/3p4/3P1r2/1QP2bP1/P2n2BP/R4RK1 w - -,b3c2
8/8/1PP1k3/3n2p1/3PK1P1/8/8/8 b - -,d5b6
5k2/8/P5R1/7K/r6P/8/8/8 w - -,g6b6
1r4r1/q1kn4/5p1p/2p1pP2/2P1Q3/2B4P/4B2K/3R4 b - -,c7c8
1r2r1k1/R5bp/1n1pb1p1/5pP1/8/7P/P2N1BNK/5R2 b - -,b6c8
2r3k1/R1P3p1/4br1p/4Np2/1q3P2/7P/p4QPK/3R4 b - -,f6f8
r1b2rk1/ppp2pp1/2n1pq1p/3p4/Q1PP4/2b1PN2/PP2BPPP/R3K2R w KQ -,b2c3
r1bqr1k1/pp3ppp/1n3n2/2Pp4/P7/1QPBP3/4NPPP/R1B2RK1 b - -,b6d7
3r1rk1/1p2bppp/p1n5/3P4/P1p2B1q/2Nn3B/1P2N2K/R2Q1R2 b - -,d3f2
r3kb1r/p4ppp/bqp1pn2/3P4/8/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,e6d5
6k1/3b1ppp/1p1qpn2/1P1p4/P2Q4/6P1/3NPP1P/5BK1 w - -,f2f4
r1b1k2r/pp2qp1p/2n1p3/2bp3Q/6p1/2N1P2P/PPP2P2/2KR1BNR w kq -,h3g4
8/8/8/5K2/8/8/4q1p1/1Q3k2 b - -,f1f2:e2e1
3r1rk1/n1q2p1p/p2p1RpP/4n1P1/1Q2P3/1P4B1/P1P3B1/5R1K b - -,c7c2
8/8/8/7N/6r1/5k1K/8/8 b - -,g4g1:g4a4
5r2/1p1k3p/p3n1p1/8/8/2P1RpKP/PP3P2/8 w - -,e3d3
1r1q1rnk/1pp1n1pp/p2p1N2/P3pb2/2B5/2PPBN1P/1P3PP1/R2QR1K1 b - -,g8f6
8/3k2p1/1n1p4/2p5/2P1BPP1/1K6/P7/8 b - -,d7c7
1R6/8/1n1kp3/pp3p2/3P4/2P1K3/P5P1/8 b - -,d6c7
r3q1k1/pp5p/1n1P3b/1Pp3pn/2P1N1b1/PQ2p1P1/1B2P1BP/5RK1 w - -,b3c3
1k5r/ppr1q1p1/4p3/2pp3p/1b4nP/1Q1P1NP1/PR2PPB1/1R4K1 w - -,f3g5
r4rk1/4bpp1/q1n1pn1p/pp1p4/2pP1B2/P1P1PN1P/1PQN1PP1/R4RK1 b - -,a6b7
4r1k1/2q2pp1/2p1bnp1/p2p4/P2P4/2PB2NP/3Q1PP1/1R4K1 w - -,g3e2
rnb2rk1/1pq1npbp/2p3p1/3pp3/1p2P3/3P1NP1/PBPN1PBP/R2QR1K1 w - -,e4d5
2r2r1k/1q2b1np/p3p1p1/1b1pP3/1p1N1PP1/4BR1P/PP1Q4/1B3RK1 w - -,f1f2
4bk2/5p2/4qB2/8/p4Q2/P4P1P/6PK/8 b - -,e8b5
r1b1k2r/pp1nbppp/1qp1p3/8/3PP3/2N1QN2/PPP3PP/2KR1B1R w kq -,e3f4
r2r2k1/1p1nqpbp/2p1p1p1/p1Pp4/1P4n1/P2P1NP1/1BQ1PPBP/R3R1K1 w - -,d3d4
8/1p1N4/p7/6kp/1P6/3b1K2/1P6/8 b - -,g5f5
8/1b2r3/3k4/Rp1p2p1/P1p5/2P2B2/3K2P1/8 w - -,a5b5
6k1/1p1npp2/p2p2p1/3P3p/PP6/1Bb1BPP1/3QK2P/q7 w - -,d2c1
2r3k1/4bpp1/pq1p3p/1p2pP2/2r1P1P1/5Q2/PPP3RP/1KNR4 w - -,d1d5
8/7k/p7/P7/1P1Q1PK1/7P/q7/8 w - -,f4f5
4k2r/5ppp/p2np3/2p5/Pp6/6P1/1P1NPP1P/2R3K1 b k -,d6b7
8/k1R5/1p1N3p/pP2p2p/n2r4/5P2/6P1/6K1 b - -,a7b8
1r4k1/1p1qb1pp/p1npB3/2p1pr2/P7/1P1P1N1P/1BPQRPPK/R7 b - -,d7e6
6k1/1q3pbp/2Np2B1/p1rP4/1p6/2P2QP1/PP5P/3R1K2 b - -,h7g6
r2q1rk1/pb2bp1p/n2p1np1/1ppP2N1/4PP2/2N3P1/PPQ3BP/R1B2RK1 b - e3,f6d7
r5k1/1bqn1ppp/2pN1n2/2Pp4/1P2p3/2B1P3/2Q1BPPP/1R4K1 b - -,f6e8
6k1/1p2rpbp/p1np2p1/1Qpq4/8/2P2N1P/PPN2PP1/R5K1 w - -,b5b6
4r2k/pp3rbp/2pR2n1/2P1p3/1P2Pp1q/P1Q2P2/1B3P2/2NR1K2 w - -,f1e2
8/r5pk/1Np4p/8/4pP2/3bP1R1/1Q3K1q/8 w - -,g3g2
8/6p1/4kp1p/2r2p1P/5P2/1P1R4/1K4P1/8 b - -,c5b5
r4rk1/5ppp/p7/1p6/1n3P1N/P1R1Pb2/1P5P/6RK w - -,h4f3
r1bq1rk1/pp2b1pp/2p1p3/3nBp2/2NP2P1/2PBP2P/P1Q2P2/R3K2R b KQ -,b7b5
1r4k1/1p3p2/pQ2p1p1/8/1P2p1N1/6PP/P4PB1/2q3K1 w - -,g1h2
8/p1r2k1p/3R2p1/8/2P5/1P6/P4P2/6K1 b - -,f7g7
3rr1k1/pp2p1bp/2p1b1p1/4NpB1/2PPpP2/1P2P2P/1P4P1/2RR2K1 w - -,b3b4
5b2/5p2/4r1kp/1R2P1p1/3N1p2/7P/5PP1/6K1 b - -,e6a6
r3r1k1/ppp3pp/1n3p2/4p1B1/8/PPP3PP/2P1RP2/3R2K1 w - -,g5e3
r2q2k1/p1pp2Pp/b1p5/5r2/3Q4/2N1B3/PPP2PPP/R5K1 b - -,d8e7
3nr3/pr1bpkb1/2pp4/5pNp/3P1P2/1P2B2P/P2RNKP1/2R5 b - -,f7g6
2r5/8/3pk2p/p3pbp1/8/1P1nR3/PK1BR1PP/8 w - -,b2a3
2r2rk1/1q3pbp/p1bpp1pB/1p1N4/4P3/2P2P2/PP1Q2PP/3R1RK1 w - -,h6g7
1rb3k1/pp2R1bp/8/2Nr1p2/P2p1Pp1/3P4/1BP2P1P/R5K1 w - -,e7e8
8/4k3/p3P3/6RP/4NPn1/3K4/6r1/8 b - -,e7e6
8/2b5/2b5/4k3/8/2NK4/8/8 b - -,c7a5
r6k/p7/2pq3p/3p1Q2/8/2N4P/PPP2PPb/4R2K b - -,a8f8
8/p2r4/1b4k1/1Pp1p1p1/2P1Pp1p/3P1P1P/R4K2/3R4 w - -,f2e2
5r2/2p3bp/b2k4/p2p4/Pp1P4/1BPR1pP1/1P3P1P/1K2R3 w - -,d3e3
r2r2k1/1b3p2/p3p1pp/4q3/Pp1bP1Q1/3B2NP/1PR2PP1/3R2K1 w - -,g1h2
8/6r1/4pp2/Rp6/2pBbk2/P1P5/2P4P/5K2 w - -,d4f6
2rq1rk1/pb2bpp1/1p2p2p/3nN3/2BPN3/P5P1/1P2QPP1/R2R2K1 b - -,c8c7
2Q5/pp3qb1/6k1/3p1p1p/3P1Pp1/1P4P1/PB3K1P/8 w - -,c8d8
8/2r1kp2/1p1Nb3/1P2p2p/1KP2prP/6P1/3R1P2/R7 b - -,f4g3
8/4p2k/4P3/P1p1p3/4Pp2/1r6/6PP/R6K b - -,c5c4
5k2/3b1p1p/Np1q1bp1/p2p4/3N4/P2QP2P/1P2KPP1/8 b - -,b6b5
2kb4/1p6/2p5/p1P2p2/P4P2/2N1r3/1P3K2/3R1b2 b - -,e3c3
1r6/1b6/2p4r/3pkpp1/BP1Rp3/4P1P1/PK3P2/2R5 w - -,d4d2
2rq1rk1/3bbppp/p1np1n2/1pp1p3/4P3/P1PPBNNP/BP3PP1/R2QR1K1 b - -,f8e8
2r1r1k1/5pbp/p2qn1p1/Pp1p4/1P1P4/2R1NN2/3Q1PPP/5RK1 b - -,c8c3
r1b2r2/pp1nqpbk/2p3pp/4p2n/2P1P3/2N1B2P/PP1QBPPN/R2R2K1 b - -,h5f4
r2qkb1r/pp1b1ppp/1n2p3/1B2P3/1n3P2/2N5/PP2Q1PP/R1B1K1NR w KQkq -,c1e3
r3k2r/ppq1bpp1/1np1p1p1/3p2Pn/2PP4/1Q2PN1P/PP1B1PB1/R3K2R w KQkq -,c4d5
8/7p/2K5/8/4k3/4b2P/5B2/8 b - -,e3f2
1rb1k2r/1q1n4/4p1pp/p1bpP3/1PPR1QPP/5N2/1P4B1/2K1B2R b k -,c5b4
r1b1k2r/ppppnppp/5q2/2b1p3/2B1P3/3PB3/PPP1QPPP/RN2K2R b KQkq -,c5b6
2kr4/4pp1p/R1r3p1/8/4P3/7P/5PP1/R5K1 b - -,c6a6
3R4/5kpp/p1R5/2n5/2rN4/6PK/P2r3P/8 w - -,c6c7
2rqnrk1/pp2ppbp/3pb1p1/n3P3/2P5/2N1N3/PPQ1BPPP/R1BR2K1 w - -,e5d6
5r2/8/8/2pP1Bp1/5kP1/1P3pNr/5P2/4R1K1 b - -,h3g3
5qk1/p2b3p/2p5/2Ppb3/3Npr1p/R6P/PP2QPP1/3R2K1 b - -,f8c5
6k1/6Bp/2b1p3/3p4/1q6/R5PP/1nr2P2/Q4BK1 w - -,g7e5
b2r4/2n2pk1/6pp/3p4/5N1P/4PBP1/3R1P2/6K1 w - -,g3g4
1k1rr3/ppn5/1np2qp1/4bpN1/7P/P2RPB2/1PQ2P2/1KB4R w - -,d3d8
r1bqk2r/1p2bppp/p1n1p3/3n4/3P4/2NB1N2/PP3PPP/R1BQR1K1 b kq -,c6b4:d5c3
r2r2k1/1bqn1pb1/p3n1pp/P1p1p3/1pP1P3/3BBNPP/1P1NQP2/R4RK1 w - -,d2b3
5r1k/p5pp/8/1P3q2/P1R1p3/8/3Q1PPP/3R2K1 w - -,c4d4
1kb1R3/1p6/pP5p/P5n1/8/8/6PK/8 b - -,g5f7
8/2R5/5pp1/3Ppk1p/3r3P/5KP1/8/8 w - -,c7d7
2r2b2/8/4pk1p/R1P2p2/1p3P2/1N5P/6PK/8 b - -,c8c6
4r1kb/pp1b1r1p/4p1pB/q2nPp2/2pP4/2P2P1P/P1BQN1P1/2R2RK1 w - -,c2b1
5rk1/pq1np1bp/1pNp2p1/3P1p2/4PPB1/4B3/PP1Q2PP/2R3K1 b - -,f5g4
3b4/8/1pkr4/p3BPp1/2K3P1/8/8/1R6 b - -,d6d5
2n3k1/1p2b1pp/p3p3/1n1pPN2/bP1P1P2/P3BB2/3N2PP/5K2 b - -,e6f5
5bk1/p5p1/5B2/1p1b2Q1/4r3/1PP3P1/P3p3/4K3 b - -,d5f7
1r6/5p1p/2k1p1p1/p1NpP3/1rnP1P2/8/R5PP/R5K1 w - -,c5a6
r1bq1rk1/ppp1npbp/3p2p1/1B2n3/8/1PN1PN2/PBP2PPP/R2QK2R w KQ -,f3e5
r5k1/5p1p/b1p3p1/p3b3/Pp2P1P1/1B5P/1PPr4/2K1R2R w - -,c1d2
r2qk2r/1p1bbp2/2p1p2p/pn1nP1pQ/3PN3/P2B1NP1/1P1B1P1P/2R2RK1 b kq -,d8b6
r1b1r1k1/1p1nqpb1/2pp2p1/p1n4p/2PNPP2/1PN1B1PP/P1Q3B1/3RR1K1 b - f3,h5h4
3r1rk1/pp3pbp/2b3p1/2p5/3PQ3/1P6/PBP1BRPP/3R2K1 b - -,c6e4
rq4k1/p3p2p/6p1/3p3B/1pP5/4b2P/QP1N3N/R1B2R1K b - -,b8g3
2k4r/1bp1n3/p1n4p/1p3pp1/1Pq5/Q4NP1/P3PPBP/1R1N2K1 b - -,c4e2
1n2r1k1/p2q1pp1/b1p2n1p/Q1P1p3/4P3/4BNPP/5PB1/R5K1 w - -,f3h4
1rr4k/2qbbp1p/3p2p1/2nPpP2/1pp1P1QP/6N1/PPBB2P1/R3R1K1 b - -,c8g8
r1bqk1nr/1p1nppbp/p2p2p1/2p3B1/3PP3/2N2N2/PPPQ1PPP/2KR1B1R b kq -,c5d4
r2q1r2/p2n1pbk/bp1p1npp/2pP4/4P3/2N1B2P/PPBQNPP1/R4RK1 b - -,b6b5
8/8/8/1r2K3/2k2P2/8/8/8 w - -,e5e6
6k1/3p1p1p/3p1bp1/1p3n2/5B2/6PP/PP3PK1/4R3 w - -,e1e8
4k3/5pp1/4p1p1/R7/3P1P1P/1r2K1P1/8/8 w - -,e3f2
4r1k1/p5pp/1qp5/1p1p4/8/1PP2BPb/P1Q4P/6RK b - -,h3d7
3r1bk1/3r1ppp/q3p3/1bp1B1P1/1p2P2P/pP1P1P2/P2R4/Q2R1BK1 w - -,h4h5
5k2/pp3ppp/2p5/1n6/3r4/4NP2/1PK3PP/4R3 b - -,g7g6
1r3rk1/2pb1p1p/p1np1qp1/1p6/3PP3/1B3N2/PP1Q1PPP/R3R1K1 w - -,a1c1
8/1p6/p1b1p3/6p1/2P3Pp/P3NK1P/1P1k4/8 w - -,f3f2
8/2R4p/4k3/6K1/6P1/2P5/8/r7 b - -,a1c1
3r2k1/ppp3pp/8/8/2P5/5R2/Pr4PP/R6K b - -,b2a2
8/4k3/4p3/5pp1/P1Br4/5P2/1P6/1KR5 b - a3,d4f4
r2qrbk1/ppp2p1p/2b3p1/8/2BPn3/2P2Q2/PP3PPP/RNB2RK1 b - -,d8d7
k1b3rr/1p2bp2/p2pp3/4n1Pp/3NP1nP/1P4BN/1PPR2B1/4R2K b - -,f7f6
rn1qkb1r/ppp2ppp/1n2p3/3pP3/3P1Pb1/5NN1/PPP1B1PP/R1BQK2R b KQkq -,h7h5
r4q1k/1p3rR1/p3RP1p/7p/P4Q2/7P/1PP3PK/8 b - -,f7g7
r1bq1rk1/1p2npbp/4p1p1/8/4PP2/P1Pp2N1/P5PP/R1BBQRK1 b - -,d8c7
4k3/7R/1r4p1/p2KBp2/5P2/P7/3r3P/8 w - -,d5c4
2bqnrk1/1p2n1bp/3p2p1/r1pPpp2/P1P1P3/1NN3P1/5PBP/R1BQR1K1 b - -,a5a6
3r2k1/1p1r1qb1/p2p4/P1pP1ppP/1nN5/1P2P1B1/3R1PK1/3Q3R w - -,h5h6
8/3r4/R7/5k2/Pp3pp1/1P6/2P1K3/8 b - -,f4f3
2r1r1k1/1p2bppp/pq1pbnn1/5N2/4P3/2N3Q1/PPP1B1PP/2BR1R1K b - -,e6f5
r2qk2r/1b1n1pbp/p2pp1p1/6Pn/Pp1NP3/4BP2/1PPQN2P/R3KB1R b KQkq -,d6d5
