5k2/7R/r7/4KP2/8/8/8/8 w - -,e5f4
8/8/5k1p/1P6/5PP1/K6P/2Bpb3/8 b - -,e2b5
8/1b2k3/1p3p2/2rpn3/r1P2pPp/1P3P1P/P5B1/R4K1R w - -,b3a4
r5k1/pp2ppbp/4b1p1/8/2q1B3/5P2/PPP3PP/1KBQ3R w - -,c1e3
2r3rk/pp2pp1p/3p1npQ/8/4PNq1/2N5/PPP5/2KR3R w - -,c3d5
7R/8/6k1/5p2/7p/1r3K1P/8/8 w - -,f3f4
5r2/8/8/8/P3N3/2p5/1PP2k2/1K6 b - -,f2e3
r4rk1/2p2pb1/p3q1n1/1p6/4P1Pp/2P4B/PP2Q2B/1K1R3R w - -,h2c7
2r2kb1/2b1rpp1/1pp4p/4p3/1PP1P3/2B2PPP/R7/4RBK1 w - -,e1d1
3q1rk1/2p1bpp1/5n1p/2Pp1QN1/2bB1N2/8/p4PPP/4R1K1 w - -,g5f3
3qbkr1/p4pp1/2n1p2p/3pP2B/2pP1QR1/2p1N3/PrP2PP1/R3K3 b Q -,c6b4
3qrnk1/1rnb1pp1/p2p1b1p/1PpPpP2/2P1P1P1/1P1Q1N1P/6B1/R2NBR1K b - -,a6b5
8/4R3/p7/1pkb4/5p2/1P6/P2K4/8 w - -,d2d3
1rr5/1p1kn1b1/p1ppp1p1/P3pn1p/1PP1N3/2BPP1P1/5PBP/R4RK1 b - -,e7d5
r3r1k1/5bpp/p1qb1p2/Ppp2P2/3pPNP1/1P3Q2/1BP5/3RR1K1 b - -,d6c7
7R/1pr5/5n2/p1b2kp1/P1P4p/1P3P2/5PK1/4R3 b - -,c7d7
r1b1k2r/pp1nbpp1/5q1p/1B2p2n/4P3/3QBN2/PPP2P1P/2KR2R1 w kq -,b5d7
4q3/7k/Pp3bp1/1P3p1p/2Qp1N1P/3R1PP1/5K2/1r6 w - -,c4e6
8/3k2p1/4N2p/2B1K3/8/8/r5PP/8 w - -,e6g7
8/8/8/pkNp4/1p1P4/1P1K4/4N3/3n4 w - -,d3d2
4n3/4k3/2p5/6pq/2P4r/P5R1/1P1Q3P/4R2K b - -,e7f6
r4r1k/1bpqbpp1/p1n1pn1p/1p6/1P1PP3/PN1B1N2/1BQ2PPP/R3R1K1 w - -,a1c1
2r3k1/5p1p/3P2n1/8/2N5/5N2/2b2PPP/5RK1 w - -,d6d7
8/3b4/8/2k5/P3P3/2K5/3N4/8 w - -,d2b3
r2qr1k1/p1p1nppp/1p1ppn2/8/2PPb3/1QB2NP1/PP2PPBP/2RR2K1 w - -,f3h4
r1b2rk1/pp1nb1pp/2p5/3q1p2/3P1B2/2PBPN1P/P3QP2/R3K2R b KQ -,d7b6
3rk2r/5ppp/2p1p3/p2qn2N/Pb1P4/2pBP3/2Q3PP/1R3RK1 w k -,d3e4
2r3r1/p3k3/B1p2pp1/3p2p1/8/8/P1Q2PPP/6K1 b - -,c8c7
6k1/p4pb1/Q2p1npp/2pP4/4N3/P4N1P/2P1KPP1/q7 w - -,a6c8
r3kb1r/1ppb3p/5p2/2P1n3/2Bn4/8/PB3PPP/4RRK1 w kq -,b2d4
1r6/4k1p1/4p2p/2p5/ppP2PPP/4K3/PP1R4/8 b - -,b4b3
rnb2rk1/ppq2ppp/4pn2/8/2BP4/2P2N2/P4PPP/R1BQ1RK1 w - -,d1e2
8/p4p2/2kn3p/2p2p1P/2PP1K2/2PB4/P7/8 b - -,f7f6
2q3k1/5p1p/p1r3p1/1p1p1pR1/2rP1P2/1RBQP2P/P5P1/6K1 b - -,c4c3
r4rk1/1pq1bppp/p2pbn2/4n3/4PB2/1NN3Q1/PPP1B1PP/3R1RK1 w - -,b3d4
r2q1rk1/4npb1/p1p3pp/3nN3/1p1PQ3/6N1/PPP2B1P/2KR3R w - -,h2h4
3r1rk1/1pq1b1pp/pN1pppb1/4n3/P1PBP3/4Q3/1P2BPPP/2RR2K1 b - -,f6f5
r3k2r/p2pn1pp/bqp1p3/4Pp2/1bP2P2/5K2/PP3NPP/R1BQ1B1R w kq -,a2a3
r4rk1/pn4b1/1p1q2Pp/2pPp3/2P1Pp2/5P1N/P2BQ1P1/1R3RK1 b - -,f8f6
2n5/6p1/p2bk2p/1p6/8/1P1NB2P/P3rPP1/3R2K1 w - -,d3c5
r2r2k1/1b2bp1p/pq3np1/1pnp4/3N1B2/P1N1PB1P/1P1Q1PP1/2R2RK1 b - -,f6e4
1r4r1/p1bbk2p/2p1pP2/2Pp4/N6P/PP1R1BP1/6K1/4R3 b - -,e7f6
3qkb1r/1b1n1ppp/p2pp3/1p6/2rNP1P1/4BP2/PPP1NQ1P/2KR3R w k -,c1b1
2b2bk1/5pnp/p1N1p1p1/1p1pP3/5PP1/P2PB2P/1P2N3/6K1 w - -,b2b4
r7/1p2pp1p/nk1p2p1/2RPP3/1p1K1P2/1P3B2/P2R2PP/8 b - -,a6c5
rn2kbnr/1bqp1ppp/p3p3/1p6/4P3/1NNB4/PPP2PPP/R1BQ1RK1 w kq -,d1e2:f2f4:c1d2:a2a4
4b3/p6k/1bp5/3P1p2/6p1/2N3P1/PP6/5BK1 w - -,g1g2
rq3r2/2pb4/3p1nk1/1pnP1p2/2P1pP2/1PQ1N1Pp/4B2P/1RN2RK1 w - -,b3b4
r3r1k1/pp1n1ppp/1q3n2/3pp3/8/1BPP1N1P/PPQ2PP1/R3R1K1 b - -,a8c8
r5k1/3bbppp/1q2p3/3pP3/p1rN4/2B3P1/PPRQ1PKP/2R5 w - -,b2b3
8/3Q4/2P2k2/7p/8/6P1/5PKP/2q5 w - -,c6c7
8/3b1p2/4p3/1p1k2p1/1P5P/3BK3/2P5/8 w - -,h4h5
8/kp1r2b1/p1nqp3/3p4/3P2B1/2N1P2Q/PPP5/2K2R2 b - -,d7e7
7k/1b3p2/p3pP1p/1p2B1P1/3P4/8/1P1Q2P1/1q4K1 w - -,g1h2
2R5/pr3pp1/6kp/3Pp3/2P5/6P1/P4P1P/6K1 w - -,d5d6
1r6/5p2/5k1p/p4r2/1p4R1/PPp3P1/2R3K1/8 w - -,g4c4
rnbqkbnr/ppp2p1p/4p1p1/3p4/3PPB2/2N5/PPP2PPP/R2QKBNR b KQkq -,f8g7
3rkr2/pp3ppp/8/3p4/4bP2/1N6/PP4PP/3RR1K1 w - -,b3c5
