8/4k3/1PK5/8/8/6b1/8/3R4 w - -,d1g1
r3k2r/1bp2pp1/p4n1p/1pn1p3/4P3/2N2P1P/PPPNB1P1/2KR3R w - -,d2b3
r1b1k2r/3n1ppp/p1n1p3/1pqpP3/5P2/2NB1N2/PPPQ2PP/R3K2R w KQkq -,c3e2
8/8/3k4/6p1/4Rb2/2p1r3/2B2K2/8 b - -,e3h3
r2q1rk1/pb1nbppp/1p3n2/2pp2B1/3P4/P1NBPN2/1PQ2PPP/R4RK1 w - c6,a1d1
8/p1k5/1p2p2p/3pP1p1/P2K2bP/2PB2P1/1P6/8 w - -,a4a5
8/5p1p/p1k1p3/6p1/2P3P1/2K5/P2R1P1P/4r3 w - -,c3b4
2r1kb1r/pp1qpppp/5n2/8/2QN4/2P5/PP3PPP/R1B1K2R w KQk -,c4e2
6r1/1R6/p2pp3/5p1k/3b3P/6PK/PP6/5R2 w - -,b7e7
8/pn1k4/1p3r2/3ppPP1/1P6/8/P7/2R2RK1 b - -,f6f8
rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,c7c6:b7b6
3r4/pb2k1p1/1p2pn1p/5p2/2rNnP1P/1P2PN2/P4PB1/2R3K1 w - -,c1c4
4r3/1p3p2/p2p1k2/3Pn1R1/6P1/2P5/PPK5/4rB1R w - -,g5f5
rn1q1rk1/pb1pbppp/1p2p3/2p1P3/1nPP4/1P3N2/PB2BPPP/RN1Q1RK1 w - -,a2a3
4r1k1/pp3ppp/5n2/3pq3/3N4/1P2P1P1/PQ3PKP/2R5 w - -,b2c2
1rr3k1/3q1ppp/p2p1bn1/P2Bp3/1pP1P3/1N4P1/1PQ2P1P/3R1RK1 b - -,c8c7
4k2r/rbR2pq1/pp1pp1p1/7p/P3PPnb/1PBB3P/1P2Q1P1/3N1R1K b k -,h4f6
r4rk1/8/pp5p/3P1B2/2N1p3/8/PP4KP/5R2 b - -,a8d8
r5k1/pppqbrp1/4p1p1/3nP3/6P1/4BN1P/PP2QP2/2RR2K1 w - -,f3d4
2r2rk1/5p1p/bq2p1p1/2bpP1Pn/pp1N1P1P/3BB3/PPP2Q2/1K2RR2 w - -,d3a6
3rr1k1/4bppp/p1qp4/1ppQn3/4P3/P5BP/1PP1BPP1/3RR1K1 w - -,b2b3
r4Bk1/2p4p/p1pb2p1/1p2pp2/4P3/2P2P1P/PP3PK1/R3nN2 w - -,a1e1
r2qkb1r/1b1npp1p/2pp2p1/p2nP3/1p1P1P2/P6P/1PPQNBP1/R3KBNR b KQkq -,d7b6
2k2b2/1p6/1Bn1N2p/2p5/5PrP/2P5/PP6/2KR4 b - -,f8e7
1rb1k2r/1p1nqpb1/p2p1npp/2pPp1B1/P1P1P3/2NB1N1P/1P1Q1PP1/R3K2R w KQk -,g5e3
1r6/2q2kp1/2n1ppp1/3p3P/6P1/rPP2P1K/2QB4/1R5R b - -,g6h5
3Q4/k7/1ppNq2p/n7/P6p/8/5P1K/8 b - -,a5c4
6k1/5pp1/1bp1n2p/4q2P/1P6/2PQ2P1/P4PB1/6K1 b - -,e5e1
6B1/8/3k4/p3N2p/Pb3P2/1P4K1/2b5/8 b - -,b4e1
7k/1p4pp/1q1PB3/3PQ3/4N3/5q2/PPK4P/8 b - -,f3e2
r2qk2r/p3b1pp/2pp1n2/2p1pb2/8/2NP1N1P/PPP1QPP1/R1B1K2R w KQkq -,c3e4
8/4ppbk/1qn1n1p1/3pP3/p2P4/2Q2NP1/1P3PK1/1BB5 w - -,c1e3
rnbq1rk1/4bppp/p1p1p3/1p1n4/P1NP4/6P1/NP2PPBP/R1BQ1RK1 w - b6,c4e5
r2nr1k1/pppqnpp1/5bbp/2Pp4/1P1P2P1/P1N1B2P/Q3BP1N/2RR2K1 b - -,c7c6
r2qr1k1/5ppp/b2p1bn1/2pP4/4PPN1/1B2B1PP/1P6/1R1QR1K1 b - -,e8e4
6k1/Q1pn1qp1/1p1p1npp/3Pp3/1PP3P1/4B2P/4PPB1/6K1 b - -,d7f8
3r2k1/1b2qp1p/1p1r1np1/p1pp4/P7/2P1P3/1PQ1BPPP/R2RN1K1 b - -,d5d4
8/7p/3p2p1/1BbPk3/P3P3/6P1/2r1p1KP/1R2B3 w - -,g2f3
3q1rk1/1p2b1pp/p1bp4/8/P4p2/B1P2N2/2P1Q1PP/R6K b - -,f8f7
r1bqk2r/pp2bppp/2n2n2/2p5/2Pp4/NP1P1NP1/P4PBP/R1BQ1RK1 b kq -,e8g8
r2q1rk1/1b2b1p1/p3P2p/1p1pp3/8/P1NBPQ2/1P4PP/R4RK1 w - -,d3f5
r2N1r2/p2bb2k/6pp/2n1B3/1P1pPp2/PQ1P4/3N2PP/R4RK1 b - -,c5b3
4r1k1/4q3/3p1b2/1p1P1P1p/5P2/1p5P/1P1Q4/3N1RBK b - -,g8h7
6k1/5rpp/3p1b2/3PpP2/2P5/3q4/r2N1RQP/1R5K b - -,f7f8
6k1/5pp1/p3pn1p/1pQ5/n3P3/5PBP/PP3P2/3B2K1 b - -,a4c5
r1b1r1k1/ppB2ppp/2n5/8/2B1P3/8/1P3PPP/3RK2R w K -,f2f3
2rr2k1/pp1nbppp/1qp1pn2/3p4/2PP1Bb1/1QN2NP1/PP2PPBP/2RR2K1 w - -,b3b6
r2rb1k1/pp3pp1/1bp1pq1p/8/2QP1P2/P1N1P1P1/1P4BP/R2R2K1 b - -,f6e7
2r1k2r/p3bpp1/q3p3/2ppP2b/P2N1R2/2R2N1P/5PP1/2Q3K1 w k -,d4b5
1rb5/pp2k3/2p2p1b/N1N1p2P/4Ppp1/3R4/PPP2PP1/1K6 b - -,f6f5
6k1/p2b1rpp/4p3/3pPn2/2qP3P/P1rNBP1Q/6P1/3RR1K1 w - -,g2g4
3R4/8/8/1p1p1p2/1r3k2/7P/3K4/8 w - -,d8d5
6k1/B1r3pp/b3p3/8/8/7P/5PP1/3R2K1 w - -,a7b8
1rn2rk1/p1qn1pp1/Bp5p/2pP4/4pPP1/P1Q1B3/1PP4P/2KR1R2 w - -,f4f5
r2q1rk1/pp1bppbp/2p3p1/P7/3P1B2/4P3/2P1NPPP/R2Q1RK1 w - -,d1b1
r4rk1/p2qppbp/1pp1bnp1/4B3/2PP4/2N5/PP2BPPP/R2QR1K1 w - -,d1a4
r1b2rk1/1p1nqp1p/p2p2p1/2pPp2n/2P1PP2/2N1Q1P1/PP2N1BP/R4RK1 b - -,e5f4
6k1/1p1q3p/4b1p1/3p4/4p2P/1Q2P1P1/P4PB1/6K1 w - -,b3b2
rq4k1/3bbpp1/2p1p1np/1pPn3P/1P1PN3/5NP1/3B1PB1/R2Q2K1 b - -,g6f8
r1k4r/pppn2pp/4p3/2b5/4PBn1/2N5/PPP3PP/2KR1B1R w - -,f1c4
8/p2q1n1k/1p4pp/8/2rBRQ2/5P2/P5PP/6K1 b - -,f7d6
2rr2k1/1qp2pp1/pp5p/3b1Q2/3P4/P1N2P2/1PPR2PP/1K1R4 b - -,b6b5
6k1/4bp2/p1r1p3/1p1pP1pp/3P4/1P4P1/P2B1PK1/2R5 b - -,c6c1
2rb2k1/5pp1/4p2p/1N6/1n6/4P3/1B3PPP/3R2K1 b - -,d8e7
8/3n4/7k/4b2p/4P1p1/8/3N2K1/8 w - -,d2c4
r3r1k1/pp3pbp/n1p2np1/4p3/4N3/BP3BPP/P1PRPP2/5RK1 b - -,f6e4
5r1k/pp6/3p3p/1Pp1b2q/2P1B2r/4Q2P/P3RPP1/3R3K w - -,e4c2
r1b1k1nr/ppp1qppp/2nb4/1B1pp3/5P2/1P2P3/PBPP2PP/RN1QK1NR w KQkq -,g1f3
r4rk1/pppbq1pp/4p3/n2pPp1R/3P1N2/P2BQ3/1PP2PP1/R3K3 w Q -,e3h3
6k1/1p2b1pp/2p5/p3p3/1nP5/2N3P1/PB3PBP/4K3 b - -,b4d3
r4rk1/ppq1bppp/2n1pnb1/3p4/3P4/2PB1NNP/PP3PP1/R1BQR1K1 w - -,d3g6
4q3/6pk/8/4rp1p/8/5QPP/6BK/5R2 b - -,h5h4
r4rk1/ppp3b1/n2p2p1/3P1q1p/2P1Np2/7P/PP3PPN/R2Q1RK1 w - -,f1e1
4b3/2k2p2/4p3/p5p1/1pPbB1Pp/1P1N3P/P3KP2/8 b - -,e8d7
2k4r/pp1n1ppp/3r1n2/2p5/1PP5/P5P1/3N1PBP/R4RK1 w - -,d2b3
8/3bk1bp/p3p1p1/2p2p2/2P1P3/PKNB1P2/6PP/8 b - -,e7d6
r7/p4ppp/1k6/2npp3/8/R4PP1/P1KNP2P/8 w - -,a3c3
8/1p6/kP2R3/2p1K3/8/5rr1/8/1R6 b - -,f3e3
8/6p1/2k4p/5b2/8/1PKN1P2/6PP/8 b - -,c6d5
3r1rk1/p4pp1/2P4p/3P4/4q1P1/PQ1nP2P/4K3/3R3R w - -,h1f1
r2q1rk1/1b1n1ppp/p2bpn2/1pp5/3P4/1PNBPN2/PB3PPP/2RQ1RK1 w - -,d1e2:h2h3
r2q1rk1/ppb2pp1/2ppbnnp/4p3/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,f6h7
4b2r/5p2/2k1pP1p/p2p3P/1ppP2N1/q1P1QB2/1nP3P1/2R1K3 w - -,c3b4
8/pp6/2p5/PPPp4/3P2k1/2NKP3/6r1/8 b - -,a7a6
6k1/pp3p1p/2p2bp1/4n3/5Q2/6PP/PPq3BK/8 w - -,f4f6
4r3/5p2/8/2Bp1kpp/3P4/1p2PP2/1K4PP/R7 w - -,a1e1
5k2/5rp1/p2p4/1pp5/4Ppb1/1Pq3P1/P1P2RKP/R1Q5 w - -,f2f4
1r2qrk1/2pb2bp/1n1ppnp1/1P6/N2NP3/3Q2PP/5PB1/R1B2RK1 w - -,a4b6
8/6p1/4k2p/B7/ppP4P/1P3KP1/P7/4r3 w - -,a5b4
r7/6k1/1R4P1/5PK1/8/8/8/8 w - -,b6b7
3rr3/pb3kpp/4pp2/2p5/1PP5/P3R3/1B3P1P/R5K1 w - -,b4b5
7b/3r4/1k1p2P1/3B4/5p2/3P2pP/1P1K4/R7 w - -,h3h4
r1r3k1/ppq2pbp/2n3p1/1B2p3/4P3/Q3B3/PP3PPP/2R2RK1 w - -,b5c6
2rq2k1/1p1nb1pp/3p1r2/p2Ppb2/7P/PN1BB3/1PP2PQ1/2KR3R b - -,d8c7
rnb2rk1/pp2pp1p/6p1/2PQ4/8/2q1PN2/P3BPPP/R1B1K2R w KQ -,d5d2
r2b1rk1/3P1p1p/1B4p1/p7/P3P1n1/1P6/3R2PP/1R4K1 w - -,b6c5
rnbqkb1r/pp3ppp/3ppn2/2p5/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq -,b8c6:f8e7:a7a6
4r1k1/p2p2p1/1p1P1p2/2p1b1qp/4Q3/P3P1P1/4P2P/3R1RK1 w - -,f1f3
k6r/1pr1b3/p3Bp2/1q1p3p/6b1/3N3P/PPPQ2P1/1K2RR2 b - -,g4e6
rb2n2r/pp1k1pp1/1n2p1p1/BN1p4/3P2P1/1P5P/P3PPB1/R1R3K1 b - -,e8d6
8/pB2k3/1n1p2n1/2p5/8/2N4P/PP3K2/8 b - -,e7e6
3kr1r1/1p2pRP1/3q2p1/Pp2N2p/1P1B4/2P4P/6P1/5R1K w - -,e5d3
1B4k1/5p1p/5bp1/3p4/5P2/5K2/1P1r2PP/1R6 b - -,d2b2
5k2/6p1/1n2P2p/2p2P2/pp4P1/5K1P/1P6/4B3 b - -,a4a3
r3rbk1/2q3p1/5p2/p1pbp2P/2P4P/2B1QP2/1PPN4/2K1RR2 b - -,d5f7
1r1r2bk/4q1p1/5p1p/1RN1p3/1P2P3/5Q1P/5PP1/R5K1 w - -,f3e2
1r2kb1R/1b3p2/p3P3/4q1p1/N2p4/P2Q4/NPP5/K7 w - -,e6f7
2r1r1k1/p4pp1/3p1q2/np1p1P1Q/3Pp2p/1PP1P3/P2N2P1/2R2RK1 w - -,f1f4
r1b1r1k1/pp3pp1/2n3qp/2p5/5B2/2PP2P1/P1PK2BP/R2QR3 b - -,c8g4
1b1rrnk1/pp2qppp/2p2n2/2P1p3/1PN1P3/P4BPP/1BQ2P2/R4RK1 b - -,f8e6
r1bq1rk1/1p2ppbp/p2p1np1/4nP2/3NP3/2N1B3/PPPQB1PP/R4RK1 b - -,b7b5
1n2k2r/1R3p2/r3p2p/P1bPP3/3N4/8/P5PP/4KR2 b - -,a6a8
r1b2rk1/pp2qpp1/2p2n1p/3p4/3P4/2RBPN2/PP3PPP/1Q3RK1 b - -,f6e4
8/P7/K5k1/6P1/8/r7/7p/2R5 w - -,a6b6
rnbqnrk1/4bppp/p2p4/1p2p1P1/4P3/1NN1B2P/PPP2P2/R2QKB1R w KQ -,h3h4
8/8/4n3/8/p1k3Pp/2P2N1P/1P1K4/8 b - -,c4b3
8/r1kp3p/p3p3/2P1Ppp1/1P1R4/6PP/5K2/8 b - -,a6a5
1r1q2k1/2b2pp1/p2p1nnp/P1pPp3/2P1P3/RBP1B1PP/3N1P1K/Q7 w - -,b3c2
6k1/2q2pbp/2P1p1p1/p3NnP1/P4P2/1r6/5QBP/5RK1 b - -,b3c3
r1b1r1k1/1pqnbpp1/2pp1n1p/p3p3/P1BPP3/2N1BN1P/1PP1QPP1/3R1RK1 w - -,f3h4
kb4R1/pp5p/1P4b1/P7/3K1p2/5P2/8/8 b - -,g6f7
r1b1k2r/ppp2p1p/2n1pp2/q7/2pP4/P4NP1/1P1QPPBP/2R1K2R b Kkq -,b7b5
7R/4pk2/3p2p1/3P1p1p/4P3/5PKP/3r4/8 w - h6,g3f4
1rbq1rk1/2ppbppp/p1n2n2/4p3/P2PP3/1Bp2N2/1P3PPP/RNBQR1K1 w - -,b2c3
r6r/pp1k2Q1/3qb3/3p4/8/6P1/PP4P1/1K1RR3 b - -,d7c6
1r3rk1/p2q1pbp/3p1np1/8/2P1P3/1R2N2P/Q2N1PP1/4R1K1 b - -,b8b3
r1b2rk1/pp2qppp/5n2/3p4/3P4/3B1N2/PPQ2PPP/2KR3R w - -,c1b1
8/5p2/p4p1p/k4P2/P1pKP1P1/8/7P/8 w - -,d4c4
8/p6p/2k2pp1/P7/4RP2/7P/1p3KP1/8 b - -,b2b1q
8/1q1rpk1p/5R2/pP1p1Pp1/P5P1/1Qr3B1/4R1KP/8 b - -,e7f6
2r2rk1/2q3p1/p1p1p2p/1pPp1Pb1/1P1B1p2/P4PP1/6B1/2RQ1RK1 b - -,e6e5
8/8/5pp1/6k1/1q2p1Pp/7P/4R1R1/7K b - -,g5f4
1qr1r1k1/1b1nbp1p/pp1ppnp1/6B1/2PNP3/1PN5/P2Q1PPP/1BR2RK1 w - -,f1e1
q7/4Qpk1/4p1p1/1P1pP2p/2nP3P/P5P1/5P2/6K1 b - -,a8a5
r3kb1r/5ppp/ppn1p3/2pq4/P2P4/6P1/1PP1NP1P/R1BQ1RK1 w kq -,d4c5
8/1p6/1kPp4/p2Pb3/P1K4p/7B/8/8 b - -,b7c6
4r3/2pR1ppk/p7/1r2N1p1/8/1P5P/P4PP1/4R1K1 b - -,b5e5
1r1r2k1/3q1pb1/1p1p2p1/p1pPp2p/Qn2N1bP/P2PP1P1/1P1B1PB1/1R2K2R w K -,a4d7
r5k1/1pp2ppp/2bpr2q/p1b5/2PB1Nn1/1P1QPN2/P3BP2/R3R1K1 w - -,f4g2
r3k2r/pp2ppbp/2p3p1/q1n2b2/3P3B/2P1PN2/P1Q1BPPP/R3K2R w KQkq -,c2b2
8/1p3pkp/2pn2p1/4q3/1P5P/1Q2PBP1/5PK1/8 b - -,g7f6
1k1r4/pp6/b7/4pP2/2nqQ3/4N1P1/R4KB1/8 w - -,g3g4
5r1k/3n2pp/1pR5/5p2/1Q1r1N2/6P1/4PP1P/4R1K1 b - -,d4b4
1r6/p1p1k3/P2p4/3PnR1B/1P2P3/6P1/4K3/8 w - -,e2e3
2r3k1/4pp1p/2bp2p1/2p5/8/br2B1NP/R2N1PPK/8 b - -,b3d3
r3kb1r/pp1n1pp1/2p1pn2/3q4/2PP3p/3Q2NP/PP2BPP1/R1B2RK1 b kq -,d5d6
5rk1/p4ppp/8/1p3qP1/2r5/R1P3Q1/1P5P/2KR4 b - -,c4g4
8/R7/1P6/3kp1p1/P2p3p/3P1P1r/8/4K3 b - -,d5c6
