8/4r3/2pR4/3b2pk/1P1B4/5PK1/8/8 b - -,e7f7
3rrnk1/2p4p/1p4p1/1P1qNp2/p2Pp3/8/P1Q2PPP/2R2RK1 b - -,f8e6
8/5pp1/8/p3p2k/Pr6/1P6/3RKPPP/8 w - -,d2d5
rn1qk2r/p3bppp/1pb2n2/2p1p3/8/2N2NP1/PP3PBP/R1BQ1RK1 w kq -,f3e5
2rq1rk1/pp1npp1p/8/3P1p2/2Bb1Bn1/1Q1PN3/PP3PPP/R3R1K1 b - -,d7f6
8/8/7p/p1kBpnp1/Pp2P3/1P2KP1P/8/8 w - -,e4f5
r1bq1r1k/pppnn1bp/3p2p1/3Ppp2/2P1P1P1/2N2P2/PP2B2P/R1BQNRK1 w - -,h2h4
rn1qkb1r/pp3p1p/4pp2/3p1b2/3P4/2NBP3/PP3PPP/R2QK1NR b KQkq -,f5d3
r1q3k1/5nbp/r1p2pp1/p1B1p3/Rp2P3/1N1P3P/Q1P2PP1/5RK1 b - -,g7f8
r3r3/p1nqppbk/1p1p1npp/8/3P3B/2P2N1P/PP1Q1PP1/R3RNK1 w - -,e1e2
r2qr1k1/bpp2pp1/p1n2n1p/5b2/2P1p3/BPN1P1PP/P2N1PB1/R2Q1RK1 w - -,d1c2
1q4k1/3npp2/1P4pb/3P3p/4PP2/r3B2P/3QB1P1/1R4K1 w - -,b6b7
r1b2rk1/pp2qpp1/2p4p/8/3Pp3/2R1PN2/PP3PPP/1Q3RK1 w - -,f3d2
1B4k1/5p2/1bp5/p7/4p1qp/2P5/PP1Q1PP1/6K1 w - -,d2f4
rn1qkb1r/pbp2ppp/1p2pn2/3p4/4P3/3P2P1/PPPN1PBP/R1BQK1NR w KQkq -,d1e2
3q2k1/3r1pbp/p3p1p1/1P6/3P1Q2/2r2b2/4BPPP/3R1RK1 w - -,e2f3
2rq1rk1/1b1nbp1p/p2p1np1/1p2p3/4P1P1/P1N1BQ1P/1PPN1PB1/R3K2R w KQ -,e1g1
r2r2k1/p4p1p/1p4p1/3qPP2/PbNp4/1P1P4/5Q1P/2R2RK1 w - -,f2h4
r5k1/ppp2r1p/6p1/3P1q2/1P2Rp2/3Qb3/P1P2NPK/5R2 b - -,f5g5
4R3/1k1r4/1p5p/p2r2p1/Pn1p2q1/1R3N2/2P1QPP1/6K1 b - -,d7c7
r1b1k2r/2qn1pb1/2pp1npp/p3p3/1p1PP2B/3BNN2/PPP1QPPP/R4RK1 w kq -,d4e5
8/6k1/P1R3p1/5p1p/5P1P/5KP1/r7/8 b - -,a2a3
8/8/pn1P1k2/1p2pNp1/1P2K1P1/8/P6P/8 w - g6,h2h4
4r3/1p4nk/5Qp1/1PP3Pp/4P2P/3P4/6K1/8 w - -,c5c6
8/1p1b2kp/1P4p1/5pP1/B1ppnP2/R7/7P/4K3 b - -,c4c3
r6k/2p1r3/qp1p1p2/3PnBp1/1PP1P3/p1Q3P1/P1R5/1R4K1 b - -,h8g7
rn1q1rk1/pb2ppbp/1p4p1/2pp4/3PnP2/2PBPN2/PP1NQ1PP/R1B2RK1 w - -,f3e5
5n2/2k5/p3b1p1/7p/1KN1BP1P/6P1/1P6/8 b - -,e6f7
2rr2k1/pbqn1ppp/1pp1pn2/3pN3/2PP1P2/2N1P3/PPQ2PBP/3R1RK1 w - -,d1d2
r2qrk2/p3p1b1/1p1pQnpp/4P3/4NB1N/2P4P/PP3PP1/R3R1K1 b - -,g7h8
r1b2rk1/pp2bppp/1qnppn2/6B1/4P3/1NN5/PPPQ1PPP/2KR1B1R w - -,f2f3
r2r2k1/1p2bppp/4b3/3q2P1/5B1P/pP6/P1PQ4/1K1R1B1R w - -,d2d5
r3kb1r/pb1n1p1p/1qn1p1p1/1pppP3/5P2/3P1NP1/PPP1Q1BP/RNB2R1K w kq -,b1c3
1r3q1k/6p1/3b1p1p/4nN2/p3PB2/1b4PP/6B1/2Q2R1K b - -,b8c8
8/1pNq1b2/2kP4/4Q3/8/7P/6PK/8 w - -,c7b5
rn1qk2r/pp2ppbp/3p1np1/2pP4/2P2B2/2N2P2/PP2PP1P/R2QKB1R w KQkq -,e2e4
2rq1rk1/p4pbp/1p2p1p1/2nb4/3N4/BP1BP2P/P3QPP1/2R2RK1 w - -,d3a6
2r2r1k/ppqb2p1/2nbp2p/3p3B/3P4/1Q4B1/PP2NPPP/2R2RK1 b - -,d6g3
r1br2k1/1p2q1bp/p1npp1p1/2n2p2/2P5/1PN1PNP1/PB1Q1PBP/3RR1K1 b - -,c6b4
5rk1/2R1Q1pp/b3p1q1/pp1pP3/4pP2/P3P3/1P4PP/2R3K1 w - -,c7a7
8/pp6/8/1kp5/2q5/5Q2/1P6/1K6 b - -,b7b6
8/7p/1nk1p1p1/1Bp2p2/5P2/2b4P/4KP2/1R6 b - -,c6d5
r1bqkbnr/pp1ppppp/2n5/8/4P3/B4N2/2PP1PPP/RN1QKB1R b KQkq -,d7d6
r1bqr1k1/1pp3bp/3p2pn/p1NPpp2/2P1P3/2N2P2/PP1BB1PP/R2Q1RK1 b - -,d6c5
r1bq1r1k/pp2p1bp/2pp4/3Pnp1R/2P5/1QN3P1/PP2PPB1/R1B1K3 b Q -,d8e8
1r6/8/4p1k1/3p2p1/3P2P1/1P3R1P/1K6/8 w - -,b2a3
8/p1Rp2k1/3B1p2/5qp1/8/P5P1/6BK/8 w - -,d6c5
5k2/pppr2pp/2n1qp2/8/2P4P/PQ6/1B3PP1/5RK1 b - -,b7b6
8/8/6k1/2n5/5B1P/5K2/1r3N2/8 w - -,f4e5
7k/p5p1/2pQ3p/1p4q1/8/2P3NP/PP4P1/5r1K w - -,g3f1
r2qkb1r/pb1n1p1p/2p1pp2/8/PppP4/6P1/1P1NPPBP/R1BQ1RK1 b kq -,b7a6
6kr/1pq2pp1/p2b1n1p/3p1P2/2P3PQ/PP2R2P/2BN2K1/8 w - -,a3a4
rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/6P1/PP2PP1P/RNBQKBNR b KQkq -,f6d5
6R1/8/5r1r/5k1p/8/6R1/5PKP/8 w - -,g8g5
1brqk2r/pp1n1ppp/2p1pn2/2Pp3b/3P4/3BPN1P/PPQN1PP1/R1B2RK1 w k -,b2b4
r1bq1rk1/2p1p1bp/pp1ppN2/7p/Pn1P4/3BBN2/1PP2PP1/R2QK2R b KQ -,e7f6
5k2/p2b1p1p/1r3np1/2p5/2B3P1/1PN2P1P/P4K2/4R3 w - -,e1e5
5rk1/1prn1ppp/p1p1pn2/1PPp1b2/3P4/1NN1P2P/1P3PP1/R3KB1R w KQ -,b5b6
3r1k2/3P1ppp/1R6/1n6/8/4P3/3K2PP/8 w - -,b6b5
8/1p1r1qkp/p2r1p2/3Pp3/4Qp2/1P1R1P1P/1P1R2PK/8 b - -,f7g6
1r1q1rk1/p3ppbp/1pnp1np1/2p5/P1N1P3/3P1BPP/1PP2P2/R1BQ1RK1 w - -,c2c3
r4rk1/1pqbn1pp/p2bpn2/3p4/3N4/P1P1B2P/1P1NBPP1/2RQ1RK1 b - -,b7b5
r1b1k3/8/p3p1p1/1p1pPp1r/2pP4/2P1P1P1/PPB3K1/R4R2 b q -,a8a7
r3r1k1/pq1n1bbp/2pB1pp1/8/N7/1P3N1P/P3BPP1/2RQR1K1 b - -,a8c8
1R3nk1/1R2r1bp/p7/8/P2P4/2P2Q2/5P1P/2q2K2 w - -,f1g2
r4rk1/6pp/b1Q1p3/2Nq4/1p6/P7/5PPP/R3R1K1 w - -,c6e6
4q3/2k2pb1/4p2p/1pr2p2/p4P2/P1P3P1/1PB1Q2P/2KR4 w - -,c1b1
r3r1k1/2qn1p1p/2p3p1/p7/PpPQB3/1P5P/5PP1/3RR1K1 b - -,d7f8
8/6k1/5p2/p3Q3/7p/1P1KP3/3N2q1/8 w - -,e5e7
8/1p3p1p/2bp2p1/P5P1/2K2Pk1/8/3B4/8 w - -,c4d4
3r1rk1/pp3pp1/2pnpnp1/3p4/3P1qP1/1P1QP2P/P1PN1PB1/3RR1K1 b - -,f4h6
rnb1k2r/1pq1bppp/p2ppn2/8/3NPP2/2NB1Q2/PPP3PP/R1B2RK1 b kq -,c8d7
6nk/3bn2r/1p1p1p2/p1qPp3/P1p1P2N/2P1N1P1/1P2Q1K1/3B3R w - -,e2d2
4k3/2q4p/p3Ppp1/1p2n3/1P5P/PB2B3/5PP1/3R2K1 w - -,e3c5
8/pp3k1p/5pp1/n2r4/PR1N4/4B3/2rp1PPP/R6K w - -,a1d1
8/5k2/6R1/6KP/5P2/8/8/7r b - -,h1h2
1qrr1bk1/1b3ppp/ppn1pn2/8/2PP4/2N2NPB/PB2QP1P/2RR2K1 b - -,c8c7
8/6p1/8/5p1p/5Pk1/6P1/6K1/8 w - -,g2f2
4r1k1/5pbp/p1p3p1/8/1P2bP2/2P1B3/5KPP/2RN4 w - -,g2g3
2krrb2/ppqn1ppQ/2p1p2p/8/3P3P/5N2/PPPB1PP1/1K1R3R w - -,c2c4
r3k2r/pp1nppb1/2pp2pp/3nP1B1/3PNPb1/5N2/PPPKB1PP/R6R w kq -,g5h4
4rr1k/q1pb2pp/1bnppn2/1p6/4PN2/PP3PPB/1B1QN2P/R3K2R w KQ -,d2c3
8/1p1k1n2/p2p1np1/2pP1p1p/P1Pb1P2/1PN3PP/2BB2K1/8 w - -,a4a5
r2q1rk1/pp2ppb1/2n1bnpp/3p4/3P1B2/2N1PN1P/PP2BPP1/R2Q1RK1 w - -,f3e5
4r2k/1p3q1p/2bp3r/p1BNpp2/2P2P2/1P3QRB/P7/3R1K2 b - -,d6c5
4r1k1/2p2ppp/1p1Q2n1/p2b4/P2P4/2B4P/1P1N1PP1/R5K1 b - -,c7d6
4r1k1/p2nN1np/6p1/Nq6/1P6/7P/P1Q3P1/4R1K1 b - -,g8h8
r2r2k1/pp2nppp/2n5/2P4q/3p2b1/PQ3N2/1P1NPPPP/2R1KB1R w K -,e2e3
r5k1/p1p2pp1/2ppbq1p/4p3/2P1P3/3P1PP1/PrPQ3P/R3NRK1 w - -,e1g2
3bk2r/q4p2/2pP1p2/p3pb1p/1r5P/1PNR4/P1PQB1P1/K2R4 w k -,d6d7
r4rk1/2p1b1pp/1p6/p2p4/3P1P2/P1N5/1Pn3PP/2BR1RK1 b - -,c7c6
2N5/5R2/Kp6/3kb3/8/8/8/1r6 w - -,c8b6
r3r2k/4q2p/1P1p2p1/2p4n/1nP3Q1/2N2P2/6BP/1RB2RK1 w - -,f3f4
4r3/4r1k1/2np2p1/p1p2p1p/2P1PP1P/PP1p1KP1/3NR3/4R3 w - -,e2e3
4r3/2rn4/p2k1B2/1pq5/5Q2/P2P2R1/1P2p1PP/4R2K b - -,d6c6
7r/p5k1/1p4p1/2p2p2/4r3/2P1N3/PPK2R1p/7R w - -,e3d1
r1bq1rk1/pppnnpb1/3p2pp/4p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - -,d1d2
3Q3k/1p3pp1/7p/1qP5/8/3pK1P1/5P1P/8 b - -,h8h7
3rr1k1/1ppbnpp1/p2p1qnp/3Pp3/4P3/2P1BN1P/PPB1QPPK/3RR3 b - -,g6f8
r1b1k2r/2q1bppp/2p1p3/ppP3P1/4Pn1P/2B2N2/PPQ1BP2/1K1R3R b k -,f7f6
r1bq1rk1/1p2npbp/2npp1p1/p1p5/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,c1g5
q1r3k1/1b1nbppp/pn6/1p1pP3/8/1P3NP1/1B1NQPBP/4R1K1 b - -,d7f8
1rq2rk1/6pp/2bQpb2/ppn5/4PB1P/P1N2P2/1PP1B3/1K1R3R b - -,c5a6
7k/6p1/2b4p/8/1P6/5PQP/3q2K1/5R2 w - -,f1f2
3b1rk1/6pp/1p3p2/1R1q4/6PP/1RP3B1/5P1K/r7 w - -,b5d5
8/1R1B4/5K2/3p4/2nk4/1p2r3/8/8 w - -,d7e6
4r1k1/pp1r1ppp/2n3n1/q2N1b2/2PP1B2/1Q2PP2/P3BK1P/2R4R b - -,c6d4
r4Rk1/ppp3bp/2nq2p1/3b4/6QN/3PB1P1/PP4BP/R5K1 b - -,a8f8
rn3rk1/1b3ppp/pb2p3/1p4B1/P5n1/4PNP1/1P1N1PBP/R1R3K1 b - -,f7f6
3R2r1/p5bk/1pn2q1p/4pp2/2P2P2/4BRN1/PP2B2P/2Q3K1 b - -,g8d8
8/5R2/1p2P3/6b1/p7/1k4P1/1P4K1/8 b - -,b3b2
5rk1/p1qbn1b1/1p2prp1/3pn2p/2pP1P1P/2P1N1PB/PP2QB2/R3R1K1 w - -,d4e5
rnb2rk1/ppq2ppp/5n2/2ppN3/3P4/P1PBP3/3B1PPP/R2QK2R b KQ -,b8d7
5r1k/5pp1/p1r1p1np/1pNq4/3PRP2/2P5/P1Q3PP/5R1K w - -,h1g1
3rr1k1/1p3qp1/p1nb1n1p/2NppQ2/8/2P2P1N/PP3BPP/R4RK1 w - -,a1d1
2rr2k1/1p2ppbp/nq3np1/p1pp1b2/2PB4/PP1P1NP1/2QNPPBP/1R3RK1 w - -,d4f6
1rr3k1/2q2ppp/3ppb2/8/2n1P3/1PP4P/P3QPP1/RNB2RK1 b - -,c4e5
8/8/8/8/pp5r/1P1k4/P2R4/4K3 b - -,d3c3
1r6/7p/2pk2p1/p1Nbpp2/P4P2/1PR1P1P1/7P/4K3 b - f3,b8b4
3r4/pp2kppp/2p5/4P3/P3P3/1bN1bPPB/1P5P/1K5R b - -,d8d2
5r2/p2q1pk1/1pp3pr/4p3/4P1b1/P2PR1QP/1P2N1P1/5R1K b - -,g4e2
5nk1/5pp1/4p3/6p1/3PB1P1/1rp1P2P/5P2/2R3K1 w - -,g1f1
1r3n2/p2b1kpp/Bpn1p3/3pP3/3P4/PN2K3/1P2N1PP/2R5 b - -,f7e7
r2qr1k1/pbpn1pbp/1p1p2p1/8/2PPn3/2N2N1P/PPQ1BPPB/R4RK1 w - -,a1d1
8/5q1k/p7/5p2/3Q3P/6PK/8/8 w - -,d4d3
r2qr1k1/1b1n1ppp/p2p1b2/1p6/1PNNP3/P3B2P/B4PP1/R2QR1K1 b - -,b5c4
r5k1/pb2rpbp/6p1/2pqP3/2Bp1P2/1P6/P3Q1PP/B1R2RK1 b - -,d5e4
1r3rk1/4qpnp/p1b1p1p1/P1p1P3/2Pp4/1P1N3Q/2B2PPP/R3R1K1 b - -,g7f5
6r1/7k/r3P2p/2pp1p1q/Pp2pP2/1P1bP3/1B1Q1R1P/R6K b - -,a6e6
r1bq1rk1/1pp2ppp/2nb1n2/p3p3/4P3/1N3NP1/PPP1QPBP/R1B2RK1 w - -,a2a4
rn1qk2r/p1p1bppp/bp2pn2/4P3/8/5NP1/PPPN1PBP/R1BQK2R b KQkq -,f6d5:f6d7
8/p1p2pr1/1pb1kR2/2p1P1n1/6P1/NPB1K3/P1P5/8 b - -,e6d7
6k1/5p1p/5Qp1/2p3P1/2P5/p3P1KP/1q1r1P2/2R5 w - -,f6b2
4rrk1/4bpp1/7p/q2PQ2P/1p2p3/8/1PP1B1P1/3R1R1K w - -,e5e4
6k1/8/3N2pp/1P6/2R1KP2/8/1r3PnP/8 w - -,e4d5
8/1p1q1n2/2p2R2/2Pk1p2/8/P6P/5Q1K/3r4 b - -,d1d4
8/5b2/3k1pp1/1p6/3K1P1P/P3N3/1P6/8 w - -,b2b4
r1k4r/4qp2/1pp1bNpp/p1p1P3/P3NQ2/1P1P3P/2P2PP1/5RK1 b - -,c8c7
3r3k/1p3p2/1bp1r3/p2n1N1p/P1BPR2P/5P2/1P3KP1/3R4 w - -,d1e1
3rr1k1/p3qp2/2Ppn1p1/3N3n/4P1p1/1B4QP/P4P1K/3RR3 b - -,h5g3
2bqk1nr/3rbppp/p2pp3/np6/4PB2/2N2N2/PPB1QPPP/2RR2K1 b k -,c8b7
r1b1r1k1/1p2qpnp/p1p3p1/4P3/8/4Q1P1/PP1N1PBP/2R1R1K1 w - -,h2h3
r1bq1rk1/pppnbppp/5n2/8/2BP4/2N1BN2/PP3PPP/R2QK2R w KQ -,e1g1
r1bqk2r/pp1n2pp/2pbpn2/3p1p2/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 b kq -,f6e4
5qk1/p2b1r2/1p2p1p1/3p1rBp/3P3P/P1PQ1P1R/6P1/4R1K1 b - -,g8g7
rnbqk2r/pppp1pp1/5n1p/4p3/2P5/2Q3P1/PP1PPPBP/R1B1K1NR b KQkq -,d7d6
r1bq3r/pp4k1/2p1pnp1/3p1p2/3P4/5NP1/PPPQPPB1/2KR3R w - -,h1h8
r1b2rk1/1p3ppp/pqnp4/2n1p3/4P3/2N2N2/PPPQBPPP/R2R2K1 w - -,a1b1
4r1k1/2r3bp/p2q2p1/1pNp1pP1/1P1PnP1P/P4R2/1B4Q1/5RK1 w - -,f3h3
r5k1/5p1p/3bp1p1/p2pN3/b2P4/P3P2P/5PP1/R1R3K1 w - -,e5d3
6k1/R3bp2/4p1p1/3nP3/8/5NK1/2r2PP1/8 w - -,a7d7
8/6kp/8/p4p2/2P1r3/1K6/P2R2PP/8 b - -,g7f6
1rr3k1/5pp1/1n2p2p/pq1pP3/1p1Q1P2/1P1N3P/P1P3P1/2RR3K b - -,c8c6
r1b1k2r/3nqppp/ppn1p3/2ppP3/3P1P2/2NB1N2/PPP3PP/R2Q1RK1 w kq -,d1e1
5rk1/1p4b1/1p4p1/1N2p2p/2P1n3/1P3P2/P3B1K1/3R4 b - -,e4g5
r1r3k1/5pp1/2n1pb1p/2Pp4/3P4/1RNK1N2/5PPP/1R6 w - -,b3b2
8/3R1pkp/4pb2/5p2/3p4/2n2N2/6PP/7K b - -,e6e5
1br3k1/6p1/p3b2p/P2p4/1N1Ppq2/1Q6/1P2BP1P/3R2K1 w - -,b3g3
3qn1k1/1p2bp2/n3b1pp/pN1p4/P2P1PP1/2N3B1/1P1QB1KP/8 w - -,d2e3
rnbq1rk1/ppp2pbp/3p2p1/3Pp2n/2P1P1P1/2N1BP2/PP5P/R2QKBNR b KQ g3,h5f4
4r1k1/1pq2p1p/p5p1/2np4/P7/2PRNP2/1PQ3Pb/R3K3 w - -,e1f1
8/1R2Pk2/7p/7r/p7/P5KP/1P6/8 b - -,h5g5
8/2Rbk3/4p3/1p2p3/1P1rPPK1/8/2B5/8 b - -,e7d6
k6r/p1p2q1p/1r4p1/N2nP3/3PQ3/4B3/5PPP/2R3K1 w - -,g2g4
3r2b1/6kp/1pnr2p1/p1Q5/3p4/P4N1P/1P1RBPP1/3R2K1 b - -,b6c5
r3k2r/1bqnbppp/pp1pp3/2n3P1/4PP1P/1N1BB3/PPPNQ3/1K1R3R b kq h3,d6d5
rn1qk2r/p1pp1ppp/1p2p3/8/2PP1P2/2PB4/P1Q2PbP/R1B1K1R1 b Qkq -,g2f3
1kq1br2/1p2bp2/pr2p2Q/3pP3/3P3P/2PBP1P1/5R1K/1N2R3 w - -,h6h7
8/5R2/2p5/1b1p1kp1/1B1P4/2P2PK1/2r5/8 b - -,f5g6
1k1r3r/ppq5/2p1p2p/3pPpp1/PPPPn3/4P3/4Q1PP/R3BRK1 w - -,c4c5
r4rk1/1b1pnpbp/pq2p1p1/1p6/3PP3/1BP1B1N1/P4PPP/R2Q1RK1 b - -,d7d5
Nn4k1/p5pp/1p3q2/2pb4/2P5/1QP3P1/P3RK1P/8 w - -,f2g1
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP1B2/2bBPN2/PP3PPP/R2QK2R w KQ -,b2c3
rn1qk1nr/pb1pppbp/1p4p1/2p5/8/2P2NP1/PP1PPPBP/RNBQ1RK1 w kq -,d2d4
8/2B5/2b1B3/5p2/pK1k2p1/4p1Pp/5P1P/8 w - -,f2e3
5rk1/5p2/6pp/P4n2/qP2RQ2/5N1P/1r1R2P1/6K1 b - -,b2b1
r4rk1/1pp2ppp/pb1q2b1/2nP4/2BN4/2P1B2P/P4PP1/2RQR1K1 w - -,d1d2
r1bqr1k1/ppp2ppp/2nppn2/6B1/2PP4/P1Q1PN2/1P3PPP/R3KB1R b KQ -,e6e5
r1bq1rk1/1p1n1ppp/p1pbp3/8/P1PPB3/5N2/1P3PPP/R1BQ1RK1 b - -,d7f6
r1b2rk1/p4p1p/2pq2pb/3pp3/N2P4/4P1PP/PP3PB1/2RQ1RK1 b - -,e5e4
r1bqr1k1/1p1p1ppp/2p2n2/p1b1pPB1/3nP3/P1NP1N2/BPP3PP/R2QK2R b KQ -,d7d5
8/5n2/1pN3p1/p2Pk2p/P6P/6P1/1P6/5K2 b - -,e5d5
8/4kp2/4p1p1/4P1P1/3K1P2/R3P3/8/2r5 w - -,a3c3
r3r1k1/pQ3pb1/4p1pp/q7/8/6P1/PP2PP1P/R1B1R1K1 w - -,c1f4
8/1b3p1p/p2k1p2/3P4/3K1N2/8/P4PPP/8 b - -,f6f5
r1b2rk1/ppp2pp1/2Pp1q1p/3Pp2n/4P2n/2PBBP2/P3NKPP/1R1Q3R b - -,b7b6
8/8/4k3/2K1p2p/4P2P/5Nb1/8/8 b - -,g3f2
r7/5pk1/2p3p1/2q1p2P/1pN1P2P/1P1P1PQ1/r7/2KR3R b - -,a2g2
r1bqk2r/ppp2pb1/3p2pn/3Pp2p/3nP2P/2N1BP2/PPPQ2P1/R3KBNR w KQkq -,g1e2
r1bq2nr/ppp1bkpp/3p4/3Q4/4P3/2Pp1N2/PP3PPP/RNB1K2R b KQ -,f7e8
4r3/4ppkp/p2p1np1/3P1P2/1qr5/1N5P/1PPQ2PK/4RR2 w - -,f5g6
2rr2k1/pppnq1pb/4p2p/3n1p2/PP1P4/BQ4P1/3NPPBP/R2R2K1 b - -,d7f6
r7/ppp1RQ1p/3q2pk/7r/1P6/8/1P4PP/5RK1 w - -,f7g7
r7/1pk2p1p/2p3p1/3p4/P2P4/b2KP3/2B2PPP/1R6 w - -,f2f3
8/p5bk/2p4p/6p1/1P1P2Q1/P2bP1NP/2q1BK2/8 w - -,h3h4:f2f3
2k3r1/pbnq4/1pp1pr2/5p2/2PP3N/2N5/PP1RQ1P1/3R2K1 w - -,h4f3
2r1r1k1/1pp1qpbp/3pbnp1/pN6/2P1P3/2N1B2P/PP2QPP1/3RR1K1 w - -,b2b3
1r3rk1/R4N2/2P1P3/1PK4P/5P2/5b2/6p1/6R1 w - -,f7e5
1rqk3r/pb1n1Pb1/6pp/1Q1p4/3P2P1/2P1BR1P/PP4B1/R5K1 b - -,c8c6
2r3k1/p2r1pb1/1pn3pB/2pN4/2P5/3P2P1/P4P1P/1R3RK1 b - -,c6b4
r2q1r2/pp2npbk/2npb1pp/2p1p3/2P1N3/3P1NP1/PP1BPPBP/R1Q2RK1 w - -,a1b1
1r2q1k1/2R2pb1/3p1p1p/p2P1B2/1p1p4/1P3QP1/P3PPKP/8 b - -,e8e5
4r1k1/7p/4B3/pb3P2/1b1Q4/3q2P1/P6P/1RR4K b - -,e8e6
4k3/4n1pp/n3pp2/1p6/1P1BPP2/3K2P1/2N4P/8 w - -,d4c5
rn1qkb1r/pb3ppp/1p2pn2/2pp4/8/1P1P1NP1/PBPNPPBP/R2QK2R b KQkq -,f8e7
r1b2rk1/ppq2nbp/2pp1np1/2PPpp2/1P6/BQN3P1/P2NPPBP/R4RK1 b - -,g8h8
4k2r/2pb1p2/1p1p1P2/2p3P1/2P1PK2/3B4/2P5/5R2 w - -,f1a1
5rk1/6pp/4p1b1/p1n1P1P1/7Q/pqP2P2/1P1R4/KR6 b - -,a3b2
8/p4pk1/5p2/6q1/4b3/6Q1/PP3PP1/4R1K1 b - -,e4d5
r3k1nr/ppp2ppp/2n1b3/q7/1bP5/2N1B3/PP3PPP/R2QKBNR w KQkq -,d1c2
r4bk1/1r3pp1/pq3n1p/2pbp3/2P1P3/2P3P1/2Q2P1P/R1B1RBK1 w - -,c4d5
2r2k1r/2q1ppbp/5n2/1R6/8/2N5/1PPB2PP/R3Q2K b - -,h7h5
1r3k2/R4p1p/3n2p1/2pPb3/1p2P3/1K3PPP/3R4/8 b - -,c5c4
2Q5/5ppk/p7/Pp5P/1P3P1q/8/5PK1/8 w - -,f2f3:c8f5
4r1k1/2qn1ppp/b4n2/p1pp4/8/2P5/PPB2PPP/R1BQN1K1 w - -,e1d3
2q2rk1/1p1bppbp/1n1p2p1/8/2PPP1P1/4BP1P/N5B1/2Q2RK1 w - -,c4c5
8/7p/4p1k1/4P3/p1RP2p1/P4rP1/6K1/8 b - -,f3a3
8/6p1/p1p1k3/4P3/1P2pP2/4P3/4K3/8 b - -,e6d5
r2qkb1r/pp1n1p1p/2p1pp2/5b2/3P4/3BB3/PPP1NPPP/R2QK2R w KQkq -,e2g3
2R5/1k2b3/p7/2PK2p1/1P3rB1/5p1P/1P6/8 w - -,c5c6
r3r1k1/R4p2/1p1p1qpb/2nPp2p/2P2n2/2P1RN1P/2B2PPB/3Q2K1 w - -,d1a1
rq3rk1/p2nbppp/1p1p4/3Rp3/P3P3/4B1P1/1PP1QPBP/R5K1 b - a3,f8c8
2rr2k1/1q3ppp/4p3/1p2P3/n1pB4/5PP1/P1R2NKP/Q1b5 w - -,c2c1
2rb4/1prq1pkp/p2p2p1/P2Pp3/1P2P3/2RQN3/5PPP/2R3K1 w - -,c3c2
r7/1p2k1pp/4b3/p3pp2/1PP5/8/P3BPPP/3R1K2 w - a6,d1b1
