8/4ppkp/5bp1/8/2q5/4P3/P4PP1/5BK1 w - -,f1c4
rnbqk1nr/ppp3pp/4p3/5p2/3P4/P1N2p2/1PP3PP/R1BQKB1R w KQkq -,d1f3
r3kb1r/pp2pppp/1qp1bn2/8/3P1B2/2N2Q1P/PPP2PP1/2KR1B1R w kq -,f4e5
r1bqkb1r/p4ppp/1pn1pn2/2pP4/8/3P2P1/PPPNNPBP/R1BQK2R b KQkq -,f6d5
2k5/1pp3p1/p1p2p2/6p1/3PK1P1/P6P/1PP5/8 b - -,g7g6
1qrr2k1/3bbpp1/3pp2p/1p6/3B2n1/1P3NP1/P2QPPBP/2RR2K1 w - -,c1c8
rn1q1rk1/p2p1ppp/1pp1pn2/3P4/2P2N2/2B3P1/PP2PP1P/2RQ1RK1 b - -,c6c5
r2r2k1/p1q1bppp/1pb1p3/2p1P3/4PBQ1/2P3P1/P4PBP/R3R1K1 w - -,h2h4
r4rk1/1p3ppb/1qn4p/p7/2Pp1R2/PP1P2P1/3Q2BP/1R2N1K1 b - -,g7g5
2r1k3/pp1n4/4p1p1/3p3r/5PN1/1P3K2/Pb5P/1R5R w - -,b1b2
4r3/p5p1/1k6/1p4b1/1P1p3P/P2B2P1/2K2P2/3R4 b - h3,e8c8
8/8/5k2/4pN1p/4P2P/3K4/8/4b3 w - -,d3c4:d3e2
r1bqk1nr/pppnppbp/3p2p1/8/3PP3/2P5/PP2BPPP/RNBQK1NR w KQkq -,c1e3
1k4rr/pp6/2q1p2p/3pPpn1/P2P1B2/1R5P/2P1Q1P1/1R4K1 b - -,h8h7
r2qkb1r/1p3ppp/p1n1pn2/3p4/3P1Bb1/2NBP3/PP2NPPP/2RQK2R b Kkq -,f8e7:f8d6
8/pp6/2p1rk1p/4nppB/P7/1PbPN1PP/2P2PK1/5R2 b - -,f5f4
r2qk2r/pp1n1pp1/2pbp2p/3p1b2/2PPn3/1P2PN2/PB1NBPPP/R2Q1RK1 w kq -,d2e4
4rrk1/1p1n1pbp/1np3p1/p7/Pq2P3/1BN1B2P/1PQR1PP1/5RK1 w - -,f1d1
r1bq1rk1/pp2npbp/3p2pB/2pNp2n/4P2P/3P2P1/PPPQ1PB1/R3K1NR w KQ -,g1e2
br3rk1/5ppp/pp1R4/4n3/1PP5/6P1/P2NB2P/R5K1 w - -,a1c1
r1r3k1/pp1bppbp/2np1np1/q7/2P1P3/2N1BP2/PPNQB1PP/R3K2R w KQ -,a1c1
8/8/4n1p1/Pk6/1P5K/5P2/3N4/8 b - -,e6c7
rn1q1rk1/p3ppbp/1p1p2p1/nB6/Q2PP3/N1P1BP2/5P1P/1R2R1K1 b - -,a7a6
2r2r1k/2q1bp1p/4p2P/p2pP1B1/P1n2Q2/1pPb2P1/5PB1/R1R2NK1 b - -,e7g5
r4rk1/1p1bq1bp/3p1n2/2pP1p2/p1PRpN2/P1N1B1PP/1PQ1BP2/1K5R b - -,c5d4
1rbq1rk1/4ppbp/2np1np1/1pp5/1P2P3/P1NP2P1/4NPBP/1RBQ1RK1 b - b3,c5b4
r1bq1rk1/1p1nb1pp/p1n1p3/2pp1p2/P2P1B2/2PBPN1P/1P1N1PP1/R2Q1RK1 b - -,d7f6
r4rk1/p1qn1pb1/1ppp2pp/4p3/2PPPn1B/2P2N2/P4PPP/1BRQR1K1 b - -,f8e8
5n2/1p2qpk1/1p4pp/2pQp3/P1B1P2P/2P2PP1/1P3K2/8 b - -,f8h7
1rr3k1/p4pb1/4p1pp/q1Pp4/N2n4/PP3B1P/5PP1/1R1QR1K1 b - -,d4b3
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/1P1BPN2/PB1NQPPP/R4RK1 b - -,a8c8:f8e8
5r2/3r1k2/1pR4p/3q1Pp1/3p2P1/5Q2/PP6/5R1K w - -,h1g2
2r1k2r/2q1ppb1/p2p1n2/1p2P2p/4P1pP/PNN5/1PPQ1BP1/1K1bR3 w k -,e5f6
r3rbk1/3n1ppp/2p1qnN1/Pp2p3/4P1P1/1N5P/1P2QPB1/R1BR2K1 b - -,h7g6
1r1qr1k1/3bPpbp/4nnp1/1pp1N1B1/2P5/2N2B2/1P1Q1PPP/R3R1K1 b - -,e8e7
8/8/2p5/3p4/3Pk3/1pQ3K1/p7/8 w - -,g3f2
4rnk1/1q2bpp1/p3p2p/1p1nN3/3PQ3/P4PBP/1P4P1/1BR3K1 b - -,e8c8
r4rk1/1b1qbppp/p7/7n/2PpN3/3B4/P1QB1PPP/R4RK1 w - -,a1b1
5k2/1N3b1p/1R3P2/p7/6KP/1r6/8/8 w - -,b6b3
5k2/8/3p4/3Pr1P1/4BK2/8/8/8 w - -,e4f3
r1bq1rk1/1p1nbppp/1npp4/p7/P2NP3/1PN4P/2P2PP1/R1BQRBK1 b - -,d7c5
8/3r4/1Pk5/2P1RK2/8/8/8/8 b - -,d7d1
2Q2n2/p4k2/4p2p/3pPNpP/5K2/1P3P2/3Q2P1/6qn w - g6,f4g4
r3rnk1/ppp1qppp/5pb1/3p1B2/3P3N/2PQP2P/PP3PP1/R4RK1 w - -,a1e1
3rr3/1pq2k1p/p1pbppp1/8/2PP1P2/1R3QPP/1P3BK1/3R4 b - -,d8d7
6k1/2q2p1p/p5p1/8/P1P5/4R2P/3N2P1/6K1 b - -,c7d7
8/6pk/4p2p/4Pp2/2r1rPq1/5R2/5QP1/5RK1 b - -,c4d4
4rrk1/1p4pp/pnp5/2R2p2/1P1p4/P2P1BP1/4PP1P/5RK1 w - -,f1c1
r2r2k1/p1nnqppp/1pppb3/3N4/4P3/1P4P1/PB3PBP/R2QR1K1 b - -,c7d5
r1b2rk1/pp1n2pp/3qp3/3pNp2/3Pn3/2PB1N2/PP3PPP/R2QK2R b KQ -,d7f6
r4rk1/2qnppbp/p2p2pn/1pp1P3/3PNP2/4BN2/PPP1Q1PP/2KR3R w - -,d4c5
r2qr1k1/1p1b1pp1/pbpp1nnp/8/3NP3/1BP1B1NP/PP3PP1/R2Q1RK1 w - -,d1c2
r2q1rk1/pp2ppbp/3pbnp1/4n3/2P1P3/1PN1BP2/P1N1B1PP/R2QK2R b KQ -,f8e8
3R2k1/1p2bppp/p1n1b3/4p3/8/1N2B3/PPP1BPPP/2K5 b - -,e7d8
5R2/3b1Bpp/2p3k1/2P2p2/4p3/2Pn4/5PPP/6K1 b - -,g6g5
5k2/2p5/8/K1PP1q2/5n2/P7/1B3Q1P/8 b - -,f8e8
1r2r1k1/ppqb1pbp/2p2np1/2P1pn2/1PNpP3/P2P1NP1/1BQ2PBP/R4RK1 b - e3,f5h6
r5k1/2R1ppb1/3p2p1/1q2n3/1P1BP1P1/1Q6/P7/1K5R b - -,e5f3
1rb1r1k1/5pp1/p6p/3P2nP/1qPQp3/1P2N1P1/2B5/2KR3R w - -,c1b2
2rr1bk1/2q5/p2n1pb1/1p1Pp2Q/1Pp5/2P3RP/P4PP1/R1B3K1 b - -,f8g7
2r1qr1k/pb5p/3p2p1/2nPppPn/1pB4P/4P3/PP1N1P2/R2QKNR1 b Q -,c5a4
2rq1rk1/3nbp1p/b3p3/p2p2p1/Pp1P4/1Q2B1P1/1P1NPPBP/2RR2K1 w - -,g2f1
r3r1k1/2qp1pbp/p5p1/3Qn3/Pp2P3/1P3N2/3B1PPP/1R3RK1 w - -,d2b4
rnbqkbnr/1pp1pp1p/p2p2p1/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,b7b5
8/8/5RP1/8/2p1pk2/2P5/6r1/3K4 b - -,f4e3
2rr4/1b2kppp/1p2p3/nB6/8/P3P3/1P1N1PPP/2R1K2R w K -,c1c3
2r3k1/5p1p/5p2/2q5/4R3/pQ1nP2P/4NPP1/6K1 b - -,d3c1
5rk1/2Pqb1pp/r7/Bp2P3/p2p4/5P2/PPR2P1P/3QR2K w - -,a5d2
4k3/1R2b3/8/1Kp1B3/2P5/1P5r/8/8 b - -,h3b3
8/8/3nk3/3p4/B4K2/B7/8/8 b - -,d6c4
6k1/p5pp/8/1P2Pb2/6q1/P7/1B6/K1R1R3 w - -,c1c7
3k1r2/2q3b1/1Qn4p/2p3pP/P1NpP3/6P1/2P2P1N/4R1K1 b - -,c7b6
r4rnk/pp1q1pbp/2ppb1p1/3Np3/2PnPP2/3PB1PP/PP2N1BK/R2Q1R2 w - -,d5c3
r1b1qrk1/1p1nbppp/n1pp4/p3p3/P1PPP3/2NBBN1P/1P1R1PP1/1Q1R2K1 b - -,e7f6
r1b1k1r1/pp3pBp/3p2p1/4p3/4P3/2N2QP1/P2q1P1P/1RR3K1 w q -,c3d5
r2qkb1r/1pp3pp/p1np1n2/4p3/2B1P1b1/2N1BN2/PPP2PPP/R2Q1RK1 b kq -,c6a5
r1b2rk1/p1q1bp1p/2p3p1/2pnN3/2N2p2/3P4/PPPB2PP/R2QR1K1 b - -,a7a5
3rrbk1/1bq4p/pn1p1ppB/np2p3/2pPP3/2P3NP/PPB2PPN/2QRR1K1 b - -,b7c8
8/4kp2/2R3p1/6r1/4p1N1/6KP/5P2/8 b - -,g5f5
1r3rk1/1p1qp1b1/2npb1pp/pNp2p1n/2P5/P1BP1NP1/1PQ1PPBP/1RR3K1 w - f6,c2d2
5R2/3Pkp2/6pp/8/5P2/p4KP1/8/r7 b - -,e7d7
rnbq1rk1/pp3ppp/3bpn2/2Pp4/8/3BPNB1/PPP2PPP/RN1QK2R b KQ -,d6c5
7n/1p2k3/b1p1p2p/2P1Pp2/1P3P2/1N2N1KP/8/8 w - -,b3a5
r1b2rk1/p2nbppp/1q2pn2/1p6/8/1B3NN1/PPP1QPPP/R1B1R1K1 w - -,c2c3
8/p4p2/1p2b1k1/3p3p/3Brp1P/R2R2p1/PPr2PPK/8 w - -,f2g3
r2n1q2/6kp/r1p2pp1/p3p3/Rp2P3/1N1P3P/1QP2PP1/R5K1 w - -,a4a5
r4rk1/1b2q1pp/p1p1p3/2R2p2/3Pp3/4P3/PP1N1PPP/3Q1RK1 b - -,f8d8
5rk1/1bp2pb1/pp1p3p/2q3nP/5B2/1BP1R3/PP4P1/3Q1RK1 w - -,g1h2
3qk2r/1p2b1pp/r7/p3Q3/8/3P4/1P3PPP/2R1R1K1 w k -,e5g7
r1b1k1nr/1pp2pp1/pbnp1q1p/4p3/PPB1P3/2PP1N1P/5PP1/RNBQK2R w KQkq -,c4b3
6k1/pp3p1p/b2qBPp1/6P1/3P1P1P/2P1Q1K1/8/8 w - -,e6b3
r2qkbnr/pp3pp1/2n1p1b1/2PpP2p/7P/2P3N1/PP2BPP1/RNBQK2R b KQkq -,f8c5
1r2nrk1/pppb1ppp/3p2n1/8/2P1P1P1/2PP1NBP/P7/1RR3KB b - -,f7f6
rq2nrk1/5pbp/p1n3p1/1pQ5/8/2N2N1P/PP3PP1/1RBR2K1 b - -,c6d8
1kr5/pp4p1/5p2/2b1n1p1/1P2P1P1/P1N3R1/8/K1B5 b - b3,c5b6
rnbqk1nr/pp2bppp/8/2p5/3p4/2N3P1/PPPPQPBP/R1B1K1NR w KQkq -,c3e4
1b3r1k/6pp/1PP5/8/2NB2q1/2Q3P1/5P2/5RK1 b - -,b8f4
1r2r1k1/bpq2ppp/pn6/4pPP1/1P2n3/2P2Q2/P2N3P/R1B2R1K w - -,d2e4
6k1/p4P2/4b2p/1pp1PQ2/6PP/P3q3/6BK/8 b - -,e6f7
3r2k1/5ppp/2p1p1n1/1r1n4/p1BP3P/P4NP1/1PR1RPK1/8 b - -,b5b6
r1bqk2r/p4pb1/1pp1n1pp/2p5/4P3/2NP2BP/PPPQ2PN/R4RK1 b kq -,e6d4
5rk1/2q3p1/p2p1b1p/1p1P1p2/1Pr1p3/P1P3PP/3B1P2/R1RQ2K1 b - -,f8c8
8/pb5k/1p4pP/3Ppq2/7r/6R1/PP1Q1B2/6K1 b - -,b7d5
6k1/5pb1/2b3pp/3p4/3P3P/1Br1B1P1/R4P2/6K1 b - -,c3b3
1r1q1rk1/2p1bppp/p2p1n2/8/P1BnP3/5P1P/5P2/R1BQRNK1 b - -,c7c5
5r2/1Q3pkp/2p1pnp1/p1R1N2q/P3P2P/5PP1/1P1r4/2R2K2 b - -,f6e4
R7/4k3/5p2/2r5/5KP1/P7/8/8 b - -,c5c4
r3r1k1/2pq1pp1/p4n1p/8/4p3/1QP1B1PP/PP4P1/R3R1K1 b - -,d7d6
3rr2k/pp4bp/2p1q3/3n1p2/3P4/1P2P1QP/PB4B1/R3R2K b - -,e6g6
3rq1k1/4npp1/1p2p2p/p7/2RP4/P5P1/1PQ2PKP/3R4 b - -,e7d5
r1b1r1k1/1pqn1pbp/p2p2p1/2pP4/P1P5/1Q1B1N1P/1P1B1PP1/4RRK1 b - -,d7e5
3rr1k1/1p3pp1/2p4p/R2n4/R2P4/1N1KP3/5P1P/8 b - -,f7f5
3kn3/R4R1p/8/1p1PP1b1/8/8/P5KP/2r5 b - -,c1c2
r2q1rk1/pp1n1pp1/3bpn1p/3p4/6PP/2NP4/PPPBQPB1/R3K2R b KQ -,a7a6
6k1/8/7p/3p3P/P2B4/1P4P1/2r5/6K1 b - a3,c2d2
2rr2k1/3nPppp/pp2p3/8/2P5/1N3NP1/PB2qPKP/2RR4 b - -,d8e8
2rr2k1/p4pp1/1p1b1np1/1B1pn3/N7/4P3/PP3PPP/2RRB1K1 w - -,b5a6
