8/5k1p/R4bp1/3P4/2K1B3/2P5/3r4/8 b - -,g6g5
r2qr1k1/1pp1ppbp/1nn3p1/p7/2bP4/2N1PNP1/PPQ2PBP/R1BR2K1 b - -,c6b4
8/4n3/pkbpB2p/1p4p1/3Pp2P/PP2P3/2K3P1/4B3 b - h3,a6a5
k2rr3/pp6/4qpQ1/3np3/1P6/P5PP/1B3RPK/4R3 b - -,e6b6
1r6/2pk3p/3p1p2/2pR1Pp1/r1P1P3/1PK2P2/7P/8 w - -,b3a4
2rq1rk1/5ppp/1p1bpnn1/p2pN3/2PP1PP1/PP5P/1B1NQ3/R4RK1 w - -,a1c1
1r4k1/3q1p1n/2pbb1pp/p3p3/2PpP3/P2P1NPP/3Q1PB1/R4NK1 b - -,b8b3
4k3/8/8/2N1Bnp1/P1p5/1p1p4/1K5P/8 w - -,c5b3
3Qn1k1/2pb1p2/1pnp1b1p/3Pp1pP/1PP1P1P1/2N1BP2/4BN2/6K1 b - -,c6d8
r1r3k1/1b3ppp/p3pn2/1p1pn1P1/3NP3/P1P1BP2/1KP4P/3R1BR1 b - -,f6e8
8/p7/7p/1P1p3P/1N3p2/3P1K2/P2P4/2b1k3 w - -,b4d5
8/4N3/p7/P3np2/1P1K1pkp/8/7P/8 b - -,f4f3
r4k2/1p2q1p1/1np2nB1/p3pQN1/Pb5r/2N5/1P3PPP/R3R1K1 b - -,b6d7
r2qk2r/pb1pppbp/1p2n1p1/8/2P1P3/2N1B3/PP2BPPP/2RQK2R w Kkq -,f2f3
rnb1k2r/ppp1qppp/5n2/3p4/1bPP4/2N1B3/PP3PPP/R2QKBNR w KQkq -,f1d3:f1e2
1kb4r/1pb5/p1p3n1/P1NP1pq1/1P3Np1/3BQ1P1/7r/1KR1R3 b - -,g6f4
rnb1r1k1/pp1p2q1/2p3p1/4bpBp/2P4P/2N3P1/PP1QPPB1/2R1K2R b K -,d7d6
7r/pp1k3p/1q1n2p1/1P1Pp3/1P4Q1/7P/4NPP1/5RK1 b - -,d7c7
4r1rk/pp3p1B/7p/2nP4/2P4P/P3q1P1/2Q1N1K1/2R1R3 b - -,c5e4
3b4/3b4/p5N1/2B1k3/2p4p/P1P2K1P/8/8 b - -,e5f5
8/pkq2pR1/1r2pP2/2ppP3/Q7/KP6/P1P5/8 w - -,a4f4
r2q1rk1/1p2bppp/2npbn2/pB2p3/4P3/1NN1BP2/PPPQ2PP/3RK2R b K -,c6a7
r7/8/4p1k1/1p2bp2/8/1P4P1/P1R1KP2/4N3 w - -,e1d3
8/4k2B/p2p3b/1p2p3/8/4p3/PP4PP/3K4 b - -,d6d5
5rk1/2p2rb1/np1p2qp/pN1Pp1p1/2P1Nn2/4BP1P/PP1Q2PK/2R2R2 b - -,f8a8
r3kb1r/1bqn1p1p/pp1ppnp1/8/P1PNP3/3B1P2/1P2Q1PP/R1BN1RK1 b kq -,f8g7
r1rb2k1/1bq2p1p/p2p1Pp1/2nPp1P1/1p2P3/5N2/PPB1Q2P/R1B3RK w - -,e2f2
1r3k2/8/3p1pp1/2p4r/3n1P2/1P2R1P1/1N1R4/6K1 b - -,d6d5
5rk1/8/2q1rbp1/2p4p/p1b1pB1P/2P1R1PN/P4R2/4Q1K1 b - -,c4d3
1r1qr1k1/p1n2pb1/3p2p1/2BP3p/Ppp1PP2/2Nb1B2/1P3NPP/2RQR1K1 b - -,b4c3
2r1n1k1/1bq1bpp1/3rp2p/4p3/1p2P2P/p2N1QN1/PPPRBPP1/1K5R w - -,h1d1
5r1k/6b1/3p3p/6p1/2Q1P3/q4N1P/5PP1/3R2K1 b - -,f8e8
6k1/5pp1/1pN1p2p/8/8/b1R3P1/1r3PKP/8 b - -,a3c5
3r2k1/N3ppb1/n5p1/2p1Pn1p/P3NB1P/2P2P2/1PK3P1/7R b - -,d8d5
r3nrk1/pp3ppp/2p1b2q/4p3/2BQ1P2/P3N3/1PP3PP/R4RK1 w - -,f4e5
r3b1k1/p4p2/1ppq3p/4NP2/3PQ3/1P6/P6P/R6K w - -,a1g1
rnbq1bk1/pp1p1ppp/4Bn2/2p3B1/8/1QN1PN2/PP3PPP/R3K2R b KQ -,f7e6
r1bqk1nr/1p2ppbp/n1pp2p1/p7/P1PPP2P/2N1B3/1P2BPP1/R2QK1NR b KQkq h3,h7h5
r2qkb1r/1p1npppp/p1p2nb1/2Pp4/3P1B1N/2N5/PP2PPPP/R2QKB1R w KQkq -,e2e3
8/6kp/2np2p1/p1q1p3/Pp2Pp2/1P1P4/1Q2NPPP/5K2 w - -,e2f4
r1b1qrk1/pp4bp/n1p3p1/4P2n/2P1P3/P1N2N2/1PQ2PBP/R1B1R1K1 b - -,c8g4
8/p3bkp1/1Q2p2p/1p1rPp2/1P6/P4N2/5PPP/4R1K1 b - -,a7b6
r4rk1/pp2bppp/1q2pn2/3pn3/8/2NPP1PP/PP3PB1/R1BQR1K1 b - -,a8c8
2r5/8/p7/1p4p1/3k4/5PP1/PR3K2/8 b - -,c8c5
3r1rk1/pp2ppbp/n1p1bnp1/8/1q1PP3/2N2NP1/PP2QPBP/R1BR2K1 b - -,b4c4
8/6k1/p5pp/4p3/1Pr1B3/P1p2KP1/3bRP1P/8 b - -,c4e4
r1bq1rk1/pp3ppp/2n2n2/1N2p1B1/2Nb4/6P1/PP2PPBP/R2Q1RK1 b - -,h7h6
2r5/p2npk2/1n2p2b/3p2pp/2pBPP2/2N3PP/PPR5/3R2K1 w - -,f4g5
8/8/p7/1p6/6p1/P2R2Pk/r7/5K2 b - -,a6a5
2r3k1/3p2p1/4p2p/pb3p2/Nr1p4/1P1P2R1/2P1RP1P/K7 w - -,a4b2
r1bq1rk1/ppppbppn/2n4p/4P3/2BP4/1Q3N2/P2N1PPP/R1B1R1K1 w - -,c4d3
8/5k2/8/p1p3P1/P3K3/8/8/8 b - -,f7g6
r2qkb1r/ppp1pppp/2n5/8/3PP1b1/2n2N2/PP3PPP/R1BQKB1R w KQkq -,b2c3
r3r1k1/1p1q1ppp/p1n2n2/2b5/P2p1Bb1/5N2/1PPNBPPP/R2Q1RK1 w - -,d2b3
6k1/4R1p1/2b2Q1p/3p4/1p6/1P6/2n3BP/7K b - -,g7f6
r1b2rk1/ppp1q1pp/n2n4/3Ppp2/1P6/P1NB4/2P3PP/R1BQ1RK1 w - f6,c1b2
2k3rr/1p1b1p2/p3p3/3pPnPP/P4P2/2NP3R/8/1RB1K3 b - -,d5d4
4r1k1/p4p1p/1p2p1p1/3nP3/8/2B3qP/PPQ2bP1/2R2R1K b - -,f2c5
r4bk1/1bq2p1p/3pp1p1/1P6/1PnNPP2/r5PP/2Q1RBB1/3R2K1 w - -,g1h2
1r1qr1k1/3b1p1p/2p3p1/3p4/5Q2/1P1B3P/2P2PP1/3R1RK1 b - -,e8e7
rr4k1/4bppp/4p3/1q1bP3/p1pP4/2B5/1P1NQPPP/R3R1K1 w - -,a1a2
B5k1/5p1p/4pn2/2n3B1/1R6/1bp3P1/4PP1P/6K1 b - -,g8g7
r3kbr1/q4p2/p3bB2/1p1pPp2/1P1P4/1N4P1/P2Q2P1/1R2R1K1 w q -,b1c1
6k1/8/6p1/3QP2p/5P1P/b5P1/2q3BK/8 b - -,g8g7
6k1/p1r1np2/1pBqp1pp/8/1P3P2/P1R2QP1/3r1PKP/2R5 w - -,c6e4
r3k2r/1p2bppp/pq2pn2/n2p4/3P1B2/P1NQPN1P/1P3PP1/R4RK1 w kq -,b2b4
r3k2N/ppp1b2p/2nqbn2/1B6/4p3/2Q5/PPPP1PPP/R1B1K2R w KQq -,d2d4
1r1rq1k1/2p2p1p/4p1pQ/p2nP3/p2P4/3BPRP1/1P5P/5RK1 b - -,d8d7
3r2k1/p3pp1p/1p4p1/2p5/P1P5/2b3P1/1R1RPP1P/4K3 b - -,d8d2
6R1/r1k5/8/1Bn5/8/P1K5/8/8 b - -,c7b6
8/2p5/3knpp1/1p2p2p/1P2P3/1N1KP3/1P4PP/8 w - -,b3a5
r1q1r1k1/1b3pp1/pn5p/1p2p3/1Q6/2P1PP2/P3B1PP/2BRK2R w K -,e3e4
1r4k1/1r2q1bp/3p2p1/pbpPp1P1/4Pp2/1P1B1P2/P3QBR1/1K5R w - -,b1a1
3nr3/6k1/p2p1pp1/2pP4/1pP2PP1/1P3K2/P7/3R1N2 w - -,f1g3
8/8/k6r/1RK1N3/8/8/8/8 b - -,h6h5
5bk1/1p3p1p/2p3p1/4B3/P4P2/2P2nPP/5KN1/8 b - -,f3e5
6k1/4bp2/2qpp1p1/7p/1r2PP2/1P1Q3P/6PN/4R2K b - -,c6b7
r2r2k1/1b2qppp/p3p3/1p1pP3/3NnP2/3BQ3/PPP3PP/4RRK1 b - -,a8c8
5bk1/5p2/Qp2p1pp/2p5/2P4P/6P1/Pq3PB1/6K1 b - -,f8g7
4r1k1/1b2rp2/1p1q4/pP1P1Bp1/2p1p1Pp/2b1P2P/P1QR1P2/2R3K1 w - -,c2c3
r3k2r/1pp2pp1/2pb1q1p/p7/4P1b1/PNN5/1PPQ1PPP/R4RK1 b kq -,d6f4
4k3/p4p2/6rp/7p/R7/P6K/6P1/8 b - -,a7a6
r1b1k2r/1p1pnppp/p1n3q1/4p3/4P3/2N2P2/PPPQ2PP/R1B1KB1R b KQkq -,e8g8
2r1k2r/1bq2pp1/p1nppb1p/1p6/2n1PPP1/PNN2R2/1PP1Q1BP/2BR3K w k -,e2f1
r1bq1rk1/pp1nbppp/2n1p3/8/2Pp4/BP1P1NP1/P4PBP/RN1QR1K1 b - -,a7a5
2r5/1p3k1p/pKb2pp1/P2p4/3N4/1P2R3/2P2PPP/8 b - -,f6f5
8/p2k4/2pp1r2/2P5/3Pp3/4Nr2/P3KP1R/8 b - -,f3f4
r4rk1/pp2ppbp/1qbp1np1/8/2PNP3/2NQ4/PP3PPP/R1B2RK1 w - -,f1d1
r1q2rk1/1pp1bppp/2bp1n2/p7/3QP1P1/2N1B2P/PPP2PB1/3R1RK1 b - -,a5a4
rnbqkbnr/p4ppp/1p2p3/2p5/4P3/6P1/PPP1QP1P/RNB1KBNR w KQkq -,g1f3
r1bq1rk1/p2p1ppp/2p5/4p1B1/2B1n3/2Q5/PPP2PPP/R3K2R w KQ -,g5d8
6b1/K1k3n1/2Pp2p1/3Pp1P1/4P3/N7/4B3/8 b - -,g7e8
3rr3/1p1bpk1p/4np2/3N2pP/qP6/4Q1P1/5P2/3RRBK1 w - -,d5b6
r1bq1rk1/pp1n1pp1/2p1pn1p/3p4/1bPP3B/2NBPN2/PPQ2PPP/R3K2R b KQ -,b4e7
2Rn1q1k/3r4/pp1p1p2/3Q2p1/1P2P3/4B1P1/P4PK1/8 b - -,h8g7
5k2/p7/2p1p1pr/1pPpP1n1/1P1P2B1/P5R1/6K1/8 w - -,g4d1
r1bqkbr1/pppn1p1p/4p1p1/8/2BQP3/2P2N2/PP3PPP/R1B1K2R w KQq -,c1g5
2r3k1/p3rp1p/1n4p1/2p1q3/8/1P3BP1/P1Q2P1P/2R2RK1 w - -,c2c3
8/pR3p1k/4p1p1/4Q2n/6q1/5r2/5P1P/4RK2 w - -,e5e6
4r1k1/Q2n1rq1/3Pp3/2p5/8/2P2PPP/P6K/3R1R2 w - -,a7a3
2r2r1k/pp5p/4b3/3p1p2/3b1N2/6P1/PP1B1P1P/2KR3R w - -,c1b1
2r3k1/4bpp1/R2p3p/2pPp3/1p2P3/3PB2P/1P3PP1/6K1 w - -,g1f1
2b1k3/1p6/1PP2b2/2BP2pp/3NK3/2p4P/5P2/8 b - -,g5g4
3R4/6pp/2K5/8/8/4k3/4p1PP/8 w - -,c6d5
r1b1k2r/pp1n1ppp/5n2/q1Pp2B1/8/P1R2N2/1P2PPPP/3QKB1R b Kkq -,f6e4
5r1k/1pq2pp1/r1b2b1p/p3pP2/4B2P/2BPQ1P1/PP5K/2R2R2 w - -,h2h3
3r4/1b5N/pk1Bp1p1/4Pp2/1KP3r1/3B4/P7/3R4 w - f6,d3e2
r2r2k1/ppq1bppp/2n5/8/Q4P2/4B3/PP3PBP/1K1R3R w - -,d1d8
5rk1/p6p/5qpb/3n2N1/3p1Q1P/3P2P1/P3PP2/2R3K1 w - -,f4f6
r1bqk2r/pp2np1p/2npp1p1/2p5/2P2N2/2P1P1P1/P2P1PBP/R1BQ1RK1 b kq -,a8b8
r1b1k2r/pp3ppp/4n3/3pB3/4n3/2PN2P1/P3PPBP/R4RK1 w kq -,d3b4
1r3r1k/p3bpp1/1q2p2p/3pP2P/3P2Q1/4B1P1/Pn3P2/R1R2BK1 b - -,b8c8
5k2/5p2/1R2p1p1/1p4r1/8/PP6/1KP5/8 w - -,b2c3
k1r5/p4p2/1p1BpPp1/n2pP2p/P2P4/1P1Q1R2/2q3PP/4K3 w - -,d3c2
r5k1/1r2pbb1/2p2p2/6pp/nP1PP3/P1p1BNP1/5P1P/R3RBK1 w - -,e1c1
5rk1/1pp4p/2np2p1/r3p1q1/p7/P1PB2P1/1PP1QP2/1K1R3R w - -,d3c4
6k1/1br3p1/p1p1p1Bp/1pPq1p2/1P6/3QP3/P4PPP/3R2K1 w - -,d3c2
3b2k1/3r2pp/3p1p2/1p1RpP2/1Nq1P3/2PQ3P/4r1P1/3R3K b - -,c4d3
r2qk2r/pppN1p2/2n5/3p2pp/Qb1Pn3/2N3B1/PP2PPPP/2R1KB1R b Kkq -,d8d7
r2qk2r/pb3ppp/4pn2/2bp4/Pn1N4/2N3P1/1P2PPBP/RQBR2K1 b kq -,a7a5
rnb2rk1/1p3pbp/p2p1np1/q1pPp3/2P5/P1N2NP1/1P1QPPBP/R1B2RK1 w - -,a1b1
r6k/1b4pp/q3pb2/3p4/2rB1P2/PN6/1PPQ2PP/1K1RR3 b - -,f6e7
2r1r3/3bkpp1/p4n1p/1pN1p3/1P2P3/5P2/P5PP/R1R2BK1 b - -,c8c6
6k1/6p1/7p/2p2P1P/1rP2P2/1p2PK2/1R6/8 w - -,e3e4
2B2rk1/2q1bppp/p2p4/1p1P2P1/n1nN1B2/8/PPPQ3P/1K1R3R w - -,d2b4
r1b2rk1/pp3ppp/2p3n1/3p2b1/3P4/2P2NB1/PP3PPP/R3RBK1 b - -,g5f6
5rk1/1p4rp/1qb1p1p1/p1npPpQ1/3R1P1P/2N1P3/PP1R2PK/1B6 w - -,b1d3
4N3/5pk1/1pQ2bq1/p7/P1Pp4/6P1/5K2/1q6 b - -,g7h6
2R5/3q2pk/4pr1p/pp5P/4PN2/6P1/1PQ4K/8 b - -,d7d4
8/1p3k1p/r4pp1/3p3P/b2P2P1/2B2P2/1P3K2/5R2 b - -,a4d7
8/3R1pK1/8/1p4P1/k7/p4r1R/8/8 b - -,f3h3
r2qr1k1/1ppb1ppp/p2p1bn1/1N1P4/8/2P1B3/PP1QBPPP/R3R1K1 w - -,b5d4
5r1k/pQR2pp1/1n2B2p/3p4/3Pp3/4P1P1/1P3PKP/4q3 w - -,c7f7
3q4/3r1pkp/pp3pp1/3P4/3N4/2Q2BP1/PP3PKP/8 b - -,d7d6
r1bq1rk1/p3bppp/1pnppn2/2p5/4P3/1BP2N2/PP1PQPPP/RNB1R1K1 w - -,d2d3
8/8/8/5R1p/6p1/4K1P1/1r3Pk1/8 b - -,b2a2:b2b3
1r1qrn1k/ppp3pp/2npb3/3N1p2/4PP2/2R5/PPBN2PP/2RQ2K1 w - -,d2f3
2r1r1k1/3q2bp/bp2p1p1/p2pP3/3NpPQ1/BP2P3/P5PP/2R1R1K1 b - -,g8f7
8/8/6p1/5kP1/R7/8/p5K1/r7 w - -,a4a5
r1b2rk1/ppqnbp1p/2p2np1/4p3/2P5/1PN1P3/PB1NBPPP/R2Q1RK1 w - -,g1h1
4r1k1/pR3pp1/r7/8/2PK4/5B1R/P7/8 b - -,a6a2
7k/1p4p1/p2b1p1p/3p4/P2P2P1/4N2P/2Q2PK1/4q3 w - -,c2c8
2q1brk1/1r4pp/4p3/p1n1P1P1/p7/2N1QP2/1PP1B3/1K1R3R w - -,b1a2
r2qr1k1/1ppb2pp/3p2n1/2nN4/p1P1pP2/2N2BP1/PP1Q3P/3RR2K w - -,c3e4
6k1/pb6/2qr2p1/7n/2P3Q1/2NN1P2/P1P3PP/3R2K1 b - -,b7a6
rn1qk2r/pp2bppp/2p1pn2/8/3P3Q/2NB3P/PPP2PP1/R1B1K2R b KQkq -,b8d7
r7/P6p/1Bp3p1/R7/1P2K1k1/2Pp4/6Pb/8 b - -,h2c7
8/p1r2p1p/3kp1p1/R7/4P3/3K1P2/P4P1P/8 b - -,e6e5
r1b2rk1/2Bn1ppp/p1p1pq2/8/2NPP1P1/2P3Q1/P4P1P/R4RK1 b - -,f6g6
1r4k1/6pp/4pp2/p2pPn2/P2P3P/2K1P3/2P3N1/R7 w - -,e5f6
2kr3r/ppp3p1/2nbbq2/1N1p3p/3P4/P3QPP1/1PP1N1BP/R4RK1 b - -,h5h4
r2q1rk1/1p1b2pp/p2p1b2/3P1p2/2PNpP2/P3B3/1P1Q1RPP/R5K1 b - -,a8c8
2rq2k1/p2br2p/2p1pppb/4N3/3PB3/1P4P1/P1R1QPP1/5RK1 w - -,e5d3
rn1qk2r/p4ppp/bpp1pn2/3p4/1bPP4/1P3NP1/P1Q1PPBP/RNB1K2R w KQkq -,c1d2
3q4/6k1/1p1r1bp1/pQpPp2p/P3B2P/1R4P1/1P3PK1/8 b - -,f6e7
5nb1/p4p2/1kp1p3/1pN1PPp1/1P2P1P1/PB2K3/8/8 w - -,e3d4
2rr2k1/1pq2p1p/pn1pbnpb/4p2P/P3P3/1PN1NB2/1BP1QPP1/R3R1K1 w - -,a1d1
8/8/rp3pk1/1R6/5PPK/8/8/8 w - -,b5d5
r3r1k1/5pp1/p4b2/5n2/PP2PB2/3B1P2/8/2RR2K1 b - -,f5d4
2k5/5p1p/p1pB4/8/Pp6/1Pn2P1P/2P1rPK1/R7 b - -,a6a5
7r/1pp1npk1/p2r4/4p1nq/1P2P3/2PBR1P1/P4PQN/R5K1 w - -,d3e2
2br1rk1/1p2R1p1/2pB2qp/2P5/1PQ4P/6P1/5nB1/4R1K1 b - -,g8h7
2n5/p2Q2pk/3p3p/2q1p3/2PnP3/3B3P/6P1/R6K b - -,a7a5
bq4k1/4bpp1/4p2p/1p1nP3/1n1BN3/1P3NP1/5P1P/2Q2BK1 b - -,b4c6
2r5/1p1kpp1p/p2pb3/4b1P1/P3P3/2P1NKP1/1P1B3P/R7 w - -,h2h4
r1bq1r2/p3ppkp/2pp1np1/np6/3PP3/1BN1QN2/PPP2PPP/R3K2R b KQ -,d8b6
r4rk1/2qn4/1pp3b1/3p1pb1/3Pp3/1PB1P1pP/P1Q3P1/2KBRN1R b - -,c6c5
8/r5pk/3R4/4P1p1/3p4/8/7P/6K1 b - -,a7e7
1k3b2/1pr5/p2pB3/3Pp1r1/1PP1KpPp/5P1P/P2R4/2R5 w - -,e6f5
2b5/rp1pkpp1/4p3/p1P2r2/1P3PB1/6P1/P6P/2KR3R b - -,f5f6
r2q1rk1/pbpnppbp/1p1p2p1/8/3Pn3/4PN1P/PPPNBPPB/R2Q1RK1 w - -,c2c3
8/8/4k3/1R5p/p7/P1KB4/1p5r/8 w - h6,b5b2
8/2R5/3P4/1k6/1p6/2r5/1p1K4/8 w - -,c7b7
r1b1k2r/p2p1pQp/2p1p3/q3P3/1bP5/2n5/PP1B1PPP/R3KB1R b KQkq -,h8f8
8/5p2/2k5/pp5p/1r6/1P3RK1/7P/8 b - -,c6d5
8/8/6kp/5Pp1/1K1N4/1P5r/5P2/8 b - -,g6f6
2r1q1Rk/1p2bp1p/p1np4/2p2P1n/P7/1BN1BP2/1PP1Q2P/3R3K b - -,e8g8
4k2r/1q1nbp2/pp2p3/4P1p1/P4r2/2N2NQ1/1PP3PP/R3R2K w k -,f3d2
2r3k1/8/p3p1n1/1q2r2p/1p1Q3P/4B3/PPP3P1/4R2K w - -,d4a7
8/1p1kbp2/4b1p1/3pPp1p/3P1P1P/3KN1P1/rP1B4/2R5 w - -,d3c3
r2qk2r/p1p3bp/5pp1/1b6/2pP1N2/2P1P3/5PP1/R2QKB1R w KQkq -,f1c4
3r2k1/ppq2rbp/2bnB1p1/8/2PP1BP1/3Q3P/P4P2/R3R1K1 b - -,c7a5
3r1rk1/pbn2pp1/1p2q2p/2b1P3/8/P1B2N2/1P2QPPP/1B1RR1K1 b - -,e6g4
2r2rk1/1p2ppbp/p1qp1np1/4n3/2P1P3/1PN1BP2/P2Q2PP/1RR2BK1 b - -,c6d7
5rk1/2q1b1p1/prbp4/3Ppp2/1p3P1p/5B1P/PPPQ2P1/1K1RR3 w - -,d5c6
8/4k3/1Kp3p1/p3p3/Pp2r3/1P1R3p/2P4P/8 w - -,d3h3
2r2rk1/p2qnbbp/1p3pp1/3p4/1PnP3P/2B2NP1/2P1NPB1/RQ2R1K1 w - -,e2f4
r2qr1k1/pppb1pbp/2np2p1/2n5/2PNP3/2N1B1PP/PP3PB1/2RQR1K1 b - -,c6e5
r1n2b1r/1pk3pp/2p1bp2/p1n1p3/2P5/1PN1P3/PB1NBPPP/2RR2K1 b - -,f8e7
6k1/p2Bn3/1p3p1B/5P2/4K1P1/1P4b1/P7/8 w - -,h6c1
r1b2rk1/pp3pbp/2p2np1/3p4/3P3B/2P1P3/P2NBPPP/1R3RK1 b - -,f8e8
2r3k1/ppq2pbp/5pp1/4pb2/6P1/2N2P2/PPPQ3P/2KR3R b - g3,f5e6
r7/p3k1pp/1q1rp3/2p2p2/2P2P2/3Q2P1/PPK4P/1R3R2 w - -,d3c3
4k2r/1pR2p2/1q1B3p/3p2p1/3b4/3P2P1/Q3PP1P/6K1 w k -,a2a8
1r3rk1/p2bpnbp/2pp1pp1/8/3PP3/1PN1B2P/P2NRPP1/2R3K1 b - -,f6f5
2r2r1k/2bn2np/pqp1bppB/4p3/B3P3/1PN1N3/P3QPPP/2R2RK1 b - -,c7b8
2r1r1k1/1ppnqpp1/p1b1pn1p/8/3P1BP1/P1P1QN1P/4PPB1/R3R1K1 w - -,c3c4
1r2r1k1/2p4p/1p1bnnp1/p2pNp2/3P1P2/1PN1P2P/PB4P1/2RR2K1 b - -,b6b5
1r3k2/p1q2p1p/1p2p1p1/4P3/2p2PP1/3Q4/PPP4P/2KR4 w - -,d3d7
5rk1/2p1r1q1/3p1np1/pB1P1p2/Pp3P2/7R/1PP2QP1/1K5R w - -,f2h4
3r3k/pp3p1p/1np3p1/4b2n/4P2P/1B1qBP2/PPQ1NP2/1K4R1 b - -,h8g8
r5k1/4pp1p/3p2p1/N2Pn3/1P1RP3/2P3PP/2QB2K1/q2n4 b - -,d1b2
8/3Q2k1/1p6/p1p5/P1P3pP/3P2K1/2q5/8 b - -,g7f6
8/8/p4pk1/1p1pnQ2/1P1B2P1/P2P4/4q3/7K b - -,g6g7
1r1r2k1/2p2pp1/2p1p2p/p2n4/P2P4/1PB1P1P1/4RP1P/R4BK1 b - -,d5c3
3q4/1p2rp1k/3p1Bp1/1PrP1n2/2N1p1pP/4PnP1/1Q2KP2/2RR4 w - -,f6e7
rnbqk2r/ppp2pp1/5B1p/3p4/1b1P4/2N5/PPQ1PPPP/R3KBNR b KQkq -,d8f6
5k2/6p1/1p5p/2pP2R1/K6P/2r5/P4r2/R7 w - -,g5g4
6k1/8/p2p3p/1p1Pq1p1/1K1R2P1/1PR4P/1P1N4/4n3 b - -,e5d4
r3r1k1/pp4pp/3b1p2/2pq1P2/P1P1p1PP/1P1nP1NK/1B6/R2Q1R2 b - -,d5c6
8/1p1k3p/p4pp1/P3n3/1B3K1P/4P3/5P2/8 w - -,f4e4
rn1q1rk1/pp4pp/1npbbp2/5P2/3PN2N/6P1/PP4BP/R1BQ1RK1 b - -,e6d5
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2P2N2/PPBPQPPP/RNBR2K1 w - c6,d2d4:d2d3
