6k1/5pp1/8/8/B1pBnP2/6PP/n7/6K1 w - -,g1g2
3q1r2/6bk/2npb2p/5p2/pBPpp3/Pr1P2P1/1P2QPBP/1R2NRK1 w - -,f2f3
1r1r1k2/1P3p1p/p3p3/2p5/1n3P2/4P3/5PBP/1R2K2R b K -,b4d5
7r/1p3k2/p1r1b2B/4pp1P/8/5PN1/PPP4R/R3K3 b Q -,h8h6
2r1r1k1/5pn1/b3p1pp/ppqp4/3Q3P/2P2NPB/PP3P2/3RR1K1 w - -,d4f4
8/p1p1q2k/1pQ4p/7P/P7/6P1/5PK1/8 b - -,e7d6
rn3rk1/1bq1bppp/pp1ppn2/8/1PP5/PQN2NP1/1B2PPBP/R4RK1 b - -,b8c6
rq2k2r/3b1pp1/5n1p/3Pp3/6PP/PpQBBP2/1P6/2KR3R b kq -,f6d5
r4rk1/bpp3p1/p2pNq1n/3Pnp2/2P2B1p/1P4PP/P4PBK/R2QR3 b - -,a7f2
2r3k1/2qn1pbp/4p3/3pPp2/r7/P1P1BN1P/P3QPP1/R3R1K1 b - -,d7e5
r1bqk2r/ppp2ppp/2n5/1BbpP3/3pn3/2P2N2/PP3PPP/RNBQK2R w KQkq -,f3d4:c3d4
b2q1rk1/B2nbppp/p2pp3/3Nn1P1/1r2P2P/1N3P2/1PPQB3/1K1R3R b - -,e6d5
6k1/p2rpp1p/PpN2bp1/1PR5/8/5NPP/4PPK1/8 b - -,b6c5
2r2rk1/p4p1p/2p1bp2/q2p4/2pP4/bPN3P1/P1RQPPBP/R5K1 w - -,b3c4
3r4/5kp1/pnP2pp1/1p6/8/2P2N2/P4PPP/2R2K2 w - -,f3d4
2b3r1/8/p6R/1p1pk3/1PpN1p2/2n5/P3PP2/3R1K2 w - -,d4c6
3rkb1r/pp3ppp/2b1pn2/8/2N5/4P3/PP3PPP/R1B1KB1R w KQk -,f2f3
q5k1/3r1pp1/pQ1p1n1p/NprPp3/2P5/PP3P1P/3R2P1/3R2K1 b - c3,b5c4
3b4/4k2p/p5b1/4PP2/3BB3/4K3/7P/8 b - -,g6e8
1rbqkb1r/2p2ppp/p1n2n2/1p1P4/2p5/2N2NP1/PP3PBP/R1BQ1RK1 b k -,c6b4
5q1k/p2R3p/1p4pN/n1p1p1B1/8/2P2P2/P5PP/6K1 b - -,a5c4
r2qk3/3nbpp1/1p1p3r/p1p1p1p1/P1PPP1P1/2P1B2P/Q3BP2/1R2K2R w Kq -,a2b2
8/7p/5k1P/8/5KN1/8/8/r7 b - -,f6g6
2r5/5pk1/3Bp1p1/4P3/p2P2P1/Pn3N2/5P2/5K2 w - -,g4g5
4rrk1/pppb1p1p/3p2pq/3Pb3/2Pp1P2/1P1B2P1/PB1P1Q1P/R3R1K1 b - -,e5f6
7r/pp2k3/2p1bp1r/3p3n/1P1P4/P3P2P/5RBK/5RN1 b - -,h8g8
6k1/pp3r2/1bp2np1/3p3q/3N4/2P1B1Q1/PP4PP/4R1K1 w - -,d4e6
8/5N2/8/Rp4P1/3n1k2/p7/2r5/4K3 b - -,a3a2
1r1q2k1/5pb1/3p1npp/1ppPR3/7B/2N2Q1P/1P3PP1/3R2K1 b - -,d6e5
8/5ppk/bp2p2p/3pP3/p2P1PPb/Pq1NQK2/1P5P/4N3 w - -,e1g2
b7/p7/8/2p1k3/2B4R/PPn1r1P1/4p2P/4R1K1 w - -,h4h7
1q2k1r1/1p1npp1p/p1p2n1B/6p1/3PP3/1P3BP1/5P1P/Q1R3K1 w - -,a1a5
r2q1rk1/2p1n1bp/p2p2p1/np1P1p2/4P3/1BN1BQ1P/PP3PP1/R4RK1 w - f6,f3d1
1rb2rk1/p4ppp/1pnNp3/2n1P3/2p2P2/6P1/PP1K1B1P/R4B1R w - -,f1c4
4r3/pp3p1k/3p2bp/2pPr1p1/2P5/1P3P1P/P5P1/3RRBK1 w - -,e1e5
2r1r1k1/pp3ppp/1q1pbb2/4n3/3N1B2/2N5/PPP2PPP/R2RQ1K1 w - -,f4e3
r4rk1/1bqpb1pp/p4p1n/5P2/2PBN3/7P/P2PQ1B1/R4RK1 b - -,a8e8
6k1/1pr1q2p/pN1p4/P2Pb1p1/4Pn2/4BP2/KP1Q1P2/7R w - -,h1g1
8/8/8/4k3/PP5r/2pB4/2K1N3/4b3 w - -,e2c3
2r2r2/p5pk/2N2q1p/5b2/2R5/1BQ1PP1P/PP4P1/6K1 b - -,f6g5
2r3k1/4pp1p/2bp2p1/2p5/8/br2BNNP/R4PPK/8 w - -,f3d2
r2qkbnr/pp1n1ppp/4p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,g8e7:c5c4
rn1q1rk1/pp3pbp/4pnp1/3P2B1/3P4/5B2/PP3PPP/RN1QR1K1 b - -,e6d5
2r1qrk1/1b2pp1p/p5p1/BN1Pbn2/8/1Q6/PP2BPPP/R2R2K1 b - -,e8d7
8/8/5kp1/3P2n1/ppN5/8/PP6/3K4 w - -,c4b6
3r2k1/pb2qppp/2pr4/4p3/8/1P4P1/PQ2PPBP/2R2RK1 w - -,b2a3
6k1/5p1p/4n1p1/3BQ2P/8/6P1/1P3PK1/2q5 b - -,g6h5
8/3b3p/3k2p1/1p1Pp3/4Pp2/1B1K1P2/6PP/8 w - -,d3c3
r2k3r/1b1ppp1p/2pN2pQ/p7/5P2/1P6/Pq4PP/3RR1K1 w - -,d6b7
8/1B6/8/b3p3/2p1P3/1k3K2/1P6/8 w - -,b7d5
r2q1rk1/pb1nn1b1/1p2ppp1/1N1pP1Bp/5P1P/2N5/PPPQB1P1/2KR3R w - -,e5f6
r1b1k2r/p4ppp/4pn2/qp1n2B1/2pP4/P1P1PN2/3Q1PPP/1BR2RK1 b kq -,h7h6
5r2/1p2k2p/2pRb1p1/p1P2p2/P7/1PK1P1P1/5PBP/8 w - -,f2f4
r4rk1/1bqpbppp/p3pn2/4P3/2pN1P2/1PNnB1PP/P5B1/2RQ1RK1 b - -,f6e8
1rR5/1P3ppk/3Pp2p/8/8/6P1/5PKP/8 b - -,b8b7
r5k1/1p2qppp/2p3r1/8/p2N1Q1P/4BBK1/5PP1/3R4 w - -,g3h2
6rk/5p1p/p1n2N1P/2p5/2P5/4P2P/P4K2/1R6 b - -,g8g6
1r1r2k1/pb2qp1p/4p1p1/2p5/2B3Q1/1PPR4/P4PPP/3R2K1 b - -,d8d3
2rr1k2/pp1q1pn1/8/3p2Q1/3P3P/1P4N1/P5B1/5RK1 b - -,c8c6
r2rb1k1/5ppp/2pqpb2/2p1N3/p1P2P2/1PB1Q3/P2P2PP/1R3RK1 w - -,f1f3
3r2k1/pQ3p1p/1b4p1/4P3/3P2P1/2P1R2P/q4PBK/8 b - -,a2e6
6k1/5pp1/2p2n1p/2Bp1B2/1P4P1/5PKP/4b3/8 b - -,g7g5
1rb1nrk1/2q3bp/1p6/2pPp1pn/2P1Pp2/1N1B1P2/2Q1N1PP/R3BRK1 w - -,h2h3
2r5/3b3R/2kP4/pp6/P1pR1p1p/2Bn1P2/6P1/5K2 b - a3,b5b4
2k1n3/5Rp1/1p6/3PN1p1/3KP3/6r1/8/8 w - -,e5c6
r2q1rk1/pp2ppbp/2np1np1/2p5/2P1P3/3P2PP/PP2NPB1/R1BQ1RK1 b - -,f6e8
8/7p/4knp1/p1p1pp2/2P5/1PKB1PP1/1P5P/8 w - -,c3d2
r1bqkb1r/pp3ppp/2n1pn2/3p4/2PN4/6P1/PP2PPBP/RNBQ1RK1 b kq -,f8e7:e6e5:f8c5
r1bqkbnr/3ppppp/p7/npp5/B3P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq b6,a4c2
r1bq1rk1/ppp1nnbp/3p2p1/3Ppp2/2P1P3/2N1B1PP/PP1QNP2/R3KB1R w KQ -,f1g2
r3k2r/pp1b2pp/1qn1pb1n/3p4/1P1P2PP/P4N2/1B3P2/RN1QKBR1 w Qkq -,g4g5
5r2/rq1bbpk1/3pp1n1/6p1/1p1NP3/5QBP/PPP2RP1/1KNR4 b - -,g6e5
8/5p2/p2p1p1k/1p1R3p/1P5P/P1rp2PK/8/8 w - -,d5d6
r1bqk2r/ppp1bppp/8/3pP3/8/3B4/PPPB1PPP/R2Q1RK1 b kq -,e8g8
r4rk1/2q2pbp/2np1np1/2p1p3/p1P1P3/P1BP1NPP/2Q2PB1/R3R1K1 b - -,f6d7
r4rk1/1pq2ppp/p1nb4/2pB4/P1N2P2/1Q2P3/1P1Bb1PP/R3R1K1 b - -,e2c4
8/3b2p1/pn1Pk1p1/1p6/4K2P/1P3P2/P7/3R4 w - -,e4f4
8/4ppk1/6p1/1p1P3p/r6P/p1PR2P1/Q4P2/4q1K1 w - -,g1h2
r2qbrk1/ppp3bp/3p4/3Ppp1n/2P2P2/2N1B1P1/PP1QB2P/2KR3R w - -,d1f1
5k1r/4pp2/2B3p1/4r2p/1PP4P/6P1/5P2/R5K1 b - -,f8g7
rn1qkb1r/3n1ppp/bpp1p3/p2pP3/P2P4/1N1B1N2/1PP2PPP/R1BQ1RK1 w kq -,d1e2
2rqr1k1/pb3pbp/1p2pnp1/n2p4/2PP4/PP1BQN1P/1B1N1PP1/2R1R1K1 b - -,f6d7
rn2kbnr/pp1qpppp/3p4/2p5/2P1P3/5N2/PP1P1PPP/RNBQK2R b KQkq c3,g7g6:g8f6:d7g4:e7e5:b8c6
r1bq1r1k/ppp3bp/5pp1/8/3PpP2/1Q2B2P/PPP1N1P1/R4RK1 w - -,f4f5
r1bq1rk1/pp3ppp/1np1pn2/P7/2pP4/2P1BNP1/2Q2PBP/R4RK1 b - -,b6d5
r1br2k1/1pq1bppp/p1n1p3/2p1n3/4N3/1P3NP1/PBP1QPBP/R2R2K1 w - -,f3e5
4r3/3q1pbk/3p2p1/2p5/1p1p3r/1P1R1R2/3Q1PKP/5N2 w - -,h2h3
8/8/8/6R1/4p2p/6PP/4k2K/2r5 b - -,h4g3
4r1k1/1p2rppp/1pp2nb1/8/P3PP1P/2N5/1P4BP/3RR1K1 w - -,g2f3
8/p5k1/3R2p1/4r2p/2pN2bP/P3p1P1/1PPr4/2K1R3 b - -,e5e4:a7a6
2rb1rk1/pp4pp/3p4/nP1Npq2/2P5/3P1N2/5PPP/1R1Q1RK1 b - -,g7g5
1r6/3k4/2nbpp1P/3p1q2/2pP4/P1P1QP1N/Rn5P/4R1NK w - -,h6h7
3r4/p1q1p1kp/1p1r1pp1/n1p5/2P1BP2/2QP2P1/PR2P2P/5RK1 b - -,g7f7
r2qr1k1/2pb1ppp/1p1p1bn1/pP6/2PNP3/PQ5P/1B3PP1/3RRBK1 w - -,d4f3
8/R3ppkp/pp2q1p1/8/2P5/1P3R1P/5PPK/8 b - -,b6b5
4r1k1/2pq1pp1/p1n2b1p/1p1rp3/3PR3/2P2N1P/PP3PP1/R1B2QK1 w - -,f1e1
rnbqk2r/pppp2pp/4pn2/5p2/1bPP2P1/2N5/PP2PP1P/R1BQKBNR w KQkq -,g4f5
8/7R/2k5/2p5/P3p2P/2K3P1/r7/8 b - h3,a2a3
r2qkbnr/p1n2ppp/1pp1p3/3pP3/3P1P2/2P2N2/PP4PP/RNBQK2R b KQkq -,g8h6
3r2k1/2qr1pp1/2pbpnp1/p7/1pPP1B2/1P1R1QNP/P4PP1/3R2K1 w - -,f4g5
8/3Q3p/6pk/p7/Pp1p1P1q/1PrBnR1P/6PK/8 w - -,d7d4
6r1/1p6/2p4p/2P1kp2/p4N1P/P1KB1PP1/1P6/8 w - -,f4e2
8/8/1k4b1/p7/5N1P/5K2/7r/2R5 b - -,g6c2
r3k2r/1p4pp/p3p3/2nnq3/6P1/3QBB2/P1P2PKP/1R5R w kq -,d3d4
r2q1rk1/pppnbppp/5nb1/8/2BP4/2N3N1/PP3PPP/R1BQ1RK1 w - -,h2h4
2r2bk1/3b1qpp/p2prp2/1p1N4/2PBP2P/1P4Q1/P5P1/3RR1K1 w - -,c4b5
rn2k2r/pp3ppp/2p1pn2/q4b2/1bBP4/P1N5/1PPBQPPP/2KR2NR b kq -,b4c3
r5k1/p2n1r1p/1p1Bp1p1/2pp4/5PP1/1P1PP3/P6P/R4RK1 w - -,h2h3
6k1/6pp/p2p4/1p3nP1/4pP1P/PPq3NK/2Pr4/2Q3R1 w - -,c1e1
rn2k2r/pp2ppQp/4b3/2p1N3/3q4/7P/PPP2PP1/RN2K2R b KQkq -,h8f8
r4rk1/1pqnbpp1/p1pp1n1p/3Ppb2/PPP5/1QN1BNP1/4PPBP/R1R3K1 w - -,d5c6
8/1p6/4nB2/1ppk3p/3P4/PP1K2P1/8/8 w - -,d4c5
r1bqk1nr/pp1n1pbp/2ppp1p1/8/3PPB2/1B3N2/PPP2PPP/RN1Q1RK1 b kq -,d8e7
r2q1rk1/pb1nbpp1/1p2pn1p/2pp4/3P3B/2PBPN2/PP1NQPPP/3R1RK1 b - -,f6e4
r1b2rk1/1ppp1ppp/p5n1/4q3/2P5/2N1P3/PP2BPPP/R2Q1RK1 w - -,d1d2
r4rk1/1pp2pbp/p1n2np1/4p3/2N1P3/2N1BP2/PPP3PP/3RK2R w K -,e3g5
2br1rk1/2q1bppp/pp1p4/2n1p3/2P1P3/1PN1Q1PB/PB3P1P/2RR2K1 w - -,c3d5
2q3k1/5pb1/pR4p1/4p2p/3pP2P/2rP2P1/P4P2/3Q1BK1 w - -,d1b1
r4rk1/1p3pb1/pqpp2pp/5b2/2P1P3/3N2P1/PPQ2PBP/3RR1K1 b - e3,f5g4
rn1qk2r/pbppbppp/1p3n2/3P4/8/P1N2N2/1P2PPPP/R1BQKB1R b KQkq -,e8g8:a7a5
r1b3nr/pp1nkp1p/2p3p1/4p3/2P1P3/2N1b3/PP1N1PPP/2K1RB1R w - -,e1e3
K7/P1k4R/8/8/8/8/8/1r6 b - -,c7c8
4r1k1/pp3pp1/1b2p2p/1q1pP2Q/1Brn2P1/P4N2/5P1P/3RR1K1 w - -,d1d4
1k1r3r/pp1qnp2/3bb2p/4p1p1/1P1pP2N/3P4/P2BBPPP/R2Q1RK1 w - g6,h4f3
8/7p/4p1k1/6P1/1Pp1P3/P5P1/2K2P2/3R3r b - -,h1h2
r2q1rk1/2nb1pp1/p1pp3p/4pN2/1P2P1Pn/2NPP2P/R1P3B1/Q4RK1 w - -,a1e1
1B1qr1k1/3n2b1/b1n1p1p1/2pp4/p7/P1PP1N2/4Q1BP/R2N1RK1 b - -,d8b8
2kr4/2pbqp1r/1p1p2pn/2nPp2p/p1P1P2P/P1N1NP2/1PBQ2P1/2K3RR w - -,e3d1
6k1/5p1p/1pB1p1p1/1P6/n7/5P1P/3rq1P1/R5QK b - -,a4c3
r2qnrk1/pp2bppp/2ppn3/4p2b/4P1P1/2PP1N1P/PPB2P2/R1BQRNK1 b - g3,h5g6
2k4r/ppp5/2n3pq/5b2/3P2p1/2P3P1/PP1N1Q2/R4RK1 w - -,f2g2
r2nk2r/1p2np2/pq1pbbpp/2p1p3/4P3/P1PP2N1/BP1N1PPP/R1BQ1RK1 w kq -,d2c4
r1b2rk1/p1q1p1b1/1pn1P1pp/2p2p2/2B5/2P2N2/PP1NQPPP/R3R1K1 w - f6,a1d1
rnbq1rk1/1p2bppp/2p1pn2/p2p4/2P5/1PN2NP1/PB1PPPBP/R2Q1RK1 b - -,b8d7
4r1k1/1b4pp/2p5/p2p4/N3r3/bP2B2P/P4PP1/1R1R2K1 b - -,a3d6
8/p5k1/2pr4/2p2r2/5p2/1P2pN1R/P1P5/4RK2 w - -,f1e2
2r2r1k/p2bpqbp/2pp1n2/5p2/1PNP1Pp1/P4PP1/1B2Q1BP/2R2RK1 w - -,f3g4
8/P2N4/1k6/2p4p/6p1/2K2bP1/7P/8 b - -,b6b5
r1b1k1nr/p1pp1ppp/2p2q2/2b5/4P3/2PB4/PP3PPP/RNBQ1RK1 b kq -,g8e7
4b2k/r6p/1pN1p2p/1Pbp4/3n4/P2B2NP/5PP1/4RK2 b - -,e8c6
8/ppp1k3/2p5/8/5Pp1/1P4K1/P1n5/4B3 w - -,e1f2
r1b1k2r/ppppqpnp/2n3p1/4P3/2P3P1/5P1N/PP2P2P/RN1QKB1R w KQkq -,f3f4
r3k1nr/ppp2ppp/2nqp3/3p4/3P1P2/5bP1/PPPNBP1P/R2QK2R w KQkq -,d2f3
2r2k2/3b1ppp/3p1b2/1prP4/1N1p4/P2B2P1/1PR2P1P/2R3K1 w - -,h2h4
2rq3k/R3p2p/5p2/1r1P1Q2/1np5/5N1P/1P3PP1/4R1K1 b - -,b5d5
1r1r2k1/1b1p1p1p/p3p3/1pB3Pp/2n1PP2/1NP5/P1P4P/1K1R3R w - -,h1e1
5r2/3b3p/1p1p4/p1k1p1p1/2P1P1P1/2P1KP2/1R5P/1B6 b - -,f8h8
6Q1/2k5/3p4/1b3p2/2PP1P2/5BP1/5PKP/1q6 b - -,b5a4
r4rk1/p1R2pp1/bp3qnp/3p1N2/4P3/P6P/1P1Q1PP1/1B3RK1 w - -,f1c1
2r1r3/p4pkp/4p1p1/np1p4/3P4/1BP5/PP2RPPP/4R1K1 b - -,a5c4
8/b3n1k1/1q2P3/p2p1p1p/Pp3P2/1Q3NP1/1P2R3/2r1BK2 b - -,b6a6
1r4k1/5pp1/6bp/8/2BNn3/b3P1PP/5P2/B2R2K1 b - -,e4d2
8/PR6/r5p1/5k1p/2K4P/6P1/8/8 b - -,f5g4
r2r1bk1/1pq2pp1/p3p2B/P1n1P3/2Np2Q1/8/1P3PPP/2RR2K1 w - -,g4g3
r5k1/3rpp1p/2p1q1p1/p2nP3/4PP2/B2R1Q2/P4KPP/3R4 b - -,d5b6
r1bqk2r/pp1pbp1p/4pnn1/2p5/2P2Np1/2NP2PP/PP2PPB1/R1BQK2R b KQkq -,e7d6
2r2k2/8/p7/3pP2p/P5p1/2PR4/5P1P/6K1 w - -,h2h3
r2nqr1k/p2nb2p/1pb1p1p1/3pPp2/2pP1PP1/P1N1BBN1/1PPQ3P/2R3RK b - -,f8g8
r2qr1k1/1b3ppp/3p1bn1/2pP4/pp2PP2/4B1PP/PPB1R2N/1R1Q2K1 w - -,h2g4
3r2k1/5pp1/3npbp1/1p6/1Q2qP2/4P1P1/1P1RBB1P/6K1 w - -,b4c5
1r3r1k/p2PR2p/4p2B/2p1Pp1p/2p4P/P4P2/6P1/2n2K2 b - -,f8d8
3rB3/4pp2/4k1p1/1PK4p/7P/6P1/5P2/8 w - -,e8c6
r3k2r/pp2bpp1/4p2p/2p4P/2PPn3/5N2/PP3PP1/2KRB2R w kq -,f3e5
2b2rk1/q2rn1pp/2n2p2/2Pp1P2/pp3B1N/4Q1P1/PP4BP/3R1RK1 w - -,f1e1
8/6p1/5kn1/3b3p/5P2/4R1K1/8/8 w - -,e3a3
2r1k2r/1p1bbppp/p3pn2/q2p4/3P3B/2NBPQ2/PP3PPP/R1R3K1 w k -,a2a3
2k3rr/p1qnbppp/bpn1p3/3pP3/PP6/2PpQNP1/3B1PBP/R3RNK1 b - -,a6c4
rnb1kbnr/pppp1ppp/5q2/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,b1c3
2b5/8/p1pk1ppp/3p4/1P1K3P/4P1P1/P4P2/5B2 w - -,f2f4
8/1b4pp/8/P7/1k2p3/2N1P1P1/3K3P/8 w - -,a5a6
8/4r3/p2pkpQ1/P6p/4P2P/3K4/1P3PP1/3r4 w - -,d3e3
2rq1rk1/pp2bpp1/2n1pn1p/5b2/2PP4/P4N1P/1B1NBPP1/R2QR1K1 w - -,e2f1
1k2r3/pp1Q4/3p4/8/1P1P4/2Pq4/P2N4/3K4 b - -,e8h8
8/5p2/5kp1/1N1pr3/7r/P1P2Pn1/1P1R2KP/1R6 b - -,g3e2
r1bqk2r/pp1pppb1/2n2np1/1N5p/5B2/1N4P1/PPP1PPBP/R2Q1RK1 b kq -,d7d6
rnbqkb1r/1p2ppp1/p1p2n1p/6B1/P1pP4/2N2N2/1P2PPPP/R2QKB1R w KQkq -,g5f6
2kr3r/1b1n1p2/pqp2np1/1p2p3/P2PP2p/2N5/1PPQB1PP/2KR1R1N b - -,b5b4
rq2r1k1/pb1n1pp1/2pbpn1p/1p6/3PP3/P1NB1N1P/1P2QPP1/R1BR2K1 b - -,e6e5
4b1k1/pp4pp/2n1p1r1/3pB3/3P1P1q/6R1/PP3P1P/3Q1RK1 b - -,c6e7
R7/2r5/8/5pk1/7p/8/6K1/8 w - -,g2f3
r2q1rk1/ppp2pp1/1bnpbn1p/4p3/2N1P3/1BPP1N2/PP3PPP/R1BQ1RK1 w - -,b3c2
1r3bk1/5q1p/6p1/p2p4/2p1ppP1/P1P4P/1P1Q4/1B3R1K b - -,f4f3
5rk1/R4pp1/4pb2/1N5p/P2p4/5PP1/r3P2P/2R1K3 w - -,c1d1
r6k/2p4q/1p1p1br1/p2Pp2p/2P1Ppp1/PP3P2/2R1Q1PP/R4N1K w - -,c2c3
4rqk1/pb3pp1/2r2n1p/1p1p1N2/2pP1Q2/P3PB2/1PR2PPP/5RK1 b - -,g8h7
4r3/5pk1/1qp3p1/2R1p3/3pP3/3Bb1Pb/4Q2P/R6K w - -,c5a5
r2q1rk1/1b2n1b1/p2p3p/np3pp1/3P1B2/2N2N1P/PPB2PP1/R2Q1RK1 w - -,f4g5
r2q1rk1/1p2ppbp/p1n2np1/3p4/3P1B2/2PQ1N1P/PP3PP1/RN2R1K1 b - -,b7b5
4n3/2k2p2/2p3pp/p3K3/2pPN1P1/1P4P1/P4P2/8 w - -,b3c4
5k2/1r5p/6p1/2p5/R7/p5P1/Pb3PKP/4R3 b - -,b7d7
rn2kb1r/1bq2ppp/3p1n2/p1p1p3/PpN1P3/2PP1NP1/1P3PBP/R1BQR1K1 w kq -,h2h3
5r2/1p4k1/1q2brpp/n2p4/1Q1PpP2/1B4P1/2N2P2/RR4K1 b - -,b6b4
6k1/5p2/8/4P3/5Q2/5P1K/2q5/8 w - -,h3h4
r1b1k1nr/ppp2ppp/2n5/2q1p3/8/2bB1N2/PPPB1PPP/R2Q1RK1 w kq -,d2c3
6k1/5p1p/1p6/1P1pPnP1/1P2p3/p3P3/1r1B4/2R1K3 w - -,c1c8
r5k1/pp1r1ppp/1bp5/8/5N2/1PP5/PB1n1PPP/R3R1K1 w - -,e1e2
1rq2rk1/4bppp/p2p1n2/1p2pP2/8/1P2BP2/1PP1NQPP/R2R2K1 w - -,e2g3
r5k1/5p2/pnpp1rpp/1p3P2/4P3/1P3R2/P1P1N1PP/R5K1 w - -,f5g6
8/4kp2/2Pp2pp/8/1p2P3/2b1P1PP/P7/5BK1 w - -,f1c4
2kr1b1r/ppp2qpp/2n2n2/5p2/3Pp3/1NP1B3/PP1NQPPP/2KR3R b - -,f6d5
5rk1/p2qbp2/1p2p1p1/2p1P2p/P1Nr1P2/1P1P1QP1/7P/R2R2K1 b - -,f8d8
2r2rk1/5pp1/4p2p/4q3/4P3/1PpRQ3/P1P4P/1K5R w - -,a2a4
3r2k1/1b3ppp/1n1Np3/2n5/p2N4/4PP2/1P2B1PP/R5K1 w - -,d6b7
B6k/2R3p1/7p/pp2BN2/4P3/1r5P/6P1/6K1 b - -,a5a4
r1r3k1/3b3p/5ppb/4pP2/1B1pP3/PPp3P1/6BP/2R2RK1 w - -,c1c2
n1b3r1/1p2kp2/p6R/8/2PNB3/4P1P1/5P2/4K3 w - -,e1d2
8/p2R2p1/4pBkp/7r/4Pn2/Pr6/1PR2K1P/8 w - -,f6c3
r1b1k2r/2q2ppp/2p2n2/p1b1pP2/Pp2P3/3B1Q2/1PPN2PP/R1B2R1K b kq -,h7h5
8/8/1R5N/1p6/4k1p1/7p/4KP1P/6r1 b - -,g4g3
r7/8/3k4/1KR5/1P6/8/8/8 b - -,a8b8
5k2/5p1p/pn1r2p1/r7/P2P4/2PBKP2/4R2P/2R5 w - -,c3c4
rn3rk1/p3ppbp/2p2np1/qp6/3PPBb1/2NB1N2/PP3PPP/R2Q1RK1 b - -,b8d7
3qbk2/1p6/p1p1p3/2P1N3/PP1PPPR1/2K5/r1Q5/6R1 b - -,a2c2
8/1k3p2/p1r5/4pP1p/P6q/1Q6/1PP4P/3b1KR1 b - -,b7a7
2r2k1r/2q1b1p1/p5Qp/5N2/1p4P1/5P2/PPP3BP/1K1R4 w - -,g6g7
8/2R2pkp/6p1/2p1P1n1/2N5/8/1Pr5/5K2 w - -,c7c5
2rq2k1/1b3pbp/pp1p1np1/2pPr3/P4B2/2N3P1/1P2PPBP/R2QR1K1 b - -,e5e8
3r1rk1/pp3pbp/6p1/8/3Pb3/1P6/PB2BRPP/3R2K1 b - -,a7a6
4Rr1k/1p5p/p2b1pnq/8/2Bp1pP1/5Q1P/PP3P2/R5NK b - -,f8e8
b1r5/3rk1pp/PR2p3/8/1Np1p3/2P1K3/1P4PP/R7 w - -,a6a7
1R6/pp2rk2/2p4p/3B1p2/5P1P/1P6/P4K2/8 b - -,c6d5
rnbq1rk1/pp3pbp/2p3p1/3Pp3/2B1P3/2N5/PP3PPP/R1BQK2R b KQ -,d8h4
r6n/pp6/2bk4/3p1nNP/PR2pPP1/2R5/2P5/3K1B2 b - g3,f5h6
r4rk1/pp2bppp/1q1p1n2/8/1PBRP3/2N2Q1P/P4PP1/R5K1 w - -,a1d1
r2r4/1p4p1/2p1bk2/p4p2/P1P1pn2/1P2R1N1/2B2PPP/4R1K1 w - -,h2h4
r3k2r/pp1b1ppp/2n1pn2/2b3N1/8/2P3P1/P2NPPBP/R1BR2K1 b kq -,h7h6
