8/1p2k3/5ppp/p7/P4PPP/4K3/1P6/8 w - -,e3d3
rn1qk2r/1pp2ppb/p2bpn1p/3p4/3P1BPP/2N1PP2/PPPQ4/2KR1BNR b kq -,b7b5
r2qk2r/4n1bp/1pp1bpp1/p1p1p3/PPN1P3/2PPBN2/5PPP/R2Q1RK1 b kq b3,e6c4
r2r2k1/1b2bp1p/pq2pnp1/1pp1P3/6Q1/1P1BP3/PB3PPP/R2R2K1 w - -,e5f6
1r2r1k1/3b2bp/pn1p1qp1/1ppP1p2/2P2P2/1P1B2QP/P2B1NP1/1R2R1K1 b - -,e8e1
r3r1k1/1bq2pb1/p2p1npp/2pP4/Pp3P2/4B1P1/1P1N1NBP/R2QR1K1 b - -,f6d5
2r3k1/p3r1bp/2p5/6p1/2PpB1P1/1R3P2/P6P/4R1K1 b - -,g7e5
8/3pkp1R/4pp2/1r6/8/4P1P1/1nK2P1P/8 b - -,b2c4
r1b2r2/1p3pkp/2np2p1/4p3/pqPpPP2/3P2P1/PPQ1N1BP/R4R1K w - -,e2g1
1qr2rk1/1p2nppp/pP2p3/P2nP3/8/1N3B1P/1Q3PP1/2RR2K1 w - -,b3c5
r1r3k1/p4ppp/1np2n2/N1B1p3/1R2P3/2P3P1/P4P1P/R5K1 b - -,f6d7
7r/5k2/8/5PR1/5P1p/5K2/8/8 b - -,h4h3
r1r3k1/pp1bppbp/1q1p2p1/2nP4/4PPP1/2N4P/PPBQN3/1K1R3R b - -,a7a5
r1bqk1nr/1p1pppbp/p5p1/2pP4/2PnP3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3
8/8/5nkp/P7/1P6/5q2/4Q2p/4R1K1 w - -,e2h2
r2qr1k1/pp1nbppb/2p1pn1p/3p4/5B2/P1NP1NPB/1PP1PP1P/R1Q1R1K1 w - -,e2e4
3r2k1/pp1P2p1/5p1p/2N2b2/5P2/qP2B2P/P2R4/2R3K1 w - -,c1d1
2R5/7P/8/2p5/p7/2k5/7r/1K6 b - -,h2h7
5r1k/5ppp/1p6/p2P4/3P4/P3Q1Nn/1P1q1PK1/2R5 b - -,h3f4
r2q3r/p3b1kp/p3Qppn/4p3/4P2N/1PPp2N1/1P1P1PPP/2B1K2R b K -,d8d6
r1b1r1k1/7p/pp3Bp1/8/P2Pp3/4P1qP/1P5Q/R4R1K b - -,g3h3
8/5P1k/r7/5K2/4P3/1p4R1/8/8 w - -,f7f8q
r1bq2k1/1pp3b1/3p3p/p1nP4/4Prp1/2N5/PPPNBRPP/3R2K1 w - -,f2f4
r1bq1rk1/3pbppp/ppn1pn2/6B1/2P5/P1N1PN2/1PQ1BPPP/R3K2R w KQ -,e1g1
5k2/7R/8/1p3K2/5P2/r6P/8/8 w - -,h3h4
1r4k1/p1p2pp1/1rnpq2p/2p5/4PP2/1PP3NP/P2Q2PK/1R2R3 b - -,a7a5
2k4r/2p2ppp/p3pn2/6B1/1PPn4/6P1/P4PBP/3R3K b - -,d4c2
r3brk1/1pn3b1/2pp2p1/q1nPpPPB/p1P5/P1N1B3/1P1N1P2/R2Q1K1R b - -,g6h5
3rR2k/6bp/p2q1np1/n7/Pp1p1N2/1P3Q1P/1B3PP1/1BR3K1 b - -,d8e8
6r1/p5B1/1p2b3/3pN2k/3P4/2P2PRn/PP1K4/8 b - -,h3g5
r3k2r/1bq1npb1/pp1ppnpp/2p5/P2PP3/2PBBNNP/1P1Q1PP1/R3R1K1 b kq -,a8d8
3rk3/1p2r1b1/p2p1p1p/5Q2/3P4/5P2/PP4PP/R5K1 b - -,d6d5
r2qk2r/1b1n1ppp/p2bpn2/1p6/1P6/P2BPN2/1B3PPP/RN1Q1RK1 w kq -,b1d2
5rk1/pb5p/1p4p1/4p3/3pqP2/6P1/PPN1QK1P/6R1 w - -,e2e4
r3k1r1/ppp4p/4p2B/5n2/2p5/2P5/P4PPP/2KRR3 w q -,g2g3
1b1rr1k1/pp3p1p/q3np2/1N1p4/P7/1P1QPN2/5PPP/2R2RK1 w - -,f1d1
2r3k1/ppr2p1p/q2bn1pB/P7/8/5NP1/Q3PP1P/R1R3K1 w - -,c1c7
5rk1/1p3pp1/p1r1pnbp/P1q5/N1B1P3/1P3P2/3Q2PP/R2R3K b - -,c5e5
7k/1b4pp/1P1p2q1/4p3/7b/1P3r2/2Q1R1PP/R5K1 b - -,g6g4
r3k2r/pp3ppp/2n1bn2/b3q3/4p3/P1N1N1P1/1P1BPPBP/R2QK2R b KQkq -,a8d8
3br3/3R3p/p4k2/1pp2Pp1/2P3P1/1P6/P2B3P/6K1 b - g3,f6e5
4N1k1/B5p1/7p/3b4/2p5/2Pn4/P5PP/6K1 b - -,d3c1
5r2/1R3pkp/2N3p1/3n4/P7/8/5PPP/6K1 w - -,g1f1
r1bq1rk1/4npbp/p1n1p1p1/1pp5/4pP2/3P1NP1/PPPBN1BP/1R1Q1RK1 w - -,d3e4
8/2p2pk1/1bR5/8/4N1Pp/2Pr3P/1r3PK1/4R3 w - -,c6f6
rr4k1/p1q1bp1n/3p2p1/4pPPp/2b1P2P/3BB1N1/P1P5/R2QK2R w KQ -,e1g1
5rk1/ppq3pn/3p2np/2pPp3/2P1N3/2NQ2PP/PP3P2/4R1K1 b - -,c7f7
6k1/Rp3p1p/2pr2p1/6P1/4r3/P4N2/1P2nP1P/R6K b - -,d6d3
2r2rk1/1p1nppbp/1q1p2p1/3P1P2/2P5/1P3B2/2QB2PP/1R3R1K w - -,c2e4
rnbqk2r/1pp1ppbp/p2p1np1/6B1/2PPP3/2N2P2/PP4PP/R2QKBNR b KQkq -,f6d7
1r1qr1k1/1ppb1pbp/p2p1np1/8/2PB4/2N3PP/PP1QPPB1/2RR2K1 b - -,d7f5
8/5p2/Pk6/1n6/2B1n1p1/8/8/2K1B3 w - -,c4b5
6k1/5pp1/6bp/p1qpP3/5QP1/1Ppp4/P3PP1P/4R1K1 w - -,e2d3
8/4kpp1/4b2p/8/1N2P3/1Pp2P2/K5PP/8 b - -,e7d6
3rnk2/p3pp1p/N1Rp4/3P4/B1Nb4/7P/P3bPP1/6K1 b - -,e8f6
5r1k/1b1pq1pp/pp2pp2/2r1n3/P2NPP1P/2N3R1/1P2Q1P1/3R2K1 b - f3,e5g6
r3r1k1/p1q4p/1p2n1pB/1Np5/3P4/5Q1P/PP4Pb/2R2RK1 w - -,g1h1
1k1r3r/1b3p2/pq2p1p1/1pnpP2p/3N1P2/3BQ2P/PPP3P1/1K1RR3 w - -,g2g3
r4r1k/pp4pp/3p2bn/2p4q/3nN2b/KP1P1p1P/P6Q/1RB4R b - -,f3f2
r4b2/2qb1p1k/pp1p1npp/2pPr3/P1P4P/2PBBPN1/3Q2P1/R3R1K1 w - -,g1f2
r4rk1/pp1n1ppp/1q6/5b2/1P1P4/P4P2/3QNBPP/R4RK1 w - -,d4d5
3r1k2/2N2nbp/4bpp1/pp2p3/2r1P3/P2R1P1P/2P3P1/2BRN1K1 b - -,c4c7
8/8/4p1p1/3pPpPp/2pPbP2/rkP5/4K3/2R5 w - -,e2d2
2rr2k1/2qp1pp1/1p2pbnp/pP6/2PN4/PQ2P3/3RBPPP/5RK1 w - -,d4f3
2rq1rk1/pp2nppp/3b1n2/3p4/1P1P4/P1N2BP1/1B3P1P/R2Q1RK1 w - -,f1e1
rn1q1rk1/pp1bbppp/5n2/1B1p4/3p1P2/2N2N2/PPP1Q1PP/R1B2RK1 w - -,f3d4
2k3b1/4b3/2p4r/5p1p/NPP4P/4P3/5PP1/K2R4 b - -,e7b4
8/4k3/br2pp2/R5p1/2p1P3/2Nr1PP1/1PR5/4K3 w - -,e1e2
6k1/p1q2p1p/1pN3p1/1P1p4/Q2P4/4P2P/P1rn1PP1/5RK1 b - -,c2c4
7k/4b2p/pp2p3/4P3/1PPrNP2/P7/6KP/2B5 w - -,e4d6
5knr/2q2ppp/p1r1p3/1Q2n2P/8/4BP1B/PP2PP2/3RK2R w K -,b5b4
r4rk1/1p3pbp/p3bnp1/q1PpBn2/B7/1PN2N2/P4PPP/2RQ1RK1 b - -,a8c8
8/1p4k1/3NB1p1/2pPp3/4P3/2KP4/4qr2/2Q5 b - -,e2a2
r2Br1k1/5pp1/p1npb2p/1pp1p3/4P3/2PP1N2/PPB2PPP/R2nR1K1 w - -,d8c7
1r1q1rk1/3nppbp/3p1np1/8/P1bPP3/4BP2/3QN1PP/R1RN2K1 w - -,c1c4
r1bq1rk1/pppnppbp/2np2p1/3P4/2P1P3/2NB1P2/PP2N1PP/R1BQK2R b KQ -,c6e5
8/1p1r1pbk/2n1p1p1/p3q2p/P3P3/1BP1B2P/1P3QP1/5R1K w - -,f2f3
r1q2rk1/2p1ppbp/1p4p1/3N1b2/2pP3B/2P1PQ2/P3BPPP/4K2R b K -,g8h8
r3kb1r/pppnpppp/2qp4/8/3P4/5PP1/PPP1P1BP/R1BQ1RK1 b kq -,e7e5
4k3/1R4pp/2B5/2p2NK1/8/3P2P1/5r2/6r1 b - -,e8d8
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R b KQkq -,d8e7:e8g8:a7a6
8/6p1/1p6/2p4p/3kp2P/Pr3rP1/1P3RRK/8 w - -,f2d2
7r/pp6/1k4p1/4p1N1/3nP2P/PP1P4/3K4/6R1 b - -,h8h4
r3k2r/p2n1ppp/b1pppn2/qp6/2PPP2B/2PB4/P1Q1NPPP/R3K2R w KQkq -,c4b5
r2r2k1/p3ppbp/2b3p1/2p5/8/2P1PN1Q/P3q1PP/R4RK1 w - -,f3g5
rnq2rk1/pb2p1bp/3pP1p1/2p1n1N1/1p2NB2/6P1/P1P1QPBP/1R2K2R w K -,e1g1
8/8/6k1/5p1p/P4Q2/8/6P1/4q1K1 w - -,g1h2
2rr2k1/5ppp/p1n1p3/1pPb2b1/3P4/4NPP1/PB1RBK1P/3R4 b - -,g5e3
1kr5/p1q1bppp/1p2p3/4P3/Q2P4/P2RB3/1Pr2PPP/1R4K1 w - -,d4d5
6k1/7p/p1r3p1/3p4/1R5b/1P1PPR1P/P5P1/5K2 w - -,b4h4
r1bq1rk1/2p1bppp/p1p2n2/3pp3/4P3/2PP1N2/PP1N1PPP/R1BQ1RK1 w - -,f3e5
4bk2/1p6/pn3p1p/3p4/3R4/8/PPP2PPP/2K5 w - -,d4b4
r2qr1k1/3nppbp/b1p2np1/p2p4/N1PP4/B3PN2/P3BPPP/2RQK2R b K -,d7b6
1r1q2k1/3n1pb1/1N1p2p1/P2P4/4B2p/2n3PP/1p3B1K/4RQ2 w - -,g3g4
4k2r/rbqn1p1p/p2p1Pn1/4p3/Np2P3/1N1B4/PPP1Q2P/2KR1R2 w k -,e2d2
r2n2k1/1p3rpp/5p2/pP2pN2/4BnP1/B1P4P/P4b2/R2K3R w - -,d1c2
3q2r1/p1r3k1/1p2Rp2/3P4/2p1Q3/2P5/PP4P1/4R1K1 b - -,g7f7
r4rk1/1bq2pb1/p1n1pBpp/2pnP3/4N1P1/2pP1N2/PP2Q1BP/4RRK1 w - -,b2c3
4r1k1/1pp1r1p1/p3pn1p/2b5/2P5/1N5P/PP1B1PP1/R3R1K1 b - -,f6d7
4r1k1/1p2q3/p1p3b1/P4p1p/5P2/2Q1nRNP/1P2P2K/6R1 b - -,g8h7
r5k1/4bpp1/p1Rnq3/1p1pB2p/3P4/PQ1N2P1/1P3P1P/6K1 b - -,a8d8
5r1k/ppp1p1Rp/8/7K/8/2N1r2P/PP6/7R w - -,g7g5
2b1r1k1/n3q2p/1p1p2p1/p1pP1pP1/P1P4P/1P1Q1N2/3N1P2/6KR b - -,f5f4
rnbq1rk1/1p2ppbp/2p2np1/3p4/p1PP4/1P2PNP1/PB3PBP/RN1Q1RK1 b - -,f6e4
6k1/5p2/p7/6p1/1p2P3/5PP1/PP3RK1/3r4 b - -,g8g7
2r1r1k1/1ppn1pp1/p1npq2p/3Np3/2P1P3/3P1N1P/PP3PP1/R2QR1K1 w - -,d3d4
r3k2r/p1p2ppp/2pq1n2/8/1QPp4/B2P2Pb/P3PP1P/RN2R1K1 b kq -,e8d7
5r1k/p5p1/1bR4p/4B3/5P2/5KPB/3nP2P/8 w - -,f3g2
5rk1/1pp3pp/qp1pbp2/8/4PQ2/P3N3/1P3PPP/2R3K1 b - -,f8f7
rn1qkb1r/ppp1pppp/3p1n2/8/3P2b1/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
1r1q2k1/3bbr1p/p3pnpB/3p4/2pP4/2N1P2P/PPQ2RP1/1BR3K1 b - -,d7e8
1r2r1k1/1p1P4/p4b2/2pb1N1p/P7/3B4/1P4PB/R4K2 w - -,h2b8
rnb1kbnr/pp3ppp/4p3/2pp2B1/3P4/2P2N2/Pq1NPPPP/R1Q1KB1R b KQkq -,b2c1
2rq1rk1/p2nbppp/5n2/Pb6/1P1R4/2N3P1/2Q1PPBP/1R2B1K1 b - -,b5c6
3n4/3Q1pkp/pp3qp1/8/8/PP2PB1P/5PP1/6K1 w - -,f3d5
2rrkb2/pp3pp1/1q2p2p/1Q1pB3/P2P4/1P2P2P/5PP1/2R2RK1 b - -,b6b5
8/p2k4/R7/p3p1p1/4K3/2P2PP1/r6P/8 w - -,e4e5
5rk1/1p1b4/p2p2p1/2pPn1QB/P3P3/R6P/1P4PK/3Nq3 b - -,e1e4
8/5r2/R2nk3/8/6K1/8/8/8 w - -,a6a5
rr4k1/4qpp1/2p1bn1p/2Pp4/1p1Q1P2/1N2P2P/1P2R1P1/1BR3K1 b - -,e6c8
1r6/p4pk1/6p1/3np3/2p3PP/2P2K2/PPB5/1R6 w - -,c2e4
8/2R4p/6p1/p1p3k1/3b4/7P/P5KP/8 w - -,g2f3
r1bqk2r/pp2bppp/2n1p3/1B1nN3/8/2N5/PP1P1PPP/R1BQ1RK1 b kq -,d8d6:c8d7
4bk2/5pb1/8/2q2B2/pp1pP1P1/2r5/PRP1Q2P/1K1R4 w - -,e4e5
2r5/p5pk/1pbPp2p/4Pp2/1P1r1B1P/P4QP1/2p2P1K/2R3R1 b - -,c6f3
5r2/5q2/6k1/1p1p2p1/p2Np2p/P1P3RP/1P2Q1K1/8 w - -,g3g4
2r1k2r/qp2np2/p3p1p1/Pb1pP2p/1P3P2/1NPQ2PB/5R1P/4R1K1 w k -,d3d2
r1bq1rk1/ppp1ppb1/1n1n2pp/3PB3/8/2N2N1P/PPP1BPP1/R2Q1RK1 b - -,a7a6
8/8/2P5/1K5p/6pP/5kP1/2b5/8 w - -,c6c7
5b1r/pp1n1k2/2r1pp2/3p1b1p/3P1B1P/P1NQ1N2/1P3PP1/2R1R1K1 b - -,f5d3
8/1p1b4/p1pN4/2Pp2k1/1P1K2P1/8/P7/8 b - -,g5g4
r2q1rk1/1p1bppbp/p1np1np1/8/P2NP3/2N1B3/1PPQBPPP/R4RK1 w - -,f2f4:d4c6
2kr3r/pppq1pp1/2pb1n2/5b2/2PPp2p/1PN1P2P/PBQ2PP1/2KR1B1R w - -,c4c5
1r1q1rk1/3b1pbp/3p2p1/p1pPpn2/Pp2N3/3PP1P1/1P3PBP/1RBQ1RK1 w - -,b2b3
8/1k6/1p1K4/pPnN4/P7/2P5/8/8 w - -,c3c4
8/6r1/5k2/3R1p2/3P1b2/8/5PKP/8 w - -,g2f3
2r3k1/7p/p7/4Np2/2P5/3Pp2r/P5K1/1R2N3 b - -,h3h6
r1bq1rk1/1pp1ppb1/1nn3pp/p7/3P4/1N3NP1/PPQ1PPBP/R1BR2K1 w - -,a2a3
5n2/1p3k1p/2p3p1/6B1/2nrP3/5P1B/r4K2/6RR w - -,f2g3
r1b2r1k/3np1bP/p2n4/q2P4/1ppQNP2/4B2P/PPP1N3/2KR1B1R b - -,a5a2
1b1rr1k1/p2q1pp1/1p2p3/8/2QP1P1p/PN4P1/1P4KP/2R2R2 b - -,g7g5
2kr1r2/ppp3pp/1n6/8/2Pn1B2/1P3NK1/PbB2NPP/7R w - -,f3d4
r4rk1/1bqpbppp/p3p3/1p2n1Pn/3NPP2/2N1B3/PPPQ3P/1K1R1BR1 b - -,e5c4
1b4B1/1k6/6Kp/8/8/6P1/7P/8 b - -,b7c6
r2qnrk1/pbn1ppbp/1p4p1/2p2P2/3pP1P1/P1NP1N1P/1PP2RB1/R1B1Q1K1 w - -,c3e2
7r/2kn1B2/pr1pp2p/6p1/1RP2pP1/P1K2P2/6P1/7R b - -,d7c5
r4nk1/1br2ppp/1p1qpn2/p2p4/P1PP1P2/1P1NQ3/2BN2PP/2R2RK1 b - -,a8c8
r1bqk2r/pp1nppbp/2p2np1/3p2B1/3P4/2NBPN2/PPP2PPP/R2Q1RK1 b kq -,e8g8
rn1qkb1r/ppp2ppp/4pnb1/3p4/4P3/3P2PN/PPPN1PBP/R1BQK2R b KQkq -,h7h6
r6k/4q2p/2p3r1/3pPpbR/P2P4/1P2nB2/5N1R/4Q2K b - -,a8g8
6k1/p1b3p1/7p/1pq2p2/4p3/P1P5/1PN1QPPP/6K1 b - -,c5e5
8/8/6p1/5p2/4p1kP/6P1/2n4K/6N1 w - -,h2g2
rnbqkb1r/pp3ppp/4pn2/2pp4/3P4/P4NP1/1PP1PPBP/RNBQK2R b KQkq -,b8c6
8/1p3pk1/3BP3/6pP/P7/1B5n/3p4/2b2K2 b - -,f7e6
r3r1k1/1p2bpp1/q1p2np1/p1n5/2NpPP2/3P2PP/PPQB2B1/R4RK1 b - -,a5a4
2rr2k1/pb1qnpbp/1p2p1p1/2p5/2Pn4/P1NP2P1/Q2BPPBP/1R1RN1K1 b - -,b7g2
2rq2k1/ppr2pp1/2b1pn1p/P3N3/3PP3/3BR3/1Q3PPP/R5K1 w - -,h2h3
6R1/6b1/kp5p/4P1pP/1p1pK1N1/8/r7/8 w - -,g8a8
q1r3k1/1b2b1p1/pp1pp3/2n2N1Q/P7/2n5/2P3BP/2BRR1K1 b - -,e7f8
rnbqkb1r/pp2pppp/2p2n2/3p4/8/1P2PN2/PBPP1PPP/RN1QKB1R b KQkq -,c8g4:c8f5
2r2nk1/p1r2p2/1p2p1p1/4P3/3PBPP1/b3B3/P4K1R/7R b - -,a3c1
8/8/7p/6k1/1r4P1/4PK2/6R1/8 w - -,g2h2
r1b2rk1/1p2bppp/p2p1n2/q1nPp3/2P5/P1N1B2P/1PBN1PP1/R2QK2R b KQ -,a5c7
8/1R3pp1/2pkp2p/8/P3b3/5PP1/P1r3KP/5B2 w - -,g2g1
8/5K1n/7P/3k4/8/8/4pB2/8 w - -,f7g7
2n3k1/pp5p/4p3/P1P3p1/2P5/2PB2P1/6KP/8 b - -,b7b6
4r1k1/pBp4p/1p2ppp1/4n3/5B2/2P5/1P3PPP/3R2K1 b - -,e5f7
r3rbk1/pbq2pp1/1p1p1n1p/n3p3/4P3/2PPNN2/BP3PPP/R1BQR1K1 b - -,a8d8
4n1k1/3q2p1/2R2p1p/1p5b/p4B2/P2p2PP/1P1N1PB1/6K1 w - -,c6b6
3R4/8/4k3/4p3/p1p2rp1/P1N1Kb2/1P3P2/8 b - -,f3c6
1k1r4/1bp5/1p2p3/pr2P3/3P2R1/2P1N1pP/6P1/4R1K1 w - -,g4g3
rn1qk2r/1bp1bp1p/p3pp2/1p6/3PN3/3B1N2/PPP1QPPP/R3K2R w KQkq -,e1c1
r7/p4r1k/1p1p1qb1/1PpPbpBp/2P1p2P/R5P1/P2Q1P2/5BRK b - -,f6h8
5k2/4b2p/b4pp1/8/Q2q1P2/2N3P1/PPP4P/1KB5 b - -,d4d6
7k/7p/pp2pp2/3N4/3n4/P7/1P4PP/6K1 w - -,d5b6
3r3r/pk1n2pp/1p2pp2/8/3P4/P5B1/1P1K1PPP/2R2R2 b - -,d8c8
r1q1k2r/3nb1pp/1p2Q3/pPpp4/3n4/5N2/1P1N1PPP/R1B1K2R w KQkq -,f3d4
r2q1rk1/pp1nppb1/2p1bnpp/8/P1pPP3/2N1B3/1P1NBPPP/R2Q1RK1 b - -,d8a5
8/8/3p1npk/2pPp2p/1pP1P2P/1P2KBP1/8/8 w - -,e3f2
2q5/5pk1/4p1p1/p2rP3/1p1P1Q1P/1P6/P4P1K/3R4 b - -,c8c2
4r1k1/5bp1/1P3p1p/6qN/3Q2P1/1P1R2KP/8/8 w - -,h5f4
r1n4k/5nb1/1p6/2pPp2q/2P1PpP1/2B5/1Q2B2P/1RN3K1 b - -,h5h3
r1b1rbk1/3n1pp1/p2p1q1p/2pP4/PpN1P3/3B1N2/1PQ2PPP/R3R1K1 b - -,g7g5
rn1qk2r/p1p2ppp/1p1bp3/3p2P1/3Pb1N1/8/PPP1PP1P/R1BQKBR1 b Qkq -,c7c5
1q3B1k/2br3p/6p1/1b1pP3/3P4/1P6/2P2QPP/3BR2K w - -,d1g4
r1r2qk1/1p2ppbp/2bp2p1/p1n5/2PNP3/1P2BP2/P2Q2PP/3RRB1K b - -,c6d7
B1b2r1k/2qnb1pp/p7/1p2p3/3p1P2/P2P2P1/1PPB1Q1P/R4RK1 w - -,d2b4
rnbq1rk1/1p2ppbp/p2p1np1/2pP4/2P5/2N2NP1/PP2PPBP/R1BQK2R w KQ -,a2a4
r1b1kb1r/1pqn1ppp/3Pp3/p2n4/1P1P4/P4N2/1B3PPP/RN1QKB1R b KQkq -,f8d6
8/pR2Q3/2B1P2p/1p6/1kpqP1Kp/8/P6P/8 b - -,b4a5
rn3rk1/pp2b1pp/2pp1n2/4p2q/1PP2pb1/2NPPNP1/P1Q2PBP/1RB2RK1 w - -,c2e2
r1bqkb1r/pp1n1ppp/3pp3/3nP3/3P4/P4N2/1P3PPP/RNBQKB1R w KQkq -,f1d3:b2b4
1q3rk1/4b2p/3p2p1/3b2P1/p2QP3/P1P1B3/1r3P1K/6R1 w - -,d4d5
3qr3/1Q2b1kp/3BRpp1/1pp5/3p4/pnPP4/1P3PPP/3R2K1 w - -,d1e1
8/8/8/p1k1p3/1p1p3p/5P1P/PPn1BK2/8 w - -,b2b3
r1bk2nr/pp2bp2/3p2pp/q2B4/5P1B/5N2/PPP1Q1PP/2KRR3 b - -,a5c7
5r2/1r5p/3p2k1/p1p1pp2/Pp6/2PPP2P/1PK2RP1/1R6 b - -,b4c3
2rqbrk1/N4pbp/2Ppnnp1/4p3/N3P3/4BP2/3QB1PP/1RR3K1 b - -,c8a8
r1bq1rk1/pp1npp2/2p2npb/7p/3P3P/6N1/PPPQ1PP1/2KR1BNR w - -,d2h6
2b4b/2p2p2/1k6/p1p1PP2/2PB2PN/8/P6K/8 w - -,d4c3
r4rk1/5pp1/p1P5/1p5p/4qbbP/2P1N3/PP1B1QP1/R3KB1R w KQ -,f1e2
r1b2rk1/1p3ppp/8/3p1q2/pQ1R4/P3P3/1P2BPPP/5RK1 w - -,e2f3
3rr1k1/ppp2ppp/1b4n1/8/5Pb1/2P2NP1/PP1N1B2/3RR1K1 w - -,f2b6
r6k/4q1pB/1p1p4/3P4/pP3Q2/P4PP1/4r2P/3R1R1K b - -,h8h7
r1bq1rk1/1p1nppbp/p2p1np1/8/2PNP3/2NBBP2/PP4PP/R2Q1RK1 b - -,d7e5
3r1k2/p4pp1/7p/2P1r3/N7/P5P1/4RPP1/2R3K1 b - -,e5e2
1brqr1k1/1b3ppp/pp3n2/2np4/8/1PN1PNP1/PB2QPBP/2RR2K1 w - -,e2d2
3rr3/1pb2k2/p1p3pp/3n4/1P1PpP1P/P3P3/3BR3/2R2BK1 b - -,g6g5
6k1/1p5p/p5p1/5r2/3PnP2/2Pq2B1/P5Q1/4R1K1 w - -,e1e4
1rq2bk1/1r3pp1/p6p/Rb1P4/1P2p1P1/8/Q1PB1PP1/1R1N2K1 b - -,c8g4
3r2k1/1Q4P1/2r4p/p2pPBn1/1n6/8/PP3PPK/R7 b - -,c6c4
5rk1/2qn1pbp/2pp2p1/rPn1pP2/4P3/6P1/1BPN2BP/R2Q1RK1 b - -,c6b5
4rrk1/p1n3pp/1p6/2Pp4/8/P5P1/3NPPKP/R3R3 b - -,b6c5
8/8/3pN1p1/2pPk2p/2P4r/3BPK2/8/8 w - -,e6f4
2nr4/pp1rq1kp/5p2/3PpQ2/5p2/1PNR3P/1P3PPK/3R4 w - -,c3e4
2br2k1/ppr1qpp1/1n5p/P2p1P2/1P6/2NQ2P1/4P1BP/2R2RK1 b - -,d5d4
6k1/2p1q1bp/1p1p2p1/pP1P1p2/2P2PP1/1P1Q1K1P/3B4/8 b - -,e7h4
r1b2rk1/pp4pp/2n1pn2/2qp4/5P2/2NB1N2/PPP3PP/R2Q1RK1 w - -,g1h1
