8/5pk1/5Np1/4P3/5n1P/3r4/5B2/4K3 b - -,d3f3
rnb1kb1r/pp2pppp/1qp2n2/3p4/N2P1B2/5P2/PPP1P1PP/R2QKBNR b KQkq -,b6a5
4b1kb/1q3p1p/3p1npP/1p1Pp3/pNr1P3/P3BPP1/1P2NQK1/5R2 w - -,f1c1
3b4/3k3p/p3p1p1/1p6/1B2KPP1/1P5P/P7/8 w - -,e4e5
r1bqkb1r/pp3ppp/4pn2/6B1/3NB3/8/PPP2PPP/R2Q1RK1 b kq -,f8e7
3r2k1/1p4p1/p1p1nb1B/5p2/PPKP4/5N1P/5PP1/4R3 b - -,e6d4
8/8/3pk1p1/7p/1pK2P2/8/8/8 b - -,e6f5
8/2p3r1/pp6/4N2k/1P2KRpp/5p2/2P3PP/8 w - -,g2g3
3r1r2/3k2p1/1R5p/2q1p3/5p2/3P3P/1Q4P1/1R5K b - -,d7e7
8/8/1R5p/p3k1p1/P4nP1/1P5P/2r2PB1/6K1 w - -,b6b5
2n5/2r3nk/p1qpp2p/1p2p1p1/4P3/PPNRQ3/2P1NPPP/6K1 w - -,h2h3
8/5kp1/7p/2b1pp2/4P3/2N4P/5P2/5K2 b - -,c5d4
8/4nk2/3R4/5p2/r2N1P1p/7P/6PK/8 w - -,d4e6
2kr3r/1ppnb2p/4q3/1pP1p3/4P3/B4N2/2P1QP1P/R4R1K w - -,e2b5
r1b2rk1/pp3pp1/1bpn1n1p/8/8/P3NB1P/1PPN1PP1/R1B1R1K1 b - -,f8e8
rnbq1bk1/ppp2p2/3p3p/6p1/3Nr3/6B1/PPP1BPPP/R2QR1K1 w - -,d1d3
6k1/2p2pp1/3pb2p/2n1p3/4P3/2P1NPP1/r4K1P/2R2B2 w - -,c1c2
6k1/5p2/6np/2R2N2/P5Pp/7P/P1P3K1/r7 w - -,f5h6
r3kr2/p3p2p/3p2p1/qppP2n1/b7/2P3P1/PQ2N2P/1R2KBR1 w q -,f1g2
q5k1/8/5Qp1/2N5/6PK/7P/5P2/6r1 b - -,g8h7
r1bq1rk1/ppp1ppbp/2n2np1/8/2QP4/2N2NP1/PP2PPBP/R1B1K2R b KQ -,c8e6
8/5P2/8/4K3/p7/1k6/8/8 w - -,f7f8q
1rr2bk1/p4p2/4p1pp/3nP3/3N4/3R4/5PPP/B2R1K2 w - -,d3b3
5bk1/4p2p/1B1p2p1/Pn1PPp2/5P2/8/2N3PP/6K1 b - -,e7e6
4r1k1/1p1R1p2/p3n1pq/2p1Q3/P3P1Pp/1P5P/5PK1/3R4 w - -,e5f6
r3rbk1/5qpp/5p2/1p3P2/pP6/6Q1/1B4RP/2R4K b - -,a8c8
r1bq1rk1/pp2npbp/2n1p1p1/1B6/3PQ3/2N2N2/PP3PPP/R1BR2K1 b - -,d8b6
8/1B3k2/5pp1/3Kp2p/8/6PP/5P2/8 w - -,d5d6
3r3k/6p1/6qp/1pP5/pP1Q4/P6P/6P1/6K1 w - -,d4d8
2r2rk1/pb2q1pp/1p1b1n2/1NppNp2/P2PnP2/1P1BP3/1BR1Q1PP/5RK1 b - -,d6b8
4r2k/6p1/p3P3/2p1nP1p/2Pp1q1P/1P1B4/P5R1/4Q1K1 w - -,d3e4
r1b2r1k/1pp1q1bp/2np4/5p2/2BP4/pPQ1P2P/P2N1P1B/2KR2R1 b - -,f5f4
4rrk1/1p3qpp/p1bn1p2/3p4/5PP1/1P1Q1P1P/PB6/1BR1R1K1 b - -,g7g6
rnbqk2r/pp1pppbp/5np1/2p5/3P4/2P1PN2/PP3PPP/RNBQKB1R w KQkq -,f1d3:d4c5:b1d2
8/p7/6B1/3Kp2P/3b1k2/8/4R3/7r b - -,d4e3
rnbqkb1r/pp2pppp/3p4/3nP3/3P1P2/8/PP4PP/RNBQKBNR b KQkq f3,b8c6
3r2r1/p3k3/1b1p1p1Q/1p1R1P2/4BK2/3RP3/P7/2q5 b - -,c1g1
4r1k1/5p2/1p3p2/1Pq2P1p/2P1p3/6P1/4Q1KP/3R4 w - -,d1d5
r1bqr1k1/1p3pbp/p1n2pp1/2pP4/P7/1P1P1N1P/1BP1BPP1/R2QK2R b KQ -,d8d5
1r4k1/5pp1/r4np1/3P2Q1/8/1PR1PB2/1q4PP/4R1K1 w - -,e1c1
q3n1k1/5pp1/p1Np3P/5P2/5Q1n/1P4NP/PbR4K/4r3 w - -,f4h4
2q3rr/1p3kp1/2p2n2/p2pBQ1p/Pb1P1N1P/4PP2/5K2/1R4R1 w - -,g1g7
8/pp6/2p2k1p/3p3P/3r2P1/6K1/PP6/4R3 w - -,e1f1
r2qk2r/1p1nppb1/p2p3p/4nPp1/8/2N3BP/PPP2PP1/R2QKB1R w KQkq -,f1e2
r2q1rk1/1b2bppp/ppn1pn2/2p5/P2pPB2/1B1P1N1P/1PP1NPP1/R2Q1RK1 b - -,h7h6
8/2R4p/8/8/4kP1P/1K6/5r2/8 b - -,h7h5
1rb2rk1/p1q3p1/1n1bp2p/1p3p2/2pP3B/2P2N1P/PP2QPP1/1B2RRK1 b - -,g7g5
6k1/6pp/8/p7/3Rp3/P4pP1/4rP1P/5K2 b - -,e2a2
r2qkb1r/p2n1ppp/b3pn2/P1pp4/3P4/2P2NP1/3NPPBP/R1BQ1RK1 w kq c6,c3c4
1r6/2p1np2/2k2Npp/1ppbP3/p4PP1/P1P2N1P/1P1R1K2/8 w - -,f2g3
8/4b3/2k2p2/4p3/qpQ4P/5PP1/3NK3/8 b - -,c6d7
r2qrk2/p1p3p1/1np1pbB1/3p3Q/5B2/2N5/PPP2PPP/R5K1 b - -,e6e5
r6r/p1n1kp2/bnpNp2p/q3P3/PpPP2pP/3Q2B1/4BPP1/R4RK1 w - -,f2f3
2k1r3/ppp4p/1n1b2pB/3p4/5P2/2PN4/PP3P1P/2K1R3 b - -,e8e1
rnbqkb1r/1p3ppp/p3pn2/2P5/4p3/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,d2e4
8/p5bk/3rq1p1/5p1p/1R3P2/P1P1Q2P/1P4NK/8 b - -,e6d7
4r1k1/1pqbnr1p/3p2p1/p1pP1p2/2P1pPP1/1PN1P3/P2Q1RBP/R5K1 w - -,d2b2
3r1r1k/pp2RBbp/1q4p1/n7/5Q2/2P2N2/PP3PPP/R5K1 b - -,b6b2
1r1q1rk1/2p1bppp/p1np1n2/4p2b/Pp1PP3/1BP2N1P/1P1N1PP1/R1BQR1K1 w - -,d2f1
2rr2k1/p3bpp1/1p2p3/3b2p1/3P2N1/P7/1P3PPP/1BR1R1K1 w - -,g4e3
8/4k1pp/1p2b3/4p3/nPP1P3/r4P2/2R2KPP/2R5 b - -,a3b3
r1b1k1nr/pp3ppp/2P5/8/2P1q3/8/P2BQPPP/R3K2R b KQkq -,e4e2
r1b1rnk1/ppqn1p1p/2p3p1/4p3/P1N1P2P/7P/1PP1QPB1/R1B1R1K1 b - -,b7b6
rnbqkbnr/pp3ppp/8/3pp3/6P1/1Q6/PP1PPPBP/RNB1K1NR b KQkq -,g8e7
rnb1qrk1/p6p/1p1p2p1/1PpP1pNn/2P1pP1P/2B3P1/P1Q1P1BK/3R1R2 b - -,h7h6
8/5ppk/p6p/1p6/2q1PQ2/2R1PKP1/3rP2P/4R3 b - -,c4c3
r3k2r/pp1nbppp/1qp1p3/3n2P1/8/2NB1Q1P/PPPB1P2/2KRR3 w kq -,g5g6
8/3Q4/5pk1/1p5p/3p1P1P/6P1/4q3/6K1 b - -,e2e1
3r1rk1/5p2/p3b1p1/2p1P1Qp/1p5P/1P6/P4PP1/2R3K1 b - -,d8d5
r1b1r1k1/1p2qpbp/2p1pnp1/p2p4/PnPP4/1QN1PN1P/1P2BPP1/2RRB1K1 b - -,h7h6
r2r1k2/pb1n1p1p/2pRpp2/2p5/1P6/P3P3/1B2BPPP/2K4R w - -,h1d1
r1bqkb1r/pppnpppp/5n2/8/2p5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,e7e6
r2r3k/pp3pbp/q1n3p1/2p1p3/8/1PPP2P1/PBQ2PBP/R3K2R w KQ -,g2f3
8/5kp1/pp3r2/2qb3Q/P7/1BP2P2/1P1r3P/R4R1K b - -,f7g8
r1bqkb1r/pp3pp1/2n1p3/3pPn1p/3p4/2P2N2/PPB1QPPP/RNBR2K1 w kq -,c3d4
2k1r3/2P5/KP2p3/3p1p2/3N1P1p/2R1P1pP/P7/5b2 w - -,d4b5
6k1/3b3p/Bb1Bppp1/1p1p4/1P1P1P2/P2KP3/6PP/8 w - -,d3c3
r3kb1r/pp3ppp/8/2Bp4/4bP2/1N6/PP4PP/3RR1K1 b kq -,a8d8
r1bq1rk1/1pp1npb1/p1np2pp/4p3/4P3/PBNP1N1P/1PP2PP1/R1BQ1RK1 b - -,g8h7
r1b2rk1/1p2bppp/p2qpn2/3nN3/3P4/1QN2B2/PP3PPP/R1B2RK1 b - -,b7b5
r1bqk2r/1p2bpp1/p2p2n1/2pPn1Np/P6P/2N3P1/1P2PPB1/R1BQK2R w KQkq -,e1g1
4r2k/1b2n1b1/3Q3p/5P2/4P3/2p5/q4NB1/2B1R1K1 b - -,a2a6
6k1/2r2qr1/2p5/1pP1Pp1p/pP1P4/P5R1/Q6P/1K3R2 b - -,f7a2
8/1pb1k1pp/1pn1ppn1/3pP3/1P1P1PP1/P2BB2P/8/1N3K2 b - -,f6e5
8/pp6/8/4p1p1/5p1k/3Q3P/P3q1P1/3R3K b - -,e2a2
r1r3k1/1b1nqp1p/1p1p2p1/p2Pp3/1PPN4/P7/5PPP/1Q1RRBK1 b - -,e7f8
7r/1rpp4/4k1p1/2p3Pn/p1P2pN1/1PR1PP2/P7/4K1R1 w - -,e1e2
3Bn3/5k2/6p1/p7/p7/P4b2/7P/1B4K1 b - -,f3c6
8/6p1/5k1p/p6P/1p4P1/2r2P2/P3R1K1/8 w - -,g2g3
3r3k/6p1/p6p/3q4/3B1p1n/1PP5/P3QPP1/R5K1 w - -,e2g4
rn2kb1r/3p1ppp/pq6/1p1pPN2/5B2/8/PPP2PPP/R2Q1RK1 b kq -,b6e6
5n2/p3k1p1/1p2p2p/1Pp5/P1P2PP1/3BK2P/8/8 b - -,g7g5
2rq1rk1/1p2ppbp/1n1p2p1/p1nP4/P1P1P3/1QP1NP2/4N1PP/R1B2RK1 w - -,b3b5
r2qkb1r/pp3ppp/2np1n2/3bp3/4P3/1N3P2/PPP3PP/R1BQKB1R w KQkq -,e4d5
8/2R5/3p2kp/4p1p1/2P5/4nP2/r5PP/4B1K1 w - -,c7c6
3b2k1/1K4p1/2N1p2p/1P1pP3/q2P2N1/P7/8/1Q4n1 b - -,d8g5
rq3rk1/2pn2bp/bn1p2p1/B1PPpp2/4P3/1NN5/2Q1BPPP/RR4K1 b - -,a6e2
r1bqk2r/pppn1ppp/5n2/3p2B1/1b1P4/2N2N2/PPQ1PPPP/R3KB1R b KQkq -,c7c5:e8g8:h7h6
2r1k2r/3bpp1p/p5p1/3P2P1/1Q1P1q2/1Pp5/P2N2P1/2KR3R w - -,h1f1
r3r3/3q1pbk/pp1p1npp/n1pP4/2P5/3B1NP1/PPQB1PKP/R2R4 b - -,f6g4
r1bqkb1r/pp3ppp/2n1pn2/2pp4/3P4/2PBPN2/PP3PPP/RNBQK2R w KQkq -,e1g1:f3e5:b1d2
r3k2r/2qn1ppp/1ppb1n2/3p4/3Pp3/2N1P3/PP1NQPPP/R1B2RK1 w kq -,f2f4
rr4k1/4nnbp/3p1pp1/p1pP4/2N1P3/2B3PP/P4PB1/2R1R1K1 b - -,f7e5
1r3r2/pb4pk/1p1qp2p/3BNp2/P2P3Q/2P3R1/5PPP/R5K1 b - -,b7d5
4rrk1/1p1bqpb1/p2p2n1/2pP2p1/P1N1P3/2N2B1P/1PQ3P1/4RRK1 w - -,c4b6
rn1qkbnr/pp2pp1p/2p3p1/3p4/4P1b1/3P1N2/PPPN1PPP/R1BQKB1R w KQkq -,h2h3
8/8/p3k3/2pNpp2/2P5/1n2K3/1P6/8 b - -,b3a5
r4rk1/1ppqb1pp/pnn1bp2/4p3/1P2N3/P2P1NP1/1B2PPBP/2RQ1RK1 b - -,f8d8:e6h3
1rb2r1k/1p5p/p1p1p3/2PpPpq1/1P3R2/2QBP2P/P5P1/1R4K1 w - -,g1h2
r2q1rk1/pn2npbp/6p1/2p1p3/5PP1/N1PP1Q1P/PP6/R1B2RK1 w - -,f3b7
8/1b6/pr2p2p/4k1p1/2p1P3/4K1PP/PP6/1BR5 w - -,c1c4
3r1bk1/2p2p2/p3r1q1/4p2p/1PR1P1pP/P3B1P1/2QNPPK1/8 b - -,c7c6
5rk1/pb3ppp/1p2pn2/7r/1PB2P1q/P3P3/3NQ1PP/2RR2K1 w - -,d2f1
2n2rk1/p6p/p1Rnb2q/4Npp1/1P1Q4/4P1P1/5PBP/4R1K1 b - -,h6f6
r1q2rk1/pb1nb1pp/1pp1pp2/3pP3/2P2P2/P5PP/1PQNPBB1/R2R2K1 w - -,e5f6
5k2/R7/B7/6pp/r7/5K2/8/8 w - -,f3g3
2rnr1k1/1p1q1pbp/p1p2np1/3Pp1N1/PP2P3/B1NQ4/5PPP/2R2RK1 b - -,d8e6
8/6k1/5q2/7Q/7P/1p4P1/7K/8 b - -,b3b2
4r1k1/2R3b1/4p1p1/1p4Pp/1P1pP2B/5n1B/4N3/7K b - -,d4d3
r1b5/pp1k1p1Q/3n4/3P4/q3P3/4P3/P1nP2PP/4KB1R w - -,e1e2
8/5b2/1p5p/pP1P1p2/N1K2k2/7P/1P6/8 w - -,a4b6
2r3k1/5qp1/p1rb3p/2p2p2/P1R5/4B1P1/4QP1P/2R3K1 w - -,e2d2
r2qr1k1/pp1n1ppp/2p2n2/3pN3/1b1P4/2NQP3/PP1B1PPP/R4RK1 w - -,f2f4
r1bq1rk1/pp4pp/2p5/3pP3/3Nn3/3Q3P/PPP3P1/R1B2RK1 b - -,f8f1
r1b1k1nr/pp3ppp/1qn1p3/3pP3/3P4/P7/1P1bNPPP/R1BQKB1R w KQkq -,d1d2
r2q1b2/ppp3pk/P2p3p/3Bnb2/4p3/2PnB3/QP1N1PPP/R4RK1 b - -,b7a6
8/1p3pk1/1Q3bp1/2p4p/2P4P/1p1B1nB1/P4PP1/6K1 w - -,g2f3
r2qk2r/pbpnbppp/1p2pn2/3p4/P7/1N1P1NP1/1PP1PPBP/R1BQR1K1 b kq a3,a7a5
8/7p/p1r3k1/1p1R4/5K2/1P4P1/P6P/8 b - -,g6g7
r4rk1/p1Pp1pbp/q3p1p1/2p1P3/8/5BP1/PP3P1P/R2Q1RK1 b - -,a8c8
8/7p/6rP/2pPk3/4bp2/8/4R2K/5R2 w - -,f1f3
2rqk1nr/p2pppbp/1pn3p1/2p5/2P5/2NP1PP1/PP1B1PBP/R2QK2R w KQk -,e1g1
8/pB4pk/3Q3p/7q/3P4/4r3/PP1r2P1/R5K1 w - -,d6f4
8/pp4pp/3k4/1P1pp3/P3p1P1/1NN1b3/6P1/5K2 w - -,f1e2
6k1/6p1/4pr1p/p4q2/3R4/1Q3P2/6PP/6K1 b - -,f5c5
r2q1rnk/1p4bp/p2p1n2/2pPpp2/2P5/2N1BPP1/PP1QB2P/R4R1K w - -,g3g4
8/1R3pk1/1pr1p1p1/2p1P2p/2P2P2/2KP2P1/7P/8 w - -,h2h4
r2r2k1/1p1nqppp/2pbpn2/p2p3b/2P5/PP1PPN1P/1BQNBPP1/R3R1K1 b - -,e6e5
8/2nB4/1p2p1b1/1P1pP3/2pP4/N1P5/1K1k4/8 b - -,g6e4
6k1/pp4b1/2r1q3/3p1Q2/3Pp3/2N1R3/1P3PP1/6K1 w - -,c3d5
r3r3/p1p2kp1/1pn2pp1/8/2P2pP1/3P1N2/P1P2PKP/1R2R3 w - -,a2a3
3R4/8/3k3p/p2p2p1/P1r5/3K3P/2P3P1/8 b - -,d6e5
r2qk2r/p3b2p/1n3Qp1/2p5/8/5N2/1PP2PPP/R1B1R1K1 b kq -,h8f8
3r2k1/p4pp1/5r1p/2P5/4b3/P2p4/1R3P1P/2R1KB2 w - -,c1c3
8/R7/8/P1b2K2/3k4/2n5/8/8 w - -,a7b7
r1b2rk1/ppp1q1pp/2np1n2/4pp2/2PP4/P1B1PP1N/1PQ3PP/R3KB1R w KQ -,e1c1
r4rk1/1bq1bppp/p1n1p3/1p1P2Pn/8/P1N1BP2/1PPQN2P/1K1R1B1R b - -,a8d8
r2qkb1r/pp1n1pp1/2p1pn1p/5b2/2pP1B2/2N3P1/PP1NPPBP/R2Q1RK1 b kq -,d7b6
rq3rk1/pb2bppp/1pnppn2/1N4B1/2P2Q2/5NP1/PP2PPBP/R2R2K1 b - -,c6e5
2r2rk1/p4p1p/q5p1/2pPb3/8/5Q1P/PP3PP1/R1B2RK1 b - -,f8d8:a6d6
3r1rk1/pb3pp1/n4q1p/2pN4/8/P5P1/1P2PPBP/1Q1R1RK1 b - -,b7d5
r3r2k/qbB1b1pp/p7/5p1R/4P3/1Q1B4/PP4PP/R6K w - -,c7b6
r1b2rk1/pp3pp1/2n4p/1BPp4/8/2P1PN2/P4PPP/R3K2R b KQ -,c6a5
2r4k/1p1r1pp1/p2Pp3/6p1/bP2P3/P7/1B1R3P/1B4K1 b - -,f7f6
r1bq1rk1/pp2ppbp/6p1/2n5/1nN1P3/5N2/PP2BPPP/RQBR2K1 b - -,d8c7
r2q1rk1/1p2bppp/n1pp1n2/p3pb2/2P5/P1NPPN2/1PQ1BPPP/R1BR2K1 b - -,d8c8
r5k1/pp1qprbp/2n3p1/3p4/3P4/1P3N2/PB1Q1PPP/R3R1K1 b - -,a8f8
8/1R2kppn/2p2bp1/r1Pp4/3p1PBP/3P1NP1/4P3/5K2 b - -,e7f8
1r4k1/n1q1bpp1/2rp1n1p/4p3/2P1P2B/5N2/3NQPPP/R3R1K1 w - -,h2h3
r3k2r/pp1nbppp/2p1p3/3PPb2/8/1PN3PP/1P2PPB1/R1B2RK1 b kq -,e6d5
r1b2rk1/1pq2pbp/p3p1p1/2pn4/4NP1N/3P4/PPP3PP/1RBQ1RK1 w - -,d1f3
1r1bk2r/5pp1/p2p4/4p2p/2p1P3/3B1P2/PP4PP/1K1RR3 w k -,d3c4
6rk/1p3p1p/2pN4/p1P1P3/5n2/5R2/PP3r2/1R3B1K b - -,f2f3
3rk2r/p3q1pp/bpp5/n3pp2/4P3/P1BP2P1/1P3PBP/R2Q1RK1 w k -,e4f5
rnb1k2r/1ppnq1pp/p3pP2/3p4/3P1PQ1/2N5/PPP3PP/R3KBNR b KQkq -,d7f6
rn1qkb1r/ppp2pp1/4pn1p/3p4/3P1B2/5PP1/PPP2PBP/RN1Q1RK1 b kq -,b8d7
r3nrk1/1bqnbpp1/pp1pp2p/8/2P1P3/2N2NB1/PPQRBPPP/3R2K1 b - -,a8d8
b3k2r/3pbpp1/2n1p2n/1Np1qP1Q/4N3/3P2PP/1PP3B1/2B2RK1 b k -,g7g6
2r2rk1/p5pp/Bpb5/n3p1N1/4P3/8/P4PPP/3RR1K1 b - -,c8e8
rn3rk1/1b1p1ppp/p3pn2/2q5/4P3/2NB1P2/PPPQ2PP/R3K1NR w KQ -,d2f2
3n4/n2bkp2/2p3p1/N1Pp3p/BN1P3P/4Pp2/4K1P1/8 w - -,g2f3
3Q3R/pp3p2/6p1/5nk1/1P2r3/2P4P/P4qP1/3R3K b - -,g5f4
q5r1/2pb1p1k/1p1p3p/2nPpNbP/1PP1P1B1/r1N3P1/2Q2P2/1R3RK1 b - -,c5a4
rn2q1k1/pbpp2p1/1p2p2p/7n/2PPP2B/2PB3N/P5PP/R4QK1 b - -,e6e5
8/6p1/2n2k2/5Pp1/2N2K1P/8/8/8 w - -,h4g5
r1bqkb1r/ppp2ppp/2np1n2/1B2p3/4P3/3P1N1P/PPP2PP1/RNBQK2R b KQkq -,a7a6
2rr1k2/1b2npp1/pp2p2p/8/3NP3/P2B1PP1/1P2K2P/2RR4 w - -,e2e3
r2qk2r/1b1pb1pp/ppn1pn2/2p5/2P5/2N1PNP1/PP3PBP/R1BQK2R w KQkq -,e1g1
R7/3bnk2/1r1p2pp/2pPp3/1pP3P1/1P1BKP2/5N2/8 b - g3,d7c8
rn1qkb1r/4pp1p/1pp2np1/8/2bP4/1QN2N2/PP3PPP/R1B1K2R w KQkq -,b3c4
r6r/1kp2pp1/1p2b2p/p1p1Pn2/8/1PBR4/P1P2PPP/3R1NK1 w - a6,f2f4
8/5k2/2p1b2p/2Pp1p2/5P2/1N1B2P1/7P/5Kb1 b - -,g1e3
3q4/1Q2b1kp/r4pp1/8/1p1B4/4P1P1/PP3P1P/2R3K1 b - -,a6a2
r3k2r/1b2q1pp/p1n5/1p1pn3/1P6/P2B1N2/2P2QPP/R4RK1 w kq -,f3e5
4R3/8/8/8/8/4nk2/3r4/1K6 w - -,e8h8
r1b2rk1/pp1nq1pp/2pbpn2/3p1p2/2PP4/P1N2NP1/1PQ1PPBP/1RB2RK1 b - -,f6e4
r3k2r/ppqbnppp/2n1p3/2ppP3/P2P4/2P2N2/2PB1PPP/R1Q1KB1R w KQkq -,c1a3
2b1qrk1/pr4bp/p1p5/2P1np2/5Q2/P1N4P/1P1N1BP1/1R3RK1 w - -,d2f3
rr4k1/3n1n1p/4qpp1/p7/N2ppP2/1P1Q4/P2N2PP/1RR4K w - -,d2e4
r4b1r/pp2kppp/5n2/qB1p4/2P5/3P4/P1PB1PPP/R2b1RK1 w - -,f1e1
6k1/5pp1/p6p/4Q3/2p5/P2q3P/5PP1/6K1 b - -,c4c3
5r1k/pR2b1pp/8/3B4/2P3n1/2P5/P6P/2B4K b - -,e7d6
8/4k1p1/3bB2p/3P3P/3rp1P1/8/4R1K1/8 b - -,d6f4
7B/R7/p3k3/P4pp1/4n3/6PP/5r2/6K1 w - -,a7a6
r2qkb1r/pp2pppp/1np2n2/5b2/5N1P/1BNP1P2/PPPBQ1P1/R3K2R w KQkq -,g2g4
rn2kb1r/pp2pppp/1qp2nb1/4N3/5PP1/2N4P/PPPBQ3/2KR1B1R b kq f3,h7h6
3r2k1/1bp2ppp/pp1rp2q/4Q3/3P1N2/P2R1PP1/1PP4P/5RK1 w - -,f1d1
3r2k1/5ppp/8/2Q1q3/pP6/6P1/7P/2R3K1 b - -,e5c5
