2k5/8/2K5/8/PRP5/8/7r/8 w - -,c4c5
4nk2/8/p1R2P1p/4K3/4B3/1P6/P3r2P/8 w - -,c6a6
r7/1p2kp1B/2p1p3/4n2p/1P1R4/6P1/4PP2/6K1 w - -,d4h4
r2qkbnr/pp1n1pp1/2p1p2p/8/3P4/5BNP/PPP2PP1/R1BQK2R b KQkq -,g8f6
r1q2rk1/1ppbp1bp/3p1np1/2nP1p2/2PN4/1PN3P1/1B2PPBP/1R1Q1RK1 w - -,b3b4
5rk1/1b3ppp/1B1b4/5P2/2B1P3/8/P5PP/3R2K1 b - -,d6e5
r2q1rk1/2p2ppp/pn1p4/1p2p1bb/3PP3/1PP2N2/P1B2PPP/R2QRNK1 w - -,f1g3
1r1q1rk1/1pp1np1p/3pbbp1/p3p3/2P5/1PNPP1P1/PB3PBP/R2QK2R w KQ -,e1g1
2r3k1/3rqpp1/ppbppn1p/8/2P1P3/PP4P1/1B1Q1PBP/2RR2K1 w - -,f2f3
1k3r2/1b6/p2N4/4P2P/6Rn/4q3/2Q1B2P/5K2 w - -,f1e1
b1rr1nk1/5ppp/p1p3n1/Np6/1P2PPP1/4B1K1/P3B3/2RR4 w - -,e2f3
r1bq1rk1/3nbppp/ppn1p3/2ppP3/P7/1PNB1N2/1BPP1PPP/R2QR1K1 w - -,c3e2
4nrk1/2p1nppp/rpNqp3/p7/3PP3/P4N2/1PQ2PPP/2R2RK1 w - -,e4e5
6k1/3R2p1/1p5p/p3b3/P7/4PK1P/4rP2/2R5 b - -,e2b2
r1n2bk1/1prn1pp1/p2p3p/P2Pp3/1PN1P1Pq/2N2P2/4QBP1/R1R3K1 b - -,h4g5
8/2b1kp2/6pp/p2P4/2N3P1/3K4/6P1/8 w - -,d5d6
4b3/7r/1p1p1k2/p1pPp1n1/P3P3/2NB2R1/1PP3K1/8 w - -,g2f2
8/1p4pp/4k3/4p3/p1P2p2/P3rP2/1P1K2PP/2R5 b - -,g7g5
rnb1k1nr/5ppp/p2bpq2/1p1p4/3NN3/4BQP1/PPP2P1P/2KR1B1R b kq -,f6f3
1r1q1b1r/p2n1p1k/3p1Pp1/PPpPp1Pp/2B1P2P/1R5Q/3B2K1/1R6 b - -,h7g8
5k1Q/5q1p/1r1bb1p1/2p5/P7/2B1P3/5PBP/2R3K1 b - -,f8e7
4r2r/pb3kb1/1q3npp/1pn5/7B/1PP2N2/Q3PPBP/RN3RK1 b - -,b7f3
b4k2/P7/6p1/6P1/3q1P2/7B/4Q2K/8 w - -,h2g3
8/5B2/3k1p2/N1p3p1/b3Pp1p/2P2P2/5K2/8 w - -,a5b7
4r3/1q3pbk/3pr1pp/1R3p2/1Q2P3/1P1N3P/2P2PP1/4R1K1 b - -,b7c6
8/6pk/7p/8/7P/4Q1P1/5PK1/2qq4 w - -,e3e4
r2r2k1/1bq1bp1p/ppnpp1p1/3nP1N1/2BPQ3/N7/PP1B1PPP/2R1R1K1 w - -,e4h4
4r1k1/1pp1qppp/2n5/3rp1P1/pPP5/P3QP2/1B2PK1P/7R w - -,c4d5
r1bqr1k1/pp1nbppp/2p1pn2/3p4/2PP4/1PN2NP1/P2BPPBP/R2Q1RK1 w - -,f1e1
2b1qrk1/4p1bp/r1pp1np1/p4p2/2P2N1P/Q1N3P1/PP2PPB1/3R2KR b - -,f6g4
2r2rk1/pb1n1ppp/1p1q4/3P1B2/8/5N2/P2Q1PPP/3RR1K1 b - -,c8d8
2r2rk1/1b3ppp/1p3n2/p2B1qn1/1P6/P1N1P3/3Q1PPP/R2R2K1 w - -,d5b7
8/3r2pk/5p1p/5R2/r5P1/7P/P4RK1/8 w - -,f5f4
2r2r2/p5k1/1p3p2/2P3p1/1P1pBnb1/3P2N1/P4P2/1R3RK1 b - -,f6f5
1r2r1k1/q4p2/2p3pb/2Pp1n1p/pB1PpNnP/P3P1PN/K2Q1P2/2RR4 b - -,b8b5
7k/2p1Npb1/1p4pP/3P4/4P2B/2p2B2/3r1PKP/8 b - -,c3c2
rnbqk2r/ppp2pbp/3p1pp1/8/3P4/5NP1/PPP1PPBP/RN1QK2R b KQkq -,f6f5
8/1p3p1p/p3p3/3k4/8/1P2P3/PB5P/5K1b w - -,f1e2
1q3rk1/p4pb1/3Rn1pp/B1p1p3/6P1/Q4P1P/Pr3P2/2R2BK1 b - -,b8d6
r4rk1/1b3ppp/p6q/1p6/5P1P/P2BQ1P1/1PP5/R4RK1 w - -,d3e2
r1r3k1/pp2bppp/4pn2/1N1p2B1/3P4/3nPN2/PP3PPP/1R3RK1 b - -,a7a6
rnbqkb1r/1p2pp1p/p1p2np1/2Pp4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f8g7:f6h5
3Q4/pr3pkp/6n1/3Pp3/2p4P/P1B1q1P1/6K1/2R5 w - -,c1f1
1Q6/p3r1k1/1p4p1/2pK3p/P4P1P/8/8/8 b - -,e7f7
3r1r1k/4qppp/p1n2n2/1p2p1B1/2p1P3/3P2PP/PPP3BK/R2Q1R2 w - -,d1f3
6k1/5pp1/4p3/3n3p/1pRP3P/1P3qP1/r4PK1/5N2 w - -,g2f3
2r3k1/p3p2p/1p2N1pb/4P3/3P1P2/8/PPr2R1P/R3K3 w Q -,a1d1
r2r2k1/p3q2p/bp1ppnp1/n1p2p2/2PPP3/PPNB1P2/3RN1PP/1Q2R1K1 b - -,f5e4
6k1/2p3b1/3p2q1/2PPp1pp/4Pr2/3Q4/5BPP/5RK1 w - -,f1e1
6k1/6p1/p3qp1p/8/1P1Bb3/P6P/5QPK/8 w - -,f2g3
2k4r/1b1n4/pqn1p3/1p1pP1r1/2pP1Np1/P1P3Pp/1PBN3P/R2Q1R1K b - -,h8e8
r1q2rk1/1p1bppbp/p1np2p1/8/P3PPn1/1NN5/1PP1B1PP/R2Q1RBK b - -,g4h6
6k1/3rbppp/8/2pn4/8/5N2/1P1N1PPP/2R1K3 w - -,f3e5
4R3/p7/1p4k1/2p2qp1/2P5/1P3PB1/P4K2/8 w - -,e8e4
r1b3k1/4q1bp/6p1/3pP3/1P4P1/PK2P2P/4B2B/R6R b - -,c8d7
rn1qkb1r/1p3pp1/p1p1pn1p/3p4/2PP4/2NQPN2/PP3PPP/R1B1K2R w KQkq -,e1g1
rn2k2r/pp1qpp1n/2ppb1p1/P2P2Np/3bPP2/2NB3P/1PPB2PK/R2Q1R2 b kq -,e6g4
3r4/1p3pk1/p1p1n1p1/8/Pq1P2pP/6Q1/8/3R1R1K w - -,g3e5
2rr2k1/1q2bpp1/ppbpp2p/8/2P1n3/1P2PNP1/PBR1QPBP/3R2K1 b - -,b6b5
r1nqkb1r/1b2np2/p1p1p1pp/1pPpP3/PP1P1P2/1NNB4/2Q3PP/R1B2RK1 b kq -,c8a7
5rk1/4R3/1p4p1/1p3pn1/8/8/2P4P/5RK1 w - f6,f1d1
1r2k2r/Rp1b1ppp/4pb2/8/4BP2/2P5/1P1BK1PP/7R b k -,d7b5
r1bqr1k1/bpp2ppp/p2p1nn1/4p3/3PP3/2P2N1P/PPBN1PP1/R1BQR1K1 b - -,f6h5
8/4K3/8/R5P1/7k/4P3/p7/5r2 b - -,a2a1q
r2q1rk1/p3bpp1/bp2pn1p/1Np5/1n1PP3/5NB1/PP2QPPP/1BR2RK1 b - -,c5d4
5r2/q4rkn/6pp/1p6/2ppPP2/P5PP/4Q1BK/2B2R2 b - f3,a7c5
5rk1/1R1pb2p/2p1pq1P/3n2p1/3P4/3B2P1/4QP2/2B3K1 b - -,f8d8
1rbq1rk1/4b1pp/p2p1n2/1p1Pp3/4Pp2/N2B1P2/PP1B2PP/R2Q1RK1 w - -,a1c1
r1bqk1nr/1p2bppp/p1npp3/8/2P1P3/1NN5/PP2BPPP/R1BQK2R w KQkq -,e1g1
2b1r1k1/4q2p/p2p2pB/3Pp3/4P2P/8/P4QPK/5R2 b - -,c8g4
5r2/1p5p/2p3k1/3P4/6PP/P4K2/1P6/3R4 w - -,f3e3
6R1/8/5p2/2P1k3/4p3/4K2r/8/8 w - -,e3d2
1r3rk1/p1ppb1pp/b1p3n1/4P3/2P5/PP4P1/1B1N2BP/R4RK1 w - -,f1f8
r2q1rk1/pp2npbp/2npb1p1/2p1p3/P3P3/2PP1NP1/1P2QPBP/RNBR2K1 w - -,b1d2
4Q3/pp3pk1/4p2p/3pP3/8/6PP/P2q1P2/2r2RK1 b - -,c1f1
2k5/1pp2pb1/1rn1p1p1/r7/p1RP1B1P/P2NP3/1PR2PK1/8 b - -,g7f6
r1bq1rk1/ppp2pbp/1n4p1/n2Pp3/3BPP2/2N5/PP4PP/R2QKBNR w KQ e6,d4e5
2r3k1/3q1ppp/p7/1p1p1p2/2rP1P2/b1P1PR2/P2B2PP/1R1Q2K1 w - -,f3h3
4r2k/p5rp/Pp2B1p1/1PbP1pq1/8/2PQ2RP/4R3/5K2 b - -,g5f4
r4bk1/1q3p1p/2r1p1p1/3bP1P1/1p2pP1P/1P2B3/2PR1Q1K/1N1R4 w - -,h2g3
8/2p1k1p1/np4p1/3P2P1/1PP5/2K5/3B4/8 w - -,d2f4
3rkb1r/p4ppp/p1p5/4n3/P3P3/2N2P2/1P2K1PP/R1B4R b k -,f8c5
6k1/p4ppp/1p3n2/8/1PP2q2/P6P/2QN2PK/8 w - -,h2g1
1qrrb1k1/p3bpp1/4pn1p/2p1N3/Pp1P4/1Q2P1P1/1P2NPBP/2RR2K1 w - -,e5c4
1nr3k1/3rb1pp/ppqpp3/5p2/N1P2B2/1Q1R2P1/PP2PPKP/R7 w - -,g2g1
7b/1p6/p3k1p1/3pP3/P4BPP/5K2/1P6/8 w - -,f3e3
4kn2/7p/p4rpN/2Brp3/1p2P3/8/2P1N3/6K1 w - -,e4d5
8/2K5/2P1kppp/8/6P1/4R2P/3r1P2/8 b - -,e6d5
r4rk1/p2n2pp/2p1q3/2ppp1Q1/5p1N/1P1P4/P1P1B1PP/5RKR b - -,h7h6
8/5kp1/p2p4/8/1bN2Pp1/4B1P1/P5K1/1rR5 b - -,b1c1
1r3rk1/p2q1pbp/3p2p1/7n/b1PpP3/1B2BN1P/Q4PP1/1R2RNK1 b - -,a4b3
2rq1rk1/5p1p/p1p1pb1Q/1p4p1/n2PB3/1b4P1/P1P2P1P/4R1K1 b - -,f8e8
8/3n4/1pK5/p3pkpp/P7/4BP2/1P3P1P/8 b - -,d7c5
rn2k2r/4qp2/b3p1Bp/p2p4/Q2P4/8/P4PPP/1RB1R1K1 b kq -,b8d7
7r/5rp1/p2Bp1k1/1b1pP3/2p3P1/2P3K1/2P2RP1/1R6 w - -,f2f3
rn1qk2r/pb1pbppp/1p2pn2/2p5/3P4/1P1BPN2/P1PN1PPP/R1BQK2R w KQkq -,c1b2:e1g1
r2qk2r/pb1n1p2/2p1pb2/1p6/P1pP4/2N1B3/1P3PPP/R2QKB1R w KQkq -,d1f3
2b2bk1/2Nn1p1p/1p2p1p1/p3P3/3pQ3/8/Pq3PPP/R3R1K1 w - -,e4a8
r1bq1nk1/3r2pp/2Rp4/3Pp1P1/1Q2N3/6P1/5PB1/5RK1 b - -,c8a6
5k2/p1p2r1p/2Q3p1/8/2P5/8/PP2qbPP/R6K b - -,f2e1
r1b1q1kr/1pp2pbn/3p1np1/p2Pp1P1/2P1P3/2N1BQNP/PP2B3/2K2R1R b - -,f6d7
8/6k1/3R2p1/7p/7P/5P2/4r1PK/8 w - -,h2h3
r1b2rk1/2q2ppp/1p6/nBnRp3/4P3/P3BP2/1Q3KPP/6NR w - -,g1e2
8/8/3k4/1r1p4/6K1/8/8/2R5 b - -,b5b8
8/6Q1/7P/8/4q3/k7/5K2/8 b - -,e4f4
rq4k1/2pn1p2/1p1p1np1/3Pp3/1PP1P3/R2N1PPB/6K1/Q7 b - -,a8a3
r2q1rk1/1p3ppp/p1n1pn2/2b5/2N3b1/1P1BPN2/PB3PPP/R2Q1RK1 w - -,d1b1
r3k2r/1p1np1b1/p2p3p/4q1p1/4P3/2PB1P2/PP2NQ1P/1K1R2R1 w kq -,d3c4
3q1rk1/prp1ppbp/6p1/8/4P3/4B3/PP2QPPP/3RK2R b K -,b7b2
2rb1rk1/1b1n1ppp/1q1ppn2/pp6/2p1PP2/P2P1N2/BPPB2PP/R3QRNK w - -,e4e5
1r2kb1r/1bp2ppp/p1n1q3/1P2p3/4B3/2P2Q2/1P1P1PPP/RNB1K2R b KQk -,a6b5
5k2/4np1p/6p1/4K1P1/2r4P/8/2B5/2R5 w - -,h4h5
1r1b1rk1/5ppp/3pq3/2nQp3/1p6/4B3/RPP1BPPP/5RK1 w - -,f1d1
3r4/pp2rk2/2n1b1p1/2R2p1p/3p1P1P/P2B4/2PK1B2/1R6 b - -,d8d6
5N2/1k6/2p4p/8/p3pq1p/P7/1PQ3K1/8 b - -,f4f8
r3k2r/1pq1bppp/p3p3/3nN3/P1P5/8/1P2QPPP/R1BR2K1 b kq c3,d5f6
2rr2k1/5ppp/pqn2n2/1ppp1B2/3P4/P1P1PP2/1B3QPP/3R1RK1 b - -,c8c7
8/p1n1k1p1/1pB1pp1p/P3b3/1PK5/2B1P1P1/5P1P/8 w - -,c3d2
r2q1rk1/1b1nbp1p/p3pp2/8/PppPN3/4QNP1/1P2PPBP/R4RK1 w - -,e4d2
r4bk1/pb1q2pp/1pp1p3/3pBr2/2PP2Q1/2N1P1RP/PP4P1/R5K1 b - -,c6c5
r1bqk2r/1p1pnpbp/p1n1p1p1/8/3PP3/1B3N2/PP2QPPP/RNB2RK1 b kq -,c6d4
8/p7/4k3/2b2p1p/P1N4P/1P3PP1/4K3/8 w - -,c4d2
rn2k2r/pp3p2/2p1bq2/3p1Bp1/3P2Pp/2N1PPbN/PPQK2P1/3R3R b kq -,b8d7
2rqr1k1/1b1n1pbp/pp1p1np1/2pP4/P1N5/2N3P1/1P2PPBP/R1BQR1K1 b - -,d7e5
r4rk1/1q1n1pp1/1P2p2p/pPbp4/P3b3/4P1B1/3NBPPP/R2Q1RK1 b - -,e4g6
3r2k1/pp2bpp1/5n1p/1b6/4p3/4B1PP/PP2PPB1/2R1N1K1 w - -,g1f1
3qr1k1/np1b1r1p/3p2p1/p1pP1pP1/2P1pP2/1PN1P3/PQ3RBP/R6K w - -,g2f1
5r2/4r3/1n1b2k1/1BpPp1pp/p1P1K3/R3BPPP/8/R7 b - -,e7f7
4Qnk1/r2rpp1p/6pP/2p1P1B1/5P1K/2P3P1/8/8 w - -,g3g4
5rk1/4bppp/p3p3/q5P1/1p1BNP2/4Q3/1PK4P/4R3 b - -,f8c8
bqrrn1k1/4bppp/p2pp1n1/6P1/2R1P3/1P2Q1NP/PB2NPB1/3R2K1 w - -,c4d4
8/3p4/2p1pp2/p1P3pp/2KPP3/k4PPP/8/8 w - -,c4c3
6k1/p4pp1/1p5p/1P1p4/3P2P1/1RP2q2/4r1QP/7K b - -,f3g2
r1bqkb1r/3n1pp1/p1pp1n1p/1p2p3/3PP1P1/2N1BPN1/PPPQ3P/R3KB1R b KQkq -,e5d4
1k6/p1p1n2p/5B2/1p3P2/1Pp5/P1Pr3P/6P1/R5K1 b - -,e7f5
8/R7/5p2/4p2p/4k3/6P1/P3PK1P/7r w - -,a7a4
2r3r1/pb2kp2/1p3p1p/2n1p3/2p3NR/P3PP2/1PB3PP/1K1R4 b - -,c8d8
r1q2bk1/pp3ppb/2n1r2p/2pNpN2/6P1/1B3Q1P/PPP2P2/R2R3K w - -,d5e3
2r4r/1p3kpp/p3p3/7n/Np2P3/5PP1/PP1BK3/2R4R b - -,h5g3
8/8/2p5/3n1k2/1p1P1p2/8/2r2PK1/1RB5 b - -,f5g4
r1b1k2r/ppq2pp1/2n1p3/7p/4B1n1/1NP2N2/PP2QPPP/3R1RK1 w kq -,e4c6
1r1q1rk1/b1pb1ppp/3p1n2/1p1P4/8/1PN3PP/PB3PB1/R2Q1RK1 b - -,b5b4
r5k1/4q1pp/p1pbP1p1/1PNp4/1r4P1/4Q2P/1B3P2/1R2R1K1 b - -,d6c5
rr2b1k1/1pp1qp1p/p1n1pbp1/2Pp3P/1P1P1P2/P1NQ1N2/2B2PP1/R3K2R w KQ -,h5g6
2r2bk1/1q3pp1/p3p2p/1p1b4/1P1P1P1N/PB2Q2P/6P1/4R1K1 w - -,b3d1
8/4bN1p/8/1p5R/4Pkp1/3r4/5PKP/8 w - -,h5f5
2brrbk1/p5pn/2p2p1p/2p1Pq2/N1Pp1P2/1P1P3P/PB3QK1/3RR1N1 w - -,b2c1
8/8/4K2N/6p1/8/7k/8/8 b - -,g5g4
1k1r1b1r/p1p5/2p2q2/3bNpNp/3p1Pp1/P2P4/1PPQ2PP/1K2R2R b - -,h5h4
5n2/8/1p6/bK3P1k/8/8/BN6/8 w - -,b2c4
r1bq1rk1/pp1nppbp/3p1np1/2p5/2BP1B2/2P1PN2/PP3PPP/RN1Q1RK1 w - c6,b1d2
rq1r2k1/p4pb1/2p1B1pp/2B1p3/4NnPQ/5P2/PPP4P/2KR3R b - -,f4e6
r1b2rk1/pp1qppbp/2n3p1/2p5/8/2PPBNP1/P3PPBP/1R1Q1RK1 b - -,g7c3
r2qk2r/1ppbbppp/p1n3n1/4p3/B3P3/2P1BN2/PP3PPP/RN1Q1RK1 w kq -,b1d2
r2qr1k1/1p3ppp/1pnp1n2/p7/2PNb1P1/PP2P2P/5PB1/R1BQ1RK1 w - -,f2f3
r4q1k/pp2p2p/3pb1p1/2p1b3/8/P7/1PP1QPPP/R1B2RK1 w - -,c1g5
r1b2rk1/pp3ppp/2n5/3pp1Bq/8/P2B4/1PP2PPP/R1Q2K1R w - -,h2h3
3rk2r/1bqnbppp/4pn2/ppp5/3PP2P/3P2P1/PP1BQPBN/R3RNK1 b k -,c5d4
6k1/6p1/2p1p1pp/p7/3nN3/P1q3P1/5PKP/3Q4 b - -,c3c4
4R3/p7/2Pkp1p1/2b2p1p/5P1P/1B2r3/P5K1/8 b - -,e3e4:e3e2
8/7N/1p4p1/1k6/1n3PK1/3r2P1/p6P/R7 b - -,d3b3
2k3rr/pppq1p2/3p4/3NpP2/2PnQ2b/1P6/PB1P3p/R4R1K b - -,g8g1
3qr1k1/5p1p/p4np1/Q2pr3/PP1N4/5P1P/5KP1/1R1R4 b - -,d8e7:d8b8
r2q1rk1/1b1p1pbp/p1nQ2p1/8/Pp2P3/1B3N2/1P3PPP/R1B2RK1 b - -,c6a5
r2qk2r/2p2ppp/p1n1b3/1pbpP3/4n3/1BP2N2/PP3PPP/RNBQ1RK1 w kq -,b1d2:d1d3
8/4k1p1/p3n2p/3pB3/B1p3Pb/2P2K1P/PP6/8 b - -,h4f6
R7/3kbP2/5r2/5KN1/8/8/8/8 w - -,f5e5
8/5pkp/2Pq2p1/1P1nQ3/3P1P2/7P/6P1/7K b - -,d6e5
2rr2k1/pp2qppp/4p1b1/2nnP3/2NN2Q1/PP3B1P/5PP1/2R1R1K1 w - -,c4d6
r1bqk2r/ppp1bpp1/3p1n2/6p1/3PP3/2P5/PP1N2PP/R2QKBNR w KQkq -,f1c4
8/7R/8/5p1k/6n1/1P2r3/3K2p1/8 b - -,h5g6
8/3b4/8/p3kPb1/4p2p/2P1N2P/P2KB3/8 w - -,e2g4
8/N4k2/5p2/3P1P2/1p4p1/3K2Pp/7P/8 w - -,d3c4
r2q1rk1/pp2bppp/2npbn2/2p1p1B1/2B1P3/1PNP1N1P/P1P2PP1/R2Q1RK1 b - -,d8d7
1rb2rk1/1pq1bppp/p1nppn2/8/4PP2/1NNBBQ2/PPP3PP/R4RK1 w - -,g1h1
r1bqkb1r/pp3ppp/2n1p3/1B1n4/8/2N2N2/PP1P1PPP/R1BQK2R w KQkq -,e1g1:b5c6
1rr2Bk1/1p1q1p1p/2n1p1p1/pQ1p4/P2P4/3PPN2/5PPP/1RR3K1 b - -,g8f8
b2B4/5p2/2k1p1p1/1p2P2p/1PpK3P/2P3P1/8/8 b - -,a8b7
r2q1rk1/p5p1/1bp1p2p/1p1nPp2/7P/2P2QP1/PPB2P2/R1B1R1K1 w - -,a2a4
r1bq1rk1/pp2n1pp/2pbpn2/3p1p2/2PP4/BP2PNP1/P1Q2PBP/RN3RK1 b - -,e7g6
4kn2/p3r3/1p3R2/8/P2PP2R/2p2P2/4KP1Q/2q5 b - -,c1d2
r1bq1rk1/pp1n1pb1/3p3p/2pP2p1/2P2P2/2NBn1B1/PP2N1PP/R2Q1RK1 w - -,d1d2
3rr1k1/p4p2/b1p2q1p/6p1/3bP3/1BP1KQ2/P7/3R3R w - -,c3d4
k1br3r/pp1n1p2/2pq2p1/3p4/3P1PP1/2NBRPQ1/PP6/1KR5 b - -,d6b4
r1bqkb1r/1p1n1ppp/2n1p3/p2pP3/3P4/3B4/PP1NNPPP/R1BQ1RK1 b kq -,d7b6
rn1q1rk1/pp4bp/2ppbnp1/4pP2/2P5/2NP2PP/PP2NPB1/R1BQ1RK1 b - -,e6f5
8/8/6p1/5p1p/3bn2P/3k1KP1/5P2/6N1 w - -,g1h3
r3k2r/2qnbppp/p2p4/3PpP2/1pb5/1N2B3/PPPQB1PP/1K1R3R b kq -,a6a5
4r3/p4r2/1p2pBk1/3p4/P5P1/2P3P1/1P2R1K1/4R3 b - -,f7f6
r4rk1/1bq2ppp/5n2/2P5/1pNp4/pBn1P3/2Q2PPP/R1B1R1K1 w - -,e3d4
2r2rk1/p2q2p1/4p2p/3nP3/2pP4/PQ4B1/5PPP/2R2RK1 w - -,c1c4
r1qr2k1/1b1nbppp/3ppn2/p7/PpPNPB2/1N4PP/1PQ2PB1/R3R1K1 b - -,e6e5
5Q2/4K3/6R1/8/7k/8/5r1p/8 b - -,f2f8
r1bq1rk1/2p1bppp/p2p4/1pn1P3/B2QN3/8/PPP2PPP/R1BR2K1 w - b6,e5d6
8/1R3p2/4pk1p/1p1r2P1/8/P3K1P1/1P3P2/8 b - -,h6g5
8/4kp2/1K4p1/p1P4p/B4P2/3n2P1/7P/8 b - -,e7d8
r1bqkb1r/pp3ppp/2n1pn2/2p5/2PP4/1P3NP1/P2P1PBP/RNBQK2R b KQkq -,c5d4
3b2k1/3q2p1/p3p1Np/1b2p3/8/5PBP/QP1r2PK/2R5 w - -,g6e5
2r3k1/4q1p1/6Pp/3pNp1P/b3pP2/1p2P1K1/1PrR1R2/3Q4 w - -,d2c2
r3kbnr/1p1q1p1p/p1n1p3/1N1pPbB1/3P4/1Q3P2/PP1N2PP/R3KB1R w KQkq -,g2g4
r1b2rk1/1p1nq1bp/3p2p1/pN1Ppp2/2N1n3/4B1PP/PPQ2PB1/R2R2K1 w - -,g2e4
r2r4/1p2pp2/pnp2kp1/7p/1P5P/3P2P1/P1R1PPB1/1R4K1 w - -,b1b3
5kr1/b4p2/4p3/p1p1PpPp/Np1r1P1P/1PpP1K2/P1P5/4R2R w - -,h1f1
r1bq1rk1/pp3pbp/2np1np1/4p3/2P1P3/P2BBP2/1P2N1PP/RN1QK2R w KQ -,b1c3
2k5/p2r1pb1/1pn3pp/2p1p3/P1N1P1PP/2P2N2/1P2KP2/7R w - -,f3e1
1r4k1/5pp1/5n1p/8/1p6/rR3BP1/P1R1PP1P/6K1 b - -,a3a4
5qkr/4p1b1/p2pb1R1/1p2p2n/2r4P/2NQBP2/PPP5/1K4R1 w - -,g6e6
rn1qk2r/1p2bppp/p2pbn2/4p3/4P3/1NN1B3/PPP1BPPP/R2QK2R w KQkq -,e1g1:f2f3:g2g4:f2f4:d1d3:c3d5:d1d2
r7/5p1p/3p1kp1/1p1P4/5B2/1BP4P/4KPP1/8 b - -,a8a3
rn2kb1r/ppp2ppp/2b1p1q1/8/3PNQ2/5P2/PPP3PP/R3KBNR b KQkq -,b8d7
6k1/1b1n2b1/2pp2PQ/2n5/3N4/rPp5/8/1R3R1K b - -,g7h6
r1bq1rk1/bpp2p2/p2p1n1p/4p1p1/4P3/1BPPN1BP/PP3PP1/R2QK2R b KQ -,a7e3
2q3k1/4b1p1/1Nb1p1Qp/2p1P3/1n4PP/1P4B1/6BK/8 b - -,c8e8
r1bqr1k1/ppp3pp/2nb4/5p2/2N5/2PP2P1/P3QPBP/R1B2RK1 w - -,e2c2
r7/5p2/1p1Np1kp/pPr2p2/5P2/2R1K2R/P5PP/1b6 w - -,c3c5
q1r3k1/pb3pbp/1p2p1p1/1P1n1n2/P2P4/Q2NBN2/4BPPP/2R3K1 w - -,d3e5
7k/p2n4/3B2rp/1p2P3/2bP2P1/2R2P2/P7/2K5 w - -,a2a4
r3k2r/ppq1bp1p/n1ppb1p1/7n/2P1PP2/2NP1N1P/PP2QKB1/R1B4R b kq -,c7d8
5k2/5p2/p3rp1p/1p2q3/2pR4/P3P1P1/1P1Q1P1P/6K1 b - -,f8g7
5r1k/4r3/3R1Nqp/2p3P1/1p3Q1P/1P6/5P2/5K2 w - -,d6d5
r7/p5pp/R1pkr3/1p1b4/PPp1p2P/6P1/2P2PB1/4R1K1 b - a3,b5a4
1rbq1rk1/p3bpp1/5n1B/2pp4/8/1PNB1Q2/P1P2PPP/R4RK1 b - -,c8g4
1r4k1/p2Q4/n2P4/1p2p2P/4q3/2p3P1/P5K1/5R2 w - -,g2h3
1rb5/1pqnB1k1/p3p1Bp/2pP4/P1P5/2N1Qr1P/1P4P1/5R1K w - -,e3f3
3R4/1p3pk1/3N4/2P4p/3P1np1/1r6/5K1P/8 w - -,d8d7
8/1p1r1k1p/pBn5/P2prp2/1bP3p1/1N4P1/1P1R1P1P/3R1K2 w - -,d2d5
r2qr1k1/5ppp/2p1nnb1/1pb1pN2/p3P1PP/P3N3/1PP1QPB1/R1B2R1K w - -,h4h5
2r5/1pp3pp/8/2P2k2/4p1P1/P3P3/5P2/3R2K1 b - -,f5g4
