8/8/1pk5/8/8/3K4/2r5/1R6 b - -,c2c5
rnbq1rk1/ppp1pp1p/6pb/8/2Pp4/3P1NP1/PP2PPBP/RN1Q1RK1 w - -,b1d2
4R3/1n3pk1/3p2p1/1P1P3p/5P2/1rb2N1P/6K1/2B2B2 b - -,b7c5
r1bqr1k1/pp3ppp/5b2/3p4/2nN1B2/1Q4P1/PP2PPBP/3R1RK1 w - -,e2e4
r1bqk2r/1p1nbppp/2p2n2/p3p3/2P5/P1N2NP1/1P1BPPBP/R2Q1RK1 w kq -,d1c2
8/4qk2/pQ3pp1/4p2p/P1b4P/4P1P1/5PB1/6K1 w - -,g2b7
8/ppb2k2/4p2p/1P2Ppp1/P7/2B2P1P/4K3/8 b - -,f7g6
4r2k/4q3/4r2p/1P2P1p1/p1P1Q3/6P1/1P2RK2/4R3 w - -,e2d2
8/2n2k2/3bpp2/6p1/6P1/3KP3/1BB2P2/8 w - -,d3e4
r2q1rk1/3bppbp/p2p1np1/nppP4/2P1P3/1PN3P1/PB1N1PBP/1R1Q1RK1 b - -,a8b8
r2q1rk1/ppp2ppp/4b3/8/8/P1Q1PN2/1P3PPP/3RK2R b K -,d8e7
r1bqkb1r/ppp2ppp/5n2/3Pp3/3n4/2N2NP1/PPPP1P1P/R1BQKB1R w KQkq -,f1g2
8/8/6p1/5bPp/2PN3P/p1K3k1/P3R3/1r6 b - -,f5g4
2rk2nr/4p2p/pq1pBbp1/5p2/p4B2/5N2/1PP2PPP/R2QR1K1 b - -,c8b8
2q3k1/b4pp1/p3p1b1/8/1PN3Pp/2P2B1P/P4P2/3Q2K1 w - -,d1e2
8/1p1k4/p1p3p1/4B1b1/2PP1P1p/1P5P/n1b2KP1/7R b - -,g5e7
2R2b2/1r3p1k/6pp/8/7P/4P1P1/5P2/6K1 w - -,c8f8
8/1k2q3/p1p2p2/1n2p3/1PQ5/5BP1/5PK1/8 b - -,e7d7
rnb1k2r/pp1pqppp/2p2n2/2b1p3/2P5/P1N1P3/1P1PNPPP/R1BQKB1R b KQkq -,d7d6
8/4rp2/p2k4/2pb1Bp1/7p/1P2rP1P/P3RKP1/8 w - -,e2e3
r3kb1r/1p2pp1p/p1b5/2pqNp2/8/2PP4/P1P1Q1PP/R1B2RK1 w kq -,e5c6
r1bqr1k1/pp3ppp/4pb2/8/3P4/B5P1/P3PPBP/1R1Q1RK1 w - -,e2e3
5rk1/3r1pp1/p1n2q1p/2p5/2B5/P4b1P/1P1Q1PP1/3RR1K1 w - -,d2d7
r5k1/1q3pp1/3Rn2p/8/1p2P1P1/4QP1P/1P6/1KB5 b - -,b4b3
8/1p2B3/2p5/3b3p/p2Kpk1P/P7/8/8 b - -,f4f3
8/6k1/8/6P1/1r6/4R1K1/7P/8 w - -,h2h4
r4rk1/1p3pbp/1q2pnpB/1b1pN3/p2P3P/P1P2P2/BP1Q2P1/R3K2R b KQ -,f6d7
q5k1/3b1p1n/3p2p1/1p1Pp2p/1P2P2P/N2B1PP1/1Q4K1/8 b - -,a8a4
rn1q1rk1/pp3pbp/2pp1np1/4p3/2P3b1/1P1P1NP1/PB1NPPBP/R2QK2R w KQ e6,h2h3
7k/prr3p1/4bp2/4p2p/4P2P/P1R1N1P1/2P5/4R1K1 w - -,c3c7
2R5/8/1k6/8/3p1r1p/3K4/8/8 b - -,f4g4
r3q1k1/ppp2rb1/2np1n1p/4p3/PPPP1Pp1/B3P1Q1/3N1PBP/R4RK1 b - -,e5d4
r1b1k2r/1ppnbppp/p1pq4/4p3/3PP3/5N2/PPP2PPP/RNB1QRK1 w kq -,c1e3
8/p3kp2/1pr3p1/4p3/P3P1P1/1BPK1P1n/8/5R2 w - -,d3d2
Q3nk2/1p3ppp/8/8/1q1p4/3P2P1/5PKP/5N2 w - -,f1d2
8/5pb1/4p1k1/2R1P1pp/8/4NKPP/r4P2/8 b - -,a2a3
3r4/1b1rkp2/3pp3/2P1qp2/1p1RP2p/3Q1B1P/3R1PP1/6K1 w - -,c5d6
8/1q3pk1/3pp1p1/2p2nP1/2P2P2/3P3Q/5R2/6K1 w - -,h3f3
1rbq1rk1/pp2n1bp/3pp1p1/2p2p2/4PP2/2PPB1P1/PP2Q1BP/R2N1RK1 b - -,b7b5
2r3k1/1p3p2/5p1p/3b4/7P/pP2P1P1/P1rR1P2/3R2K1 w - -,d2c2
r4rk1/2p4p/6p1/1P6/p1npRP2/5p1P/P1B2P2/1R4K1 w - -,b1b4
8/5pk1/4p1p1/2pq3p/7P/1P2Q1P1/P4PK1/8 w - -,g2h2
2r5/4kpp1/2q1p2p/p7/Qb1P4/5P1P/1P3BP1/R5K1 w - -,a4c6
2r1r2k/B1P3p1/8/3n4/5p2/1P3Nb1/P7/R1R2K2 w - -,a2a4
r1b2rk1/ppp1ppbp/1n4p1/4P3/3q4/1B5P/PPP1QPP1/RNB1R1K1 b - -,e7e6
r3k2r/p3bpp1/2pp1q1p/4p3/2N1P1b1/3Q1N2/PPP2PPP/R4RK1 w kq -,f3d2
8/6Bb/8/1p1k3P/p5P1/2P1KP2/1P6/8 b - -,d5c4
r2rnk2/1p3pp1/2p4p/p4P1P/P3PN1Q/6R1/1q3P2/4R1K1 b - -,d8d4
r1b1r1k1/1pqn1pbp/p2pp1p1/n5P1/P2NPP2/1PN2R2/2P3BP/R1BQ3K w - -,c1b2
r2q1rk1/pb1nbp1p/1p2p1p1/2ppP3/1n1P2PP/PP1B1N2/1BPNQP2/2KR3R b - -,b4d3
8/R4pkp/6p1/2KB4/8/7P/6P1/5r2 w - -,a7a3
r2q1rk1/pp2bppp/1np2n2/7b/3P4/1BN2N1P/PP3PP1/R1BQR1K1 w - -,c1g5
rnbqkbnr/pp1pp1pp/8/2pP1p2/8/2N5/PPP1PPPP/R1BQKBNR b KQkq -,g8f6
r5k1/pp5p/2pQ4/4n1q1/2P3b1/8/PP3PP1/R2R1BK1 w - -,d1e1
3r1rk1/1pq1b2p/p1p3b1/P3np2/5P2/2Q1N1N1/1P2P1BP/R4RK1 b - -,e5g4
r1b1qrk1/p3Nppp/1p6/3p3Q/P2P4/8/1P1B1PPP/R2R2K1 b - -,e8e7
8/8/1p1r4/p1p2ppp/2P1k3/2R1P2P/PP2K1P1/8 b - -,h5h4
3rr1k1/p2q2p1/6p1/2ppB3/2bPp2P/R5P1/1Q2PPK1/1R6 w - -,d4c5
q3b1k1/4r1p1/r3P2p/bp1Q4/p3N3/P4RPB/1P4KP/2R5 w - -,d5a8
7N/pR4pk/6r1/7p/4Pp2/2P2P2/6PP/3K4 b - -,h7h8
r2r2k1/4ppbp/6p1/2p3P1/4P3/1PN1Bn2/P1n1NP1P/3R1RK1 w - -,g1g2
7k/8/2Npbrpp/1P2p3/2Q5/4P1P1/P2q1P1P/5RK1 w - -,c4c1
r1b1rn2/pp2q1k1/5np1/8/3PP2Q/8/PPBB3P/R4RK1 b - -,f6g8
2krrn2/1p3ppp/p1pbpn2/8/2PP2P1/1P2BBNP/1P3P2/2KR3R b - -,f8g6
1r3b2/5ppk/5n1p/1pnb4/3Np2N/2P2P2/1PB3PP/2B1R1K1 b - -,g7g6
r4rk1/pp2q1pp/2p1bn2/3p2N1/4n2Q/2PBB2P/PPP3P1/2KR3R b - -,e6f5
qr4k1/3nppbp/rn1p2p1/2pP4/4P3/1PN1BP2/P2QN1PP/R4RK1 w - -,a1b1
4r2k/1p1q2bp/4p3/P2p2B1/6Q1/1P3P2/6P1/4R1K1 b - -,d5d4
rn1q1rk1/pp2ppb1/3p1npp/2p5/3P1B1P/2P1P2N/PP2QPP1/RN2K2R b KQ -,b8c6
r2qkb1r/pp3ppp/2n2n2/1B3b2/4pP2/2N5/PPPPQ1PP/R1B1K1NR w KQkq -,b5c6
8/8/2r3pp/4k3/8/R5KP/8/8 b - -,g6g5
5b2/4k2p/2P1Npp1/3K4/pB6/5P1P/6P1/8 b - -,e7e8
4r1k1/5ppp/pq3n2/2b1Q3/2PN2b1/1P4P1/P2R2BP/5RK1 w - -,f1f6
r1b1r3/pp3qkp/1n1p2p1/2pP4/2P1Pp2/1PQ5/P2N1PBP/R4RK1 b - -,g7g8
6R1/4R3/2r1p2k/1p3p2/p3nP2/6PK/8/8 b - f3,b5b4
1rnq4/1p1nbp1k/p2p3p/P2PpNp1/NP2P1P1/5PP1/4QBK1/2R5 b - -,e7f8
5r2/2k4p/p1P3p1/2R3P1/4KP2/8/P7/8 w - -,a2a4
r1b3k1/3nrpp1/pqp4p/1p2P3/4P3/2N5/PPQ1BPPP/3R1RK1 b - -,d7e5
r1b1k2r/ppq2pp1/1npbpn1p/3p4/3P1BPP/1PN1PP2/P1PQ4/R3KBNR w KQkq -,d2h2
1k4r1/1pp1rpp1/p2p1bq1/2PP4/3BPP2/1P1Q2Pp/P4R1P/4R1K1 b - -,g8e8
r1b1r1k1/1pq2ppp/2p2n2/p1b1p3/P3P3/1N4PP/1PP1QPB1/R1BR2K1 b - -,c5b6
rn1qkbnr/pbpp1ppp/1p2p3/8/2PPP3/3B4/PP3PPP/RNBQK1NR b KQkq -,b8c6:f7f5:f8b4
8/p3kbp1/3P3p/4Pp2/4BP2/1p2K1P1/7P/8 b - -,e7d8
2rr2k1/5p1p/p4qp1/2Bb4/1P1N1n2/P3QP2/6PP/2R2R1K b - -,d8e8
8/5n2/7k/3p1P1P/5K2/2N5/8/8 w - -,c3d5
r4n1k/1p1br1pp/2p1p3/2Pp2qP/1p1P2N1/1P1BP3/P3QP2/2KR3R w - -,f2f4
rn3rk1/p3qppp/1p6/2pPp1Qn/4P3/P2B1N2/1P3PPP/R3K2R b KQ -,e7g5
r2q2k1/ppp2pp1/1b1p1r1p/8/4PP1P/1PN5/1PPQ2P1/2KR3R b - f3,f6g6
8/1b3pk1/p2p2p1/6P1/P2N1n1P/1P6/2N5/5K2 w - -,c2e3
3r2k1/r4qp1/1p3p1p/p7/5Q2/4R1P1/PB3P1P/6K1 b - -,f7a2
nr4k1/3q1np1/2p5/2Pp1r1p/pP3P2/B5QP/P5B1/3R1RK1 b - -,f7h6
rn1qk2r/pbpp2pp/1p2pn2/2P2P2/1b1P4/3B4/PP3PPP/RNBQ1KNR b kq -,b6c5
r1bq1rk1/pp2ppb1/2n3p1/7p/2BP1B2/2P1QN2/P4PPP/R4RK1 b - -,c6a5
B5k1/p7/7p/5p2/3r4/P4P1P/1P1p4/2nR1K2 w - -,f1f2
b6r/2Npkp1p/1pn1p3/6p1/4P3/5P2/PP2B1PP/1K1R4 b - -,a8b7
4r3/1b3r1k/5q1p/p4p2/2PN4/bP2PP2/P1Q1K1RP/6R1 w - -,c2f5
8/b7/P2p4/3P1k1P/8/2P1rp1P/KP1R4/8 w - -,h5h6
3r2k1/B5bp/3r2p1/1b3p2/5P2/P3N1P1/1PR4P/2R3K1 b - -,d6d7
r6r/pp2qpk1/5n1p/3p1Qp1/4p3/2N1P1P1/PP3PP1/2KR3R w - -,c3d5
2b5/8/8/P5p1/1P1k4/5Bb1/8/5K2 b - -,d4c4
r2qr1k1/3nbp1p/pn1p2pB/1p1Pp3/8/2P2QNP/PPB2PP1/R3R1K1 w - -,g3f5
8/5k2/1R1p4/p1P1bp2/P4p2/1P3P2/7P/7K w - -,c5d6
2rqr1k1/1p1b1p1p/p2p1bpB/2n1p3/P3P3/1PP3P1/2NQ1PBP/R4RK1 b - -,c5b3
2r2rk1/1bpq3p/pp1b2p1/3p1p2/3Pn3/1P2P2B/PBQ1NPPP/2R2RK1 w - -,g2g3
r2q1rk1/1p2bppp/1n2p1b1/n2pP3/p2P1NP1/P3B2P/1P1N1P2/2RQRBK1 b - -,d8d7
2r1k2r/p2qbppp/2p4n/4P3/Q2P4/3B4/PP3PPP/R1B2RK1 w k -,d3e4
r2k4/3b3p/2p1ppp1/1rB5/p1RP4/4KPPP/PPR5/8 b - -,d8e8
3r2k1/6pp/b4p2/3p4/1R3N2/6P1/rP2PP1P/3R2K1 b - -,d5d4
8/2k2p1p/2r3p1/4p1P1/n3P3/8/1p1K3P/1R3N2 w - -,f1e3
3r2k1/1b3p1p/r3pp2/1N6/pQPPq3/7P/5RP1/R5K1 w - -,b4e7
r1bq1rk1/3nppb1/pp1p1np1/2pP3p/P3P3/2N2N2/1PP1BPPP/R1BQR1K1 w - h6,c1f4
1kr4r/1b1nnp2/1q2p1pb/1p1pP3/pPpN1PB1/B1P1N1QP/P2P2K1/1R3R2 b - -,e7f5
r3r1k1/pp1b1pb1/2np3p/3N2pq/3NQ3/1B5P/PPP2PP1/3RR1K1 w - -,e4f3
r3kbnr/1bq4p/p3p1p1/1pp1p2B/4P3/2NP4/PPP2QPP/R1B2RK1 b kq -,f8g7
r1b1qrk1/ppp3bp/2n2np1/4pp2/2P5/2N2NP1/PPQ1PPBP/R1BR2K1 w - -,c3d5
2r3k1/6p1/6Pp/1pB1p2P/1Pq1p1b1/1P6/8/1K1Q4 w - -,d1g4
8/8/4k3/p4r2/2PR1P2/2K5/8/8 w - -,c3d3
4b1k1/pr3ppp/1q2p3/4N3/8/3BQ2P/1r3PP1/R5K1 w - -,e3g3
8/6p1/4bk1p/5p2/7P/r4BP1/1R3K2/8 b - -,a3a4
7k/p4r2/5r1p/2PB4/2P5/6P1/7P/R5K1 b - -,f7c7
6k1/7p/3p2p1/8/r1BPP3/4p3/1R5P/7K b - -,a4c4
5r2/1pp1n2Q/3pk1p1/1P5n/2P3q1/3P1NP1/4PPK1/R1B5 b - -,e7f5
4r2k/pp2Q1rp/2pp1N2/5Rn1/1PP3n1/3B4/P5PP/6K1 b - -,e8e7
8/3nk2p/2bn2p1/rp2pp2/2p1P3/P1P2P1P/B1NKN1P1/2R5 w - -,e4f5
2r3k1/2r4p/p3pp2/1p6/3P4/P1N1P3/1P2KPPP/7R w - -,h1d1
8/3k3n/p2P4/2pRp3/8/P7/5P2/5K2 w - -,d5c5
r3r3/pp3pk1/2qP2pp/P1b5/RnQ2P2/1P6/4B1PP/2B2K1R b - -,e8e4
8/5b1p/1kN2p2/1P3P2/1P1R1b2/8/5r1P/5B1K w - -,f1g2
