3bN3/8/4Bnpk/2p1p3/4PPK1/6P1/8/8 w - -,e8f6
r5k1/ppp1qpp1/1b5p/4p3/4P3/1PPrBQ1P/1P3PP1/3R2K1 w - -,d1d3
r2q1rk1/ppp3bp/3p1n2/3P1b2/2P1pP2/2N1B3/PP1QB2P/2K2RR1 w - -,g1g5
r2nq1k1/pbp2rbp/1pnp2p1/3N1P2/1PP1P3/4BN1B/P2Q3P/3R1RK1 w - -,f3g5
r1bqk1nr/pp2bppp/4p3/2p5/3nN3/1P6/PBPP1PPP/R2QKBNR w KQkq -,g1f3
r2q4/1pp1nkb1/p2p1nr1/P1PPp3/1P2PpB1/2N4P/6P1/R2QBRK1 b - -,f6g4
5k2/8/5P2/5KP1/8/6P1/8/1n6 b - -,b1d2
1r1q1nk1/6p1/2p1p1p1/2P3Pn/pP1Pp1Q1/B2B1P2/1R6/6K1 w - -,g4e4
2R5/5pk1/p5p1/1b2R1P1/1r2PK1P/8/8/8 w - -,e5d5
rnbqkb1r/pp1p1ppp/2p2n2/8/2Pp4/P1N5/1P2PPPP/R1BQKBNR w KQkq -,d1d4
r1bqkb1r/ppp2ppp/1nn5/3pP3/3p4/1BP2N2/PP3PPP/RNBQK2R w KQkq d6,c3d4
3rr1k1/pp1q1ppp/8/3pn3/8/1PQ1P1P1/P2RNP1P/5RK1 w - -,g1g2
2r5/4kp2/4p2p/3pPn1P/3P1N2/p1P5/1r3P2/3RK1R1 w - -,f4e2
5k2/3K1p1B/5p2/pp5P/6N1/1P6/P7/4b3 b - -,a5a4
2r2rk1/1pq1ppbp/3p1nP1/p5B1/Pn2P3/1NN5/1PP1Q1PP/3R1R1K b - -,h7g6
r1bq2nk/ppp3rp/3p1n2/3PppN1/1PP2P2/2N5/P2QB1PP/R4RK1 b - f3,e5e4
6k1/4prb1/1p1p2np/2p2pp1/P4P2/2P1P2q/1P1R3B/4RQK1 b - -,h3f1
Nr2n1k1/1q1n1pbp/3p2p1/2p5/P4B2/5pPP/1PQ2P1K/R6R w - -,a1a2
r2q1r1k/1pp3pp/3b1p2/p2np3/Q1N5/P2PB1P1/1PR1PPKP/2R5 w - -,a4b5
3r4/p3q1kp/1pp2pp1/2p1p3/P3P3/1P1rQ2P/5PP1/R4RNK w - -,e3e2
8/p2k4/2pr2pp/1pR2p2/1P3P1P/P5P1/B2nK3/8 w - -,h4h5
3r1rk1/p5p1/2pp1q2/8/2b5/1PN2P1p/P2Q2PP/3RR1K1 b - -,c4a6
3r1nk1/R5pp/1p3p2/2pP4/2P3qP/5N2/P4PP1/2Q3K1 b - -,d8e8
rr4k1/3qbp1p/pn1p1np1/2p1p3/2P1P3/2NQNP2/1PPB2PP/R4RK1 w - -,a1a2
r2q1rk1/4pp1p/2bp2p1/1p6/3QP3/P1N4P/1P3PP1/R3R1K1 b - -,a8b8
8/1p1R1rk1/p1p3p1/2P1p3/1P2PQ2/P7/6P1/5bK1 b - -,e5f4
3r1rk1/pp3ppp/2pq1n2/4nb2/P4B2/2N3P1/1P2PPBP/R1Q2RK1 b - -,a7a5
6k1/2R4p/1p2p1p1/1r3pBP/p7/P1P5/1P4P1/7K w - -,h5h6
r1N2r1k/ppp2pbp/1n4p1/8/5p2/2NP2P1/PP3PBP/R3K2R b KQ -,b6c8
6R1/3k1P2/4p3/1pP4p/1P6/8/2r2p2/4K3 w - -,e1f1
5rk1/q4pp1/4p2p/5r2/1R6/2Q4P/5PP1/1R4K1 w - -,c3g3
r3kb1r/pp1n1p1p/2p1bnp1/3pN3/3P1P2/2NB4/PPP3PP/R1B1K2R w KQkq -,e1g1
r1bQ1bk1/ppp2r1p/5np1/7q/2P2p2/BP3N2/P4PBP/R4RK1 w - -,f1e1
r1bq1r1k/pp2bppp/2n5/2p1p3/3n4/P1NP2P1/1P1BPPBP/2RQNRK1 w - -,e2e3
2kq2B1/pp5p/2n2p2/1N2b3/4b3/1Q6/PP3P1P/3R2K1 b - -,d8f8
8/8/4kp2/7p/3b2p1/4qPP1/4P1KP/5RN1 w - -,h2h3
8/8/4k2p/p3p3/2PnK3/P5N1/7P/8 b - -,d4b3
rn2r1k1/ppqnppbp/3p2p1/2p3B1/3PP3/2P2N1P/PP1N1PP1/R2QR1K1 b - -,b8c6
1rbqk1nr/5pbp/p1npp1p1/1Pp5/4P3/2NP2PP/PP2NPB1/R1BQ1RK1 b k -,a6b5
2k4r/1pprB1pp/2n5/1p1N4/5PP1/4R2P/2K5/3R4 b - -,h8e8
n7/P7/8/3k1Pp1/2nB3p/1N1K3P/8/8 b - -,g5g4
6k1/5rq1/3p2p1/1ppPr3/6P1/6QP/1P5K/4RR2 w - -,f1f7
r3k2r/1bqpnppp/p3p3/4P3/R1PN1B2/8/2P2PPP/3QR1K1 b kq -,e7g6
r2q1rk1/1bpn2pp/1p1pp3/p4p2/2PP4/PP2PB2/1B3PPP/R2Q1RK1 b - -,b7f3
6k1/6pp/8/ppqp4/4p3/1P5P/P3R1P1/3R2K1 w - -,g1f1
r1bqnrk1/1pp2pbp/3p2p1/p2Pp3/1nP1P3/2N4P/PP2BPP1/R1BQNRK1 w - -,a2a3
2kr4/p4pb1/1q5p/6p1/1p1p4/1N2n2P/PPPN1QP1/1K2R3 b - -,f7f5
r3rnk1/ppqb2pp/4pp2/8/2P5/1P2RNP1/PQ3PBP/4R1K1 b - -,a8d8
rn1qk2r/pp3ppp/2p1pn2/3p4/1b2P3/2N2Q1P/PPPPBPP1/R1B2RK1 w kq -,e4e5
rnbqkb1r/5p1p/p2p2p1/1ppP3n/P7/2N1B3/1P1NPPPP/R2QKB1R b KQkq -,b5b4
1K4k1/6P1/1P6/5p2/8/8/6R1/2r5 b - -,f5f4
r1b2r1k/pp2n1bp/3p1p2/3P2pq/1QB1Pp2/5N2/PP2NPPP/R4RK1 w - -,f3d4
3r1r1k/1pq1bpp1/2p2n1p/1pP1pP2/NP1p2P1/PQ1P3P/5PB1/2R1R1K1 w - -,a4b6
r1b1k2r/pp3ppp/1qnbpn2/6B1/2B4Q/2P5/PP3PPP/RN2K1NR w KQkq -,c4b3
r1bq1rk1/pp1n1ppp/3b4/3P4/3p4/3B1N2/PPQ2PPP/R1B2RK1 b - -,h7h6
r2q1rk1/pb1nbpp1/2p1pn1p/1p6/3P1B2/1Q3NP1/PP2PPBP/RN1R2K1 b - -,d8b6
1r4k1/3b1pp1/5n1p/p1rp4/1qpN4/Q1R1PP1P/PP4P1/3R1BK1 w - -,d1d2
3n2k1/6p1/p1r3p1/8/N7/1P2B2P/5PP1/5K2 b - -,c6c2
2r5/4k3/1R4p1/p2B1b2/2P5/5Nb1/PP6/6K1 w - -,b6a6:b6b7
rn1qkb1r/pbpp1ppp/1p2p3/6Bn/2PP4/4PN2/PP3PPP/RN1QKB1R b KQkq -,f8e7
1k3br1/1p3p2/2p2q2/p1n1nN1p/P7/2N3PB/1P1QPP2/3R2K1 w - -,d2d8
3rr1k1/p4bpp/2q1pp2/1p1n4/5P2/P2Q4/BPPBR1PP/4R1K1 w - -,d3f3
6qk/5ppb/1Qp1r3/3p4/2PPp1RP/rP2P3/3N3P/B6K w - -,a1c3
2q2rk1/5ppp/2b1p3/1p2Q3/3P4/1BP5/5PPP/R5K1 w - -,a1a7
6k1/2R3p1/p4r1p/Pb3P2/8/7P/1R4PK/8 w - -,g2g4
r1bqk1nr/ppp2pbp/2np2p1/4P3/8/1P2P3/PBP1NPPP/RN1QKB1R b KQkq -,c6e5
r4rk1/pp4pp/1b1Pq3/2p1P3/3BN2P/1P2P1P1/P1Q5/2KR4 w - -,e4g5
n7/4k3/p2p4/B1pPp3/2Pn1pN1/P2K1P2/8/8 w - -,d3e4
r3r1k1/ppqnbppp/2p5/4pb2/3P4/2n1P1PP/PP2QPB1/R1BRN1K1 w - -,b2c3
r2q1rk1/ppp1ppbp/2n1bnp1/8/2NP4/P2BPN2/1P3PPP/R1BQ1RK1 b - -,e6d5
8/5p2/4p3/5k1p/P1RP4/2P2KP1/r4P2/8 w - -,c4c5
2rr2k1/pb3ppp/4p3/8/1nNP4/2RnPNP1/1P3PBP/R5K1 w - -,a1a3
8/R7/1P4nk/8/P6p/r7/4K3/8 w - -,a7a5
r2qkb1r/3b1pp1/p1nppn1p/8/1p1NP1P1/2N1BP2/PPPQ3P/2KR1B1R w kq -,c3e2
rnb2rk1/p4ppp/1p2pn2/3q4/3P4/2P1BN2/P3BPPP/R2Q1RK1 b - -,c8a6
r1b2rk1/ppq1ppbp/2n3p1/3p2B1/3Pn3/2PB1N1P/PP1Q1PP1/RN3RK1 w - -,d3e4
rnbqr1k1/ppp1bppp/3p1n2/8/3NP3/2N2B2/PPP2PPP/R1BQ1RK1 b - -,c7c6
3b2k1/8/4n1p1/1Np1Pp1p/r1PpbP1P/6P1/1B5K/R4B2 b - -,a4a1
2r3k1/p3Q1p1/1p2pnqp/8/3PP2n/P3B3/1P3NPP/1K4R1 b - -,f6e4
8/5k1p/6p1/P1r2p2/P1bpp2P/6P1/3K1P2/2R5 b - -,c5c8
2r3k1/1r3pp1/p3pn2/1pB5/4pPpR/6P1/PPP3P1/2KR4 b - -,g7g6
r5k1/1pq2ppp/p3pb2/8/8/2P1B1P1/PP1RQPKP/8 b - -,a8d8
4nk2/R7/5P1p/4K3/4B3/1P6/P4r2/8 w - -,a7a8
8/4k1p1/1N1p3p/1P2p3/3nb3/6P1/1R3K1P/2r2B2 b - -,e7d8
8/5Qpk/4pp2/4q2p/3n4/5PP1/5NPK/8 b - -,h5h4
2b4r/2k2ppp/BR1p1n2/P3p3/1P6/5PB1/6PP/6K1 w - -,a6c8
r7/p4k1R/5r2/2pp4/2p1p3/4K1P1/PPP4P/5R2 b - -,f7e6
r1bq1rk1/ppp3b1/2np1npp/4p3/1PP1P3/2N2NP1/P4PBP/1RBQ1RK1 b - -,c8g4
3r1rk1/pB1b1ppp/4pn2/4p3/8/PN4P1/P3PP1P/2R2RK1 w - -,c1c5
4k3/2R5/r7/4PK2/8/8/8/8 b - -,a6b6
6k1/1pR1Q1p1/p6p/P4b2/3p4/6qP/6P1/7K w - -,e7f7
6k1/4bp2/4p1p1/5n2/3PQP2/2q2NPK/8/5R2 b - -,e7f6
1r1r3k/p1p3bp/2B1qpp1/2Q2b2/3P4/1P2B3/P4PPP/2KR3R w - -,d4d5
1rbq1rk1/1p2ppbp/p1np1np1/2p5/2P1P3/P1NP2P1/1P2NPBP/1RBQ1RK1 b - -,b7b5
2R5/3r4/1r6/4p1k1/4B3/4KP2/8/8 b - -,b6b3
r3r1k1/pb3ppp/1qp2n2/2N1b3/1p2P3/5N2/PPQ1BPPP/R2R2K1 w - -,e2c4
6k1/4q1pp/2p1pb2/3p4/1P1P2Q1/4P3/5BPP/r4RK1 b - -,a1f1
1k6/p1r4p/Q7/1P6/p1r2PK1/7P/7P/8 w - -,a6d6
r4rk1/pp2bppp/2pq4/4np2/2B5/7Q/PPPP1PPP/R1B1R1K1 w - -,c4b3
bq6/4n1k1/5rpp/1B1p4/1P1QP3/8/5PPP/2R2RK1 w - -,d4c5
1n2br1k/2r1bNpB/pq2p2p/1p6/1P6/P3P1B1/2Q2PPP/3R1RK1 b - -,e8f7
2kr4/ppqnbp2/1np1p2p/4P2P/1PP2P1p/P1N1B1rP/4Q1B1/R4R1K w - -,c3e4
r2q1rk1/pp1nnppp/2p5/4p3/3pP2P/3P2P1/PPPNQPB1/R3K2R b KQ -,b7b5
r5k1/pp3pbp/4bnp1/q3r3/3pP3/2N1BQPP/PP4B1/3R1RK1 w - -,e3d4
r2qk2r/pb2bppp/1pn1pn2/2ppN3/2PP4/4P1P1/PP3PBP/RNBQ1RK1 b kq -,e8g8
3rn1k1/1q1r1ppp/pp1pp3/4n3/2P1P3/1PN2NP1/P2RQP1P/3R2K1 b - -,e5f3
r2qk2r/1b2bppp/ppnp1B2/1N2p3/2P5/2N3P1/PP2PPBP/R2Q1RK1 b kq -,g7f6
1R4k1/p1qnnp2/4p1p1/3pP1Pp/2pP3P/2P1NQ2/P5PK/2B5 b - -,c7b8
2rr2k1/5p2/6p1/P1p4p/7P/KP2Q1P1/2P2P2/8 b - -,c8c6
8/7Q/4K1p1/6r1/8/6k1/8/8 w - -,e6f6
8/8/8/3n3p/4pB1P/3k4/5K2/8 w - -,f4g5
2r5/R4pkp/1p2n1p1/4P3/6N1/2P5/P5PP/6K1 w - -,a7a3
2b4k/7p/p1pn1qpB/1p6/3P4/4Q3/PP2B1P1/6K1 w - -,e2f3
1r3r2/1q3pk1/4pQp1/4P2p/3RbP2/4N2P/1P4PK/3R4 b - -,g7g8
r3r1k1/1p2ppb1/4q1p1/pb1p4/3PB2N/Q3P1P1/PP1B3P/2R1R1K1 b - -,e6e4
r4k1r/pp1b1pp1/1n2p2p/q2pP3/2pP3P/2P2N1R/P1PQBPP1/R3K3 w Q -,h4h5
3R2k1/pb3qb1/2p3pp/1pn1P3/2P5/4P3/PBQ3PP/1B4K1 b - -,g8h7
5k2/5p2/6p1/p2p4/P2PpK1P/1P3b2/2BR1P1P/2r5 w - -,b3b4
1b1r2k1/5p1p/4p1p1/8/r2P4/2R4P/2N2PP1/3R2K1 b - -,b8a7
r1bq1r1k/np2npbp/3p2p1/p1p1p3/P3P3/N1PP1NP1/1P3PBP/R1BQ1RK1 b - -,a7c6
r1bqk2r/pp2npb1/2n1p1pp/2pp4/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 b kq -,b7b6
r2q1rk1/p2bbpp1/2p4p/3pnB2/8/1PP5/P1QBNPPP/R4RK1 b - -,e7d6
8/5kp1/2R5/4PK1p/1b6/8/7P/8 b - -,h5h4
r1bq1rk1/ppp1bppp/2n1pn2/3p2B1/2PP4/PQN2N2/1P2PPPP/R3KB1R w KQ -,e2e3
r4rk1/4ppb1/3p1npp/q1pP4/b1P4P/3Q1NP1/PB2PPB1/1R3RK1 w - -,b2c3
r2q1rk1/p1p2pp1/1p1p3p/2nP4/2P1Pp1P/2P3PB/P3Q3/R4RK1 w - -,f1f4
r1bqk2r/pppnb1pp/2n1pp2/3pP1B1/3P2QP/2N5/PPP2PP1/R3KBNR w KQkq -,g5f4
r3k2r/pb2qppn/1pp1p2p/4P3/3P1P2/1BPQ4/P2N2PP/R4RK1 w kq -,d2e4
1rbq1rk1/3nppbp/pp1p2p1/2p5/PPPnPP2/2NP2PP/4N1B1/1RBQ1RK1 b - b3,c5b4
r1q1r1k1/pb2bppp/1p3n2/1Bp1n3/Q3p3/P1P1P2P/1P1N1PPB/R4RK1 w - -,h2e5
2r2rk1/n2q1ppp/1p2p3/pP1p4/PbbP4/2N1PNP1/3Q1PBP/R1R3K1 b - -,c8c7
2rr2k1/pb2bppp/1pnqpn2/8/2PP4/P2B1N2/1B1N1PPP/2RQR1K1 w - -,d1e2
3r1rk1/1p3ppp/1ppPb3/5q2/8/2P5/PPN2PPP/R2QR1K1 w - -,e1e2
3n1rk1/Q5p1/2p3p1/2Pp1q2/P2Pb3/6BP/3N1PP1/4R1K1 b - -,d8e6
rnbqk1r1/pp3pQp/2p1pn2/8/2PPp3/P1P5/5PPP/R1B1KBNR w KQq -,g7h6
5nk1/1bq2pb1/3p2pp/2pPr3/2P1P3/3B2NP/2Q3P1/BR5K w - -,c2b2
8/8/8/1P6/p1K4k/P5p1/8/8 w - -,b5b6
2r3k1/p1r2pp1/3q3p/4NQ2/2pP4/4P3/P1R2PPP/3R2K1 b - -,d6e7
8/6kp/1R4p1/2pB4/2P5/r5bK/2R5/8 b - -,g3c7
r2q1rk1/pbpp1p2/np2pbpp/8/2PPP3/2N2NP1/PP1Q1PBP/R4RK1 b - -,f6g7
6r1/1bP5/1p1K4/1P6/7B/4R3/4p3/3k4 b - -,g8g6
r6r/pk1b2pp/1np2p2/2Bp4/1P1N4/2P1P3/RP3KPP/7R b - -,b6c4
2kr1b1r/p2n1p2/b1p1pP2/q5B1/PppPN3/8/1P2BPPP/R2QK2R w KQ -,e1g1
r3k2r/1p1b1ppp/pqn1p3/1BbpP3/N7/4B3/PP2QPPP/R2R2K1 b kq -,b6b5
8/3r3k/6pp/5p2/P2n4/1PRp2PP/2bN1P1K/5B2 b - -,d4e2
5k2/4bppr/N3p3/2B1n1P1/7p/7P/PPP2P2/2K4R w - -,h1d1
2rr2k1/1q2bpp1/pp1ppn1p/8/P1P1n3/BPN1N1PP/3RPP2/1QR3K1 w - -,c3e4
r4r1k/pp1q2pp/2pbN3/5p2/2QPp2P/4P1P1/PP3P2/R3K2R b KQ -,f8f6
2rr2k1/pbq1bppp/1pnppn2/8/1PP1PP2/P1N1BB2/3N2PP/2RQ1RK1 b - -,c7b8
8/p7/8/2bk1p1p/P6P/1P1K1PP1/3N4/8 b - -,c5f2
3n4/7r/2p1pkp1/2P2pp1/R1BP4/5PPP/6K1/8 b - -,h7d7
bqr1r2k/5pbp/pp1ppn2/7N/2P1N1P1/1P2B3/P3BQPP/2RR3K b - -,f6e4
r2q1rk1/pp1nnpbp/2pp2p1/4p3/3PPP2/2N1BB1P/PPPQ2P1/3R1RK1 b - -,d7b6
8/8/pBnp1n2/P4kp1/1p6/1P2K3/2P5/5R2 b - -,f5e6
2r1r1k1/pN1Rpp1p/3n4/2p2p2/2P5/1P3P2/PK4PP/7R w - -,b7d6
rn1qkbnr/ppp1pppp/3p4/8/3P2b1/3Q1N2/PPP1PPPP/RNB1KB1R b KQkq -,c7c6
1r1q1bkr/3n1p2/1p1p1Pp1/PBpPp1Pp/4P2P/1R5Q/3B2K1/1R6 b - -,b8b7
r2q1rk1/2p2ppp/p3b3/1pbpP3/4n3/1BP5/PP1NQPPP/R1B2RK1 b - -,e6f5
8/1p1b3p/pBn1k1p1/3p1pP1/P4P2/1PK1P3/4B2P/8 b - -,a6a5
3q1rk1/5p1n/1p1p2p1/pB1P4/P1P2Q2/5PPp/7P/4R2K b - -,h7g5
2r5/p5pp/1p2pk2/3n4/1N6/PP4P1/5P1P/R3K3 w - -,b4d5
5r2/6k1/4R1p1/7p/7P/2R5/5rP1/6K1 w - -,c3c7
r2r2k1/1p3p2/5Rp1/1nbP4/8/1P4P1/6BP/2N2R1K b - -,b5d6
8/1p3kp1/7p/2BP1p2/2P2P2/3P2P1/2n2K1P/8 w - -,f2e2
r1b1k2r/1ppnqppp/8/p3p3/2P1P3/2QB1N2/PP3PPP/R4RK1 w kq a6,f1d1
5rk1/5q2/Q3p1pp/8/1bp5/4P2P/PB1R1PP1/6K1 w - -,d2c2
8/6p1/p6r/2Nk2p1/1P6/3K2PP/5P2/8 w - -,c5e4
4k3/4p2p/R5p1/2r2p2/5P2/7P/6P1/6K1 b - -,c5c4
rnbqkbnr/pp2pp1p/6p1/8/QpPP4/4PN2/P5PP/RNB1KB1R b KQkq -,c8d7
r1b2rk1/1pppqppp/p1n2n2/4b3/3N4/1PN1P3/PBP1BPPP/R2QK2R w KQ -,e1g1
rnb2rk1/pp3pp1/2p4p/3p4/3P3N/2N5/PPB2PPP/R3K2R b KQ -,f8e8
8/8/4k3/R7/2n2K2/8/8/8 w - -,a5h5
1r4k1/3b3p/p2p2p1/n1qPp3/2P1p3/P1R3PP/2QB1P2/5BK1 w - -,d2e3
r2q3k/p3ppb1/1pp1b1p1/P3P2p/1PP1NB2/3P3P/3Q1PP1/R5K1 b - -,d8d4
rnb1kb1r/ppp2ppp/8/3pP3/7q/2NP2n1/PPP4P/R1BQKBNR w KQkq -,g1f3
2r1r3/1p1bqpk1/p1p2npb/2Q2p1p/1P1P1N1P/P3PBP1/3RNP2/5RK1 w - -,d2c2
r1b2rk1/pp1pppbp/5np1/2q1n3/2P1P3/1QN2N2/PP1BBPPP/R4RK1 b - -,b7b6
r2q1rk1/2p1p1bp/6p1/P2P1b2/3p3Q/5NP1/P3PP1P/R1B2RK1 b - -,a8a5
5r1k/1p1bb1pp/1q2p3/1PrpP3/3Np3/1Q2P3/4NPPP/2R2RK1 w - -,c1c5
4r1k1/3nnpb1/p1b1p1p1/3pP2P/p1pP1P1B/1rP2N1B/1P5P/2Q1R2K b - -,e7f5
8/7p/3bk1p1/5p2/2RQ4/5P2/PB3P1q/5K2 w - -,f1e2
8/r6k/R6R/8/8/8/3r2P1/6K1 b - -,h7g7
1rb1r1k1/5pb1/pp1p1qp1/2nPn3/PQ2P2p/2N1BP2/2R1B1PP/3R2KN b - -,h4h3
2q1r1k1/1b3pbp/pp1pr1p1/2p3Bn/P1P1P3/1PN2P2/3Q2PP/3RRBK1 w - -,g1h1
5rk1/pp4pp/4P3/4R3/2pP4/Pnqb2P1/Q5BP/6BK b - -,b3d4
3r4/1p2q2k/2r3p1/2pn1p1p/P3p3/P1Q1P1PP/3P1R2/2R2BK1 w - -,c3b2
r1bq1rk1/1p1pppbp/5np1/p7/Pn2P3/1NN1B3/1PP1BPPP/R2QK2R w KQ -,e1g1
1rbqr1k1/5pp1/3p1n2/3P4/pP1QPP2/2R4B/P4N1K/3R4 w - -,e4e5
1k1bb2r/1p1n1p2/p3p3/4p2p/4P1P1/6BP/PPP3B1/2KN1R2 w - -,d1f2
2b2rk1/1p3ppp/1p3q2/4n3/r4P2/2P1P3/P2Q1PBP/R4RK1 w - -,f4e5
rnb1kb1r/pp3pp1/2p4p/2q1p3/P1p1n3/N5P1/1PQPPPBP/R1B2RK1 w kq -,c2e4
4r3/1pp1Nr1k/1p1p1Ppp/2n5/4P1PP/2P3K1/PP2R3/5R2 w - -,g4g5
r5k1/4np1p/2p1b1p1/3p4/3P4/Q2BPN1P/5PP1/2R3K1 b - -,a8a3
r1bqkb1r/pp2pppp/n1p2n2/4N3/P1pP4/2N5/1P2PPPP/R1BQKB1R b KQkq -,f6g4
