1R6/4bnk1/p7/8/8/2P4P/q5Q1/5K2 b - -,a2g2
rnbq1rk1/1p3pb1/p2p1np1/2pP3p/P3P3/2N2PN1/1P4PP/R1BQKB1R w KQ h6,f1e2:c1g5
r1b2rk1/1pq1ppbp/6p1/p1n5/1nQ5/4NNP1/PP2PPBP/R1B2RK1 w - a6,f3g5
1r1q1r2/2nbppkp/3p2p1/1B6/1PP5/4N1P1/P2QPP1P/2R1R1K1 b - -,c7b5
2r3k1/2P2rpp/8/3N4/PB5b/8/2B3K1/4R3 w - -,e1e2
6k1/6Pp/2bpn2K/1p1Nn2B/1P2P3/8/1B6/8 b - -,c6d5
6k1/p1r4p/6p1/5p2/4p2P/6P1/PPrR1P2/3R3K w - -,h1g1
2kr1bnr/2pb2pp/1pp2p2/p7/P1NNP3/4B3/1PP2PPP/R4RK1 w - -,f1d1
r3kb2/1p1b1pp1/1qn1p3/p2pPn1r/3P3P/2B2N2/PPNQBP2/R3K2R w KQq -,f3g5
rnb1kbnr/pp2ppp1/1qp4p/3p4/3P3B/2N5/PPP1PPPP/R2QKBNR w KQkq -,a1b1
rn2k2r/p1pqbppp/1p2pn2/6B1/2pP4/P1N1Pb2/1PQ2PPP/R3KB1R w KQkq -,g2f3
r3q1k1/pQ4bn/3p4/PN1P1p2/2P2n2/3p3P/1P2BPP1/4R1K1 w - -,b5d6
5rk1/1q4p1/p2b3p/1p1N1p1Q/2n1p3/PN6/1PP2PPP/3R2K1 w - -,d5e3
7k/7p/5p2/3N4/P1b5/5BP1/2r1PK1P/8 w - -,d5f6
r2qk2r/1bp2ppp/2n1pn2/bp6/3P4/1Pp1PN2/2QNBPPP/R1B2RK1 w kq -,e2b5
r1bqk2r/ppp1nppp/3p1b2/3P2B1/2B1R3/5N2/PP3PPP/R2Q2K1 b kq -,f6g5:c8f5
3b2k1/5pp1/2B3p1/2np4/5P2/4P1P1/7P/4B1K1 b - -,c5d3
2k2r1r/1ppb4/p4b2/4np1p/5B1P/1BP3N1/PP4P1/2KR3R w - -,d1d5
r5k1/1p3np1/p3R2p/2P1p3/4P3/4P3/PP1N2PP/6K1 b - -,a8d8
rnb1kb1r/pp1ppppp/1q6/2pP4/5B2/2P5/PP1QPPPP/R3KBNR b KQkq -,g7g6
1r1qr1k1/pp1b1pb1/3p2p1/P1pP3p/3pP3/1QBP2P1/1P3PBP/R4RK1 w - -,c3d2
8/2r2p2/3k1P2/5pP1/4R1K1/8/8/8 w - -,g4f5
7k/p2p1R1p/b6Q/2pqp3/2P5/P1B5/2P2P1P/5K2 b - -,d5c4
3r4/p4pp1/1p1k3p/1B1n4/3P4/P2K4/1P3PPP/2R5 w - -,c1c6
r3k2r/pb1q1pbp/1p1p2p1/2p5/3nPp2/2NPN1P1/PPP2RBP/R2Q2K1 w kq -,g3f4
r1r2k2/p6p/1nN3p1/2p5/8/7P/PP3PP1/3RRK2 w - -,e1e6
1q4k1/5b1p/p3p1p1/b2p4/N1pP4/4PR1P/PrB3P1/3Q3K b - -,b2b7
8/4p3/4B2p/2p3p1/4P1P1/p1bK2kP/8/8 b - -,c3d4
r1b1kb1r/p3pppp/p1n5/3NP3/8/P4N2/1P3PPP/R1BK3R b kq -,a8b8
2kr1b1r/ppp1pppp/2n5/3q4/6b1/3P1N2/PPP1BPPP/R1BQ1RK1 b - -,e7e5
2r3k1/p1q1bpp1/1p3n1p/8/8/PBp1P2P/1PQ2PP1/3R1RK1 w - -,a3a4
6k1/5p2/6p1/2N5/1Pb4p/4P2P/5KP1/8 b - -,g8f8
r3kb1r/1pp1pppp/p4n2/q2P3b/1n6/2N1BNPP/PPPQ1PB1/R3K2R b KQkq -,e8c8
rnbqk1nr/ppppppbp/6p1/6B1/3P4/8/PPP1PPPP/RN1QKBNR w KQkq -,c2c3
r1b2r1k/ppp3pp/1n1b1q2/3p4/8/2PBNP2/PP4PP/R1BQR2K b - -,c8d7
r7/5pkp/p5p1/1pR1Pb2/1P6/PN5P/5PP1/6K1 w - -,c5c3
Q7/5rkp/4N3/1p6/1P1Pp3/6PK/8/2q5 b - -,g7h6
r2q1rk1/1p1n1ppp/p1pbpn2/3p4/2PP3N/1P1BP1P1/P4P1P/R1BQ1RK1 w - -,c1b2
2r3k1/pp4p1/3Bp1p1/3pP3/3n1r2/7P/PPN1R1P1/7K w - -,c2d4
r1bqkb1r/pppp3p/2n2p2/1B2p3/3P4/5N2/PPP2PPP/R1BQK2R b KQkq d3,f8g7
6k1/p5pp/1p6/2p1Pr2/P3n3/4B3/1P4PP/4R1K1 w - -,e3d4
6k1/1p3ppp/r1p4r/p2p1q2/3Pn2N/PP2P1P1/4QPP1/2R1R1K1 b - -,f5d7
r1b4Q/p2kqp2/1p2p3/4P3/N1Rp1P2/6P1/PP4P1/6K1 b - -,c8b7
8/1R2b3/5k2/5n1p/5R1P/5PPK/8/3r4 b - -,e7d6
rnbqk2r/pp1pppbp/6p1/2pnP3/8/1P3N2/PBPP1PPP/RN1QKB1R w KQkq -,f1c4
5r2/8/1p1kp1Bp/p7/P1Pr2PP/1P2RPK1/8/8 b - -,d4d1
1r2n3/1Pq2pk1/4r1p1/7p/1QN5/6PP/5PB1/1R4K1 b - -,e8d6
4r3/3q1kpp/2p5/pp1p1b2/3Q4/P1P2BP1/1P3PP1/4R1K1 w - -,e1e8
r3r2k/6bp/p1p1p1p1/1p1nPp2/3P1P2/2NRBqR1/PPQ2P1P/6K1 b - -,f3h5
r3k2r/1pq2pp1/2pbpn1p/p6P/P1QP4/8/1PPBNPP1/2KR3R b kq -,f6e4
3r1rk1/pp2ppbp/4bnp1/1Pp1B3/3n4/2N2NP1/PP2PPBP/R4RK1 w - -,f1d1
8/6pp/3k4/1p2p3/1P1nP1PP/3N4/3K4/8 w - -,d2e3
6r1/3b4/1k1n1p2/pP1prP1p/P1pN2pP/2K1P3/2B2P2/3R2R1 w - -,d4f3
1rbr2k1/ppnp1p1p/5qp1/2p5/4PN2/2P3P1/PP3PBP/R2Q1RK1 b - e3,d7d6
rn1qkb1r/ppp1pppp/8/3n4/3P4/3Q1N2/PPP2PPP/RNB1K2R b KQkq -,b8d7
4b3/2k2p2/6p1/1p2r1Pp/1K2P2P/P2B4/8/5R2 w - -,b4c3
6k1/6p1/8/1r3p1p/1PR5/6P1/5PK1/8 b - -,g7g5
8/4n3/4p3/1p1k1pp1/1P1P2P1/3K1P2/3B4/8 b - -,f5f4
r1b1kb1r/pppp1ppp/2n2q2/8/3NP3/2N5/PPP2PPP/R2QKB1R w KQkq -,c3d5
r1b2rk1/ppqn1pb1/2pp1npp/4p3/2PPP3/2N2NP1/PP1B1PBP/2RQ1RK1 b - -,f8e8
r4rk1/1bp1q1bp/1p1pnnp1/p3pp2/2P5/PP1PP3/1B1NBPPP/1QR1NRK1 w - -,e2f3
8/2r5/7N/8/2k2P1P/2n1RKP1/8/8 w - -,h6f5
3r4/5p1k/q3p1pp/8/4Q3/P2r2P1/5P1P/1R2R1K1 w - -,e4b7
rnbqrbk1/1p3ppp/2p2n2/p2p4/3P4/P1N1P1P1/1P2NPBP/R1BQ1RK1 w - a6,b2b3
8/8/p1p5/2Pp4/P1nP4/8/2K1k3/2B5 w - -,c1h6
3n4/4k3/1R4p1/p2B2Pp/3pK2P/6b1/P7/8 b - -,g3h4
6k1/p4p2/1p1Pp1pp/8/3KPPP1/3Q2q1/8/8 b - -,g3d3
6kR/p7/4q2R/3pp1p1/3Bn1P1/P3P2P/2r2PK1/8 b - -,g8f7
6k1/7p/3pp1p1/8/p3P3/5P2/brp1K1P1/R1R5 w - -,e2d2
5rk1/6p1/3qpr1p/3p4/2pQ1P1P/8/2P2RP1/R5K1 w - -,a1a7
r2r2k1/1p2qppp/p1np1n2/3Pp3/8/4B3/PPP1BPPP/R2Q1RK1 b - -,c6b8
rnbqk2r/pp3p2/4p1pp/2PpP3/6Q1/3B4/RPPK1PPP/6NR b kq -,d8c7
6k1/1pp2r2/3p2Q1/p2P1P2/8/1P6/P4K2/8 b - -,g8f8
2r3k1/1p2bp1p/p2p1np1/2rPp3/P5PP/1P2NP2/3QB3/5K2 b - h3,f6e8
2r4k/1pr3pp/1p3p2/3Pp3/1bP1P1PP/3K4/1pR1N3/1R6 b - -,b4a3
r1bqkb1r/pp2pppp/2n5/3pP3/3Pn3/5N2/PP2BPPP/RNBQK2R w KQkq -,e1g1
rn1qkb1r/1p3pp1/p2pbn1p/4p1B1/4P3/1NN5/PPPQ1PPP/R3KB1R w KQkq -,g5h4
r1br2k1/4pp1p/2np2pB/1pbN3n/p1N1P3/6P1/PP3PBP/R2R2K1 w - b6,c4b6
r6r/pp1k1p1n/3p2p1/4p3/2NnP3/2N5/PPPR1P1P/2K4R w - -,f2f4
8/2p5/p2k4/5P1r/4PP2/4K3/2R5/8 b - f3,h5h3
4r1k1/5p1p/3b2p1/4p1P1/pq6/4QP1P/P2R1BK1/8 w - -,d2d5
8/2p2pk1/2n3pp/1p1P1r2/8/rP3N1P/3R1PP1/3R1K2 b - -,c6b4
6k1/8/p1p5/P1P4P/1P4K1/5p2/4bB2/8 w - -,g4g5
8/1R3pk1/5p2/r3PK1P/5PP1/8/1p6/8 b - -,f6e5
8/6b1/7k/6p1/2Q5/p4q2/P4P2/5K2 b - -,g7f6
6k1/5pp1/p3pb1p/Pq1r4/Rp6/4P1P1/1PQ2P1P/4B1K1 b - -,b4b3
r4rk1/pb2q1pp/4p3/npP2n2/1bP2B2/1PN2PP1/P2QN1BP/1K1R3R b - -,e7c5
r3kb1r/p2p1ppp/bqp5/2ppP3/5P2/3P1N2/PPP3PP/R1BQK2R w KQkq -,a2a4
4k2r/1br2pp1/1N1Rp2p/p3P3/1nP1BP2/8/PP4PP/4R1K1 w k -,e1d1
r4rk1/pp1qbpp1/1np2n1p/4B2P/3P4/2N3N1/PPb2PP1/R2Q1RK1 w - -,d1c2
4r2k/p3q1pp/1p6/2p4n/N1Ppr3/P6P/1P1R1PP1/1Q3RK1 w - -,b2b4
r1r3k1/2q2p1p/4p1p1/pp1n4/3N1P2/3Q2P1/PPP4P/2KRR3 b - -,a8b8
2b1nrk1/2qn1ppp/4p3/p3P3/P1pNPP2/Q1P1B1P1/6BP/1R4K1 b - -,c7c5
8/2qbk1pp/3N1p2/1p2P3/1P5Q/7P/6PK/8 w - -,h4h7
8/8/8/6K1/2pk2P1/1pp3P1/P4R2/8 w - -,f2f4
8/6k1/1p5p/8/6P1/P4P1P/1Rbr4/5BK1 w - -,f3f4
8/4P3/4K3/1b6/2pk4/R7/8/8 w - -,a3a5
4r1k1/1p1n1ppb/4pq1p/8/1P6/2rNQ1PB/2P1RP1P/1R4K1 w - -,h3g2
r2qk2r/pp1n1ppp/2pbpn2/3p3b/2PP4/4PN1P/PP1NBPP1/R1BQK2R w KQkq -,d1b3
b2qrbk1/2Rp1ppp/pn3n2/1p1p1N2/8/PP1Q2P1/4PPBP/1NR3K1 b - -,a8c6
5rk1/2p5/p2p4/3P1p1p/1P3Rn1/P4B2/8/6K1 w - -,f3e2
8/8/4K3/R7/2r1bk2/8/8/8 w - -,a5a6
8/3r4/R4p2/5k1p/P1p2P2/4B3/2n2PKP/8 w - -,a6c6
3r2k1/p4ppp/1bpn4/6P1/3p1P2/1P1BnK1P/P2B4/3R1R2 w - -,d2e3
1r1q1bk1/1r3p1p/p2p1Ppn/3Pp1P1/2p5/2N2P2/PPRQ1B2/1K4R1 w - -,g5h6
2rq1rk1/pp3pp1/2nbpn1p/3p4/3P4/P1NbPNP1/1P1B1P1P/R2QRBK1 b - -,d3f1
r2r4/5pk1/3P2pp/1R6/2nRN1P1/5P2/4P2P/6K1 b - -,c4e3
4r3/pp4pp/2nk4/8/3P4/2P5/P4KPP/1RB5 b - -,b7b6
5r2/2pk3r/p2b4/3p4/6p1/4Bn2/PP1N1P2/4R1RK w - -,h1g2
r1bq1rk1/pp2n1pp/2p1pn2/5pB1/2BP4/P1N2Q2/1PP3PP/2KR3R w - -,h2h3
4bk1r/1pp3R1/p7/2p1PP2/2P5/1P2KN1p/P7/8 w - -,f5f6
r1b1k2r/pp1n1ppp/4p3/q5B1/1b2n3/1BN1QN2/PPP3PP/2KR3R b kq -,e4c3
8/p2n1p1k/1pp3pp/P7/2Pr4/4NPP1/5P1P/1R4K1 w - -,a5b6
5rk1/1p4b1/3r2p1/pB1pp2p/P7/3K1P2/1P2R1PP/2R5 w - h6,c1c7
1rb1r1k1/1pqn1pb1/p2p1np1/2pP2Bp/P3P3/2N2PN1/1P1QB1PP/R4RK1 w - -,f3f4
1nk2r1r/Qpp2pp1/3n3q/1PN5/2PR4/5NP1/P3P2P/5RK1 b - -,h6e3
r1q1r1k1/3n2b1/2p3pp/p1Ppp3/N2PP3/BP4Pb/2Q1P2P/3RR1KB b - -,e5d4
2kr1r2/pq1p3p/4pBp1/2p5/2P2P2/1P5P/P1Q3P1/R3R1K1 b - -,f8f6
r2q1r2/bp1b1pk1/p2pn1pp/P1p1p2P/2B1P3/2PPNNP1/1P3PQ1/R3R1K1 b - -,e6g5
8/1p5p/3P2p1/6kn/pP1p1r2/P7/3R1P2/5BK1 b - -,f4g4
5rk1/pp1nQ2p/5rp1/3q4/2pN1P2/2P5/P1P3PP/4RR1K b - -,d5f7
3qrnk1/1p1b1p1p/p2p2p1/2pP1P2/P1PbNBn1/3B2N1/1P1Q2PP/5R1K b - -,g4h2
2r2r2/p7/P3p1p1/3pk2p/8/3PK1P1/P5BP/1RR5 b - -,g6g5
1rb2rk1/p2nppbp/q1pp1np1/8/1PP5/2N3P1/P2NPPBP/1RBQ1RK1 b - -,d7e5
8/8/2q3pk/8/7b/8/4QP2/6K1 b - -,c6c5
3r2k1/5p1p/p3bp2/8/1R6/2N2P2/1P3KPP/8 b - -,a6a5
3r1k2/p4ppp/5n2/8/8/P6P/B4PP1/2R3K1 w - -,c1c7
6r1/8/p3p3/2p1b1p1/P1R3P1/k2pP2P/3N2P1/6K1 w - -,c4c5
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/BP3NP1/P3PPBP/RN1Q1RK1 b - d3,b7b6
2r2rk1/p4ppp/b3p3/q1bp4/2P2B2/4PP2/P1Q1BKPP/R1R5 b - -,c5a3
8/p1q2pk1/1p1bp1pp/4N3/3PQ1P1/P4P2/1P3KP1/2r1R3 w - -,e1e2
r1bq1rk1/pp3ppp/1bn1p3/3n4/2N2B2/2P2NP1/P3PPBP/R2Q1RK1 b - -,d5f4
6k1/7p/p7/1p6/1P4P1/P1P1RNP1/1q6/5K2 b - -,b2a3
3q1rk1/1p3pp1/p3bb1p/3p4/2r5/P1N1PB2/1P3PPP/2RQ1RK1 w - -,c3d5
r4rk1/2q2pb1/p1p5/3pp2Q/6PB/2P1R3/PP3P2/R5K1 b - -,f8e8
1r6/p1R5/1p2kbpp/8/8/6PN/P3PP1P/5nK1 w - -,g1f1
r3kb1r/1bqn1p2/pp1p1np1/4p3/2P1P2p/1PN1N3/PBB2PPP/R2QR1K1 w kq -,e3d5
4r1k1/5p1p/p2P4/5R2/8/1P4P1/P4KB1/3r4 b - -,d1d2
2r2rk1/1p2ppbp/p1qp1np1/5P2/P3P1P1/1PN1BQ2/1P5P/R4R1K b - -,e7e6
r3r1k1/5pp1/1p2b1np/1q2b3/8/3QN1N1/1P3PPP/2BRR1K1 b - -,b5d3
r3rk2/p1p2p2/2pp1N2/6pb/3P4/8/P2b1PPP/R3R1K1 w - -,e1e8
2kr4/pp5p/2p1b3/4qp2/PP4P1/4PBP1/3rP1K1/RQ5R b - -,f5g4
3k4/1p6/6P1/1PP2p2/7p/4R3/3r3P/6K1 b - -,d2d7
R7/3nkpp1/4p2p/2Pp4/6PP/4PN2/5PK1/2r5 b - -,c1c5
r1bqk2r/pp1pbp1p/2N1p3/6p1/2P2B2/2PQ2P1/P3PPBP/R3K2R b KQkq -,d7c6
2n2bk1/8/5R1p/4p3/1P2Pp2/3r1N1P/3B1PP1/6K1 b - -,c8d6
1r2r1k1/3q1p1p/p1n1pbpB/2Pb2NP/Pp1P1Q2/8/2B2PP1/3RR1K1 b - -,f6h8
8/Q7/5pk1/P6p/7P/6P1/2q2K2/8 w - -,f2g1
r2q1rk1/1b2bp2/pn1p2pp/1ppN4/7B/P2QPN2/1PB2PPP/R2R2K1 b - -,b7d5
8/4kppp/pNn1p3/P1p5/2P1n3/1Pb2N1P/5PP1/4B1K1 w - -,e1c3
r3k2r/p4pbp/2pq1np1/3ppb2/7N/2P3P1/PP2PPBP/R1BQR1K1 b kq -,f5e6
r3nrk1/1b1n1ppp/pp1pp2q/8/2P1PPQb/2NB1N2/PP4PP/R4RK1 w - -,f3h4
5rk1/p4pp1/8/6p1/P2B1nP1/7P/5PB1/1R4K1 b - -,f4e2
8/5pkp/2n5/8/Np6/1P6/PK1RrR1P/4r3 b - -,e2f2
2brr1k1/p3qpbp/1pp2np1/4P3/2P3P1/1PN4P/PB3QB1/3RR2K b - -,d8d1
8/8/4k3/4R3/5Ppq/7p/5P1K/6N1 b - -,e6f7
rn3rk1/pb2q1pp/1ppb1n2/3pNp2/3P1B2/1P3NP1/P3PPBP/R2Q1RK1 b - -,b8d7
2r3k1/p4ppp/1pn5/4n3/3r4/BP1p2P1/P2N1P1P/3RR1K1 b - -,f7f6
r2qr1k1/1b1pbppp/ppn1pn2/2p5/2P5/1PN1PNP1/PB1PQPBP/R4RK1 w - -,f1d1
r4rk1/ppq1ppbp/6p1/2p4n/2B1P1b1/2P2N2/PPQ2PPP/R1B1R1K1 w - -,f3g5
1r4k1/5p2/p2r3p/2pP1bp1/2B1N3/1P6/5PPP/R4RK1 b - -,f5e4
6R1/3kb3/4p1p1/3r4/1P1pKPP1/3P4/3B4/8 b - -,d5b5
1rr3k1/2q1bppp/p1bp1n2/Pp2p3/4PP2/2P1BB2/1P1NQ1PP/R4R1K b - -,c7b7
3k4/ppR1p2p/2bnP1p1/5PP1/6P1/8/P7/6K1 b - -,g6f5
2r3k1/6b1/p2p1r1p/3pn3/7p/PPpBB2R/2K3P1/3R4 b - -,e5d3
8/1r6/3p4/4pk2/8/3K4/2P2pR1/8 b - -,f2f1q
2rr2k1/1p2bppp/pqn1p3/3n4/1P1P2b1/P1N1BN2/3QBPPP/2RR2K1 w - -,c3a4
r3k2r/4npB1/pp1p2qp/2pP2p1/P1Q5/5N2/1PP2PPP/R4RK1 b kq -,g6g7
r1b2rk1/pp2ppbp/2p3p1/q3P3/8/2PPBN1P/P2Q1PP1/R4RK1 b - -,f8e8
r4rk1/p4pbp/b1p2np1/q2Np3/4P3/4QN1P/PPPB1KP1/1R2R3 b - -,f6e4
3b1q2/8/p1k1p3/1p1pPp1r/b1pPnPp1/P1P1K1P1/1QP1NBBr/1R4R1 b - -,d8a5
2r5/p2q1Pkp/6p1/1r1n1bN1/2N5/Q5BP/1P3PP1/2n2BK1 w - -,g3e5
r1b2rk1/2q1bppp/p1p1pn2/1p6/4PP2/P1N1B3/1PP1B1PP/R2Q1R1K b - -,c8b7
6k1/1Q3pp1/p2q1n1p/3p1P2/P1p5/P2P2P1/6BP/6K1 w - -,b7c8
r2q1r2/p3pnkp/2p2bp1/5b2/5B2/1BN5/PPP1Q1PP/R4RK1 b - -,d8a5
8/3n3p/5pp1/p1k5/1p2KPP1/1P5P/P1N5/8 b - -,c5d6
r3kb1r/1bq2ppp/p2ppn2/8/2pNPP2/2N1B3/PPPQ2PP/2KR3R w kq -,e4e5
r4rk1/1p1nqpbp/2p1bnp1/3pp1N1/1PP5/2NP2PP/4PPB1/1RBQ1RK1 w - -,g5e6
r3rbk1/1p4p1/5n1B/3q1nQ1/p2pp2P/P7/1P1N1PP1/R1N1R1K1 w - -,c1e2
r5k1/1p1B4/n1pP1bp1/p1p3p1/2P2p2/2N5/PP6/1K1R4 w - -,c3e4
r1bq1rk1/3nb1pp/2p1p3/1P1p1p2/1P1Pn3/2N2NP1/2Q1PPBP/1RB2RK1 b - -,c6b5
r2qr1k1/pp3pbn/1n1pb1p1/6N1/4P3/2N1B3/PP2B1PP/R3QR1K w - -,e1h4
5b2/pp5p/4kp1P/1P2p1pn/P2pP1N1/3P2P1/4KP2/2B5 b - -,f6f5
r1bq1rk1/1ppn1pp1/3p2p1/p2Pp3/2P1P3/2Q3N1/PP3PPP/R1B2RK1 w - -,c3c2
4nrk1/1p2rp1p/2p1p1p1/p1PpQ1P1/1q3P1P/1P1P3B/P4P2/2R1R1K1 b - -,f7f6
6k1/r3pp1p/P2r2p1/2pP4/1pBb4/4qPPP/1P1Q2K1/3R4 w - -,d2e3
8/7p/p2b2p1/1p1kp1P1/1P2p1P1/2P1B3/3K1N2/1b6 b - -,b1d3
5k2/7p/6b1/4Rp2/PP3r2/1B2K3/4R3/2r5 b - -,f4b4
r2r4/1Bp1k3/3R2p1/1p4Pp/5P2/2P5/2P3P1/1K1R4 b - -,c7d6
r2q1rk1/1p2ppbp/p1p2np1/8/3PP1b1/2N2N2/PP2QPPP/R1B2RK1 w - -,c1e3
r1b2rk1/1pq1p1bp/2pp1np1/p4p2/1nPP4/PQN2NP1/1P2PPBP/1RBR2K1 b - -,b4a6
r4bk1/1q3n1p/p2p4/1p1Pp1B1/1P5N/7P/P2Q1PK1/2R5 w - -,g2h2
r2q1rk1/1bp1npb1/pp1ppnpp/8/3PP3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,c7c5
8/8/Q7/2p1q3/1p4K1/1k6/8/8 w - -,a6d3
1rr5/5pk1/5qp1/pp6/n4R2/2P3Q1/P3N1PP/3R3K b - -,f6c6
r2qk2r/pb1n1ppp/1ppbp3/8/2PPB3/5N2/PPQ2PPP/R1B2RK1 b kq -,d8c7
8/7p/3pp3/5p2/3k1P2/3bNKP1/7P/8 b - -,d3a6
3R4/8/8/2k3p1/4p1r1/4K3/8/8 w - -,d8d7
B7/7k/1R4p1/P3n3/8/4K3/8/5b2 w - -,a8d5
3rr1k1/6qp/pp1pp1p1/2b2p2/1nPn1P2/1PNB1PP1/P2B2KP/3RRQ2 b - -,h7h6
1r6/kp2rpp1/p2p3p/2q1b3/PR6/1Q3BP1/1PP4P/1K1R4 w - -,d1d5
8/p1k1rBK1/1pp1P2p/8/P4b2/8/1PP5/3R4 b - -,f4e3
r2q1rk1/1p2npbp/2npb1p1/p1pNp3/2P5/P2PP1PP/1P2NPB1/1RBQ1RK1 b - -,a8b8
4k3/1b1N4/pN5p/2p2pp1/3b4/1P1P4/2P3PP/5K2 w - -,c2c3
rn2k2r/1pp2ppp/pq1bpn2/5b2/1P1P1BP1/P1N2P2/2PQN2P/R3KB1R b KQkq g3,f5g6
rn3rk1/1qp2ppp/2bpp3/p7/N2Pn3/PP3NP1/2Q1PPBP/R3R1K1 w - -,e1c1
8/8/4k3/3N3R/3Kpp1P/5r2/8/8 b - -,e4e3
8/6Q1/8/4k3/7K/8/8/1q1r4 b - -,e5e6
r3qrk1/pp3pbp/n2pb1p1/3Np3/2P1P3/2N5/PP1Q1PPP/R2B1RK1 b - -,e8d8
r1q1r1k1/2p2pp1/p4n2/1p2P1P1/4P3/1P3Q2/1B3PK1/R1R5 b - -,f6h7
r4nk1/pp3pp1/2pb1n2/3p3p/3P1N1P/2PN2P1/PP1BRPK1/8 b - -,g7g6
r2qkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B2RK1 b kq -,f8b4
4r3/5pbk/1R1p2pp/8/2P1pN2/7P/5PP1/6K1 b - -,e8c8
5rk1/p1p5/3p3p/3PqbpB/QnP5/4B3/PrNK1P1N/7R w - -,h2f3
8/pp2k1pp/1n3p2/8/3K4/5NP1/PP3P1P/8 b - -,e7e6
3r1rk1/1pn4p/2pp4/5PPB/p1PNR2K/P1B5/1P6/8 b - -,d8d7
r1b2rk1/ppq1bppp/2n2n2/2ppp3/3P4/2PBPN1P/PP1N1PP1/R1BQR1K1 w - -,d4e5
1r3rk1/1b2Q1pp/p2bp3/3n1p2/Pp6/1P2PN2/1B2BPPP/2RR2K1 b - -,d6e7
5rk1/pp5q/2p4R/2P1p3/4NbP1/1P1R1P2/P5K1/3Q4 b - -,h7h6
1r1qr1k1/1p1b1pbp/p2N2p1/P1pP3n/4PP2/2N3PP/1P4BK/R1nQ1R2 b - -,e8e7
3r2k1/p4pp1/1p2p2p/8/2rP4/PB1RBP1P/5KP1/8 b - -,c4c7
