8/2N2n2/p5k1/1p6/8/1PP5/P6r/1K3R2 b - -,f7d6
r4rk1/1qpn1pp1/3p1b1p/p2Pp3/1p2P3/N7/PPP1QPPP/R3NRK1 w - -,a3c4
r2k3r/1p1bb1p1/pqn1pn1p/3p2B1/1P5Q/2P2N2/P1B2PPP/RN3RK1 w - -,b1d2
r2qrbk1/1b3ppp/p2p1n2/npp1p1B1/P3P3/2PP1N2/BP3PPP/R2QRNK1 b - -,g7g6
8/2R1b1p1/4k2p/3rp3/1p4P1/4B2P/1P2K3/8 b - -,d5d7
r2qkbnr/1pp2ppp/p1p5/8/3QP1b1/5N2/PPP2PPP/RNB1K2R w KQkq -,b1c3:d4e5
rnbq1rk1/pp2ppbp/3p1np1/2p5/2P1P3/2N3P1/PP1PNPBP/R1BQK2R w KQ c6,a1b1:e1g1:d2d3:a2a3
3n4/1p2kpp1/7p/8/PR6/1P2K1P1/1r2N2P/8 b - -,e7d7
rn2k2r/pp2bppp/1qp2nb1/3p2B1/3P4/2NBP1N1/PPQ2PPP/R3K2R b KQkq -,g6d3
2r1k2r/5ppp/p1q1b3/2b1p3/8/1P1QNP2/P2B2PP/R4RK1 b k -,e8g8
8/3b1pk1/r4qp1/1ppPp2p/2p1Pb2/2P4P/1PB1QPPN/3R2K1 b - -,a6a2
r1bqk2r/1p1nbppp/p1pppn2/8/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 b kq -,a8a7
4rrk1/2n1b1pp/2p1p3/pq1n4/1P1BN3/P5P1/2Q2P1P/R2R1BK1 b - -,b5b7
r2q1rk1/pp1n1ppb/2p2n1p/2b1P3/3N4/2N1B1P1/PP3PBP/R2QR1K1 b - -,d7e5
1B1b2k1/pp3ppp/2p3n1/5b2/PPB5/1N6/5PPP/6K1 b - -,a7a6
4qrk1/pn3p1p/b1r2bpQ/2pNp3/4P3/P1P3PB/3N1P1P/1R2R1K1 w - -,h3f1
5rk1/3p1ppp/2r1pn2/p1N1P3/1pP5/7P/PP3PP1/3RR2K w - -,c5b3
5r2/2p3p1/1pk1p1n1/p1p1P1Bp/P7/1P2RPPP/2P2K2/8 b - -,c5c4
2q1rnk1/p1r3p1/4pP1p/1p6/2bP1P1P/3B2Q1/PBR5/2R3K1 b - -,e8d8
rn1q1rk1/pb2bppp/1p2pn2/2pP4/3P4/2N3P1/PP2PPBP/R1BQNRK1 b - -,c5d4
8/p4p2/1p2b1p1/4k1b1/5N2/1P1BK1P1/P7/8 w - -,d3b5
2rq3k/3b2p1/3r3p/Pn1PBp2/1P2pP2/8/4B1PP/R2Q1R1K b - -,d6g6
8/5k2/8/5PK1/4b1P1/3N4/8/8 w - -,d3e5
8/6pp/4p3/p1pr1k2/P4P2/1P2R1PP/4K3/8 b - -,f5f6
r3nrk1/1pqn1p1p/p2p2p1/2pP4/P2bP1P1/2N3B1/1P1NQP1P/R4R1K b - -,e8g7
4r3/2r2pk1/2nbp1p1/pp1p3p/2nP1P2/P1PN1P1K/1PNBR2P/4R3 w - -,e1a1
1nrr2k1/pb2q2p/1p2p3/3P1p2/2P1pb2/1P2N3/PBQRB2P/3R2K1 w - -,c2c3
2rq1rk1/pb1n1ppp/4pn2/1Ppp4/2P5/P1QBPP2/4N1PP/R1B2RK1 b - -,f8e8
8/8/p5p1/7p/3PK1k1/1P6/P6P/8 w - h6,d4d5
8/4k3/7p/4PBpP/6P1/8/b4K2/8 w - -,f2e3
3rr1k1/3nbppp/1q2bn2/p2p2B1/2pP2N1/2p3NP/PP1QBPP1/R3R1K1 w - -,b2c3
r3qrk1/pp1nb3/4p3/1P1pBp1p/3P4/4PPNP/2Q2P2/R4RK1 b - -,d7e5
r1bqk2r/pppnppbp/1n1p2p1/4P3/2PP1P2/2N2N1P/PP4P1/R1BQKB1R b KQkq -,c7c5
r1bqk2r/2p1npb1/p2p1npp/1p1Pp3/4P3/P1N1BP2/1PPQN1PP/1K1R1B1R b kq -,f6d7
k7/1p6/p7/1b5Q/4rpB1/8/4PK2/8 b - -,e4b4
2r1r1k1/1p1b1pp1/pq1Pp2p/4Nn2/P2P4/1nN5/1P3PPP/1R1QRBK1 b - -,c8d8
r3r2k/1p1nq1pp/2pp1b2/p3pb2/2PP4/1PN1B1P1/P4PBP/2RQR1K1 w - -,d1d2
4r1k1/p3r1p1/1ppnq1p1/3p1p1P/3P1Q2/P1NbP1P1/1P3PK1/2RB3R b - -,g6h5
rnbqkb1r/1p3ppp/p2ppn2/8/3NP3/2N1BP2/PPP3PP/R2QKB1R b KQkq -,b8d7:b7b5:f8e7:d8c7:h7h5
8/8/5pk1/2Bb4/p6p/Pr5P/5P1K/6R1 b - -,g6f5
8/p4k2/2pq4/4p1Q1/P3PnKP/5PN1/8/8 w - -,g5g7
r1bq1rk1/pp3pbp/1np3p1/1B1Pp3/4P3/4BP2/PP1Q2PP/2KR2NR w - -,d5c6
2r5/pp1n3r/4k3/3p4/1n1P4/qP2P1N1/P5Q1/R2R2K1 w - -,e3e4
4rn1k/pp3qpp/4p1r1/3R3N/3PQ3/7P/PP3PP1/4R1K1 b - -,e6d5
2kr3r/2q2p1p/Bp1bb3/2p1p2Q/8/6B1/PP3PPP/2R1R1K1 b - -,c8b8
r1b2rk1/p1p1qppp/2p2n2/2bpP3/5PP1/2NB3P/PPP1Q3/R1B1K2R b KQ -,f6e4
r7/1k6/2p1qpp1/p1R5/Q7/PP2P3/4KP2/8 b - -,b7b6
r2qr1k1/ppbb1pp1/2p2nnp/3Pp3/3P4/2P1BNNP/PPB2PP1/R2QR1K1 b - -,f6d5
r5k1/pp2rp1p/6pb/6n1/2P5/1P3NP1/P3P1K1/4RR2 w - -,f3d4
8/p2k4/4pp2/5rn1/1PNp3p/3P1P1P/P4PK1/2R5 w - -,c4d2
3qkb1r/1p3p2/p1rpb1pp/3Np3/4P3/3QB3/PPP2PPP/R3K2R w KQk -,b2b3
1qr1r1k1/pb2pp2/1p1pn1pb/1Nn5/2P1PP1p/1P2BBN1/P2Q2PP/4RRK1 w - -,f4f5
r1bq1rk1/pp2npb1/2p3pp/2nP4/3N4/2P3P1/PP1N1PBP/R1BQR1K1 b - -,e7d5
r1bqk1nr/1pp1npb1/p2p2pp/3Pp3/4P1P1/2N1BN1P/PPPQ1P2/R3KB1R b KQkq -,b7b5
6k1/1b2q2p/pb1n1pp1/1p2p3/8/1PBQPP2/P4NPP/1B4K1 b - -,d6f5
r1bq1rk1/pppn1pbp/3p1np1/8/2Pp4/5NP1/PPQ1PPBP/RNBR2K1 w - -,f3d4
3rq3/8/1p4kp/p1pQ1pp1/P7/1P2P1P1/5P1P/5RK1 w - -,d5b7
q1r3k1/3rbpp1/pB1pbn1p/Np2p3/1N2P3/P4P1P/1PPR1QP1/3R2K1 w - -,b4d5
2r2rk1/1nqb2b1/p2p2pp/PppPpP2/1P4n1/1BP2NN1/3B1PPP/R2QR1K1 b - -,g6f5
r2qr1k1/ppp2ppp/3p1bn1/1N1P1b2/5B2/2P5/PP2BPPP/R2QR1K1 w - -,f4e3
r2qkb1r/p3pppp/2p2n2/P2P1b2/p7/2N2N2/P1P3PP/R1BQK2R b KQkq -,f6d5
2r5/3b1k2/4p1p1/p2pR2p/Pp1N1P1P/1Pr3P1/2PK2R1/8 w - -,e5g5
r1b1kb1r/pp3ppp/1qn1p2n/2ppP3/3P4/1QP2N2/PP2BPPP/RNB1K2R b KQkq -,c5d4
r5k1/1ppbqr2/p1Pp1npp/3Pppbn/PPB1P3/2N2P2/2RN1BPP/R2Q3K b - -,d7c8
2kr1bnr/pp4pp/2n2p2/2p1P3/5Bb1/2P2N2/PP1N1PPP/R2K1B1R w - -,d1c1
1rbqr1k1/1p3pb1/p2p1np1/2pPn1B1/P3P3/2N2P1p/1P1NB1PP/R2Q1RK1 w - -,g2g4
8/8/8/5b2/1P1Q1p1K/5k2/6p1/8 w - -,b4b5
r2q1rk1/1b1nbppp/3ppn2/ppp5/4P3/P2P1N2/BPPBNPPP/R2QR1K1 w - -,b2b4
4r2k/p5bp/2q3p1/2N5/2Q1RP2/B1N3P1/PP5r/5K2 w - -,e4e8
3r4/p1r2k2/1p1P2p1/5n1p/4N2P/6P1/P4P2/3R2K1 w - -,e4g5
rnbq1rk1/ppp2pbp/3p2p1/3Pp2n/2P1P3/2NB1P2/PP2N1PP/R1BQK2R b KQ -,f7f5:a7a5
r1bq1rk1/ppp1ppbp/2n2np1/8/3p4/1N1P1NP1/PPP1PPBP/R1BQ1RK1 w - -,c1d2
8/r4p2/4bpkp/8/1KP2P2/1B4P1/R6P/8 b - -,a7a2
rnq1kb1r/ppp1pppp/3p1n2/8/2PP2b1/1Q3N1P/PP2PPP1/RNB1KB1R b KQkq -,g4h5
r3k2r/pp3pbp/2p1pnp1/3n3P/2BP2P1/5PN1/PP1B1P2/1K1R3R b kq -,e8g8
1r2R1n1/2kr3p/3p4/p4P2/np3P1b/8/PPP4P/1K2R1Q1 b - -,h4e1
4r1k1/1qr1pp1p/pp1pnnp1/8/PPP5/2N1NPP1/3QP1KP/1R1R4 w - -,d1c1
r5k1/5p1p/4p1p1/1Pp5/2Q5/3Pp1PP/1q2P1K1/5R2 w - -,f1e1
3q1k2/pp3pb1/2p2rp1/3p4/3Pn2P/P1PNQ1PB/1P3P2/2KR4 b - -,d8e8
4r3/1p4kp/p3n3/3r4/3P2N1/7P/PP1B1P2/2R3K1 w - -,g4e5
1r3rk1/p4ppp/3p1n2/2p5/n3Q2P/4BP2/qPP5/1NKR1B1R w - -,e4f5
2k4r/pp3p2/2p2P2/6r1/4P2p/1PB4P/P1P2RP1/2K5 b - -,g5g3
2r4r/pp1bk1pp/2npp3/3p4/3Pp3/P1P1P3/1P1NBPPP/R4RK1 b - -,a7a6
8/5ppk/4p3/p5p1/P5P1/4PK1P/8/8 w - -,f3e4
3rrbk1/5p2/p3b1pp/1p2p3/2p1Pq2/P1P3PP/1PQN1P2/3RRBK1 b - -,f4f6
3r3r/p3bpk1/q1B1p1p1/2PpP3/3B1P1p/5Q1P/P5P1/R4RK1 b - -,a6c6
B7/5pkp/6p1/4p3/P1nq4/7P/2Q3PK/8 w - -,a8c6
5q2/pQ3p1k/4p2p/5p2/3P4/6RP/P1r2PP1/6K1 w - -,b7a7
3rk2r/pp2bppp/2b1p3/3nN1B1/8/2N5/PPP2PPP/R4RK1 w k -,e5c6
3r1bk1/5ppp/4p3/1R6/3N4/1P2P1P1/1rn2PBP/5RK1 w - -,d4c6
8/8/p4p2/1p4k1/1P6/1B2RPP1/1r6/5K2 w - -,f1e1
8/8/4k2p/2K5/r7/2P5/8/3q4 w - -,c3c4
5k2/8/7N/2pBB2p/2b1PK2/p5P1/8/2r5 w - -,e5d6
6k1/ppp3pp/2n1P3/8/2P5/P1N5/2r3PP/4R1K1 w - -,c3d5
6k1/pp1r1qp1/7p/2P1Qp2/1P6/P2p3P/2nB1PP1/3R3K b - -,c2a3
5k2/1p3p2/3p4/p2P3p/P3Q3/1P6/1KR1Bq1r/8 b - a3,f2f6
8/8/8/2P3R1/5kP1/8/6r1/4K3 w - -,g5g6
2k2r2/p1pb2pp/2p5/1p3r2/4p3/4R2P/PPP2PP1/R4BK1 w - -,e3e2
rq3rk1/5pp1/3bpn1p/1N1nN3/3p4/6B1/4QPPP/1R3RK1 w - -,e5d7
8/p3k3/1p1n1b1p/2pB4/P1P2PP1/8/4KB2/8 w - -,e2f3
rn3rk1/ppq1bpp1/2p1pnp1/2Pp4/3P4/1QN1PPP1/PP1B3P/2R1KB1R w K -,f3f4
rnbqk2r/pp3pp1/4p2p/2ppP3/1b1Pn3/2N5/PPP1NPPP/R1BQKB1R w KQkq c6,a2a3
rn1q1rk1/4b1pp/p2p2n1/1p1Pp3/4N1b1/PB2BN2/1P3PPP/2RQ1RK1 b - -,g6h4
8/2P5/4Rpp1/8/4pk1P/2r4P/5PK1/8 b - -,f6f5
rn1q1rk1/1p2ppbp/2pp1np1/p7/P1PPP3/2NBBQ1P/1P3PP1/R4RK1 b - -,b8a6
8/6k1/2B4p/1p2N1p1/3PKnP1/P6P/2n2P2/8 b - -,c2a3
8/8/p4n2/1prppnk1/8/PPN3P1/2PKN3/5R2 w - -,f1h1
3r2k1/pb3p1p/1p2p1p1/8/3P4/P3NP2/1P3KPP/3R4 b - -,g6g5
r6r/p1q1bkp1/2p1pnp1/PpPp1p2/1P1P1P1P/2N1nBP1/1B2Q3/R3K2R b KQ -,e3c4
3rk2r/1bq1bppp/pp1ppn2/8/1nP1P3/PPN1QN1P/3RBPP1/R1B3K1 b k -,b4c6
8/p5nk/4p2r/1p1pP3/3P2p1/1PPR3r/P3K1RP/4B3 w - -,d3h3
rnbr2k1/pp3pbp/2p2np1/4p3/2P5/1PN1P1PP/P3NPB1/R1B1K2R b KQ -,b8a6
r3r1k1/pp3ppp/5n2/2qp1Q2/P1n5/2P1PP2/4BP1P/R1B3RK b - -,c5c6
2r2rk1/1bq1bppp/p2pp3/1p6/3NPPP1/2N3QP/PnP3B1/2R1R1K1 w - -,c3e2
8/8/1r5k/3R3p/6P1/7P/5PK1/8 b - -,h5g4
r1bqk2r/pp3pbp/2n1p1p1/2pn4/3P4/2N1PNP1/PP3PBP/R1BQ1RK1 b kq d3,c5d4
r2q1rk1/ppp2ppp/2n1Bb2/4p3/5n2/2PP1N1P/PP1N1PP1/R1BQR1K1 b - -,f4e6
r1b3k1/pp2bp1p/4p3/5B2/8/8/PP3PPP/3NR1K1 b - -,e7b4
r1b1k2r/ppnp3p/4pPp1/8/1n2N3/5N2/PPP2PPP/R3KB1R w KQkq -,e4d6
7k/p2r4/1p2p3/2p2PpP/2Pn1q2/P2Q1B2/1P3PK1/7R b - -,g5g4
5rk1/3q2bp/1p1N2p1/p2QP3/P7/5NP1/1P3P1P/n5K1 b - -,g8h8
5bk1/2r4p/5pp1/4p3/3pP2P/1R1P2P1/r4PB1/1R2N1K1 b - -,c7c6
5b2/4k3/1p3pKp/p4R2/P1B5/1P2P1P1/3r1P1P/8 b - -,d2d6
2r3k1/r2q2p1/pRn1b2p/2Pp1p2/4p3/Q2P2P1/3N1PBP/1R4K1 b - -,a6a5
rnb1kbnr/ppp2ppp/8/4p1B1/1q2P3/5N2/PPP2PPP/RN1QKB1R w KQkq -,b1c3
r1b2rk1/ppbnqpp1/2p1p2p/8/2BPN3/4PN2/PP3PPP/2RQ1RK1 w - -,c4b3
8/p3rp1k/1q2r1pp/3R4/2PQ1P2/4P1P1/P4K1P/4R3 b - -,b6c6
1rbq1rk1/1pp1ppb1/p1np1npp/8/2PP1B2/1PN2NP1/P3PPBP/R2Q1RK1 w - -,d4d5
r4rk1/1bqnbppp/pp1ppn2/8/2P1PP2/1NNB4/PP1BQ1PP/R4R1K b - -,f8d8
r3rbk1/2qn1p1p/p1pp2p1/Pp6/4PP2/1PB3PP/2PR1QBK/R7 b - -,c7a7
8/8/8/4Q3/4K3/8/1k6/3q2r1 b - -,b2c1
4r1k1/p5p1/1pN2pq1/3P4/2PBn2p/4P1Pb/P6P/R3Q2K w - -,e1g1
r2r2k1/p3ppb1/n1p3pn/2p1P2p/P1N1NB1P/2P2P2/1P4P1/2KR3R b - -,d8d5
r6k/2N3p1/p5np/1p1p4/3P2P1/P2r2P1/1P3P2/2R1R1K1 b - -,a8a7
2r2bk1/p1q1rp1p/1p3np1/4N3/3P4/2NR2P1/P3QP1P/4R1K1 b - -,c8e8
3r4/ppkr1pp1/2p1pb1p/q7/3P4/P1P2B1P/1PQ2PP1/1K1R1R2 b - -,a5g5
5rk1/ppnb1p1p/3b3q/6p1/1B3p2/PB3Q2/1PP3PP/3R1R1K b - -,d6b4
B6r/p1k4p/4p1p1/2qpPp2/5Q2/8/P4PPP/4R1K1 b - -,c7b8
8/1kr2pb1/2n1p3/3pPP2/2pP3B/1nP1NN1R/q4K2/4Q3 w - -,f2g3
2r5/5p2/3kb1p1/2p5/N7/6P1/nP3P1P/2R2BK1 w - -,c1c2
2b5/3n1pkp/pp2p3/6p1/3N2P1/P3PP2/1P2BKP1/8 b - -,c8b7
r2q1rk1/1b1nbp2/2p1p2p/pp1N2p1/1P1P4/PQ1BPNBP/5PP1/R4RK1 b - -,e6d5
rnbqkb1r/pp2pp1p/3p1np1/8/3pP3/2N1BN2/PPP2PPP/R2QKB1R w KQkq -,f3d4
r1b1r1k1/pp1n1p1p/1q1bp1p1/3p4/3P1P2/1N2PN2/PPQ2PBP/2R2RK1 w - -,f3e5
5rk1/p2nbppp/b3pn2/r2p4/3P4/2N1P1P1/PP1N1P1P/R1B1R1K1 w - -,d2b3
r6k/1R3Q1p/p7/3Pq1P1/4p3/8/6PK/8 w - -,g2g3
2r3k1/1p3ppp/1p2p3/4P1q1/2r5/P5P1/1P2QP1P/3RR1K1 b - -,h7h5
2r1k3/p2bp3/Qp5q/N3P1pn/8/8/PPP1NPPP/1K5R b - -,c8c7
r1bqr1k1/1p3pbp/p1np1np1/2p5/2P1P3/1PN1B1PP/P2QNPB1/R4RK1 b - -,a8b8
r1b2rk1/2q1bppp/p2ppn2/7P/2pNP1P1/2N1BP2/PPPQ4/1K1R3R w - -,g4g5
4r1k1/5b2/1RB2B2/6p1/3P1p2/6P1/3r4/6K1 w - -,f6g5
6R1/5P2/3p4/4p3/p5P1/4k3/3rn3/6K1 w - -,g1h1
r1qr2k1/1b2ppbp/2n2np1/p1Pp4/8/P1N1BN2/1PQ1BPPP/R2R2K1 w - -,c3a4
rnb1kb1r/p1qp1ppp/1p2p3/3nP3/3P4/5N2/PP1B1PPP/RN1QKB1R w KQkq -,b1c3
3r2k1/6pp/1p3b2/1N3p1P/PPR5/B3Pp2/3r1P2/6K1 w - -,c4f4
r1bqk1r1/pp1nbpp1/4p2p/3pP2Q/3n1P1P/2N5/PPP3P1/2KR1BNR w q -,d1d4
3r2k1/5pb1/6p1/4q1Pp/3pBp1P/1P6/2PQP1K1/1R6 w - -,e4f3
8/8/6k1/8/3B1P2/1N1KN3/p3r3/8 b - -,e2f2
2r1k2r/np1bbppp/1q2p3/1P1pP3/p2P2P1/P3B3/2N1BP1P/1R1Q1RK1 b k -,c8c3
5rk1/8/8/4N2p/pr5n/R3RPK1/2P5/8 w - -,e3e4
8/8/1pBb4/3P4/P4k2/3b1P2/2K5/8 w - -,c2d3
r2qr3/1p1n1pkp/p1npb1p1/2pN4/2P1P3/1P4PP/P1NQ1PB1/R3R1K1 b - -,e6d5
R7/2r1k3/2P3pp/5p2/Bp2nP2/7P/P5PK/8 w - -,a8g8
R7/1k1b1ppp/8/1Pn5/P3P1P1/4KP2/6P1/8 w - -,a8f8
6rk/1p2r2p/p2pPp2/2pP1P2/2P3p1/PP6/3K1R2/7R b - -,g8g5
8/6Q1/B4q2/2p1kp2/4p1p1/1P2PnP1/2P2PK1/8 w - -,g7a7
3qr1k1/6p1/p3pp1p/2RnN3/3P4/5Q1P/5PK1/8 w - -,e5c6
8/p7/8/1P3B2/3k1p2/5Pb1/6K1/8 b - -,d4c5
2r1kb1r/pp1b1ppp/1qn1pn2/3p4/3P1B2/P1N1PN2/1PQ2PPP/R3KB1R w KQk -,f1d3
6k1/8/1p2p1p1/p3P2p/P1p1RP2/2P4P/1P1r2K1/8 w - -,g2g3
8/5k2/3bpp2/3p1p2/1p3P2/r2B3P/PRP2K2/8 w - -,f2g2
r2r2k1/1pq2ppp/2p5/2P1p3/p1RP1R2/P3P1P1/1PQ3P1/6K1 w - -,f4h4
4nk2/8/5n1p/2pPpQ2/1pP2PNq/5B2/r6P/5K2 w - -,f4e5
rn2k1nr/pp3pp1/1q2p2p/2bp4/3P3B/2N1P3/PP3PPP/1R1QK1NR b Kkq -,c5e7
q1r1r1k1/1b2bpp1/1p2pn1p/pP2p3/2P1P3/P1N2N1P/4QPP1/R3RBK1 w - -,f3e5
2r2rk1/p4ppp/5b2/qb6/4B3/1QN2PP1/1K1P3P/3R3R b - -,b5c4
1k4r1/pp6/2bbp1rp/n2p2q1/2pP4/P1P1RB1P/1PQ2BP1/4R1NK b - -,g6f6
4r3/4Pk1p/6p1/p7/PpprnPp1/4N3/1P2R1KP/R7 w - -,e3g4
1r4k1/2qb1p2/p2bp1p1/7r/1n2NP2/4BN2/1PP3QP/3R1RK1 b - -,d6e7
r1b2rk1/pp3pbp/3q2p1/3P1n2/6n1/2N3P1/PPP1N1BP/R1B1QRK1 w - -,f1f4
r1bq1rk1/p3ppbp/2np1np1/1p6/3pP3/1BP2N1P/PP3PP1/RNBQR1K1 w - -,c3d4
r4rk1/1ppbb1pp/3ppn2/5p1q/pPPP4/P1BQ1PP1/3NP1BP/R4RK1 b - -,a8d8
8/6p1/7p/R4P2/3k3P/1p4K1/8/3b4 b - -,d4c4
7r/2knn1pp/rppb1p2/p3p3/P3P3/1N1RBN2/1PP1KPPP/R7 w - -,a1d1
3rr3/1pp1qppk/p1n1bn1p/2b1p3/P1PpP3/3P1NNP/1PB1QPP1/R1B1R1K1 w - -,f3h2
5r2/1p1bk2p/2p3p1/p1P2p2/P2K1P2/1P2P1P1/2BR3P/8 b - -,e7f6
r1b1k2r/pp1n2pp/2pqp3/3p1p2/P1PPn3/1P1BPN2/5PPP/RN1Q1RK1 w kq -,d1c1
r2qkb1r/pp3p1p/2nppnp1/8/8/1P4PP/PBPPQPB1/RN3RK1 b kq -,f8g7
rn3rk1/1bqnbppp/p3p3/1p2P3/3N4/2N2B2/PPP3PP/R1B1QR1K w - -,e1g3
r1bqk1nr/ppp2ppp/2n5/4P3/1bp5/5N2/PP1BPPPP/RN1QKB1R w KQkq -,d2b4
6k1/p6p/7q/4Q1p1/3pP3/8/P1r2PP1/2N2RK1 w - -,e5d4
r2q2k1/2p3bp/pn2p1p1/1p1bN2r/3PB3/BP3PP1/P1Q4P/3R1RK1 b - -,a8c8
8/4k2p/5pp1/p2Bb3/4P3/1P2K2P/P5P1/8 b - -,e7d6
5rk1/5ppp/1p2p3/4N2b/2Q3P1/8/P2q1P1P/R5K1 b - g3,h5g6
r2qrnk1/pp3ppp/2pb1n2/4p3/2B1Q1PP/1P2PN2/PB1P1P2/R3K1R1 w Q -,e4c2
br1r2k1/2q1bpp1/pp1p1n2/4p1Bp/P3PP2/1NN4P/1PP2QP1/4RRK1 w - -,f2e2
6k1/1p5p/p2p4/3P2P1/4R3/1P2pr2/P6P/6K1 b - -,f3f5
7k/3r3p/p2q4/1p5B/8/1P6/P5PP/5Q1K b - -,h8g7
r1bqr1k1/pp2bpp1/1n2pn1p/6B1/3P4/PBN2QN1/1P3PPP/R4RK1 w - -,g5f4
Q7/p1q3bk/P4npp/4p3/6P1/1R4BP/2r3BK/8 b - -,c7c4
2k4r/bpn2pp1/p3p3/3pP2p/3P3P/1P1BKPP1/1P3B2/R7 b - -,b7b5
r1bqkb1r/pp1ppp1p/2n2np1/8/2PN4/2N1P3/PP3PPP/R1BQKB1R b KQkq -,f8g7
1r3rk1/1p1q1ppp/4pn2/2b5/Qnp5/2N1P1P1/PP3PBP/R1B2RK1 w - -,f1d1
b7/2b2kpp/2P2p2/8/1R4P1/7P/5P2/6K1 b - -,f7e6
r3k2r/2qnppbp/3p1np1/2pP4/4P3/2N2NPP/PP3P2/R1BQ1K1R w kq -,f1g2
8/1p1R4/p7/P2N3r/8/1K2k3/8/8 b - -,e3f3
1n1r3k/3rq3/ppp3Q1/1n2P3/1PRPB2P/6P1/5P2/R5K1 b - -,b5d4
3r2k1/r4ppp/2npb3/p1q1p3/1pP1P2P/1P1Qb1P1/P1N2PB1/3R1RK1 w - -,c2e3
8/5ppk/4p3/1prrP2p/8/2P3K1/1P2R1PP/4R3 b - -,h7g6
1r5k/5pbp/3p4/pp3P2/7R/P1P1p3/1P4RP/7K w - -,h4e4
r4k2/pp2b1pp/1r4p1/3B4/4P3/8/PP3PPP/2R2RK1 w - -,b2b3
r5k1/p3Bpbp/2p3p1/8/8/2P3P1/P3bPBP/3R2K1 w - -,d1d2
r4rk1/pp2n1p1/4Pp1p/8/P5N1/2P4R/5PPP/R5K1 w - -,h3d3
4r3/pp1kbppp/2p1n3/3n4/4N3/5BB1/PPP2PPP/2K1R3 w - -,e1d1
1nr2rk1/pp2bppp/1q6/2pbp3/2P1P3/4BP2/PP2B1PP/3RQRK1 w - -,c4d5
r2q1rk1/1pp2ppp/1pn2n2/3bp3/8/1P3PP1/P1PPN1BP/R1BQ1RK1 w - -,c1b2
8/BR5p/p2rkpp1/p3b3/8/1p3P2/5P1P/5K2 b - -,a5a4
r3kb1r/1pp2ppp/p2q1n2/3Pp1B1/8/2N2bP1/PPP2P1P/R2QK2R w KQkq -,d1f3
r4rnk/2p1n1b1/2Pp2pp/pb1Pp1Pq/1p2P3/1P2B2P/PNB3Q1/1K1RR1N1 w - -,d1c1
