6n1/5k2/4b3/8/3BBKP1/8/8/8 w - -,e4f3
3r2k1/p1qrbpp1/1p2pnp1/1P6/2PP4/1Q2BBP1/5P1P/2RR2K1 b - -,e6e5
8/1p6/2p1kppp/1pP5/1P3PPP/3K4/P7/8 b - -,h6h5
3r4/1p3pk1/p7/4p1p1/2n1Pq1p/2PR1B1P/P1Q2PP1/6K1 b - -,d8d3
5b2/3b4/5k2/1p4p1/2pN2P1/2P1N3/1P3K1P/8 w - -,h2h3
4r1k1/1bqrbp1p/p2ppnp1/1p6/3BPP2/P1NB3Q/1PP3PP/4RR1K w - -,f4f5
4r1k1/4p2p/4npp1/8/6P1/p1B1QP2/q3P2P/3R2K1 w - -,c3b4
8/1p6/r3k3/1K1pPpp1/1P3P2/3R2P1/8/8 b - -,a6c6
5rk1/pppqnrbp/2npb1p1/3Npp2/2P1PP2/3P2PP/PP2N1BK/R1BQ1R2 w - -,c1e3
3r1r2/1p5p/4pk2/pPn2p2/8/P1N4P/5PP1/1R1R1K2 w - -,f1e2
r1br2k1/pp1n2p1/2nbpq1p/3p4/3P4/P1N2N2/1PB2PPP/R1BQ1RK1 b - -,d7f8
1rr3k1/2qp1p1p/p1n1pn2/6p1/1b2P3/1NP1BP2/1P2B1PP/R2Q1RK1 b - -,b4d6
1r6/4r2p/2kpbNpP/p1p3P1/4PP2/P4R2/2P5/2KR4 b - -,e6c4
8/3n4/1p6/p1pPp1k1/P3Pp2/1P5K/3N1P2/8 w - -,d2c4
2n3k1/p2r1pp1/q1r1b2p/P1bp4/2p2N2/2P2Q1P/1PB2PPB/R3R1K1 w - -,c2a4
r4rk1/p6p/1pp1b1p1/2p1b3/P1P1P3/3BBPp1/3Q2Pq/R2RNKN1 b - a3,a8d8
2rr2k1/p3bpp1/2n1p1p1/1p2P3/4bnN1/P1B2N2/BP3PPP/1R3RK1 w - -,b1a1
r1b1k2r/2qnbppp/p2ppn2/1p4B1/3NP2P/2NB1P2/PPPQ2P1/2KR3R b kq -,e8g8
3k2r1/3bqp2/2np1n2/4p1p1/PRB1P2p/7P/1P3PPN/2RQ2K1 w - -,b4b7
r2q1rk1/pp1nppb1/3p3p/2pP2p1/2P1P3/2NB1PP1/PP1Q1P2/R3K2R w KQ -,f3f4
r3r1k1/1nnb2bp/p2p2p1/2pP1pP1/2P2P2/R1NB1N1P/1PKB4/5R2 b - -,a6a5
8/8/4pp2/1k3p1p/3P1P1P/2K3P1/8/8 w - -,c3b3
8/7r/8/4p3/3k4/3p2R1/8/2K5 b - -,h7h1
8/8/7R/4kp2/7P/6P1/r4K2/8 w - -,f2g1:f2f3
r1bqkb1r/ppp2ppp/8/3np3/8/1PNP4/1PP2PPP/R1BQK1NR w KQkq -,d1f3
r5n1/1pp3kp/1q1nPpp1/p7/P5N1/1PQR2P1/5PBP/6K1 b - -,a8e8
1k6/pp2R3/4p3/5p2/2p5/6K1/P1Pr4/8 w - -,g3f4
3r2k1/pp3p2/6pB/2P1bb2/n7/7P/P3BPP1/2RN1K2 b - -,f5e6
8/3q1k2/4p3/1p2Q3/5P2/1P6/1KP2P2/8 w - -,e5c5
8/1R3b2/p1r2k1p/2p2p2/P1P2N2/3P2P1/5P2/6K1 w - -,a4a5
r1bqkbnr/3p1ppp/p3p3/1p6/3QPP2/2N5/PPP3PP/R1B1KB1R w KQkq b6,c1e3
8/3B4/1p6/8/P2k4/3np3/4K3/8 b - -,d3c5
r4rk1/p1p2ppp/1p1q4/3N4/P1pPb3/2P4P/2P1QPP1/1RB2RK1 b - -,e4d5
2n3k1/1r3ppp/np2p3/2p5/2N1P3/P2PB3/4KPPP/1R6 w - -,a3a4
1r6/2Rb1pkp/3p1p2/3P4/pp2P3/4NP2/P4KPP/8 b - -,b4b3
r2qr1k1/pb1nbppp/1pp2n2/3p4/3P1B2/1QN1PN1P/PP2BPP1/R4RK1 w - -,f1d1
4k3/5p2/pn4p1/1pr5/P2RP3/1KN4B/8/8 w - -,a4a5
r1b2rk1/ppq1ppbp/5np1/2p1n3/P1B1P3/N1P1BP2/1P2N1PP/R2Q1RK1 b - -,e5c4
8/1p1K4/1kp5/p7/P1P5/QP6/5q2/8 b - -,c6c5
rnbqkbnr/pp4pp/2pp4/5pN1/2PPp3/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,f8e7
1k4r1/5R2/5R2/KP6/P3r3/8/8/8 b - -,e4e8
r2q1rk1/pp2bppp/4pn2/2p5/2PP1B2/5N2/PP2QPPP/R2R2K1 b - -,c5d4
8/1p2bp2/p1ppk3/6p1/3PK1Pp/1P2BP2/P1P3P1/8 b - -,b7b5
4k2r/p2n1pp1/8/1Pr1p2p/P3R1P1/1P5P/5K2/6NR b k -,d7f6
r4rk1/1bqnbppp/pp1ppn2/8/2P1PP2/2NB1N2/PP1BQ1PP/4RRK1 b - -,f8d8
4Q3/1bq2rpk/p1n5/8/5P2/3R4/PPP4P/1K4R1 b - -,b7c8
r2q1b1r/pb2kp2/1n2p2p/1B1P2p1/Pp1Q4/5NP1/1P4PP/R4RK1 b - -,h8h7
rr4k1/2R1ppb1/q2p2p1/1b2n3/1P1NP1P1/1Q2B3/P3B3/1K5R w - -,e2b5
6k1/3n1pp1/1p2p1q1/p2pP1N1/Pb1P1Q2/1P4P1/5PK1/2B5 w - -,c1d2
8/k6p/Pp1rp1p1/1B3p2/2P1bP2/4R1KP/4R1P1/3r4 w - -,g3h2
r3r1k1/p4ppp/1p2q3/2p1p3/2b5/P1B2PP1/1PQR3P/R5K1 w - -,a1e1
1rb2rk1/p2p1ppp/2p2n2/q3p3/NbB1P3/1P6/PBP1QPPP/R4RK1 b - -,d7d5
3rr1k1/1pq2pbp/p1ppbnp1/4n3/2P1P3/1PN4P/P1N2PPB/1R1QRBK1 b - -,b7b5
r4rk1/2q1bpp1/2p1pn2/1p5p/p2PP3/2BB1PP1/PPQ5/1K1R3R b - -,b5b4
6r1/2r4k/pN2p1np/P1p1Pp2/1p1p1P2/1P1P3K/2R4P/5R2 w - -,b6a4
r1r3k1/1R2bppp/p3p3/1nPp4/3P1B2/3K4/P4PPP/7R w - -,b7e7
R7/6p1/6k1/8/2Q5/6P1/6PK/q2r4 w - -,c4g4
b2nr1k1/2p1r1p1/7p/1pN1pp1q/5n1N/P1PPQPP1/1PBR3P/4R1K1 b - -,f4h3
rqb1k2r/pp2bppp/2n1pn2/1N6/2P5/1N1B4/PP2QPPP/R1B1R1K1 b kq -,a7a6
r3kb1r/1b1n1ppp/pq2pn2/1p6/3N4/P2BP3/1P2QPPP/RNBR2K1 w kq -,a3a4
2b2r1k/1p2b1pp/p3N1q1/5p2/3r1P2/P7/BP2Q1PP/2R2R1K b - -,c8e6
r2q1rk1/ppp1bppp/3pbn2/8/3QPB2/2N5/PPP1BPPP/1K1R3R b - -,a7a6
2r2rk1/1p2bppp/p2qb3/3p4/Q2B4/4P1P1/PP3PBP/2R2RK1 w - -,a4a5
4r3/2k4p/1pbp4/p3p1p1/2P1P3/2PBK1P1/1R3P1P/8 w - -,e3f3
r2r2k1/1p3p1p/4p1p1/2bBN3/P7/2P3P1/1P3P1P/3RR1K1 b - -,d8d5
8/p4p2/b1k5/K7/2P5/8/7B/8 b - -,a6c4
rn1qk2r/pp1b1ppp/4pn2/2p5/PbBP1P2/2N1PN2/1P4PP/R1BQ1RK1 b kq -,c5d4
2n5/pb4kp/6p1/3p1p2/3N1P2/6P1/P3PKBP/8 b - -,g7f6
r3r1k1/p4ppp/1p6/3P1Q2/8/P2BB3/1P5P/RNK4q w - -,c1d2
8/5k2/5P2/4R1K1/5P2/8/8/r7 b - -,a1g1
2r1qrk1/pb2bppp/1p2nn2/3pB3/8/2N2NP1/PP2PPBP/1Q1R1RK1 w - -,e5f6
r1bq1rn1/ppp3k1/3p1pp1/3Pp2p/4PPnP/2N2NP1/PPPQ4/1K1R1B1R w - -,f1g2
2n3k1/7p/rp1pP1p1/1NpP4/P1P2pb1/1N6/6PP/R6K b - -,g4e2
8/2q3k1/2P2bp1/p7/1pp5/5QP1/P2r2BK/4R3 w - -,e1e6
r1br2k1/p1q1bppp/2nppn2/1p4B1/P3P3/2PQ1N1P/1PBN1PP1/R4RK1 b - -,b5b4
1nb1r1k1/rp2pp1p/p2n2pB/N1p5/2P5/P5P1/4PPBP/R2R2K1 w - -,h6f4
rn1q1rk1/1bp2ppp/1p1ppn2/6B1/PbPP4/1Q3NP1/P3PPBP/RN3RK1 b - -,b4a5
r1qr2k1/1p1n1b2/4p2p/1PPp1pP1/3P4/2RB2B1/4QPP1/4R1K1 b - -,h6g5
5rk1/2r2pp1/3N3p/2P2Rb1/1P6/PR1p2P1/7P/6K1 b - -,d3d2
6k1/1pp2rp1/r7/p1qnpP2/3p4/3P1BR1/PP1B4/R2Q2K1 w - -,a1c1
r1b1r1k1/p2n2pp/1q1bp3/1p1p1pB1/1P1P4/4QNP1/P3PPBP/1R3RK1 w - -,f3e1
5rk1/3n1pbp/p1b1p1p1/4P3/2P2B2/2N4P/P1B3PK/1R6 w - -,b1e1
5k2/4R3/1p3K2/p1p5/2P2P1p/3rP2P/8/8 w - -,e7e6
8/8/1p5p/p4k2/P4p1K/5P2/8/8 b - -,f5e5
6k1/1p3p2/p1q2bp1/2Pp1P1p/PP6/2PQ1NP1/5K1P/8 b - -,g6g5
r1r3k1/4ppbp/6p1/p7/1pnP1PP1/1N2P3/R4B1P/1R4K1 w - -,b3c5
3r2k1/5p2/1p1P2p1/pN2b2p/1p6/1P2P1P1/P4R1P/6K1 w - -,f2d2
1R6/8/8/7p/5kb1/8/4r1P1/6K1 b - -,g4f5
8/3k4/7p/8/p1pPp3/2P1NnB1/Pr3R2/7K b - -,b2b1
2kr3r/ppp2pp1/2n1p3/3n3p/3P4/2P5/P1PBNPPP/3R1RK1 b - -,c6a5
r2q1r1k/bpp1n1p1/2np3p/p3pp1b/2P5/PPNPPNPP/1B1Q1PB1/R4RK1 b - -,d8d7
r1b2rk1/pp3ppp/2p2n2/q3N3/1b1PP3/2NB4/PP1Q1PPP/2R1K2R b K -,c6c5
r1bk1b1r/5ppp/p1p2n2/1p2p3/4P3/2NBB3/PPP2PPP/R3K2R w KQ -,e1c1
8/pp6/2bpknQ1/4q3/P7/2N3p1/1PP5/1K3R2 w - -,c3e2
r2qkb1r/pp1b1p1p/4p1p1/nB6/Q2P4/2P2N2/P4PPP/R1B1K2R b KQkq -,a5c6
2r1kb1r/1p2pp1p/1pp1b1p1/4B3/P1PP4/1P3P2/1K4PP/3R1B1R b k -,f7f6
rn3rk1/pbq1bppp/1p2p3/8/2PNP3/P2B4/2Q2PPP/R1B2RK1 b - -,f8d8
r1q1nrk1/2pb2bp/np1p2p1/3Pp3/1PP1PpB1/R1NN3P/3B1PP1/3Q1RK1 b - -,e8f6
8/5pp1/4p1k1/1p1rP2p/2r5/2P3KP/1P2R1P1/4R3 w - -,e2e4
8/5k2/p2ppr2/2p2p2/2P2P2/1P4QP/P5q1/6K1 w - -,g1g2
8/p3kb2/1p4p1/7p/P7/1PPR1P2/3K3b/8 w - -,b3b4
1r1q1rk1/1p1bppbp/p2pn1p1/n7/P1P1P3/1PN1B1PP/4NPB1/1R1Q1RK1 b - -,b7b5
2r1r1k1/pp3pbp/1q2pnp1/3pB3/2pP4/2P1PB1P/PPQ1RPP1/R5K1 b - -,f6d7
r2q1rk1/pp2pbbp/2pn1p2/6p1/1N1P4/3Q2PP/PP1BPPB1/R3R1K1 b - -,d8b6
q4rk1/2rb1pbp/3pp1p1/6Pn/p2NPPnP/1p1B4/PPPQN3/2KR2BR w - -,a2a3
2r2rk1/pb4bp/6p1/3p1p2/2P1p3/qN2P2P/P1Q2PPB/2RR2K1 w - -,c4c5
8/8/8/1Q4k1/2pq4/3n2N1/6K1/8 b - -,d3e5
8/4pp1k/3p2p1/3PP2p/2P4P/q2r2P1/P1R1QP1K/8 b - -,d6e5
r2q1rk1/pp3pbp/2n2np1/3p4/3Nb3/1P4P1/PB1NPPBP/R2Q1RK1 b - -,e4g2
1r4r1/p3bp1k/npR2p1p/3p4/1P1P4/P2N4/3N1PPP/5RK1 b - -,b8b7
r1bqrn2/pp2N1k1/5np1/8/3P3Q/4P3/PPBB3P/R4RK1 b - -,d8e7
r2q1rk1/1p1np1bp/3pb1p1/5p2/1PP1P3/2N1BP2/3QB1PP/2R2RK1 w - f6,e4f5
r1r4k/pp3p2/4pNp1/P1p3Bp/1b1n1P1P/3R4/1P6/2RB1K2 w - -,f6d7
1r2r1k1/1p3ppp/2n1bn2/2P5/1pN5/6P1/1P1N1PBP/R3R1K1 w - -,c4d6
3r1k2/2pb4/1p3bnp/pP4pB/2NP1p2/N1P4P/1P3P1K/4R3 b - -,d7f5
r4rk1/bppqnppp/p1np4/4pb2/1PP5/P1NPP1PP/4NPB1/R1BQK2R w KQ -,c1b2
r2r1b1k/1bp2qp1/1p1npp1p/pP6/P2PP3/1Q1NBP2/4B1PP/2R2RK1 w - -,d3f4
8/1R6/1p1p1k2/1PrPp3/4rp2/7b/2N2R1P/6K1 w - -,b7h7
8/1p6/1npBk1p1/2Pb1p1p/3K3P/5PP1/4B3/8 w - -,g3g4
5k2/5p1p/1b4p1/1B1nP3/1p3P1P/1N3KP1/8/8 b - -,f8e7
r5k1/1p2qpbp/4bnp1/pPp1N3/8/P3PB2/1B3PPP/Q4RK1 b - -,f6e8
r2k4/p5R1/3b2rp/3b3p/PppB4/6P1/1P3P1P/3R2K1 b - -,d5e4
1rb2rk1/p2pbpp1/n6p/2pP4/4P3/5N2/Pq1NBPPP/R2Q1RK1 w - -,d2c4
2r2k1r/ppqnbpp1/2n1p1p1/3p4/Q2P2P1/2N1P2P/PP1BBPK1/R6R b - -,d7b6
R7/8/8/P2p4/2p4p/2Pk4/7r/2K5 b - -,d3c3
rn5r/pp2kpp1/1qp4p/3p1b2/3PB3/2N1PN2/PP3PPP/1R1QK2R b K -,f5e4
8/6p1/4p2p/3k1p1P/3b1P2/5KP1/3N4/8 w - -,d2f1
3rR3/b5kp/5p2/p1p1nP2/P2p4/1P4PP/1B2R1BK/8 b - -,d8e8
2rr1bk1/1bq2ppp/ppnppn2/8/2PNP3/1PN3P1/PB2RPBP/3QR1K1 w - -,d4c6
4B3/8/7p/p5p1/P2n1k2/7P/5K2/8 w - -,e8f7
1r3rk1/pp1nqppp/2p1p1b1/8/P2P4/1Q2PB1P/1P1N1PP1/2R2RK1 b - -,f8d8
r1br2k1/p1p1p2p/1np3p1/4qP2/4N3/1P1PBP2/P3PQ1P/R2R2K1 b - -,c8f5
r1bq1rk1/pp2ppbp/2p3p1/2pnP3/8/2NP1N1P/PPP2PP1/R1BQR1K1 w - -,c3e4
2r1k2r/pp1bbpp1/1q2p2p/3pPn1P/1n1P2R1/2N2N2/PP2BPP1/R1BQ1K2 w k -,a2a3
2b5/4r1k1/1p1rppp1/p6p/P1B2P2/1P2R1P1/2P2KP1/4R3 b - -,f6f5
k1r3r1/1bqnb1pn/1p2p2p/pP1pPp1P/P1pP1P2/2P1NNP1/4QKB1/R1B1R3 w - f6,e1h1
rq3r2/1pb2ppk/2p1p1P1/p1Pp4/3PnP2/1P2PN2/PBQ3P1/R4RK1 b - -,f7g6
r2q1rk1/2p3pp/p2pb3/4npP1/1p1BP2P/2Q2P1B/PPP5/2KR3R w - -,c3e3
8/3n1p2/2p1p1p1/4k3/K3PN1p/P4P2/8/8 w - -,f4h3
r1bqkb1r/pppn1ppp/4pn2/8/2pP4/3BPN2/PP3PPP/RNBQK2R w KQkq -,d3c4
r1b1q1k1/1p1rbpp1/p1p1p1np/3nP3/3PN3/P2BBNPP/1P2QP2/2RR2K1 w - -,g1g2
8/1p6/2k1p3/5ppp/1PP5/3K2P1/1bN2PP1/8 w - -,c2d4
r1b1r1k1/2q2pp1/p2p1n1p/1p1Pp3/2p1Pn2/2P1bQNP/PPB2PP1/R3RNK1 w - -,f1e3
r6r/3R1bkp/2p3p1/4qp2/ppp5/PnN1PBP1/1P3PP1/1K1Q3R w - -,d1d6
R7/2q2kp1/1n2pn1p/8/2PP3P/3Q2P1/5P2/6K1 w - -,a8a2
2r5/4pk1p/5p2/p1N1np2/1B6/5nPP/P1P2PK1/3R4 w - a6,b4a3
3r1rk1/bp3qp1/p1pppnnp/8/1P1PP3/3QBNNP/P4PP1/R3R1K1 w - -,e1d1
rn2k2r/1bqpbppp/pp2pn2/8/2P5/PPN1PN2/1BQ1BPPP/R3K2R b KQkq -,d7d6
r1b2r1k/p4pqp/2p2Np1/3pP3/5Q2/3B4/PPP3PP/4R1K1 b - -,a8b8
5r2/4p1k1/6p1/p1pP4/PpP1PnR1/1Pq1Q2P/8/5N1K b - -,f4h3
5b2/pq1r1p2/1p4k1/7p/P3P3/1Q1P3P/6K1/3R1R2 w - -,b3b5
rnbq1rk1/p1p2ppp/1p2pn2/3p4/1bPP4/2NBP3/PP2NPPP/R1BQK2R w KQ d6,e1g1
2krr3/ppp1bpp1/4bn1p/8/3p4/BPP2N2/P2N1PPP/R3R1K1 w - -,a3e7
r2q4/p7/1p1P3k/2pPB2p/2P3n1/2P5/P2Q4/6RK b - -,h6g6
1r6/8/pp1npk1p/8/N1P3P1/1P5P/P4KB1/8 b - -,f6e5
r4r2/1p1B2k1/1p6/7p/5bp1/8/P2qQPPP/4RRK1 w - -,e2b5
3rr1k1/pn3ppp/1p1b1q2/1P1P4/P1N1p3/6Pb/2Q1BPNP/3R1RK1 w - -,f1e1
8/5k2/8/6p1/3nP3/2K2P2/5P1B/8 b - -,d4e2
8/pR4b1/1p3ppk/2p5/6P1/2P3N1/PP3PK1/4r3 b - -,e1b1
r4r1k/1p3ppb/p6p/3p4/3P1B2/P5PP/1P4P1/3R1RK1 b - -,f7f6
2k3r1/1pp5/1n3q1p/p2ppP2/3n3P/PrNP2P1/KP3Q2/4RRN1 b - -,a5a4
6R1/4KP2/8/8/7k/7p/5r2/8 w - -,g8g6
q4bk1/1b2pP1p/p5p1/2QP4/3N1P2/4B2P/5KP1/8 b - -,g8f7
4r2k/pp1q3r/8/1Q2pR2/1P3p2/P7/2P5/1K4R1 w - -,b5e5
3R4/8/2k5/2r5/2K5/2B5/8/8 w - -,c4d4
8/5pk1/6pp/3q4/1p1b1RP1/rP1Q2P1/5P1K/8 b - -,a3b3
r1bqk2r/pp1n1p2/1bn1p2p/3pP1p1/8/1NPB1N2/PP3PPP/R1BQ1RK1 w kq -,f1e1
8/5k2/2p1p3/4P2P/3K4/4B3/4B3/7r b - -,c6c5
r3kbr1/ppqn1p2/2p1p1p1/6B1/2PP4/1P5P/P2QBP2/2KR3R b q -,f7f6
6k1/p3p2p/5PPQ/3P4/2p3K1/2P2B2/8/6q1 w - -,g4f5
3r2k1/p5p1/2p1p3/4p3/4P3/2P1PR2/P5PK/8 w - -,f3f2
6k1/5p2/1ppr4/6pp/P7/1p2PPP1/1P2RK1P/8 b - -,c6c5
5rk1/2R2ppp/p2QpP2/3bP3/6PK/1q6/4p2P/4R3 b - -,g7g5
r2qk1nr/1b1pbpp1/p1n1p3/2p2P2/1p2PN2/3P2p1/PPP3BP/RNBQ1RK1 w kq -,h2g3
5bk1/7p/R3Nr2/1p6/6K1/1P6/7P/8 b - -,h7h6
r1b2rk1/1pq1bppp/p2p1n2/2p1n3/4PNP1/3P1N1P/PPP3B1/R1BQ1RK1 w - -,g4g5
8/8/2p1n1k1/1pPp1p2/1P1Pp1K1/4P3/5B1P/8 w - -,g4h4
2rr2k1/1bq2pb1/pP2p1p1/2p1p2p/4P3/8/P2NNPPP/RQ1R2K1 b - -,c7c6
6k1/1R3pp1/7p/5Q2/1p1q4/7P/1P2r1P1/7K b - -,e2e1
8/5p1p/7k/p1Np3P/3n4/1P1N3r/1P4R1/2K5 w - -,d3f4
2n3k1/p2B1pp1/b3p2p/8/1p1P4/8/PP3PPP/4R1K1 b - -,c8b6
8/8/4k1p1/2p2p1p/p1P2P2/P5P1/6KP/8 b - -,e6f6
1r2q1k1/P5bn/2bp1p2/2p1pp1p/2P1P2P/3PB1PN/1r3RB1/R2Q2K1 b - -,b8b6
1r1qk2r/p4p1p/6nR/2ppp3/6b1/1P1P1N2/P1PNQPP1/R3K3 b Qk -,e8g8
2r5/1p1k2pp/p3pp2/4n1N1/4Pn2/PbB5/1P2BPPP/4R1K1 w - -,g5h3
1r5k/1b5p/p7/2Np3R/4n3/3B1p2/PPP3rP/4RK2 w - -,c5e4
R1n5/5k2/2BpR3/3Pbp1p/1r5P/6P1/7K/8 b - -,b4b2
5kb1/8/p5B1/1p2K3/5P2/2R3P1/3r2P1/8 b - -,g8c4
6k1/3R3p/6p1/6P1/3pBP1n/8/3r4/6K1 w - -,e4d5
4r1k1/2n1p3/4b1p1/2p5/4P3/1PB3P1/7R/3R2K1 w - -,h2h8
r4b1r/ppq2kp1/4bp2/1B2p2p/4NB2/2P2Q2/PP3PPP/R4RK1 b - -,e5f4
r2q1rk1/pp2npbp/1np1b1p1/8/3P1NP1/2N1PQ2/PP4BP/R1B2RK1 w - -,f1d1
r2q1rk1/1np2pbp/p1b2np1/3pP1N1/1P3B2/N1PP4/2B3PP/R2Q1RK1 b - -,f6h5
r2qk2r/1p1bbppp/p1nppn2/8/P2NP3/2N3P1/1PP2PBP/R1BQR1K1 b kq a3,e8g8
4rk1r/p2p1ppp/2n5/3q4/2p1R3/1N3P2/PPQ3PP/R1B3K1 b - -,c4b3
r1b1rk2/2p2p1p/p7/2b1p3/PpN1Pp2/1B1R1P2/1PP3PP/3R3K w - -,a4a5
r1bq1rk1/pp1p1ppp/2n1p3/1Nb1P3/2P2PQ1/3B4/P1PB2PP/R3K2R b KQ -,b7b6
4r3/6pk/5n1p/2bp4/3Nnq2/2P4P/1PR2PP1/3R1QK1 b - -,g7g5
8/8/3kp1p1/P3n1Rp/1K6/8/8/r7 b - -,h5h4
rn1qk2r/pb1p1pp1/1p2pn1p/2pP4/1bP4B/2N5/PP1NPPPP/R2QKB1R b KQkq -,b4c3
2b2r2/4r3/pp1p1ppk/2pP4/P1P1P1Pp/1P2R2P/5RK1/5B2 w - -,f1d3
8/8/1P4K1/7p/1r5P/4k1P1/4p3/R7 b - -,b4b6
4r3/5p2/5k1p/p4r2/1p4R1/PPp3P1/2R3K1/8 b - -,e8b8
8/8/4k2p/1Nb1pp2/8/5P1P/6K1/8 w - -,b5c3
8/8/8/3n4/2pP2pk/2P2p2/3B1P1K/8 w - -,h2g1
r7/1b2kr1p/4N1p1/p5R1/1pP1p2P/1P2N3/P3K3/8 w - -,e6c5
5rk1/1p1r1pb1/p1p1p1pp/2P5/2BPb3/1Q2PNqP/PP3RP1/5RK1 w - -,c4e6
r5k1/2p3p1/2n1N1qp/1p1pp2n/1P5P/P2PP1P1/Q7/2KRBB2 b - -,g6e6
3r4/p2kn1p1/1p1bppp1/8/1P2PP1P/P2NK1P1/2R4N/8 b - -,a7a5
8/p7/1p4p1/5pP1/4pP2/1P1k4/P4RKP/3r2N1 w - -,h2h4
3r4/1b3pp1/p2kp2p/8/2P3PP/1NKN4/P4P2/8 w - -,b3c5
8/1kp1R1pp/1p6/p1p5/P1P2rP1/1P5P/8/7K b - -,f4f3
1r3rk1/4pp1p/p1q3p1/7n/P2N4/Q1P1B3/2b2PPP/R4RK1 b - -,c6e4
r2r3k/1p1b2bp/1pp1Bnp1/8/5N2/2B3P1/PP2RP1P/4R1K1 w - -,e6d7
3k4/8/8/4R3/8/4K3/8/4r3 w - -,e3f4
8/7p/4P3/p4p2/7k/4qp2/P1R2n2/5BK1 w - -,c2f2
8/pp1b3Q/3pknp1/4q3/6p1/2N5/PPP5/1K3R2 w - -,h7g6
6k1/3Q1pp1/p1K4p/P1PP4/4q1P1/3r4/8/8 b - -,e4a4
3rr1k1/1p3p1p/p1nR2p1/P3p1q1/2B1Pb2/2P2P1P/1P3BP1/R2Q2K1 b - -,f4e3
r3nnrk/1p1b1p1p/p2p2p1/3Pp1qP/2P1P3/P1Q1B1N1/4BP2/1R2K2R b K -,g5d8
3r1r1k/ppp2qbp/2np2p1/3N1b2/2P5/1P2B3/P2QBPPP/4RRK1 w - -,f2f4
8/3n2p1/pBpk1p1p/2pp1P2/2P2PP1/1P2K2P/P7/8 w - -,b6d8
6k1/p4pp1/1n2p3/Q7/3r2Pp/7P/5PB1/3qN1K1 w - -,g2f3
6k1/p5r1/1pb5/4np1Q/8/BP2RPP1/P4K1P/3q4 b - -,d1d2
r1b1rnk1/1pq2pbp/p1pp1np1/4P3/2P5/1PN1PNP1/PBQ2PBP/2R2RK1 b - -,d6e5
r4rk1/pp1nqppp/2p2n2/3pNb2/3P1B2/4P3/PP2BPPP/2RQ1RK1 b - -,f8e8
5R2/8/8/7K/4b3/4k3/8/6r1 b - -,e4g6
r2q1rk1/2p1bppp/pp1pbn2/8/P1BQP3/2N1B2P/1PP2PP1/3R1RK1 b - -,c7c5
r2q1r2/4pp1k/pn1p2pP/2pP2P1/4P3/2N5/PP1Qb2P/R3K2R w KQ -,c3e2
r2qk2r/3n1pp1/p1pbpnp1/1p6/2PP4/P1N1P2P/1BQ1BPP1/R3K2R b KQkq -,e8g8
1r3r1k/2q4p/3p2n1/pp1Bpp2/5P2/2P1Q1P1/PP1R3P/R6K b - -,b5b4
r1bq1rk1/1p3pbp/pnpp1np1/3Pp1B1/2P1P2P/2N2P2/PP1QN1P1/R3KB1R w KQ -,e2g3
