R7/8/8/5k2/1P6/4p3/1KP5/3r4 b - -,e3e2
r4rk1/1p2qppp/p3p3/2b5/1nN3Q1/1P2P3/PB3PPP/R4RK1 b - -,f7f6
r3r1k1/2pb1qpp/3p1pn1/p1p5/P1P1P3/1PQ1RNNP/5PP1/4R1K1 w - -,f3d2
r1bq1rk1/1ppn2bp/n2p4/p2Ppp2/2P1P3/P1N1BN1P/1P3P2/R2QKB1R w KQ -,e4f5
r2q2k1/5pN1/p2p2p1/1pp1p1n1/1P2P3/2PPB3/P3QPP1/R6K b - -,g8g7
1rqr2k1/ppp3bp/3nppp1/3p4/2PPnP2/BP1QPNP1/P5BP/R3R1K1 b - -,c7c6
8/8/8/Pkp1K3/2N4R/8/8/3r4 b - -,d1d3
2r1rk2/5pbp/ppnq2p1/3B2Bn/6N1/2P2Q2/PP3PPP/R3R1K1 b - -,f7f5
8/8/pk3p2/2p1p1p1/P1P1PbP1/5P2/2K5/4B3 w - -,c2b3
r4rk1/p1pn1bq1/3p1p2/P1p3pp/2B1P3/2P2PBP/2PQ2P1/4RRK1 w - -,d2e2
r1bq1rk1/1p1n2bp/BPp3p1/2Pppp2/3P4/1NB1PPP1/7P/RN1QR1K1 b - -,b7a6
r1bq1rk1/ppppbppp/2n1n3/4P3/2B1N3/5N2/PPP2PPP/R1BQR1K1 b - -,f8e8
8/5pkp/R7/1p3p2/5K1P/1Pr3P1/P7/8 b - -,h7h5
6r1/4pk2/1p3n2/2bN3p/2p5/6PP/PPR3K1/3R4 w - -,d5f6
8/p5pk/1p3n2/1P6/3Q3P/P1B2qP1/4bPBK/8 b - -,f3f5
2r2rk1/2q1ppbp/6p1/p1nP4/1p1B2n1/1B3N2/PP2QPPP/3R1RK1 w - -,d4c5
6k1/1pR5/4K1p1/p5P1/4p2P/1P3r2/8/8 w - -,c7b7
1rr3k1/2q2ppp/3ppb2/8/2P1Pn2/1P5P/PB1Q1PP1/RN3RK1 b - -,f6g5
3r4/pp2qp1k/4pp1p/8/2rP1Q2/2P3RP/P1R2PP1/6K1 w - -,f4g4
3q3r/pp1nrppk/3p1n1p/2pP1PP1/P1P2p2/2PBB2P/3Q3K/R4R2 w - -,g5g6
8/8/p2pk3/3pb3/1P6/7R/2KB4/r7 b - -,a1a2
3q1r1r/1b4kp/1p1p1pp1/pP2pP2/P1PpP2P/3P2PB/4Q2R/6KR b - -,d8c7
3B1b2/1k3p2/2p1p1p1/7p/1PpPR2P/rrP3P1/2RK1P2/8 w - -,d8g5
r4r2/pp1q2k1/2pp2n1/4n2p/1NB1Pp2/P1Q2b2/1PP2PPR/2K4R w - -,g2f3
6k1/1R6/8/P6K/7P/r7/8/8 w - -,h5g6
r1bq1rk1/1pp3bp/3p2p1/p2Ppp1n/2P1P3/1PNBBP2/1P1Q2PP/2KR3R b - -,c8d7
5n2/4k3/1pb3p1/p1pB1p1p/2P2P1P/PPN1K1P1/8/8 b - -,e7d6
r2qr1k1/p1p2ppp/1pnbpn2/3pN3/2PP1P2/1PN1P3/P3b1PP/R1BQ1RK1 w - -,d1e2
8/6p1/5b2/4pk1p/1P2Np2/r1P2P1P/3RK1P1/8 w - -,d2b2
5rk1/5rp1/7p/2qp1P2/1pn2BP1/1R1Q3P/P3R1K1/8 w - -,b3b1
rn2k2r/p4ppp/1qp5/5b2/1b1pn3/1N3N2/PPPB1PPP/R2QKB1R w KQkq -,d1e2
r2qk2r/pp3pp1/2pbpn1p/6B1/3P3Q/3B3P/PPP2PP1/R4RK1 w kq -,f2f4
2rq1rk1/pb3ppp/1p1bp3/3p4/3Nn3/1PPQP3/PB1N1PPP/2R2RK1 w - -,f2f3
4rrk1/1p4bp/p2p2p1/3N1n2/2P1pP2/1P6/P2B2PP/4RRK1 w - -,d2c3
r4rk1/1pp2ppp/p7/3p4/B1Pbn3/5QP1/PP2Kq2/RNB1R3 w - -,f3f2
8/r6p/2P1k1p1/3N1p2/8/3K4/7P/8 w - -,d5b6
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/2P3P1/2NBBN1P/PP1Q1P2/R4RK1 w - -,e3h6
1r1n2k1/3pq1pp/1p1Npr2/5p2/1PP2P2/1Q2P3/1K3PRP/3R4 b - -,d8c6
6k1/5ppp/p3p3/P1Nb4/3r4/8/5PPP/4R1K1 w - -,c5a6
1r6/5pk1/p1Bb1qp1/2pP3p/2Pp1P1P/P2Q2P1/4R2K/8 w - -,h2g2
8/8/6P1/4B3/8/5K2/8/bk6 w - -,f3e4
5r1k/7p/3R4/p3p2b/1pP1B3/1P1Q1PR1/r7/2q3K1 w - -,d3d1
1rr3k1/p2nqppp/3p1n2/N1p1p3/1PP1P3/5BP1/P2Q1P1P/R2R2K1 w - -,d2d6
4nk2/3r1p2/2K3p1/4P1P1/5N2/8/8/8 w - -,c6d7
1r6/6pk/7p/4p3/1p2P3/1Bq3PP/Q2R2K1/8 b - -,b8f8
r1b1kb1r/pp3ppp/4pn2/3q4/3N4/4B3/PPP1QPPP/RN3RK1 b kq -,a7a6
4b3/8/8/p1kB4/1pp1P1P1/4K3/PP6/8 w - -,g4g5
r1br2k1/ppqnbpp1/2p1p2p/8/2PPNn2/5N2/PPBB1PPP/R2QR1K1 b - -,f4g6
2rq1rk1/1p2ppbp/p1np1np1/8/3pP3/2P4P/PPN2PP1/R1BQRBK1 w - -,c2d4
r5k1/1R5p/6p1/1p1n4/2p3P1/4B3/1b3PK1/1B6 w - -,b7b5
7r/k1qn4/p7/2pP1pQB/3p2P1/P2P3P/2P3K1/1R6 w - -,g5e7
r1bqk1nr/pp1pppbp/2n3p1/8/3NP3/6P1/PPP2P1P/RNBQKB1R w KQkq -,d4e2:d4b3
5R2/1p6/8/1PP2b2/5k2/6pp/8/6K1 w - -,c5c6
r1bq1rk1/pp2bppp/2n1p3/3n4/3p4/5NP1/PPQ1PPBP/RNBR2K1 w - -,e2e4
r4rk1/bppq2pp/p1np1p2/4p3/3PP1nB/1bP2N2/PP3PPP/R2QRNK1 w - -,d1b3
r4rk1/p2q1bb1/2p1n1pp/1nP1p3/NR1p2P1/3PPN2/P1QB2BP/5RK1 b - -,d4e3
5qr1/1r5k/3p1pnb/1p1P4/2p1PP2/4N2R/1P2B1PQ/4R1K1 b - -,g6h8
b1rq2k1/2r2p2/p2p1np1/2nPp3/4P2p/QP2RNNP/5PP1/3R1BK1 w - -,f3h4
2b2k2/5p2/1pp5/p1n1n1p1/2PNP1P1/1PN2P2/P4KB1/8 w - -,f2e3
r1b2rk1/pp1nqpb1/2p4p/4p1p1/2P1P3/2N2Nn1/PPQRBPPP/R5K1 w - -,h2g3
r2q1rk1/pp3ppp/2n1pn2/2p5/Pb1PN3/3QPN2/1P3PPP/R1B2RK1 w - -,e4f6
r1b2rk1/pp1n1pp1/2pb3p/q2p4/3P4/2NBPN2/PPQ2PPP/2R1K2R w K -,e1g1
2R2b1r/7p/1k4p1/2p2p2/2P5/1P4P1/1K3PBP/8 w - -,b2a3
3r2k1/pq3p1p/1p2pnp1/2b5/2N5/1P2P3/P1Q2PPP/2RR2K1 b - -,d8f8
1r6/2r1pp2/5kp1/7p/p1P5/1P1R4/P5PP/4R1K1 w - -,g1f2
rn1qk2r/pbp2ppp/1p6/2b5/4P3/2PB1N2/P1Q2PPP/R1B2RK1 b kq -,d8e7
rnbqr1k1/pp2bppp/2pp1n2/8/2BNP3/2N5/PPP2PPP/R1BQR1K1 w - -,a2a4
r4r2/1b2n1kp/pq1p1pp1/3Pp3/B1p1Pn1N/2P3NP/1P1Q1PP1/RR4K1 b - -,f6f5
1n1r2k1/1p1qb1p1/2p1p2p/1PP1P3/2Q5/2NrB3/4RKPP/2R5 w - -,b5b6
r1bq1rk1/pp2bppp/2n2n2/3pN3/2pPP3/2N3P1/PP3PBP/R1BQ1RK1 b - e3,d5e4
1r3rk1/2pb1pp1/2nq3p/p1Rn4/2Qp3B/P2P1NP1/P4PBP/5RK1 b - -,d5c3
r2q1rk1/1b1nbppp/p2ppn2/1p6/3NP3/P1N1BP2/1PP1B1PP/R2Q1R1K b - -,a8c8
5rk1/5pp1/3p1b2/2q4p/2B1PP2/1QP5/3K2P1/5R2 w - h6,b3b5
r2q3r/3n1k2/p1pnppb1/3p2pp/P2P4/3BPN2/4NPPP/R1Q2RK1 w - -,d3g6
3r4/1nk4p/R4p1p/4p3/1PB3P1/2N2P2/3r4/2K5 w - -,a6f6
1qb1r1k1/p2n1pbp/1r4p1/1p6/PBpPN3/4P1P1/2Q2PBP/1R1R2K1 b - a3,d7f6
r2r2k1/ppqnbppp/2p1pnb1/8/2PPN3/1B2BPN1/PP2Q1PP/R2R2K1 b - c3,c6c5
3rr1k1/3q2pp/2p5/p2Npp2/1PPb4/P2P4/2Q2PPP/3RR1K1 w - -,d5c3
8/R4p2/4pk2/p3r1pp/2P5/1P4PP/5PK1/8 w - -,f2f4
r4rk1/1ppbqppp/n2p1n2/3Pp3/p1P1P3/1P1N2P1/P2N1PBP/R2Q1RK1 b - -,b7b5
r7/4p3/P5k1/5p2/2N1p3/2b3K1/5Pp1/6R1 w - -,g3f4
r2qr1k1/2pb1pbp/2np1np1/1p2p3/p3P3/2PPBNNP/PPB2PP1/R2QR1K1 b - -,d6d5
8/8/5k2/3R2p1/1PPP4/4K2r/8/8 w - -,e3e4
4k2r/1p1r1pp1/p1nBp3/P1Pp1q2/8/1P3PPp/2P4P/R2QR1K1 w k -,b3b4
4r3/1ppk4/p2B1pp1/7p/1P1PP3/5KP1/P4P2/2R5 b - -,c7d6
r7/6p1/2kb1p1p/1pp4P/2P2P2/1P4P1/1B2R3/3K4 b - c3,a8b8
r3r1k1/p4pb1/b7/q1pPN2p/1pQ2P2/6NP/PP4P1/3RK2R w K -,c4e4
6r1/1b5p/1P2nkn1/4p3/2N2p2/P7/2P2PPP/3RR1K1 b - -,g6h4
r1b1k1nr/ppp1qppp/3p4/b2P4/Q1BpP3/2P5/P4PPP/RNB1K2R b KQkq -,c8d7
1r1qr1k1/1pnn1p1p/p2p1bp1/2pp2B1/P1P1P2P/2N5/1P1QBPP1/2R2RK1 w - -,e4d5
r2q1r1k/3P1p2/p3n2p/1p6/1Q5P/2NR3b/PPP2P1P/R5K1 b - -,f8g8
8/4R3/6p1/3k2K1/5P2/8/8/6r1 w - -,g5f6
B3kb1r/3n1ppp/bp2p3/p1p5/2P5/3P2P1/PPnNRP1P/R1B3K1 b k -,c2a1
1k5r/4n1pp/p2p4/1p1Ppp2/8/1N2P3/PP1K1PPP/2rR4 w - -,d2c1
rn1qkb1r/pp3ppp/2p1p3/4Nb2/1nPP2P1/N3B3/PP3P1P/R2QKB1R b KQkq g3,f5e4
r1b2rk1/pp1n1pb1/2p1pqpp/8/2BP4/2N1PN2/PP3PPP/R2QR1K1 w - -,e3e4
8/4bkp1/1p3pp1/pQn1p3/PPP3NP/6P1/3q1P2/6K1 w - -,b4c5
4rb1k/5q2/p1p1rn1n/P3p1pp/1PN1P3/2B2BpP/3RQP2/3R2K1 w - -,f2g3
5rk1/4r1p1/p2p1n1p/Pp1Ppq2/1Pp4P/2P1BPP1/3Q2K1/3RR3 b - -,f6h5
8/p6Q/1p1nkN1p/8/1P1q4/P5P1/5PK1/8 w - -,h7g8
r1b1k2r/1p1nbppp/p2pp3/6PP/2qNPP2/2N1B3/PPPQ4/R3K1R1 b Qkq -,d7f8
1br1r1k1/pp2qppp/2n1bn2/1N1p4/1P3P2/P2BPQN1/1B4PP/4RRK1 b - -,a7a5
3r4/3nk1pp/p1B1p3/2p2p2/2P2P2/1P4P1/P3R2P/6K1 w - -,c6d5
5rk1/1p5p/3Rp1p1/p1n4n/2P5/1Pb2N2/P4PPP/4R1K1 w - -,e1d1
8/4kp2/R5p1/p5rp/2PP4/4K2P/6P1/8 w - -,e3f3
1r6/2p2pp1/2p1k3/p1B1Pb1p/P1PP4/2K5/6PP/4R3 w - -,g2g3
6k1/5pp1/8/5p2/P2R3p/7P/6PK/1r6 w - -,d4h4
5r1k/ppR1p2P/3pp3/4n3/4P1P1/2N2r2/PPP5/2K4R b - -,f3f1
1b2R3/k2r4/pp3p2/6p1/4B1P1/P4P2/1P3r2/1KR5 w - -,c1c8
r3kn1r/ppp1q1pp/2pb1p2/4pP2/4P1b1/1N1PB3/PPP1N1PP/R2QK2R b KQkq -,a7a5
1r2r3/4bp1k/p2p1qp1/n1nPp2B/Pp6/3P1NQP/1P1B1PP1/R3R1K1 b - -,g6h5
r7/4P3/3k4/3b1Pp1/6P1/3R2K1/8/8 w - -,f5f6
1r6/3n1ppk/6bp/4p3/1pNqP3/1B3PPP/Q5K1/3R4 b - -,d4c3
1q1r2k1/1r2bppp/pN2p3/P1p5/2P1PP2/8/5QPP/2RR2K1 w - -,e4e5
1qr5/p4pk1/2pRp3/P3P1Q1/6R1/6P1/5PK1/1r6 b - -,g7f8
2q1rrk1/pp3bpp/5b2/2p5/2Pp1PP1/1P1N3P/P2B2Q1/4RRK1 b - f3,b7b6
2q3k1/1b3p1p/p2pp1pb/7n/PPN1P3/5P1P/B3N1P1/1Q5K b - -,c8c7
5bk1/1r1n1p1p/p1p1p1p1/8/NPP5/P3B2P/4KPP1/3R4 b - b3,f8e7
r1bq1rk1/pp2npbp/2np2p1/2p1p3/1PP1P3/P1N3P1/3PNPBP/R1BQ1RK1 b - b3,f7f5
1r3r1k/5p1p/4pq2/p1np1p2/8/2P2PP1/RP3Q1P/4RB1K b - -,c5b3
r1b2r2/3pq2k/p1nNp3/1p2Pp1P/6p1/3B1p2/PPPQ4/2KR2R1 b - -,c6b4
4rb1k/1pq3pp/p1n5/P1p5/2Q1P3/1N1P3P/1BP3P1/5RK1 w - -,c4e6
2k4r/1pq2p2/p1bR1P2/2p1Q3/4P1Pr/8/PPP2N1p/3R3K b - -,h8e8
r1r5/pp2p1kp/1n1pbpp1/q2N4/3QP3/P4P2/1PPRB1PP/5RK1 b - -,e6d5
r2q1rk1/1p2ppbp/1np1b1p1/p5B1/Pn1P4/2N1PN1P/1P2BPP1/R2Q1RK1 b - -,h7h6
8/r7/1p1KP3/1P6/3k4/8/2p5/1R6 w - -,b1h1
r1bkr3/pppp1ppp/8/3Pn2P/3N1Bn1/8/PPP3P1/R3KB1R w KQ -,f1e2
1r4k1/2p2pp1/2qp3p/1p1nr3/3Q4/2P4P/1P3PP1/R1BR2K1 w - -,f2f4
2bqrbk1/7p/p3p1N1/1p1p1B2/3B4/nP3N1P/P2Q1PP1/4R1K1 b - -,e6f5
r3r3/1kq3bp/ppn3n1/6B1/3P4/PB1Q1N2/1P3PP1/R4RK1 b - -,c7d6
r3k2r/p2q3p/2n3p1/2P2P2/p1B1p3/2P3b1/1P2Q1PP/R3K2R w KQkq -,h2g3
3Q4/1p3p2/p1bn2k1/P6p/5P2/4P2P/6PK/5r2 w - -,d8d6
1r4k1/pp1R4/7p/2P5/8/6P1/P1P5/7K b - -,b8c8
r3r1k1/pbqn2pp/4pb2/2p2p2/2P5/1P1B2N1/PB2QPPP/R2R2K1 w - -,b2f6
2rq4/6k1/3Bpp2/1pNp1bpB/pPnPn3/P2NP2P/5PP1/Q1R3K1 b - -,d8d6
r4rk1/p4p1p/Qq2b1p1/2Rp4/1P6/P2B2P1/5PP1/4R1K1 w - -,e1c1
8/5k2/1rp1p3/3pP1pp/1P3P2/4K1P1/2R3P1/8 b - -,f7g6
8/6p1/p4bk1/2BR1p1p/4rK2/8/8/8 w - -,f4f3
r3kb1r/3b1ppp/2n1p3/q2pP3/1P6/3B4/1R1B1PPP/1N1Q1RK1 b kq -,a5a1
r5k1/p1b2ppp/3rpn2/1p6/1PP5/P3BBPb/5P1P/R3R1K1 w - -,f3a8
5k2/p2r4/1p2qP1p/2pp4/5RPP/1P3Q2/P5K1/8 b - -,e6e1
8/p3r2p/1rR2k2/4p3/1p6/1P2KP2/P1R4P/8 b - -,b6c6
1q1r1bk1/3r1pp1/1p1Np2p/p3P3/P1P2P2/1P1R2PP/3Q2bK/3R4 w - -,d2g2
8/8/7p/6p1/4k1P1/P4R1P/2P1K3/r7 w - -,f3e3
r1b1k1nr/1p1p1ppp/pqn1p3/1N6/1bP5/2N1P3/PP3PPP/R1BQKB1R w KQkq -,b5d6
2qk2r1/3b3p/1P1p1bp1/2p3N1/8/8/1P3PPP/4R1K1 w - -,g5f7
r1b3k1/pp2qpbp/2p1n1p1/4p2n/1PP1P3/P1N1BNPP/2Q1BP2/3R2K1 b - -,c8d7
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/3P4/2PB4/PP1NNPPP/R1BQK2R w KQkq -,e1g1:d2f3
8/8/4K3/Q7/8/1p1P2N1/2k4p/8 w - -,d3d4
2Q5/4k2p/B2np3/2p3p1/8/2P3P1/6KP/8 b - -,d6c8
r1b2rk1/pp3pp1/5B1p/3p4/1b1q4/2N5/PPQ1BPPP/R4RK1 b - -,d4f6
q5k1/r3pp1p/3p1bp1/2pP4/2P1P3/6PB/P4P1P/1Q2R1K1 b - -,a7a2
4r1k1/1p2qpb1/p1p1p2p/P1NrP3/1P1P1PP1/4Q1P1/2R5/5RK1 b - -,e8d8
7R/6r1/4n3/6kp/8/5K2/8/8 w - -,f3g3
r1bqr1k1/bp3ppp/p1n2n2/8/N2P1B2/P4N2/1P2BPPP/2RQ1RK1 b - -,c8g4
r3k2r/pp1n1pp1/2p1pnp1/q7/3P4/P1b5/BPPBQPPP/R3K2R w KQkq -,d2c3
r2qk2r/1b2bppp/pn1pp3/4n1P1/1p1NP2P/2NBBP2/PPPQ4/2KR2R1 w kq -,c3e2
rn1q1rk1/4b1pp/p2p4/1pNPp3/8/PB1QBb2/1P3P1P/2R2RK1 b - -,d6c5
r1bqr1k1/1p1n1pbp/p2p2p1/2pP3n/2P5/2NBBN1P/PP1Q1PP1/R4RK1 w - -,g2g4
r1bq1rk1/pp1n1ppp/2p1pn2/3p4/2PP1b2/1Q3NP1/PP2PPBP/RN3RK1 w - -,g3f4
5k2/6pp/1R6/1p6/1P1p4/2r5/4rP1P/1K5R b - -,d4d3
5r1k/5pbp/8/6P1/R5BP/Pp1p2PK/1P6/8 b - -,f8b8
r1b1qrk1/p1p1ppbn/1p4pp/3p3P/3P4/2PBPNN1/PP3PP1/R2QK2R b KQ -,g6g5
8/8/8/q1Bp1kbQ/3P4/5K2/8/8 w - -,h5h7
r1bq1rk1/1p2bppp/p1np1n2/4p3/2P1P3/1PN3P1/PBN2PBP/R2QK2R b KQ -,c8g4
rn1qkb1r/pp1b1ppp/2P1pn2/3P4/Q7/8/PP2PPPP/RNB1KBNR b KQkq -,b7c6
8/8/6kp/1R3p1p/2p1r3/2P4K/1P4P1/8 b - -,g6g5
2r4r/1p1bkpp1/p1n1p3/3pP2p/5P1P/1P2RN2/PKP3P1/3R1B2 b - -,c8c7
8/7p/4R3/4P1P1/5kP1/8/r6P/6K1 w - -,g5g6
6k1/5p1p/3p2p1/1p1P4/8/1B3N2/1P2KP2/7r w - -,b3d1
r1bq1rk1/1pp2ppn/p2p3p/4p3/1PPbP3/P1NP3P/3BBPP1/2RQ1RK1 b - -,f7f5
2b1r1k1/p3rpq1/1p1p3p/2pP2p1/PnN1P1P1/5R1P/1P1Q1PK1/1B2R3 b - -,e8d8
r2q1rk1/1b1pppbp/n4np1/2pP4/8/2N1PN2/PP2BPPP/R1BQK2R w KQ -,e1g1
r3r1k1/ppq1bppn/2pp2np/4p3/2PPP1b1/1PNBBN2/P1Q2PPP/2R1R1K1 w - -,f3d2
r1bqk2r/1p1nnpp1/p2b3p/2ppN3/3P1P2/3B3P/PPP1N1P1/R1BQK2R w KQkq -,c2c3
2r2r1k/7p/2qp1n2/5p2/B1PRp3/P1N1Q1PP/KP3P2/8 b - -,c6b6
r1b1r1k1/pp1n1ppp/2pb1n2/q2p2B1/3P4/P1NBP3/1PQ1NPPP/R4RK1 w - -,f1e1
1r1q1rk1/pp1b2bp/n2p1np1/2pPpp2/2P2P2/P1NBPN1P/1P2Q1PK/R1B2R2 w - e6,f4e5
4r3/p5kp/6p1/2Pn1p2/5P2/3P2R1/PN1Bn2P/1r1N1K2 w - -,g3g2
r5kb/p2rp2p/2p1b1pP/1P2Pp2/3P1B2/5P2/P2RB1P1/1KR5 b - -,c6b5
6B1/8/2n4p/2k3p1/1p2P1P1/1K5P/8/8 w - -,g8f7
4B3/8/5pp1/3k1b1p/3p4/6P1/2pK4/B7 b - -,f5e4
6k1/1Q3p1p/1P3p2/2p5/2q5/6PP/3rP1K1/5R2 w - -,b7c8
3B4/8/p5n1/P6k/6p1/6K1/8/8 b - -,g6f8
r1bq1rk1/pp3pbp/n2n2p1/2pPP3/4P3/2N3PN/PP4BP/R1BQ1RK1 b - -,g7e5
8/1p3kp1/2p4p/2P2p2/5Pb1/1r2N1P1/5K1P/2R5 w - -,c1c2
r1r3k1/1R2bppp/4pnn1/8/q2PN3/5N1P/4QPPB/1R4K1 b - -,f6d5
r1bqkb1r/1p3ppp/p1nppn2/2p5/4P3/2NPB1PP/PPP2PB1/R2QK1NR b KQkq -,f8e7
r3qrk1/pbp3bp/np1p4/5p1n/2PN4/2N1BP1P/PP1QB1P1/R4RK1 w - -,e3h6
r1b1k2r/pp3p2/2n1p1p1/q1PpP2p/8/P1nBBN1Q/2P2PPP/R3K2R w KQkq -,e1g1
r3rnk1/1bq1bp1p/p2p1np1/1p2p1B1/P1pPP3/2P3NP/RPBQ1PPN/4R1K1 w - -,d4d5
1r1q1r1k/pp2n1bp/2npb3/2pNpp2/2P2P2/P2PB1P1/1P2N1BP/1R1Q1RK1 b - -,c6d4
r2q1rk1/p4ppp/4bn2/bNpp2B1/1P6/P2B4/2P2PPP/R2Q1RK1 b - b3,a5b6
rn1r2k1/p3bpp1/2qppn1p/2p5/2P1NB2/2N2PP1/PPQ1P1KP/R2R4 b - -,b8a6
3r1rk1/pp2ppb1/2q3p1/2Pp1b1p/PP1Pn3/2N2B1P/1B3PP1/R2QR1K1 b - a3,a7a6
6k1/5p2/p2p2p1/2pP2P1/3b1P2/P2R1QK1/q3r3/4B3 w - -,e1c3
4r1k1/p4p2/3p3p/2qb2P1/1p1N2n1/6B1/PPPQ3P/1K1R4 b - -,d5e4
r1b1r1k1/pp2qpb1/2p2npp/8/3P4/1B2PNNP/PPQ3P1/3RR1K1 b - -,e7c7
2r2nk1/p4pp1/1q5p/3p4/3P1P1P/1P1B2P1/P2Q1BK1/8 w - -,f4f5
1r6/1r1bbk2/1q2p1n1/pp1pPp1p/2pP1PpP/P1P3P1/1PN2QB1/RR2B1K1 b - -,d7c6
8/p2r3p/3b2p1/1Pp1k3/2P1p1P1/4B2P/1P2K3/3R4 b - -,e5e6
8/8/r1p5/3k2p1/1P2R1P1/3p1pKP/5P2/8 w - -,e4e8
1rb2rk1/5pbp/1p2p1p1/8/1q2PP2/2N1B3/1P3QPP/R2R2K1 w - -,e4e5
r1bR4/pp4kp/n3prpq/2n3N1/4PP2/6P1/P1Q1B2P/5RK1 w - -,e2a6
q1bk1b1r/pp1ppp1p/2n2p2/8/8/6P1/PPP1PP1P/R1BQKB1R b KQ -,b7b6
3r1rk1/p2q2bp/1p2bp2/2n3p1/1Q1p4/2N3P1/PP1BPPBP/2R2RK1 w - -,c3e4
2rr2k1/3n1ppp/p1b1p3/1p6/1P2PB2/PNN2PqP/1Q2K1Pb/2RR1B2 b - -,g3f4
2r1n1k1/1bq2ppp/p2b4/1ppP2N1/2p3P1/PnN1B2P/1PQ2PB1/3R2K1 b - -,e8f6
7k/3R2R1/7p/p2n3P/8/2r5/4K3/r7 w - -,g7h7
6k1/p4p2/4q1p1/2p4p/8/1P3PP1/P1PQ3P/1K6 w - h6,a2a4
5rk1/5qb1/1p2rn1p/2p1p1p1/2P5/1RBP1Pp1/2QNP2P/1R4K1 w - -,h2g3
4k1nr/p4pp1/2n1p2p/1Nb5/1q6/P1N5/1P2QPPP/R1B3K1 b k -,b4b3
rn1qr1k1/4bppp/p2p4/3Pn3/1p3B2/1N5P/PPP1Q1P1/1K2RB1R w - -,f4e5
r2q3k/1bppb2B/pp2pr2/6pQ/1PP5/P1N2nN1/3B3P/R4RK1 w - -,f1f3
3rr3/1bn3k1/p4pp1/1p2p2p/1Pn1P2P/3B1N2/2P2PP1/R1NR2K1 w - -,c1b3
1r4k1/Q4p2/3p2pp/1qpPp1b1/4P3/7P/P4PP1/N2R2K1 b - -,b8b7
8/6k1/p2PR3/4N1pp/8/6PK/4r2P/8 b - -,g5g4
4r3/1pq2kpQ/5p2/1PpR4/4p2N/8/P4PPb/7K b - -,h2f4
2q1r1k1/2pb1pp1/3p1nnp/1p2p3/3PP3/1BP2NN1/1P1Q1PPP/R5K1 b - -,c8b7
