8/3N4/3n4/p1p2p2/P4k2/1PPK3P/8/8 b - -,d6b7
rnq1k1nr/pp3pp1/2p1p3/3pPbPp/1bPP3P/2N1BP2/PP6/R2QKBNR w KQkq -,d1b3
r4rk1/p4pp1/5n1p/3pq3/2pN4/4P3/PP2QPPP/2R2RK1 w - -,b2b3
1b1r1rk1/1p4pp/p1n1bpq1/3p4/3P1n2/1PP1NQ1P/1B1N1PP1/3RRB1K b - -,f8e8
1k1r4/ppq4p/8/2P5/5p2/2P4P/PP1pQPP1/3R3K b - -,c7d7
2k4r/p6p/1p4p1/3p1p2/3Rb3/P7/1P2R1PP/6K1 w - d6,g1f2
1nkr1r2/1pp1p1b1/p2q4/1P1N1p1p/P1PP2p1/3BP1P1/3Q1R1P/R5K1 w - -,d5f4
br6/p4pkp/5Np1/4P3/5nB1/6P1/3R3P/6K1 b - -,h7h5
8/5pk1/4r2p/R3P1p1/1b3p2/5N1P/5PP1/6K1 w - -,a5b5
8/3p1k1p/2pPq1p1/Q4p2/8/P3rPP1/1r2PR1P/4R1K1 w - -,a5c5
r4rk1/ppnqb1pp/2np4/2pNpp2/2P1P3/P2P1N2/1P3PPP/1RBQR1K1 w - f6,b2b4
2rqk2r/1b1n1ppp/p4n2/1pb1pQB1/3p4/1N3NP1/PP2PPBP/R4RK1 b k -,h7h6
7r/8/3pk3/R3p1n1/6P1/2P3K1/1P4Nr/4R3 b - -,h2h3
2k4r/pppbq1b1/2npp3/8/2BPP1p1/P1N1BrPn/1PPQN1R1/2KR4 w - -,c1b1
5k2/8/2p3p1/1pPp1Pp1/1P1b2P1/r6B/1pK5/1R6 w - -,h3f1
1nb2rk1/r4pnp/p2P2pB/1p6/3pN1Pb/P1N4P/1PP3B1/R4RK1 w - -,c3d5
8/2p5/p1k5/6b1/2P1p2p/1P1b3P/r4P2/3RK1R1 b - -,g5e7
6R1/2Pk4/4p1pp/2rp1p2/3n1PP1/7P/5PK1/8 w - -,g8g6
3r2k1/2p2pp1/p2q2np/Pr6/1pQ1PP2/1N6/1P4PP/2R2RK1 b - -,d6d3
r2r2k1/1pb1qpp1/2p1bn1p/p3p3/P3P2B/1N3P2/1PPNQ1PP/R2R3K b - -,g8h7
r3k1nr/pp1q1pbp/2np2p1/2p1pb2/2P5/2NP1NPP/PP2PPBK/R1BQ1R2 b kq -,g8e7
2r1kb1r/2qb1ppp/p2ppn2/1p2n1B1/3NP3/P1N5/BPP1QPPP/R4R1K b k -,f8e7
2rk4/pp3p2/3bppr1/3p3p/3P3P/3RB1P1/PPP2P2/2K4R b - -,d8d7
2kr3r/2qbbppp/p2pp3/np4P1/P1n1PP1P/1N6/NPP1Q3/1KBR1B1R b - -,c8b8
8/4k1bp/1n2p1p1/3p4/P2N4/1BP5/3K1PPP/8 b - a3,e7d6
2rr2k1/1bpq1ppp/1pn5/p2p4/Q2Pn3/P3P1P1/1P1B1PBP/1NRR2K1 b - -,f7f5
8/5k2/5b2/R6P/P1r2p2/8/3BKP2/8 b - -,c4c2
3r1rk1/pp1n1pp1/4pnp1/q1p5/PbBP2P1/2N1PQ1P/1P1B1PK1/R2R4 w - -,f3b7
4rr2/3n2kp/pp1p2p1/2pP4/P1P1NP2/1P4PP/8/1B2R1K1 w - -,g1f2
r1r2k2/1Pp2pp1/4p2p/8/2R2BP1/P4P2/4n1P1/6K1 w - -,g1f2
r7/1q1nppk1/r2p2p1/2pP3p/2NbP3/1P2BQPP/P1R1RPK1/8 b - -,d4f6
r4nk1/3p1r1p/2q5/1p1R3P/5p2/1N1NbQ2/PPP5/1K3R2 w - -,d5g5
1br1r1k1/7p/p1bq1pp1/1pN2n2/2PP4/4P1P1/1B2Q1NP/2R2RK1 w - -,e2g4
r1b3k1/1p1n3p/p1n1prp1/2bp4/3N1P2/3BB3/PPP1N1PP/2KR3R b - -,e6e5
r2q1rk1/pp2ppbp/2n1bnp1/2Pp4/1P6/P3PN2/1B1NBPPP/2RQK2R b K -,e6g4
5r2/p1p2qbk/1pnpr3/3N3p/1PP1pP2/4B2P/P1Q3P1/1R2R2K w - -,e1f1
1q1rr1k1/pp2bppb/2p1pn1p/8/2PPN3/1P3PPB/PB2Q2P/2R1R2K w - -,h3g2
8/8/8/p1k5/7p/1P5P/1K6/8 w - -,b2a3
8/6p1/5p1p/p2k1P1P/Pb4P1/4K3/8/8 b - -,d5c4
8/3r3p/1p6/p7/4R3/1P3P2/Pk1rR2P/4K3 b - -,d2e2
r1b2rk1/2qnppbp/p2p1np1/1pp5/4PP1N/2PP4/PPB1Q1PP/RNB2RK1 b - f3,c8b7
1r3k2/2q1bpp1/p1Q1pn1p/2p5/2P5/1PB3P1/P2R1PBP/6K1 b - -,c7c6
5r1k/1p4qp/p1b4Q/3pb3/1P2p1P1/P1N2nP1/R4PK1/3B3R w - -,c3e2
1rbq1rk1/ppn2pbp/3p1np1/2pP4/P1N1P3/2N5/1P2BPPP/R1BQ1RK1 b - -,f8e8
3k1B2/2b4p/pr3pp1/3B4/1P2p1P1/P2bP2P/5P2/2R3K1 b - -,f6f5
8/5k1p/8/1p4p1/1Pn1P3/3r1K2/R6P/B7 w - -,f3f2
3nr1k1/1p3r1p/pP4bQ/P7/3p1N2/3pq1PB/7P/1R3RK1 w - -,g1h1
2N1rk2/1p3ppp/1p3b2/3P4/P4P2/1P6/3R1P1P/5BK1 b - -,e8c8
4k3/7p/1p6/2p2p2/3p3r/5B2/PP2PK1P/4R3 b - -,h4h2
2r3k1/5pbp/1q1p1np1/pP6/Pr1NbP2/Q3P3/1B4PP/RN3RK1 b - -,f6d5
8/4qrk1/2pRbnpp/p1P1p3/1p2P3/1Pn1NP2/P5PP/3RQ2K w - -,d1d2
1r1q1rk1/p3ppbp/2ppbnp1/8/2P1P3/2N3PP/PP3PBK/R1BQ1R2 w - -,d1a4
8/8/2b2Rp1/2k4p/7P/6r1/2P2K2/8 b - -,g3g4
2rqk2r/1b1n1ppp/pp2pn2/3p4/Pb1P4/1P1B4/1BPNNPPP/R2Q1RK1 b k -,e8g8
8/8/3R2pk/1P1Pp3/4Pr2/6K1/1PN2n2/8 b - -,f2e4
8/5pR1/4p3/PK2P1p1/1P3r2/5k2/6R1/r7 w - -,g7g5
r1bqk2r/1pp1nppp/3p1n2/p2Pp3/1bP5/2NBP3/PP2NPPP/R1BQ1RK1 w kq -,d1c2
r1b2rk1/pp2q1pp/2pbp3/3pPp2/2P1n3/1P4P1/PBQ1PPBP/RN3R1K b - -,d6c5
1r4k1/3n3p/4p1p1/3q1p2/p2P4/1pR4P/1Q3PP1/1R4K1 b - -,d5d6
5rk1/1b2Bppp/p7/1pPn4/6q1/1P2p1Q1/P5PP/3R1R1K b - -,g4g3
3r4/pk5r/bppB4/3pNp1p/3P1Pp1/1P4P1/P1PK2P1/7R w - -,d6a3
8/1pq3k1/p3pbp1/3p3p/3PnP1P/1P3NP1/PQ4K1/4B3 w - -,a2a4
8/7p/1r2k3/8/RBP1p3/1P6/6P1/5K2 w - -,f1e2
r1bqk2r/1p2npbp/p2p2p1/2p1p3/3nPP2/2NPB1P1/PPPQN1BP/R4RK1 b kq -,e8g8
8/3bk3/B1p5/p1Pp2pp/3Pp3/1P5P/4KPP1/8 b - -,d7f5
1rr2n2/R6p/4pk2/5p2/2p2P2/1P4N1/P4RPP/6K1 b - -,c4b3
4kb1r/1p1bpp2/p2p1p1p/2rN4/4P3/5N2/PPP2PPP/1K1R3R w k -,f3d4
4rrk1/p3q2p/2pp1bP1/5n2/N1P1PP2/1P5Q/P3B3/3RK1R1 b - -,f6h4
4b3/1p1P4/p4B2/2k4p/6pK/8/1P6/8 b - -,e8d7
8/pp3k1p/1n1p1p2/3P1P2/2PB4/1PK5/P6R/2r5 w - -,c3b2
r2q1rk1/pp5p/2n1bppb/3p4/3P4/2N1PN2/PP1Q2PP/3BRRK1 w - -,d1c2
2r1rk2/2q2pbp/pp4p1/3Bn1Bn/6N1/2P4Q/PP3PPP/R4RK1 b - -,e5c6
3qr1k1/1b3ppp/pp1p1b2/3N4/3n4/3QN1P1/PP2PPBP/2R3K1 b - -,b7d5
r1r5/2p1qnk1/p2p1pp1/Pp1P3p/1P1PPQ2/2R4P/3N2P1/2R3K1 b - -,f7g5
8/pR3p2/8/4p1k1/P1p1P2p/5P2/2r3P1/5K2 b - -,g5f4
4k3/8/1r6/1N2QK2/8/8/1p6/8 b - -,e8d7
r1b2rk1/1pqn1pbp/p4np1/2p1p3/P3P3/1BN1BN1P/1PPQ1PP1/R4RK1 w - -,c3d5
5rk1/rp1nqpp1/p1pbpn1p/P2p1b2/2PP4/1QN1PN2/1P2BPPP/R1R1B1K1 b - -,f6e4
2r1r3/p6R/2n3p1/2Pk4/4pPP1/2B5/P1R5/2K5 w - -,c3e1
4n3/2k5/1p5p/p5p1/2KP2P1/PP3B2/8/8 b - -,c7d6
R7/5pp1/2N2k1p/3p4/3P4/5PP1/7P/6K1 b - -,h6h5
4r1k1/pp3p2/1npq2p1/2p2PPp/2P1P2Q/2N4b/PP5P/3B2RK b - -,d6d3
r2q1rk1/1pp3bp/6p1/2pPp1P1/p1P1P2P/P7/1P2B3/R2QK2R b KQ -,f8f4
1q2nrk1/1p4p1/r2p3p/1N2pb2/2P5/pP2NPQ1/P5PP/R2R2K1 b - -,f5e6
r5k1/1p2bppp/r1p1p3/1p1n4/3P4/1P4P1/PB1NPPKP/R4R2 w - -,e2e4
8/8/r4k2/1R4pp/p7/6K1/1P6/8 b - -,a4a3
r4rk1/pp2pp1p/1q4p1/2nPNb2/8/1P4P1/PQ3PBP/3R1RK1 b - -,a8d8
1r6/1r1b1k2/pp1p1p2/2pP2p1/P1P1P1Pp/1P1BK2P/R7/R7 b - -,f7e7
2r2rk1/6pp/pp1bp3/2n2p2/2P5/P1N1R3/1P3PPP/R1B3K1 b - -,c5b3
8/6p1/p4p2/BbN1nk1p/4p2P/4P3/5PP1/4K3 w - -,a5c7
2rr2k1/pq3ppp/1p1np3/2n1P3/7P/1P4P1/PB3P2/1Q1RR1K1 w - -,e5d6
4knB1/pp5p/2pB2p1/2P3P1/1P2PP1P/P3K3/8/5b2 w - -,f4f5
8/2R2pkp/2nr2p1/3N4/8/1r4P1/5P1P/4R1K1 w - -,d5f4
3Q4/7k/p2q3p/Q4p2/8/6PP/4q2K/8 w - -,h2h1
2b2rk1/3pq1p1/1Qpb3p/4p3/2p5/2P4B/P3R1P1/3R3K w - -,b6e3
1r4k1/5p1p/pp1p1Ppb/3N2q1/P1Ppr3/7P/1P4P1/2RQ1RK1 w - -,d1d3
8/5p2/2p5/NpP2k2/1P1n3p/5P1P/8/5K2 w - -,a5b7
1rk1r3/ppn1b1p1/2p1ppNp/2P4P/2PPpBP1/1R6/4PP2/1R4K1 w - -,f2f3
2rqk2r/1ppbbpp1/p1np2np/3Np3/P1BPP3/2P1BN2/1P1Q1PPP/R3K2R b KQk -,g6h4
r3kn1r/2pnp1bp/p2qp1p1/1p1p2N1/3P1P2/2NQ4/PPPB2PP/2KRR3 b kq -,c7c5
r1bnk2r/ppppqppp/1b3n2/3Pp3/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,c1g5
r1bqr1k1/ppp2pbp/3p1np1/3P4/4P3/1N3PP1/PP4BP/R1BQ1RK1 b - e3,a7a5
2r1rn2/1p2p2k/6p1/p2PNn2/P1Pp4/5PPB/5K2/R3R3 b - -,e7e6
r1b1qrk1/pp1n2bp/2p5/4pp1n/2P5/2N1BNP1/PP2QPBP/3RR1K1 b - -,e5e4
1r5r/2qb1pk1/1p1p1n1p/p1p1p1p1/P1PPPn2/2P1NP2/2QR1BPP/4RBK1 w - -,e1d1
8/3r3r/1k1P4/1pq4p/6p1/6P1/2pB2BP/Q3R2K w - -,a1a5
1k3r2/pppq3p/3b4/2nQ4/8/2P1N3/PPB2PPP/3R2K1 b - -,c5e6
6k1/5p1p/6p1/8/5P1n/1N5P/q5P1/5QK1 w - -,f1f2
3q1rk1/3b3p/1p1p3Q/3Pp1pP/1p4p1/5P2/PPP5/2KR3R w - -,f3g4
5rk1/1b6/p7/1p1pP1p1/1P1P2q1/P3Q1N1/6K1/7R w - -,e3d3
5bk1/2nb4/2p1qp2/1pP3p1/pN2P1Pp/P3B2P/1P1Q2B1/7K w - -,e4e5
rnbqk2r/pp2pp1p/5bp1/2PP4/8/2N5/PP2PPPP/R2QKBNR b KQkq -,b8d7
1k1r4/1p4p1/2pbB2p/p3p2P/6P1/2P2P2/1P4K1/3R4 w - a6,b2b3
8/ppk5/3qp3/2P4P/3R4/8/PPK2P2/6r1 w - -,c5d6
r3r1k1/2q1bppp/p3p3/1p2P3/1n6/4QN2/PPPRBPPP/1K5R w - -,e3e4
r3kb1r/pp1n1ppp/8/4p3/1n2P3/2N1B3/PPN2PPP/R3K2R w KQkq -,e1c1
r1b1qr1k/1pp2pbp/n2p1np1/p2Pp1B1/2P1P1P1/2N2N1P/PP2BP2/R2QK2R w KQ -,f3d2
6kb/pb2n3/1p2p1qp/3pP1pN/1P1P2P1/P4Q1P/3N2B1/6K1 w - -,d2c4
rnb2rk1/ppq1ppbp/2p2np1/3p4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,f1e1
r2q1rk1/pp1n1pbp/3p2pn/2pP2N1/4PPb1/2N5/PP2B1PP/R1BQ1RK1 b - -,g4e2
2rq1rk1/pp2bppp/5n2/2pp1bB1/2PP4/P1N2N1P/1Pn1BPP1/2RQ1RK1 b - -,c2d4
6k1/1R3b2/5p1p/2Bp1Bp1/1P1P2P1/2b4P/5PK1/3r4 w - -,b7b8
6k1/1b2bpp1/1q2pn1p/1p6/3pPP2/1PrN2PP/2P1Q1BK/R1R5 w - -,c1e1
8/2b2pk1/4p3/pRN3p1/P1r4p/7P/4K3/8 w - -,e2d3
6r1/1p6/p2pk3/4p2p/P1P5/1P2KP2/3R3P/8 w - -,e3f2
r1b2n2/pp3p1k/2p2npp/2Pp1P2/3P2P1/1PN3NP/P4KB1/4R3 w - -,e1e7
r4rk1/3nbppn/p1p5/1pPpp1p1/3P2PP/1PN1PP2/1P1B4/1K1R1B1R w - -,h4h5
r7/p4k2/1r6/3R2R1/8/8/P5KP/8 w - -,d5f5
2b1nnk1/r5p1/1pPqprNp/pP1p1p2/P2P1N2/3BR3/5PPP/1R1Q2K1 w - -,g6e5
5rk1/pp3p1p/2p3p1/8/2br1P2/4q2P/PPQR2B1/2K4R w - -,c2c3
5q1k/5p2/3p1Pp1/1PrNn2p/p2pB2P/P2P2P1/3Q4/6K1 w - -,b5b6
8/4bk1p/6p1/5PP1/4K2P/8/4P3/8 b - -,e7b4
5k2/6p1/b4nr1/p2n2N1/Np5P/1P4K1/2rB1RP1/4R3 b - -,f8g8
8/6Q1/Bpk5/3p4/P5PK/4r1q1/2P5/8 w - -,h4h5
8/8/8/8/5p2/3r1k2/5R2/6K1 b - -,f3e3
6k1/5p2/1p1p2b1/p1p1q3/6PK/P6P/1P1Q4/8 b - -,d6d5
2b2nk1/2q2r2/1pPnp2p/pP1p2pN/P2P4/3BR1Q1/5P1P/1R4K1 w - -,h2h4
6k1/5p2/RP4p1/Q1pB3p/8/4q2P/4r1P1/6K1 w - -,g1h1
r1bq1rk1/1ppnn1bp/3p2p1/4pp2/1pP5/P1NP1NP1/4PPBP/1RBQ1RK1 w - -,a3b4
r4rk1/1p3ppp/3pb3/4p1bn/pqP1P3/N1N2P2/PP2QBPP/1R2R1K1 b - -,h5f4
4Rb1r/5P2/3k4/5K2/8/5N2/8/8 w - -,f3g5
8/8/1pp2k1p/6bK/1P3pN1/P4R2/8/r7 b - -,f6f5
2rr2k1/1q3pp1/pn5p/Qpbp4/8/P2PP1P1/5PBP/2RRB1K1 w - -,g2h3
3r4/pbR2rpk/1p4pp/3q4/3P4/4QP2/PP1B2PP/5RK1 w - -,c7f7
r2br1k1/1q3ppp/ppn1b3/2pN4/P3PB2/R4N1P/1P2QPP1/3R2K1 w - -,a3e3
r2q1rk1/pb1n1ppp/2pb1n2/1p2p3/3PP3/2N2N1P/PPQ1BPP1/R1B2RK1 w - -,f1e1
rnbq1rk1/p1p2ppp/1p1ppn2/8/2PP1B2/2P1PN1P/P4PP1/R2QKB1R b KQ -,b8d7
4rb1k/5q2/p1p1rn1n/P3p2p/1PN1P3/2B3PB/3RQ3/3R2K1 b - -,f6g4
2r3k1/pQ4bp/2p1bnp1/3p3q/2PPpB2/4P1P1/P2N2BP/5RK1 w - -,f4e5
2rq1rk1/pb1n1ppp/1p1bp3/2p5/2PPB3/1P3N2/PB2QPPP/2RR2K1 b - -,b7e4
r1br2k1/1pq1ppbp/p1n3p1/8/3NP3/1QP1B3/P3BPPP/2R2RK1 w - -,f1d1
1r6/R2k1p2/1P1p2p1/2nNp2p/4P3/5PPP/8/6K1 b - -,b8b7
r2qk2r/2p1bppp/p2p2n1/np1Pp3/4P1b1/2P1BN2/PPB2PPP/RN1QR1K1 w kq -,b1d2
3q2k1/p4pp1/1p2p2p/3rPn2/3P4/P2Q1N1P/5PP1/3R2K1 w - -,d3d2
r3kn2/p2r1p2/1p2p1p1/P3P2p/q2P1PP1/3QN2R/7P/3R2K1 w - -,g4h5
8/4B3/1pp1n3/1p2k2p/1P5P/2P1K3/8/8 w - -,e3f3
rn2k2r/1bp1bp1p/p3p3/3q1p2/Np1P1P2/1P2Q3/P1P3PP/2KR1BNR b kq -,b8d7
r4nk1/1p1q1pp1/2p1b2r/p2p4/3NPQ1p/PP1P1N1P/5PPK/2RR4 b - -,f8g6
r3k2r/1b1nbp2/1qn1p3/p2pP2p/1PpP1Pp1/2P5/1PNN2PP/RBBQ1R1K b kq -,a5b4
rnbq1rk1/4ppbp/p2p1np1/1PpP4/P3P3/N4N2/1PQ2PPP/R1B1KB1R b KQ -,e7e6
rn1qkbnr/1b2pppp/pp1p4/8/3NP3/2N1B3/PPPQ1PPP/R3KB1R b KQkq -,g8f6
8/3nkp1p/pp2p1p1/8/bPPN4/P3KP2/6PP/5B2 b - -,e6e5
5rk1/1p1nQppp/3P4/1qp3P1/p4R2/4NK2/8/8 w - -,e7e4
r2qk2r/ppp1bppp/1nn5/3PPb2/8/2N1BN2/PP4PP/R2QKB1R b KQkq -,c6b4
2rq1rk1/1p1bppbp/p1np1np1/3N4/2P2P2/1P2P1PP/PB1QN1B1/R4RK1 b - -,f6d5
6k1/4r2p/8/p4p2/8/2P5/P1KR2PP/8 b - -,g8g7
r4rk1/1pp1qnbp/3Pb1p1/pP1npp2/2N5/P2PPN2/1B2BPPP/2RQ1RK1 b - -,c7d6
1rbqkb1r/p2n1pp1/1p2pn1p/2p3N1/2Q5/3P2P1/PP2PPBP/RNB2RK1 w k -,g5e4
r5k1/p2p1rbp/2pQp1p1/3qP3/8/2P5/PP3BPP/R3R1K1 w - -,f2g3
8/5k1K/6p1/4BnP1/7P/8/8/8 w - -,h4h5
3r3k/6p1/7p/6bP/Q5P1/8/3r4/5K2 w - -,a4a6
2r1r1k1/pp4bp/2nqpnp1/3pNp2/2PP4/1P3PPP/PB2Q1BK/2RR4 b - -,f6h5
3q1rk1/pp2pp1p/2rpb1p1/2n2PP1/4P3/2P1B3/P1P1B2P/R2QK2R b KQ -,g6f5
r3r1k1/1ppR4/2p5/6N1/1P4pP/pP4B1/Pbb3P1/4R1K1 b - -,e8e1
1r1n2k1/1p1R1ppp/p3p3/6b1/1P6/2P2B2/P4PPP/1K1R4 w - -,b1b2
2b3k1/5p1p/pq4p1/4p3/2p1Pbn1/2P2PPP/RPB4K/Q7 w - -,h2h1
r2q1rk1/p1p2ppp/5bb1/1p6/1P1P1B2/1Q6/PN1N1PPP/R3R1K1 b - -,d8d4
r2qk2r/pp2bppp/1nbpp3/4P3/3P4/2NR1N2/PP2QPPP/R1B3K1 w kq -,c1f4
2r2rk1/pp1n1pbp/5np1/q2ppP2/4P3/1P1P1N2/PB1NQ1PP/2R2RK1 w - -,a2a4
b1rq2k1/p4r2/Pp1n1bpp/2pPpp2/4P3/1PNBBPP1/4Q2P/R4RK1 b - -,f6g5
r1r5/1R3pk1/3pb1p1/8/5RP1/P1P1P3/3KB3/8 w - -,a3a4
r7/p1rq1pbk/3p3p/2pPpNp1/4P2n/4BQ1P/PPR2PP1/5RK1 w - -,f5h4
r1bqkbnr/pp4pp/2n2p2/2ppp3/2P5/3P1NP1/PP2PPBP/RNBQ1RK1 b kq c3,d5d4
8/6bp/p3p1p1/1pk2pP1/2p1nP2/P1P2K2/4N2P/3N4 b - -,e4d2
