8/8/8/2R3kp/r5p1/4P1P1/4KP2/8 b - -,g5g6
6k1/p1q2rpp/4n3/2pR1p1P/2P1p2P/1P6/P3QPK1/3R4 w - -,e2d2
R4Q2/3r1p2/p5pk/1p3b1p/3q4/4R2P/PP3PP1/6K1 b - -,h6h7
3b1k2/1b4r1/8/pR1p4/3P4/2P5/PPK5/8 w - -,c2b3
r2k1b1r/pp5p/2p1bnp1/4pp2/4P3/2N1B1P1/PPP2PBP/R3K2R w KQ -,e3g5
8/1p1R4/p7/5pp1/1r4kp/1P6/1PP2KPP/8 w - -,d7d3
3q4/1p1r2k1/p5p1/P2np2p/1P1n3P/6P1/6Q1/1BN2RK1 w - -,g2e4
r2r2k1/ppq2pp1/2p1p2p/2Pn3n/3P4/B1PB2PP/P1Q2PK1/R3R3 w - -,a3c1
rn2kb1r/pp3ppp/2p1pn2/q4b2/2BP4/2N2PN1/PPP3PP/R1BQ1RK1 b kq -,f5g6
1r1qrnk1/1p4b1/p2p1p2/PbpP1PpR/4P3/2Q5/1P1B1NP1/3NR1K1 b - -,e8e7
1r4k1/4bp1p/p2p2p1/1p1Rp3/2r1P3/5P2/PPP3PP/R3N1K1 w - -,g1f2
r4rk1/1p1bq1bp/p2pp1p1/4P2n/2Pp1P2/3B2P1/PPNBQ2P/R4RK1 b - -,d6e5
6k1/pp5p/2b2pp1/4n3/2P1q2N/1P1pP1P1/P4Q1P/5RK1 w - -,h4g2
3r2k1/1p1qbppp/4n1b1/4B1P1/2P1P2P/5N2/2Q2PB1/4R1K1 b - -,e7c5
r1bqk2r/1p1nbpp1/p2p1n2/2pPp2p/2P1P2P/2NB4/PP2NPP1/R1BQK2R w KQkq -,f2f3
r1b1k2r/pp2pp1p/1n4p1/1N2b3/8/1B6/PP3PPP/R1B2RK1 w kq -,f1e1
2rqr1k1/p4pp1/1p3b1p/3N4/3N4/5BP1/PP3P1P/3Q1K1R b - -,c8c4
1rr2bk1/3b1p2/5q2/1p2p1p1/n3P3/2PBBP2/4Q1P1/1NR2RK1 w - -,g2g3
rn1q1rk1/1p3ppp/3b1n2/pPp1p3/P1Pp4/4PP2/1BQP1PBP/RN3RK1 w - -,c2f5
8/3n1pkp/4n1p1/8/2QbP3/3P2P1/1q3P1P/3B1RK1 w - -,c4b3
r4Bk1/p6p/8/3N4/2Qp4/PP5P/5nP1/1q4K1 w - -,g1f2
r1bqkb1r/pp3ppp/2pp1n2/4p3/2P1P3/P1N5/1PP1NPPP/R1BQK2R w KQkq -,d1d3
2r1q3/p4pk1/1p2p1pp/3nP3/8/PP4P1/1BR2P1P/3Q2K1 b - -,e8d7
4r3/1R4B1/6k1/p7/1b3PP1/1p5P/5K2/8 b - g3,e8e7
r1b2rk1/pp4pp/2p2q2/3p4/3Pn3/4QN2/PP3PPP/RN3RK1 w - -,b1c3
2rq1k2/1p3p2/1p6/pP2Q3/PbN1B1r1/3PP3/8/1R4K1 w - -,g1f1
2r3k1/1b1nqpb1/5n2/1p2pPN1/1p2N3/1R6/rBP1Q1BP/6RK b - -,g8f8
8/1p4k1/1Np1b3/2P1p3/1P1qPbPp/P4R1P/6B1/5N1K b - -,d4d1
r2qk2r/pp2ppbp/2bp1np1/2p5/4PP2/2NP1N2/PPP3PP/R1B1QRK1 b kq -,e8g8:h7h6
rnbqk2r/ppp1ppbp/6p1/3p4/2PPn2B/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e4c3
r2r3k/pp2qb1p/6p1/n1Nnb3/3P4/6P1/QP3BBP/2R1R1K1 w - -,e1e5
r3k2r/1bq1bppp/p3pn2/1p2P1B1/3R4/2N1Q3/PPP1B1PP/2K4R b kq -,f6d5
4r1k1/2q2pbp/bp4p1/p2p4/P2Nr3/2P1B1P1/1P1Q1P1P/R3R1K1 w - -,f2f3
rn1qkb1r/pp3ppp/2p1p1b1/3pPn2/3P4/5N2/PPPNBPPP/R1BQ1RK1 w kq -,c2c3:d2b3
3r2k1/5p1p/r2bp1p1/pp2N1P1/2pPpP1P/P1PbP3/1P1B4/R1R3K1 b - -,g8g7
r2qrbk1/5p1p/bp1p2p1/p2P4/P2n1P2/2N1R2P/1P1N1BP1/R2Q2K1 b - -,e8e3
6rk/1p5p/2PB4/1P6/1Qnpb1q1/7N/5RPK/r7 w - -,b4b2
rn1qk2r/pbppnpbp/1p2p1p1/8/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,d7d6
r2qr1k1/3b1nbp/3p2p1/1npP4/1p2NP2/1Q3B1P/1P2N1P1/R3R1BK w - -,e4d2
r1bq1rnk/pppn1pbp/3p2p1/3Pp3/2P1P3/2N1BN2/PP2BPPP/R2Q1RK1 w - -,d1d2
5k2/3b1p1p/p3qp2/1p2n3/3QP3/1PR4P/P5P1/5B1K w - -,d4d5
r3k2r/1b3pp1/p2qp3/3p4/7p/2NRQ3/PPP2PPP/2K1R3 w kq -,c3e4
r1bqnr1k/pp2p2p/3pBbp1/2pPn3/4N3/P4N2/1PP1QPPP/R1B2RK1 w - -,e4g5
rnbq1rk1/ppp1ppb1/3p1npp/6B1/2PPP3/2N4P/PP3PP1/R2QKBNR w KQ -,g5e3
1k6/1r1r1bRp/3N4/2pPpP2/p3P2P/PnQ4K/1P6/8 b - -,d7d6
rq2r1k1/1bnn1pbp/p1p3p1/3p4/1B1P4/RNN1P1P1/Q4PBP/R5K1 w - -,b4d6
rnbqkb1r/1p2pppp/p2p1n2/8/2PNP3/8/PP3PPP/RNBQKB1R w KQkq -,b1c3
q4r1k/4p1b1/rn1p3p/2pP2p1/4P3/1P2B1PP/P1RNR1K1/1Q6 w - -,e2f2
8/p2r2p1/1p2k2p/2p2R1P/2PpP3/1P4P1/P3K3/8 b - -,d4d3
6k1/pp2bpp1/2q1p2p/8/2P5/P4NPP/1P2QP2/6K1 w - -,e2d3
8/6pp/2p1k3/1nP1pp2/1K2P3/p4PP1/P1N4P/8 b - -,f5f4
8/6b1/p1k3pp/8/PPNn4/3N3P/3K1PP1/8 b - -,g6g5
8/5p1p/3p1kp1/1p1P4/5B2/r1P4P/4KPP1/3B4 b - -,f6e7
3rr1k1/1b1nqnbp/1ppp1pp1/p7/P1PPPB2/1NN3Q1/1P2B1PP/4RRK1 w - -,g1h1
2r1b1k1/b4pp1/p3p2p/3n4/PpNp4/1Pr3PP/2RNPPB1/2R3K1 w - -,g2e4
8/6N1/5p2/3n2p1/4p1Pp/2k4P/5P2/5K2 w - -,g7h5
8/8/4K3/8/R7/3k1n2/8/8 b - -,f3d4
r3kb1r/1ppq1ppp/p1n5/3np1N1/8/1B6/PPPP1PPP/R1BQ1RK1 b kq -,c6d4
rnnq2k1/2p2rbp/2Ppb1p1/p3pp2/4P3/2N1BP2/PP2B1PP/2RQNRK1 w - -,c3d5
8/ppp3pp/3k4/2nP1p2/8/4KP2/PP4PP/R7 b - -,d6d5
Q7/8/1R6/2p5/3n4/3k4/7K/2q5 b - -,c1f4
1k1r4/1p4r1/3p4/2qnb3/1p1pB2p/8/2PBQPPp/1R3R1K w - -,b1b3
2rr2k1/p1q1bppp/P4n2/R1N1p3/1pP5/4PBP1/4QP1P/B4RK1 b - -,c7a5
rnb1kb1r/ppp1qpp1/3pp2p/4P3/3P4/5N2/PPP2PPP/RN1QKB1R w KQkq -,b1d2
2r5/p2pkp2/1r2pp2/4q3/2B1b2Q/1P2P3/P5PP/2KR3R b - -,e5c3
3rnrk1/1p1n1ppp/p1p1pb2/2Pp1b2/1P1P1BP1/2N4P/1P1NPPB1/R3R1K1 b - -,f5c2
8/8/5r2/1p2k3/1P1p4/3K4/8/5R2 w - -,f1f6
2rQ2bk/2p3r1/p3p1pp/Pp3p2/1P1PP3/2P1RN2/6PP/5RK1 b - -,c8d8
1rb1r1k1/5p1p/p2p1npb/2pP4/2P2P1q/1P2P2P/1B3QB1/R2N1RK1 b - -,h4f2
r1r3k1/pp2ppb1/1qn2np1/3p1b1p/3P4/1QN1BNPP/PP2PPB1/R1R3K1 b - -,c8d8
2rqk1nr/pp2ppbp/2n3p1/1B1pP3/3P2b1/2N2N2/PP3PPP/R1BQ1RK1 b k -,e7e6
r1bqkb1r/p1pp1pp1/2p2n1p/8/4P2B/8/PPP2PPP/RN1QKB1R b KQkq -,g7g5
8/8/8/8/7P/1p2r1K1/1P3R2/2k5 w - -,g3g4
r2q1rk1/pp1n1pp1/2p1pP1p/3pP3/3P2Pb/1NPQ4/PP5P/R1B2RK1 b - -,g7f6
r1bqkb1r/pp3ppp/4pn2/2p5/3P4/3B4/PPP1QPPP/R1B1K1NR w KQkq -,d4c5
2nq4/3n4/3p2pk/pNpPp1p1/N1P1Pp2/1P1K1P1P/6P1/4Q3 w - -,d3e2
3n4/p2P1rk1/1p5p/8/8/6Q1/PP4PP/6K1 b - -,g7f8
r1bq1rk1/1ppnbppp/1n6/p3p3/P3P3/2NBBN2/1PP2PPP/R2Q1RK1 w - -,e3b6
r2b2k1/7p/1pNB4/4pb2/5P2/P1R5/3K3P/8 w - -,c3g3
r2q1rk1/pp1bppbp/2np1np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1R1K w - -,d4b3:f2f4
r3kn1r/1bq3pp/p2bpn2/1pp3N1/4PP2/2N5/PPB3PP/R1BQ1RK1 b kq f3,h7h6:e8c8
6k1/3q1pp1/4p2p/p1nrP3/1p3P2/1P3Q1P/P5PK/1B3R2 w - -,f3e3
8/8/p3r2k/1p2r3/6QP/1P6/P1P5/1K6 w - -,b1b2
r3rbk1/pbqn1ppp/1pp2n2/4p3/2P5/3P1NP1/PBQNPPBP/2R1R1K1 w - -,c2b1
1r3rk1/p4ppp/2ppb3/4p3/2P1P3/Q1PB1P2/P4qPP/R2R3K w - -,a1b1
2kr1b1r/pp3p2/2p1pnpp/q7/PnBPPB2/2N2P2/1P2QP1P/3R1R1K b - -,h8g8
r1b3k1/ppprnpp1/7p/8/2B1N3/4P3/PP3PPP/R2R2K1 w - -,e4c5
8/4Np2/p5p1/6Pn/1P1kP3/3P4/2r2P2/3R1K2 w - -,e7d5
2r3k1/1bqr1ppp/pp2p3/2b5/PnPN4/1PQ2P1P/4NBP1/3R1RK1 w - -,d4c2
8/5nkp/p4rp1/2P5/4B3/8/Pb4PP/1R5K b - -,f7e5
r4rk1/pb2q1pp/nppbp3/3p1p2/2PPnB2/2NN2P1/PP2PPBP/R1QR2K1 w - -,b2b3
r6r/1n2kn1p/2p1bpp1/1p2p3/1P2P3/2N2N1P/1KP1BPP1/R6R b - -,f6f5
2k4r/1pp3bp/p1n2pp1/8/4NP2/2P5/PP3BPP/3R2K1 b - -,h8e8
r4rk1/pp2ppbp/3p1np1/2qP4/8/P1N3Pb/1P1BPP1P/R2QR1KB w - -,d1b3
8/pp5p/2p3r1/3p4/PP1Pp3/4Pn2/4KPkp/3R3R w - -,h1h2
6k1/r3p2p/5pp1/8/r2pRP2/6P1/P2R1P1P/6K1 b - -,a7d7
r1bqr2k/7p/p2p1n2/1p1Pp3/4Ppp1/2NN1P2/PP3QPP/2R2R1K b - -,e8g8
r3k2r/1bpnbp1p/p2qp3/5p2/1p1P4/3NQN2/PPP2PPP/2KR1B1R b kq -,h8g8
r4rk1/3qppbp/2bp1nP1/p7/3BP3/2N2P2/BpPQ2P1/1K1R3R b - -,h7g6
r1b1kb1r/pp1B1pp1/3ppq1p/8/3NP3/2N5/PPP2PPP/R2QK2R b KQkq -,c8d7
5k2/5ppp/4b3/8/P3N3/1n5P/2r2PP1/3R1BK1 b - -,f8e7
R7/4rpkp/5bp1/Bp1B1b2/1P5P/6P1/5P2/6K1 w - -,a5b6
r1bq2k1/1p2brpp/p2pn3/3N4/3BP3/8/PPP1QPPP/2KR3R w - -,d4b6
2r5/4bk2/1R2bp1p/1Q4p1/P2Bq1P1/2P4P/P4P2/K7 b - -,c8a8
2kr4/pp1rqpp1/3bpn1p/2p1B3/2PP3P/5QN1/PP3PP1/1KR4R w - -,e5d6
8/6pp/2n1pk2/1pP5/4KBP1/7P/8/8 w - -,h3h4
6k1/3rq2p/pp3pp1/2p5/2Pr1Q2/3R3P/6P1/3R2K1 w - -,d3d4
4rrk1/Q6p/3pp1pb/8/4Pq2/2P2N1P/PP3BP1/4RK2 b - -,f8f7
q3r2k/1b1n3p/3p1b2/1p1P1pp1/1P3B2/2N2BP1/P4Q1P/2R4K w - -,f4d6
r1bqk2r/p3pnbp/p1p2pp1/3pP3/3P1P2/2N1BN2/PPP3PP/R2Q1RK1 b kq -,e8g8
2kr1bnr/ppqb2p1/2n1p2p/3pP3/2p5/P1P2N2/1PB1QPPP/RNB2RK1 w - -,f1e1
5rk1/5ppp/4p3/3p4/4n3/1r1NPnPB/2R2P1P/3R3K b - -,f8b8
6k1/p3p2p/5PPQ/2qP4/2p5/2P2BrK/8/8 w - -,h3g3
2r1rbk1/2qn1p1p/1p2pnp1/p2pN2P/P2P1P2/1PPQ2N1/3BR1P1/4R1K1 b - -,f8g7
r3k2r/1R1bnpp1/p1n4p/2Bp4/8/PN1B2P1/5PP1/3R2K1 b - -,d7e6
8/8/1ppk2pb/p1p1p2p/2P1P3/1PP3PP/P3K3/4N3 w - -,e1d3
8/5Bp1/7p/6P1/4kn1P/8/3K4/8 b - -,h6h5
5rk1/4pp2/2n3p1/2pR2B1/6P1/2b1P3/r3BP1P/5K1R b - g3,c3b4
2rqk2r/1p3ppp/p1nbpn2/3p3b/N2P1B2/3BPP2/PP2N1PP/R2Q1RK1 w k -,a1c1
1r6/4q1k1/1pRNp2p/p3P1p1/P4n2/3P1Q1P/6P1/7K b - -,e7d7
4k3/8/8/1P3p2/1K1Rp1p1/5r2/1P6/8 b - -,f3d3
r1b2rk1/1p3ppp/p2b2n1/4p1P1/8/1N2BP2/PPP1N2P/2K3RR w - -,h2h4
r1bqr1k1/1pp2pn1/2n2b1Q/p6p/2Pp2pP/1P1P2P1/PBN1BP1N/R4RK1 w - -,f1e1
5rk1/4pr1p/p2p2p1/qp5n/P1P5/1P2QP2/4N1PP/4RRK1 w - b6,a4b5
r5r1/1p3p1k/1pp1b2p/4P2q/3P1Q2/1P3NP1/P4PK1/R4R2 b - -,h5h3
r1bqr1k1/ppp2ppp/2np1n2/6N1/2P5/2PP2P1/P4PBP/R1BQ1RK1 w - -,a1b1
2kr1b1r/ppq2ppb/1np4p/5pPn/8/1BNP1N1P/PPPBQ3/2KR2R1 b - -,h5f4
8/pp6/1b2k3/5p2/3p1B2/PN6/1P6/1K6 w - -,b1c2
2r1r3/p7/1p2p1k1/3p2b1/3B2P1/2P3P1/PP2R1K1/4R3 b - -,c8c6
r3k2r/p1pp3p/b1p2Ppb/3n4/2P2P2/PP6/1B2q1PP/RN2KB1R w KQkq -,f1e2
r3r1k1/pp1nbpp1/n5p1/2q5/3pPP2/P2P2P1/1N4BP/1RBQ1RK1 b - f3,a8b8
5r2/pb5k/5r1p/3pqN2/1Pp1nR2/P3P3/2B1Q1PP/5RK1 w - -,e2g4
2R2bk1/p3pp2/Pp4pp/4N3/1P2P2P/2Nn4/3r1PPK/8 w - -,c8d8
8/1k1b2r1/p4Np1/1pp1n3/4P3/2N2PK1/PPPR4/8 b - -,d7c6
r3r3/pp4pk/3q2p1/3n1pPp/3P3P/2NQ1R2/PP3P2/1K1R4 w - -,c3d5
1rr3k1/2qn1pp1/3bp2p/pp6/2pPQ2B/P1P2N2/1P3PPP/3RR1K1 w - -,h4g3
6k1/2R4N/6p1/4p3/1P6/6PP/r5n1/5K2 w - -,h7f6
5r2/6k1/pp1p3p/3PbP2/Pp1QP3/1P6/8/5K2 w - -,d4b6
r1b2rk1/1p1p1ppp/1qn1p3/p7/PbP5/1N2P3/1P1NBPPP/1R1Q1RK1 b - -,f8d8
3rr1k1/1bq2p1p/pn2p1p1/1p1nN3/5PQ1/1BP5/PP4PP/2B1RR1K b - -,f7f5
r1bq1rk1/1p2bppp/2np1n2/pB2p3/4P3/1NN2P2/PPP3PP/R1BQ1R1K b - -,c8e6
8/8/4k2K/4q3/8/3Q2p1/8/8 w - -,d3b3
q4rk1/4ppbp/r1p3p1/2PpNb2/3P1n2/2N1P3/3Q1PPP/2R2RK1 w - -,e3f4
2r2rk1/5p1p/4pqp1/8/5P2/3Q2P1/R1P3KP/R7 w - -,c2c4
rnbqkb1r/pp3ppp/4pn2/8/2Bp4/4PN2/PP3PPP/RNBQ1RK1 w kq -,e3d4
2k2b1r/1p1q3p/p4pp1/2p5/2Q5/4B3/PPP2PPP/2K4R b - -,b7b5
r1bqkb1r/ppp1pppp/2n5/2npP3/5P2/2NP4/PPP3PP/R1BQKBNR w KQkq -,h2h3
r5r1/5pq1/4p3/4k1p1/1Q1p3P/5P2/PP3K2/R7 w - -,b4c5
r4rk1/3n1p1p/2pp2p1/8/pqPQ1P2/2N5/PP4PP/3R1RK1 w - -,c3e4
7k/pp2r1p1/4Brb1/2PQ2Np/1P1p3P/P5q1/6P1/2BR3K b - -,g3h4
r1bb2k1/pp3p2/4pp1p/1N6/2P5/6P1/PP3PBP/3R2K1 b - -,d8e7
rnbq1rk1/1p2ppbp/2p2np1/pP1p4/2PP4/4PN2/P2NBPPP/R1BQK2R b KQ -,c8e6:c6c5
3r2k1/1pq2ppp/pn3n2/2p2P2/P7/1BN3PP/1PQ2P2/4R2K b - a3,c5c4
3k3r/2pnp3/p1Q4p/1rp1p1p1/4Nq2/3P2R1/1P2PP1P/3RK3 w - -,c6a6
rn1qk2r/pp2ppbp/3p1np1/2pP4/2P1P1b1/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3:f1e2
1k1r4/2R1N2p/1P1p2pb/1P6/2P1pr1P/3K4/8/R7 w - -,d3e2
r1bqr1k1/1p1nbppp/p1p2n2/3p2B1/3P4/2NBPN2/PPQ2PPP/1R3RK1 b - -,d7f8:d8c7
r3k2r/1ppq2pp/1p1p1n2/4p3/2Q1P3/2P5/PP3PPP/R1B2RK1 b kq -,a8a4
N1b2rk1/pp2qppp/2n1p3/2ppn3/7P/2P2N2/PP3PP1/R2QKB1R w KQ -,f3e5
r1bq1rk1/pp3pb1/n2p2pp/3Pp3/4Pn2/2N1B2P/PP3PPN/R2QKB1R b KQ -,c8d7
r1b1rnk1/pp2q1bp/2pn1pp1/5PP1/1PP1P2P/2N1N3/P2QB3/3R1RK1 w - -,d2d6
2r5/1p3pp1/pn1bk2p/r2p4/3P4/P3P1P1/NP3P1P/1KR2B1R b - -,c8c1
6k1/1pq3p1/4P3/p1r1p3/P3Q3/2b2PR1/1P5P/1K6 w - -,e4g6
1r3rk1/pq1n1pp1/b6p/P1pp1N2/8/Q5P1/1P2PPBP/R1R3K1 b - -,b7b2
7k/6pp/1p6/p1p5/2P3P1/PP3B2/3p1K2/1r1N4 w - -,a3a4
r6r/pp1n1kp1/2p1Rn2/3p1Q2/NP4qb/2P3N1/P4B1P/5RK1 w - -,f2c5
r2q1r2/1p2n3/3pb1kb/pP1Np1pp/P1PpP3/3P1pP1/2RQ1P2/1RB3KB b - -,e7g8
8/8/3B1n2/5k1p/p7/2pK4/7P/8 w - -,d6a3
5rk1/3npp1p/q5pb/P7/3P4/4N1P1/3Q1B1P/2R3K1 w - -,c1c7
1RB5/4p1kp/2r1Pnp1/3p1p2/1p6/1P2PPP1/1P5P/6K1 b - -,g6g5
5rk1/1p6/pN2b3/PN2ppq1/1P1p1nPn/3P1P2/5R1P/R3QB1K b - -,f5g4
2knr2r/pppqn1pp/5p2/1PPp4/6b1/2PB1N2/P4PPP/R1BQR1K1 b - -,e7g6
8/4k3/8/6K1/5R1P/8/8/7r b - -,h1g1
r1bqk2r/ppp1npb1/2np4/3N4/4Pp1p/2PB4/PP4PP/RN1QBRK1 w kq -,d5f4
2kr4/1p1n1p2/p2p1nr1/2pP1Q2/1q4P1/2N4P/PPP5/2KR1B1R w - -,a2a3
r2qr1k1/5pp1/7p/pQ1pP3/6n1/2bnPNB1/P4PPP/2R2RK1 w - -,c1c3
rnbqkb1r/pp2pppp/2p2n2/8/2Pp4/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1g1
r1r3k1/1p1q1ppp/4pb2/p1Pp4/3P1B2/2R2Q2/PP3PPP/4R1K1 w - -,f4e5
q5k1/2pbrppp/3p2n1/rB1P4/P1PB4/7P/3Q1PP1/R4RK1 w - -,d4c3
8/8/3N2kp/2bP1p2/8/2pK1P1P/6P1/8 w - -,d6b5
1r4k1/prpq1ppp/2R5/3P4/8/P3P3/7P/3Q1RK1 b - -,b7b1
5N2/4n3/6p1/p2pk3/Pp4p1/1P2K2P/8/8 w - -,h3g4
2rqr1k1/1b3ppp/pp3n2/2npb3/7N/1PN1P1P1/PB2QPBP/2RR2K1 w - -,h4f3
2b1r1k1/2n2p1p/1b1p2p1/1p1P2N1/1P2Pp2/R1NB3P/5PP1/6K1 b - -,c8d7
6r1/p1qr4/1p1p1knQ/2pR1p1B/2P1p3/1P5P/P4PP1/3R2K1 w - -,h3h4
1R2b3/2r1k1p1/6P1/3BP2p/2pP4/2P5/6PK/8 b - -,e8g6
1r3nk1/2p1qrp1/4p2p/3pP2P/2bP1N2/1p2Q1P1/1R3P2/1BR3K1 b - -,b8b6
8/3b1k2/p1pP4/1pP1p1R1/1P3P2/P6r/5B2/6K1 b - -,e5f4
1r1qnrk1/p2bppbp/1p1p2p1/2pP4/PnB1PP2/2N3NP/1PP3P1/R1BQ1RK1 w - -,d1e2
r1bqkbnr/ppp2pp1/2np3p/8/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c8d7
r2qkb1r/1p2n1pp/p3Q3/2B5/8/3P4/1P3PPP/2R1R1K1 b kq -,a6a5
r2q1rk1/1p3pbp/n1p1p1p1/p2nP3/P2P4/2P2QPP/3N1PB1/R1B1R1K1 b - -,c6c5
r2q1rn1/pppn1pbk/3p2p1/3Pp2p/1PP1P3/4B1PP/P2QNPB1/R4RK1 b - b3,g7h6
1r3kr1/p2qpp2/n2p4/2pP1P1p/2P1R3/2B1Q1PP/P3R3/6K1 b - -,d7f5
1r1q2k1/4rpb1/1pn1b1pp/pNpnp3/P1N5/2PP2P1/1P2QPBP/R1BR2K1 b - -,d8d7
1b6/1p6/p1b1p1k1/N7/1P2pN2/7P/2P5/7K b - -,g6f5
r5k1/1pp1qrbp/3p1np1/p1nPp3/2P1PpB1/1P5P/PB3PPN/3QRRK1 b - -,h7h5
4r1k1/2rn2Bp/p4p2/1pq1pP2/4b3/P2P2RQ/1P2p1PP/4R1K1 w - -,g1h1
8/8/4pk2/N4p2/1p1b1K2/1P5P/8/8 b - -,e6e5
8/5k2/pp1p1b1p/4ppp1/PN6/2r4P/3n1PPB/3R1K2 w - -,d1d2
r6k/2r4p/p2ppbn1/1b2q3/1p2P1Q1/6R1/PPPNB2P/1K1N2R1 w - -,d2f1
8/1r3pkp/Np3np1/pP1P4/2R2P2/P7/6PP/6K1 b - -,f6d5
4r1k1/4r1bp/p1q1Ppp1/1pNb1p2/3B4/P1P3Q1/1P2R1PP/3R3K w - -,d1e1
R7/5k1p/3p4/1p3p2/1r6/5KBP/5P2/3n4 w - -,g3d6
r1b4r/1pq1kpp1/n1pNp2p/p1P1P3/1b1P4/3BnNB1/PP2Q1PP/R4RK1 b - -,e3f1
7k/1q3p2/p2N2pp/1b1pP3/1P2r3/R1P3QP/6PK/8 b - -,b7a7
4nk2/3b2p1/pp1p3p/2pP4/2P2KPP/P1N5/1P2B3/8 b - -,e8c7
8/5kpp/p4p2/R7/N1b2P2/1r6/1P3K1P/8 b - -,c4b5
r2q1rk1/4bpp1/p1bp1n1p/1p2p3/4P1P1/P1N1BB2/1PP2P1P/3QRRK1 w - -,c3d5
rnbq1rk1/pp2ppbp/2p2np1/8/2Q5/2N2NP1/PP1PPPBP/R1B2RK1 b - -,b8a6
