3k4/8/3Bn3/b3Pp2/P1K5/8/6B1/8 b - -,e6f4
r1bq1r2/pp2ppkp/2n3p1/2pn4/8/1P1PPN2/P3BPPP/RN1QK2R w KQ -,e1g1
3r2k1/p2r1p1p/1p1Bb1p1/7n/P1pRP1P1/2P2P2/7P/3R1B1K b - g3,h5g7
r1r3k1/p1B2pbp/1n2bp2/3p1p2/3P4/3B1N2/PPP3PP/2KR1R2 w - -,c7d6
r1bqkbnr/3p1ppp/p1p1p3/4P3/3Q1P2/2N5/PPP3PP/R1B1KB1R b KQkq -,a8b8
8/3k4/p7/1p1p4/1P6/P3K1R1/7r/8 w - -,e3d4
8/2pb4/1p1p1pp1/pP1P2k1/2P1P3/P2nN1K1/4B3/8 b - -,d3e5
2r1r1k1/5pp1/2q3np/1p1pb3/6Q1/1PNR2P1/PB3P1P/3R3K w - -,g4f3
4r1k1/3prppp/bp1p1q2/2nP4/p3PP2/P1R3P1/1P1Q2BP/1N2R1K1 w - -,c3e3
1br3k1/p4p2/R1N3pp/1Prp4/5P1q/1QnBP2P/6P1/4R1K1 w - -,a6a1
8/1p6/p1b3p1/4k3/3Rn2p/4K2P/6P1/8 b - -,e4d6
r1bq1rk1/pp2b1pp/6n1/2pp1p2/8/2PP2BP/PP1N1PP1/R2QRBK1 w - f6,g3e5
rnb1qrk1/1pp2pb1/p2p1np1/3Pp1Bp/2P1P2P/2N3N1/PP3PP1/R2QKB1R w KQ -,f1e2
r4r1k/pp4b1/3N2pp/3p3q/2Pn1B1P/6P1/PP2bP2/R1Q1RK2 w - -,f1g1
r3r1k1/pbp1qp1p/1p4p1/4P3/4PQ2/2P3P1/P4PBP/1R1R2K1 b - -,e7e5
1r4k1/5ppp/4p3/pb6/4N3/5P2/Pq2nQPP/1B2R1K1 w - -,g1h1
rr6/1p1n2k1/2pR1n2/p1P1p2q/P3PpN1/1P3N1P/2Q2PP1/4R1K1 w - -,e1d1
6k1/1b1qp3/pQ1p1ppp/3P4/4P1P1/5P2/P5PK/4B3 w - -,e1d2
r3rb1k/5p2/2p1p1pp/pn2P3/2NP1P2/P2B2P1/4K1P1/2RR4 w - -,d3e4
2r2rk1/pp2ppbp/2n3p1/2q1P1N1/3pQPP1/3Bn3/PPPB3P/R4RK1 w - -,d2e3
3rr1k1/pppb1p1p/3p2p1/3P4/3b3q/3BBQ1P/PP2R1P1/3R1NK1 b - -,d4e5
rn3rk1/2qbppbp/1p1p1np1/p7/P2PP2N/1P6/1B1NBPPP/R2Q1RK1 b - -,b8c6
8/1b4kp/1p1R4/nP1p1p2/3P3P/4PPP1/3rB3/5K2 w - -,d6b6
r1bqr3/1p1n2bk/2n3pp/4pp2/p1Pp1P2/P2P1NP1/1P3NBP/1RBQR1K1 w - -,b2b4
4n3/8/4k3/1p4p1/2p2b2/2P1B3/1PBK1P2/8 w - -,e3f4
2k3rr/pp1qbp2/3p1n2/4pNpp/1PPpP3/3P2PP/P4PB1/R2Q1RK1 b - -,c8b8
4r3/1pR2k1P/4p3/p3K3/P7/8/1P6/8 b - -,f7g6
6k1/2p2qbp/1pnpr1p1/p2N4/P1P2P2/1P6/3Q1BPP/3R1K2 b - -,g8f8
3rr3/pp3pk1/1np2p1p/5q2/1b2N3/5B1P/PP3PP1/2QR1RK1 w - -,e4g3
1rq2rk1/3b1p1p/1nnP2p1/4p3/1pP5/pP2Q1P1/P2NN1BP/1R3RK1 w - -,c4c5
rn1qkb1r/5ppp/2p1pn2/1p1pNb2/3P4/1QN1P3/PP3PPP/R1B1KB1R w KQkq -,f2f3
8/8/8/2b1ppRP/5k2/8/6K1/8 w - -,h5h6
4r3/8/5kp1/3K1p2/p6P/R7/8/8 b - -,e8e5
r4r2/p3p1k1/2p1bpP1/2p3q1/1p2P3/1P1PNR2/P1P2Q2/1K3R2 b - -,g5e5
r1b2r1k/Bpp3p1/2n3qp/PQ2pp2/2B1N3/2PP4/5PPP/R4RK1 b - -,f5e4
r4k1r/2q1npp1/2n1p2p/pp1pP2P/b1pP1N2/P1P3PB/2PB1P2/R2QK2R b KQ -,c7d7
4r1k1/pp1r1pp1/1b3q2/3b4/8/P2R2Pp/1P1Q1P1P/2R3KB w - -,d3d5
r2q1rk1/pb1nbpp1/3n3p/2pp4/8/1PNBPP2/PBQN2PP/R4RK1 w - -,e3e4
8/5pp1/p2bk2p/rp1p4/2nP4/P3P1P1/NPK2P1P/5B1R b - -,a5a4
2q2k1r/pp2bpp1/4pn1p/4QN1P/8/2B5/PPP2PP1/2KR4 w - -,f5e7
3rn1rk/1p2q1pp/p1p1p3/4Pp2/1PP1pP2/P3P2P/1B1R2P1/2R1Q1K1 b - -,e8c7
r3k3/1p1rq3/2p4p/p2n1pp1/5P1P/4p1P1/PP2P1B1/R1Q2RK1 b q -,g5h4
5k2/1qp2np1/p1nppb1p/4p2P/P1N1P1N1/B1PP2P1/Q4PK1/8 b - -,f6g5
3r1rk1/1b3ppp/pn1pp3/q1p5/2pNPP1P/1P1PN1P1/P4RB1/2RQ2K1 b - -,c5d4
1r2br2/4npk1/4p1p1/7p/1p1P4/3NPPP1/4B1P1/R1R3K1 w - -,e3e4
rn1q1rk1/2p1npbp/pp1pp1p1/4P3/P1BP1P2/2N1BQ2/1PP3PP/R4RK1 b - -,d6d5
2Q1r1k1/p4p2/1pn3p1/2p1P1B1/8/P7/1P3PPP/3R2K1 b - -,e8c8
6k1/5p1p/4PQp1/8/8/P1p3PP/5PK1/q7 b - -,f7e6
r1br4/pp4k1/2n3p1/3qPp2/8/2PB2B1/P3QP1R/2R1K3 w - -,e2e3
k1r5/R7/2n4p/3QbPp1/2PpP3/3P4/7P/7K b - -,a8a7
8/7R/3r4/4pp2/P1P5/5kPK/8/8 b - -,e5e4
r5k1/1N1R1pp1/4p3/1p4p1/1Pb1P3/7P/5PP1/6K1 b - -,a8a1
r1bqkb1r/pp1n1ppp/4pn2/2pp4/3P4/2NBPN2/PPP2PPP/R1BQK2R w KQkq c6,e1g1
r1b3k1/pp3p1p/3qp1p1/3p4/8/4PN1P/PQ2BPP1/5RK1 b - -,b7b6
8/p2R4/1pn2rpp/2p5/2P3kP/PPK2N2/8/8 w - -,f3d2
r1r1n1k1/1p1b1p1p/3p2p1/qN6/3BP3/pP3P2/Pb1QBKPP/3R1R2 w - -,d2a5
7r/p1rk3p/4p1p1/3p1p2/N2Pn3/4P3/P4PPP/RR4K1 w - -,f2f3
6k1/2q2pp1/1r1p3p/4p3/n1P1N3/1R4P1/4PP1P/1Q4K1 w - -,b3b5
1r4k1/7p/3Nn3/5p2/2R5/3pr2P/1P4P1/3R1K2 w - -,d6f5
r2q1rk1/pp2nppp/4p3/1b1p4/3PN3/P4Q2/1PP1NPPP/R4RK1 w - -,e4d2
8/8/1P6/3n1p2/6p1/N2k2Pp/5K1P/8 b - -,d5b6
3rr3/p4kpp/1pp2p2/8/3P1P1P/P1P1R3/5P1K/R7 w - -,a1e1
3r2k1/5pp1/4p2p/1pb5/q1nN1P2/PR1QP2P/1B4PK/8 w - -,b2c1
r1b2b1r/pp1k1qpp/2np1p2/2p5/2B1P3/5N2/PPP2PPP/R1B1K2R w KQ -,c4f7
2krrb2/1b1n3p/pqp2pp1/1p2p3/3PP3/1NPBQNP1/PP5P/1K1RR3 b - -,a6a5
4r1k1/1b3Pp1/pp6/8/3N1n2/2P2P2/1PB5/3R2K1 b - -,g8f7
3rr3/pp2p2k/5ppb/2pP1P2/2P1Q2P/4p1P1/P5K1/5R2 b - h3,d8d6
r1bq1rk1/p2n2bp/1pn1pPp1/2pp4/3P4/2P2NP1/PP1N1PBP/R1BQR1K1 b - -,d8f6
3k3r/pp2bp2/2n1p1p1/5p2/4NP2/PBP4P/1P4P1/2K2R2 w - -,e4g3
8/7p/p2p1r1k/1p1P2pP/1P6/3P1PK1/P4P2/2R5 b - -,f6f5
2kr2r1/1ppqbp2/p1B3p1/4B2p/7P/1PQ3P1/P1P2P2/1K2R1R1 b - -,d7c6
1kn3R1/1p3p2/2p1b3/p4rp1/P1P1R2p/1P3PqP/3Q2P1/7K b - -,g3c7
2N5/1p6/p5pk/P7/8/5PP1/5Kb1/8 b - -,g2h3
3r2k1/pp3ppp/3P2n1/2p1RqP1/8/2P3Q1/P2R3N/6K1 b - -,g6e5
8/5p1p/5k2/8/3R4/3PK1PP/3r4/8 b - -,d2d1
8/1p3k2/2p1n2p/2Pp1bp1/BP3p2/5P1P/5KP1/4R3 b - b3,f7f6
2R5/8/8/6k1/5r2/5Kp1/2B5/8 w - -,f3g3
r1bq1rk1/pp4pp/2pbpn2/3n1p2/2NP4/1Q3NP1/PP2PPBP/R1B2RK1 b - -,d6c7
rn1q1rk1/ppp1ppbp/4bnp1/3P4/2Q1P3/2N5/PP2BPPP/R1B1K1NR b KQ -,e6c8
r1b1r1k1/1pq3bp/p4p1B/4pB2/P7/6Q1/1PP3PP/R4R1K b - -,c8f5
2r5/5kp1/p4n1p/1p1p4/3N2PP/P4P2/1P1R1K2/8 b - -,g7g6
r2qk2r/4bppp/p1nppn2/1pp5/4P1b1/2PP1N1P/PPBN1PP1/R1BQR1K1 b kq -,g4h5
8/4k3/1p3b2/p2P4/8/PK5p/7R/8 b - -,b6b5
3r1rk1/2q2pp1/p2N3p/1p2P3/2p1BP2/6P1/PP3PK1/1Qn5 w - -,b1c1
8/6kp/2q3p1/1p2p3/p5nP/P1P2RP1/4R1K1/6N1 b - -,h7h5
7k/1qr2pp1/p3p2p/1b1pP3/1P1NnP2/R1P1Q2P/2B3PK/8 w - -,f4f5
1rq2rk1/2nbQpb1/pp1p2p1/2pP3p/P1P2P2/1RN3PP/1P1B2BK/4R3 b - -,c7e8
2r5/pp2nRpk/4P2p/4bNn1/8/8/PPP1K3/8 w - -,f7e7
r1b3rk/4p1b1/1p1q1n1p/pPpP1P2/2P2p2/P1N4B/1BQ4P/4RR1K b - -,c8d7
8/8/5k2/R7/3N1K2/8/8/5r2 w - -,d4f3
7r/pp3p2/1b2k1p1/3pPp2/3P1P2/1r6/2R4P/R5BK w - -,a1c1
2rrn1k1/pq3ppp/1p2p3/2pPQ1P1/2P2B2/1P1R4/P4P1P/R5K1 b - -,e6d5
r4rk1/p1q1ppbp/2Nnb1p1/8/2PB4/1Q2P1P1/P2N1P1P/R4RK1 w - -,d4g7
r2r4/ppqn2pk/2p1np1p/P3pN1b/4P3/1N2Q1PP/1PP2PB1/R1R3K1 w - -,g2f1
r2q1rk1/4bppp/bnn1p3/p1ppP3/1pP2B1P/3P1NP1/PP2QPB1/RN2R1K1 w - -,b2b3
8/8/1R3k2/2P2b1p/2K5/8/8/3r4 b - -,f6g5
1r6/5rk1/1pnPq1pp/2p1p3/4N3/1P4P1/3Q1P1P/2RR2K1 w - -,d2d5
1k1r4/2pq1p2/1p2p3/p1p1Pr1p/P4Pp1/1P1P2Q1/2P3PP/4RRK1 w - -,e1e4
r2nn1k1/p2R1ppp/1p2p3/8/2b5/BN6/P1P2PPP/5RK1 w - -,f1d1
r1b1r1k1/1p1n1pbp/p1p1pnp1/q2p4/P1PPP3/1PN2NP1/1BQ2PBP/R4RK1 b - e3,d5e4
2r4r/pp1bk2p/1q2pp1Q/3p1n2/1P1P4/P2BP3/6PP/R2N1RK1 w - -,d3f5
6k1/5pp1/p2p2p1/1p1P4/8/1PP2PP1/P2Q2KP/1q6 b - -,a6a5
3r2k1/pbp1qrpp/1p3n2/3P4/2P1pP2/P3P1R1/1BQ1B2P/2K3R1 w - -,c2c3
8/6k1/1R3p2/5P2/r5P1/6K1/8/8 b - -,a4a3
1R2n1k1/6bp/2p1ppp1/4P3/4NP2/4p3/6PP/6K1 w - -,b8e8
r2qkb1r/8/p1p1b1np/1P1pPp2/3P1Pp1/1Q1N4/1P4PP/RNB1K2R b KQkq -,a6b5
r1bk3r/p3pp1p/2p1n1p1/4R3/2P5/2N1B3/PP3PPP/R5K1 b - -,d8c7
r1b1r1k1/pp1n1pp1/2p2q2/1P1p2p1/3P4/3BPN1P/P1Q2PP1/R4RK1 b - -,c6b5
1r3rk1/5pp1/p1nqp1p1/1p1p3n/3P2P1/2PB1P2/PPNQ3P/1K1R3R b - -,h5f4
8/N4p2/6pp/p1k1K3/5P2/6P1/b6P/8 w - -,a7c8
8/8/6k1/1R3pP1/1P4r1/2K5/8/8 w - f6,g5f6
4r1k1/Q1p2pP1/3p2rp/2BP4/2P1p3/P4P1q/1P2P2P/R2K3R b - -,d6c5
r1b2rk1/1pp2ppp/p4n2/3n1q2/2Q1p3/N5PP/PP1BPPB1/R4RK1 w - -,a3c2
rn1qkb1r/pb3ppp/1p1ppn2/8/3NP3/1P6/PBPNQPPP/R3KB1R b KQkq -,f8e7
r4rk1/1pp3qp/2n1b3/5p2/p1P1p1p1/1P2P1P1/PQ1R1P1P/3RNBK1 w - -,e1g2
2rqr1k1/1b1n1pbp/3p2p1/1p2p3/2pP1B2/2P1PN1P/1P1QBPP1/R3R1K1 w - e6,f4g3
r3rn2/ppb3P1/2p1bB1k/3p4/8/1P1BPN2/P1P3R1/4R1K1 w - -,g1f2
2r1r1k1/2q2p1p/bp2p1p1/p7/P1PQ4/1P4P1/5PBP/3RR1K1 w - -,d4d7
2r5/5r1k/Rp1n2p1/1Pbp1p2/4p3/4P1P1/5P2/B2R1BK1 w - -,d1d5
5r1k/5p1p/1nNr2bp/1B1p4/1P6/P1R3PP/7K/3R4 w - -,a3a4
1q5k/6pp/2rbb3/1p2p3/pP2P3/P3NQ1P/1B4P1/3R2K1 w - -,e3f5
rn1q1rk1/pb1p1ppp/4pn2/2p5/4PP2/2PB4/P1PN2PP/R1BQ1RK1 b - f3,c5c4
8/3r1k2/R2P2p1/2p1B1bp/4K3/7P/1P4P1/8 w - -,e4d5
2r3k1/p1r2pp1/q3pn1p/Pp6/1Bn3P1/2P4P/4QPB1/1R1R2K1 w - b6,a5b6
b1rr1qk1/p2n1pbp/1p2p1p1/2p5/2PP4/PP3NP1/1BQ2PBP/3RR1K1 w - -,e1e2
r2r2k1/1p3ppp/4p1b1/2n1N3/p7/P3P3/BP3PPP/3R1RK1 w - -,e5g6
2r3k1/1q1rbppp/1p1pp3/p1n5/2P1PN2/4BPP1/PPQ4P/2RR2K1 w - -,c2e2
8/5ppp/8/2k1P3/8/P3K1Pn/5P2/1N6 b - -,h3g5
8/5k2/5bp1/4K3/5P2/8/R7/8 w - -,e5e4
2r2rk1/1b2bppp/1p2pn2/1Np5/2P5/PQ2P3/1B1qBPPP/2R2RK1 w - -,b5c3
4r1k1/3B2pp/1Nb2p2/4p3/3p4/2nP1PP1/4P2P/2R2K2 b - -,c6d7
8/8/R1p3k1/6p1/Pp3pP1/5K2/2P2P2/4r3 b - -,e1a1
2rbr2k/1p1b1ppp/p2p1n2/P4P2/3N4/1qNPB1QP/RP4P1/5R1K b - -,b3b4
1r1q1rk1/1pp2pp1/p1b1p2p/3nP3/4N3/PP1P2P1/2P1Q1BP/2b1RRK1 w - -,e1c1
2r1r1k1/pp3pb1/4b1pp/2pN4/2P1P3/5P2/PP1B1P2/2R1R1K1 b - -,f7f6
4r3/8/1q1pr1k1/1p1R1p1p/p4PpP/PP1Q2P1/6BK/8 b - -,e6f6
r3k2r/1bpnqpb1/p2ppnp1/1p3PNp/3PP2P/P1N1B3/1PPQ2P1/2KR1B1R b kq -,g6f5
rr4k1/4pp1p/bq1p2p1/2pP4/8/1Pb1P1P1/P4P1P/R1QR1BK1 w - -,c1c3
6k1/p1pn1ppp/7r/P2P4/8/4PP2/Pr2BK1P/3R3R w - -,d1c1
1r2k2r/pbppnpbp/1q4p1/2p1P3/1PP5/P2B1N2/2Q2PPP/R1BKR3 w k -,c1e3
rnbqkb1r/pp1ppppp/5n2/8/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq -,e4e5
r1br2k1/1p2q1bn/p1p3pp/2Ppnp2/N7/4PN1P/PP1QBPPB/3RR1K1 b - -,h7g5
8/8/5R1P/3Pp3/2P4r/1p2k3/8/6K1 w - -,d5d6
5r1k/5p2/5Pp1/r3P2p/4N3/1p6/1B1R3P/1K6 b - -,a5a4
r5k1/p5p1/bqp1p2p/3nn3/1b2N3/1Pp3P1/2Q2PBP/R1BR2K1 w - -,c1a3
8/8/1r3k2/R3pp2/8/5P2/5K2/8 b - -,f6e6
r2q2k1/pb1p3p/1p2p3/1Np5/2PbnP2/1Q4P1/PP3P1P/R2R2K1 b - -,d4f2
4b2k/1p5p/p4p2/2p2n2/8/8/PN3PPP/3B2K1 w - c6,d1g4
1rbq1rk1/1pp1ppbp/p1np1np1/8/2PP4/2N2NPP/PPQ1PPB1/R1B2RK1 b - -,c8d7
rnbqk2r/ppp1ppbp/1n1p2p1/4P3/2PP1P2/7P/PP4P1/RNBQKBNR w KQkq -,g1f3
4B3/8/8/p4p2/3n1P2/2k1K3/8/8 b - -,d4b3
8/8/8/8/4n1p1/5pk1/1R6/5K2 b - -,g3f4
r7/7p/P5p1/PR1kppP1/7P/4PK2/8/8 b - -,d5e6
2rq1rk1/1p1bppbp/p2p1np1/n7/3PP3/2N1BN1P/PP3PP1/R2QRBK1 w - -,f3d2
8/5kb1/6pp/2p3p1/2Pp4/3K3P/P4PP1/1r1N1R2 b - -,b1a1
5bk1/3R1p1p/p1q3p1/4p1P1/1p3N1P/1P3P1B/P1P2B2/1K6 b - -,e5f4
5r1k/7p/3p1r2/3P1B2/1PPQ3b/K4p1P/P3pn2/8 w - -,d4h4
3r2k1/4qp2/2b3p1/r1pp3p/p7/2R1P1P1/PP2QPBP/5RK1 w - -,f1c1
1k6/R4N2/2p3p1/2P2p2/7P/3n1P2/3r4/5K2 w - -,a7e7
r2qk2r/pbpnbppp/1p2pn2/8/Q1pP4/2N2NP1/PP2PPBP/R1B2RK1 w kq -,f3e5
k7/5r2/4pPP1/2N4P/8/1p6/1p3PK1/8 w - -,g6f7
8/1p4k1/1r2bp2/p1b1n3/2PpPp2/PP1B1Pq1/R1K1Q3/R3NN1r b - -,g3g5
r4rk1/1pp2pp1/2nqb2p/2b1p2n/p1B1P3/2P2NB1/PP1NQPPP/R3K2R w KQ -,c4b5
