2bn4/4k3/1P6/2NBP1pp/1K6/6P1/8/8 w - g6,b4c3
3r1nk1/7p/1p2p1p1/p7/2Pq4/1P1B3P/P3Q1P1/5R1K w - -,d3e4
1r1q1rk1/pp1bbppp/3p1n2/2p1n3/P1P5/1PN1N1P1/4PPBP/R1BQ1RK1 b - a3,d7c6
4b3/2p5/3k1p2/p1p2B1p/1p2PP1P/P1P5/1P1K4/8 b - -,e8f7
2rq1rk1/p2n1ppp/3bpn2/1B6/3p4/P1N1PP2/1PQ2P1P/R1BR2K1 w - -,d1d4
r1bqkbnr/pp1p1ppp/4p3/1N2n3/2P5/2N5/PP3PPP/R1BQKB1R b KQkq -,a7a6
4kn2/3n1NR1/2r1p3/8/3P1N2/8/8/3K4 w - -,f4h5
r3kb1r/pp2pppp/1qn5/2pp1b2/3Pn2B/2P1PN2/PP3PPP/RNQ1KB1R w KQkq -,f1e2
8/5k2/1n1bn3/1Pp2pp1/2Pp4/BN1N3P/4PK2/8 b - -,d6e7
r3k2r/1p1n1pp1/p1pqpn2/3P2p1/3P2P1/1PN1P2P/P3QPB1/R4RK1 b kq -,c6d5
8/1r2k2p/3p1Rp1/pP2p1P1/P1p1P2P/2P1K3/8/8 b - h3,b7d7
6r1/5pR1/4pP2/1pkbP2P/p3p3/P1P1K3/1P6/3R4 b - -,g8h8
8/p1k4p/4p1p1/2r1PpP1/1Rp4P/2K1P3/P7/8 w - -,b4c4
r1q3k1/1b2p1bp/3p2p1/4r3/2P5/NQ3P2/PP4PP/1R1R1BK1 b - -,c8c5
rn1q1rk1/pp2bppp/2p2n2/3pN3/3P4/2N1BQ2/PPP2PPP/R4RK1 b - -,b8d7
rnbq1rk1/ppp2pp1/3pp2p/8/2PPn1P1/P4N2/1PQ1PP1P/R1B1KB1R b KQ -,f7f5
8/1p1r2kp/2p1p1p1/p3N3/P3P3/3R1P1P/1r2n1PK/8 w - -,d3d7
r4rk1/1p2qppp/1pppbnn1/3Pp3/4P3/1BP2N1P/PP3PP1/R1BQR1K1 b - -,c6d5
1k1r3r/pb3p2/4pb2/2p2p2/8/2PB2P1/PP1N1P2/1K1RR3 w - -,d2b3
1rb2rk1/1pb2ppp/4p3/5n2/PPP2P2/5Q2/6PP/R4RK1 b - a3,b7b6
r4rk1/ppq2pp1/2pb1n1p/3p4/2PN2b1/1P1BP2P/PBQ2PP1/1R3RK1 b - -,g4d7
8/8/PR4pk/4Kp1p/7P/6r1/8/8 w - -,e5f6
rnbqkb1r/ppp1nppp/4p3/3p4/3PP3/5N2/PPPN1PPP/R1BQKB1R b KQkq -,b8d7:b7b6
7R/4kr2/p7/7r/2P5/1K4p1/1P6/8 w - -,h8h5
q4rk1/3nbppp/2bpp3/8/3P4/3Q1NP1/1P3PBP/2B1R1K1 b - -,f8b8
6rk/7p/1pq2p2/p2R1P2/2PP1b2/5Q2/1r5P/4R1BK b - -,c6c7
r1bq3r/6bk/1pp1nppp/2p5/pP6/P2PBN1P/2PN1PP1/1R1QR1K1 b - b3,c5b4
8/7p/p4k2/1p2pp2/1P2P3/P4PbP/3BK3/8 b - -,f5e4
r4Q2/1p1Nk3/p6p/2pb2p1/5RP1/2P5/PP2K3/8 b - -,a8f8
rnb1k1nr/p1pqbppp/1p2p3/3pP3/3P4/P7/1PP1NPPP/R1BQKBNR w KQkq -,e2f4
rnbqk2r/1p2b1pp/2pp1n2/p4p2/2PPpN1P/2N5/PP2PPP1/R1BQKB1R w KQkq a6,e2e3
8/5ppk/2Q5/p2p4/P2P2Pq/2P5/6P1/6K1 b - -,h4e1
5k2/1p3p2/2bp3p/2n1pB2/2P1P2P/P3K3/6P1/2R5 b - -,f8g7
r4rk1/pp1n1npp/2p4q/3p1Q1b/3P1N1P/NP2PPP1/P5B1/3R1RK1 b - -,d7f6
8/5pk1/1p4pp/p2Bp3/P1Nb2P1/1P1Q4/5PKP/q7 b - -,a1e1
r2r2k1/Nb3ppp/pn2p3/8/PP1N3b/2P1P3/4B1qP/R1K2Q1R w - -,f1g2
2kr3r/2p2p2/p1Pp3b/3Np3/P1p1P1p1/5PN1/1PP4P/5RK1 w - -,f3g4
7K/4r3/1P2knQ1/4p2p/7P/5PP1/8/8 b - -,e7d7
r3kb1r/1p3ppp/p2qbn2/2p1p3/P1Bn4/BPNP1P2/2P1N1PP/R2Q1RK1 w kq c6,e2g3
6k1/5pbp/p5p1/1p1bp3/3nN3/1P2KPPB/P6P/2B5 w - -,g3g4
r1b1k1nr/pp1n1pbp/1q1pp1p1/2p5/2BPPB2/1QP2N2/PP3PPP/RN3RK1 b kq -,b6b3
4q3/1b1r2bk/p1nN2pp/P1B1pp2/4P2Q/1N3P2/2P3PP/3R2K1 b - -,e8e6
8/2k5/8/R7/P1P1N1b1/1p6/2r5/5K2 w - -,a5b5
r2qk2r/1ppnbppp/n7/p2Pp3/2P1P3/P1N2N2/1P2Q1PP/1RB2RK1 b kq -,e8g8
1r5k/Q4ppp/5n2/3Pq3/2P1p3/1r6/4B1PP/3R1R1K b - -,b3b2
2k4r/ppqr2p1/3bpn1p/2p5/2PP3P/2B3N1/PP2Q1P1/2KR3R w - -,g3e4
rnb1kb1r/2qp1ppp/p3pn2/1p6/3NP3/3BB3/PPP2PPP/RN1Q1RK1 w kq b6,c2c3
2k5/p4R1p/1pb1r1p1/2ppN3/4pB1P/PP6/6P1/6K1 b - -,a7a5
5rk1/p1q1p1bp/6p1/1PPn4/P7/Q3B2P/5PP1/2K4R w - -,a3b3
r1bq1rk1/p1p2pp1/5n1p/3p4/1b3B2/2NB3P/PPP2PP1/R2Q1RK1 b - -,c7c6
r1nq1rk1/n4pb1/pp2b1pp/P3p3/1P1pP3/NN1P2P1/5PBP/1RBQ1RK1 b - -,e6b3
2r3k1/4pp1p/6p1/p3n3/Bb2P3/4B2P/5PP1/1R4K1 b - -,e5d3
r1bqr1k1/p1p2p1p/3p2p1/2p5/2PQP3/5P2/PP2N1PP/R4RK1 w - -,d4c3
r2q1rk1/pb1nbppp/1p2p3/3p4/2Ppn3/1P1BPN2/PB1N1PPP/2RQ1RK1 w - -,f3d4
1r1k4/p2nbQp1/6p1/q1P5/3p2rP/3B2B1/PP2PP2/2R2RK1 b - -,e7c5
8/p1b2kp1/2p1p2p/2p5/2NpP1P1/1P3K1P/P1P5/8 b - -,g7g6
r1b2rk1/ppp2pbq/7B/6Q1/8/6p1/PPP3BP/R4RK1 w - -,f1f6
r3k2r/p2qBppp/1bp5/3pP3/N7/3Q4/PP3PPP/R4RK1 b kq -,d7e7
3q1rk1/p2bppbp/1p4p1/n2PN3/5B2/1P4P1/P4PBP/2rQ1RK1 w - -,d1c1
8/5p1k/7p/3R1p2/2n5/r3PNP1/4KP2/8 w - -,d5f5
8/6b1/6K1/2p5/3k2P1/N1p5/8/8 b - -,g7h8
5Q2/1bk5/p1q3p1/P6p/1p6/1B5P/1P3PP1/6K1 w - -,f8f4
r4k1r/1p6/p1b2Qpp/4P3/P3q1N1/8/1P3PPP/R5K1 b - -,f8g8
8/8/pp4p1/2p1k1K1/P1P5/4P3/4P3/8 b - -,e5e4
8/8/8/8/1r6/p2K4/1k5R/8 b - -,b2b3
2rqr1k1/pppnbppp/3p4/3N4/2Q1PB2/7P/PPP2PP1/3RR1K1 b - -,e7f6
8/5p2/p7/1p4p1/PPbpPk1p/5P1P/2B2KP1/8 b - -,f4e5
1r3bk1/R1n4p/2pNn1p1/2Pp1pP1/3P3P/2B2P2/4N3/5K2 w - -,c3a5
r2qk2r/2b3pn/pp2Pp1p/2pN3P/P1N1P3/8/1PP3P1/R2Q1RK1 b kq -,d8b8
2k3rr/1bqn1p2/p3pn2/P1p5/N1BPP2p/2P1QP2/4N2P/R4R1K w - -,a4b6
rqr3k1/3nppbp/3p2pn/2pP4/4PP2/2NQBN1P/PP4P1/1R2K2R w K -,e1g1
2k2rrb/p4n2/N2pp3/1p2Ppp1/8/2B5/PPP2PP1/3RR1K1 w - -,e5d6
2rq1rk1/1p3ppp/p2p1n2/3Pn3/8/1NP4Q/PP2B1PP/3R1RK1 w - -,d1d4
2k2b1r/p1p3pp/1q6/2r1Pp2/2BpbP2/PP4Q1/1K1B2PP/R6R w - -,a1c1
r2q1rk1/1pp2pb1/3pbnpp/1P2p3/2Pn4/2NP1NP1/4PPBP/1RBQ1RK1 w - -,f3d2
6Q1/8/8/8/2b3kp/p4p2/1p5K/8 b - -,c4g8
2r3k1/4Qp1p/6p1/3q4/4p3/4P2P/2r2PP1/1R2R1K1 b - -,d5f5
2kr3r/pp1b1pp1/4pq1p/1Bn5/3R3P/5N2/PPP1QPP1/2K4R w - -,h1d1
8/8/8/3p1p2/7p/3Kbk1P/2B5/8 w - -,c2b3
7r/4kp2/2r1p1p1/1p1pPb1p/p2P1P2/PpP1KNP1/1P5P/2R1R3 b - -,h8c8
5rk1/p1p5/2npqr1p/2BNpnp1/8/1PPQ2P1/P4P1P/3RR1K1 b - -,d6c5
1k1rr3/1pp3pp/1pnn1q2/P2p4/1P1P4/4BB2/5PPP/R2Q1RK1 b - -,b6b5
r4rk1/1p3ppp/p1n1p3/q1Q5/P3N3/6P1/1P2PPKP/R2R4 b - -,a8c8
5r2/p5pp/1p2kn2/2r5/8/2N3P1/PP2PPKP/R2R4 w - -,h2h3
8/PKn5/3k4/8/3p4/3B1p2/8/8 b - -,f3f2
r2q1rk1/1p1n2bp/p1p1b1p1/3p1p2/NP1P4/3BPN2/P2Q1PPP/2R2RK1 b - -,d8e7
6k1/p2P3r/4pBp1/1pP1qp2/6Q1/1P4P1/P4R1K/7R w - -,h2g2
3rrbk1/2pq1pp1/p3n1b1/np1pPN1p/6PP/2P1BN2/PPB2P2/R2QR1K1 w - h6,f3h2
1rbq1rk1/pp3ppp/2np4/2pNp1b1/2B1PP2/P2P4/1PP3PP/R1BQ1RK1 b - f3,e5f4
2rr2kb/2p1p2p/6pP/1p1bPp2/1P1P1B2/5P2/1K2B1P1/3R3R w - b6,b2c3
r2r2k1/1p2bpp1/1q2p1p1/2p3Pn/p2PPn1P/4BN2/PPQ2P2/2KR1B1R w - -,c1b1
1R6/8/1P6/5kp1/5p2/8/1r6/4K3 b - -,f5g4
r1r3k1/7p/6p1/2N1P3/p2B1p2/1p3P2/5PKP/1R6 w - -,c5e4
r1b2rk1/p1q1bppp/1ppp1n2/2n2N2/P2pP3/2N5/BPP2PPP/R1BQR1K1 w - -,f5e7
4rrk1/pp1bn1bn/2q4p/2p1pp2/2PpP1NN/PP1P2P1/4B1KP/R1BQ1R2 w - f6,g4f2
2r3k1/p2nBppp/qpn1p3/3pP3/3P4/1QN2N2/PP3PPP/5RK1 b - -,c6e7
r3r1k1/ppnb2pp/3p4/2pP3n/2P3pb/2N1BP1N/PP1KR2P/5BR1 w - -,f3g4
4kb2/1p3n1p/q1p2pp1/p1P1p3/P3P3/1P3P1P/5BP1/3Q1NK1 w - -,d1d2
r1bq1rk1/pp1nppbp/2p3p1/3p4/2PPn3/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,f7f5:d7f6
3r1k2/1ppr1pp1/1p5p/8/6P1/2P5/PP2RPKP/4R3 b - -,f7f6
7k/2p3p1/p6p/2P2p2/5n2/P4PqP/1Q6/6NK w - -,b2h2
1rbq1k1r/3n1pp1/p3p2p/1p1nP3/2pP3P/2P2NR1/3B1PP1/RQ2KB2 w Q -,b1e4
3r4/8/2p1k3/1p3R2/1P4P1/5K2/2P5/8 w - -,f5c5
8/8/p5kp/8/2n5/P1B3PP/1P2r3/6K1 b - -,c4b2
q3r1k1/4bpp1/2n1pn1p/1b6/1p2P3/pP2QNPB/P1N2P1P/B2R2K1 w - -,d1d2
2k5/7p/1Q6/4B3/4bPPK/3q3P/8/8 b - -,d3d8
2B2k1r/R7/5p2/2p1pb1p/7P/2P5/5n2/2K3R1 b - -,f5c8
2n3n1/3b2k1/1p1p2p1/p1pPp1Bp/P1P1q2P/2Pr2P1/R1Q1N3/2K1R3 w - -,c2b3
r4rk1/pppq1ppp/2nb2n1/3p4/3P4/2PQNN2/PP3PPP/R1B1R1K1 b - -,f8e8
5k2/6p1/p2pN1np/8/1pr2P2/6K1/PP6/7R b - -,f8f7
6B1/8/1bPk2p1/1P4Kp/8/8/8/8 b - -,d6c5
r1b2rk1/ppq2ppB/2n1p3/2Ppn3/1b4Q1/2N2N2/PPPB1PPP/R4RK1 b - -,g8h7
1r3rk1/p1pb2pp/8/N3np2/4P3/1N6/P4PPP/R1R3K1 w - -,e4f5
2rr2k1/pb3p1p/1p4p1/2nPq3/2R5/1Q2P2P/P4PPN/1B1R2K1 w - -,h2g4
1r1r1k2/p1b2ppp/1pBpp3/8/2P2P2/P5P1/1P1R2K1/3R4 b - f3,g7g6
6k1/p4rp1/P3bn1p/1Pp1p3/2Pqp3/4Q2P/4BBP1/3R2K1 b - -,d4e3
rn1qk2r/pp3ppp/2p1p3/4N3/PbpPn3/2N2Q2/1P4PP/R1B1KB1R b KQkq -,d8d4
r2rb1k1/ppq1bppp/2n1p3/4P3/5B2/2PB1N2/P3QPPP/2R1R1K1 b - -,a8c8
2r1kb1r/1p1b1ppp/p1n1p3/3nP3/4N3/3B1N2/PP1B1PPP/R2R2K1 w k -,a2a3
5rk1/2N3np/1pr3p1/p2p4/4p3/PP4P1/4BP1P/3R2K1 w - -,c7d5
8/5R2/8/2K2p2/3Pbk2/6r1/8/8 b - -,g3c3
r7/6pk/pr2pn1p/1p1p4/3N4/2P1P3/5PPP/R2R2K1 w - -,d1b1
r4rk1/1b1nqpb1/p2Qp1pp/4P3/PpP2B2/1B6/3N1PPP/3R1RK1 b - -,e7d6
r1b1rbk1/1pp1q1p1/p1n1pnBp/3p4/3P1B2/2P1P2P/PPQN1PP1/R4RK1 w - -,e3e4
r3kb1r/1b1q1ppp/p3pn2/1p6/P2N4/1BP5/1P3PPP/R1BQ1RK1 b kq a3,f8c5
8/2p5/2k5/7K/P5R1/2P5/1P6/1r6 w - -,b2b4
5n1k/5ppp/p1pq4/8/2Q5/P3N2P/1P3PP1/6K1 b - -,f8e6
8/2b3k1/5p1p/1p5P/1Pb1PPB1/3p4/r2B4/1R2K3 b - -,c7b6
8/8/1p3B2/1ppk1n1p/1P5P/2PK4/8/8 w - -,f6d8
1R6/1P5k/8/8/8/1r2pK2/6P1/8 b - -,h7g7
8/6k1/5b2/8/1p5P/1P1N1RP1/KP2r3/8 b - -,f6c3
3r2k1/3r1pp1/pq2p1p1/3n4/Pp2B1P1/4PQ1P/1P2KP2/2RR4 w - -,e4d5
r4rk1/4bppp/bq1ppn2/p7/B2PP3/4R3/1P1N1PPP/R1BQ2K1 w - -,d2f3
r5k1/1q1p1rpp/p3p3/4Bn2/2R2P2/1P4P1/P2Q3P/4R1K1 b - -,a8d8
2r2rk1/1p3pbp/pq6/5Q2/4pP2/PP4PB/2P4P/1K1R3R b - -,c8c5
2r3k1/R5np/4p1p1/3pP1B1/P1b3PP/5PK1/6B1/8 b - -,d5d4
4rr1k/ppq3pb/2nbpn1p/3p4/3P3N/2B3N1/PP3PPP/1B1QRR1K b - -,h7b1
r2qr3/pp2ppk1/3n1npp/3PQ3/7R/2NB2P1/PP3P1P/R5K1 b - -,e7e6
1r3rk1/p3p1np/2pp2p1/7q/3Pp3/4QPN1/PP3P1P/1R2R1K1 b - -,h5f3
8/4P3/2n2kp1/6N1/2b2K1P/B7/8/8 b - -,c4f7
3r2k1/4qp2/1pp3p1/p1b4p/P1B5/1R2PPPb/1P2Q2P/2B3K1 w - -,b3d3
2rr4/3nk1p1/1q3pP1/p3pQ1p/1pB5/1P5P/P1P1R3/1K1R4 w - -,f5h5
rnbqk2r/p1p2p2/1p2p1pp/3pP3/3P2Q1/P1nBBN2/2P2PPP/R3K2R b KQkq -,c8a6
r2r2k1/1b1p1ppp/p3p3/2p1P3/2P1nP2/2N4P/PP2B1P1/2RR2K1 w - -,e2f3
2r5/3kbpp1/1R2p3/4P2p/1p3P2/3r1bP1/5K1P/2R3N1 w - -,c1c8
1r1q1rk1/1p1bppbp/p2p1np1/n1pP4/2P5/1PNQ2P1/P1N1PPBP/1RB2RK1 b - -,b7b5
4k3/2R5/6p1/2p1Pp1p/2P2P1r/6K1/8/8 b - -,h4g4
2r2rk1/p1q1bppp/1p3n2/3p4/4n3/1NPQBN1P/PP3PP1/R2R2K1 b - -,f8d8
2r1k3/3qpp2/p2p2r1/Pp1Pn3/1PbB2P1/R6P/2PQ2B1/3KR3 b - -,e5g4
r1b1r1k1/1pq2pbp/2pp1np1/2n5/p1PNPP2/2N1B1PP/PP4B1/R2QR1K1 w - -,d1c2
8/5knp/3p1bp1/2pP1p2/2P2PP1/2B2K1P/2B5/8 w - -,c3a5
8/5pk1/4p1p1/Q3p2p/3qP2P/P4P2/5rPK/3bRB2 w - -,e1d1
r1b2r1k/ppq3p1/2nbp2p/3p3B/3P3B/8/PPQ1NPPP/R4RK1 w - -,h4g3
2r1r1k1/1p2ppb1/4q1p1/1RnNn3/2Q1p3/4B1PP/P5BK/5R2 w - -,c4b4
5rk1/1p2bpp1/p3p2p/4P2Q/1q1NR2P/8/5PP1/1r1R2K1 w - -,e4e1
6rr/p1k2p2/Pp1p1pn1/2pP1n1p/2P5/2P5/3BBP1P/R5RK w - -,e2d3
3n1rk1/p1q1bpp1/1n5p/2pP4/1rP2p2/P5P1/2Q2N1P/R1BR1BK1 b - -,b4a4
6k1/4p2p/r2p1pp1/2pP4/4P3/r4P2/P1RR2PP/6K1 w - -,g1f2
r4rk1/p3q1p1/2p2nbp/np1p4/4P2P/2P1NN2/PPB1QPP1/2KR3R b - -,g6e4
4k3/1p6/p3PR2/1r3P2/1p2K3/8/8/8 w - -,f6h6
8/2r5/p5k1/3B1RP1/Pp4P1/3K4/1b6/8 b - -,c7c3
r2q2k1/p5bp/bnp2rp1/N1p1p3/3pPp2/1P1P1B2/PBPQ1PPP/1K1R3R w - -,h2h4
8/8/4k3/7P/3b4/4p3/R4rKP/8 w - -,a2f2
2r5/4qpk1/p5p1/1p3p2/1P1P1P2/3RP3/P5Q1/2bB1K2 w - -,d4d5
rn1q1rk1/pb3ppp/1p1b1n2/2ppN3/3P1P2/2NBPQ2/PP4PP/R1B2RK1 b - -,b8c6
8/p1p4p/5k2/2p3r1/3p2R1/3P1K1P/PPP5/8 b - -,g5f5
6k1/4p2p/p3Pb1P/1p1N2p1/3P1pn1/P2R4/1P6/1K6 b - -,g8f8
8/3k3p/2bpp3/5p2/5P2/1r4P1/2R1NK1P/8 b - -,c6d5
8/8/3r4/pp4k1/6p1/P1P3P1/1PK2R1P/8 b - -,d6d5
rn3rk1/1p3pp1/p2q1n1p/2pPN3/P1p2P2/1PNb3P/5PB1/R2QR1K1 b - -,b8d7
8/3kbp2/NK1p3p/4p1pP/2P1P1P1/5P2/8/8 w - -,b6b7
6k1/5p1p/4p1p1/3b2Q1/4P3/3B3P/Rq3PP1/2r3K1 w - -,g1h2
r2q1rk1/2n1ppbp/1p3np1/p1ppN1B1/3P3P/2P1P3/PP1NQPP1/R3K2R w KQ -,h4h5
6k1/1p4bp/p2p2p1/P7/1P1p4/5RPP/3N2PK/r7 b - -,g7e5
4r3/6pp/1pn1kp2/2p1p3/2P5/1PP1BKPP/3R1P2/8 b - -,e8a8
r1bq1rk1/pp1nppbp/3p1np1/2pP4/P1N1PB2/2P2P2/1P1Q2PP/R3KBNR w KQ -,g1e2
r1q2rk1/1b2bppp/p1n1p3/1p6/P1p1PP2/2P1BNP1/1P3QBP/R4RK1 w - -,f3d4
8/6p1/5nk1/5R2/p2P2p1/P3RPP1/q4BK1/8 w - -,f5f4
8/6k1/bp3b2/p4P2/P1pq1QPp/5B2/2R5/6K1 w - -,f4d4
5rk1/3b3p/1p1q2p1/p1bPp3/P3P3/1P3P1P/2RQ2BK/8 w - -,d2g5
rQ3rk1/1b2nppp/pp2pn2/3p4/2P1P3/1PN2NP1/P4PBP/R2R2K1 b - -,a8b8
8/p7/3k1p2/7p/P1p2Np1/6Pn/2r2PKP/5R2 b - -,h3f4
8/8/R6P/3p4/8/3kp3/7r/3K4 w - -,a6a3
r3kbr1/pp1n1p2/2p4p/2Pppb2/3P2n1/1PN1PNB1/1P1K1PP1/R4B1R b q -,f8g7
6k1/p4p2/1p1R2np/1r2P3/2p1PPN1/q1P3P1/P2Q2K1/8 w - -,d6d8
2b1rrk1/p1qn2p1/2p1p2p/Pp6/2pPNP2/2P2BP1/3Q3P/3R1RK1 b - -,c8b7
8/p4pp1/3k3p/3pp2b/5r1P/P6R/1r2P1K1/5BN1 b - -,b2b1
8/8/6k1/4R3/6P1/5PK1/8/r7 b - -,a1a3
8/p3bppp/1pk1p3/2p1P2P/2P1K1P1/1P3P2/P7/4B3 w - -,f3f4
r4k2/p2R1n2/1p3Pp1/1P2p2p/P3P2P/4BK2/8/8 w - h6,a4a5
8/4N3/8/5P1p/7P/5nk1/8/7K w - -,e7g6
1r4k1/5pb1/1qp1p2p/p2rP1p1/7P/P1Q3B1/1PP1RPP1/4R1K1 w - -,b2b3
1rr3k1/6bp/6p1/3R1p2/p2Rp2P/P5P1/1BP2P2/1K6 b - -,g7d4
r1bqkb1r/pp1n1ppp/2p5/3np3/8/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,f7f5
r4rk1/ppn2pb1/2n3pp/3p4/6PB/1BPb1N1P/PP1N1P2/R3R1K1 b - -,d5d4
r5k1/ppbr1ppp/4b3/2Pp2q1/1P1Q4/5BP1/PB3P1P/R3R1K1 w - -,a1d1
5k2/pp5b/6p1/1P2P1Pp/2B1K3/8/P4P2/8 b - -,h7g8
2r2r1k/pp4Rp/5ppP/4q1P1/3QP3/P7/2P5/1K3R2 w - -,g7h7
8/1R1kn2p/p4Q2/5p2/q3pP2/6P1/7P/4K3 b - -,d7c8
6k1/pp3p2/6p1/3pR1P1/3P1K2/r7/7P/8 w - -,e5d5
r2qr1k1/ppp1bppp/2np2b1/7N/2P5/1P2PB2/PB3PPP/R2Q1RK1 b - -,e7f8
2rq1rk1/1b1nppbp/p2p1np1/1p6/3NP3/2P2P1P/PPB3P1/R1BQRNK1 w - -,c1e3
8/8/8/8/8/3k1pNP/r7/4K3 b - -,d3e3
r1b2rk1/p2nqpp1/2p3np/1p2p3/3PP2P/2PB1NB1/3Q1PP1/2R1R1K1 b - h3,e7f6
4r1k1/p2p1p2/1p1P3b/6p1/3R4/6B1/PPr2PPP/5RK1 w - -,h2h4
r3rqk1/5p1p/6p1/p2pP3/3BnR1Q/6P1/P5KP/3R4 b - -,f8e7
1r4k1/7p/3p2p1/2b5/1p3P1P/1N1R1KP1/r7/1R6 b - h3,b8e8
8/1Qb1k1p1/7p/2q5/P7/6P1/5PKP/8 w - -,b7e4
6k1/2q5/p7/3p4/P1r2N2/6P1/2p1Q2P/2R3K1 w - -,g1g2
1r3k2/R3n1pp/1r3p2/1pR1P3/2p2PP1/4KB2/1P5P/8 w - -,f3e4
r1bqk2r/pp2ppbp/2np1np1/8/3PP3/2N1BN1P/PP3PP1/R2QKB1R b KQkq -,e8g8
5bk1/p2r1p2/1p1N2pp/2p1n3/2P5/1P2P1PP/P4PB1/5RK1 w - -,d6e4
7k/2Q1n1p1/3p1b1B/4p2q/4P3/2RPK3/5PP1/6N1 b - -,h5h6
8/3k2pp/8/3BB3/2P5/4K3/r3P3/8 b - -,g7g5
rn1qr1k1/1b3pbp/p2ppnp1/1p6/2PP4/1P2NNP1/PB3PBP/R2QR1K1 b - -,b8d7
5rk1/pp3ppp/3p4/3Pp3/4P1Bq/2r1B3/P4K1P/RQ5R w - -,f2f3
rnb2rk1/1pq2pbp/p1np2p1/3N4/4P3/5N2/PP2BPPP/R1BQ1RK1 b - -,c7d8
r2qkb1r/pp1n1ppp/2n1p3/2ppPb2/3P4/2P1BN2/PP2BPPP/RN1Q1RK1 w kq -,b1d2
rnb2rk1/p3ppbp/2p3p1/1p1qP3/3P4/4BN2/PPP1B1PP/R2QK2R w KQ -,e1g1
1r6/4p3/2p1kbp1/p1B5/8/P2P2P1/4PPK1/7R b - -,b8b3
8/1Rrq2k1/Q1p1pp1p/2PpP1p1/3P4/4P2P/6P1/6K1 w - -,e5f6
2rqr3/1p1b1pk1/p1p3pb/5p1p/1PQPnN1P/P3PBP1/2R1NP2/2R3K1 b - -,d8e7
8/1p1k3p/p2b1p2/5p2/2KP2pP/4P1P1/PP3P2/2R5 b - -,d7c6
r1b1kb1r/pp3ppp/2n1pn2/q1pp4/P3P3/N1PP1N2/1P3PPP/R1BQKB1R w KQkq -,c1f4
r4rk1/p2n1ppp/2pq1n2/1p3P2/NP6/2P2Q2/P3B1PP/3R1RK1 b - -,d6e5
r3r1k1/p4pp1/1p4p1/3p4/1P6/P3q1P1/1Q1N2BP/3R3K b - -,e3f2
R3B3/5p2/1b2p1b1/1Pk3p1/P1n5/4P2P/4KP2/8 b - -,g6h5
r1bqk1nr/pp3ppp/1bn1p3/1B1p4/4P3/1NP5/PP3PPP/R1BQK1NR w KQkq -,g1f3
4b3/1rp2rk1/p3q2p/2Rp3n/3Ppp2/B7/P2QNPP1/2R3K1 b - -,f4f3
4r1k1/2q2n1p/pN4p1/2P1pp2/3Q1P2/1P6/P5PP/5RK1 w - -,f4e5
2r3k1/5p1p/q1p1p1p1/P2n4/1R1P4/3Q3P/1rB2PP1/R3B1K1 b - -,a6d3
