8/8/1K6/Pp3kp1/1P1N4/8/5p2/8 b - -,f5f6
8/4rpk1/Q6p/1p4p1/2p5/P4R1P/1Pq1r1P1/5R1K b - -,c2b2
r1b3k1/pp2P2p/2p5/3ppr2/P7/2P1K2P/8/R4B1R b - -,c8d7
3r4/1bknbp2/1q2p3/1p2P1p1/2pPB1P1/P3QN2/5P2/1RB4K b - -,d8a8
r1b1nrk1/1pp3bp/p2p2p1/3Pp2q/2P1P3/4B1P1/PPBQ3P/R1N1K2R w KQ -,c2d1
2r1k3/1q1b1p2/1b2pP2/3p3r/pP1P2N1/P1N3Pp/3Q3P/1R1R2K1 w - -,d2e3
r1bqkbnr/pp1n1pp1/2pp3p/4p3/2BPP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,b1c3
4r1k1/2qr3p/p4RnB/2pb4/2p1p3/6P1/P5BP/1Q3RK1 b - -,d7f7
8/5pk1/5bp1/1p6/1Pr2P1p/R1PKN1PP/8/8 b - -,c4c8
3r2k1/1b2qp1p/p1p2np1/1p2b3/8/1PN1P2B/PBQ2PPP/2R3K1 b - -,c6c5
1nr5/1p3rkp/pBqRpbp1/4p3/N1P1P3/1P3P1P/PQ4K1/3R4 b - -,c6e8
5k2/p7/6np/1p1N2p1/2p5/P1P2qPP/1P3Q2/6K1 b - -,f3f2
r1bq1rk1/pppn2bp/4p1p1/3pBp2/3P3P/5NP1/PPP1PPB1/R2QK2R w KQ -,e5g7
8/8/Pk6/4P1n1/8/6KN/8/8 b - -,g5e6
r1nqk2r/pp1nbppp/2p1p3/4Pb2/2NP4/5N2/PP2BPPP/R1BQ1RK1 w kq -,d1b3
2r1r1k1/1b1q1pp1/pp3n1p/3p4/Pb1P4/1P1Q2P1/NBR2PBP/2R3K1 b - -,c8c2
bqr1r1k1/3nbp1p/pp1ppnpB/8/2P1P3/2N2P2/PPNR1QPP/3R1B1K b - -,e8d8
2r2rk1/1p3ppp/p3pb2/8/8/2P1N3/PP3PPP/R2R2K1 w - -,d1d7
8/5nNp/2p1kp2/1p4P1/r2pPK1P/3P4/2P5/1R6 b - -,e6e7
6k1/p5b1/1p4pp/2r5/2pq4/2Nn4/PP2Q1PP/3R1R1K w - -,e2e6
2bk4/p5p1/2p2p2/2p2P1R/2P1r3/1P3NP1/P4K2/8 w - -,h5h8
4r1k1/1p3rp1/p1npqn1p/4p3/4P3/1Q2RNNP/PP3PP1/2R3K1 w - -,c1d1
r1bqk1nr/1pp2pp1/p1np4/2b1p2p/2P4P/P1NP2P1/1P2PPB1/R1BQK1NR b KQkq -,g8e7
1r4k1/p1r3p1/4pp1p/1pP5/3P1P2/2P3PP/1R6/R4K2 b - -,c7b7
r4rk1/1bqnbppp/p1p2n2/1p2p3/3PP3/2NB1N1P/PP2QPP1/R1BR2K1 w - -,c1g5
6k1/2p3pp/5pb1/8/P5P1/5P2/2r1nBP1/R6K w - -,a4a5
r1b2rk1/ppqn1pp1/2p1p2p/3n4/2BP3B/3QPN2/PP3PPP/2R2RK1 b - -,d7b6
rnbq1rk1/pp3ppp/3p2n1/2pPp1b1/P3P3/3B4/1PPNNPPP/R1BQ1RK1 w - -,d2c4
r1b2rk1/ppq4p/2n1p1pQ/4pp2/2P5/5N2/P1PB1PPP/R4RK1 w - -,d2c3
2krrb2/1ppb1p2/p4p1p/5N2/2pNP3/5P2/PPP2KPP/3R1R2 b - -,c7c5
r1bqkb1r/pppp1ppp/5nn1/3PP3/5P2/2N5/PPP3PP/R1BQKB1R b KQkq -,f6g8
3rk2r/pppq1pb1/2n1p1pp/2Rb4/8/3PBNP1/PP1QPPBP/2R3K1 w k -,b2b4
2rr2k1/2q1bppp/8/3bn1P1/P2B3P/2P1Q3/4BR2/R2N2K1 b - -,e7d6
r4rk1/pb1nqpp1/7p/2pp4/8/2Q1PN2/PP2BPPP/R2R2K1 w - -,a1c1
r3b1k1/3R3r/3P1n2/2B2p2/p7/3P1pP1/3b2B1/2R2K2 w - -,d7h7
8/4n3/1N4p1/1p3p1p/5P1P/kp1K2P1/8/8 w - -,d3d4
r3r3/1q4bk/1Pb2npp/4p3/1Q2P3/4B1NP/5PBK/RR6 w - -,a1a7
r1b1kb1r/ppp2ppp/2n2n2/3qp3/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq -,e5e4
2k3r1/pp1n1p2/2p1pn2/q4r1p/1b1P4/1BN1R2P/PPP1QP1B/1K1R4 w - -,a2a3
2rq1rk1/1b4pp/1p6/pPn5/2P2p2/R4P2/1B2B1PP/2QR2K1 b - -,d8e7
6k1/2R5/p1p3pp/5p2/2b2K1P/2N2PP1/PP4r1/8 b - -,g2b2
r1b1rb2/2qn1p1k/p2p2pp/npp1p3/4P3/2PPBNNP/PPBQ1PP1/R3R1K1 w - -,f3h2
6k1/2R2pp1/4p3/2B2n1p/r6P/5KP1/5P2/8 b - -,a4c4
6k1/1r1n1p2/4p1p1/2p1P2p/2P1R2P/4B1P1/5PK1/8 b - -,b7b4
4r1k1/1p4p1/8/PPB5/5b2/4NP1p/4R3/3n2K1 b - -,d1e3
3r3k/2q4p/2npbr1P/p3p1p1/1pP1Pp2/1P1R1PP1/P1NQ2B1/5RK1 w - -,f1d1
r4rk1/p2qbpp1/1pn1p2p/2ppP3/3P4/2P2N2/PP1NQPPP/3RR1K1 w - -,d2f1
8/8/5k2/3K4/4R3/8/7b/8 b - -,h2b8
6rk/p5qp/bnBp4/1NpP1p1n/P1P1pP2/7P/2Q1N1P1/1R5K w - -,b1g1
r1bq1rk1/pp4pp/2nBp3/3p4/3Pn3/3B1N2/PP2NPPP/R2Q1RK1 b - -,d8d6
3n1k2/pp1q4/4p2Q/3pnp1N/3P4/1P4P1/P4PK1/8 b - -,f8e7
r1r1n1k1/pb1p4/Pp1Pp1p1/1N3p2/1PP1n1p1/2N5/5PPP/R2R1BK1 b - -,b7c6
r3k2r/pp1n1pp1/1qpbb2p/3p4/3P4/2NBPN2/PPQ2PPP/1R3RK1 b kq -,a7a5
8/5R1p/6pk/ppp1q3/7P/1B6/P4PP1/3R2K1 b - -,c5c4
6r1/pp1k2P1/3Pp3/5p2/r5BP/6R1/2P5/1K4R1 b - -,g8g7
r4rk1/pp3ppp/2p5/3n1b2/3P1q2/2P2N2/PQ3PPP/2R1RBK1 b - -,a8b8
3r2k1/5ppp/3p3q/1b2p3/p3P1QP/R1PnN3/1P3PPK/7R b - -,d3f2
r1b1k2r/1p1nbp2/pq1ppp2/7p/4PP2/PNN2R2/2PQB1PP/3R2K1 w kq -,g1h1
8/1p6/p4N2/4p2p/4pp1P/3bPkP1/1P3P2/4K3 w - -,f6h5
r4nk1/pp4pp/3bp3/1P1p4/3P1r1q/3Q2N1/P3RPPP/1BR3K1 w - -,c1d1
6r1/3kb1p1/3p1pP1/2pPpP2/1pK1P3/3PB3/1P6/7R b - -,g8a8
8/8/5p2/P3nk2/5r1p/1P2Q3/6K1/8 b - -,f4g4
1r5k/2q5/pp1p1n2/3Ppr1p/P1p2P1b/R3Q2P/1PPBN2K/5R2 w - -,a3a1
5rk1/5ppp/1pNbp3/1P1p4/5P2/4B1P1/2RR3P/r5K1 w - -,g1g2
2bq1bk1/2N2p1p/p2r1Pp1/6Pn/2Q5/1N1P4/1P1B1K1P/2R5 b - -,d6d3
1r1R4/1r3pbk/QPqn2pp/4p3/4P2P/2P1B1PB/5P2/R5K1 w - -,d8b8
6k1/1p4pp/p3r3/3R4/2p3r1/6P1/P4P1P/1R4K1 w - -,b1b7
6k1/p4p1p/2p3p1/R7/5P2/2P5/P1r3PP/6K1 w - -,a5a7
4k2r/5p1p/p3bp2/1P2n3/4P3/2P1qP2/1PQ1B1PP/3rK2R w Kk -,c2d1
8/5Q2/8/2k1q3/3b1p2/3B1P1P/6PK/8 w - -,f7a7
r1bq1rk1/2pnbppp/p3pn2/1p4B1/2BP4/2N1PN2/PP3PPP/R2Q1RK1 w - b6,c4d3
6k1/4p2p/p1rnp1p1/2Nn4/1p6/5P2/Pb2BBPP/3R2K1 w - -,e2a6
6k1/p4p1p/6p1/PQ2n3/3b4/7P/1PqN2P1/5R1K w - -,d2f3
2r1r1k1/pppb2pp/3p1b2/3P4/1B1pPP2/P5P1/1P4BP/2R1R1K1 b - -,d4d3
3r1rk1/2q2ppp/p5b1/1pbP4/2p5/2P2QPP/PP2R1P1/R3BB1K b - -,d8d6
r1bqnrk1/3p1ppp/p3p3/1pN5/3RP3/2Q2P2/PPP3PP/2K2B1R b - -,d7d6
2kr1b1r/ppp2ppp/4Pn2/q7/1nB5/2N2Q1P/PPP2PP1/R1B2RK1 b - -,b4c2
8/1p4R1/p7/3k2pp/3p4/Pr3KPP/8/8 w - -,f3f2
1r3bk1/1p3p1p/6p1/4p3/1B6/1R1P2P1/2r1PP1P/4RK2 b - -,f8b4
2rr2k1/1q2bppp/p3pn2/1pn5/1P1N4/P1N1P3/1B2QPPP/2R2RK1 b - -,c5e4
8/1p3k2/5p1p/3p3P/3n1KP1/P7/B7/8 b - -,f7e6
5k2/p4pp1/1p5p/4p3/2B5/bP2PP1P/n2BKP2/8 b - -,f8e7
6k1/2p3p1/3p2p1/3Pp3/1PP1P2n/4P3/3NQK1P/q7 b - -,a1c3
8/2p1qpk1/1p3np1/pP2p2p/4P3/2NQ1P2/PP4PP/3K4 w - -,d3c4
8/8/4K1k1/6P1/5P2/1Pn2N2/8/8 b - -,c3e4
r1b2rk1/pp2bpp1/2nq1n1p/2p5/N1PP4/1P3NP1/PB4BP/R2Q1RK1 b - -,c5d4
rn1qkbnr/pbpp3p/1p3pp1/6B1/2Pp4/5NP1/PP2PPBP/RN1QK2R w KQkq -,d1d4
r3r1k1/ppbq1pp1/2p4p/2Pp1n2/3P1N1P/1P1NPQP1/PB1R4/5RK1 b - -,e8e3
rq1r2k1/3nbppp/1pbp1n2/p3p3/P3P3/2N1BP2/NPPQB1PP/R2R2K1 w - -,e2c4
r1bq1rk1/1ppp1pp1/1bn4p/3nP3/7B/2N5/PpPNQPPP/1K1R1B1R w - -,c3d5
1r4k1/4qp2/p2rp1p1/2N5/4P2p/P1R2PP1/6P1/3R1Q1K b - -,h4g3
1k4r1/1bqnbp1p/p2p1n1P/1pr1pPp1/1P2P3/P1N1NB2/1KP1Q2R/3RB3 b - -,c5c3
8/4k3/p1r1p3/8/8/2P5/1P5R/1K6 b - -,e6e5
2rqr1k1/pb1n1ppp/1pp2n2/3p4/1P1P4/1Q2PNP1/P1RN1PBP/2R3K1 w - -,b3a3
2r3k1/1p3pbp/p5p1/2BpPq2/1P3P2/1P2P1QP/2r5/3R1RK1 b - -,f5e6
6k1/R4p2/Pp5p/3p1B2/5p2/5P1P/1b3P2/2r2K2 w - -,f1e2
r1bq1rk1/ppp2ppp/1nn5/8/3P4/P4N2/BP1N1PPP/R2Q1RK1 b - -,c6d4
r4rk1/1p1n1ppp/pqp2n2/N7/1P1p4/P1Q1PB1P/5PP1/2R2RK1 w - -,c3d4
r1bq1rk1/pp2ppbp/2p3pn/2p5/4PPP1/2NP3P/PPP5/R1BQK1NR b KQ g3,f7f6
rqr3k1/3nbppp/p3pn2/1p1p4/3P4/1PNQPN1P/PBR2PP1/2R3K1 b - -,b8b7
6k1/8/1nr3p1/p7/1p1RN1P1/1K3P2/P7/8 b - -,g8f7
4B3/6p1/1p1k4/1P6/3pb3/8/4K2P/8 b - -,d6c5
r2r2k1/1p2qpbp/3p2p1/4p3/4P1b1/1PNQB3/1PP2PPP/R4RK1 w - -,c3d5
8/8/3b4/3kp2R/3p3P/3N1KP1/4P3/r7 w - -,h5g5
8/2N1k3/P6p/4p3/6p1/5bP1/5K2/8 w - -,a6a7
1r2r1k1/pp1qn1pp/1np1p3/P1R2p2/2pP4/B3P1P1/P1Q2PBP/1R4K1 b - -,b6d5
4q1k1/2b1rrp1/pp1P3p/2pQN3/P3p3/1P2P3/5PPP/2R3K1 w - -,e5f7
r2r2k1/1p2qpbp/6p1/pNn2b2/1nP5/B2PpNP1/P3P1BP/2R1QRK1 w - -,d3d4
5rk1/R1n2qbp/4p1p1/3pP3/3N4/1P4B1/2PQ2PP/6K1 w - -,h2h3
2br1nk1/1p4b1/nNp2p1p/6p1/3PNB1P/4P1P1/5PB1/R5K1 w - -,h4g5
r2q2k1/2p1rp2/1pPp2p1/pP1Pp1Pp/P3P3/2R3Q1/5PP1/5RK1 b - -,d8f8
3qr2k/1b4p1/p3p2p/1p1pP3/5Q1P/5P2/PPP5/1K3BR1 b - -,e8f8
r1b3k1/p5pp/2p1pr2/2Bqpp2/2N2n2/3P1Q2/PPP3PP/R4RK1 w - -,f3d5
8/5bk1/8/6Kp/2p5/R1Pr4/8/8 w - -,g5h4
7r/pppk2pp/2nbr3/6B1/3p4/5N2/PPP2PPP/4Q1K1 w - -,e1d2
2r3k1/4bqp1/4N2p/1b6/1Pp1Q3/6BP/5PP1/1R4K1 w - -,e6c7
7k/2r1q2p/5p2/p1N2Pr1/1n2pQ2/2RbN3/6PP/2R4K b - -,g5g8
3r1rk1/pbq2ppp/1p2p1n1/2p1P3/2P2P2/4PBP1/PBQ4P/R4RK1 w - -,f3b7
8/5pk1/3p2p1/1R1P2P1/p1n5/8/r3B1KP/8 w - -,g2f1
r1b2rk1/pp1nqppp/2pp4/4p3/2PPPP2/2N3P1/PP1Q2BP/R4RK1 w - -,a1d1
8/ppR1k2p/3rp1q1/2Q3P1/1P2p3/P6P/6P1/6K1 b - -,e7e8
8/6K1/4k2p/4p3/4P2P/3N1P2/3b4/8 b - -,d2e3
r1r5/pp2kp1p/3R2p1/1b5n/8/B1P2N2/2P3PP/1K5R b - -,c8c3
1r3rk1/p5pp/4pb2/B1p1p3/1P1nP3/P3N3/2p2PPP/2R1R1K1 b - -,c5b4
r1bqr1k1/pppn1ppp/5n2/3p4/1b1P4/2NBPP2/PP2N1PP/R1BQ1RK1 b - -,c7c5
8/4R3/3p1pk1/2pP4/P1n1pr2/2P3N1/5PK1/8 b - -,f6f5
6k1/5p1p/1R4p1/4P3/5n2/5N1P/1P3PP1/3r2K1 w - -,g1h2
8/2b2p2/2P2pk1/p5p1/r2B4/3K4/5P1p/7R b - -,g5g4
2rr2k1/5pp1/p1P2n1p/R2Pp3/1P2q3/4N3/Q4PPP/3R2K1 w - -,a2b1
2r5/7p/1p2k1p1/3n4/3Rp1P1/4P1BP/1P2K3/8 w - -,d4e4
r1bq1rk1/pppn1ppp/3b4/4p3/4n3/3P1NP1/PPP2PBP/R1BQ1RK1 w - -,d3e4
2r3k1/5p2/1RB1pPp1/3p2Pp/1P2n1r1/8/P1P5/1KR5 w - -,b4b5
8/1p4bk/2p2q1p/p3p2Q/P1P2p1N/6PP/5P2/6K1 w - -,h5f5
r6r/pp1k1pp1/2pbp1q1/8/3P1B1p/2P2B1b/PP3PPP/R1Q2RK1 b - -,h3g2
rnb1kb1r/p4ppp/1q2pn2/1p2N3/2pPP3/2N5/1P3PPP/R1BQKB1R b KQkq -,c8b7
1r3rk1/2q1bp1p/3ppnp1/1b6/P3P3/4B1P1/5PBP/R2QR1K1 w - -,a4b5
1r4r1/7N/p1pk1pQ1/4p3/Pp2P3/4n2P/1PP3P1/6K1 w - -,g6f6
