4k2R/6r1/p3p3/5q2/2pQ4/6P1/5P1K/8 b - -,e8f7
r2Qn1k1/4Prpp/p1p5/5q2/2B5/1P6/PB6/K2R4 w - -,d8a8
2r3k1/4pp1p/pn1p2p1/1p1P4/n3P3/4B1PP/P4P2/1B1RK3 b - -,g8f8
r1b1rnk1/pp2qpbp/2pp1np1/4p3/1PPP4/2N1PN2/PBQ1BPPP/4RRK1 b - -,e5e4
8/pp4pk/2p3r1/4p3/P5qp/7Q/1P3PP1/3R2K1 w - -,d1d3
2kr3r/ppq3p1/2p1p2p/8/2PPp3/P3BnPP/1PQ2P1K/R4R2 w - -,h2g2
8/1p6/p6R/6P1/P3k3/1P1p4/4K3/2r5 w - -,e2d2
8/P7/1Q5p/4K2k/6p1/4P3/1Pq5/8 b - -,c2c8
rnbq1rk1/ppp1ppbp/3p2p1/7n/2BPP3/1N3N2/PPP1QPPP/R1B1K2R b KQ -,e7e5
1r5k/2p2pr1/3p4/p1p1q1p1/4PnPp/1BP1QP2/PP1R3P/3R3K w - a6,e3f2
r1b1kbnr/pp1ppppp/1qn5/8/3NP3/2P5/PP3PPP/RNBQKB1R b KQkq -,g8f6
3r4/pp2bpkp/4p1p1/8/3P4/PrN1P1P1/1PR1K2P/2R5 w - -,c3a4
r3r1k1/pp1b1ppp/1qn2n2/1B1p4/8/1NN2P2/PPPQ2PP/2KR3R w - -,b5c6
4r1k1/7p/6p1/p1Np4/3K1n2/1P1PP2P/P7/4R3 b - -,f4h3
1k2qb1r/1pp2ppp/1pn5/4P3/2Q5/P1N2N2/1P3PPP/3R2K1 b - -,f8e7
1r2qbk1/3b1pn1/1ppp2pQ/1P3P1p/2PBP2P/2N3PB/7K/5R2 b - -,b8a8
6k1/p4pNp/1p4p1/3p4/PR6/3P2P1/4qP1P/1Qn2K2 w - -,f1g2
rnR2bk1/1p3p1p/2p1nPp1/4P3/p1P3P1/3B4/PP5P/2KR4 b - g3,h7h6
1k1r3r/ppqb1n1p/2n1p1pP/4P1P1/3p4/2P4B/P3QP1N/R1B1R1K1 w - -,h2g4
r1bqnr1k/pp1np1bp/3pB1p1/2pP4/8/P1N2N2/1PP1QPPP/R1B2RK1 b - -,g7f6
2rqr1k1/1b2bp1p/pB1pn1p1/1p2p3/1P2P3/1BPQ1NNP/P4PP1/R3R1K1 b - -,d8b6
6k1/8/r7/3p4/3Pb1p1/2R3Bp/3K1P2/8 w - -,g3e5
r3kb1r/2qb1pp1/p2p1n1p/3P4/1p1B1Pn1/1N6/PPPQ2PP/1K1R1B1R b kq -,f8e7
7r/2k5/4B3/p5K1/8/5R1P/P7/4b3 w - a6,e6g4
8/1np1rqk1/2Rp1r2/p2P1B1p/3p1Q1P/1P1N2P1/P7/2R2K2 w - -,f4d4
6rk/pp1r1b1p/2pBppnb/2P2pq1/2NP4/1P5P/P1B1RQP1/5RK1 b - -,g6h4
r3k2r/1p4pp/p1n2p2/1B3b2/1P1B4/4P3/P4PPP/R3K2R w KQkq -,b5c6
2r2r1k/p2bbn1p/qpp1p3/4Pp2/1P3P2/4BN2/P1Q1P1BP/1R3R1K w - -,a2a4
r3k3/p4ppp/1bp1bn2/2B1p3/4P3/P1N5/1PP1B1PP/3R2K1 w - -,c5b6
r3r3/2p1qpbk/1pn2npp/p2pp3/P3P1b1/2PP1NN1/1PQB1PPP/3RRBK1 w - -,f1e2
3q2k1/1p1b1r1p/p2p2p1/3Pp3/2Nn1b2/3B1P2/PP1B2PP/4QR1K b - -,d7b5
8/5pk1/6p1/7p/1PqbQ2P/3N2P1/5PK1/8 b - -,f7f5
6k1/1p3bp1/p1r1r2p/R7/5P2/4N1P1/4RK1P/8 b - -,e6e7
2r3k1/p2q1r2/1p3b2/2p2n1p/3pRPpP/P2P2P1/1P1B2QK/1R4N1 w - -,b2b3
8/6p1/1k3r2/p3p3/Pp2n3/1P2R3/1KP1B3/8 b - -,e4c3
1k4r1/pp3p1p/3P2r1/1N2Q3/2P3bP/4P3/PP1K2q1/2R5 w - -,d2c3
r1b1kb1r/p2n1p1p/1qp1pp2/1P6/2pP4/2N1P3/1P1N1PPP/R2QKB1R b KQkq -,c6b5
3r4/p2r2p1/2R2pk1/4b2p/1p5P/1P1P4/P1KN4/5R2 w - -,d2f3
4n1k1/1b4q1/pp3pP1/n3pP2/1P5Q/P5NP/2B3P1/3r2K1 w - -,c2d1
r4nk1/1b3pb1/pq1p4/1p2pPPp/7r/P1N2BR1/1PP1Q3/2B3RK w - -,h1g2
1r3rk1/p3ppbp/1q2bnp1/2p5/2p5/Q1N3P1/PP2PPBP/1RB2RK1 w - c6,c1e3
4r1k1/5p2/4b1p1/5q1p/7Q/7P/5PP1/B2R2K1 b - -,g8h7
8/8/pB1pk3/P2nn3/1p2K1p1/1P6/2P5/5R2 w - -,b6d4
8/2p2k2/1p3bnp/pP1r2p1/3P1pP1/N1P5/1P1N1P1K/4R3 w - -,d2f3
r2qr1k1/1bpn1ppp/1p1ppn2/p7/2PP4/PP3NPB/1B2PP1P/R2QR1K1 b - -,d6d5
r1bq1rk1/pp2bpp1/2n2n1p/2pp4/7B/3P1N2/PPPNBPPP/R2Q1RK1 b - -,f8e8
r2q1rk1/3bbppp/p2p1n2/npp1p3/P3P3/2PP1N2/1PBN1PPP/R1BQR1K1 b - -,b5b4:f8e8:d8c7:a5c6
8/4k3/5R1P/4P2r/8/5K2/8/8 w - -,f3f4
r1b1kb1r/pp2pppp/1qn2n2/3p4/2pP1B2/2PBP3/PP3PPP/RNQ1K1NR w KQkq -,d3c2
r3kb1r/pp1b1ppp/1qn1pn2/3p4/3P1B2/2N1PN2/PPQ1BPPP/R3K2R b KQkq -,a8c8
5RR1/5r2/1p3k1p/p5pP/Prp5/2K5/8/8 w - -,g8g6
3rk1nr/p2nq1b1/2p3pp/1p2pb2/3P2P1/1BP2QNP/PP3P2/R1B1K2R w KQ -,e1g1
rnq1k2r/pp2n1b1/5pp1/3p1bPp/3P1N2/7P/PPP1QPB1/R1B1K2R w KQkq -,f4d5
rnbq1rk1/pp3ppp/3pp3/3p4/3Pn3/2P2N2/PP1NPPPP/R2QKB1R w KQ -,e2e3
3r2k1/pQ3p1p/6p1/8/2P5/1P4P1/q4P1P/4RK2 b - -,a7a5
4rbk1/pp1Rrp1p/2p2qp1/8/6Q1/1B2P2P/PP3PP1/3R2K1 w - -,d1d4
2n5/6kp/1p2brp1/p1q5/2PQ1R2/P2P2P1/1P2P1BP/6K1 b - -,e6f5
n1rr2k1/1pq1bppb/2n4p/p2pPp2/P2B2P1/1NPP4/5QBP/R1R1N1K1 w - -,g4f5
b3r2k/6pp/2q5/3R4/1P6/P4Q2/R4PPP/6K1 w - -,d5d1
1k1r3r/p6Q/1pq5/2pb3p/6pN/P5P1/1P3PP1/3RR1K1 w - -,h7g7
4rrk1/2p1q2p/1p6/p2p1p1P/P2R4/6P1/2P1B1Q1/3K4 b - -,c7c6
8/1b3pk1/p1p2b2/1P3P2/1r6/R7/2P1BPP1/6K1 b - -,c6b5
3r3k/4q1bp/p5p1/PpP1pp2/1P1n4/5PN1/Q3BPK1/3R4 b - -,e5e4
4r1k1/1p4rp/p1q3p1/2pp1P2/3ppRQP/8/PPP3P1/4R1K1 b - -,g6f5
r1b2rk1/1p1nqppp/p2p4/2pPp2n/2P1P3/2N1QPP1/PP2N1BP/R3K2R w KQ -,e1g1
r1b5/1p1n2k1/p1p1p2p/P3P1b1/8/6N1/1P3RPP/5R1K w - -,f2f7
2r5/R3k1p1/3n4/1N3p2/1P6/8/5PK1/8 b - -,e7e6
1r5k/5prp/p1q1p2R/3bP3/5P2/1p1PN2P/3P2P1/1R1Q3K b - -,d5g2
r1b2rk1/pp4pp/1nn2p2/1B2p1B1/4P3/P4N2/1P3PPP/R3K2R w KQ -,g5e3
8/1p3pk1/6p1/7p/Pr5P/1P1R2P1/5P1K/8 b - -,f7f6
6k1/r3nR2/2p3P1/8/p2pB2p/P2P3P/4P3/6K1 w - -,g1f2
r5k1/1p1q1np1/2p4p/p2p1P2/P2B2P1/4RP2/1P2r2P/2Q2RK1 b - -,e2e3
4r2q/kp6/p1p1p3/P1Pp1p1r/1P1P1R1p/4P2P/3R1QP1/7K w - -,d2d1
5rk1/2p2ppp/2bp4/5PQ1/8/2N1R3/1Pq5/4K3 b - -,h7h6
2qr2k1/p1p2ppp/bp2rn2/n2p4/B2P4/P1P1PPN1/5QPP/R1B1R1K1 b - -,c7c5
2r3k1/5pq1/4p1p1/4P2p/5Q1P/8/6P1/1R5K b - -,c8f8
rq5k/1p3prp/p4Q2/2nPp3/1bB1N3/6R1/PP3PPP/2R3K1 b - -,b8g8
8/P1n5/8/8/1p2K3/1k6/7B/8 b - -,c7a8
2r2r1k/pp2p1bp/2qppnp1/8/3BP3/1Q3P2/PPP1N1PP/1K1R3R w - -,d4a7
7r/3b1k2/p1pPp3/1pP1KpR1/1P3B1r/P4B2/5P2/8 w - -,f3d1
8/4k3/1p6/p4P2/P1pK4/2P5/1nB5/8 w - -,d4d5
3r2k1/1p3p2/4pbp1/p4p2/5N2/P1P1Q1P1/1P1q1P1P/4R1K1 w - -,e3d2
8/1R3n1r/3p1k2/4p1pP/3pP1P1/2pP4/2r3B1/R5K1 b - -,c2d2
8/6B1/8/5p1p/pk3Kb1/5PP1/8/8 b - -,g4h3
5b2/7p/2k3p1/4p1B1/2K1P3/7P/6P1/8 w - -,g5f6
r1b1kb1r/p4ppp/1qp1pn2/3p4/Q1P5/6P1/PP2PPBP/RNB2RK1 b kq -,c8d7
1r6/r2knpp1/1p1ppn1p/8/PRPP4/5N1P/2R2PP1/5BK1 b - -,e7c6
r2qkb1r/4pppp/p1np1n2/1pp5/4P3/2P2b1P/PPBP1PP1/RNBQR1K1 w kq -,d1f3
1Br3k1/1p1R1ppp/p1n1p3/6b1/1P6/5B2/P1P2PPP/1K1R4 b - -,c8b8
1r6/8/k2n2p1/pP1p1p1p/2rPp2P/2P1P1P1/R1KB1P2/1R6 b - -,b8b5
r1b2rk1/pp3ppp/2p1pn2/q2p4/1bPP4/1QN1PN2/PP3PPP/2R1KB1R w K -,f1d3
8/6k1/6pp/4p3/8/1P3PP1/r4B1P/1R5K b - -,a2f2
5rk1/p1pq1ppp/1ppnb1r1/8/PP3Q2/3PNP2/1BP3PP/R4RK1 b - -,f7f6
r2r2k1/pb2bppp/2n3q1/8/3p4/1PB3PP/PQ3PB1/R2RN1K1 w - -,c3d2
2rq1rk1/5bpp/2B2b2/8/Pp1P1PP1/p7/P3QB1P/R1R3K1 w - -,c6f3
3k4/5p2/5Kp1/3P4/4RP2/8/8/5r2 b - -,d8d7
1r6/1p1rkppp/1np5/p4P2/PnB1N3/4PK1P/1P3P2/2RR4 w - -,c4b3
r7/5kpp/p1b1pb2/4Bp2/4p3/2N5/PPP2PPP/3R1K2 w - -,e5f6
5rk1/1p1b1p1p/3p2p1/1PpPp2n/2P1P3/1N6/r1B2PPP/R1R3K1 b - -,f8a8
4r2k/pp2q3/5pQP/3R4/3P2p1/8/PP2rPK1/5R2 b - -,e8g8
r2q1rk1/1b2bppp/p2p1n2/3PpPB1/1p6/1N3B2/PPP3PP/R2Q1R1K b - -,e5e4
3R4/p4rk1/5q1p/6p1/5n2/6p1/P5P1/1Q5K w - -,d8d2
r1bq1rk1/ppp2ppp/1nn2b2/3p4/2PP4/1PN2N1P/P3BPP1/R1BQK2R w KQ -,c4c5
8/7p/6nk/3P2q1/7P/6PK/2B5/8 w - -,h4g5
4b1k1/1p1nnrqp/p1r1p1pR/3pP1P1/P2P1NP1/1P1B1R2/3B4/4Q1K1 w - -,d2b4
2kr4/2p1ppbp/2b2p2/1p6/1P2P3/2N2N2/2P1KPPP/7R b - -,f6f5
r3q1k1/pb4rp/3p1n2/1Qn1pp2/5B2/2N3P1/PPP1PPB1/R3K2R w KQ -,b5e8
8/8/p1p1k1p1/2p4p/8/P1P4P/1P2K1P1/8 w - -,e2e3
4r1k1/p4p1p/6p1/1p1r4/8/5P2/PP2K1PP/R3R3 w - -,e2f1
r3k2r/1p2nn2/p1pbqp2/4p1pp/1P1PN3/P3P1PP/1B2QPB1/2R2RK1 b kq -,h8h6
8/8/8/pp5p/1r2kp2/1P5R/4K2P/8 b - -,a5a4
5r1k/6p1/p2q3p/1p1rp3/8/1PP1Q2P/P4PP1/2R1R1K1 w - -,e1e2
5r1k/6bp/1R4p1/5p2/2Q2P2/4P1PK/2pB3P/1q6 w - -,b6c6
r2qk1nr/1bpnppbp/p2p2p1/1p6/3PP1PP/2N1BP2/PPPQ4/R3KBNR b KQkq h3,h7h5
r3r1k1/1p3pbp/p1npbnp1/q1p3N1/2P2B2/2N1P2P/PP1QBPP1/R4RK1 b - -,a8d8
r1b2rk1/Bpp1qppp/p2bp3/P7/6n1/6P1/1PQ1PPBP/RN1R2K1 w - -,a7d4
1r4r1/5k2/2R1p2p/1B2P3/p1P5/1n6/1P5P/2KR4 w - -,c1b1
1k2r3/1p2qp2/1np4p/p1b1p1pb/P3P1n1/1PP2N2/2BNQPPP/B4R1K b - -,g4h2
1r2nbk1/1r6/2Rp1np1/B2Pp1q1/1PN1Pp2/N4P1p/4QRPP/6K1 w - -,g1f1
3rq1k1/pbr2pp1/1p1p1nn1/P2Pp3/1P2P3/5Pp1/1B1Q3P/R2RNBK1 w - -,h2g3
rn1q1rk1/pbp2ppp/1p1pp3/8/2PPn3/P2BPN2/1PQ2PPP/R1B1K2R b KQ -,f7f5
r4rk1/1p1n1bpp/1qpb1p1n/2Pp1P2/1p1Pp1P1/P3P3/1B1N2BP/RN2QRK1 b - -,d7c5
1r1q1rk1/p3bpp1/2p1n1p1/1p1p4/P1nP4/1Q3PP1/1PN1PBBP/3R1RK1 w - -,c2e3
3q4/5pkp/2P2bp1/3rp3/1P2Q3/5PPP/5B2/R5K1 w - -,c6c7
r1b2rk1/2q1bppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 w - -,b1d2:d4e5:d4d5
3r3k/2R3pp/2b2N1b/pq1pPp2/1p1P3Q/8/PP3PBP/6K1 w - -,h4h6
5r2/1b6/8/4R3/3p3p/1B1P2kP/PPP1R1P1/5nK1 b - -,f1e3
2kr3r/ppqn1b2/2pb1pp1/3p1p1p/3P1N1P/3BPQ2/PPP2PP1/1KNR3R w - -,c1b3
8/b1p2q1k/p1Pp2p1/P3r2p/8/7P/2Q2PP1/1B3R1K b - -,e5a5
1k6/pp4r1/2b1pb2/4p2B/3pP3/6P1/PPP2NP1/1K2R3 b - -,g7g3
5r2/2p5/1p1p2bk/p2Pp3/P1PbNRP1/1P1B4/6K1/4R3 b - -,f8f4
r1bq1rk1/pp1n1ppp/2pbpn2/3p4/2P5/1P1P1NP1/PB2PPBP/RN1Q1RK1 b - -,d8e7:b7b6:f8e8
6k1/3b1pb1/1p1p2p1/3Pp2p/qP2P3/5PPn/1Q5P/2B1NBK1 w - -,g1g2
3n4/1q2r1k1/1rpQ1pp1/1p1p3p/1N1P3P/P3P3/2R2PP1/2R3K1 b - -,e7d7
r1b2rk1/p5b1/2p5/6pp/2p5/2B3P1/PP4P1/RN2R1K1 w - -,c3g7
8/p4k2/1pnnp1p1/2p2p1p/2P4P/1PN1P1P1/P2N1P2/3K4 w - -,d1e2
b2r4/2q1b1kp/5pp1/nQpnp2P/1p2N3/2PP1N2/BP3PP1/2B1R1K1 w - -,b5a4
1kb3rr/1p2b3/3p1p1p/4q3/3N2P1/5BR1/PPP4P/1K1R1Q2 w - -,g3g2
1r3k2/1p3pp1/p3p3/2PB4/3P2b1/1P4P1/P7/4RRK1 b - -,e6d5
r1bq1rk1/p4pbp/2pp1np1/2p1pPB1/4P3/2NP1N2/PPP3PP/R3QR1K b - -,h7h6
8/4p2p/3p1pp1/k1nP4/p2nP3/4RPPP/3K4/1B6 w - -,f3f4
2r3k1/pp3p2/q3b1pp/1R6/1Q6/4P1P1/PP4BP/6K1 w - -,g2b7
6k1/7p/2Q1p1p1/2q5/8/2p3P1/4K1BP/8 b - -,c5h5
r3k2r/pp1b1p2/1q2pQpp/1P1pP3/8/3B4/R1PK1PPP/7R b kq -,h8f8
r4rk1/3q1p1p/p6p/1ppb4/P7/3P2NP/B4PP1/Q3R1K1 w - -,g3h5
8/2b4p/6p1/p5P1/1pN1k1K1/1P3N2/P1n5/8 w - -,f3d2
3q2k1/Bp1n1rb1/3p4/PB1Pp2p/QP2Pp2/5PpP/6P1/2N3K1 w - -,g1h1
r1bqr1k1/1ppp1pp1/p1n2n1p/2b1p3/4P3/2P2N1P/PPBP1PP1/RNBQR1K1 w - -,d2d4
r1b1qrk1/pppn1pbp/5np1/4p3/2B5/2P1PN1P/PP3PPB/RN1Q1RK1 b - -,e8e7
r1b2rk1/1pqnbppp/p2pp3/8/3BPPP1/2N4P/PPP1Q1B1/2KR3R b - -,a8b8
r3k2r/2p2ppp/1pq1p3/pR2Pn2/P1pP4/B1P5/2P1QPPP/R5K1 b kq -,a8d8
5rk1/1p4pp/3b4/p3P3/2PpP3/3B2P1/PP3R1P/6K1 b - -,f8f2
rnb2rk1/ppp2ppp/3p4/3P4/3q4/4P1P1/PP3PBP/R1B1K2R w KQ -,e3d4
r7/5kp1/3p1b1P/4p3/1p2P3/3q4/bQ6/K1R4R w - -,c1c7
r2qk2r/1bpnnpp1/1p1pp3/pB4Np/P2PP2P/2P5/1P1N1PP1/R2QK2R b KQkq -,e7g6
2Q5/3K4/4p3/5p2/2PPpP2/4P3/3B1bkp/8 b - -,h2h1q
3r1bk1/5p2/4p1p1/1p2P1P1/p1p2P2/3R1R2/1P2K3/2B5 b - -,d8d3
2r4r/kb3p2/p3p1p1/1pqpP2p/5P2/3BQ1PP/PPP5/1K1RR3 w - -,c2c3
8/4bpk1/4p1pp/p2q4/P5P1/2Q2N1P/4PPK1/8 b - -,e7f6
8/1p1kb1p1/p1n1pp1p/3pB3/3P4/3NP2P/PP2KPP1/8 w - -,e5g3
r1bqkb1r/pp4pp/2n1pp1n/2ppP3/5P2/5N2/PPPPB1PP/RNBQ1RK1 w kq -,c2c3
rnq1kbnr/pb3ppp/3pp3/2p5/4P3/P1N2N2/2PP1PPP/1RBQKB1R w Kkq -,f1b5
r5k1/5p2/6p1/2B1p2p/1PNpPb1q/3B1P1b/P4Q1P/R5K1 b - -,h4g5
2rq1rk1/1p3ppp/2nbpn2/pP1p4/3P1P2/P1NBP2Q/3B2PP/2R2RK1 b - -,c6e7
4q1k1/1p3p1p/5bp1/6n1/2P1b3/2B2nP1/PP3PBP/2QR3K b - -,e8c6
3r1kr1/4pp1p/p2p2p1/2nP2P1/2PQ1P2/qP3R1P/P7/1B2R2K b - -,d8d7
3r2k1/p3rpp1/1q5p/3n3Q/PpRP4/1P4PP/3B1P2/2R3K1 b - -,d5f6
2Q3k1/5p2/1p1qp1p1/p6p/P6P/1P4P1/5P2/6K1 b - -,g8g7
r2qkbnr/pp1nppp1/2p4p/3p1b2/2PP3B/4P3/PP3PPP/RN1QKBNR w KQkq -,b1c3
