4R3/8/5p2/5k2/r7/7P/5KP1/8 b - -,f5g5
2B2K2/6p1/7p/2k5/5PPP/1p1b4/8/8 w - -,c8f5
6k1/5p1p/B1rpp1p1/6N1/8/P6P/3r1PP1/4R1K1 w - -,a6b5
8/p5pp/B2k4/5p2/3KbP2/4P3/7P/8 w - -,h2h4
5rk1/2p4p/3p2p1/1P4P1/p6P/Pq6/1P1R1p2/3K1Q2 w - -,d1c1
2r5/3nkp2/pp1p3Q/4pP1p/P1q5/2N2b2/1PP2nKP/3R1NR1 w - -,g2f2
2rr2k1/5pp1/4p1n1/p1P1bb1p/3N4/2B1R2P/PP1p1PP1/R2B2K1 w - -,e3e5
r1bq1r1k/1pp3pp/p2p1n2/2P1ppB1/4P3/1QPP1N1P/P3RPP1/R5K1 b - -,h7h6
8/6p1/5k1p/r1pprP2/P5P1/1P1K1B2/8/2R5 b - -,f6e7
r3k2r/pb1nppbp/1q1p2p1/1ppP4/4P3/2P2N2/PPQNBPPP/R4RK1 w kq -,a2a4
r1bq1rk1/1p2bpp1/p1p2nnp/3p4/1P2P3/1BPP1N1P/P2N2PB/R2Q1R1K b - -,a6a5
2r3k1/2q1nppp/p1rpb3/1p2p3/4P3/1P5P/P1PQNPP1/2RRN1K1 w - -,f2f4
3q1b1k/1r5r/pp1p1nQ1/2pPpPp1/P1P1P1N1/1P6/4B1K1/4R2R b - -,f6g4
r4rk1/1p1nq1pp/2p1p1b1/p1P1P3/3B1p2/PP4PP/4PPQ1/R1R2NK1 b - -,e7g5
6k1/5p2/6p1/p2p1p1p/P3qP1P/5rP1/3Q3K/4R3 b - -,f3d3
r3r1k1/3n2bp/b2p2p1/qNpP2B1/2B5/1Q6/PP3PP1/R2K3R b - -,a8b8
r7/5pk1/1qBp1p2/p3pPb1/Pp4Q1/6Pp/1PP4P/4RR1K b - -,b6c6
6k1/1p4p1/5p1p/p7/P4PP1/1PP3K1/8/8 b - -,g7g6
r1bq1rk1/ppp1ppbp/2np2p1/7n/2PPP3/2NB4/PP2NPPP/R1BQ1RK1 w - -,d3c2
1r2k2r/p1p2ppp/2q1b3/1pBp4/3P4/R7/P1P2PPP/3Q1RK1 w k -,a3a7
r2qk2r/2p1bppp/p1pppn2/7b/3PP3/2N2N1P/PPP2PP1/R1BQR1K1 w kq -,b2b3
r4br1/1kn1p2R/1ppqP1p1/3p2B1/p1nP1PP1/2PB2K1/4Q3/2N1R3 b - -,b6b5
7k/Q5b1/4q1pp/4p3/PPbrN2P/5PP1/5R2/R5K1 w - -,g1g2
1r2r1k1/2q2pbp/b1pp2p1/p1n5/P3PB2/2PP1N1P/2Q1N1P1/3RR2K b - -,b8b7
3n1r2/2pb2k1/1p1p1pp1/p2Pp3/PnP1P1P1/1PN1PNK1/7R/1B6 b - -,d8b7
8/4pp2/3b1kp1/R2P3r/R2N3P/p7/3r1PK1/8 w - -,d4b5
r1bq1rk1/pp2bppp/3p2n1/2pPp2n/2P1P3/P1NB1N1P/1P3PP1/R1BQ1RK1 w - -,f1e1
8/2p1n3/4kp2/2Pn3p/N1KP3P/8/3B1P2/8 w - -,a4c3
r2r2k1/1p2pp1p/1p3bp1/8/3P4/PbN1P3/1P2BPPP/R3K2R w KQ -,f2f4
2rqk2r/pp2ppbp/3p2pB/3P4/2n5/2N5/PP2BPPP/R2Q1RK1 b k -,g7h6
2k3r1/1pb4q/p1p1p3/P1Pp1p1p/1P1P1Br1/4P2R/1Q3RPP/6K1 b - -,c8b8
r3r1k1/ppp2pbp/6p1/2BRp1P1/4Pn2/5N2/PPP2P1P/2K3R1 w - -,d5d2
r1bq1rk1/p1nnppbp/3p2p1/1ppP2B1/2P1PP2/2N2N2/PP1QB1PP/R3K2R w KQ b6,c4b5
1r3r2/2k4p/2p1p1p1/3p4/5q2/2P1R2P/PP2Q1P1/2K1R3 w - -,g2g3
4r1k1/Nn1qppbp/1p4p1/3P1b2/1P3B2/6P1/P4PBP/2Q1R1K1 b - -,b7d6
2rq1rk1/pb1nbppp/1p1ppn2/8/2P2B2/P4NP1/1PQNPPBP/2R2RK1 b - -,f6d5
8/8/1p4k1/1P5p/4N3/6K1/6n1/8 b - -,g2e3
8/7p/bpB1p1p1/5p2/2P2P2/k1K5/6PP/8 w - -,c6d7
8/8/p1p1nk2/N1P1p2p/bP2B1pP/P1K3P1/5P2/8 b - -,e6d4
5rk1/q4ppp/p7/3bN3/Pp3P1b/1n1P3P/1BQ1R1P1/5RK1 w - -,g1h2
2r1rb2/1p5k/pB2p1p1/7p/1PP2P2/1N4PP/P3B3/4R1K1 b - -,f8b4
rn1qkbnr/ppp1pppp/3p4/8/6b1/5NP1/PPPPPP1P/RNBQKB1R w KQkq -,f1g2
r4rk1/4bpp1/p1n1pn1p/1q6/2p2BP1/2P3NP/PPQ2PN1/R2R2K1 b - -,f8c8
2brr1k1/1p2npp1/pP1p2np/3Pp3/qB2P3/4N1PP/2PQ1PBK/4RR2 b - -,a4b5
1k1rq2r/1pp2ppp/p1nb4/P3p3/1P2P3/2P1BN1P/4QPP1/R4RK1 b - -,c6a7
r4rk1/ppnb2pp/2p1pp2/2Pp4/3P1P2/1PRBPN2/6PP/5RK1 w - -,f1a1
1nn2rk1/r2q2bp/p2p2p1/1bpPpp2/B1N1P3/1PN5/2PB1PPP/R2Q1RK1 b - -,f5f4
r1bqnrk1/1p3ppp/2pp4/p1nPp1b1/2P1P3/2NB1P2/PP2NBPP/R2Q1RK1 w - -,d3c2
r4rk1/p2Bppbp/6p1/q3P1Bn/3p4/2N2Q2/PP3PPP/R4RK1 b - -,d4c3
r3r3/p4ppk/3p3p/1PpnqP2/4P2P/2PB4/P2Q1P2/2R1K1R1 b - -,d5f4
3q2k1/2b2pp1/2Q4p/3p4/7P/1P2P1P1/1B3P2/6K1 w - -,b3b4
r4k1r/pp1n1p2/1bp2q2/4pN1p/4P1b1/1BPP4/PP3PpB/R3QRK1 w - -,g1g2
r4rk1/pp1b1ppp/5n2/q2p4/3P4/1QP3P1/P2N1PBP/R3R1K1 w - -,d2f3
r2q1rk1/1p1bnpbp/p1npp1p1/2p5/P1B1PP2/2NP1N2/1PPBQ1PP/R4RK1 w - -,g2g4
r4rk1/p2nq1bp/1pp1p1p1/3p1p2/Q1BP1P2/2P1PN2/P5PP/R3BRK1 b - -,d5c4
2rr2k1/pp2ppb1/2n3pp/3R1b2/1q3B2/PB2P2P/1P1NQPP1/3R2K1 b - -,b4b6
3rk2r/pp2b1p1/2p4p/6p1/PnBPPn2/2N2PPP/1P5B/3R1RK1 b k -,f4h5
8/5rpk/4p3/pQ1p2R1/5r2/1P2q2P/P7/1K4R1 b - -,f4f1
rn2r1k1/p4ppp/3b1n2/3N1q2/1p6/1B1P1QPN/PPP5/R1B2RK1 b - -,f5h3
r1bqrnk1/1p4pp/p1pbp3/3pPp2/2P5/1PN1P1Q1/PB1PB1PP/R4RK1 b - -,d6e7
8/8/8/1p3pp1/bP6/4k3/2p3B1/2K5 b - -,f5f4
6k1/1b3pp1/p3p2p/1pn5/1P2P3/PN4PP/5P2/6K1 w - -,b3c5
r2r2k1/2qn1bpp/1pp2p2/p3pP2/P2bP1P1/4N2P/1PP3B1/R1B1QR1K b - -,b6b5
r6k/4bppp/3p1n2/qprP4/5B2/1B3Q2/PP1R2PP/1K5R b - -,f6d7
4r1k1/1p1qrp2/p5p1/P1pPn1N1/3b2P1/7Q/1P4KP/R1B2R2 b - -,d7d5
r2q1r2/pp4kp/2p1bpp1/3pn2P/7Q/2N1P3/PPP1BPP1/2KR3R b - -,f6f5
r1b2knr/pp2Qpbp/6p1/3p4/3pN3/6P1/PP2PPBP/R1B1K2R b KQ -,g8e7
2rk3r/4bBp1/1qnp1pPp/2n1pP2/1p2P2P/pP3Q2/P1PRN3/1KB4R b - -,b6c7
4r3/p1p3kp/b1p3p1/2bP4/5N2/PP3R2/6PP/1R5K b - -,c6d5
rnbqk1nr/1p2bppp/p2pp3/8/4P3/1N1BB3/PPP1QPPP/RN2K2R b KQkq -,g8f6
2r2rk1/pb2qppp/1p2p2b/1BnpP3/3N4/PP5Q/1BP2PPP/3RR1K1 b - -,b7a6
r1bb1rk1/pp4pp/2pP3q/4P3/4p2P/1P2P1P1/PBQNBn2/2KRR3 w - -,e2c4
r1b1r1k1/ppp1qpbp/2np1np1/8/2PN4/PPNBP3/5PPP/R1BQ1RK1 w - -,d4e2
r1r3k1/1q1n1pbp/b1n1p1p1/p2p4/N2P4/BP2PNP1/5PBP/RQR3K1 b - -,c6b4
r2q1rk1/pp3pbp/1n4p1/2pPp3/3nPPb1/2N1B2P/PP1Q2P1/2K1RBNR b - -,g4d7
r4rk1/4ppb1/b2p1npp/qBpPn3/P3P3/R1N2P2/1P3NPP/2BQ1RK1 b - -,f8b8
r3k2r/pbbp2p1/2n2q1p/2pB1p2/1pN5/4PN2/P4PPP/R2Q1RK1 w kq -,a2a3
6k1/6pp/7r/2K5/2P2P2/1P2R1P1/8/8 b - -,g8f7
2kr1b1r/6pp/p3pn2/1pn1q1B1/2p5/2N2Q2/PPB2PPP/R4RK1 b - -,e5g5
r1bqkb1r/ppppnppp/8/8/3QP3/8/PPP2PPP/RNB1KB1R w KQkq -,c1f4
5rk1/1p1q2pp/2p2r2/p2pR3/Pb3P2/2NQ2PP/1PP1R1K1/8 b - -,b4d6
3k4/1p6/p1n5/4bpP1/2P4p/1P2B2P/P3N3/6K1 w - -,g1f2
r1b2rk1/p1ppb1pp/4q3/2p1N3/8/4Q3/PPPP1PPP/R1B2RK1 w - -,e5f3
8/5q2/1KQ5/1P6/8/8/1k6/8 w - -,c6b7
2r3k1/2nr1p1p/1p1p2p1/p3p3/2P1Q2q/1P2PP2/P2RBP1P/3R3K b - -,h4d8
2r3k1/pp4pp/8/n2P1pN1/3p4/8/P4PPP/3R1K2 b - -,c8d8
2r5/3N1pk1/4p3/p2pR1b1/1p1P2Pp/2P2R2/PP3PK1/1q6 b - -,f7f6
6k1/5p1p/3p1bp1/3P4/b1PNPp2/3Q1N1P/1q3PK1/8 w - -,d4b5
r3k2r/pp1b1ppp/4pn2/8/1BB1n3/5N2/PP3PPP/3RK2R w Kkq -,f3e5
8/1p3k2/3rR2p/1PN2p2/5r2/2K5/7P/4R3 b - -,f4f3
5r1k/pp2q2p/2p3p1/3p4/5r2/2PB4/PPQ5/1K1R2R1 w - -,g1g2
7r/4kp1p/4p3/2P1n1p1/1P1R1bP1/P6P/K3B3/8 b - -,h8c8
8/6k1/8/B1pB2Pp/2P1N3/1b1p4/8/2b4K b - -,b3d1
1r4k1/1r1b1ppp/p2b4/3Pp3/2N5/P3PN2/2B2PPP/1n3RK1 w - -,c4d6
rnbqk2r/pp2ppbp/3p1np1/6B1/3NPP2/2N5/PPP3PP/R2QKB1R b KQkq f3,e8g8
2r2rk1/ppbR1ppp/8/8/8/4B2P/PPP2P2/2K1R3 w - -,e3a7
rnbqkbnr/ppp2ppp/8/4p3/3PN3/8/PPP2PPP/R1BQKBNR b KQkq -,e5d4
8/6p1/6p1/2bkp3/6P1/3K1P1P/2N5/8 w - -,c2e1
8/5pk1/p3p2p/1p4p1/4R1P1/P1P5/1P1r1P1P/6K1 b - -,d2b2
r1bq1rk1/1pp1bppp/p1p2n2/4p3/4P3/2P2N2/PP1PQPPP/RNB1K2R w KQ -,f3e5
6k1/2p2pp1/1bB1rn2/1PB4p/1P2p3/p5PP/P2r1P2/R4RK1 w - -,f1d1
5rk1/5pbp/rN2p1p1/4n3/8/P4P2/1PPB3P/2KR3R w - -,f3f4
3rr1k1/pp3ppp/3P2n1/2p1PqP1/6N1/2P3Q1/P2R4/4R1K1 w - -,g4h2
3rk2r/5p2/p1q1pP1b/3bP1Np/1pPBp3/1P6/P4Q1P/1KR3R1 b - c3,b4c3
3r2k1/1p3ppp/p3p3/P2r4/1R1P1R1P/2q5/1P3PP1/6K1 w - -,b2c3
2kr3r/pp2bpQp/2n1p3/2P2b2/qnP5/NN2B3/PP2BPPP/R3K2R b KQ -,h8g8
1r6/p4pk1/1q4pp/2p5/8/P4RP1/1r1RPP1P/2Q3K1 w - -,c1c3
r1bqkb1r/pp1pnppp/4p3/1B6/3pP3/3P4/PPP2PPP/RNBQR1K1 b kq -,g7g6:a7a6
1r1qnrk1/R4p1n/2N3p1/2pP1b1p/1pP1N3/3B3P/1P1Q2P1/5RK1 b - -,d8b6
8/2k5/2P1p1p1/1BbbPp1p/2N2P1P/6P1/4K3/8 w - -,c4e3
4r1k1/pb1n1p2/1p3n1p/3pq1p1/1P1Q4/Pr1BPP1N/5BPP/R2R3K w - -,h3g1
q3K3/8/P3Q3/8/8/7P/3k4/8 w - -,e8e7
8/5b2/4pk2/1p2p3/1P2P1K1/1BR2P2/3r4/8 w - -,c3c5
1nb2rk1/r4pbp/pqp1p1p1/3pP3/1P1P4/1NPB1P1N/2Q3PP/R3R2K b - -,b6d8
r2r2k1/pb1nqppp/1p1ppn2/2p3N1/1PP5/P1Q1P3/1B1PBPPP/R4RK1 w - -,f2f4
4r1k1/1N2q1pp/2p5/1P1n1p2/3Q1P2/6P1/5P1P/3R2K1 b - -,e7b7
1r3k2/4r2p/5Rb1/4n1p1/1p2P3/1P1N3P/1KP1B1P1/3R4 b - -,f8g7
r3r1k1/2qnbppb/p1p2n1p/1pPppP2/3P4/1PN1PNPB/P6P/R1BQ1RK1 w - -,c1d2
rnb2rk1/ppp2pb1/3ppqpp/8/3PP3/2P2N2/PP2BPPP/RN1QR1K1 b - -,b8d7
8/1r6/4b2p/p2pk3/3Rp2p/2P1K3/PP2B1PP/8 w - -,b2b3
4k2r/pp3ppp/1q2p3/2brP2b/5B2/5N1P/PP2QPP1/2R2RK1 w k -,a2a3
3r4/4b1pk/1R3pn1/4p2p/2B1P2P/P4PB1/6P1/5K2 b - -,e7a3
r2qkb1r/1b1n1ppp/p2ppn2/2p5/Np2P3/1P1PB1P1/P1P1NPBP/R2Q1RK1 b kq -,d8c7
1rb2qk1/1p2nrb1/pN1p1n1p/3PpPp1/1P6/4BPP1/P2QN1BP/2R2RK1 b - -,c8f5
r1b2rk1/pp2ppbp/2n2np1/3p3q/1PNPP3/P2B1N1P/5PP1/R1BQ1RK1 w - -,e4d5
rnbqk2r/pp4pp/4pb2/5p2/1PP1p3/P3P3/1B1N1PPP/R2QKB1R w KQkq -,b2f6
r1bqk2r/pp1p1ppp/2n1pn2/2P5/1bP5/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,e8g8:b4c5:d8a5
r3kb1r/1pqb1pp1/p1nppn2/6Q1/3NPP1p/2N1B3/PPP1B1PP/2KR3R b kq f3,a8c8
2r5/p1q2pk1/1p2n2p/4P1pP/2rB2P1/2P2PK1/P2R4/1Q2R3 w - -,b1f5
1rq2r2/4p1bk/p1ppb1pp/4Pp1n/1P1P1P1N/2N4P/2P2RPK/R1B1Q3 w - -,c3d1
r1b2k1r/4qpb1/1pp4p/p1p1p1p1/P3Pn2/2PPB1NP/1P1Q1PPN/R3R1K1 b - -,c8e6
2k5/pp3p2/3P1Pp1/4p1Pn/3pP1b1/3P2q1/P1PQ1KB1/8 w - -,f2f1
8/8/p1pkbppp/3p4/1P1K3P/4P1P1/P4PB1/8 w - -,g2f1
2qrr1k1/pp1n1ppp/1npBp3/8/2PP4/1B3Q1P/PP3PP1/3RR1K1 b - -,d7f6
8/8/4k3/2p2p2/1p2p3/1Pb2rP1/P3KP1R/4B3 w - -,e1c3
2R3k1/1b2qppp/1p2pn2/pB1pN3/Q2P4/4P2P/PP3PP1/6K1 b - -,b7c8
r2qkb1r/p4p2/bpn1p1p1/2ppPn1p/5P2/2PP1NP1/PP2Q1BP/RNB2RK1 w kq h6,f1d1
2r2bk1/1pq2p1p/1nP3p1/1Q1p4/4P1P1/4BP1P/2R3B1/6K1 b - -,b6c4
r1b2rk1/pp1n1p1p/8/4P1pq/3NpB2/2P3P1/P1Q2P1P/R4RK1 w - -,e5e6
1nk3r1/1p2qp1p/p1p5/1P4P1/P1Q4B/8/6PP/5RK1 w - -,f1f7
2r1k2r/1bq1bppp/p2pp3/1pn5/3NP1PP/3BBP2/PPP2Q2/1K1R3R w k -,d4b3
8/R7/5ppk/8/P1n1B3/r7/2K5/8 b - -,f6f5
2r2k2/3R1p1p/4P3/7r/1p3PR1/1Pp5/8/7K w - -,h1g2
rnbqk2r/1p3ppp/p2bpn2/2p1N3/P7/2N5/1PPPBPPP/R1BQK2R w KQkq -,d2d4
2r4k/7p/8/3B2R1/p7/6K1/7P/8 b - -,a4a3
3r1r1k/2p1q1bp/p1b1P1p1/1p4p1/P4pP1/1BP4P/1PQ2P1N/R3R1K1 b - a3,d8d6
r1n2k2/pp5p/2p1Rnp1/2R5/3q3P/1Q4P1/PP3P2/6K1 w - -,c5c4
3r1rk1/pq3ppp/4pn2/1pp1b3/4P3/PP1P2P1/1BQ2P1P/R2R2K1 w - -,b2e5
8/2n5/5K2/k7/8/5P2/3N4/8 b - -,a5b6
8/8/8/7p/1p3P2/2kbK3/8/4R3 w - -,e1d1
r1bq1rk1/ppp1ppbp/2n2np1/8/2N5/3P1NP1/PP2PPBP/R1BQ1RK1 b - -,f6d5
5k2/4n3/R4p1p/5B1P/1r6/6K1/P5P1/8 w - -,f5d3
2r5/p2rkppp/4p3/3p4/1RpP1P2/P1P2P2/6PP/1R4K1 w - -,a3a4
r5k1/3pqpp1/p1b1p1p1/1p2P2r/5QR1/2NB4/PPP4P/2K2R2 w - -,f4g3
r1bq1rk1/pp2bppp/2pp1n2/4n1B1/3NP3/2N5/PPP1BPPP/R2Q1RK1 b - -,h7h6
r2qk2r/pp1nbppp/2p1p3/7b/3P4/1B3N1P/PPPN1PP1/R2QK2R b KQkq -,e8g8
r2r1bk1/1q1npp1p/p1p1b1p1/1p2B3/2PP4/1PN4P/P3BPP1/2QRR1K1 w - -,e5f4
8/4k3/p4p2/Pbp1pPp1/3pP1P1/8/3B4/r1NBK3 b - -,c5c4
6k1/6p1/1b2pp1p/1Pqp4/2rN4/3RP1PP/3Q2K1/8 b - -,e6e5
r3r1k1/1p3p1p/2p1bbp1/p1P1p3/4P3/1P3N2/P3BPPP/R2R2K1 b - -,a5a4
8/1pn1kpp1/1p1Np3/r2p2p1/3P2P1/P1P1PP1P/2K5/R4B2 b - -,e7d6
8/8/1k1n1p1p/1pp1pPpP/3pP1P1/1PbP4/2P1K3/1NB5 b - -,b6a5:b6c6
8/2qR1pk1/4p1p1/p3Pn2/Pp3b1p/1P3N1P/6P1/3Q3K b - -,c7c5
2rq1rk1/pB1b1p1p/1p2p1p1/n7/3QP3/2P2P2/P3N1PP/1R1R2K1 b - -,a5b7
b2r4/3rkp1p/p3pp2/1pN5/n2PP3/P3K1P1/5P1P/2RR1B2 b - -,a4c5
5rk1/pp1qnppn/4p2p/3pP3/1r1P4/2NR4/PP1NQPPP/R5K1 w - -,d2f1
1rb2rk1/p4ppp/1p2pq2/5n2/3PB3/2P2N2/P3QPPP/R4RK1 w - -,f3e5
8/2r2p2/p3b3/N1p1Pk2/2P5/4K3/P7/2R5 w - -,c1b1
8/P6k/8/2Q4K/5q2/8/8/8 b - -,f4f3
8/7p/N2kp1p1/1p2p3/4K1P1/Pn6/1P5P/8 b - -,b3d2
r1bqkb1r/ppp2ppp/2n2n2/4p3/4P3/2P2N1P/PP2QPP1/RNB1KB1R b KQkq -,f8c5
8/8/8/1p2rkpR/1K6/7P/8/8 w - -,h5h6
8/1p1r4/2p3kp/8/3P1R2/5P2/8/4K3 b - -,d7f7
3r4/7p/4k1p1/1r1pB3/5PK1/3R3P/7P/8 w - -,h3h4
b5k1/2qn1p1p/p2pp1p1/1p6/1P2PP2/PN1P4/1b3QPP/1N4K1 w - -,f2b2
R1K5/2P2p1k/5Pp1/6P1/7P/8/p2r4/8 w - -,c8b7
rq4k1/4npp1/7p/1PRp4/1P2p1P1/BB6/p4P1P/b2Q2K1 w - -,d1a1
r4qk1/1p3p1p/p1b1r1p1/6P1/4Pp1Q/2BB4/PPP4P/4R2K b - -,a8e8
r1bq1rk1/pp2npbp/3p2p1/2p1p3/2NnP3/2NP2P1/PPP2PBP/R1BQ1RK1 w - -,a2a4
7r/1b3k2/1p6/1P1pqp2/P1p4b/Q1N1PBR1/4R3/5K2 b - -,e5g3
5k2/p1pr1ppp/8/2RP4/4P3/P7/3r1PPP/4R1K1 b - -,f7f5
8/8/P4R2/4k1P1/4p3/r7/3K1P2/8 b - -,a3d3
r1bq1rk1/1p2bppp/p2p1n2/2p1n3/P2NP3/2N5/BPP1QPPP/R1B2RK1 w - c6,d4f5
r1b1kb1r/2q2ppp/2p1pn2/p7/P1BP4/2N5/1P3PPP/R1BQK2R w KQkq -,d1e2
r3k2r/p5pp/2p1bb2/4pp2/2P5/5N2/PP2KPPP/1RBR4 w kq -,b2b3
r1bq1rk1/ppp1ppbp/2np1np1/8/2P5/2N1P1P1/PP1PNPBP/R1BQK2R w KQ -,d2d3
5R2/8/2K3kp/8/8/8/8/3r4 b - -,h6h5
6r1/3b4/1p1Nk1pR/2p1P3/8/4K1P1/8/8 w - -,d6c4
1R2k3/3rn3/6p1/2p4r/8/4P3/2KP2R1/8 b - -,e8f7
r2q1rk1/1p1nppbp/2bp2p1/p7/2PBPP2/2NQ4/PP2B1PP/3R1RK1 w - -,d4g7
r1bqk2r/ppp1nppp/2np4/2b5/2B1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,a2a3
