r7/2Rb1p1p/3Pk1p1/P7/8/8/3R3P/6K1 w - -,c7b7
r3nr2/p1ppn1k1/1p2p3/q2P2P1/b1P1B3/B1P2P2/P5QP/1R3RK1 b - -,e8d6
3r2k1/p2r1pbp/2b3p1/1p6/3B4/1PP1P1P1/4BP1P/R2R2K1 b - -,b5b4
1r4k1/p4pp1/b2b1q1p/1p2pP2/1n1pP2N/1P1P2PP/P1r3BN/R2Q1RK1 b - -,f6g5
r1b2rk1/1pq1bppp/p1nppn2/8/2P1PPP1/1NN5/PP4BP/R1BQ1RK1 b - -,f6d7
8/6Bp/1b1Pk3/ppp5/4K3/1P4P1/P6P/8 b - -,e6d6
5B2/1b3p2/5Pk1/1p1N2p1/4K1Pp/1P3P1P/7b/8 w - -,f8c5
2rq1r2/1pp2ppk/pb1pbnnp/4p3/4P3/P1PP1NN1/1PBB1PPP/R1Q1K2R w KQ -,g3f5
2r3k1/ppr2pp1/1q2pn1p/3p4/3PnN2/2PNR3/PP2QPPP/4R1K1 w - -,a2a3
1rbn1r2/pp1q2bk/1P1p2pp/2p1pp2/2P3nN/P1NPP1P1/3B1PBP/1R1Q1RK1 b - -,a7a6
2qrr2k/1pp1b1pp/p7/4N1p1/2Qp1PP1/P5nP/1PP5/R3R1K1 w - -,e5f7
8/4r3/5pk1/7p/pRP3P1/Pb1KB2P/8/8 w - -,c4c5
8/p3n2k/4q1pb/1Np4p/7P/2P2NP1/1P3P2/3rBQ1K w - -,h1g2
1nbq1rk1/r4p1p/3p2pb/p1pPp3/PpP1Pn2/1P4P1/1B1NBP1P/R2Q1RNK w - -,g3f4
r2q1rk1/pb1nbpp1/1pp2n1p/3p4/Q2P3B/2NBPN2/PP3PPP/R3R1K1 b - -,f6e4
6k1/7p/6pP/1P4P1/3nPpR1/p1RB4/1r3P2/K1b5 b - -,g8f8
3k4/p2n4/4p2r/2R4p/5N2/P5P1/6KP/3r4 w - -,c5a5
8/5pk1/3p1bp1/3Q4/1p3P1p/1P2r3/6K1/8 b - -,e3g3
5b2/4q1k1/6Pp/2p2Q2/3pB1P1/p2P4/5P2/5K2 w - -,f5d5
r1r5/1pnqppbk/3p2p1/2PP3p/1P6/4BP2/2RQ2PP/3R1BK1 b - -,d7a4
r1bqk2r/ppp1nppp/2np4/2b5/2B1P3/P1N2N2/1P3PPP/R1BQ1RK1 b kq -,h7h6
2r2rk1/1p1bbpp1/3q3p/1PpB4/8/1Q2P2P/1P1N1PP1/R2R2K1 b - -,d6b6
r1bqk2r/ppp1npbp/2n3p1/4p3/2Pp4/3P1NP1/PPN1PPBP/R1BQ1RK1 b kq -,a7a5
3r4/pp4pk/2p1Q2p/8/3P1n2/1P3N2/2q3PP/4R1K1 w - -,e6g4
r4rk1/p1q1bppp/bnp1p3/2ppP3/5P2/1P1P1N2/P1P1N1PP/R1BQR1K1 w - -,c2c4
r1b2rk1/p4pp1/2p4q/6b1/3p4/1BP3Q1/P4PPP/RN2R1K1 w - -,h2h3
r4r2/1pp2pk1/p2p1b1p/6p1/PPB1PP2/1N4R1/6K1/5R2 b - -,b7b5
r1b2rk1/ppq1bpp1/2n2n1p/2p1p3/2N1P3/2P2NP1/PP2QPBP/R1B2RK1 w - -,a2a4
r1b2rk1/pp3pb1/1qp3p1/2n1p2p/7P/2BPP1P1/PPQ1NPBR/2KR4 b - -,c5a6
2rq1rk1/pp1bppb1/3p1np1/4n2p/3NP2P/1BN1BP2/PPPQ2P1/2KR3R w - -,e3g5:h1g1:c1b1:e3h6
5k2/7p/2p5/N1P1P1r1/5n2/5r2/PP6/1R3B1K b - -,f3g3
r4rk1/1p3pp1/1qp1p2p/p2pPbn1/P2P4/1PP2P2/4B1PP/RN1QR1K1 b - -,f7f6
r1r3k1/4bppp/p3p3/3p4/b5PP/P5B1/1P2BP2/RK5R w - -,b1a2
8/6k1/5R2/4P2p/P4P2/2p2K2/7r/8 w - -,f6c6
5bk1/6pp/2Pnpp2/Bp6/3N4/6P1/5PKP/8 w - -,c6c7
5rk1/pp1r1pp1/1np1p1qp/6PN/2PP3P/6R1/PP2QP2/K2R4 b - -,h6g5
3rk2r/pp1nbpp1/1qp5/3p2Pp/3P1B1P/3QPP2/PP2NK2/1R5R w k -,b2b4
2kr3r/ppb2p2/3p1n1p/P5p1/1p1qp3/7P/2BNQPP1/R1B2RK1 w - -,a1b1
q3k2r/p2b1ppp/3Qpb2/8/8/5N2/P1P2PPP/1R3RK1 b k -,a8c6
rnbqkb1r/1p3ppp/p3pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq c6,e1g1:a2a4
3rr1k1/2p2q2/1pP3pp/3ppn2/pP2P3/P4NP1/Q4PKP/2RR4 b - e3,d5e4
r6r/1p1kb3/nn2q1Q1/p1ppP2p/P2P4/2P5/1P2N1PP/R1B2RK1 w - -,g6c2
4r1k1/5p2/1npb4/p2p2q1/P2P3P/4PP2/5BBP/2R3K1 w - -,h4g5
8/8/8/4R1p1/5pP1/r4P2/1k2K3/8 b - -,b2c3
r4rk1/1b6/pp2pqnp/2ppnB1Q/P7/2P3NR/1P4PP/5R1K w - -,h5h6
4rbk1/5pp1/pN3n1p/2pb4/3p1B2/P4P2/1PPRN1PP/6K1 b - -,d5c6
r4rk1/pb1nbpp1/5n1p/q1pp4/5B2/P1NBPN2/1P3PPP/2RQ1RK1 w - -,f3e5
r1bqkb1r/1p1n1ppp/p3pn2/3p4/3P1B2/1QNBPN2/PP3PPP/R4RK1 b kq -,d8b6
r4rk1/1bq1nppp/p7/1pb1p3/2p1P1n1/2P1NQ1P/PPB2PP1/R1B1R1K1 w - -,h3g4
r1b2q1k/b2n4/2p1ppQ1/p2pP3/N7/P7/1PP2PPP/R3R1K1 w - -,e5f6
r2qkb1r/1b1n1ppp/4p3/p2pP3/P3P3/6P1/3N1PBP/R1BQ1RK1 b kq e3,d7e5
1r1qrbk1/2p2ppp/1nb5/1P6/3Pp3/N3P1P1/3B2BP/1R2QRK1 b - -,c6d5
r2r2k1/pp2ppbp/4n1p1/5R2/4N3/1P1Q3P/P2B1PP1/3R2K1 b - -,d8d3
2rbk2r/1p3ppp/2n5/1B1N4/6b1/5N2/1P3PPP/R2R2K1 b k -,e8g8
8/2b5/P3r3/1P3pk1/r6p/2P1p2P/4Q1P1/4R2K w - -,e2c2
r5k1/5ppp/np4r1/p1pp1q2/3P4/PP2P2P/5PP1/R1R1BQK1 w - -,g1h1
8/1p2kp2/n1p2p2/4p2p/RPP1P2P/2K1P3/7r/3B4 w - -,d1h5
4r1k1/2p2pp1/4n1p1/1P6/2Pp1BPq/3P3P/r4PB1/1R1Q1RK1 b - -,e6f4
1b1r2k1/5qp1/p7/1p2n3/2r4p/PQ5P/1P1NRPP1/4RNK1 b - -,d8d3
3b4/1p3pk1/2p1b1p1/2B1p2p/p1P1P3/1P3BP1/P4P1P/6K1 w - -,f3e2
8/8/1pNb2k1/6Pp/2P5/5Pp1/P5K1/8 w - -,a2a4
8/3k4/8/2PP4/3KB1b1/8/8/8 w - -,d4e5
1r3rk1/2pn1pp1/p2pbb1p/P5q1/1pNBP3/1B3Q1P/1PP2PP1/R3R1K1 w - -,d4f6
6k1/5p2/1p6/2p3pp/P7/1p2rPP1/1P1R1K1P/8 b - -,e3e6
1r1q1rk1/1p1bbppp/p1nppn2/2p5/2P1P3/2NPBN1P/PP1QBPP1/R4RK1 w - -,a2a4
2r3k1/pp1b1pp1/4p2p/q3P3/n1BP2P1/bQ3N2/P4P1P/1KR4R b - -,a3c1
8/4bk2/R3p1p1/4P2p/4KP2/p7/8/8 w - h6,a6a8
3r2k1/pp3pp1/4p1np/3q4/P2Q4/1P1R4/3B1PP1/4R1K1 b - -,d5d4
rn3rk1/pp3pp1/3q3p/P2N1p2/1bBp4/4P3/1P3PPP/R2Q1RK1 w - -,a1a4
r2q1r1k/1pp2pbp/p1np2p1/4P3/4P1b1/1BP2N1P/PP1Q1PP1/R3R1K1 w - -,h3g4
2rq1rk1/1b1n1ppp/pp2pn2/3p4/Pb1P1P2/1P1B4/1BPNN1PP/R2Q1RK1 b - f3,f6g4
r4rk1/1pq1b1pp/1nb1p3/p1p1Pp2/P1P2P2/3BP3/1BQ3PP/RN3RK1 w - -,b1c3
r2qkb1r/1p3pp1/p3p2p/3pP3/6b1/2N3P1/PP2PPBP/2RQ1RK1 b kq -,d8a5
5bk1/2r2p1p/b1p1pBp1/prPpP3/Nq1p1P1Q/1P1P1R2/P1R3PP/6K1 b - -,b5b8
2r2r1k/5q2/6pp/3b1nN1/1Qn5/P1R1P1P1/3P1PBP/2R3K1 b - -,h6g5
r2qr1k1/4bpp1/p1n1bn1p/1ppPp3/P7/2PP1NNP/1PB2PP1/R1BQR1K1 b - -,d8d5
6k1/p2n1pp1/4p2p/2ppPn1P/b5P1/2PP1N2/q4PBN/4Q1K1 b - -,f5e7
rn3rk1/p2q1ppp/4p3/N2p4/3N4/Q1P3P1/P2nPPKP/1R3R2 w - -,b1b7
6k1/1p1rqp2/2n1p1p1/p3b2p/P3P3/1BP1B2P/1P3QP1/5R1K b - -,e5g7
r2r2k1/3b1ppp/p2p4/4Q3/2P1P3/1P5P/2B3PK/R3R3 b - -,d6e5
r1b2rk1/3n1p2/p1p4p/1pq1p1p1/4Pn2/PBP1QNBP/2P2PPK/R4R2 b - -,c5e7
1q2r1k1/R2B1pb1/6p1/N2np3/2p5/2P1B2P/6P1/5RK1 w - -,d7e8
r4bQ1/5p2/2n1b2p/2kNp3/1p2PP1P/8/2PK4/q2R3R b - -,a1d4
3r2k1/p3bp1p/1p2p1p1/n3P3/5B1P/q2B2Q1/P4PP1/3R2K1 w - -,h4h5
r1bq1rk1/pp2ppbp/2np2p1/8/2P1P3/2N1Bn1P/PP2BPP1/2RQ1RK1 w - -,e2f3
r1bq3r/5pk1/1n1p1bpp/p1pPp1n1/1pP1P1P1/3BB1NP/PP1NQPK1/5RR1 b - -,h6h5
r5k1/ppR3p1/4p2p/4N3/5rPP/5P2/P5K1/8 b - -,b7b5
8/5p2/6p1/7p/2R3k1/2P5/r5PK/8 b - -,g4g5
8/2b1Qpkp/p1N2npq/1p6/8/P1NnP2P/5PP1/3R2K1 b - -,d3f2
4r3/p1kp3p/1rp3p1/R2p1p2/1P5P/3N1BP1/P3KP2/8 w - -,e2d2
r4rk1/p1p2ppp/1p6/8/8/1R2P3/PP3PPP/4K2R w K -,b3d3
7k/3q2p1/2r5/1pQn3p/7P/PP1P2P1/1K1BRP2/8 w - -,c5f8
r1b1k2r/1pq2ppp/p2ppn2/2b5/3BP3/2NQ4/PPP1BPPP/R4RK1 b kq -,c5d4
6k1/2p2pp1/4p3/B1P1Pb1p/8/b4P2/2q2NPP/4Q2K w - -,g2g4
1r2r1k1/2qbpp1p/p1p3p1/2QpP3/NP1N1b2/2P4P/P4PP1/R3R1K1 w - -,d4f3
r4b1r/1ppknbpp/p4p2/2p5/2P1P3/4B3/PP1NNPPP/R4RK1 b - -,e7g6
1n2r1k1/5rpp/b5n1/NpBp4/P1pP4/2P3P1/4BP1P/1R1R2K1 w - -,a4b5
8/p2k1r2/3r2p1/6Kp/8/2RN4/P7/8 b - -,f7f5
r2qk1nr/1pp1npb1/p2p3p/3Pp1P1/4P1bB/2N5/PPPQN1PP/R3KB1R w KQkq -,h4f2
1r6/3q1pk1/p2b2p1/2pP3p/2Pp1P1P/P2Q2P1/2B1R1K1/8 b - -,d7g4
r7/1p3k2/5q2/p1pPpP1p/P3Pbr1/1PB4K/4RQ2/6R1 w - -,c3d2
r3k2r/ppp2ppp/2n2n2/3q4/1b1P2b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,d5a5
6k1/3R4/5pb1/4p2p/4P2P/1r3P2/4N1PK/8 w - -,d7c7
r1bq1rk1/pp2ppbp/6p1/4P3/4B3/6P1/PP2PP1P/R1BQ1RK1 b - -,g7e5
4r1k1/pq3p1p/4nbp1/4p3/8/P2P2PP/1PQ1PP2/2R2RK1 w - -,c2c6
5b1r/p2q1kp1/6nr/P1pPpp2/1pP4P/1P3PB1/6QP/4RNRK b - -,d7d6
4R3/8/8/5k1p/6p1/6P1/3rpPK1/8 w - -,e8e7
rnb2rk1/pp3ppp/8/3P4/3PnB2/1q3N2/P3B1PP/R4RK1 w - -,a2b3
1r3r1k/ppQ3b1/3pb2p/1P2p1pq/1N3p2/3P2P1/P3PPBP/1R3RK1 b - -,e6h3
r1b4r/pp1ppkbp/6p1/6N1/1q1n4/4B3/PPP2PPP/R2Q1RK1 b - -,f7g8
r4rk1/pp1qn1b1/2npb1p1/2p1ppBp/2P4P/2NP2P1/PPN1PPBK/1R1Q1R2 b - -,d6d5
3r2k1/pbqrbp2/2p3pp/1pn1Pp2/2PR4/4P1N1/PBQ3PP/1B3RK1 w - -,g3f5
1r6/5pkp/1r1npqp1/1PRp4/Q7/3B4/5PPP/1R4K1 w - -,h2h3
1R6/6KB/8/4k3/3n4/8/1p5r/8 w - -,h7d3
r1bq1rk1/pp2ppbp/1np3pB/3n4/4N3/3P1NP1/PP1QPPBP/2R1K2R b K -,c8g4
r1b1k2r/pp3p2/2n1pn2/4Q1N1/2B5/6P1/PP3P2/2R2RK1 b kq -,c6e5
1rr3k1/p1q1bp1p/6p1/n3pb1P/4Nn2/1PN1QP2/1BPP2P1/2KR1B1R w - -,f1a6
2r1r1k1/1p2b2p/p2pnpp1/2qPp3/2P2PQ1/1P6/PB4PP/R3R2K w - -,g4e6
r1bq1rk1/pp3pp1/1npb1n1p/8/3P4/1BN2N1P/PPQ2PP1/R1B2RK1 w - -,f3e5
rnb2rk1/1pq2pbp/p2p1np1/8/4PBP1/1NN2Q1P/PPP5/R3KB1R b KQ -,b8d7
rnbq1rk1/pp2ppbp/6p1/2P5/4P3/2B5/PP3PPP/2RQKBNR b K -,d8d1
8/p7/8/1p6/6k1/P1P5/1P3Kp1/5N2 b - -,g2f1q
r3k2r/1pqnbppp/p2p4/3Qp3/4P3/1N6/PPP1BPPP/2KR3R w kq -,c1b1
2br1r1k/p3qppp/8/2ppPP2/2p2QP1/2P2N2/PP3K1P/R3R3 b - -,f7f6
4k3/2r1n3/1R6/1B3p1p/1P1B2p1/4P1P1/r4PKP/8 b - -,e8d8
rn1q1rk1/2p1bppp/p2p1n2/3Pp2b/NpP1P3/1P4P1/PB1N1PBP/R3QRK1 b - -,f6d7
2r1rbk1/1pq2p1p/p2ppnp1/4n3/2P1P3/P1R1BP1P/1P1NNQP1/3R2K1 b - -,f6d7
1k2rq2/1pp2ppQ/pn6/4b3/2n2N2/2P3PB/PP3P1P/1KBR4 w - -,h3f1
7k/6pp/p2p3r/Pp2p3/1P3P1r/2P3qP/4QRP1/6RK b - -,e5e4
2r3k1/5p2/p5pp/3NP3/1p6/7P/PP2B3/6K1 b - -,c8c1
5bk1/2p2ppp/p3p3/2P1P3/P4P2/1P1r1q2/2Q2P1P/2R1R1K1 b - -,f3g4
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQ -,d2d4:e1g1:d2d3
8/R3p1k1/5pp1/p2r3p/7P/6P1/5P2/5K2 b - -,g7f7
2q1nr2/5p1k/p4R1p/3Pp3/1p2Q3/3P4/PP2N2P/7K b - -,h7g7
2q2r1k/2p1bppp/3p4/1pnPN2n/4P3/QBP1B2b/1P1N1PP1/4R1K1 w - -,b3d1
8/p7/8/8/PKpR4/2P2k2/1P5r/8 w - -,b4a3
8/p1R2p2/r1p2kp1/2P4p/8/8/5PP1/5K2 w - -,f1e2
r1b1k2r/ppqnbppp/4pn2/2p5/3P4/3B1NN1/PPP2PPP/R1BQR1K1 w kq -,c2c4
2r5/1p1b1krp/p3p3/4Rp2/P1B2P2/1Pp5/2P2KPP/R7 b - -,f7f6
4r3/ppp2pkp/3p2p1/3Pq3/8/2Q4P/PPP2PP1/R5K1 w - -,c3b3
8/4qrpk/2R5/3pb1R1/3N4/4B1P1/PP3P1P/6K1 w - -,c6e6
8/8/3k3P/2r5/3n2P1/2p1N3/5PK1/2R5 b - -,c5c8
8/5k2/1R6/6p1/r3K1P1/5P2/8/8 w - -,e4f5
8/2p5/1pPp1k2/1P1P3p/5P1P/5KP1/8/4bB2 b - -,f6g6
R7/8/8/5pp1/6k1/p7/6K1/r7 w - -,a8a4
r1b1k1nr/pp3ppp/2n1p3/1B1pq3/6Q1/2N5/PPP2PPP/R1B2RK1 b kq -,g8e7
8/PQp2pk1/3pn1pp/8/1P6/5N1P/5PPK/5q2 b - -,e6f4
r1q4r/p2b1k2/1p2p1n1/5p2/7p/Q2PBN2/P4PP1/1R3RK1 b - -,c8b7
rn1qr1k1/1b3p1p/p2ppbpB/8/1p1NP3/1B5P/PPP2PP1/R2QR1K1 w - -,b3a4
r1bQkb1r/pp3ppp/2n1p3/1N6/4P3/2n5/PP3PPP/R1B1KB1R b KQkq -,e8d8
r1bq1rk1/pp3pbp/3p1np1/2p5/3nPNP1/2NP3P/PPP3B1/R1BQ1RK1 b - -,d4e6
8/5p2/2Bn1kp1/p3p3/1p4p1/1P2P1P1/P3KP1P/8 w - -,e2d3
8/4k3/1RP1b3/6p1/4P2p/1P3P2/1K4n1/8 w - -,c6c7
r2qk1r1/pp3p1p/1npbpp1B/5b2/3P4/1BP2Q1P/PP2NPP1/R3K2R b KQq -,d8e7
1r2rnk1/3bqpb1/2pp1n1p/p3p1p1/B2PP1P1/2NQ2BP/1PP1NP2/2KRR3 b - -,b8b4
r3k2r/ppp1qp2/3p2pp/2bnp3/4PPQ1/1B1P3P/PPP3P1/R1B1K2R b KQkq -,d5e3
3rk1nr/1ppbqpbp/p3p1p1/4P3/5B2/1NN4P/PPPQ1PP1/3RR1K1 b k -,d7c6
3rr1k1/4qppp/p4b2/1p1p1P1Q/2nB4/P5RP/1P3P2/1B1R2K1 b - -,c4e5
3r1r2/1p2q2k/p1npp1p1/P1p1p2p/N1P1P3/3P3P/1P1Q1PP1/R4RK1 w - -,a4c3
8/2k5/3p4/1P6/2P4r/2KR4/8/8 w - -,d3g3
3k4/p1r4p/R5p1/8/2P5/7P/6PK/8 w - -,c4c5
r3kb1r/pp1q1ppp/2p2n2/4p1N1/2Q3b1/1P4P1/1B1PPPBP/R4RK1 b kq -,h7h6
6r1/1R2P3/P1k5/6p1/6Kp/8/8/8 w - -,b7b1
6k1/pp4b1/3Pq1P1/4r3/1P2R3/P2Q4/7P/6RK b - -,e5e4
1rq2rk1/p3bppp/b3pn2/2pp4/1nP5/2Q1PNP1/PP1N1PBP/R1BR2K1 w - -,a2a3
r1b2rk1/1pp2ppp/p4n2/4q3/2B5/2N1P3/PP3PPP/2RQ1RK1 w - -,c4e2
r5k1/6pp/r1p1q3/4p3/1p6/8/PQ3PPP/R2R2K1 b - -,c6c5
5b1R/5r2/2k5/r5B1/1p3P1P/5K1P/P3R3/8 b - -,f8d6
2r1qr1k/pppb2b1/2np3p/3Npp1n/P1BP4/2P2NP1/1P3P1P/R1BQR1K1 w - -,f3h4
6k1/p5p1/2p5/q2b4/3P2p1/P1nBBr2/1P5P/2K1Q1R1 b - -,c3a2
4q1k1/3b2p1/5p1p/4pP2/1QP1P2P/B2P4/1P1K4/8 w - -,b4a5
r2qk2r/p3bppp/n3p3/1p1pP3/3P4/1pP2N2/P1Q1NPPP/R3K2R w KQkq -,a2b3
k7/8/4pP2/7P/p7/1p1N2P1/1P3PK1/2r5 b - -,c1c7
2rq1rk1/p3bppp/bpn1pn2/2ppN3/2PP4/1P2P1P1/PB3PBP/RN1QR1K1 b - -,c5d4
r7/1pn3p1/1p1kpp2/3p4/3P1PP1/PKP4P/R5B1/8 w - -,h3h4
1qb2bk1/3n1p1p/1p2p1p1/p2pP3/N4P2/1Q2P3/PP2B1PP/4B1K1 w - -,e1c3
6k1/1p4p1/p1r1qp1p/8/2n1P3/P1B3QP/1P3PPK/3R4 w - -,g3g6
7k/5pR1/7P/6K1/8/5P2/8/7r b - -,h1g1
r1b1r1k1/4ppbp/p5p1/Np6/n3n3/2P1BN2/PPR1BPPP/R5K1 w - -,f3d4
3r1r2/pp2qk2/6pQ/1np5/4P1N1/8/P4PPP/1R2R1K1 b - -,b5d6
2kr3r/pp1nbppp/1qp1p1b1/2p5/4P1P1/2NP1NBP/PPPQ1P2/2KR3R w - -,c1b1
1rbq1rk1/2p1npbp/p2p2p1/2p5/2P5/2N3P1/PPQ1PPBP/R1BR2K1 w - -,b2b3
3rqk2/p2r2p1/2p1np1N/1pb1p3/4P3/1P5Q/P1P2P2/R1B3RK w - -,h6f5
r7/4q1k1/1p5p/p1nPp1p1/P1NnP1QP/6P1/1P4B1/5R1K w - -,d5d6
5bk1/5p1p/8/4Pp2/p2Q1P2/2B4P/q5P1/6K1 b - -,a4a3
1r4k1/1bq2p1p/1p3np1/pB1pN3/1p1P4/4P3/PP3PPP/2R3K1 w - -,c1c7
8/5pk1/p3p1n1/2N5/1P6/P1R5/5K2/3r4 b - b3,d1d6
r1bqk1nr/pp1nppbp/3p2p1/2p5/2BPP3/2P2N2/PP3PPP/RNBQK2R w KQkq c6,d1b3
3q3k/1p4pp/2pp2n1/rp1N1b2/5P2/5BP1/PPPQ3P/1K5R w - -,h1e1
r6r/1p2kppp/p1nbp3/8/6b1/2P1BN2/PP2BPPP/3R1RK1 b - -,c6e5
8/5k1p/p5p1/8/PP2K1P1/4N3/2P5/6r1 w - -,b4b5
8/pb2q2k/1p4pP/3pp1P1/4nr1B/2PBQ3/PP5R/6K1 w - -,d3e4
r7/3k4/p1p1pp2/1r3bpp/R2P4/1P2KPBP/P5P1/2R5 w - -,c1c4
r1bq1rk1/1pp2ppp/2n2n2/p1b1p3/4p3/P2P1NP1/1PPN1PBP/R1B1QRK1 w - -,d3e4
r2qr1k1/2p1nppp/1p1p1n2/3PpP2/1PP5/2N3PB/3Q1P1P/2R2RK1 b - -,g8h8
2n5/3rk3/1p1p2p1/p1p5/P4PP1/1P1R4/2P2K2/3R4 b - -,d7d8
3r2k1/6p1/p1r4p/3R4/8/2N5/PP5P/3R3K b - -,d8f8
r2b2k1/1p3p2/p1n1b1pp/2p1p3/4P3/NPP2N1P/P4PP1/R2B2K1 w - -,d1e2
8/5k2/pR4Np/1p3p2/5K2/1r6/6PP/8 w - -,g6e5
4nrk1/pp1b2pp/3p1n2/2pP4/2P1N1P1/2N5/PP1KB2P/6R1 w - -,a2a3
rnbq1rk1/1p2ppbp/p1pp1np1/6B1/2PPP3/P1N2N1P/1P3PP1/R2QKB1R b KQ -,b7b5
1rbq1rk1/p1n3bp/3ppp2/2pP1pB1/1p5Q/8/PPP1BNPP/R4RK1 w - -,g5d2
b2r3k/p6p/2p5/8/3r2p1/1B6/PP3PPP/2R1R1K1 b - -,d4d2
8/1pk5/p4R2/2P1p3/2N5/KP1n4/P7/3r4 w - -,f6f7
r2r2k1/ppn2pp1/2p4p/4q3/2N1P3/1P3PP1/P5KP/2RR4 w - -,c4e5
8/1b2kp2/pn2p3/1pr4R/5N2/1P3P1P/P4KP1/1B6 b - -,c5c1
r4b1r/ppkn1pp1/2p1bn1p/4p1B1/4P3/2N2PN1/PPP3PP/2KR1B1R w - -,g5e3
5k2/8/1p2RK2/2p5/p1P2P1p/3rP2P/8/8 w - -,e3e4
2r2rk1/1p1q1ppn/pb2p1p1/3pP3/8/2P3B1/1P1Q1PPP/R3RBK1 w - -,f1d3
r1b4r/1pk3pp/1np2p2/p1n1p3/P1P1PP1N/2N1R3/1P2B1PP/5RK1 b - f3,e5f4
5rk1/r4ppp/1B6/8/1RB5/8/6PP/5RK1 b - -,a7d7
8/7p/6p1/3p1p2/2kPp2P/4P3/1K3PP1/8 w - -,b2c2
r2q1rk1/1p3pbp/2n1p1p1/p3n3/P2N1B2/1P3P2/1P4PP/R2QRBK1 w - -,d4b5
2nk4/4n1pp/4pp2/2B5/PPbNP3/7P/5PP1/6K1 w - -,b4b5
r5k1/2p1qppp/2pnp3/r1N5/2pP4/4P1P1/1PQ2P1P/R2R2K1 w - -,a1a5
