8/6RP/8/5kPr/8/6K1/8/8 w - -,g5g6
1k3br1/2n5/1nqNp1p1/1p1pP2p/2pP1B1P/2P3P1/R1B2PK1/1Q6 b - -,b6c8
2kr3r/1bq2p2/p1p2bpp/1p2p3/n3P3/3BNNP1/PPP1QPP1/1KR1R3 b - -,f6e7
3r1k2/1p6/6pp/R2b1p2/3P3P/3BKP2/1P4P1/8 b - h3,f8f7
R7/8/2r5/5K1k/3B4/8/8/8 b - -,c6d6
4r1k1/5p2/1qp3p1/3p4/8/1P3PP1/3Q1P1P/2R3K1 w - -,b3b4
q2r4/4bp2/k1p1p1p1/1p1rP2p/pPpP1P1P/P1P3P1/2Q1RB2/R3K3 b - -,c6c5
6k1/3bppbp/pq1p2p1/n1pP4/nrP1PB2/6P1/P2N1P1P/1RQN1BK1 b - -,h7h5
5k2/1R6/5p2/2KBr1p1/6P1/8/8/8 w - -,b7f7
r1b1kbr1/pp3q2/2p1p1Np/3n1P1Q/n1p5/8/PPP3PP/R1B2RK1 w q -,f5e6
r1bqr1k1/ppp2pb1/2np1npp/4p3/2PPP3/P1N1BN1P/1P2BPP1/R2QK2R w KQ -,d4d5
8/p7/1p1kb1pp/3pn3/3N3P/1P2P1P1/P2K2B1/8 b - -,e6d7
r3r1k1/pb3pp1/1ppq1n1p/3p4/3P4/P1N2BP1/1PPQ1P1P/3RR1K1 b - -,a8d8
4r1k1/5pb1/3p4/1Pp1n1p1/3q4/2N3B1/1PQ3PP/5RK1 w - -,g1h1
r1b1rnk1/pp2qppp/2pb1n2/3pN3/3P4/2NBP2P/PPQ2PPB/2KR3R b - -,f6d7
8/2p1kp2/2p4B/p1b1P3/K5Q1/2PB4/PP3q1P/R7 b - -,f2b2
2bqkr2/2r1n1b1/p1pp1pp1/Pp5p/1Q1PPpnP/1BN2N2/1PP3P1/1K1R2BR w - -,c3e2
6B1/8/1k1r1p2/1p4pp/1n5P/5R2/P4KP1/8 b - h3,g5h4
r4rk1/3b1p2/p2p1p1p/2pPn1q1/2P1P2B/1P5P/R1Q3P1/2NB1R1K b - -,g5h4
r1bqk2r/4bpp1/pp1p1nnp/2pPp3/P1N1P2P/2N5/1PP1BPP1/R1BQK2R w KQkq -,h4h5
6k1/6p1/4ppp1/p3b3/1pP4P/6PK/PB2PP2/8 w - -,b2c1
rn1q1rk1/p1pp1ppp/1p2p3/8/2PPN3/3Q2P1/PP2PP1P/R3K2R b KQ -,b8c6
r3r1k1/1p1bbpp1/1qn1pn1p/pB1p4/P6B/2P1PN2/1P1N1PPP/R2Q1RK1 b - -,a8d8
k7/2p1r3/p3n2p/2P4r/1P6/3Rp1P1/PBK2P2/5R2 w - -,d3e3
rnbqkb1r/pp1n1ppp/4p3/2p5/Q1pP4/5NP1/PP2PPBP/RNB1K2R w KQkq -,d4c5
rnb2rk1/1p2ppbp/p2p1np1/q1pP2B1/2P1P3/2N2P2/PP1Q2PP/2R1KBNR b K -,b7b5
8/5p1k/3Q2p1/5p2/pr5p/1P6/PB6/1K1Bq3 w - -,d6d8
rn1qnk1r/pp2p1bp/3p2p1/4P3/3p1Pb1/1B3N2/PPP3PP/RNBQ1RK1 w - -,h2h3
8/2p1k1p1/1n2pp1p/1P1pP2P/3P1PP1/3BK3/8/8 b - -,b6d7
1r3r2/1pq1np2/p2p1kp1/3b4/3N4/2N3PP/PPPQ2BK/4R3 w - -,e1e7
2rqk2r/pp1bbppp/1nn1p3/3pP3/3P4/2NB1N2/PP3PPP/R1BQ1RK1 b k -,c6b4
8/1p1k4/p7/4nP2/3B4/2P5/1PK3p1/8 w - -,c2b3
r4rk1/1p6/1P4p1/p1Rp1pP1/3PpPnp/1q2P3/4Q1P1/1N2R1K1 b - -,a5a4
4k3/1R2b3/8/B1p5/K7/1PP4r/8/8 b - -,h3h4
2r4k/1p4bp/p2P2p1/P6n/4p1P1/1B3p1P/3B1P2/5RK1 b - -,h5f6
rnbq1rk1/pp2bppp/4pn2/2pp4/2PP4/P1N1P1N1/1P2BPPP/R1BQK2R b KQ -,c5d4
Q7/6pk/p6p/4P3/7P/P1P1q1P1/4RrBK/5n2 w - -,h2h3
6k1/5p1p/p5p1/4p3/2n5/p1q1P1P1/2B2P1P/3Q2K1 w - -,c2b3
5k2/5p2/p6P/4p2P/2p5/2P2K2/P7/8 w - -,f3e4
8/8/p3k1R1/5r1p/5P2/1Pp1K3/P1P5/8 b - -,f5f6
2r5/4nkpp/pQ3p2/2Pbp3/1P6/q3P3/P5PP/2R1R1K1 b - -,a3b2
r1bq1rk1/pp1nbppp/4pn2/3p2B1/3P4/2NBPN2/PP3PPP/R2QK2R w KQ -,e1g1
rnbq1rk1/1p3ppp/5n2/p1bp4/8/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,b8c6
rqb2rk1/4bppp/pp2p3/7Q/P1n1N3/1P2P3/1B3PPP/2R2RK1 w - -,c1c4
r5k1/1bpnqrbp/5np1/p2pp1N1/PpBPP3/8/1PP2PPP/R1BQR1K1 w - -,e4d5
3r4/p3nkp1/1p1b1p2/2N4p/3P3P/P2K1NP1/1P3P2/2R5 w - -,c5b7
q1r3k1/4bppp/4p3/1Nnp4/r7/P3P1P1/1Q2BP1P/R1R3K1 b - -,e7f6
8/8/rp1pN3/2p2pk1/2P4p/3BK2P/8/8 b - -,g5f6
2r1k2r/bp2npp1/p1n1p2p/2q1P2P/2P3Q1/3B1NB1/P4PP1/2R2RK1 b k -,c8d8
r7/8/1kp1q1p1/p4p2/PPRQ4/4P3/4KP2/8 b - -,b6b7
rnbq1rk1/ppn1ppbp/2p3p1/3pP1B1/3P4/2NB1N2/PPPQ1PPP/R4RK1 b - -,c8g4
1rr5/2q2pk1/4p2p/3p2b1/2P1P1QP/1P1n4/P4PP1/RN3RK1 w - -,h4g5
rnb1qr1k/bpp3pp/p2p1n2/3P1p2/3N4/1PN1P1P1/P4PBP/R1BQ1RK1 w - -,c3e2
r2bk2r/5ppp/pp1p4/3PpP2/4P3/Pn1B1N2/1PR2KPP/5R2 b kq -,b6b5
1r6/7k/p3Q1p1/4P2p/1p2qP2/6P1/P6P/3RK3 w - -,e1f2
6k1/1p4p1/2p5/3p4/pq1P2Qp/8/8/4RK2 b - -,b4f8
4r3/3q1kpp/2p1b3/ppQp4/8/P1P2BP1/1P3PP1/4R1K1 w - -,c5d4
r2qr1k1/pb1n1pp1/1p3b1p/1PpN4/3P4/1Q2PN2/P3BPPP/R4RK1 b - -,f6d4
8/8/B5p1/2p3k1/6P1/pr3p2/Rn6/4K3 b - -,g5g4
r2q1rk1/pbpp2pp/1p3n2/2n1p3/2P1P3/2NQP1PP/PP2N1B1/R4RK1 w - -,d3c2
6k1/1p2rp1p/pQ4p1/4q3/1P5P/6P1/5P2/3R2K1 b - -,g8g7
r1b2rk1/pp3pp1/5n1p/3p4/1b1q3B/2N5/PPQ1BPPP/R4RK1 w - -,h4f6
7r/p2k1p2/2q4p/1B3bp1/1b6/4Q3/PP3PPP/5KNR w - -,b5c6
r3rbk1/3b1p1R/p2pp1p1/1p3PP1/2nqP1n1/P1N4Q/1PP3BP/R1B4K w - -,h3h4
5rk1/7p/p5p1/1b1p4/3B4/2P2KR1/1P5r/R7 w - -,f3g4
r3k2r/1p4pp/p3p3/2np2B1/2P1n3/P3P3/5PPP/R3KB1R w KQkq -,g5f4
8/p3n1kp/2p5/6P1/4r3/2P3KP/PP3R2/8 b - -,g7g6
2r1bk1r/4p1bp/1n4p1/1N1n4/3P4/1PN5/PB3PPP/R3K2R w KQ -,e1g1
r2qkb1r/pp3ppp/3p1n2/2p1p3/2PnP1b1/2NP2P1/PP2NPBP/R1BQK2R w KQkq -,e1g1
4r1k1/3prpqp/1p1p4/2nP4/p1b1PPp1/P1N1R1P1/1P1Q2BP/4R2K b - -,h7h5
3r1k1r/pppb1ppp/3b4/3p4/3P2n1/3B4/PPP2PPP/RNB1R1K1 w - -,h2h3
r3k2r/1b2bpp1/p1qppn2/1pp4p/4PP2/1PNP4/1PP1QNPP/R1B2RK1 w kq -,f2h3
r3k1nr/pp4pp/1qn1b3/5p2/1b6/4P1N1/PP1BQ1PP/R3KBNR b KQkq -,g8f6
3r4/6R1/p2Pb2p/4k3/P5R1/7P/8/6K1 w - -,g4h4
4r2k/1b3ppp/p1p1r3/1p1p2q1/PQ1P4/2R1P1P1/1P3PBP/2R3K1 b - -,h7h5
r1b2rk1/pp2bppp/2n1p3/q7/8/P1N1B3/1PB1QPPP/R2R2K1 b - -,g8h8
6k1/6p1/2pNPq1r/p4P2/P1N4p/1P5Q/4K3/8 w - -,h3e3
r1q3k1/3n1ppp/4pb2/1p1p4/8/1P3NP1/PB2PP1P/1Q1R2K1 w - -,d1c1
1r4k1/5p2/3pb3/4p3/2p4R/2b5/2B2PPP/2N1R1K1 w - -,e1e3
1nQ2bk1/1r4r1/1P1p4/p1pPp2p/P1NqPp2/2N2P2/2K1B2P/1R6 b - -,b8a6
1r1q1rk1/4b1pp/p2pbn2/3N4/2pQ4/2N3P1/PP3PBP/R4RK1 b - -,g8h8
8/8/8/8/PK3pp1/1p4k1/3Q4/8 b - -,b3b2
rr4k1/2pb1qpp/1p1p1n2/3P1p2/1PPBpP2/2Q1P1PP/4BK2/R1R5 b - -,g8f8
2krr3/1p3ppp/p1n2b2/2pq1b2/3pNP2/1P1P1Q2/PBP1N1PP/R4RK1 w - -,e2g3
1r6/2R5/pP3kp1/P2b1p1p/4pP1P/6P1/4PK2/1R6 b - -,f6e6
6k1/5p1p/R2p2p1/3P4/3b4/4rP2/6PP/6K1 w - -,g1f1
r4rk1/pp1n1pbp/2p3p1/3p1nq1/3P2B1/1P4P1/PBP1NP1P/R2Q1RK1 w - -,h2h3
8/2k3p1/2n1p1p1/2BpPp2/p4P1P/2K3P1/PP6/8 w - -,c5f8
r2q1rk1/1p2ppbp/2n3p1/p2n4/3P2b1/PPN1BN2/4BPPP/2RQK2R w K -,c3d5
3b4/8/2k5/3p4/1P1P2p1/3KP3/1P2B1r1/1N6 w - -,b1c3
r4rk1/ppq2pbp/2p1pnp1/2P5/R3P3/1Q2B2P/PP2BPP1/3R2K1 w - -,a4b4
8/p3r1p1/2pk1p1p/5P2/2Pp2PP/5R2/P1P3P1/6K1 w - -,c2c3
2Rr2k1/1q3p2/p5p1/P1R4p/8/5PPK/1P2Q2P/3r4 w - -,e2d1
r3r2k/4q2p/1P1p1np1/2p5/1nP2P1Q/2N5/6BP/1RB2RK1 b - -,a8b8
5rk1/pp3qpp/3b4/2pp4/5B2/3P1nPP/PPP2PK1/R2Q4 w - -,f4d6
r1b2rk1/1pp1qppp/p1pb1n2/4p3/8/1P1PP3/PBPNNPPP/R2Q1RK1 b - -,c8g4
5rk1/6p1/1b1p3p/3Pp2P/q3P3/6P1/2R1Q1K1/4N3 w - -,e2g4
8/1n4k1/3p4/3PpBPP/3p4/5P2/8/5K2 b - -,b7a5
5k2/1Bp4p/1b6/3P4/4R3/p2rnPpK/4R2P/8 w - -,h2g3
4rr1k/1pp4p/3p1qp1/1P1P3n/8/1Q2RNP1/5P2/5RK1 w - -,f1e1
1rq2r1k/5ppp/p1npb3/3Np1b1/1pP1P3/PP1Q2P1/2N2PBP/R4RK1 b - -,b4a3
8/2r2N2/b1p3kp/8/p1p1P2b/P2p1P2/1P1N2P1/1RK5 b - -,c7f7
5rk1/4qppp/4rn2/Bpb5/2pp1p2/5Q1P/PP1N3P/R4R1K w - -,f3f4
8/Q7/3pk3/P3p1K1/4P1P1/3q1P2/8/8 w - -,a7h7
r3kbnr/pp1q1ppp/2n1p3/3pP3/3P4/P4N2/1P3PPP/RNBQ1RK1 w kq -,b2b4
r2q1k2/p2b3p/1p1p1nr1/3P1p2/1n2pP2/1B2B2P/1N2Q1P1/2RR3K b - -,a7a5
8/8/1N2k3/P6p/1P2p3/2n2p2/2P4P/4K3 w - -,a5a6
3rkb1r/pp2p1pp/2p2pb1/3n1q2/3P4/1B2Q1BP/PPP1NPP1/R4RK1 w k -,e3d2
8/5p2/3k1pp1/7p/r1P1P2P/P1K5/6P1/R7 w - -,c3b3
r3r3/1p3pkp/6p1/pq2p3/8/2P2P1P/1P2R1P1/R3Q2K b - -,b7b6
2b3k1/q4rp1/1pBb3p/2nP1p2/3Np3/2Q5/1B3PPP/4R1K1 w - -,d4b5
r1bq1rk1/1p3nbp/3p4/p1nPppp1/P3P1B1/2N3BP/1P1NQPP1/R3K2R w KQ -,g4f5
r1b2rk1/pp1nq1pp/2pb1n2/4pp2/2PP4/2N2PP1/P1Q1P1BP/R1BRN1K1 w - -,e2e3
2rnk1r1/1p5p/p1q1pbp1/5p1P/2PP1P2/3QB3/P3BP2/1R3KR1 w - -,d4d5
r4rk1/p3npp1/1np4p/1pqpP3/5P2/2N1P3/P2Q1BPP/3R1RK1 b - -,b6c4
5n2/p5r1/8/5R2/2Q5/qP2k1N1/P7/6K1 w - -,c4c3
3r4/7R/p4pp1/1pN1n3/4P1kP/6P1/PP2K3/8 b - -,g4g3
2r1k2r/1p3p2/p2pqnp1/4p3/P3P3/1PN2Rpn/2P1N1B1/R2Q1K2 w k -,d1d2
1r6/4q2k/1Q1b2pp/P2Pp3/4Pp2/2rB1P1P/6P1/R2R3K w - -,b6f2
2r5/8/1p1k2p1/pP1Pp3/2P1K3/1P4P1/8/2R5 b - -,c8f8
r1b2rk1/ppq1ppbp/6p1/2p5/2n5/2P2NP1/P1QPPPBP/2BR1RK1 b - -,c4d6
r2r2k1/1p2qpbp/4b1p1/pNn5/1nP5/B2PpNP1/P3P1BP/2RQ1RK1 w - -,d1e1
2R3k1/pb5p/1p3pp1/1N1Pp3/4P3/b2BnP2/P5PP/6K1 b - -,b7c8
2r2rk1/1p1nbpp1/p2p1n1p/P3p3/2q1P3/2NNBQ2/1PP2PPP/R2R2K1 w - -,a1a4
rnbqkb1r/ppp1pppp/5n2/8/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,g1f3:b1c3
r4rk1/2p3pp/p2b4/nq6/2NP4/P3B2P/4QPP1/R4RK1 w - -,f1c1
r2q1rk1/pp1nbpp1/4pn1p/2p4P/3P4/5N2/PPPBQPP1/2KR1N1R w - -,d4c5:g2g4
5rk1/2R1r1qp/1n2p3/pP1p2p1/3P4/4P1P1/3Q2BP/2R3K1 w - -,c7e7
r4rk1/ppqn1pb1/1np3pp/4p3/3PP1bP/1QN1BN2/PP2BPP1/1K1R3R w - e6,f3e5
5rk1/5ppp/r3p3/1Nn5/Pp6/3P2P1/1P3P1P/R2R2K1 w - -,a4a5
r3kb1r/ppp1qp2/5n2/4p1p1/4PpbP/1B3N2/PPP1Q1P1/R1B1K2R b KQkq -,e8c8
5k2/4pp2/3p2pp/3P4/rp3P2/4P1PP/1R6/5BK1 b - -,a4a3
2nn4/p3qrk1/1p1p1pp1/2pPp2r/2P1P2P/1P2NRPN/P4QK1/3R4 b - -,h5h8
r1bq1rk1/4bppp/1pp1pn2/p2p2B1/PnPP4/2NBPN2/1P3PPP/2RQR1K1 w - -,f3e5
1rk5/Rr3pp1/1PQ2b1p/5q2/2Pp4/8/5PPP/1R4K1 b - -,c8d8
3R2k1/1p5p/2p3q1/p3r3/7Q/P3npP1/1P3P1P/5BK1 b - -,e5e8
4rr2/pp3pk1/1n4np/3Pp3/5p2/2Q2B2/PP3P1P/6RK w - -,d5d6
8/3k4/R6N/3p3r/2pb4/8/2K5/8 b - -,h5h2
8/8/4kp1p/1P3R1P/6P1/4Kp2/8/1r6 b - -,b1b3
rn1qk2r/p3ppbp/b1pp1np1/8/1pPPP3/1B3NN1/PP3PPP/R1BQK2R b KQkq c3,b4c3
3R2k1/5p2/p4p2/1p2r2p/1P6/6P1/P1P2PKP/8 b - -,g8g7
1k6/p4p2/2p1rp1p/5R1P/2P5/P5P1/1PK5/8 b - -,b8c7
8/1kb5/6K1/8/4R2P/p7/8/8 b - -,b7b6
5k1r/p4p2/1pB2n2/1P4R1/2pr1pP1/2Nb1K2/PP6/4R3 b - -,h8h3
8/p2k4/1p3n1p/3P2p1/PBP3P1/8/6K1/8 w - -,g2f3
1r1r2k1/1pqb1pbp/n1pp2p1/p1nPp2P/2P1P1P1/2N1BN2/PPBQ1P2/2KR2R1 b - -,b7b5
1b6/p2r1pk1/1p3qpp/8/P2P4/2R2NP1/2Q2PKP/8 w - -,c3c8
8/4kpp1/1pr4p/p1n5/P1P2PP1/R3NK2/7P/8 b - g3,g7g6
5k2/1R6/5p1p/1p1p1KpP/3P2P1/4P3/2r2P2/8 w - -,f2f4
k1r5/1p6/p6p/2q1Qn2/P7/2N5/1PP5/1K1R4 w - -,d1d5
r4rk1/pp2q1np/2p1b1p1/3p4/2nPP2P/2NB4/PPQ1NP2/1K4RR w - -,d3c4
5bk1/2n5/3N1p1p/pp2P3/2p1BPP1/5K2/PP6/8 w - -,e4c6
5rk1/2r2ppp/1qbnpn2/ppNp4/3P1P2/2NBP3/PPR1Q1PP/4R1K1 w - -,e1c1
r3k2r/ppqn1p1p/2p2npb/2Pp1p2/3P4/2N1P1P1/PPQB1P1P/R3KB1R b KQkq -,e8g8
3rk2r/1Q3p2/p2ppq1b/4n2p/2P1P1p1/1P6/PB2BPPP/1R3RK1 b k -,h6f4
rnbqk2r/4ppbp/p1pp1np1/1p6/2PPP3/2NBBP2/PP4PP/R2QK1NR w KQkq b6,d1d2
r1bqk2r/pp2bppp/2np4/2pQ2B1/8/P4N2/1PP1PPPP/2KR1B1R b kq -,e7g5
8/1R5R/4p1k1/1K6/6P1/7P/1q6/8 w - -,b5c6:b5c4
8/8/p4b1p/2pp1k2/P1r2P2/2PK3P/2PB4/R7 b - -,c4e4
8/3n4/3k2pN/4p3/4K1PP/8/8/8 w - -,h6f7
1r2rk2/p7/1np2pp1/2NnP3/3P3P/5PP1/PP2K3/2RR4 w - -,f3f4
1r2k3/1bq1bpp1/p2p3r/4p3/2p1PB2/P1N5/NPPQ3P/K2RR3 b - -,e5f4
2rq1rk1/pb1nbppp/1p3n2/2pp4/3P4/1PN2NP1/PB2PPBP/2RQ1RK1 w - -,e2e3
r2r2k1/1pbnqppp/2p1pn2/p2PN2b/3P4/PP4P1/1BQNPPBP/R3R1K1 b - -,e6d5
rnr3k1/2q1bppp/p2p1n2/4p3/P1p1P3/2N1BN2/1PP1RPPP/R2Q2K1 w - -,a4a5
2nr1bk1/pppq1bpp/4rp2/1Pp1p3/P1P1P1P1/3PNN1P/2Q2P2/R2RBK2 b - -,c8e7
8/1p2r1kp/p2p2pb/2pP4/P1P1r1Q1/5R2/1P5P/3R3K w - -,g4g3
r1bqk2r/pp1nbpp1/3pp2p/2p5/3PPP2/2PB4/PP1NN1PP/R2Q1RK1 b kq -,a7a6
1r6/r5bk/p2pqnpp/2p5/P3NP2/5B1P/1P1Q2P1/3RR1K1 b - -,f6e4
8/8/N2k4/K7/8/8/8/1r6 w - -,a6b4
r1b1k1nr/ppqp1ppp/2nb4/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,c2c3
r3r1k1/ppQRp2p/2p2pp1/q1n5/2P1P3/1P3NP1/P4PKP/3R4 b - -,a5c7
4r1k1/6pp/p7/1p3B2/8/1P3nP1/P4P1P/2R3K1 w - -,g1g2
r1b1qr1k/bpp2ppp/p1np4/4p1Bn/4P3/1BPP1N1P/PP1Q1PP1/2KR1N1R b - -,f7f5
6k1/7p/p5p1/1p3p2/1P3B1P/2P2PPK/P3r3/8 b - -,e2a2
8/1p3qkp/r4np1/2Q5/4p3/2N5/PPP4P/1K3R2 w - -,a2a3
rn1qkbnr/pb1ppp1p/1p4p1/8/2Pp4/5NP1/PP2PPBP/RNBQK2R w KQkq -,d1d4
r1b1k2r/p4p2/2n2p1p/1p1p4/2pP4/2P2N2/P3PPPP/2RK1B1R b kq -,a7a5
rn2kb1r/pb2ppp1/2p4p/qp6/2pPP2B/2P2N2/P2QBPPP/R3K2R w KQkq -,e1g1
