8/5k1p/3p4/2p2PP1/p7/B6P/8/b4K2 b - -,a1c3
3q1k2/ppr1ppb1/3p2p1/2nP3p/P1P2P2/1P2Q2P/3B2P1/1R1B3K b - -,d8d7
2kr1bnr/pppq2pp/4np2/4p3/4B1P1/2N1P1BP/PPP2P2/R2QK2R b KQ -,d7d1
1r2r1k1/2q2pbn/R2P2p1/1pp1pbPp/5P2/2N1B2P/1P4B1/3QR2K b - -,c7d8
r1b1qr2/1ppn2k1/n2p3p/p2Ppp2/1PP2B2/P1N4P/3NB1P1/1R1QK2R b K -,e5f4
r5k1/2pb3n/1p1p3r/p2P1p1B/2PBpP2/1P1n2qP/P1NN2P1/3Q1RK1 b - -,h7f6
8/3k1p2/1p1P2pp/8/2PK4/5P2/5P1P/8 w - -,c4c5
r3k2r/pppqbppp/3p4/4n3/2bN4/2P1B3/PPPQBPPP/2KR3R w kq -,b2b3
8/6p1/1p3pB1/p6P/2p2P2/PkP5/1P2b3/2K5 b - -,e2d3
r1bq1rk1/pppnp1bp/3p2p1/3P1pB1/2P5/1QP2NP1/P3PPBP/R4RK1 w - -,f3d4
r5k1/p1pn3p/2p2Ppb/2Pp4/1P3P2/4BN2/P5PP/2K2R2 b - -,d7f6
r7/1p1bkp2/1n2p1p1/1p2P1Pp/1Pp2P1P/2P1K3/P1N1N3/R7 b - -,b6d5
1r1q1rk1/p4ppp/8/3pn3/4p3/1P2P3/PB2QPPP/R4RK1 b - -,e5d3
r1b2rk1/pp2n1p1/4p2p/3p4/8/3B1N2/PPPR1PPP/2K4R b - -,a7a6
r2q1r1k/1pp2ppp/p1nb4/4p1N1/Q7/P2PB1P1/1P2PPKP/2R1R3 b - -,d8e7
3r1rk1/pP1n1pp1/1p1Pp3/1N4q1/P5p1/1P2nPP1/1Q4BP/R2R2K1 b - -,e3d1
r2q2k1/1p1n1pp1/6b1/1P4bp/p2Pp3/PQ5B/4NPPP/3R1RK1 w - -,b3b4
6k1/1p3p2/pp1r2p1/3P3p/P2R1PB1/n3r1P1/1K5P/R7 w - h6,g4d1
r5k1/4pp1p/6p1/p3b3/1p4n1/3RPq2/PPQ2P1P/2R1B1K1 w - -,e3e4
r1rqn1k1/ppnB1p2/3p2pb/3Pp1Np/4P2P/2N1BP2/PP1Q2PK/1RR5 b - -,d8d7
r3r1k1/4nnpp/1p2qp2/3p4/3P4/1R2PNPP/1Q4PK/4BR2 b - -,a8b8
8/4B3/4n3/8/2N1PpP1/pk1K1P2/1b6/8 w - -,c4a3
r2q1rk1/pb2bpp1/1pn1pn1p/3p4/3P3B/4PN2/PP1N1PPP/1BRQ1RK1 b - -,a8c8
5rk1/5ppp/1p6/8/6q1/3b2PP/Pp3QB1/1R4K1 b - -,g4g5
2k5/p4q1p/1p1b2rn/3p2p1/2pP1N2/P1P1QP2/1P1R2P1/4KN1R b - -,d6f4
rn2kb1r/pp2pppp/2p2n2/3P1b2/8/1PN1PN2/1P1P1PPP/R1B1KB1R b KQkq -,f6d5
r3r1k1/1pp1qppp/p1n1bn2/4p1B1/4P3/1BP1RN2/PP3PPP/R2Q2K1 b - -,a8d8
8/8/5p2/p2p1P2/P4b2/3knB1K/2r5/1Q6 b - -,d3d4:d3c3
7r/1pkb4/4p3/1Pnp2pp/7P/5P2/3N4/R3KB2 w - -,h4g5
5rk1/1r4pp/4Pp2/pp6/3PR3/7P/6P1/4R1K1 b - -,b5b4
2r2rk1/p1qn3p/PpBp3b/1Ppbpp2/2P5/1Q1P4/R1N2PPP/5RK1 w - -,c6d5
8/p3k3/b3p1p1/p2p1pP1/P2P1P2/1PR2N1r/2P2K2/8 b - -,e7d8
r2qkbnr/pp1nppp1/2p3bp/8/3P3P/5NN1/PPP2PP1/R1BQKB1R w KQkq -,f1d3:c2c3:h4h5:f1c4
6k1/5pp1/rpRBp2p/3n4/3r4/P5P1/5P1P/4R1K1 b - -,a6a4
3r3k/5qp1/5p1p/4pN1P/6Q1/6P1/5P2/6K1 b - -,d8c8
3rr1k1/1p1n1ppp/1q2p3/p1pP4/P1P5/2Q2N2/1P3PPP/3RR1K1 b - -,e6d5
4r1k1/1p2p2p/3p2pb/1B1P1b2/5n2/PR2B2P/1P3Pp1/2R3K1 b - -,f4h3
r1bqk2r/p3npbp/2np2p1/1pp1p3/4PP2/3PN1P1/PPP1N1BP/R1BQK2R w KQkq -,e1g1
7r/2K3pP/5pP1/8/5kP1/8/8/8 w - -,c7d7
r1bq1rk1/2p1bpp1/p1np1n1p/1p2p1N1/3PP3/1BP4P/PP3PP1/RNBQR1K1 w - -,g5f3
3qr1k1/2pn1ppp/4p3/1p6/1P1Pb3/5PPB/4P2P/B2QR1K1 b - -,e4d5
R7/2pk2pp/3p1p2/1r6/4PP2/1nP1B1PP/4K3/8 b - -,d7e7
8/pp1r2pp/2p2k2/4R3/5P2/2P3P1/PP2K2P/8 b - -,a7a6
r2q1rk1/1b2ppb1/p1p2n1p/6p1/3PQ3/1B3NB1/PP3PPP/3R1RK1 w - -,e4c2
2b1r1k1/1p1qbppp/3p2n1/Q2Pp3/1PP2n2/1N2BN2/5PPP/4RBK1 w - -,e1a1
2r1r1k1/1bq2pbp/p1pp1np1/1p2n3/2P1PB2/1P4PP/PNQRNPB1/3R2K1 b - -,g7f8
rnb1k2r/4bppp/pq1ppn2/1p4B1/3NPP2/P1N5/1PP1Q1PP/R3KB1R w KQkq -,e1c1
r3k2r/pppq1ppp/8/2bpQ3/2P1n3/8/PP3PPP/RNB2RK1 b kq -,d7e6
6k1/5pp1/2r1p3/4B3/2n2PK1/6P1/4R2P/8 b - -,c4e5
8/p2r2k1/2R1p2p/P1B1b1p1/8/6PP/5PK1/8 w - -,c6e6
4k3/3rpp1p/6p1/2pN4/1pPbrP2/1P3R1P/6PK/3R4 w - -,f3d3
8/b4pkp/2N1b1p1/1B6/P3p3/r6P/5PP1/2R3K1 w - -,c6a7
3rr3/2pkn1p1/ppn2pp1/3p4/PP1P2PP/2PN1N2/3K4/5RR1 w - -,f1e1
r2q2r1/p6k/1p2b1p1/3pPpRp/2pP1P1P/2P5/PPB4Q/R6K b - -,d8e8
k7/1p6/3r1p2/1P3B2/8/2K1p3/2P5/8 w - -,f5d3
r3r1k1/1bqn1ppp/p2p4/4b3/2P1P3/RPB3P1/2Q1N1BP/R6K b - -,d7f6
7r/pp3k2/2b2pp1/4p3/1P2P1p1/P1PK2RP/3N4/8 w - -,h3g4
r5k1/1q3pb1/2pp2pp/Rn2p1n1/1P2P3/3P2P1/1BQN1PBP/6K1 w - -,d2c4
8/5p2/1N2pB2/P4kPp/6r1/2P5/2K5/5b2 b - -,h5h4
8/5p2/4nkpp/b2Bp3/6PP/8/4N1K1/8 w - -,g2f3
6k1/2R2pp1/4p3/4N2p/8/3p4/5P2/r4BK1 b - -,d3d2
3r2k1/p2q1p1p/1prP2p1/4B3/1b6/3QP1P1/P3RP1P/3R2K1 w - -,e2c2
r2q1rk1/3bppb1/3p1np1/p7/p2BP3/1BN2P2/1PP3P1/R2QK2R w KQ -,c3a4
5rk1/4bp1p/2q3p1/4P3/2p2P2/1rB1P3/5Q1P/2R2RK1 b - -,c6e4
rn2r3/pb3k1p/1p2p1p1/2b1q1P1/7Q/2NB4/PP4PP/2R4K w - -,h4h7
1rbq1rk1/p1n1ppbp/3p1np1/1ppP4/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - b6,e4e5
1n2r1k1/1br2pb1/p1nRpBp1/1pp1P1Np/4B3/2P1N3/PP3PPP/3R1K2 w - -,f2f4
r6k/p2bp1rp/1pp2n2/2p1Q3/4P3/2NP3P/PPP3P1/5RK1 w - -,g1h2
1r3rk1/5ppp/Rb1q4/3P4/5n2/1Pp1BP2/2B2P1P/3Q1R1K w - -,a6a4
r2qnbk1/3b1r2/1p1p2p1/pRBPp2p/P1P1Pp2/2NN1P2/4B1PP/3Q1RK1 b - -,d7b5
3r2k1/2r2ppp/2q5/3p1P2/1p1Qn3/3PR3/1P4PP/4R2K w - -,e3e4
8/p5k1/2p1r2p/1p1n2p1/1P1P4/3K4/P2B4/R7 w - -,a2a4
3r4/6k1/r4p2/1p3N2/2p5/b3R2P/2B3K1/5N2 b - -,g7f8
2r2rk1/pp1bbppp/4pn2/qN6/3N4/1Q4P1/P3PPBP/3R1RK1 w - -,g2b7
1rb1k2r/2qnppbp/p2p1np1/8/PpPBP3/3B1NN1/1P1Q1PPP/R3K2R w KQk -,b2b3
8/3r1k2/7P/1pP3K1/1p2p1P1/1P2B3/P7/8 w - -,g5f5
8/p2nn3/1p3k2/3p4/PK1Pp1PN/4B3/5P2/8 b - -,a7a6
5r2/3r2k1/p4qp1/2R2P1p/P1p5/2P4P/3Q2P1/7K w - -,d2d7
5rk1/1b2qppp/1p2pn2/pB1pN3/Q2P4/4P2P/PP3PP1/2R3K1 b - -,f8c8
r5k1/1b1q1pbp/1Rp3p1/p1Pp4/Q2P4/P5P1/3B1PBP/6K1 b - -,g7f6
8/p7/4kpp1/4b3/R5P1/4BK2/1r6/8 w - -,a4a6
5k2/5pp1/1p5p/1r1p4/p3r2P/P3P1P1/1PR2PK1/3R4 w - -,d1d2
8/p5k1/1pp3p1/5p2/4n3/1P1N3P/P1P1r1P1/2R3K1 w - -,d3e5
r2br1k1/3n1pPp/p2pp3/6P1/1p1Nq3/4B3/PPP2Q1P/2KR2R1 w - -,d1f1
1r5r/3b2k1/4P2p/pp1p1Pp1/n1pP2P1/q1P1Q3/P1PKN3/R6R b - -,a3d6
8/4b3/1p2pk1p/4p1pP/1nP3P1/r4P2/PR3NK1/1B6 b - -,a3a6
r1bqkb1r/pp1npp1p/2p2np1/3p2B1/3P4/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f1d3
8/p4p2/1p3knp/4p3/1P2B3/P4PpK/8/8 w - -,h3g3
r4rk1/3np1bp/1Rp1q1p1/4P3/3P4/2pB4/2Q2PP1/2B1K2R w K -,c2b3
2r3k1/1q1nbppp/1n2p3/1Q6/3r4/p2N2P1/3NPP1P/R1B2RK1 b - -,d4a4
2r3k1/1qr2p2/pp2pnp1/3p2P1/3P4/P1N1PP2/1PRQ4/2R3K1 b - -,f6h5
1k1rr3/p1R5/Pp1pN3/3P1p2/1P3Pbp/4P2p/2P2K1P/6R1 b - -,d8c8
r1b1r1k1/1ppnqppp/3p4/3Pp2n/2P1P3/PN3NP1/2Q1BP1P/R4RK1 w - -,f1d1
3r2k1/1b2qp2/1p4np/1N2pp2/2B5/P3PP2/1P2Q1PP/5RK1 b - -,e7g5
r3k2r/1b1p1pp1/p3pn2/1p5p/4P3/P1NB2P1/1PP2PP1/R3R1K1 b kq -,d7d5
8/4b1pp/3p4/1P1Br1kP/2K2p2/8/5R2/8 b - -,e7d8
4k3/5pr1/1nr5/pp1pPRB1/3P2p1/P1PN2Pp/1P2K2P/8 w - -,e2d1
r1q4r/p3bpk1/Pp1p2n1/1NpPp2p/2P1P1B1/1PR2QP1/5PK1/R5N1 b - -,h5g4
1kbn3r/p1p3b1/1P2p2p/1P1pNqp1/3P4/B1P3P1/4QP1P/R3R1K1 b - -,a7b6
8/5pk1/3Rp1pp/3rP2P/1P1b2P1/8/5BK1/8 b - -,d4e5
2r5/6kp/1p1P2p1/p4p2/7b/P4B1P/1P1K2P1/3R4 b - -,h4g5
1rr3k1/p1pq1ppp/3bp3/3n4/3P1P2/P1NQP3/1P3P1P/R1B1K2R b KQ -,b8b3
8/5KP1/8/8/2qk4/8/8/8 w - -,f7f8
r1b2r1k/p7/4p1Q1/1pnpP3/3p1P2/2q5/PN1N2PP/R4RK1 b - -,c3e3
r2q1r2/1p3pbk/n1bQ1npp/p3p3/2P1P3/2N1BN1P/PP2BPP1/3RR1K1 b - -,d8d6
5rk1/2nnp1bp/r2p1qp1/2pP1p2/4P3/1P3P2/P2BNNPP/2RQ1RK1 w - -,d2c3
r7/p1rnkppp/p2bp3/8/4N1P1/2PN3P/PPR1KP2/1R6 b - -,d7c5
5n2/3r1k1p/p1R2pp1/q2p4/8/P3QN1P/1P3PP1/6K1 b - -,a5b5
1r2r1k1/1bqn1pbp/3p1np1/1P1P1PB1/2p5/2NB2NP/1P1Q2P1/R4R1K w - -,d3c2
8/p2b1rbk/1p1q2pp/3Pp3/4P2P/4BN2/P2Q2P1/2R1K3 b - -,d7b5
r1r1q1k1/p4pbp/Pp1p1np1/1b2p3/1P2P3/2NPB2P/3QNPP1/2R2RK1 w - -,c1a1
8/1b2k3/pp3p1p/3ppn2/1P6/P2BP1P1/3K1P1P/8 w - -,d3f5
r1b1r2k/1pq1bB1n/2pp1n2/p3p1Q1/P2PP3/2N2N1P/1PP2PP1/3R1RK1 w - -,g5h4
r3kb1r/pb1p1p2/n2Pp3/q1p4p/NpP3p1/1P3NP1/P3PPP1/R2QKB1R w KQkq -,f3h4
6k1/5ppp/3pp3/3r4/1n1PR2P/pP1N4/r4PP1/R2K4 w - -,a1a2
r1b2rk1/pp3pbp/1q1ppnp1/2nP4/4PP2/2N2B2/PP3NPP/R1BQ1RK1 w - -,f1e1
1rbq1r1k/6bp/p1np2p1/3Npp2/2P1P3/RP4P1/2N2PBP/3Q1RK1 w - f6,b3b4
r1bqnrk1/pp4bp/n1pp2p1/3Ppp2/2P1P3/2N1BP2/PP2B1PP/R2QNRK1 b - -,f5f4
rn1qkb1r/1b3ppp/p3pn2/2p1p3/Pp6/3P1NP1/1PPN1PBP/R1BQ1RK1 w kq -,f3e5
r2qk2r/1p1nbpp1/p2pbn2/4p2p/4P3/1NN1B2P/PPPQ1PP1/2KR1B1R w kq -,f2f4
r1r3k1/4ppb1/2n1b2p/1p6/p3N1P1/P1P2N1P/1P1B2P1/R3R1K1 b - -,c6a5
r2q1rk1/pp2n1Bp/3pbpp1/2p1p3/2PnP3/2NP2P1/PP1QNPBP/R4RK1 b - -,g8g7
2rr1nk1/pb3qpp/1ppbpp2/8/2PP2Q1/1P1B1N2/PB3PPP/3RR1K1 w - -,c4c5
8/2k5/6p1/6P1/2K5/8/8/8 w - -,c4c5
r1bq1rk1/pp1nppbp/3p1np1/2p5/3P4/1P2PN2/PBP1BPPP/RN1Q1RK1 w - c6,c2c4
2R2rk1/1b3ppp/p2q4/1p1pN1b1/3P4/1Q2PB2/PP4PP/3R2K1 b - -,f8c8
8/3n1kpp/2PPpp2/1P6/3n3P/1B6/2R3P1/r4NK1 b - -,d7b6
3rr1k1/5pb1/p5pp/qpp1P3/5P2/P1P1Q2N/1P1BB1bP/4K1R1 b - -,g2h3
5rk1/1b1rbppp/p1n1pn2/q7/Pp1P4/1B1QBNN1/1P3PPP/2RR2K1 w - -,c1c4
7k/ppp3bp/6p1/2PPp3/1P1n2P1/8/P2Q2BK/5r2 b - -,e5e4
2r1k3/p1R4p/3Bp1p1/8/8/1P4P1/P6P/1K6 b - -,c8c7
3r2k1/pp3pp1/4n2p/4N3/3p4/P5Q1/4qPP1/2R3K1 w - -,e5d3
3R2k1/p3r2p/Pp2q1p1/2n5/8/5Q2/6PP/R5K1 b - -,e7e8
8/7k/6pp/Q4p2/P6K/6P1/7P/5q2 b - -,g6g5
1rb2rk1/p1q2ppp/1pQb1n2/3Bp3/4P3/5N2/PP3PPP/R1BR2K1 w - -,d5f7
rn2kb1r/1b1ppppp/1q3n2/1BpP4/8/2N1PN2/PP1B1PPP/R2QK2R b KQkq -,f6d5
r3q1k1/pp3p1p/2p2bp1/3p4/3P2bn/2PB1NB1/PP3PPP/R2Q2K1 w - -,g3h4
rn3rk1/pp3p2/3b1qpB/2pp3p/8/2PB3Q/PPP2PPP/R3R1K1 b - -,f8d8
r4r2/ppp1q1kp/3p2b1/3Pbp2/2P5/2NB3R/PP4PP/1Q3RK1 b - -,a8e8
r3k2r/pp1qppbp/1nn3p1/1B6/3P4/2N1B3/PP3PPP/R2Q1RK1 b kq -,a8d8
7R/5r2/1kp5/1pN2n2/pP6/P7/7p/1K6 b - -,f5h4
6k1/2r2pb1/4p1p1/3n3p/1B6/P5P1/2Q2P1P/6K1 w - -,c2d2
1r5k/3Q1R1p/2n3p1/1p2q3/3N4/6PP/2P4K/8 b - -,c6d8
5k2/5pb1/8/2q1P3/1p1p2P1/pbrB4/P1P1Q2P/1K1R4 w - -,c2b3
2k5/8/1p1pN1pb/p1pPp3/P1P1P1pP/1P4P1/4K3/8 w - -,e2f1
2n2r2/2q2pkp/rp2b3/p1p1pp2/2P5/PPN1P1PP/3Q1PBK/1R1R4 w - -,d2b2
r1b4r/pp2knbp/2p1p3/4P1p1/8/2N4P/PPP3PB/2K1RB1R w - -,f1d3
8/2p3p1/r3b2p/P1p1k3/2P1B1P1/R4P2/1r3KP1/4R3 w - -,f2g3
2r3k1/r4p1p/p4Rpb/1p1Pp3/4P3/PP1B4/1B4PP/3N2K1 b - -,h6g5
2rr2k1/N4pp1/Qn4qp/2pp4/8/P1R1P3/1P3PPP/2R3K1 b - -,c8c7
r1bqk2r/pppnbppp/2n1p3/3pP1B1/3P3P/2N5/PPPQ1PP1/R3KBNR b KQkq -,d7b6:h7h6
5r1k/r4p2/pn2bqpp/1p2N3/2pPB3/1P5P/P4PP1/2RQR1K1 w - -,c1c3
2rr2k1/4qppp/p2p1n2/1p1Bp3/2n1P3/2P2N2/PP2QPPP/3RR1K1 w - -,d1d3
5k2/3R2p1/p6p/1p2P3/8/7P/PP2r3/1K6 w - -,d7a7
8/2B1kpp1/1p6/pPpB3p/P6P/6P1/1n3K2/8 w - -,c7b6
r4b1r/3b1kp1/p2ppn2/1p5p/2nNPP1P/P1N3BB/1PP5/2KR3R b - -,f6g4
1r4k1/4q1pp/3pb3/1Pp1p2n/4Pp2/1PQP1P2/1B1KN1PP/R7 b - -,b8b5
2r2rk1/5bpp/p1nqpn2/1p1pN3/3P4/6N1/PPBQ1PPP/2R1R1K1 w - -,c2b1
r2r2k1/1p2qppp/p1n1p3/P7/R2P1R2/8/1P1QBPPP/6K1 w - -,d2e3
5rk1/8/p6p/2r1p3/4BnQ1/7P/1q4P1/4R2K b - -,g8f7
r1b2rk1/p1q2ppp/1pp2n2/4b3/1P2P3/2N1B3/P2QBPPP/R4RK1 w - -,f2f4
6k1/1p1b4/3p1b1p/3P1pp1/1P3P2/7P/6PB/R3N1K1 b - -,f6a1
5rk1/p4p2/2pb1p1p/8/N1r5/1P6/P4PPP/4R1K1 w - -,b3c4
r1r5/1p1k1p2/1n2p1p1/3pP2p/p2P3P/3K4/1P1N1PP1/2R4R b - -,c8c1
3rb1k1/2r2pp1/8/p6p/1pB1Pqnb/1P5N/2RN2P1/2R4K w - -,h3f4
r2qk2r/pb1nbppp/1p6/1BppN3/3P4/4P3/PP3PPP/R1BQ1RK1 b kq -,b7c8
r1nq1rk1/1p1nbppp/p3p3/P1ppPb2/3P4/1N6/1PP1BPPP/R1BQNRK1 w - -,b3c5
5K2/8/5k1p/1p3p1P/1Pb1pP2/4P3/6B1/8 b - -,c4e2
r1bqnrk1/p5b1/1pnp2pp/5p2/2P1pB2/2N3PP/PPQ1PPB1/2KR2NR w - -,c2d2
3rr1k1/p1p2pp1/1p4qp/4pb2/2Pn4/2BP2PP/P1P1QPB1/1R2R2K w - -,c3d4
r3kb2/1bq2pp1/pp1ppn2/8/P2nPPPr/2N1BB2/1PP5/R2Q1RK1 w q -,e3d4
2R5/6pk/p3r3/P3pR1p/4P3/5P2/6PP/1r4K1 w - -,g1f2
rn1qkb1r/p2n1ppp/Bp2p3/2ppP3/3P4/2P2N2/PP1N1PPP/R1BQK2R b KQkq -,b8a6
3k4/6p1/1p2pp1p/p1p5/2P5/1P1K3P/1P3PP1/8 b - -,d8e7
r2qk2r/1p2bppp/p2pbn2/2p5/2P1P3/2N2N2/PP2QPPP/R1B1K2R w KQkq -,c1f4
r4rk1/p2bqnpp/1p6/2pP1p2/4p3/2R2PP1/PPQ1P1BP/3R1NK1 w - -,f3e4
8/8/5kb1/1B1p3p/pP4pP/P1P1P3/5K2/8 b - -,g6c2
3r1rk1/1p2q1pb/7p/1R6/p2p1p2/P2P2PB/4PP1P/Q4RK1 w - -,a1b2
8/2r1k3/4p1Bp/1R5P/P1r1P3/1K6/8/8 w - -,b5b6
r4rk1/p2n1p2/1ppq3p/3p1bp1/3BP1nP/1QN3P1/PP3PB1/2RR2K1 b - e3,d7c5
5rk1/rq1bbppp/p1p1p3/Bp1n4/3PP3/1P1N2P1/2RQ1PBP/R5K1 b - -,d5f6
8/4B3/7p/5p2/2K3k1/8/8/1b6 b - -,f5f4
r1bq1rk1/pp2p2p/1n1p2p1/3P1p2/2Pb4/2N4P/PP3PP1/2RQKB1R w K -,d1d4
2rq1rk1/1b1n1pbp/pn1pp1p1/1p4PP/4PPQ1/P1N5/1PP1N1B1/R1B2RK1 b - -,f8e8
8/7P/8/4k1K1/8/8/8/7r w - -,g5g6
r2qrbk1/1pp3pp/p1n1bP2/3p4/3PnP2/2N2N1P/PPB3P1/R1BQ1RK1 b - -,e4f6
4r1k1/pp2rp2/2p5/3n2p1/3Pp1b1/2P3N1/PP3PP1/2R1RBK1 w - -,e1e4
5r2/1pp1kp2/4b3/pPb1p2p/P1P1P1p1/3R2P1/4KP1P/2R5 w - -,d3d2
2r3k1/1prb2b1/4qPpp/p7/3p1P1P/P2N2P1/1P1R3K/1R1Q1B2 b - -,g7f6
2bq2k1/6r1/p2r3p/3p4/2pP1R2/5Q2/P1B2PPP/4R1K1 w - -,h2h3
5nk1/2p4p/Qp1p4/3Pp3/P1P5/1P2q3/3N4/2K5 w - -,a6c8
8/8/2P1Q2k/6p1/8/r5b1/3K4/8 b - -,h6h5
6k1/1p2ppb1/1P1p2p1/3Pn2p/4P3/pN2BPPb/P3B3/6K1 b - -,h3c8
5k2/1R5p/6p1/P4r2/8/1K6/8/8 b - -,f5a5
r1b1kb2/p4p2/1Pp2p1p/5r2/qPBPN3/1R2P3/6PP/3Q1RK1 b q -,a7b6
3r1k2/2pb2b1/1p4np/pP4p1/2NP1p2/N1P2B1P/1P3P1K/4R3 b - -,g7f6
2q3k1/1pr2rp1/p3p1np/P2pPp2/3P1PPb/1NB1Q2P/1P4RK/6R1 b - -,g6e7
r1bq1rk1/p5bp/1p1p1npB/2pPp3/1PP1P3/P1NB4/3Q1PPP/R3K2R b KQ -,g7h6
r5k1/pp2bppp/1np5/3r4/4N3/P2PPNP1/1P4KP/2R2R2 w - -,e4f2
2q5/5p2/6nk/p5p1/6R1/4QP2/7P/7K b - -,f7f6
r1b1k2r/pp2bppp/3qpn2/8/2BP1B2/3Q4/PP2NPPP/R4RK1 b kq -,d6d8
3r2k1/pp3pp1/3bp2p/1P1n4/P2P4/5NP1/1B2KP1P/2R5 w - -,f3e5
8/p1r1nk1R/1p3Np1/2p2pP1/3p1P2/P2P4/1PP3K1/8 b - -,f7e6
3r1rk1/3nbppp/p1q5/4p3/1pPpN3/1P1P1PP1/PBR1Q1KP/5R2 b - -,f7f5
3k4/6R1/1p3p1p/p1n2B2/5P2/4K3/P5PP/3r4 w - -,g7h7
r2q1rk1/pp1nppbp/3p2p1/2p5/2P1P3/1PNP1nPP/PB2NPK1/R2Q3R b - -,f3d4
8/8/p2b4/1p1k4/2p5/P1P5/1B1K4/8 b - -,d5c6
r3kb1r/pp1b1ppp/1n6/4pP2/8/1B4NP/PPP3P1/R1B1K2R w KQkq -,c1e3
r3N3/1Q1nk2p/p2pp3/2p5/2P2P2/5K2/P6P/8 b - -,a8e8
5r2/p7/1p2pp1R/k2p1bp1/2pP4/P1P2P2/2PR1P2/5K2 w - -,f1e1
2kr2r1/1pq1b2p/n6P/1R2p3/1pPpN3/3P2P1/6B1/3Q1RK1 b - -,d8f8
2rr2k1/p4ppp/bp2pn2/1q6/3P4/5N2/PP1Q1PPP/1BR1R1K1 w - -,c1c8
8/8/2p1n2P/4P1n1/8/p1k1K1P1/8/2N5 w - -,e3e2
6k1/p4rpp/2p2q2/1b2r3/3p2Q1/P3PPR1/3B1P1P/2R1K3 b - -,c6c5
rnbq1rk1/1pp2ppp/3pp3/p7/2PPn3/5NP1/PPQ1PPBP/RN3RK1 b - -,f7f5
6k1/4q2n/2p1p1p1/2PpP3/3P2Q1/6N1/5PK1/8 b - -,g8f7
6k1/5p1p/p5p1/4P3/P4P2/1b2KBP1/r2p3P/3R4 b - -,b3d1
2r5/1b4p1/4k1p1/1p1pp3/pNn5/P2RP2P/5PB1/6K1 b - -,e5e4
2r3k1/1q3ppp/4pn2/8/N1p5/6P1/1P2PP1P/2QR2K1 b - -,h7h5
6B1/2k5/6pp/p3N3/Pb2bPP1/1P6/4K3/8 b - -,h6h5
8/7p/2p5/1pPn1p2/1P1N1P1k/5K1P/8/8 b - -,d5b4
r7/p4k1p/8/4Qpp1/3Pp3/4P2P/3q1PP1/R5K1 w - -,e5d5
r5k1/1p1qpp1p/1Prp1bp1/P2N4/4P3/3Q1P2/6PP/1R3R1K w - -,b1b5
3r1rk1/1p3ppp/p1n5/3bp3/8/5P2/PPPB2PP/2KR1B1R w - -,b2b3
8/6B1/1p1b4/2p3p1/P2Pkp2/1PP3p1/6K1/8 w - -,d4c5
5rk1/6p1/p2p2qp/b1pPp3/1pP1N3/1P3RP1/R3QP1r/3K4 b - -,f8f3
