8/3Rk1p1/4P3/5P1p/p3K1bP/3p4/8/8 b - -,e7e8
6k1/2q2p2/4p1p1/1Q1pb2p/p1rN3P/P3P1P1/1P3PK1/3R4 b - -,g8g7
B1k5/5p2/1P1p4/2n1p3/8/2P5/2P2P2/4K3 w - -,a8c6
B2q1rk1/p3pp1p/6p1/2p1n3/5P1b/1NP1PbP1/PP1Q3P/RN2K2R b KQ -,e5d3
8/4k3/8/2nB2Pp/5B2/3K1P1P/8/b7 w - -,d3e2
1r6/k6p/1r6/KPQ5/8/7P/8/8 b - -,b8b7
2r3k1/1pq1bpp1/pN3n1p/P2P4/4p3/1P5Q/2r2PPP/R2RB1K1 b - -,c8d8
1r3rk1/p2b1pbp/3p2p1/4p1PP/1p1nBP2/8/PPP2Q2/2KR3R b - -,f8e8
8/pp6/r7/P1pp1k1p/2n1bP2/2P3PP/2P1R3/1R2K3 b - -,c4a5
r7/5p1k/3p2p1/2pPP1Pp/n1q2N1P/prP1RPK1/2Q5/R7 b - -,d6e5
8/1p2rpk1/p1q3pp/3R4/4P3/5QP1/PP4PK/8 b - -,c6f6
r2r2k1/1p3ppp/3Pbn2/p7/3R4/5NPP/PP4B1/5RK1 w - -,f3e5
2rr2k1/p2b1ppp/3Rp3/nNn5/1p6/5NP1/PP2PPBP/R5K1 w - -,a2a4
8/8/8/8/1p4kP/2p3P1/1n2K3/4B3 b - -,b2c4
r3k2r/3b1p1p/p2ppp1b/1pq1n2B/4P3/P3N3/1PP1NPPP/R2Q1RK1 w kq -,b2b4
r1bqk2r/3nppb1/pnpp2p1/1p4Pp/3PPP1P/2N1B2N/PPPQ4/R3KB1R w KQkq -,f4f5
8/8/3k1n1R/2n3p1/8/4KB2/5P2/8 b - -,d6e5
r3k2r/1b2qpp1/ppp2n2/2b1pPBp/P3P3/3B4/1PP3PP/RN1Q1R1K w kq -,d1e2
4r1k1/7p/p2p2p1/P2P4/5PKR/1P6/6Q1/3q4 w - -,g4g5
5r1k/pp5p/2pp4/4b1B1/2P1r3/3R4/PP5P/1R5K w - -,d3d2
r4rk1/p1p1q1pp/4pp2/2Pp4/Q2PbB2/P7/1P3PPP/R4RK1 b - -,e6e5
rnb2rk1/ppq2ppp/4pn2/8/2BP4/P1P2N2/5PPP/R1BQK2R w KQ -,d1d3
r1bq1rk1/2nnbppp/p2p4/4p1P1/1p2P2P/2N1BN1B/PPPQ1P2/R3K2R w KQ -,c3e2
r3k2r/ppP2p1p/8/2N5/2P1PPb1/7q/PP1K3P/R2Q3R b kq -,g4d1
r4rk1/p5b1/4q2p/1pp2p2/2p2P2/2P2Q1P/PPB3P1/1R3RK1 w - -,b1e1
2r1r1k1/5p2/3R2p1/p1P1Pn1p/4KPqb/B2Q1N2/P2R4/8 w - -,f3h4
r1b2rk1/pp4p1/2n1pq1p/2np4/5P1P/2N2NP1/PPP1Q3/R3KB1R w KQ -,e1c1
rnb2rk1/ppp1q1bp/6p1/4pp2/1PP3n1/P1NPPNP1/1B4BP/R2QK2R w KQ -,c3d5
r3r3/pp3pk1/2pn1pbp/3p4/3P3N/PP1BPP2/3K2PP/R6R w - -,g2g4
r2q1rk1/ppnb2pp/2p1p3/2Pp1p2/3Pn3/P2BP2N/1PQ2PPP/1NKR3R w - -,f2f3
r4n2/pb3R2/1p2p3/1PkpPpNB/P1n2P2/4P3/7P/R3K3 w Q -,f7f8
8/5kp1/p4p1p/3pq3/bPp4Q/P1P1BP1P/6P1/6K1 w - -,e3d4
r1bqr1k1/3nbp1p/2n1p1p1/pp1pP3/2pP1Q2/P1P2N1N/1PB2PPP/R1B1R1K1 b - -,e7f8
1r2nk2/pbN1pr1p/1p1p1ppq/4P3/2PN1P2/1P4PP/PQ1R2BK/3R4 b - -,e8c7
6k1/pp2ppb1/q1rp2p1/4Pb2/5B1P/1P3P2/P1PQ4/1K1R3R w - -,d1c1
r1b2rk1/pp3p1p/6p1/8/1n1b4/4N1P1/P4PBP/1R3RK1 w - -,b1b4
r3k2r/1pq1bppp/p1n1pnb1/2pp4/4P1P1/2PP1N1P/PP1NQPB1/R1B1R1K1 w kq -,a2a3
5r2/5pkp/3r2p1/p2Bp1P1/n3P2P/2p2PN1/PP6/1KR5 w - -,b2c3
r4k2/7p/p2n1p1P/Rb1PrP2/1Np1pqPQ/2P5/2B5/R4K2 w - -,f1g1
r1bq1rk1/ppb2ppp/2pp1n2/4p1B1/2NPPn1N/1BP5/PP3PPP/R2Q1RK1 w - -,f1e1
3rk2r/pp1q1ppp/1np1p3/4P3/3PBPP1/8/PP1Q3P/3R1RK1 b k -,d7e7
6k1/5p1p/pp6/2r1q3/8/1B3P1P/P3Q1P1/6K1 w - -,e2d2
2r2k2/5p1p/5p2/8/6R1/pQ2P2P/5PP1/2q3K1 w - -,g1h2
rnbqkb1r/p3pp1p/2p2np1/4p3/1p1P4/2NB4/PPP1QPPP/R1B1K1NR w KQkq -,d4e5
8/1p4k1/p1b3p1/3p3p/3P4/4K3/PP6/1R6 b - -,g6g5
8/8/3NK3/8/5k2/8/3r4/8 w - -,d6c4
8/p5pk/1p1Q1nqp/2p5/2b2P1n/2P3N1/P4B1P/6KB w - -,d6d1
8/6Qp/3q4/4k1p1/4p3/3rp1R1/6PK/8 b - -,e5d5
2rq1rk1/pp2bppp/1nb1p3/4P3/2pp1B1P/1P1P2PB/P3QP2/RN2R1K1 w - -,b3c4
2kr3r/ppqbn2p/2n1pp2/2Np4/1P1P3P/P2B1N2/5P2/R1BQK1R1 w Q -,b4b5
4r1k1/1qp3p1/p1p1bp1p/P1Q5/4P1P1/2N2P2/3R1K1P/8 b - -,b7a8
8/5pk1/b3p1p1/1q2P2p/6PP/1p2QP2/1P2NK2/8 b - -,h5g4
r2q1rk1/2p2p1p/p1n1p1p1/1p5n/1bpPPP2/2N1B3/PP1QBP1P/R4KR1 b - -,h5g7
5k2/8/8/8/5Q2/4PNKp/4q3/8 b - -,f8g8
5r1k/4R1n1/3p3p/2p3Np/7r/1Q3p2/5PP1/6K1 w - -,g5f7
8/p3r3/3N1pkp/3b4/2pP4/P1R3P1/1P6/6K1 w - -,d6c4
2r3k1/p3p2p/6p1/3P3B/1p3B1q/5N1P/QP3b1N/R4R1K w - -,d5d6
r1b1k2r/pp1p1ppp/1q2pn2/4n3/1bPN4/2N1P1P1/PP3PBP/R1BQK2R w KQkq -,e1g1
r5k1/5pb1/2p3p1/B1P1p1Pp/pPNn4/4QP2/P2R3q/1K6 b - -,h2h1
1b6/8/pBp1k3/3p3p/P2P4/2P1K2P/8/8 b - -,e6f5
2bRr1k1/1pq3p1/p3pp1p/8/P1P2P2/1PB3P1/4Q2P/3R3K b - -,e8d8
4r1k1/1pp1rp2/7p/2QP4/5N2/1N2P1nP/PqP4K/4R3 b - -,g3e4
3r4/5k1p/5np1/R2p4/4p3/B1N1P1P1/P1n3KP/8 w - -,a5a7
r1b4r/1p1nkppp/p1n1p3/1Nb1P3/3p4/3B1N2/PqPBQPPP/RR4K1 b - -,b2b1
r1bq1rk1/ppp3bp/2np2p1/4pP1n/2P5/2NPB1P1/PP2NPBP/R2Q1RK1 b - -,g6f5
8/p4k1p/3p2p1/3P2P1/2PR4/5K1P/r7/8 w - -,h3h4
8/p4Rpk/r6p/8/7P/P5B1/1n3PP1/6K1 b - -,b2d3
5r1k/p2R2p1/1bQ4p/1P6/4Bp2/7q/4KP2/8 b - -,h3g4
3r4/p4p1k/7p/2pP1N2/2p3P1/1P4K1/P3r1P1/7R w - -,h1h6
8/4k3/1p5p/PR2PBpP/8/4bP2/5r2/5K2 w - -,f1e1
2bqr3/pn4bk/1p1P3p/4pppP/1B2N3/1P4P1/P2Q1PB1/2R3K1 w - f6,c1c8
8/8/3k2p1/R1N2b2/1p6/pP5P/1r4BK/8 w - -,h2g3
r2qkb1r/pp3ppp/2p1p1b1/3nP3/3P4/P5N1/1P2BPPP/R1BQK2R w KQkq -,e1g1
r3k2r/2pq1ppp/p1n1pb2/1p6/2pP4/2N1P3/PPQ1BPPP/R3K2R w KQkq -,e1g1
r2r2k1/pp3p1p/6p1/2q2bQ1/2np1N2/6PP/PP3PB1/R3R1K1 w - -,g3g4
8/4k2p/p1rnP1p1/4R3/8/1B6/1P1K3P/8 w - -,d2d3
r3k2r/2q1bpp1/p1p1p1p1/1p2P3/P1pP1P2/2P3PP/5Q2/R3RBK1 w kq -,a4b5
rn1qkbnr/1p3ppp/p1p1p3/3p4/3PP1b1/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,g8f6:f8d6:b8d7
q3kb1r/4nppp/b7/3pP3/2pp4/1B3Q2/1PP2PPP/2B1R1K1 w k -,b3a4
6k1/1pp2pp1/3r4/2p1r3/2P1P2q/P3P3/1PQ3BP/5RK1 w - -,c2e2
8/6R1/2k1p1p1/5p2/2Pr3P/6P1/5P2/6K1 b - -,d4c4
2r2rk1/1p1b2b1/1n1p2p1/q1nPppP1/p3P3/P1N1BP2/1PQNB3/1KR4R b - -,f5f4
5k2/6p1/3pBn2/p2Pp3/1p2r3/4K3/PPR5/8 w - -,e3f3
r1bqr1k1/pppp1ppp/2n2n2/b7/8/P1N2PQ1/1PPB2PP/2KR1BNR w - -,h2h4
r1q3k1/3npp1p/3p2p1/8/1P1NP3/P4P2/3Q2PP/2R3K1 b - -,c8a6
5k1r/2n1p1R1/3p1p1B/2pP1K1p/1r2P3/1P5P/P4P2/6R1 b - -,f8e8
r4rk1/p2nq1bp/bpp3p1/2p1p3/1PN1Pp2/P1QP1N1P/1BP2PP1/R3K2R b KQ -,f8e8
5r1k/p1b3p1/7p/1P1R4/q3Bp2/3Q3P/4KP2/8 w - -,e2f3
r4rk1/pb1nqpp1/2p1pb1p/1p6/3P4/1QNBPN2/PP3PPP/3R1RK1 w - -,d3b1
4qk2/1p1bb1rp/p2ppp2/4r3/1PP1PRB1/1P5Q/4N1PP/5R1K w - -,e2g3
2r2rk1/3nb1pp/2q1pp2/1p1pP3/pPnB1P2/P1P3PB/4Q2P/R1NR2K1 b - -,f6f5
6k1/1p1q1pp1/pBn4p/6b1/4Q3/1P1N1P2/P4KPP/8 w - -,b6e3
1r5k/1r2p1bp/6p1/4P3/4Q1P1/1P6/1P6/1K1R4 b - -,b7b3
2rqk1nr/pQ1b1pbp/3pp1p1/8/2B1P3/5N2/PP3PPP/R1B2RK1 w k -,c4b5
2B5/8/6pk/p1p1p3/1pP1Pn2/1P6/1PK3R1/8 b - -,f4g2
r2q1rk1/pb2bpp1/1p1p1nnp/2pP1N2/8/2N3P1/PP1BPPBP/R2Q1RK1 b - -,f8e8
1r2r1k1/3q1pp1/p1nbpnp1/1p1p2N1/PP1P3B/2PQ2NP/5PP1/R3R1K1 w - -,a4b5
rn2k1nr/pp3pp1/2pqb3/3p3p/3P2P1/2N1P2P/PP2NP2/R2QKB1R w KQkq -,g4g5
1k1r3r/pp6/2pbqp1p/3p2p1/3P4/P3PNP1/1PQ2PP1/2KR3R b - -,f6f5
r1bq1rk1/4bppp/p1np1n2/1pp1p3/4P3/1BPP1N1P/PP1N1PP1/R1BQR1K1 w - -,d2f1
q7/3n2bk/3Np1pp/2p1Pr2/p1Pp1BQP/6P1/1P3P1K/7R b - -,d7e5
4r1k1/pQ3ppp/2n3r1/5n2/7q/4BP1P/PP4P1/R2R1N1K w - -,b7d7
3r1k1b/p3n3/1p2b2p/2p2p1N/5P1P/P1P1B3/1P1N1K2/2R5 w - -,c1e1
r2q1rk1/pp2ppbp/2n2np1/2pp4/2PP2b1/1PN1PN2/PB2BPPP/R2QK2R w KQ -,e1g1
3q4/5pk1/4pnp1/4Q2p/3P3P/6P1/5P2/4R1K1 w - -,e1e3
r2q1rk1/1p3p1p/4b1p1/p7/4p3/1P6/1bP2PPP/RN1BQRK1 w - -,a1a2
k7/5r1p/4R1p1/3Pp3/P3n3/4B3/5PKP/8 b - -,e4c3
r7/bp1bkppp/p3p3/8/3Nn3/4P3/PP2BPPP/3RB1K1 b - -,e6e5
r2q1rk1/2p1ppbp/p1n3p1/1pNb4/3P1B2/2P1QN1P/PP3PP1/R3R1K1 w - -,f3e5
5r1k/2p2b2/p2q4/2p2Q1P/2p2P2/2P5/P5PK/4R3 b - -,f7g8
r2q1rk1/1b3pp1/pp5p/2ppb3/6Q1/2NBP3/PP3PPP/2R2RK1 w - -,g4f5
2nr1r2/p4pkp/1p1p1Qp1/3B4/1P2P3/2R5/P4PPP/2R3K1 b - -,g7f6
rn1qkb1r/pp2nppp/4p3/3pPb2/3N4/4B3/PPP1BPPP/RN1QK2R w KQkq -,e3g5:e1g1:b1d2:c2c4
2k1r2r/1q1p1pp1/4p1np/pNb1P3/PpP5/6P1/1P1BQP1P/R2R2K1 b - -,b7b8
7k/1b3n1p/pp3r2/n2p1p2/P2P3P/1P2PPP1/4B3/1NR3K1 w - -,c1c7
2rq1rk1/p3p1bp/1p1p2n1/3P1p2/5P2/P3B2P/1P2Q1P1/1BRR2K1 w - -,b1a2
r4rk1/pp3qpp/1bb1p3/3pP2P/3n1PP1/P2BN1B1/1P1Q4/5RKR b - f3,d4b3
r1r3k1/1p1b1p1p/3p1pp1/5P2/2P1P3/1P6/3qB1PP/3R1RK1 w - -,d1d2
2rk1b1r/3npp2/1qp1b3/p2pPB2/Pp1P3p/1N2B2P/1PP2QP1/4RRK1 b - -,d8c7
6k1/3b1pp1/7p/8/3B2P1/1B3P1P/5K2/5n2 b - -,f1d2
8/3k3b/8/3PP2P/5K2/p1N5/8/8 w - -,f4g5
r2q1rk1/p3bppp/1pbppn2/8/1PPQP3/2N1B3/P3BPPP/2RR2K1 b - -,d8b8
rnb1k2r/pp2p2p/2p2npb/3pN3/3P2pB/q2BP3/P1PN1P1P/1R1QK2R w Kkq -,h4f6
3r1bk1/pp2rpp1/2n2q1p/8/1P6/P1Q2NP1/5PBP/2R2RK1 b - -,f6c3
6Q1/2kn4/5p2/2qPp3/2P1P1p1/4P3/6PK/8 w - -,g8g4
8/R7/P4k2/r7/6K1/6P1/8/8 w - -,a7a8
5k2/2R4p/pn2R3/7P/3P3r/2PK4/P4P2/1r6 w - -,c7h7
5r2/p4qk1/bp2p2p/2n1P1pP/3R1PB1/8/P1Q3P1/3R2K1 b - -,g5f4
2brr1k1/1p3ppn/2ppn2p/p7/Pq1NP3/2R1B1PP/2PQ1PBK/4R3 b - -,e6d4
1r3bk1/2q2b1p/2p2pp1/1rn1pN2/4P1P1/2B2P1P/2P1Q1N1/R2R3K w - -,f5e3
7k/4R3/8/7P/p3p3/R1PnB3/2b2PPK/3r4 b - -,d3b2
r4rk1/pp1nppb1/1Qn1b1pp/2pp4/3P3N/2P1P1B1/PP1NBPPP/R4RK1 b - -,a7b6
8/1k6/8/1p6/1Pr1R3/2PK4/8/8 b - -,c4c8
r1bq1rk1/p2p1ppp/1pn1pn2/2b3B1/2P5/2N1PN2/PPQ1BPPP/R3K2R b KQ -,c5e7
2r3k1/5pp1/p6p/1p2Q3/2p1P3/Pq2P1P1/1P1rPK1P/1RR5 b - -,b3d3
1r4k1/1q2pp1p/3p1np1/2p5/1rN2P2/1P1QP2P/P1R3P1/3R2K1 w - -,c4b2
1R3bk1/5r1p/8/p1p5/P2p2p1/3P3n/2PB3P/4N2K w - -,h1g2
6k1/5ppp/2qPp3/2p5/2P5/8/PP3PPP/3R2K1 w - -,d6d7
5k2/3b2pp/3qp3/1pRp1p2/r2P1P2/PQ2P3/5P1P/5BK1 w - -,f1b5
r2q1k1r/1p3pp1/p1npbn2/4p2p/4P3/2bB2NP/PPPB1PP1/R2Q1RK1 w - -,b2c3
r2bn1k1/1p1q1r1p/p2pbppB/3N1B2/4P1Q1/8/PPP3PP/3R1R1K b - -,e8g7
1r1q1rk1/p4pp1/4b2p/1pb5/1n1NP3/6P1/PP3NBP/R2QR1K1 w - -,a2a3
bk1r3r/p1q2pb1/Bppppn2/6p1/P2PP2P/1QP1NP2/1P1N2P1/1K1RR3 b - -,h8h4
8/6p1/np1k1p1p/4pP2/1PP1B1P1/1K5P/8/8 w - -,b3a4
2r2nk1/r3n1p1/4p1bp/1B1pP3/1B3P2/6N1/1P4PP/R3R2K b - -,a7a1
r3r1k1/5pbp/2p3p1/p1B1P2n/2P1N2P/1P4Pq/P1Q2P2/3RR1K1 b - -,g7e5
r1b4r/p3kp1p/5pp1/q1pPp3/2P1N3/P7/1Q3PPP/R4RK1 b - -,c8a6
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2P5/2NP1NP1/PP1BPPBP/R1Q2RK1 b - -,f8e8
2b2qk1/1p1n1p1p/2pp1bp1/8/PpPBrP2/1P5P/2N2QPK/3R1R2 b - -,c6c5
r3k3/ppqn1pp1/2p1p1p1/6b1/2PPQ3/4P2P/PP1B1P2/R3KB2 b Qq -,e8c8
R4b1r/6kp/4p1p1/8/2B5/4P3/1r4PP/5RK1 w - -,c4e6
R7/8/8/7p/4K3/6k1/6p1/8 w - -,a8g8
2b2bk1/p1rnq1pp/1pp1Nn2/3p4/3P1P2/1P4P1/PB2P2P/R2Q1RK1 w - -,e6c7
7k/1p6/p5pp/5B2/1P4P1/5K2/8/1r6 w - -,f5b1
r2qk2r/pp1nbppp/2p1pn2/3p4/2PP2bN/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,h2h3
1Q6/3q2pk/p6p/1bPp4/3B4/2P4P/6P1/6K1 b - -,a6a5
r3kbnr/ppqn1pp1/2p1p2p/4N3/3P3P/6N1/PPP1QPP1/R1B1K2R b KQkq -,g8f6
2r1r1k1/3n1pbp/1q2b1p1/2p1N3/Q4P2/6PP/PP4B1/2R1R1BK b - -,d7e5
2rbk2r/5pp1/p3pn1p/1pn5/1P5B/2N1PP2/P3BP1P/2R2RK1 b k -,c5d7
2kr1b1r/pp2npp1/1q2p2p/3pP3/b1pP4/PnP1NNPB/1P2QP1P/1RB2RK1 b - -,c8b8
8/2R5/5p2/3r3p/Pp4pP/3k2P1/5P2/5K2 b - -,b4b3
1rb4r/Bpbk2pp/2n1pp2/1B1p1n2/PP6/2P5/5PPP/RN2K2R w KQ -,a7b8
2rr2k1/pp3pp1/4p3/4P1PP/8/2Ppq3/PP5Q/1K1R1R2 w - -,h5h6
8/7p/3Pk1p1/5PB1/p2b4/5QP1/5PKP/1q6 b - -,b1f5
r1bqkb1r/1p1n1ppp/p3pn2/8/3N4/3B2N1/PPP2PPP/R1BQ1RK1 b kq -,f8c5
4r3/p5k1/2p3pp/2P1np2/2r1p3/1N6/P1P2RPP/4R1K1 b - -,e8d8
r1bq2k1/ppp2ppp/1n6/1r6/8/P3P1P1/3P2BP/R1BQ1RK1 w - -,a3a4
8/6pp/pp6/3k4/P2p4/1K1P4/6PP/8 b - -,d5c5
3r4/pp2k2R/2p2p2/2P1b3/1P4PP/P6K/6B1/8 b - -,e7f8
2r3k1/4pp1p/8/6Pp/4P3/1P2q3/2r4P/QK1R1R2 w - -,a1a4
r2q4/pp3kbN/6pQ/3b1p2/PP6/3B1P2/6K1/R7 w - -,h7g5
r2r2k1/p2qnpbp/bp2p1p1/1NnpP3/P2N1P2/2P3P1/1P4BP/R1BQ1R1K w - -,f1e1
r1bq1rk1/pp1pppbp/2n3pn/8/2PN4/4P1P1/PP2NPBP/R1BQ1RK1 b - -,c6e5
r3k2r/p2qbpp1/1pn1p3/3pP1Bp/2pP3n/2P2PN1/PPQN2P1/R4RK1 w kq -,g5e7
1k2rbr1/pbp5/1pn1p2p/3p2p1/PP1P1q2/B1PB1N2/4QPPP/R3R1K1 w - -,b4b5
2rr3k/1b4pp/p4pqb/8/7P/3BNRQ1/1PP3P1/5R1K b - -,g6e8
r1b1kb1r/1p3ppp/pqnp1n2/4p3/2P1P3/N1N2P2/PP4PP/R1BQKB1R b KQkq -,c8d7
4k2r/pp1nqpp1/2pr3p/4b3/1B1pP1PP/3P1Q2/PPP1B1K1/R6R w k -,b4d6
r1b1k2r/pp1pppbp/2n1n1p1/q7/2PN4/2N1P1P1/PP3PBP/R1BQ1RK1 b kq -,e8g8
r7/1p1r2k1/2p2b1p/p7/2Pp4/1P1R2P1/PB3P1P/5RK1 b - -,a8e8
5rk1/1p2qp2/p2ppbn1/6pp/P1r1PP2/2P1B1P1/1P2N1QP/R2R3K w - -,a4a5
8/8/R5bk/2n5/6PP/P5K1/Pr6/8 w - -,a6a7
2k4r/1p2bp1p/2r1p1p1/4P2n/pqP1Q2P/1P3P2/P1B1N3/1K1R3R b - -,f7f5
r1bq1rk1/1p2ppbp/1np3p1/p2P4/P2P4/1BN5/1PP1NPPP/R2Q1RK1 w - -,d5c6
1r2r3/p1pkb3/P1p2p2/2P5/1PK1R1PN/R7/8/8 w - -,a3d3
3bk3/1b3p2/p2pp1p1/6P1/3NPP2/1Pp5/P1K5/7B w k -,c2c3
2r2rk1/p2n1pp1/1p2q2p/8/7N/P4PB1/2b3PP/R2QR1K1 w - -,e1e6
8/8/2q1pk2/p1P1p2Q/4rp1p/PP6/6P1/2R4K w - -,h5h4
5r2/5pk1/1r4p1/4p1n1/1pR1P1p1/1P4N1/P5P1/3R2K1 b - -,g5e6
r1bq3r/1pp3k1/3p1p2/P1PPn1pB/3QPpP1/5P2/6KN/R6R b - -,d8d7
2r1r1k1/pp1q1pbp/2p3p1/1n1p4/3PP3/2N2P2/PPQ2BPP/3RR1K1 w - -,e4e5
8/7k/5b1P/p7/2R1p3/1PNr1b2/PP6/1K4B1 b - -,e4e3
3r1n2/1p2R2n/2p4k/p7/P7/7P/1PP2PP1/3N2K1 w - -,d1e3
rn2r2k/p4ppp/1p1B1b2/3p3Q/8/6Pb/PP3P1P/R5K1 w - -,h5h3
2q4k/pp4p1/1b2p2p/4Pp2/3N1P2/1QP3P1/P5KP/8 b - -,b6d4
r3brk1/pp2q1pp/2p1p3/3n1p2/1PNPn3/P2N2P1/2Q1PPBP/R4RK1 b - -,e8h5
r2r2k1/pb1nqppp/1pp1pn2/3p4/2PP4/bPN1PN2/PB2BPPP/1QRR2K1 b - -,a8c8
rnbqk1nr/pp4bp/3p2p1/2p1p1B1/2P1P3/2N2N1P/PP3PP1/R2QKB1R b KQkq -,g8f6
rnbqkb1r/pp3ppp/5n2/3p4/3Q4/6P1/PP2PPBP/RNB1K1NR w KQkq -,g1f3:b1c3
8/8/8/p5n1/P1K1P3/8/6kR/8 b - -,g2h2
r1bq1rk1/1p3pbp/p2p1np1/8/4Pp2/2PB2N1/PP4PP/R1BQ1R1K w - -,c1f4
1rb1rbk1/2qn2np/pp1p2p1/2pP1p2/P3PP2/N1NQB1PP/1P4B1/R4RK1 b - -,f5e4
3qr2r/7k/1p3b1p/pNpBp1p1/P3PpP1/2BP1N1P/1P2RP1K/6R1 b - -,h7g6
4r1k1/2p3b1/1p2np2/pP1Q2p1/q7/4PNBP/5PPK/4R3 b - -,a4b4
r1bqk2r/pp1pbppp/2n2n2/2p1p3/4P3/2N3P1/PPPPNPBP/R1BQ1RK1 b kq -,e8g8
8/2p1k1p1/pbp1p1n1/1p1rP3/7p/2PR1N1P/PP2KPPB/8 w - -,f3e1
1r2r1k1/5p1p/1q1p1Pp1/p2P2PP/2b1P3/2N2Q2/1P4BK/R1B3b1 w - -,h2h1
8/1r2bk2/B3p3/p1p1Pp1p/4bP2/B3K2P/P2R4/8 b - -,b7c7
2b5/p3k3/1p1b1p1p/4p1pP/4B1P1/1PB2P2/P3P1K1/8 b - -,d6c5
3k1b1r/1pq3pp/p1r2n2/3B4/8/2N5/PPP1QPPP/R3R1K1 b - -,c6b6
r1bq1rk1/pp2npbp/3pp1p1/2p5/3nPP2/3P1NPP/PPP1N1B1/R1BQ1RK1 b - -,d4e2
8/4B1k1/4KRp1/4p3/5b2/5Pr1/8/8 w - -,f6f7
3r1rk1/pb4p1/1p2pn1p/3p1p2/2PR4/1P3P1N/P4RPP/3B2K1 w - -,f2d2
B6R/3n1pk1/3r2p1/6Pp/p6P/2N5/1PP5/2K5 w - -,c3a4
5rk1/1b3n1p/1qr1pQp1/1p6/4P3/1P4P1/P3RPBP/3R2K1 b - -,e6e5
r5k1/2q1ppbp/nn1p2p1/2pP4/1rN1PB2/2N4P/PP2QPP1/R4RK1 w - -,c4a3
