8/7p/4K1p1/1k5r/4R2P/8/8/8 b - -,b5c5
r2q1r1k/1p1b2bp/3p2p1/1p3p2/3Pn3/1Q2PNP1/1B3PBP/1R3RK1 b - -,g6g5
r3k2r/pp2bpp1/n1p1pnp1/3p4/2PP2P1/1PN1P2P/1P1B1PB1/R3K2R b KQkq -,a6b4
8/3kn3/1p2r3/p1pn1p2/5P1b/P2PPB2/1P3P2/1RR2K2 b - -,d7d6
5rn1/1pp2pk1/p2p2pp/q2P4/3P4/2PB1Q1P/1P3RP1/6K1 w - -,d3g6
q1r1r1k1/1bb2ppp/pp3n2/3pn3/2P5/1PN1BPP1/P1N2QBP/2RR3K w - -,c3d5
8/8/8/3p1P2/2kPn1p1/4P1Pp/2N4P/5K2 w - -,f1g1
1q4k1/5p1p/1r2p1p1/p2pP3/P2Pn1P1/1P6/6RP/2QN3K b - -,b6b3
2r1k2r/1bqn1p1p/3p1b2/4p3/ppn1P3/1NP2PQ1/PP2N1PP/1KR2BBR w k -,b3a1
3rr3/pp4k1/5pb1/2pBp1pp/3bP2P/3P1P2/P1R2P1B/3R2K1 w - -,d5b7
8/1p1nb3/p1p1kpp1/P3p3/NP2P1P1/2PKB2P/8/8 w - -,h3h4
r2q1rk1/ppp1bppp/3p1n2/5b2/1n1P4/2N2N1P/PPP1BPP1/R1BQ1RK1 w - -,a2a3
r3k2r/1pqbbppp/p1nppB2/8/4PP2/2N2N2/PPPQ2PP/2KR1B1R b kq -,g7f6
r1b1kb1r/p2p1ppp/2n1pq2/1Bp5/4P3/R5N1/1PPP1PPP/2BQK2R b Kkq -,c6d4
r5k1/pp1b2pp/2n1p3/8/3Pp1N1/8/PP3P1P/R3R1K1 b - -,c6d4
3r1rk1/ppp3pp/5q2/3bN3/3p4/3P1P2/P1PQR1PP/R5K1 w - -,a2a4
r4rk1/pbq1bppp/1pn1pn2/2p5/5P2/2PP1NP1/PP3NBP/R1BQ1RK1 w - -,a2a3
3q2k1/3r1pb1/4R1pQ/pBp3P1/1p2P3/6BP/6K1/8 w - -,e6g6
r1r2nk1/p4p2/4b1pb/3p4/3Pp1n1/BNN1P1P1/P4PB1/R3R1K1 w - -,a1c1
B5k1/3q1p2/4p1p1/1p2n2p/7P/P5P1/1PQ1PP2/6K1 b - -,g8h7
5rk1/1b5p/8/p1P5/3b2P1/1P3P2/P7/3R2K1 w - -,d1d4
8/8/1p5p/1B2kR2/6P1/6b1/P2p3r/3K4 b - -,e5d4
2rq1rk1/5pbp/bpn1pnp1/p1pp4/P3P3/2PP1NP1/1PQN1P1P/R1B1RBK1 w - -,h2h4
r2qrbk1/pp1n1pp1/2b2n1p/4pN2/2P1PP1B/2N3P1/PP2Q1BP/R4RK1 b - -,d8b6
r1b2rk1/p5pp/1q6/3p4/Q2bPp2/8/PP1PB1PP/R1B2RK1 w - -,g1h1
r1b2rk1/2p1b1pp/2p1n3/p2pPp2/2P2Pq1/1P2QNP1/PBB4P/R2R2K1 b - -,c8b7
r3kb1r/1pqn1ppp/2p1p3/p7/P1N5/2PP1BP1/4PP1P/R2Q1RK1 b kq -,d7e5
8/1n6/8/p2P3p/P3K1k1/8/6N1/8 w - -,e4e5
8/p4p2/6k1/1R4p1/PP2K1P1/1r3P2/8/8 w - -,f3f4
5r2/p4P2/1n1k2BP/3bbQ2/2p5/1P6/P7/1K6 b - -,c4b3
r4r1k/pp3ppp/3nb3/2q1p3/4P1BQ/2N5/PPP3PP/3R1R1K w - -,f1f3
rqbr2k1/p1Nn1pp1/5b1p/3p4/1P1P4/1R2P1N1/P1Q2PPP/2R3K1 b - -,c8b7
r3kb1r/pp3p1p/2p1pnp1/8/3P4/2P1BP1P/PP3P2/2KR1B1R b kq -,f8g7
8/1pR2k2/8/p4p2/4nP1K/P7/8/1r4B1 b - -,f7e6
2r3k1/2nr1pp1/1p2bn1p/p1p5/4p1P1/P4PKP/1PNBP1B1/2R1R3 w - -,d2c3
8/7p/4p1p1/k2p1p2/3PnPPP/3BP3/4K3/8 w - -,g4g5
r3k2r/ppp2pp1/2p1b3/4PnBp/1b2R3/2N2N1P/PPP2PP1/R5K1 b - -,b4c3
3k4/8/1b1N4/3bPp1p/5Pp1/B5P1/6K1/8 w - -,g2h2
1r5q/3B1Qb1/5npk/2B1p1Np/8/2P4P/5PP1/3R2K1 b - -,b8b7
1n6/8/1Bp1k1p1/2Pp1p1p/P2K1P2/2P5/6PP/8 w - -,d4e3
r1r3k1/1b3ppp/p3pn2/1p5q/2n1P3/P1N2N1P/1P2QPP1/1B1RR1K1 b - -,c4a3
3r1r1k/1q1n2p1/pP5p/P1p1p1P1/2Pp1p1P/3P1PR1/3B4/1R2Q1KB b - -,f4g3
5n2/2p2kpp/2pp4/p4PP1/3r1N1P/1P4K1/P1P5/4R3 b - -,d4d2
1r6/qp3pkp/pR1p2p1/P3p3/3nPP2/3P2P1/1PrQ2BP/5R1K w - -,d2b4
5B1k/1r3pp1/2b3q1/p7/8/P1Q2P2/6PP/4R1K1 w - -,f8g7
4b2r/2k5/1p3b1p/p1pB2pP/2P5/4R1P1/PPKB4/8 w - -,e3e6
2rr1k2/p4pp1/2p1b2p/8/2pP4/4P1P1/PbR2PBP/3R2K1 w - -,c2b2
3b4/8/2Pk1p1p/p1pBp2P/1p2P1P1/1P6/P3K3/8 w - -,e2f3
2rr2k1/pp2q1pp/1nb1pp2/8/P1PP4/1Q2PN2/4BPPP/R1R3K1 b - a3,b6a8
3nk3/p1rr4/1p2ppp1/1P2p2p/2P1P2P/R1NP1PP1/4K3/R7 b - -,d8f7
r3kb1r/2pbqppp/p1np1n2/1p1Q4/4P3/1BN2N2/PP3PPP/R1B2RK1 w kq -,d5d1
r1b1k1nr/4pp1p/p1p3pb/q1B1P3/3NN3/2pP3P/P1P1QPP1/R4RK1 b kq -,c8d7
6k1/p1q1p1n1/2p4p/2p1Np2/2P2P1P/1P2P3/P3KQ2/8 w - -,f2e1
8/8/1b6/5kp1/P5R1/6PP/2r5/6K1 w - -,g1h1
6k1/5pp1/q1pbpn1p/8/2PP3P/4BBP1/1Q3PK1/8 w - -,b2c2
5rk1/1r2Np1p/p2pnnp1/P7/2P2PP1/1qQ1P2P/6B1/R2R2K1 b - -,g8g7
rnbq1rk1/1p3pBp/2pp1np1/p3p3/P2PP3/2N2P2/1PPQ2PP/R3KBNR b KQ -,g8g7
8/3k4/6Pp/2p1bN1P/8/5KP1/8/8 b - -,d7e6
rn3rk1/1bp1qpb1/pp2p1pp/5n2/P1PP4/2N1BN2/1P1QBPPP/3R1RK1 w - -,d4d5
2r3k1/pb1qn1b1/1p2pppp/3pP3/1PrP1PP1/P2Q3P/4N1B1/1NR2RK1 w - -,b1d2
2r3k1/p3bppp/1p2p1q1/2n4n/5Q1P/1P2NNP1/PB2PP2/2R3K1 w - -,f4g4
3r4/ppr2ppk/6bp/1P2P3/8/Q6P/4BPP1/6K1 b - -,d8d2
1rq1rbk1/p4ppp/2p1p3/3pNn2/5PQ1/1PB3P1/P1P1RP1P/3R2K1 w - -,a2a4
qr5k/2n2p1p/5n2/3pb3/1Q2P3/1P4N1/P6P/1KR2B1R w - -,b4d2
1rrq2k1/4Rp1p/3p2Pn/1pp3Q1/3pP3/3P4/1PP3PP/5RK1 w - -,g5h6
r1bqkb1r/1p1n1p1p/p1n1p3/2ppP1p1/3P4/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq g6,d2b1:g2g4
r4rn1/p3ppk1/6p1/1bN1P2p/1pp5/5P2/PPP2NPP/1K1R3R w - -,f2e4
r4r2/2R1Rp1p/2N1ppk1/3p4/8/6PP/5PK1/8 b - -,a8a4
2rq1bk1/3b3p/4p1p1/pn1p1p2/1p1P1P2/1P2P1P1/P2QN2P/2R1BBK1 w - -,d2b2
2r1r1k1/pb1q1pp1/1p2p2p/n1bP4/P1P1N3/5BBP/Q4PP1/2RR2K1 b - -,c5f8
8/8/4k1p1/6P1/2r3N1/5K2/2P5/8 b - -,c4c2
2rq1rk1/p3bp1p/bp2p3/3Pn1p1/8/2N1B1P1/PPQ2PBP/R2R2K1 b - -,d8d6
8/2r2pk1/6p1/8/2pKP2P/5R2/8/8 w - -,d4c3
5b1k/1pr2r1p/p2n4/4ppBQ/8/2P1N2R/qP4PP/5R1K w - -,h5g6
r2q1rk1/p4nbp/2pp2p1/2p2b2/5B2/2NP3P/PPPQ2PN/R4RK1 w - -,a1e1
6r1/p3pp1k/2p4b/3rP3/3NRP1p/1P1nB2P/P6K/5R2 b - -,d3c5
8/8/8/2r5/P3P1k1/1K1R4/8/8 b - -,g4f4
r1b2rk1/bpp2ppp/p7/2P1q2n/1n2N3/3P3P/P3BPP1/1RBQ1RK1 w - -,b1b4
2N5/pp6/5p1p/6b1/6P1/k7/P6P/1K6 b - -,a7a6
8/p1b2rkp/2n2pp1/8/2R4P/P2r2PK/1BR2Q2/8 b - -,c7g3
8/4ppk1/p5p1/2NPP3/2r5/2N4P/P1n3P1/6K1 w - -,c3e4
5k2/5pp1/1p1bb2p/2p5/2PpP3/B2B1PP1/5K1P/8 w - -,f3f4
r2r2k1/pb3pb1/1p1N2pp/2p4n/4PP2/P1N5/1P3PBP/3RR1K1 b - -,b7c6
r1bq1rk1/pp1nppbp/2p2np1/8/P2PP3/1BN1B3/1PPQ2PP/R3K1NR b KQ -,f6g4
rn1q1rk1/pb1pbppp/1p2pn2/2p5/3P1B2/3BPN1P/PPPN1PP1/R2QK2R w KQ -,e1g1
2r2rk1/p1pb1ppp/1pn5/8/3P4/PN2P3/4BPPP/R1R3K1 w - -,e2a6
8/4R3/8/1p1pk2p/p6r/P3K3/1P6/8 b - -,e5d6
2rr2k1/pb4pp/1ppPp3/2q5/2P1B2P/1PQ3P1/PB6/5RK1 w - -,g1h2
2rq2k1/2r2ppn/4p2p/1p1pP2P/pP1P1KP1/P2R1N2/4Q1P1/3R4 b - -,h7g5
r1b1kb1r/1p1qpppp/1pp2n2/8/3P1B2/2N2Q2/PPP2PPP/R3KB1R w KQkq -,e1c1
2r2r1k/Q2bqpp1/1p3b2/2p1n3/3NB3/B3P3/P4PPP/2RR2K1 b - -,e5g4
r1b2rk1/p3q1pp/2p5/2b2p2/2B1p3/1PQ5/PBP2PPP/R4RK1 b - -,g8h8
r1b1k2r/ppq1bppp/2pp1nn1/P3p3/3PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 b kq -,e8g8
1r4k1/r4ppp/2p5/2Nn1b2/2NRpP2/p3P3/PP3P1P/R5K1 w - -,b2a3
r2q1rk1/pb1nbpp1/1p2p2p/2pp4/2PPn3/P1NBPNB1/1P2QPPP/R2R2K1 b - -,c5d4
r3k2r/1bq2ppp/p2bp1n1/2p5/4N3/2Q2N2/PPP2PPP/R1B1R1K1 w kq -,c3g7
8/p1R1b2p/4pp2/3k2p1/rp1P4/4B1P1/1P2PP1P/4K3 b - -,e7d6
r4rk1/1pq3bp/2p1bnp1/1Pp1pp2/2P5/3PP1P1/2Q1NPBP/1RB2RK1 b - -,e5e4
r2qkb1r/pp1n1ppp/4pn2/3pNb2/Q7/2N3P1/PP1PPPBP/R1B1K2R w KQkq -,g3g4
r5k1/1R2pp1p/2Pq1bp1/2pP4/r4P2/4QB1P/6P1/4R2K b - -,a4a3
2k4r/p2bn3/1p2pr1p/3pP1p1/q1p5/P1P5/R1PBBPPP/3Q1R1K b - -,f6f5
r4k2/3nbp2/2pp3p/4p1p1/4P3/1B3P2/PPP2BPP/2KR4 b - -,f8e8
2r4k/1b2qppp/p3p3/1p2P3/3p1PN1/2rP2QP/P3R1PK/6R1 b - -,b5b4
r4bk1/p4p2/4pBpp/R1p1P3/1pP3P1/8/1P3P1P/6K1 w - -,h2h4
r2qr1k1/pppbbpp1/2np1n1p/8/4P3/2N4P/PPP1NPP1/R1BQRBK1 b - -,e7f8
r1b1r1k1/1p3ppp/2p5/8/1P6/1nB3P1/5PBP/3R1R1K b - -,a8a2
r3r1k1/1p1b1qbn/p2p4/P1pP1p1n/7p/2NBBP1N/1P1Q2PP/4RRK1 b - -,e8e3
2kr1b1r/p4p1p/3p4/qpp1nP2/4P3/2N5/PPP1QP2/R1B1K1R1 w Q b6,c1g5
3R4/1p2kppp/p1n1p3/8/8/2P5/PP2BPPP/1K6 b - -,e7d8
b1rqr1k1/3nppbp/p2p1np1/1p6/2P3PQ/1PN1BN1B/P3PP1P/2RR2K1 w - -,c4b5
8/6pp/N4p2/2k1pP2/6PP/8/3K2b1/8 b - -,c5d4
r4rk1/2qnppbp/2p1n1p1/pp6/3PN3/P1P2N1P/1P2QPP1/R1BR2K1 w - -,a3a4
8/5R1P/8/1KP1k3/5p2/7r/5P2/8 b - -,h3h5
2rr2k1/p5bp/1n1q1pp1/4p3/6b1/1P3NP1/P2B1PBP/2RQR1K1 w - -,c1c8
r4rk1/p1q1nppp/1pp1pn2/7b/2NP4/1QPB1N1P/PP3PP1/R4RK1 w - -,c4e5
3k1r2/2p5/1p1p1p2/pPnN2pp/P2RPPP1/2P2K2/6P1/8 b - -,h5h4
r3rbk1/1bqn1ppp/pp1pp3/n5P1/P2NPP2/2NQ4/1PP3BP/R4RBK w - -,d3h3
r5k1/1p3pp1/3p3p/1P1Pp3/8/1q3P2/n2Q2PP/R4BK1 w - -,f1e2
4r1k1/3q1pp1/p2b3p/1ppP4/2Pp4/1P1Q1N2/P2P2PP/4R1K1 w - -,e1e8
2kr3r/1pq2pp1/p1p2n2/2bP4/8/1Q3BP1/PP4KP/R1B1R3 b - -,f6d5
r1bqr1k1/1p3pbp/p5p1/3pn3/P2N1B2/4P2P/1P2BPP1/R2Q1RK1 b - -,e5c6
8/pp1knp2/8/r4p1R/P2P1N2/1P1K2P1/2P2P2/8 w - -,h5h7
8/5p2/k5p1/4N1P1/5n1P/2Kp4/8/8 b - -,a6b5
8/7p/1P1k2p1/8/8/7P/6PK/8 w - -,h2g3
2r4r/pp1b1kpp/5p2/2RpPp2/3P3P/5N2/PP1K1PP1/4R3 b - -,d7e6
r5k1/1p1b1qb1/p3p1pp/2p1n3/2PnBN2/2N5/PP4PP/R1BQ3K w - -,b2b3
r1b2rk1/1p4pp/pqn1p3/3ppn2/3P1P2/5N2/PPNQ2PP/2KR1B1R w - -,d4e5
rqb5/1p1rkpbp/1B1p1np1/p2Pp3/P3P1P1/2N4P/1PP2P2/R2QKB1R b KQ -,e7f8
1r2qrk1/pbnn1pbN/4p1p1/1p2P2P/2pP4/2P2N2/PPB3P1/R1B1QRK1 b - -,g8h7
7k/1p1qpQrp/p1b5/2pNb3/8/5P1P/PP4P1/R2R2K1 w - -,f7f8
r1bqk2r/pp1p3p/2n1p1p1/3nPp2/2P5/5N2/PPQb1PPP/RN2KB1R w KQkq -,b1d2
k7/P1n2pp1/4p3/2K1P2p/4PP2/6P1/7P/8 w - -,c5b6
r1b1kb1r/5p2/p1pq3p/3Np1p1/2Q3P1/4B2P/PPP2P2/R3K2R w KQkq -,e1c1
r2qnrk1/2p1bp2/p1n3p1/1p1p3p/3P3P/1PN2PN1/PBPQ1P2/2KR3R w - h6,g3h5
1rb1k2r/5p1p/p1n1p1p1/2qpP3/2p2PP1/P1N2N2/1PPQ3P/KR1R4 b k g3,h7h5
2q2rk1/2pb1pbp/1n1p1np1/3Pp3/2P1P3/1PN1B1PP/5PBK/r2QNR2 w - -,d1a1
r2qk2r/1pp1nppp/p1nN4/3p4/3P2b1/3B1N2/PPP2PPP/R1BQ1RK1 b kq -,d8d6
5r2/pp1R2bk/2p3pp/5b2/2q2P2/2N1Q2P/PP4PN/5R1K b - -,f5d7
1r4k1/2Rb1ppp/5n2/ppBB4/3N4/4P1P1/PP3P1P/6K1 b - -,b5b4
1rbr2k1/6bp/ppB2qp1/2pPpp2/4P3/2N2P2/P1QR2PP/5RK1 w - -,c3a4
rrb1n3/4b1k1/1pp3pp/4Pp2/2B1P3/P1p1B1P1/2K3NP/3R1R2 w - f6,g3g4
r5k1/3nq1pp/3p4/1b1Pp3/1PB1P3/4Q1P1/3N3P/2R3K1 b - -,b5c4
rnbqk2r/pp2ppbp/6p1/4P3/3N2n1/2N5/PPP3PP/R1BQKB1R w KQkq -,f1b5
r1b1kb1r/2qn1p2/1n1pp1p1/p5Pp/1pPpPP1P/1P2B3/P2QN1B1/R2N1RK1 w kq -,e2d4
8/1p2r1k1/1R4p1/1p5p/3P3P/3KP2R/6r1/8 b - -,g2a2
5k2/5p2/6p1/7p/4q2P/1PQ3P1/P4P1K/8 b - -,e4f5
r1r4k/1pn1bp1p/3p1p1B/1NnPp3/p3P3/5P2/PP2B2P/2R1K1R1 b - -,c7e8
r5r1/p1p1k1b1/1pbpp2p/2q3pB/1P2P1N1/Q4PP1/P1P3P1/2KRR3 b - b3,c5c3
r3kb1r/pp1qpppp/2n2n2/2p5/2PP2b1/5N2/PP2BPPP/RNBQK2R w KQkq -,d4d5
rnb1k2r/pp1pqppp/2p2n2/3P4/1bP1p3/2N3P1/PP1BPPBP/R2QK1NR b KQkq -,e8g8
r2q1rk1/p3bppp/5nn1/1BPp4/NP2p3/P5Q1/5PPP/R1B2RK1 w - -,f1d1
2r2rk1/1pq2pb1/p3p1pp/P2pP3/1P1NnP2/2PQ4/1B4PP/R4R1K b - -,f8e8
8/8/1pk4p/2p1p1p1/p1P1K1P1/8/1P5P/4B3 w - -,e4e5
r3r2k/5p2/3qb2p/1p4p1/p2bP3/P1pP1QN1/4BPPP/2R1R1K1 b - -,g5g4
8/8/6p1/5b1p/5p1P/5P2/4r1PK/2R2k2 b - -,e2e1
1R6/5Q2/2r3pk/3pPp1p/P7/7P/3q2PK/8 w - -,f7f8
r4rk1/1p1nb1pb/2pp2q1/4p1np/1PPPPp2/5P2/1BQN2PP/2RR1BNK b - -,h5h4
rnbqk1nr/ppppppbp/6p1/8/4P3/8/PPPPNPPP/RNBQKB1R w KQkq -,g2g3
1r3k2/1b4pp/pQnq4/1p1B4/3p4/P1N5/1PP3PP/5R1K b - -,f8e8
2r1r1k1/pb2qpp1/1pp4p/3n4/1P1Pp3/4P2P/P1QNBPP1/1R3RK1 w - -,c2b3
r1bq1rk1/2p2ppp/p2b4/1p6/3P2n1/1BP4P/PP3PP1/RNBQR1K1 b - -,d8h4
2rr2k1/1q2bppp/pp2pn2/8/2PN4/1P1R1PP1/PB2Q1KP/3R4 w - -,a2a4
r2qk2r/pp3p1p/2n1p1p1/2b1Pn2/2Bp1P2/5Q1P/PPPN1BP1/R3K2R b KQkq -,f5e3
2n3r1/1kp5/pp3P2/4p1N1/2Pb3P/PK6/4R3/8 w - -,g5e6
r3k2r/pbqn1pp1/1ppbp2p/8/2PP4/3B1N2/PP2QPPP/R1B2RK1 b kq -,e8g8
1rb2rk1/2q2p1p/3p1pp1/1p6/2PR4/1P4P1/2Q1PPBP/R5K1 w - -,c2d2
8/p7/4k3/1Pp1q1pp/2P5/PQ6/5K2/8 b - -,g5g4
1r5r/5pk1/4p1p1/4P2p/1q2bP2/4N2P/1P1R1QPK/3R4 w - -,f2h4
2r1rbk1/1bqn1p1p/pp3np1/4pN2/2P1P3/1PN3Q1/PBB3PP/4RR1K w - -,c2b1
1qr1r1k1/p3bppp/bp2pn2/n7/2PP4/P1B1NNP1/4QPBP/2RR2K1 w - -,f3e5
8/4kpp1/2n1p1p1/3pP3/p2B1P2/3K2P1/PP5P/8 w - -,d4c5
r5k1/3p1pbp/r4pp1/n7/2qP4/1pN1PNP1/1P2QPBP/5RK1 w - -,e2d1
r3qn2/3rbk2/np1p1p1p/1N1PpNpP/1P2P1P1/2R1BPK1/2R1Q3/8 w - -,c3a3
8/6pp/4b3/1p2p3/4kp2/1P4P1/P2KPP1P/2N5 b - -,f4g3
r4r1k/pp4b1/2pNb1p1/6qp/2Pp4/Q3P2P/PP3PPB/4RRK1 w - -,e3d4
6N1/3b4/2p3k1/2P2p2/1pB1pP1p/4PP2/5K2/8 b - -,g6g7
2bqnbk1/r4p1p/p2p1np1/2pP2N1/2B4P/1P2N3/PBQ2PP1/3R2K1 w - -,c2d3
r1bq1rk1/pp2bpp1/2n1pn1p/2pp4/3P1B2/2PBPN1P/PP1N1PP1/R2QK2R w KQ -,e1g1
r3r1k1/5pp1/pp1bp2p/3p4/1P1P1PP1/2PNR1BP/1Pb5/R5K1 w - -,d3e5
r1q4r/1b2npk1/3p2pp/1p6/4P3/PP1Q1NN1/5PPP/3RR1K1 b - -,h8d8
2rr2k1/1p1qbppp/p3p3/3pP3/3Pn3/1P3N2/PB2QPPP/2R2RK1 w - -,g2g3
6r1/1p3k2/p4n2/5P2/1R6/P2r4/1P6/1K5R b - -,d3d7
