1n1r4/5k1Q/8/p5R1/1p1q4/8/PPP5/1K6 b - -,f7e6
r2q1rk1/pb1nbppp/1p1p1n2/2pPp3/2P5/1PNBPN2/PB3PPP/R2Q1RK1 w - -,f3d2
rnb2rk1/pp1p1pbp/5np1/q1pP2B1/4P3/2N2P2/PP1Q2PP/R3KBNR b KQ -,a7a6
8/8/4k3/1R6/1p1B3r/1P1K4/2P5/8 b - -,h4h3
r1b1kb1r/pp2pp1p/1npq2p1/8/2p1PPn1/N4NP1/PPQP2BP/R1B1R1K1 b kq -,e7e5
4rrk1/pp2q2p/4B3/2p1n2Q/2Pp1N2/1P2p3/P5P1/3R1RK1 b - -,e5f7
r2qk2r/4bppp/p2pbn2/1p1np3/4P3/4N3/PPP1BPPP/R1BQK2R w KQkq -,e4d5
r5k1/3nq1bp/1pbpp1p1/p4r2/1PP5/P1N2P2/2Q1B1PP/1R1RB1K1 w - -,e1f2
8/6p1/6Q1/7p/5q1k/2K5/2P5/8 w - -,g6e8
4k3/4bp1p/6p1/8/3BN3/1b2P3/5PPP/6K1 w - -,f2f3
2R5/7k/p2P4/2n1p3/2p1P3/2r2P2/P6r/K5R1 w - -,c8c5
8/2n2k2/5p2/3K2p1/6Pp/7P/5P2/4R3 w - -,d5e4:d5d6
3k4/1prPrp2/6p1/p1p4p/2P1n3/1P1R2PB/P3R2P/5K2 b - -,f7f5
2kr3r/1p1n1pbp/p1q1p1pn/P1pp4/4PP2/3PNN2/1PP1Q1PP/R1B2RK1 w - -,e4e5
r1bq1rk1/2p3bp/1p1p2p1/p1nPpp1n/2P1P3/P1N1BP2/1PBQN1PP/R4RK1 b - -,a5a4
r1bq1rk1/4bp1p/p2ppnp1/Pp6/4PP2/1NNP4/1P2Q1PP/R1B2RK1 w - b6,f4f5
4rb1k/1Q2qb1p/1p3N2/1Ppp4/8/1P1R2PP/r5B1/5RK1 w - -,b7e7
6k1/p5pp/3b4/N1pb2R1/P2r3P/5PP1/8/4NK2 b - -,d6e7
6r1/2bP2pk/p5Np/4Q3/4p2q/7P/6RK/8 w - -,e5c7
2rq1rk1/pp1bppbp/3p1np1/4n3/3NP3/2N1BP2/PPPQB1PP/1K1R3R b - -,f8e8
8/8/R2k3p/6p1/6P1/1B3P2/Pr2r1PK/8 b - -,d6c5
1r1r2k1/p1p2p2/1pnqb1pp/4P3/2P5/2QN2PP/P4PB1/1R1R2K1 b - -,d6d4
r4rk1/1pq3bp/p1pRbnp1/2P1Np2/PP6/5PP1/2Q4P/R1B2BK1 b - -,f8e8
r1bq1rk1/pp3ppp/2n5/b2P4/2pP4/P4NP1/1P3PBP/R1BQ1RK1 b - -,d8d5
8/8/pBp1k3/Pb1r1ppp/8/5P1P/2R3P1/4K3 w - -,b6c5
1r2qrk1/pp1bp1bp/n2p1np1/2pP1p2/2P5/2N1BNP1/PP2PPBP/1RQR2K1 b - -,a6c7
8/4k2p/1BK1b3/1p4p1/3r4/4N2n/8/5R2 b - -,e6d7
2k3r1/2p5/2r1p3/pP1bPp1P/3Q4/5P2/4B1P1/6K1 b - -,c6c2
8/5k2/5p2/7p/4PK1P/r4P2/8/3R4 w - -,d1e1
r3k2r/5p2/p2bp3/3p1p2/3P3p/4P3/1P2NPPP/1KR4R b - -,e8d7
r2q1rk1/pQp1n1pp/1n1b4/1B2pp2/8/2PP2NP/PP3PP1/R1B1R1K1 b - -,e7g6
2k5/5R2/p3p1p1/P3P1P1/2N2n2/B2r1b2/3P4/3K4 w - -,d1c2
8/7p/4nk2/5p2/8/B4K1P/8/8 w - -,a3c1
4R3/3q1kpp/2p5/pp1p1b2/3Q4/P1P2BP1/1P3PP1/6K1 b - -,f7e8
r1b1kb1r/pp2ppn1/2p1n1p1/q2pP2p/3P1PP1/2NB1N1P/PPPQ1B2/2KR3R w kq -,f4f5
r4rk1/1bq1np1p/pp2p1pb/4P3/2PN2Q1/3B4/PB3PPP/3RR1K1 w - -,b2a3
2rr2k1/2q1bppp/pp2pn2/8/2PN4/1P1R2P1/PB2QPKP/3R4 w - -,f2f3
1qr3rk/1Pbn1ppp/p2ppn2/8/pP1NP3/5P2/P1RQB1PP/1R4BK b - -,b8b7
2k4r/4bppp/p1p1p3/B1n5/2P5/2N3P1/PP2RP1P/3r2K1 w - -,c3d1
r1q1r1k1/2p2pb1/3p1np1/1bn3Bp/4P1P1/2N2P1P/PP4B1/1R1QR1K1 w - -,c3b5
3k2r1/3n4/1p3p1P/5R2/8/6P1/4R1K1/8 w - -,f5d5
r2q1rk1/1b1n1pp1/1pp2b1p/pP1p4/3P4/1QN1PN2/P3BPPP/R4RK1 b - -,a5a4
r4rk1/pp1qnpb1/2npb1pp/2p1p3/P3P3/N1PP1NPP/1P3PBK/1RBQ1R2 b - -,a8c8
r2r2k1/pp3pb1/2p1n1pp/4p2q/2P1P1b1/2N1B1P1/PP1NQP1P/R3R1K1 w - -,f2f3
5r2/4Npkp/p2R1np1/P1n2P2/2P3P1/4r2P/6B1/R5K1 w - -,e7d5
r2q1rk1/p3bpp1/2p1bn1p/3p4/8/2NB1Q1P/PPPB1PP1/R3R1K1 b - -,a8b8
8/p4p2/6k1/P5pp/1P6/5r2/2R5/4B1K1 w - -,c2c7
r2qkb1r/ppp2ppp/2np1n2/4p3/2B1PP2/5Q1P/PPPP2P1/RNB1K2R w KQkq -,d2d3
1r4k1/6p1/p2p2q1/Q1pP4/2P1ppP1/P4P2/5N2/R5K1 w - -,f2e4
2r3k1/p4b1p/1r3qp1/3p1p2/P2NpP2/1PP3R1/3Q2PP/3R2K1 b - a3,g8f8
r4rk1/pp1b1pbp/2n1p1p1/q2p4/3P4/1PN1P1P1/PB1Q1PBP/R4RK1 w - -,f1c1
r1bq1nk1/pp2rppp/2n1p3/1NPp4/3P4/P2B1N2/1PQ2PPP/R3R1K1 b - -,f7f6
1r4k1/7p/3p2p1/2pP4/Bp3P2/1P4P1/4n2P/3R2K1 w - -,g1f2
6k1/R5p1/p6p/2p5/r1P5/6P1/5P1P/6K1 b - -,g8h7
2r2rk1/p3bpp1/1q2b2p/n2pPp2/1p1P1N1P/1P2BNP1/P4PK1/R2Q3R b - -,c8c3
8/5ppp/4p3/p2bP1P1/1kp1pP2/P3P1P1/1K6/3B4 b - -,b4c5
r3kbnr/1b1p1ppp/p1q1p3/1p6/4P3/2N1BB2/PPP2PPP/R2QK2R w KQkq -,e1g1
8/8/8/4rk1p/5p2/1N1R1K1P/8/8 w - -,b3d4
8/1p2r3/p4k2/P4ppp/1PPR4/5KPP/8/8 b - -,f6e6
8/p7/B2p2n1/1Npnk3/8/P6P/1P3K2/8 b - -,d5f4
1nbq1rk1/r1p1bppp/pp2pn2/4N3/P1pP4/6P1/1PQ1PPBP/RNB2RK1 w - -,f1d1
5b2/1R3bkp/6p1/3p1p2/4p3/3P2P1/2r1PPBP/1R4K1 w - -,e2e3
8/1b2qkpp/1p2n3/pP6/2P2p2/3B1P2/1B4PP/4Q1K1 b - -,e7d6
r1b1k2r/ppQnnppp/2p2q2/3p4/3P4/2NBP3/PP3PPP/R3K1NR w KQkq -,g1e2
4rbk1/5pp1/p1q1rn1p/P1p1R3/1p6/1P1Q2NP/1BP2PP1/4R1K1 b - -,f6d5
8/8/5Bp1/P7/5P1P/5k1K/6r1/8 b - -,g2a2
r4rk1/2q2ppp/b2pp3/p5PP/1p1NP3/3P1P2/PP1Q4/1K1R3R b - -,c7b6
r1br2k1/pp4pp/n3pn2/2P3B1/2P1p3/P4P1N/6PP/R3KB1R w KQ -,f3e4
1r4k1/7p/4p3/pp1pP3/3P1rp1/P1P3b1/1PR4P/R5K1 w - -,h2g3
r1bq1rk1/p5b1/p2p3p/3PN2n/5p2/2N1B1PP/PP3P2/R2QK2R w KQ -,e5c6
rn1q1rk1/pb2bp1p/1p2p1p1/4N3/3P4/2nB3Q/PP3PPP/R1B2RK1 w - -,b2c3
r2q1rn1/2pb1pbk/1p1p2pp/pNnPp3/P3P1P1/4B1NP/1PPQ1P2/R3RBK1 b - -,g7f6
2qr1b2/4p2k/p5pp/3bPp1n/2rN1P2/2P1B2P/4QRPK/R2N4 w - -,e3d2
4nrk1/1r5p/1q1p1bp1/1p1Pp1B1/2p1P1Q1/2N4P/1PP3P1/R4R1K w - -,g4e6
rnbqk2r/ppp2ppp/5n2/3pp3/1bPP4/2NBP3/PP3PPP/R1BQK1NR w KQkq -,d1a4
1r1qbk1r/4npb1/p1pNp1pp/Pp1nP3/1P1P3P/3B1N2/2QB1PP1/2R1K2R b K b3,f7f5
r4n2/5ppk/3Rp2p/3pP2P/p4P2/6R1/PP2r1P1/1KB5 w - -,d6c6
r1b1r1k1/1p3pbp/pn4p1/4p1B1/8/1BP2N2/PP3PPP/R3R1K1 b - -,c8e6
4r3/p7/6p1/2b2pBp/2p4P/PkPr2P1/1P4R1/1K3R2 b - -,e8e4
8/5kp1/1B6/p2rp3/P7/3P2R1/5K1P/8 b - -,g7g6
2r1k2r/1p1bnpp1/p3p2p/2qpP3/P7/2PB1N2/1P3PPP/R2Q1RK1 w k -,f1e1
6k1/3rn1p1/1B2qp1p/7P/Q1p5/Pp3P2/6P1/2R3K1 w - -,b6a5
r2qr1k1/1b1nbp1p/pp1pp1p1/4P2n/2P2P2/1NNB4/PP1BQ1PP/4RR1K w - -,e5d6
r2q1rk1/1b1nppb1/p2p1npp/1p6/2PN3B/2N1P3/PPQ1BP1P/3RK1R1 w - -,c4b5
r5k1/pp1b1rpp/2pBp3/2Pn1p2/3P4/1P3PP1/1P4BP/2R1R1K1 b - -,f5f4
6r1/3kPK2/6N1/p2p4/2pP4/RnP5/1P6/8 b - -,g8g6
5rk1/ppp3pp/3p3q/3Pbb2/2P1N1p1/2N3P1/PP4QP/5R1K w - -,c4c5
r1bqk1nr/1p1n1ppp/p2p4/2pP4/4PQ2/2N2N2/PPP3PP/R3KB1R b KQkq -,d8f6
3r1r1k/ppp3bp/2n1q1p1/8/3pPP2/P2Q1RP1/1P2N1K1/3R2B1 b - -,d8d7
8/2p2kp1/R2r3p/5P1P/4K1P1/8/8/8 w - -,a6a7
5bk1/p2r1p1p/2R2n2/3P1p2/2P5/5P1P/2P3P1/3R2K1 b - -,g8g7
r1bqk1nr/1p2ppbp/p1n3p1/2p5/3pP3/P2P1NN1/1PP1BPPP/R1BQK2R w KQkq -,c1d2
2r2rk1/2q1bppp/b2p1n2/1p2p3/4P3/Pn1P1N2/1BBQ1PPP/2R2RK1 w - -,c2b3
1q1r1rk1/1p1b1ppp/p1n2n2/2b1p3/4P3/1BB2NNP/PP2QPP1/2R1R1K1 b - -,c5b6
r1b1k2r/1q1nppbp/p2p1np1/2pN4/2BPP3/4B1P1/1PP2P1P/1R1QK1NR b Kkq -,d7b6
1rbq1rk1/5pbp/p2p1np1/nppP4/P3P3/1P3NP1/R1QN1PBP/2B2RK1 b - -,b5a4
r3rk2/1p3p1p/2p1b1p1/p1n1p3/P3PP2/1PN3PP/2PR2B1/3R2K1 b - f3,f7f6
rn1qrbk1/1b3ppp/1p3n2/pPPp4/Q7/2NBP1N1/P4PPP/1RB2RK1 b - -,f8c5
r1b2rk1/1p1p1ppp/4p3/2q5/pQP5/Pn2PN2/1P2BPPP/3R1RK1 b - -,c5f5
1rq1r2k/1p1bbppp/p1pp2n1/2PPp2n/PP2P3/3BBN1P/2Q1NPPK/R1R5 b - -,e8f8
6k1/p3bpp1/1p2p2p/3rP3/r2PRP2/P1P5/1B4PP/R4K2 w - -,e4e2
r3qr1k/p2b2p1/n4b1p/1NpPRp2/1pP2P2/3B2R1/PP2Q1PP/6K1 w - -,e5e8
2Q3rk/pP4qp/1b6/8/1P6/5BP1/P4PK1/5R2 b - -,b6c7
r2q1rk1/pb1pbppp/1pn1pn2/8/2P2B2/2NQ1NP1/PP2PPBP/R4RK1 b - -,d7d5
r3r3/1b3p1k/p2p1bpp/1pnPp3/P1p1P2q/2P1B1NP/1PBQ1PPK/R4R2 w - -,f2f4
1nrr2k1/p1q2ppp/bpp1pn2/8/2NP1P2/1QN1P3/PP1R1PBP/5RK1 b - -,b6b5
r1bq1n1r/pppn1pk1/3pp1pP/3P2P1/4PP2/2N5/PPPQB3/R3K1NR b KQ -,g7h7
1r4k1/3nppbp/r2p2p1/q1pP2B1/4P2P/nPN2P2/P3N1P1/R1Q2RK1 w - -,h4h5
n2r1rk1/pp2Rbn1/3P1q2/P1p4p/2N1N1p1/1Q3pP1/1PB2P1P/4R1K1 b - -,f6h6
r1b2rk1/p1p1nppp/1pn4q/2bpP3/2BN1P2/2P1B3/PP4PP/RN1Q1RK1 w - -,c4d3
r7/5n1p/2p1bkp1/2B1Pp2/4P3/P1P3PB/7P/3R2K1 b - -,f6e5
r4rk1/pQ3p2/2Nqp1p1/2R4p/P2P2n1/4P1P1/5P1P/R5K1 w - -,a1b1
4r2k/pp1qr1bp/2p5/2Pp1pp1/4n3/2P1BN1P/PPQ2PP1/R3R1K1 w - -,e3d4
r2qkb1r/pb3ppp/1pn1p3/2p1Pn2/2Pp1P2/3P1NP1/PP4BP/RNBQ1RK1 b kq -,d8d7
8/6R1/5p2/3P1k1P/p7/7r/4K3/8 b - -,a4a3
6k1/2q1bpp1/p3p2p/1b1pP3/1p1P3P/4QNP1/PP3P2/2N3K1 w - -,c1b3
r2qkb1r/pp2nppp/1np1p3/4Pb2/3P4/1BN2N1P/PP3PP1/R1BQK2R b KQkq -,e7d5
2r1r1k1/p4pp1/1p5p/3p4/2q1n3/2PQBN1P/PPB2PP1/R5K1 w - -,f3d4
r2q1rk1/ppp1npb1/3p2pp/2PPp2n/1P2P1b1/2N2NP1/P3BP1P/R1BQ1RK1 w - -,f3h4
8/4k3/2Q4p/2PpP3/3q2P1/8/5P1K/8 w - -,c6f6
r3r1k1/pp3ppp/2B1pn2/2B5/2n5/1NP3P1/P3PP1P/R2R2K1 b - -,b7c6
8/5r1p/p7/3k4/7R/8/P4P1P/5K2 b - -,d5c5
6k1/1p2bpp1/p1q1p2p/3p4/2nP1B2/3NP2P/PPQ2PP1/6K1 b - -,c4a5
2r2rk1/p3b1pp/bp1qpp2/8/2P1n3/3NP1P1/P4PBP/B1RQ1RK1 b - -,e4c5
rn1qkb1r/ppp2ppp/4pn2/8/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,f8e7
2rb2k1/2r4p/pq2ppp1/3pN3/Pp1Pn2P/1P1Q1RP1/1BP2P2/2R3K1 w - -,e5g4
r1bqk2r/1p2bp2/p1nppn2/4P1p1/5P1p/1NNBBQ2/PPP3PP/R4RK1 b kq -,g5g4
2r5/4b1k1/p1q1p2r/1pp3p1/5NQ1/6P1/PP3P1P/4R1K1 w - -,f4e6
r1bq1rk1/pp2p1bp/2np1np1/5p2/2P5/1P3NP1/PB2PPBP/RNQ2RK1 w - -,b1c3
5r2/1k1b1P1p/2n1pQ1B/8/4P3/1pP5/1P5q/1K1R4 w - -,d1d7
r1b2rk1/pp3ppp/1n1n1q2/3p4/3Pp3/1PN1P2P/PKQN1PP1/3R1B1R w - -,d2b1
2r2rk1/1p1qbpp1/p4n1p/3p4/3N1PbB/2NQP3/PP1R2PP/R5K1 b - -,d7d6
2q1r1k1/pb3ppp/1p3n2/3pB3/8/1P4P1/P2NPPBP/3Q1RK1 b - -,e8e5
r6r/1p1k1ppp/p2bp3/3p4/1n1P4/1PB1P3/1P2BPPP/R4RK1 b - -,b4c6
r1bq3r/1p1kbp1p/p1n1p3/3pPp2/2pP1P2/1PP1NN2/P5PP/R1BQ1RK1 b - -,b7b5
6k1/1p5p/pN1pP3/P7/1P1b2p1/2p3P1/5r1P/2R4K b - -,d4b6
rnbqk2r/pp1p1ppp/2p2n2/4p3/1bPP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,c1d2:b1c3
2r2rk1/pbq1bpnp/1pp1p1pB/4N3/2PPB3/2Q5/PP3PPP/3R1RK1 b - -,f7f5
8/p4pp1/1p2k3/2p1P1KP/2P5/1P6/P7/8 w - -,g5f4
r2q1rk1/1p1nppbp/2bp2p1/p7/2PBP3/2NB4/PP1Q1PPP/R3R1K1 w - -,d4g7
r2qrbk1/p1p2pp1/1p2pnp1/3p1n2/2PP4/1PN1P1PP/PB2BP2/R2Q1RK1 w - -,e2f3
r1bqr1k1/pp2bp1p/2p1pnp1/8/2PP4/2Q2N2/PPB2PPP/R1B1RK2 b - -,a7a5
2rq1rk1/4b1p1/p4p1p/1p1ppP2/n3P1PP/2P4Q/PP1NB3/1K4RR w - -,g4g5
7k/7p/2N2bp1/8/8/2p3P1/1r3P1P/2R3K1 w - -,g1f1
5rk1/6bp/p1b1pp2/1p4p1/3NP3/2Pr2B1/PP3PPP/R3R1K1 b - -,c6d7
8/p7/2N4P/8/2p1b1p1/P3k1K1/8/8 w - -,c6b4
1r6/pp1n1ppp/3kp3/8/3P4/2R1PB2/PP4PP/6K1 w - -,c3a3
8/8/5N2/6p1/2kp2P1/4r2P/5RK1/8 b - -,d4d3
rnbq1rk1/pp3ppp/3bp3/2pn4/2B5/2P2N2/PP1P1PPP/RNBQ1RK1 w - -,d2d4
6k1/1p3pb1/p3p3/4n3/2P3P1/1P3N2/PB1r2K1/8 w - -,f3d2
r1bq1rk1/ppp3bp/3p1np1/n2Ppp2/2P1P3/2NQ1NP1/PP3PBP/R1B2RK1 b - e3,f5e4
8/4k3/2p5/4P1pp/2B2rb1/2P1Kp2/1P6/R7 w - -,a1a7
1rb1rbk1/2q2ppn/p1np3p/4pN2/P2PP2P/1p3QN1/1P3PP1/RBB1R1K1 w - -,d4d5
2k1r3/pppq1ppp/2nb4/3p4/PP1P2bn/2PB1N2/5PPP/R1BQ1NK1 w - -,f1g3
4R3/8/K7/1P6/P2k4/8/2r1p3/8 b - -,d4d3
r3qrk1/p1pbnpb1/1p1p1npp/3Pp3/2P1P1P1/1N5P/PP3P1K/R1BQRBN1 b - -,g6g5
8/8/8/4p3/4k3/r7/3RK2P/8 b - -,e4f4
1r2qrk1/p3bppp/1p2pn2/8/QP2B3/4P1P1/PB3P1P/R2R2K1 w - -,e4c6
5rk1/pp2ppb1/1q5p/r2PP3/2p2P2/P1NnQ2P/3RB3/6RK w - -,e3g3
2nr2k1/3npp2/1pR3p1/4P2p/1p2PP2/3NB3/b3B1PP/6K1 w - -,d3b4
1rb2rk1/p2pppbp/1Q3np1/8/8/2N3P1/PP2PPBP/R1B2RK1 b - -,b8b6
r2q1rk1/1b1n1ppp/p1nppb2/1pp5/2P1PP2/1P1P2P1/PB1N2BP/R2QNRK1 w - -,b2f6
2r2rk1/p3nppp/2q1p3/1p1pP3/5P2/1PPQ3R/P2B2PP/4R1K1 b - -,g7g6
rq1n1rk1/p1pbb2p/2p5/3pPpp1/3N1P2/1N2B3/PPP3PP/R2Q1RK1 w - -,d4f3
4r1k1/p1rq1ppp/1n3n2/1PB5/3P4/R3PP1P/6P1/1QR3K1 b - -,e8c8
8/R6p/1B1pk1p1/1P6/8/1q5P/6P1/7K w - -,a7h7
r1bq1rk1/pp2ppbp/1n1p2p1/2pPn3/2P1P3/2N5/PP1BBPPP/R2QNRK1 w - -,b2b3
r2q1rk1/ppp2ppp/1nn5/1Bb1p2b/8/2PP1N1P/PP1N1PP1/R1BQ1RK1 w - -,d2e4
r1b1r1k1/5ppp/5n2/pp1Pp3/8/6PP/PBR1PPB1/5RK1 w - b6,d5d6
8/p4p2/6r1/2p1R3/5k2/1PP1p3/P3K3/8 w - -,e5e3
5k2/p3bpp1/8/2p1PB2/2r5/6P1/1P2RP1P/6K1 w - -,g1g2
7k/6p1/1pb4p/p4N2/4p3/P3P1P1/3K1P1P/8 w - -,d2c3
2rq1rk1/pb1nppbp/1p1p1np1/8/2PQ4/2N1BNP1/PP2PPBP/2RR2K1 w - -,d4h4
r7/1pN2bkp/p5p1/4r3/2PR4/P5P1/1K5P/5R2 b - -,a8f8
