8/pk6/4q2K/1PQ5/8/7P/7P/8 w - -,h6g5
8/4n3/1R5p/4kp2/r7/4N3/8/5K2 w - -,b6h6
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -,e2e3:b1c3:g2g3:c4d5:d1c2:b2b3:d1b3:b1d2:c1g5
8/4k3/p5p1/1p1n3p/2q2p2/P1P2N2/1P1Q2P1/7K w - -,d2e1
8/p6r/2pppkn1/2p2bR1/8/1PKP4/P1P3RP/8 w - -,g5g3
r2q1rk1/ppp1ppbp/2n3p1/8/3Pb3/2P2NP1/P3PP1P/R1BQRBK1 b - -,c6a5
4nr1k/6Rn/p2pB3/1ppPb3/8/4B2R/PP1N1P1P/2K5 b - -,e8g7
r4rk1/p3ppbp/1pp3p1/2pqP3/3n1Bb1/P1PP1N2/1P1N1PPP/R2QR1K1 b - -,d4e6
6k1/1pq2r2/r3p1Q1/1p3p2/3Bp3/P1P3P1/1P5P/5R1K b - -,g8f8
r1b2rk1/ppqnbppp/2pp1n2/4p3/2PPP3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,c1e3:h2h3
3rr1k1/bpqn1pp1/2p1pn2/p2p2p1/2PP2P1/PP2P2P/1BQN1PB1/R4RK1 b - -,d7f8
r1bq1rk1/p5b1/2pp1n1p/2n1p3/2B1Pp1B/2P2P2/PPQNN2P/2KR3R b - -,g8h8
r1bqk2r/pp1nbpp1/2pp3p/3p4/4PP2/2N2N2/PPPQ2PP/2KR1B1R w kq -,e4d5
7r/1p3pk1/2b1p3/2Q1P1p1/5q2/P1N5/1PP5/1K1R4 w - -,b1a2
6k1/4pp2/3p3p/3P2p1/4P3/1P3PP1/2q3PK/1R6 w - -,b1a1
8/4kp1p/1P2p3/Q7/P1q5/3p2P1/5PKP/8 w - -,a5a7
1knrb2r/p1q5/1Ppp1pn1/P3p2p/B3P3/2N1BP1p/2PQ2P1/R4RK1 b - -,c7g7
3r1b1n/2p5/pp2pk2/4p1pp/PPN1P3/2Pr1PP1/2R1K2P/R3B3 b - -,h8f7
rq3rk1/3b1pb1/1N3npp/p1pPp3/p3P1P1/2N4P/1P2BP2/R2QK2R w KQ -,b6a8
r3r1k1/B1q2pp1/p1p2nnp/1p2p3/4P3/PQP2NNP/1P3PP1/3RR1K1 b - -,a8a7
4rbk1/1p1brp2/pq1p2pp/P1pP3n/2N1P3/3BB3/1P3PPP/R4RK1 w - -,c4b6
3r2k1/6b1/4qpp1/1p4r1/2p1PQP1/2P1N3/1P2R1K1/4R3 w - -,g2f3
1r3rk1/p2bpp2/1q4p1/4p1Pp/3P4/1PB2P2/KQ4P1/3R3R w - -,d4d5
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2PP4/1PN2NP1/P1Q1PPBP/R1B2RK1 b - -,c8b7:c8a6
5r2/r1bb2k1/3p2p1/pPpPp2p/R1P5/RN1B1PP1/6K1/8 w - -,b3d2
3qb3/R6p/4n1pk/4Np2/P1pr1P2/1P1BQ1P1/7P/6K1 w - -,b3c4
8/pb2kpQ1/4pp2/1p6/2qPB2P/2r5/P4PP1/4R1K1 w - -,e4g6
8/6k1/8/8/4Rp1r/4p3/8/4K3 w - -,e1e2
8/8/1p4p1/3Bk3/1P2PN2/8/6Kn/8 b - -,h2g4
8/7p/4p1p1/5p2/3b1PP1/3k1K1P/4N3/8 w - -,e2c1
r1b1qrk1/ppp2nbp/n4pp1/2P1p3/4P3/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,c7c6
2r2k2/3q1bp1/Q4p2/2bp1N1p/3p2P1/1P4NP/P1P2PK1/3R4 b - -,c5a7
1k3r1r/p3q3/bp1p3p/n1pPn1p1/P1P1Pp2/N1P2P2/Q2BBR1P/2K4R w - -,a3b5
1R6/8/8/P1k1K3/8/8/8/r7 w - -,b8a8
8/1N1q1p2/1p2pPp1/6kp/p3B3/5P2/2K5/2R5 b - -,h5h4
1r4k1/1p1bprb1/p2p3q/n1pP1p2/P1P3nB/1P1Q2PN/4P1BP/1R1N1R1K b - -,b7b5
r2qk2r/pb2nppp/1p2p3/4n3/2P5/P1QB2N1/5PPP/R1B1K2R w KQkq -,d3c2
4rrk1/1q2bppp/p2ppn2/1p3P2/4P3/2NP4/PP1BQ1PP/2R2R1K w - -,e2f3
3rr3/4qpk1/p6p/Pnpp1Pp1/2N1n3/2P1RB2/6PP/3RQ1K1 w - -,d1d5
3rr1k1/p2b1p1p/6p1/3P4/2pQ4/q4B2/P4PPP/2RR2K1 w - -,c1c4
8/p3n2p/2p3k1/6P1/4r3/2P3KP/PP3R2/8 w - -,g3f3
r3k1nr/pp1n1ppp/2p2q2/4p3/1bPP2Q1/7P/PB1P1PP1/RN2KB1R b KQkq -,e5d4
r1b1k1r1/pp1n1p1p/2q1pn2/8/3Pp3/P3Q2N/2PBBPPP/R3K2R w KQq -,c2c4
r1bqk2r/ppppbppp/2n2n2/4P3/Q2p4/2P2N2/PP3PPP/RNB1KB1R b KQkq -,f6d5
r1bq1rk1/1p2bppp/4pn2/p2pN3/1nPP4/1PN5/PB2BPPP/R2Q1RK1 b - -,b4c6
2k5/1p4rp/p1n2pr1/2Nnp2R/8/2P5/PP1B2PP/5RK1 w - -,g2g3
1rn3k1/1p2n1p1/3pq1rp/PPB2p2/2P1p3/2N1P1P1/4QPBP/R2R2K1 b - -,d6c5
5rk1/R5bp/3p2p1/1p1Pp3/2p1PN2/2q1BKP1/8/7Q w - -,h1h3
8/pp6/8/P2p4/2pPb1p1/2P3k1/2P5/4N1K1 w - -,e1g2
8/2bkn1pp/1p3p2/pPp1pP2/P1N1K1P1/1P5P/3B4/8 w - -,h3h4
8/6b1/R6k/1r5P/3p1NK1/7P/8/8 b - -,h6h7
r7/6b1/3k3p/P6R/1P2pP2/8/5P2/5K2 w - -,f1e2
1R6/1p3pk1/8/2P5/p2P4/4PK2/r5PP/8 b - -,a4a3
2q5/1Q4bk/1p1B2p1/p2p3p/P2P4/2r1P1P1/5P1P/5RK1 w - -,b7b6
5r2/8/4p2p/p2k3P/1p6/3B4/PPP1N1K1/8 b - -,e6e5
4k3/5pp1/2p1P2p/p1Pn2b1/P1BP2P1/5K1P/1B6/8 b - -,f7e6
6k1/p4r2/6rp/4Q3/1P4PK/8/8/8 w - -,e5e8
5rk1/4ppbp/6p1/1p2P3/1qbB2n1/2N3P1/P2Q2BP/3R2K1 w - -,d2f4
2rq1rk1/1b1nbppp/p3pn2/1p2p1B1/2PN1P2/2N5/PPQ1B1PP/3R1RK1 w - -,f4e5
r2r4/1p3pkp/2p3p1/p1n5/2P1PPb1/2N1R3/PP3P2/R4BK1 w - a6,f2f3
5rk1/1r3ppp/3p4/2pP4/5P2/1P2P1PP/R7/3R2K1 w - -,d1d3
8/7p/pN1pk1p1/1b2p3/1P2P3/2R2P1P/4r1P1/4K3 w - -,e1d1
3r1r2/2p1k1p1/1p2pp1p/p2nP3/P3NP2/4P3/1P1RKP1P/6R1 b - -,e7f7
r4r2/ppqb1pkp/2p2pp1/5n2/3P4/1BP2N1P/PP2QPP1/R3R1K1 b - -,c7f4
r1b1k2r/1p1p1ppp/p1qbp3/8/N3n3/4B1P1/PPP1BP1P/R2Q1RK1 w kq -,a4b6
r2q1rk1/1b1nnppp/p2p1b2/1p1Pp3/2p1P3/2P2NNP/PPB2PP1/R1BQR1K1 b - -,g7g6
8/5pk1/7p/4KP1P/6P1/4R3/8/5r2 b - -,f1f2
r3r1k1/2pb1qp1/3p1pnp/p1p5/P1P1P3/1PQ1R1NP/3N1PPK/4R3 b - -,g6f4
8/R7/4pkp1/2prr2p/8/1P3PK1/P1R3PP/8 b - -,g6g5
1r6/4kp1p/6P1/4P3/1r1pK1PP/2bB4/P3R3/5R2 b - -,h7g6
rn1q1rk1/p3bppp/bp1p1n2/2pP4/4P3/P1N2N1P/1P3PP1/R1BQKB1R w KQ -,f1a6
1r3r1k/5q2/b1n4p/ppp1p3/3pB2P/3PB1P1/PPP2P2/R2QR1K1 w - -,e3h6
2r3k1/pRp5/2pp2pP/5b2/r7/2P3B1/P1P3PP/4R1K1 b - -,g8h7
3rkb1Q/5p2/p3b3/6p1/P3P3/2P1q3/2K1B3/1R3R2 w - -,b1e1
4r1k1/2Q1n2p/p3q1p1/1p1pbp2/1B1PnP2/1P4PP/P5BK/2R5 w - -,f4e5
6r1/1p5p/8/1p1k4/1P2R3/8/P5pP/6K1 w - -,e4h4
r6r/1p4k1/nqbNp1p1/p2pPp1p/Pn1P1P1P/BP4P1/5R2/2RQ1BK1 w - -,f1b5
3k4/pp3p1p/4p1p1/4q3/8/1B3K1P/P4N2/7R w - -,h1d1
r4r1k/2p2pp1/2n1P1np/1pN5/pP1pRqP1/PQ3N1P/5P2/3R2K1 w - -,b3d3
rnb1kb1r/pp1ppppp/5n2/q7/3p4/1NP2N2/PP2PPPP/R1BQKB1R b KQkq -,a5d8
rnq2rk1/p2pppbp/1p3np1/8/2PN4/1PN3P1/PB2PPbP/R2Q1RK1 w - -,g1g2
2rq1r2/3b1pk1/p2pp1p1/1p2n2n/3NPP1P/1BN5/PPPQ4/2K3RR b - -,e5c4
r3brk1/1p2Rp2/p4Qp1/3P4/2P5/7q/PP4P1/6K1 w - -,g2h3
4r3/B6k/2n3p1/Pp1R1p1p/1P3b2/N1P5/8/3R3K w - -,a7g1
8/2k5/3N2R1/3K4/8/8/8/4r3 w - -,g6g7
5rk1/pp1bQppp/3P4/8/2r5/2P5/P2B1PPP/q4NKR b - -,d7b5
5k2/5pp1/7p/3pP3/5PP1/4K3/pr6/R7 b - -,f8e7
3r4/p3k1pp/4p3/2n1N3/4P3/Pr2K1P1/4R2P/2R5 w - -,e3f4
2k5/pbq3b1/1p2p3/2p1Npp1/2Pr1P2/1BQ2PP1/PP2R3/2K5 w - -,c3e3
r2q1rk1/pp2pp1p/2p1b1pb/3pN3/2PPn3/1P4P1/PBQ1PPBP/2R2RK1 w - -,e2e3
3r3k/pp4pp/2b5/8/3Q1R2/3p1PR1/PP1K1P2/1B3q2 b - -,f1e2
r2r4/p4kp1/2p1p2p/bp1nB3/2pR4/P5P1/1PB1PP1P/3R2K1 b - -,d8d7
r1bq1rk1/pp2ppbp/2p3p1/3nN3/2BP2n1/5N2/PPP2PPP/R1BQR1K1 w - -,c2c3
r4rk1/2p2ppp/p2b4/1pp1pPqn/8/1P1P4/PBPN1PPP/R3QRK1 w - -,e1e3
8/6pk/6b1/p6p/P2Q4/5P1P/1P4P1/4qBK1 w - -,f3f4
r2qkbnr/1p1bpppp/p1Bp4/2p5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,d7c6
2k4r/1p1qbp1p/2n1b1rB/pNP1p3/P1Pp2p1/1N4Q1/1P3PPP/3RR1K1 w - -,h6e3
3r3k/1r3pbp/6p1/p7/P1pPN3/2P5/6PP/4RRK1 b - -,g7h6
8/4k3/8/4p3/r3N2P/5P2/6PK/8 b - -,a4a3
5R2/1P6/5p2/4p2p/7k/4PP2/5PKP/1r6 b - -,b1b7
rn1qk2r/pbppb1pp/1p2p3/3n1p2/3PP3/2P2NB1/PP1N1PPP/R2QKB1R b KQkq -,f5e4
r5k1/1p2pp1p/2b1n1pb/4P3/2Pp4/rNqP2BP/1Q2BPP1/1R1R1K2 w - -,b3c1
r2q1rk1/1b1nppbp/p5p1/1p1pP3/3PB3/4BNNP/PP1Q1PP1/R4RK1 b - -,d5e4
r2q1rk1/2p3bp/1p1pP1p1/p1n1pp2/2P1N3/4B1P1/PP1Q1PBP/R3R1K1 b - -,c5e4
6k1/3qbp2/4r1p1/r1p1p3/Pp2R3/3PBPPp/2Q1P2P/1R4K1 b - -,a5a4
5rk1/5ppp/pB3b2/1b6/2B5/1P4P1/1P3P1P/4R1K1 b - -,f6b2
2kr3r/pppq1ppp/8/2P5/2nPp3/1R2P1P1/P1P1N1KP/3Q1R2 b - -,h7h5
r3r1k1/1bqnbppp/pp1ppn2/8/2PNPP2/1P1B4/PB1NQ1PP/3R1RK1 w - -,g1h1
r2qr3/1pp3kp/p1npbpp1/3N4/2P1PP2/1P4PP/P2Q2B1/3R1RK1 b - c3,d8d7
R7/2k1n3/5p1p/2pBp1p1/1p2P1P1/1Pr1P3/P2K3P/8 w - -,a8a7
6k1/1p6/p1pq1r2/2n1p2Q/PP5P/3P2P1/4RP2/6K1 w - -,b4c5
r3k2r/pp1n4/3p1q1p/bPpp1pp1/8/P2BPNP1/1PQ2PP1/2KR3R w kq -,d3f5
3r1bk1/pb3p1p/6p1/2p1P3/q1pP1PP1/P3BN1P/1P6/3RQ1K1 w - -,e1e2
r1bqk1nr/pp1p1p2/2pP3p/4b1p1/2B1Pp2/2NQ1P1P/PPP5/R1B1K2R b KQkq -,d8f6
r1b2rk1/1pq1nppp/p1np4/4p3/4P3/1NN1Q3/PPP1BPPP/3R1RK1 w - -,e3d2
6k1/pp1nb1p1/4pn1p/3p1p1b/3P4/PP2PNPP/r2N1PB1/2B1R1K1 w - -,d2b1
r1q1r1k1/2pn1p1p/p2p2p1/3P4/R7/1R2B3/1PP2PPP/3Q2K1 b - -,a8b8
r2q2k1/1p1b1R1p/3p3b/p2n2N1/2p1N3/2Q1P3/PP4PP/R5K1 w - -,c3d4
4rbk1/3n1ppp/1qbppn2/1pp5/4PP2/2PPNBBP/1PQN2P1/R5K1 b - -,e8a8
6R1/k7/p7/3PK1p1/1N2P3/1Pr5/5r2/8 b - -,c3e3
8/6bp/p3p1p1/1pk2pP1/2p2P2/n1P1K2P/4N3/3N4 w - -,e3d2
rn1qk2r/pp2bppp/2p1pn2/3p4/4P1P1/2NP1Q1P/PPPB1P2/R3KB1R b KQkq g3,e8g8
