5k2/8/2K5/3Q4/q1P5/8/8/8 w - -,c6d6
8/p2b2k1/1pn3q1/4p1B1/4p1PQ/2P5/5PK1/8 w - -,g2g3
4k2r/4pp1p/n2p2p1/1rpP4/2N5/1P2P3/P4PPP/RR4K1 b k -,e8d7
2kr3r/pp3p2/2p1p2p/3n2b1/1P6/3P1BP1/P1PB1P2/1R2R1K1 w - -,d2g5
8/1PqBK3/6pk/3Q2b1/6P1/8/8/8 w - -,e7f7
8/ppp1p1kp/1nn3p1/1q3r2/3PQ3/1PP5/P6P/R1B1R1K1 b - -,e7e5
4r3/4k3/4r2p/1p3R2/2nB2RP/6P1/5K2/8 w - -,f5b5
1rr5/3nppkp/3p2p1/8/N3P2P/2q2P2/1PP3P1/4RRK1 w - -,b2c3
8/3k2pp/2pp1n2/1p4N1/5P2/6P1/6KP/8 b - f3,c6c5
5r2/1p2ppbk/6p1/q2P2p1/p7/P6P/1P2QPP1/2RR2K1 w - -,e2e7
r1bqkbnr/3ppppp/p7/1pp5/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq b6,d2d4
b3r1k1/5ppp/p7/Np6/1P1Q4/P3p3/5PPP/2q2BK1 w - -,f2e3
r4rk1/pp4bp/nq2p1p1/1Npb1p2/2BPnB2/4PN2/PP2QPPP/R4RK1 w - -,a2a4
8/p3kp1p/1p1rb3/6p1/2B1R3/P3P1P1/1P3P2/4K3 b - -,f7f5
r4rk1/ppqb2pp/2n5/3pN3/5b1B/2RB2N1/PP3PPP/3Q1RK1 b - -,f4e5
6k1/3b1p1p/B2Bpbp1/1p1p4/3P1P2/4P3/PP3KPP/8 w - -,f2e2
8/8/1p2k3/2p3pp/2PnP3/PN2R1P1/1K3r2/8 w - -,b2c3
1r3bk1/2qn1ppn/2p1p2p/1rPp4/3P1P2/2B1P1PP/2QN1NK1/R4R2 b - -,h7f6
8/p7/5k2/4pN1p/2r1P1p1/P1B5/3P2K1/8 w - -,f5d6
r2q1rk1/pp1bppbp/3p1np1/2p5/P1B1PP2/2NP1n2/1PP2QPP/R1B2RK1 w - -,f2f3
r2qr1k1/1b1n1pp1/1p5p/pPpN4/3P4/1Q3N2/P3BPPP/R1R3K1 b - -,e8e2
6k1/6pp/2q1b3/5p2/2N5/1QbP2P1/4PP1P/R5K1 b - -,c3a1
4rr2/1p1b2k1/pq2p1p1/3B1pNn/3p3Q/3P4/PPP3PP/4RRK1 w - -,d5b3
8/1p1b2kp/p4p2/P2rn3/1P3R1P/6P1/4B1K1/3R4 b - -,d5d1
r2q1rk1/pbpnbppp/1p1ppn2/8/2PPP3/P1N2N2/1PQ1BPPP/R1B1K2R w KQ -,e1g1
rn3rk1/pR2pp1p/6p1/8/3bP3/5B2/q2B1PPP/3Q1RK1 w - -,d2b4:b7e7:b7b4:e4e5
4k3/ppp3B1/2p3p1/5p1p/8/P1PP4/bP3PPP/6K1 b - -,c6c5
r2qk2r/p2bbppp/3p1n2/4p3/4P3/2Q1BP2/PPP3PP/2KR1BNR b kq -,a7a5
r1b2rk1/1p3pb1/1p3npp/2nPp3/4P2B/2N5/PP1NB1PP/R3K2R b KQ -,g6g5
8/p3kp2/1pb1p3/3pP1pr/3P4/2P1N3/P4KP1/1R6 w - -,f2g3
8/3r2kp/1r4p1/4Pb2/8/8/P3RPPP/R5K1 b - -,b6a6
r2q1r1k/1b2ppbp/pp1p1np1/2pP4/P3P3/2PB1NPP/1P1NQ1P1/4RRK1 b - -,d8d7
8/1R4k1/8/5p1p/6rP/7K/8/8 b - -,g7f6
5r1k/1p4pp/p1b1q3/8/P1pQ4/2P1B3/1P4PP/4R1K1 w - -,d4d2
r2qkr2/ppp1np1p/5Bp1/3PQ3/2P5/8/PP3PPP/R4RK1 b q -,d8d6
r2qnrk1/2pn2bp/bp1p2p1/p2Ppp2/2P1P3/PPN3P1/4QPBP/1RB1NRK1 w - f6,b3b4
r4rk1/1pp2ppp/1p1p2n1/3P4/1PPpPP1q/P2B3b/1B1Q2P1/R4RK1 w - -,b2d4
r1b2r2/2R1Qpk1/1p4p1/4p1qp/PP2P3/1B2NPPn/4K2P/3R4 b - -,h5h4
8/R5pk/5p1p/4n3/Pp6/1Pr1B1QP/5PPK/1q6 b - -,b1g6
8/5pk1/4b1p1/7p/1pB1P2P/4K1P1/3r4/4R3 b - -,d2d6
r4rk1/1p2bpp1/n1pn2p1/Bp6/3N4/1P2P2P/P1B2PP1/R2R2K1 b - -,c6c5
r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/5NP1/PPP2PBP/RNBQ1RK1 w kq -,b1c3
5r2/pp4k1/2p1P2p/3nR1p1/2P1B3/bP4PP/4K3/8 b - -,a3c5
2r2rk1/pp1bqpbp/2ppn1p1/1P2p3/2P5/BQ1PP1P1/P3NPBP/1R3RK1 w - -,e2c3
6k1/1bpq2pp/p1p5/B1QpPp2/P2P1P2/1P6/6PP/6K1 w - -,a5b4
r2q2k1/pppnb1pp/3p2n1/3Ppr2/8/2P2NN1/PP3PPP/R1BQR1K1 b - -,f5f8
r5k1/2pb2b1/1p5p/3P2p1/2P3P1/1p1K1rNP/4RB2/7R w - -,d3e4
3r2k1/p2n1p1p/1pqBp1p1/8/3Q4/1P4P1/P3PPKP/5R2 w - -,g2g1
3r1bk1/R2bpp1p/6p1/1pn1P3/7B/2P2N2/5PPP/5BK1 w - -,h2h3
4R3/pp3kb1/5pnp/2B3p1/P7/2P2P1P/1P1r1PK1/5B2 w - -,e8c8
3qr1k1/1p3pp1/1p5p/8/1PR1bPP1/3pP1K1/3Q3P/2R5 b - -,h6h5
4r3/r5p1/7p/3kP3/2n3R1/1NB5/2P4P/2K5 b - -,a7c7
8/8/3n3p/1B2kp2/2p5/2P1K1P1/7P/8 w - -,b5c6
r1b1r1k1/1pqn1pbp/p1p1pnp1/2PpN3/PP1P1P2/3BP3/1B1N2PP/R2Q1RK1 w - -,d1e2
8/p6r/kp3BbP/4K1P1/2pP4/5Q2/2Pq4/3B4 b - -,h7d7
7k/6p1/pb5p/4PP1B/3q1P2/5QKP/P3R2B/2r5 w - -,f3e4
5k2/8/6pP/4p1P1/4B3/4K3/2b5/8 b - -,c2b3
5rk1/p1n3p1/2r4p/q4p1P/2pP1B2/1nP2P1N/2R3P1/3RQ1K1 w - -,f4c7
3rr1k1/p5bp/1pn3p1/2pnp3/P2pN3/NP1P4/2P2PPP/R1B1R1K1 b - -,c6a5
8/3r1rk1/3qQp2/6p1/4P3/1P3R1P/8/5R1K w - -,e6d6
r3r1k1/p1p1qpp1/1p1p2np/3Pp2n/2P1P3/P1PB1PPb/5B1P/R1NQR1K1 w - -,d3f1
3rk2r/pp1b1ppp/8/1B1p1q2/1Qp1n3/2P1PN2/PP3PPP/2KR3R w k -,h1f1
rn1q1rk1/1p1n1pbp/p5p1/2ppP3/6b1/1PP1PN2/PB1NBPPP/2RQ1RK1 b - -,d7e5
r7/4kp2/4p3/2p5/1p6/1P1P3R/1PP2P1K/8 w - -,h3h4
1r1r2k1/2p3p1/R1n1q3/4p3/2P1p3/1B5P/1PQ3P1/2B3K1 b - -,d8d3
2kr3r/pp1b1p1p/2n2p2/q3p3/4PQ2/2N5/PPP2PPP/2KR1B1R w - -,f4e3
7k/3b2rp/3P1q2/2R2ppn/1pP1p3/1P2P1PP/3QN1BK/8 w - -,c5c7
2kr1b1r/ppp1pp1p/3n2p1/3P4/5B2/1PN2KP1/P4P1P/R4R2 b - -,f8g7
r2r2k1/ppq3bp/n1ppbn2/4pp2/2PP4/BPN3P1/P3NPBP/2RQ1RK1 w - -,d4d5
r1bqkbnr/p2ppp1p/2p3p1/8/4P3/8/PPP2PPP/RNBQKB1R w KQkq -,d1d4:f1c4
3r1k1n/2p4p/pp2BPp1/6P1/2PR3P/2B1P3/P1b5/6K1 b - -,d8e8
r1b2rk1/pp2ppbp/2n1p1p1/q7/2P5/2N1P1P1/PP1B1PBP/R2Q1RK1 b - -,f8d8:c8d7
4q1k1/p3brpp/b1B2n2/8/5B2/2P3P1/Q2N1P1P/4R1K1 b - -,e8c6
r2qr1k1/1b3pbp/p5p1/np1pP3/3NN3/1P5P/P1B2PP1/R1BQR1K1 b - -,d5e4
r2qk2r/1bpnbppp/3ppn2/p7/Pp2P3/1N1P2P1/1PP2PBP/RNBQR1K1 b kq a3,e8g8
r1bq1rk1/6bp/3pp1p1/p7/2P5/Qn6/1P2BPPP/R1B2RK1 w - -,a3b3
1r4k1/r4pbp/pN2b1p1/Ppp1p1q1/4P3/2P1P1P1/1PB2Q1P/1K1R3R b - -,c5c4
r3k1nr/ppqn1pp1/2p1p2p/7P/3PN3/3Q4/PPPN1PP1/1K1R3R b kq -,e8c8
6k1/R5pp/P3p3/4p3/7P/r5P1/4PPK1/8 b - h3,h7h5
4r1nk/1ppbrp1p/p2p1b2/5Pp1/P2NP1P1/1BP4P/1P1N1R2/4R1K1 w - -,d4f3
1r4k1/4ppbp/rq2b1p1/4PnB1/3p4/R2P1N2/1P2N1PP/3Q1RK1 b - -,a6a3
8/8/pN1p4/P2P3P/4kp1P/1n6/5K2/8 b - -,e4f5
r5k1/3p3p/4pbp1/3q4/p1rP1P2/6R1/P3Q1PP/1R4BK w - -,g3d3
3r4/r6p/p3Bp2/4b3/2R1k3/5N2/PP4PP/1K6 b - -,e4e3
1k1rq2r/p4n2/1pb1p1pp/n2pPp2/P1pP3P/2P2NP1/Q1P1KPB1/R1B4R w - -,c1a3
r2qkbnr/ppp3pp/n1b2p2/4p3/2Pp4/P2P1N2/1PQ1PPPP/RNB1KB1R w KQkq -,b2b4
7r/1p2nk1p/1R2pp2/8/4N3/5bR1/P2P1P1P/4K3 b - -,f3e4
8/8/8/pp2k2p/1p5P/1P3PK1/P7/8 w - -,g3g2
8/7p/2k1p1p1/3pPp2/2n2P2/2K5/5BPP/8 b - -,c6b5
8/5bk1/2r5/7P/6P1/4RPK1/8/8 w - -,g3h4
r3qrk1/p1p3b1/1p1p2p1/2n2b1p/1R5P/2P2P2/P2BB3/3Q1KNR b - -,a7a5
1r4k1/5P2/6p1/3q3p/2p5/2Qp3P/P2R1PP1/1r2R2K b - -,g8f7
R1b4r/1p3rk1/1B1p2p1/1P1Pp1b1/4Q1Pq/7P/4BPK1/7R w - -,e2d3
rnbq1rk1/p1pp1ppp/1p2pn2/8/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R b KQ -,c8b7:b4c3:c7c5
r1bqkb1r/pp3ppp/2n2n2/8/3pN3/6P1/PP2PPBP/R1BQK1NR b KQkq -,f6e4
R7/8/1p6/1P3k2/2P3pK/p3r3/6P1/8 w - -,a8a6
8/p7/8/3K1k2/P1N4P/8/5b2/8 w - -,c4d6
2b1kn1r/2q1bn2/pR1p1p2/2pPp1pp/P1P1P2P/2NBBPP1/1Q2KN2/8 b k -,f7d8
5r1k/p1pp2pp/1pr5/4pq2/2P1N3/3QB1P1/Pb3P1P/3R1RK1 b - -,c6g6
1k1r1b2/5p1p/5n2/p2NnP2/q1P1PB1Q/1p6/1P5P/1KR5 w - -,f4e5
r3q1k1/1bp2ppp/p2b4/np6/3P4/1PP2N1P/P4PP1/R1BQ1NK1 b - -,a8d8
3r1rk1/pp5p/2pq2p1/5p2/P1nPPN2/4QP2/1P5P/R4RK1 w - -,e3c3
1k4rr/pppq1p2/5P2/3p1P2/3Q4/2P2Rp1/PP5P/4R1K1 w - -,h2g3
rn1qk2r/p4ppp/4pn2/8/Pb1N4/2N1P3/3BbPPP/R2QK2R w KQkq -,d1e2
3Rrbk1/5ppn/b1r3q1/4pN1p/pp2P3/1P2BPQN/P5PP/3R3K b - -,c6c8
r7/2r2bk1/p1p2p1p/PpNp1Pp1/1P1P2P1/2R1PP2/5K2/2R5 w - -,c1e1
1rq1rbk1/5p1p/4b1p1/1P1RP3/2p2P2/4B1PP/6BK/1QR5 w - -,d5d4
r3k2r/pb3pb1/2p1p2p/2Nn4/1pp4P/5BB1/PP3PP1/3RK2R w Kkq -,c5b7
8/7k/1R6/1P3p2/P1P3r1/3bPp1p/7R/5K2 w - -,f1f2
r3r1k1/1p2ppb1/pn3np1/q1pP1b1p/5B2/2N2P2/BPPQ2PP/R1N2R1K w - -,c1d3
1B4k1/4ppbp/1pb3p1/8/p2P4/4P3/P4PPP/2N2K2 b - -,c6d5
8/p2n1pkp/1p2p1p1/4P3/1qPQ1P1P/8/P1B3P1/3K4 b - -,b4e7
1rb1r3/1p2kp1p/p5p1/R4p2/1b1N4/1P2PBP1/P4PKP/3R4 w - -,a5a6
rn3k1r/p2q1pb1/4p2p/1p1nPp2/2pP3B/2P5/PPBQN1PP/R4RK1 b - -,h6h5
r4rk1/pppq1pp1/2npb2p/2b1p3/2N1n3/2PP1N1P/PPB2PP1/R1BQ1RK1 w - -,c4e5
r2r2k1/1pp2ppp/2b5/1N2p3/Pp6/3qP1P1/1R1N1P1P/3Q1RK1 b - -,d8d7
1r2b2k/r4pp1/1p1N3p/3NP3/1P2B3/qP1R4/p4PPP/K2R4 w - -,f2f4
rqr3k1/4bppp/p2ppn2/1p2n3/4P3/P1N1BP1P/BP2QP2/2RR2K1 w - -,f3f4
4r2k/3b1pbp/3p2p1/3Bn2P/pr1NPBP1/2P2P2/1P6/1K1R3R b - -,b4d4
8/8/2k5/p3P3/N3K3/1bN3b1/8/8 w - -,e4d4
8/QQ3ppk/4p1b1/3p2Pp/8/5P2/4K3/2q5 b - -,c1c2
r6q/p2Rnk1p/1pp1nppB/4p3/4P3/2P5/PP3QPP/5RK1 w - -,b2b4
2rq1rk1/3b2pp/pb1p2n1/1p3P2/2pP4/4BN1P/PPB2PP1/2RQR1K1 b - -,d7f5
1r6/p1pq2k1/1p1p3p/1P2nr2/2P3p1/2NP2P1/P3Q2P/1R3RK1 w - -,e2e4
1r5r/1p1q1pkp/p4pn1/3ppP2/4B2Q/6R1/PPP2PPP/5RK1 w - -,f1d1
r2q1rk1/ppn2pbp/1np1p1p1/8/2PP4/1BN1BQ1P/PP3PP1/R2R2K1 b - -,d8f6
r4rk1/p2p1ppp/b1p1pq2/2b5/8/2P2NP1/P1Q1PP1P/RN3RK1 w - -,f1e1
r4r1k/2p3pp/p4p2/1pQRpP2/1Rn5/2P3P1/P4PNP/2q3K1 w - -,g2e1
r4r1k/pp1b2pp/3qp3/R4p2/1PBb4/3Q4/P1PB1PPP/4R1K1 b - -,b7b6
2RQ1b2/5pk1/3p2p1/p2q3p/P6P/6N1/5P1K/3r4 w - -,d8f8
r1q1kb1r/1pp2p1p/2n2np1/p3p3/2P1P1b1/Q1N1BN2/PP2BPPP/R4RK1 w kq -,a3a4
r1bqnbk1/1pp1nr1p/3p2p1/2PPp3/1PN1Pp2/2N2P2/4BBPP/R2QK2R b KQ -,a8a1
k3r3/1pB3p1/p1p2bq1/7p/3Pr2n/1P6/P1N2PPQ/2RR1K2 w - -,d4d5
8/8/Pk6/2p3p1/K2pP3/3B1bP1/P7/8 w - -,a4b3
8/Q4pkp/4p1p1/1r2q3/8/7P/P4PP1/2R3K1 b - -,b5a5
rnbq1rk1/1p3pbp/p2ppnp1/2pP4/P1P1P3/2N2PN1/1P4PP/R1BQKB1R b KQ a3,e6d5
r1b1rbk1/ppq2pp1/2n4p/2p1p2Q/8/2PPB1P1/PP3PBP/R3NRK1 b - -,c8e6
r4bk1/2Bb1p1n/p1n5/3Np3/2P1P2q/8/3QBPP1/RR4K1 w - -,d5b6
3r1r2/1pqk1p1p/p1n1p1p1/2PpN1Pn/bP1P1P2/P2BQ2R/3B3P/4R1K1 b - -,c6e5
8/5p2/4kPp1/3pP1P1/5K2/8/8/8 b - -,d5d4
4R3/1k2n1r1/pp3p2/2p2P2/3pKB2/3P4/PPP5/8 w - -,f4d6
4r1k1/p1q4p/1pb3p1/2p2p2/1PPp4/Q2PnP1R/P3P3/6RK b - b3,c6a8
r2q1rk1/pp1np1bp/3p4/n2N1p2/2P2P2/1P2B2P/P2QB1P1/2R1K2R b K -,a5c6
8/8/5k2/2p2pR1/p1Pb1P1p/4p2P/P3K1R1/2r5 w - -,g5g6
r4rkb/pp3p2/7P/3Nn1B1/2p5/P2b3P/1P2BP2/2KRR3 b - -,g8h7
2k4r/pp1r1ppp/1n2p3/2qpPP2/2n5/1NN5/PPPQ2PP/2KR3R b - -,c5e7
7r/8/3k4/8/N6K/P5RP/8/8 w - -,h4g4
8/2r2kp1/4p1Np/p7/1p3PP1/1n6/5K1P/4R3 w - -,f4f5
RQ6/3r1p1p/3p2pk/2r1q3/4P3/2p5/P5PP/3R3K w - -,b8f8
2n1rk2/rp3pp1/2p4p/3p4/pP1P2P1/P1RNP2P/5P2/1R4K1 b - b3,a4b3
8/p4k1p/2P1bpp1/PP1pR3/3p4/3B4/6PP/6K1 b - -,f6e5
6k1/2p5/bpPp4/3Pn1Pp/2PKP3/4N3/8/2B2r2 w - -,e3f1
4rr1k/5bbp/2nq1pp1/pppp4/5P2/2PP1NPP/PPN2QB1/R4R1K w - a6,a2a3
r1bq1rk1/pp2bppp/3p4/4n3/4PN2/2N1n3/PPP1Q1PP/1K1R1B1R w - -,e2e3
r4rk1/pp2ppbp/2n1bnp1/qNPpN3/5B2/4P3/PPP1BPPP/R2Q1RK1 b - -,f6e4
r4rk1/p3q1p1/1pp1bn1p/5p2/2BP4/1N2PP2/P1Q3PP/R3R1K1 w - -,a1c1
2R5/p5pk/3rp2p/3b1p2/3P4/1N2P2P/P5P1/6K1 w - -,b3c5
4rbk1/p6p/1p6/6p1/1P6/2PRB3/P4KP1/5N1r b - b3,f8e7
rnr3k1/pp2q1p1/7p/b4p2/4p3/2P3P1/PP3PBP/R1BQK2R b KQ -,b8c6
2n2r2/6kp/1p2B1p1/3Pb3/4N2P/4B3/6P1/6K1 b - h3,h7h5
r1b2rk1/ppp2p1p/5R2/1q2n1Q1/3P4/8/P1PB2PP/R5K1 b - -,g8h8
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,f8d6
5rk1/p3pr1p/1p1p2pP/4b3/4p1P1/1B2B3/PPP5/2K2R2 w - -,g4g5
3r1k2/p4p1p/R3b1p1/8/3KP3/5PP1/4B2P/8 w - -,d4e5
r5k1/pp2rppp/2b5/2Np4/3Qn3/4P1PP/qP3PB1/2R2RK1 w - -,c5e4
4r1k1/8/4r3/1P5p/2PBb1p1/P3R3/1K5P/4R3 w - -,c4c5
rr4k1/p2b1qbp/3p2p1/B1pP1p2/1pP1p3/Q3P1P1/PPR2PBP/5RK1 w - -,a3b3
1n1rrbk1/1pq2ppb/1P3n1p/4p3/2Pp4/3P1NP1/2N2PBP/BR1QR1K1 b - -,c7d6
r3k2r/ppp1nppp/2npbq2/8/1bN1P3/2N3Q1/PPPB1PPP/2KR1B1R b kq -,f6g6
8/5k2/4p3/6R1/1r4p1/6P1/5PKP/8 w - -,h2h3
2bqk1nr/1pp2p1p/1p1p2p1/4p3/4P3/1nPB2Q1/rP1P1PPP/1RB1K1NR w Kk -,f2f4
8/1q2r2p/1p3Qp1/p2kPp2/P2p4/8/6PP/2nR1K2 w - -,f6d6
2rq1rk1/6pp/1ppnb3/3pBp2/3P3b/2N2P1P/PP2B1P1/R2QR1K1 w - -,g2g3
8/8/3kn3/1K3pp1/2P1p3/3N2P1/5P2/8 w - -,c4c5
r1bqr1k1/1p2ppb1/6pp/p7/1BBPp3/4P3/PP3PPP/2RQ1RK1 w - a6,b4c3
3r4/p4rk1/n5pb/1p1Np3/6pP/3PPpP1/5P1K/R1B4R w - -,e3e4
r4rk1/ppp2ppp/4b3/8/1b1P4/4BN2/1P1n1PPP/R4RK1 w - -,f3d2
8/8/2pNkbp1/2Pb3p/5B2/4KP2/7P/8 w - -,d6e4
5rk1/1P4pp/3bP3/1B3p2/P7/4p3/1PR4P/7K b - -,g7g5
1B6/1p2nkp1/3p1n1p/P2P4/2P5/1P4PB/7P/7K b - -,f6d5
r2r3k/1p1q2pp/1Qp2p2/1n2p3/P3P3/1R1P2P1/5P1P/2RB2K1 b - -,a8a4
2brnrk1/1p2R1pp/2pp2q1/8/p1P2B1P/1P4P1/PQ3PB1/4R1K1 w - -,b2d4
r2qkb1r/pbpn1pp1/1p1ppn1p/1B6/3P3B/4PN2/PPPN1PPP/R2QK2R w KQkq -,h2h3
r1b1qrk1/ppp3bp/n2p2p1/3PpPBn/2P5/2N2NPP/PP2BP2/R2QK2R b KQ -,g6f5
1r1q1rk1/pp1bppbp/2np1np1/8/2BNP2P/2N1BP2/PPPQ2P1/2KR3R b - h3,c6e5:b7b5:c6a5
r1b1r1k1/ppn2pp1/2p4p/8/1PPN4/P3P1P1/3R1PBP/5RK1 b - -,c6c5
8/5p1k/4p2p/1R1pP3/8/3K1P2/6r1/8 w - -,b5b8
r1bqnrk1/p5pp/1pn1pb2/2pp4/5P1P/2NP1NP1/PPP3B1/R1BQ1RK1 w - -,f1e1
r4k2/8/6p1/2R5/ppB2r1p/1P3P2/P1P5/1K1R4 w - -,c5c7
3r1k2/4bpp1/2p4p/2Pn1P1P/1p1PRB2/8/PpK5/4R3 w - -,c2b2
r1b1r1k1/pp3ppp/2n1pn2/3p4/2P2B2/P1R1PN2/1P2BPPP/4K2R w K -,c3c1
rnb1r1k1/ppq2ppp/2pb1n2/3p4/3P1N2/P1NBPP2/1P1Q2PP/R1B2RK1 b - -,d6f4:g7g5
2r2rk1/2q2pbp/p1p3p1/2Q5/P2B2P1/7P/1PP2P2/3R1RK1 b - -,g7d4
1r3bk1/1r3q2/1Bp1p1p1/2Pb1pP1/1R1P1P2/3BP1K1/5Q2/R7 w - -,b4a4
r3k2r/pp3pp1/4pb1p/2p1N2P/2PPn3/5P2/PP4P1/2KRB2R b kq -,c5d4
4bk2/p1q2p1p/4p3/2P1b3/4Q3/1B5P/P3N1P1/6K1 w - -,e4e3
4r1k1/3b1ppp/1p1q1n2/3p4/p2N1P1Q/P1B2P2/1P4PP/3R3K b - -,h7h6
8/1p3k1p/pnb1ppp1/8/1B1PP1PP/P3KP2/B7/8 b - -,c6b5
4rrk1/1pqb2bp/2p1ppp1/p2n4/P1PPR3/5N1P/1PBB1PP1/R2Q2K1 b - -,d5b4
r2nk1nr/pppq2b1/3pbpp1/3Np2p/2P1P2P/3PBPP1/PP1QN1B1/R3K2R b KQkq -,c7c6
2rr1bk1/pb2qpp1/2n1p2p/2p4P/1p4Q1/P1BP1NP1/1P2PPB1/2R1R1K1 w - -,c3d2
6k1/8/7Q/6P1/p7/1p5P/8/7K w - -,g5g6
5rk1/pp3qp1/4p3/3p4/2PPpnQ1/1P2Br1P/P3RP2/5R1K w - -,e3f4
R7/4kp2/1p4pp/4P3/6r1/1P4P1/5K2/8 w - -,a8c8
8/2n5/8/4kp2/PN5K/7P/8/8 b - -,e5f4
rnb1r1k1/ppq2ppp/2p2n2/2bpp3/4P3/1B1P1N1P/PPP1QPP1/R1BR1NK1 b - -,h7h6
r2qnrk1/1p1n1ppp/p2p4/3P2b1/5B2/1N1Q4/PPP1B1PP/R4RK1 w - -,b3d4
r2q2k1/3nprb1/p2p3p/1ppP4/2P1PP2/2NB4/PP1Q4/2K3RR w - b6,h1h6
r1bqk1nr/1p2ppbp/p1np2p1/8/2P1P3/4QN1P/PP3PP1/RNB1KB1R w KQkq -,f1e2:b1c3
2rqr1k1/4n1bp/1pn1bpp1/p1p1p3/2P1p3/PPNP2P1/2NB1PBP/1RQ2RK1 w - -,d3e4
8/5pk1/6p1/p3P1Np/2R2Pn1/4r1K1/8/8 w - -,g3g2
5r2/p3r1kp/1pp3p1/2bpP3/P5b1/3B3P/1PP1RPP1/5RK1 w - -,h3g4
1rb1k2r/p3pp1p/3p3b/2pP1p1N/1q6/1P2P1PB/PQ3P1P/1R3RK1 b k -,h8g8
5k2/p1pr1ppp/4b3/2R5/2P5/P3PB2/1r3PPP/4R1K1 w - -,f3d5
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PP4/2N1P1PP/PP2NPB1/R1BQ1RK1 b - -,h7h5
8/8/8/2p1p3/K7/4qk2/2Q5/8 w - -,c2d1
4r2k/1p4n1/p3pr1p/2Pp4/1P1P1P2/P6B/7P/4RR1K b - f3,e8f8
r2q1rk1/pb4pp/1p1bpp2/2pp1B2/3P3B/2P1PN2/PP1Q1PPP/R4RK1 b - -,e6f5
4Rr2/r1p2Bkp/pnP3p1/1p6/3qNp2/5Q2/P4PPP/2R3K1 b - -,f8f7
2rr2k1/pbq2ppp/1p2n3/2pp4/3P4/BP4P1/P2QPPBP/2RR2K1 w - -,d4c5
2rq1rk1/pp3pp1/2b1pb1p/4B2Q/3P4/3B4/P1P2PPP/3RR1K1 w - -,d4d5
r1b1rk2/pppp2pp/8/8/3P4/2n2N2/PP3PPP/R3R1K1 w - -,e1e8
8/p4p2/3k1pr1/2pP4/2P4R/P4KP1/8/8 w - -,h4h7
r2n1r2/pppb2k1/3p3p/3Pqp2/P1B1P1p1/2P4Q/1P1N1RPP/5RK1 w - -,h3h4
1rbq1rk1/pp2npb1/3p2pp/2p1p3/2P5/2NPN1P1/PP2PPBP/R2Q1RK1 b - -,a7a6
