8/7p/4k3/R5p1/1p2K3/5P2/P5rP/8 b - -,g2e2
r3k2r/4bpp1/p7/1p1bpP1p/7P/PP2B1N1/2P3P1/R2R2K1 b kq -,e8c8
r1bq1rk1/2p1n1bp/3p2p1/p2Pp3/2P1N3/B1N5/P3nPPP/R2QR1K1 w - -,e1e2
3r1k2/p4pp1/4n2p/1bP1r3/NR6/P5P1/5PP1/2R2BK1 b - -,b5c6
6k1/1p3p2/pQ3Bp1/4P2p/5q2/1P3P1P/P4KP1/3r4 b - -,h5h4
5rk1/4brq1/bpn1p3/3pP1pp/1PnP2P1/PN1Q1N2/6KP/R1BB1R2 w - h6,h2h3
8/3n4/1p3p2/p1pPk1p1/2P2nP1/PP2KP2/1N6/5B2 w - -,f1d3
r1bq1rk1/pp2p1bp/2n3pn/3pP3/3P2P1/2N4P/PP6/R1BQKBNR w KQ -,f1g2
rn2kb1r/ppq1pppp/2p2nb1/8/2BP4/2N3N1/PPPB1PPP/R2QK2R w KQkq -,h2h4
4rrk1/p1nq2pp/1p1p1nb1/2pP4/P7/1QN2P2/1P2BBPP/R3R1K1 w - -,e2b5
2br2k1/1pp1qpbp/5np1/Q1PP1p2/3N4/2N1P1P1/5PBP/3R2K1 b - -,f6g4
3r1rk1/p5p1/1pn4p/2q2p2/2P1p3/1P2Q3/P4PP1/1B1R1R1K b - -,c5e3
r7/8/3pk2p/4n1p1/P1p1P1P1/1P5P/2KB4/2R5 w - -,a4a5
5k2/R3b2p/4p1p1/3nP3/pP3P2/1p3K2/1B6/8 b - -,d5b6
r1bqkb1r/ppp2ppp/1n1p4/3N4/3QP3/5N2/PPP2PPP/R1B1K2R w KQkq -,c1g5
1rb1nBk1/p5bp/q1p1p1p1/1p2P1N1/P1p2P2/2Nn2PP/2Q3BK/1R3R2 b - -,g7f8
r4rk1/pppnn1p1/2q1b2p/2bp1p2/4PP2/2PB2BP/PPQN2PN/1K1RR3 w - -,e4e5
1r6/7p/1P1R2k1/2p3p1/1nN5/1P3PPK/8/8 b - -,g6f7
r1bqkb1r/ppp1pppp/2np4/2P1P3/2B5/2P5/PP3PPP/R1BQK1NR w KQkq -,g1f3
7k/2q1r1p1/1p1p1r1p/p1nBp3/2P5/1P2QP2/P2R2PP/3R2K1 b - -,e7e8
1rq3rk/3bpp2/p2p1n1p/2pP2p1/3bP1P1/2N2P1P/PP1BB1K1/1RQ2R2 w - -,f1h1
8/p7/2k2BP1/8/8/5R2/r2r1p1P/2K2R2 b - -,d2e2
r1b4r/bppn1kp1/p3p2p/3pPp2/PP3B2/2PBPN2/5PPP/R3K2R w KQ -,h2h4
r2qr1k1/pp2bppp/2p5/3pnb2/3PnB2/P1N1P3/1P2BPPP/2RQ1RK1 w - -,f4e5
8/2k5/3p3N/1pnPp3/2p1Pnp1/2P5/1PBK1P2/8 w - -,h6g4
7r/R3bk2/2Rn4/2pPp1p1/2P1Pp2/5P2/3NKB1r/8 b - -,f7f6
4r1k1/1p2rppb/2pq4/1n1p2P1/p2P1N2/P1Q1PP1B/1P3K2/4R1R1 w - -,c3d2
2rq1rk1/pp1bbppp/1n2p3/n2pP3/3P1P2/1P2BN2/P2NB1PP/2RQ1RK1 b - -,a7a6
2r1k3/6p1/3BP2p/8/2n5/1N4r1/7P/3K4 w - -,d6g3
r1bq1rk1/2p1bppp/pp2pn2/8/3P4/2PQ1N2/PPB2PPP/R1B2RK1 w - -,c1g5
r1bq1rk1/pp3pp1/2np1n1p/4p3/1pPP4/4PNP1/PPQN1PBP/R4RK1 b - -,a7a5
r1b1r1k1/1p2qp1p/p1pp2pb/4n3/2PNP3/P1N3P1/1PQ1BPP1/3R1RK1 w - -,f1e1
r2qnrk1/pppbbppp/2np4/8/2PNP3/2N1BP2/PP2B1PP/R2QK2R w KQ -,e1g1
rn1qk1nr/p1pp2pp/1p2p3/8/2PPb3/2PB4/P5PP/R1BQK1NR w KQkq -,d1h5
1rbq1r1k/1pp3bp/3p2p1/1P1np2n/2P2p2/1Q1P2P1/1B1NPPBP/1R3RK1 w - -,c4d5
6k1/p1q4p/1p6/4Rpp1/4b3/PPB4P/3R4/6K1 w - -,c3b2
8/3k3p/5pp1/2n1p3/3nPP2/1p2K1PP/1N1N4/8 b - -,d7e6
8/p2k4/4p3/R4pp1/1P6/P5P1/1r3P2/5K2 b - -,g5g4
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w - -,c1b2
8/8/6p1/6P1/R7/4k3/p5K1/r7 b - -,a1d1:e3d3
r1bqkb1r/p3n1pp/2p2p2/2pp4/N4P2/5N2/PPPPQ1PP/R1B1K2R b KQkq -,d8a5
r4q1k/2pbn2p/p2p4/3Pp1RP/2p1P3/2N5/PPKQN1R1/5r2 b - -,f8f6
6k1/ppn1pp1p/6p1/2P1P3/1n6/2N1B3/PPP3PP/3K4 b - -,b4c6
r3k2r/pp2bpp1/2p1pnp1/3p4/1nPP2P1/1PN1P2P/1P1BKPB1/R6R b kq -,f6d7
r3r1k1/1pp2pp1/1b1p1n1p/p3pP2/P1q1P3/2PB1Q1P/1P3P2/R1B2RK1 b - -,c4c6
4r3/1p3nk1/p2pb3/4r1p1/P1P1P3/1P3R2/5QPP/6K1 b - -,b7b5
2kr3r/pp3ppp/3qp3/1NpPnb2/1nP5/5N1P/PP2BPP1/R2Q1RK1 b - -,e5f3
2r3k1/p3rpp1/3qn2p/2pp4/Q2P4/3BP1P1/P1R2PP1/1R4K1 w - -,a4a3
8/5pkp/2p3p1/4n3/q3P3/P3Q3/1P3PP1/5BK1 b - -,a4d1
r2q1rk1/ppb1npp1/2n4p/3p4/6b1/1NP1BN2/PP2BPPP/R2QR1K1 b - -,e7f5
3Rr3/1kp2pp1/7p/1p2PN2/4P1P1/pPb4P/P3nK2/5R2 b - -,e8d8
r3r1k1/p4pBp/5Pp1/1p1n1p2/8/8/PP3PPP/R2R2K1 b - -,a8d8
1R4k1/6p1/7p/4N1p1/6P1/4P3/r1r2P1P/5K2 b - -,g8h7
r1bq1rk1/1p3ppp/p1np1n2/3Np3/4P3/1N1Q4/PPP1BPPP/R4RK1 b - -,f6d5
8/7k/8/5K2/3p4/3P4/2n5/8 b - -,h7h6
r1b1k1nr/p1p2ppp/2pp4/8/4P2q/2PBb3/PP2QPPP/RN2K2R w KQkq -,e2e3
7r/pppq1k2/2nbbnp1/3p4/3Pp3/1BP1Q2P/PP3PP1/RNB1K2R w KQ -,h1f1
8/5nkp/q1p1bpp1/p1Q1p3/P3P3/B3N2P/5PP1/3r2K1 w - -,e3d1
2r1r3/pp3pkp/3b1np1/q2pN3/2pP4/2N1P3/PPQ2PPP/R1R3K1 w - -,f2f4
rnbqkb1r/ppp2p1p/5pp1/3p4/8/1P2P3/P1PP1PPP/RN1QKBNR w KQkq -,d2d4
8/6k1/2K3p1/6P1/5R1P/8/8/3r4 w - -,c6c5
r1b2rk1/pp1nbp1p/1q2p1p1/3pP2P/3n4/3B1N2/PP1N1PP1/R1BQR1K1 w - -,d2f1
8/1b1r2kp/p4pp1/1p6/7P/PPR1B1P1/5P2/5K2 b - -,d7d1
rq4k1/1p3pp1/2p1p1np/4P2P/p1P2P2/P2R2PB/1P1Q4/6K1 b - -,b8a7
8/5kpp/2b1p3/2Qp1p2/2P2P2/1P1B3P/6PK/q7 b - -,a1a8
2kr2r1/pp1nbp1p/2p1ppb1/8/2PP3N/PP4P1/1B2BP1P/R2R2K1 w - -,a1c1
3rr1k1/ppp2p2/3p2p1/5nB1/2PP2q1/1P6/P2Q1PP1/2R1R1K1 w - -,g5d8
r3k2r/p2n2pp/np3p2/3qp3/5B2/2N3P1/PPP2PKP/R3R3 w kq -,c3d5
3r1b1k/1q1r2p1/3p1pBp/p1pPpP1Q/2P3P1/1P2B2R/P3n2P/5R1K b - -,e2f4
7Q/p5pp/1p6/kqn5/1b1p4/3P2P1/P2B1P1P/4RNK1 w - -,e1b1
r4rk1/p2nqp1p/b2p2p1/3P4/Ppp1NP2/6P1/1PQ1P1BP/R3R1K1 w - -,c2d2
4r3/p2q1k2/4r1p1/1pp1bp1p/7P/1P1P1QP1/P1PB2K1/4RR2 w - b6,e1e2
r2q1rk1/pp2ppbp/2np1np1/2p5/2P1P3/2NP2P1/PP3PBP/R1BQ1RK1 b - -,f6e8
6r1/pp3ppk/2p1p2p/2P4P/1P1q4/5Q2/PP3PP1/1K1R4 b - -,d4b4
3k4/2r4p/5R2/pKBP1p2/PP4p1/6P1/5P1P/1r6 b - -,a5b4
5k2/p5p1/3b3p/2p1N3/4K3/1P6/P4PPP/8 w - -,e4d5
r4r1k/6b1/p1n1pq1p/1p1p4/4p3/1BP1BP2/PP2Q1PP/R4R1K b - -,f6g6
r4rk1/pb1n1pp1/1ppq3p/3p4/3P2B1/P1N5/1PPQ1PPP/3R1RK1 w - -,f1e1
r2qkb1r/pp1n1ppb/2p1pn1p/3p4/5B2/P1NP1NP1/1PP1PPBP/R2QR1K1 b kq -,f8e7
8/p3nppp/2p1k3/2K1P3/8/6P1/PP4BP/8 w - -,c5d4
1n4r1/r4k1p/2p2p2/1p3P2/p2P3P/2RNPK2/1P6/4R3 b - -,f7e8
2r5/PR4pp/5pk1/8/8/P6P/5PP1/6K1 b - -,c8a8
r1b3k1/pp4pp/2n1p3/3p4/3Pnq2/3B1N2/PP3P1P/R2QR1K1 w - -,d3e4
3nkb1r/pp1b1ppp/1q3n2/4p1N1/3p4/NP1Q2P1/P3PPBP/R1r2RK1 w k -,f1c1
1r2k1nr/4b1pp/p1p2p2/3p4/6b1/1N2BN2/PPPK1PPP/R3R3 w k -,f3d4
8/2b5/4k3/1K6/8/1N1R4/8/1r6 w - -,b5c6
r2q1rn1/pp3pkp/3p2n1/2pPp1b1/2P1P1B1/1P2NQP1/P2B1PK1/R6R b - -,g8e7
6k1/3p2p1/p1q1p2p/2p1Pn2/2P2P2/3Q4/P1PB1K1P/8 b - -,c6h1
8/pp5p/5p2/2p2K2/P1Pb2P1/1P5k/4N3/8 w - -,e2f4
2r2r1k/p2bq1pp/7b/3pPp2/5n2/4NN2/PPQ2BPP/R2R2K1 w - -,c2b3
8/8/8/3B2k1/4P2p/3N1K2/8/5n2 w - -,d3f2
r2q1rk1/1b1nppbp/pp1p1np1/2p5/P2P1B2/2P1PN1P/1P1NBPP1/R2QR1K1 b - -,f8e8
r1bq1rk1/p1n3bp/2pp1pp1/2p3B1/2P5/2NP1N2/PP3PPP/R2QR1K1 w - -,g5e3
2k1rn2/8/1p3n2/p1p1p2p/P1P1P2P/2P2PB1/3NK3/3R4 w - -,d2f1
r4rk1/p4p1p/1p1Pp1p1/8/2P5/2NR4/PP4bP/2KR4 w - -,b2b4
1r4k1/5np1/p1r3p1/3R4/N7/1P2B2P/5PP1/6K1 w - -,d5d3
8/p1r4p/5k2/5p2/5K2/5P2/B3R2P/8 b - -,c7c6
r1n3k1/1prq1p1p/3p1npb/pPpPp3/P3P1P1/3PN3/2QBBP1P/4RRK1 w - -,e3c4
r1b2rk1/pp2ppbp/q1np1np1/8/2PN4/1PN1P1P1/P2B1PBP/R2Q1RK1 b - -,c8g4:c8d7
8/5kpp/pR6/1b6/8/8/P5PP/7K b - -,h7h5
2kr1b1r/pppbq1pp/2np1p2/3Qp3/1PB2B2/2P2N2/P1P2PPP/R3R1K1 w - -,a2a4
r3kb1r/1bqn1p1p/pp1ppnp1/8/P2NPP2/2N1BB2/1PP1Q1PP/R3K2R w KQkq -,a1d1
8/p1r3kp/2N2Pp1/2n5/6PP/1Pn1B3/6B1/5K2 b - -,g7f6
2r5/1r3p1p/p3pkp1/1p6/2n2P2/P1PR1NP1/1P2RK1P/8 w - -,f3e5
8/7p/8/8/1kp4P/6r1/2K5/1R6 b - -,b4c5
r4rk1/2pn1ppp/pb1p1q2/1Ppb4/2P1P3/7P/P2BBPP1/R2Q1RK1 w - -,c4d5
3r2k1/p1qr2bp/6p1/1pp1pp2/3n2P1/PP1PNP2/1BP3QP/4RRK1 b - -,d8f8
2rqk2r/1p3ppp/p1npb3/3Np1b1/P1B1P3/N7/1PP2PPP/R2QK2R w KQk -,e1g1
r5k1/2p3pp/2p5/p1P5/r7/2R1P1P1/5PP1/3R2K1 b - -,a4a2
5k2/1p3p2/p1r2np1/3p2p1/8/1PP1N1PP/P3RP2/5K2 w - -,e2c2
r1b2r1k/ppb1q1pp/1np5/2N1pp1N/3P4/1B2PQ2/PP3PPP/2RR2K1 w - f6,d4e5
r1bq1rk1/1p1Nbppp/p3p3/3n2B1/3P4/1QN2B2/PP3PPP/R4RK1 b - -,c8d7
1rb2rk1/4q1p1/2n1p2p/3pPp2/2pP3P/p1P2NPB/PnQ2P2/R3RNK1 w - -,e1e2
rnbq1rk1/pp2bppp/2p1pn2/8/2BP1B2/5N2/PPP3PP/RN1Q1RK1 b - -,c6c5
r5k1/5pp1/2R4p/3p4/1n6/7P/PB3PP1/6K1 w - -,c6d6
r4rk1/pbq3pp/1p1ppb2/n4p2/3P1P2/2PBBN2/PP2Q1PP/R4RK1 b - -,a8e8
r5k1/2p1qppp/r1n1p3/pNQ5/1nP1N3/1P4P1/R3PPKP/R7 w - -,c5e7
4k3/4p3/b6Q/p2Pp2P/2pq4/7R/P4r1P/4R1K1 w - -,h6e3
3r2k1/2br1pp1/2p1n1qp/1p2p3/4P3/1QP1BN1P/1P3PP1/R3R1K1 b - -,g8h7
r1b1kb1r/1pp2ppp/p1nq1n2/4p3/P1B5/2NP4/1PP1NPPP/R1BQ1RK1 b kq -,c8g4
1r2r1k1/p1q2pp1/3p3p/3P1R2/1pnB2Pb/3Q3P/PPP3B1/3R3K b - -,h4g5
3r1bk1/6pp/p3p3/8/2P2B2/8/P4PPP/2R3K1 b - -,f8a3
8/1kp2r1p/1p2Rp2/2r3p1/2n1N1P1/2P2P2/5K2/R7 b - -,c5d5
5rk1/p4p1p/4q1pb/P1p1B2r/1n6/2Q1PN2/3P2PP/1R3R1K b - -,f8e8
1rb2rk1/pp2b1pp/2p1pp2/8/N2P4/P3P1P1/1P3PBP/R4RK1 w - -,a1c1
3qrbk1/pbr2pn1/1pn3pp/2p1p3/2PpP3/PP1P2P1/1B1NBPNP/1QR2RK1 w - -,f2f4
1r6/5pkp/1PR1p1p1/4p3/1q6/7P/6P1/6QK b - -,b8b7
1b6/1p1k1p2/p1p1B1p1/2P4r/1P1P1Pp1/2B3P1/1P2Rr2/6K1 b - -,d7e7
2r2rk1/1b3ppp/p3pb2/3q4/8/1P3P2/P1N2BPP/2R1QRK1 b - -,f8d8
r2q1rk1/ppp3b1/2npb1pp/3N1p2/2P1n3/1P3NP1/PB1QPPBP/1R3RK1 w - -,d2d3
r1bqk1nr/pp3ppp/2n1p3/3p4/2Pp4/5NP1/PP1NPPBP/R2QK2R w KQkq -,d1a4
r1b1k2r/pp2bppp/1qn2n2/3p4/5P2/1NNB1Q2/PPP3PP/R1B1K2R b KQkq -,c8g4
8/6pk/7p/1p1RN2n/1p6/8/1P2r3/6K1 w - -,b2b3
rnbqk2r/ppp1ppbp/6p1/3n4/2BP4/2N1P3/PP3PPP/R1BQK1NR b KQkq -,d5c3
r1b1k1n1/p3qp2/1np3pb/1p2p3/4P3/1PN2P2/P1P3QP/3RKBNR b Kq -,e7c5
r1b4r/1p6/5k2/1P1R1p2/2Pp1P1p/3P3B/4R2K/8 b - -,h8g8
3r1rk1/1q2bp1p/p1bppnp1/1p6/3BPP2/P2B2Q1/1PP3PP/3NRR1K w - -,d1f2
r6r/ppq1kp1p/5n2/2B2p2/Q1P1p3/6P1/PP2P1BP/R4RK1 b - -,c7c5
8/5pk1/2p3p1/1pr3P1/3R1P2/P1N5/1P3K2/7b b - -,g7f8
r2k3r/p5p1/2p2p2/5P2/2p2BP1/1Rn5/6K1/4R3 w - -,b3c3
8/8/8/5p2/pp4k1/7p/1PN2K2/8 b - -,b4b3
r4rb1/1p2n2k/p2p4/P2P1pq1/1PB1p3/8/1Q4NP/R2R2K1 w - -,a1a3
3r1rk1/1b4p1/1p2pq1p/p2n4/3R3P/4NN2/PP1Q1PP1/3R2K1 w - -,e3g4
1r6/5pkp/ppB3p1/2n5/P2Nn3/4P1P1/5PKP/2R5 b - -,e4f2
r2q1rk1/1pp2pb1/2npbnpp/4p3/1PP5/2NP1NP1/3BPPBP/1R1Q1RK1 b - -,d8d7
3q1rk1/1r5p/p1p1p1p1/2PpP3/PP1R1PPP/6Q1/8/5RK1 b - -,d8b8
7r/p1n3p1/1ppkpp2/3n3p/3P3P/5NP1/PP2RP2/3R2K1 b - -,d5e7
r1b1r1k1/1pB1bppp/p3pn2/8/1PB1n3/2N1PN2/P4PPP/R4RK1 w - -,c3e4
3rr3/b5kp/2p1Rp2/p3nP2/Pn1p3N/1P4PP/1B4BK/4R3 w - -,h4f3
8/p2k1rpb/7p/3r4/2Rn4/6RP/PP1N1PP1/5K2 w - -,c4a4
rn3rk1/1pp1qpp1/7p/p2P1b2/1PPpN3/P2Q1P2/4B1PP/R4RK1 b - -,a5b4
8/1p4pk/p2N3p/2p5/6Rn/2P4P/PP3q2/6RK b - -,g7g5
2b1rrk1/2p2pp1/pp1p2np/3P2q1/2P1P3/3BN3/P1P1Q1P1/4RRK1 w - -,e2f2
rnb2rk1/pp3ppp/2pqpn2/3p4/2PP4/2N1PN2/PPQ2PPP/R3KB1R b KQ -,b8d7
1r4k1/pp1q1p1p/2p2np1/2P5/2QP4/1N4P1/P4P1P/2R3K1 w - -,c1e1
8/8/2b2p1p/2k1p3/1p2P3/1P1K2P1/2B4P/8 b - -,c6d7
q3r1k1/1b1r1ppn/8/p1b1pP2/PpPpP2B/1P4NP/2P3BK/R3QR2 b - -,f7f6
r7/3nkp1p/4pB2/8/8/qPr1QP2/P1P3PP/1K1R4 b - -,d7f6
8/5k2/2n1ppp1/1rnp4/5P1P/2P3R1/4RNK1/8 b - -,c6e7
5N2/5r1p/1p1k1pp1/pP1n4/P4P2/6P1/5P1P/4RK2 w - -,e1e8
r2r2k1/p6p/3P1qp1/2pbN3/1n3p2/R2B1P2/1PP3PP/2Q1R1K1 b - -,d8e8
r2q3r/1bpn1k2/4pbn1/2Pp1p2/3P2p1/2N1P3/P2NQPPB/1R3RK1 w - -,b1b7
8/8/4k3/4pR2/4P3/5PK1/8/6r1 w - -,g3f2
r1bnqrk1/ppp3pp/3pPb2/5p2/2P5/1PB2NP1/P1Q1PPBP/R4RK1 b - -,d8e6
3rr3/pb4k1/1p1q1pPp/3nNB2/3P4/P5Q1/1P5P/3R1RK1 w - -,f5b1
r1r1b1k1/pp3p2/4p1pp/q2nP3/P2PQ2N/R7/5PPP/1B3RK1 w - -,a3g3
r1bq1rk1/1pp1bppp/2np1n2/p2Np3/2P5/P3PN2/1PQPBPPP/R1B2RK1 b - -,h7h6
r1b2r2/1p3pkp/p1nq1np1/2p5/2P1P3/2N2NP1/PP3PBP/R2R2K1 w - -,d1d6
8/8/5k1R/1r6/4BK2/5P2/8/8 b - -,f6g7
r1b1r1k1/pp3ppp/2n2n2/2qp4/3N4/2N2P2/PPPQ2PP/2KR1B1R w - -,f1b5
8/8/p1k5/1Pp2p1p/3p1B1P/3P4/3K4/5b2 b - -,a6b5
3r3r/p1kn1b1p/1pp2p2/6p1/1Pn1PPP1/2N4P/P1R2BB1/R5K1 w - g6,c3d5
1k3rr1/pppq3p/2nb1p2/3p4/3PN3/4B1P1/PPQ2P1P/2RR2K1 w - -,e4d6
rn3rk1/ppq2ppp/2p1pn2/3p4/2PP4/P1PQP3/3N1PPP/R1B2RK1 b - -,f6g4
8/1p3pk1/p2Q3p/4p3/8/1P2P1P1/P1q5/6K1 b - -,c2b1
2r1r1k1/1p3ppp/1q6/p1NPpbPP/P7/1B2RP2/1PPQ4/1KR5 b - -,b6c5
3q1rk1/pr2bpnp/2R3pB/1p2P3/3p4/1Q1B2P1/PP3P1P/2R3K1 b - -,d8d7
3R1bk1/p2b1p1p/1p4p1/1N6/2PQ4/6Pn/PP5P/5K1q w - -,f1e2
8/1p1b4/pP4k1/6q1/2P3pP/8/P7/5RK1 w - -,h4g5
8/7k/pr4pp/1p1bPp2/8/3B3P/1P6/2R4K w - -,h1h2
5k2/p4p1p/2N3p1/1P4q1/4r3/R2Q4/6KP/8 w - -,g2f2
5r2/1bq1krQ1/p2p1p2/1p2pP2/4P3/P1N4R/1PP4P/2K3R1 w - -,g7g2
rnbqk1nr/pppp1pbp/6p1/4p3/4P3/3P2P1/PPP2PBP/RNBQK1NR b KQkq e3,g8e7
1q3rk1/pb3pb1/1p1n2p1/1p4N1/3P1B2/PQ6/5PPP/4R1K1 w - -,b3h3
6k1/2Q2p1p/6p1/5n2/3q4/1P6/8/5B1K b - -,d4d5
r4rk1/1p2ppbp/1qp3p1/p2b4/P2P4/1P2P1P1/1B3PBP/2RQ1RK1 w - -,g2d5
4k2r/2q2pb1/r3p1p1/pp2Pn1p/n3NP1P/2PP2P1/3BQ1B1/R4RK1 b k -,e8g8
5R1N/1pk3p1/2n5/3p2P1/1p1P4/4n3/rP5P/5RK1 w - -,f1e1
8/8/1k3R1p/p6r/P7/2P5/2K5/8 b - -,b6b7
2r3k1/1q3p2/2p1p1p1/1pPpP2p/1PnB1P2/4P2P/Q4KP1/R7 w - -,g2g3
4rrk1/p4p2/3b2p1/1pN3q1/1PnP4/2B1P1P1/4Rp1P/RQ5K b - -,d6c5
r1q1r1k1/pp1nppbp/6p1/2p5/2p1P3/2N1P1PB/PPQ4P/R2R2K1 b - -,e7e6
r2q1rk1/5pp1/3pbn1p/p1b1p3/1n2P3/BP1B1NNP/2P2PP1/R2RQ1K1 w - -,e1d2
4r3/1p3k1p/pNp1bn2/2Pp2p1/6P1/5PKP/PP4B1/4R3 w - -,f3f4
2kr1b1r/ppp2ppp/4n1b1/qN1N2P1/2B2n2/4BP2/PPP2K1P/R2Q3R w - -,b2b4
r1bqk2r/pp1n1ppp/2pbpn2/2Pp4/3P4/2N2NP1/PP1BPPBP/R2QK2R b KQkq -,d6c7
6k1/1p1b1rp1/p3r2p/2qpPp2/1n6/2pB1NQ1/2P4P/4RKR1 w - -,d3f5
3rr2k/pp6/2p2pp1/P5p1/2QP1q2/1P2N1N1/5P1P/3R2K1 b - -,d8d7
2r5/1p3p2/p2n4/P2Pp3/1Rp1k1N1/7P/1P3PK1/8 w - -,g4e3
r5b1/1kp3bp/pppn1pp1/5P2/1P2P1P1/P1NP1N1P/3B4/2KR4 w - -,c1b2
r1bq1rk1/1pp3pp/2n1p3/p1bpP3/5P2/2P2NP1/PP2Q2P/R1B1KB1R b KQ -,c8d7
r1b1k2r/p2p1pp1/n2b1q1p/1NpPp3/2P1P3/R2B1N2/1P3PPP/3QK2R b Kkq -,e8g8
r7/2kbqr1p/1p1p1np1/p1pP1p2/P1P1pP2/1P2N1PB/2KQPR1P/2R5 w - -,c1f1
8/8/8/7R/7p/2P4k/6p1/6K1 w - -,c3c4
1r1qr1k1/1pn3pp/5p2/p3p3/1bPp2b1/1P1P1PP1/PB1N2BP/3RRQK1 b - -,g4h5
6k1/3r1pp1/p1q1p2p/Q3P3/P1pB4/4P1P1/1P3P1P/6K1 w - -,a5b4
r1q2bk1/pp4pb/4p2p/4p3/3p2P1/5Q1P/PPP2P2/R2R1N1K b - -,c8c2
r7/2pk2pr/1pNp1p2/pPnPp3/2P1PnPP/4R1K1/P2N4/7R w - -,h1h2
2r1r1k1/ppq2pp1/4p2P/3p4/4nB2/2P2Q2/PP3P2/R3R1K1 b - -,e6e5
4R3/pp6/8/8/2p2kp1/P1P3p1/1r6/6K1 w - -,e8f8
r4rk1/pp1n1pp1/2p1b2p/5N2/8/P7/1P1RPPPP/4KB1R w K -,f5d6
r1b1r1kb/1p1npp1p/pq4pB/8/2PN4/4P1P1/PP3PBP/R1QR2K1 b - -,d7c5
r1bqkb1r/ppp1ppp1/2n2n1p/1B1p4/3P4/4PN2/PPPN1PPP/R1BQK2R b KQkq -,c8d7
2r3k1/3r1pbp/3np1p1/1pp5/p1nP1BP1/P1PB1N1P/1P2RPK1/4R3 w - -,f3e5
4r1k1/1pqnbp2/r1p1b1p1/p3P3/2PB2P1/1PN2B2/1P2R1K1/2QR4 b - -,e7f8
r3rk2/pp3p2/n4qpp/1N1P4/P3p1P1/8/1P3PP1/R2QR1K1 w - -,d1d2
4r2k/pp4p1/7p/3p1N1q/7B/8/PPQ2P2/6K1 w - -,f5e7
r1b2rk1/1p1nqppp/p1pb1n2/4p3/2BP4/1PN1PN2/PBQ2PPP/R4RK1 w - -,f3g5
1Q6/5pk1/4bqp1/8/2p4p/7P/1P4B1/7K b - -,f6d4
r1bqr1k1/1pp2pp1/p1n1p2p/3p4/2PP4/P1QBPN2/1P3PPP/R4RK1 w - -,a1c1
r4rk1/1q2bppp/p2ppn2/1p6/4P3/P1N1BP2/1PP2QPP/R2R2K1 b - -,b7c6
5nk1/1R6/p1p1q2p/1p1p1Q2/3P2P1/7P/1P3K2/8 w - -,f5e6
6k1/1p2r2p/p1p1qpp1/6r1/1PNPp3/P3PnPP/5PK1/R1R4Q w - -,g2f1
3r1r2/1p2b1p1/p1p1k3/P2nP1pp/2NP1pP1/3R1P1P/1P4K1/3RB3 b - -,g7g6
2k2r2/pp1r1p2/1np1pQpP/5q2/2PP4/1B6/PP4P1/2KR3R w - -,f6g7
