8/8/5qpk/4p3/6Qb/3B4/4K3/8 w - -,d3g6
8/1p2r1pp/pn1k4/2R1p3/8/1NP5/P2K2PP/8 w - -,d2e3
r3rbk1/1pp2p1p/p1nq2p1/P1p1p3/2Q1P3/2BP3P/1PPN1PP1/R4R1K w - -,c4b3
r2q1rk1/2pb1pbp/1p1p2p1/p1nPp3/1PP1P3/P1N1B3/2QN1PPP/R4RK1 b - b3,c5b7
8/5p2/R7/5k1p/2r5/1p6/5KP1/8 w - -,a6b6
2rq1rk1/pb1n1ppp/1p1ppn2/2p3B1/2PP4/P2BPN2/1PQ2PPP/R4RK1 b - -,h7h6
8/8/1p6/8/2P1kp2/1PKR2p1/6Pr/8 w - -,d3d2
B5k1/5pb1/5np1/qp2n2p/7P/2P1B1N1/1P1Q1PP1/6K1 w - -,a8f3
r1bq2k1/5pbp/p2p1np1/2pPr1B1/Pp2P3/3B3P/1P1Q1PP1/R2N1RK1 w - -,g5f4
r1bqrnk1/pp2bppp/2n5/3pP3/1P1P4/1Q1BNN2/3B1PPP/R3R1K1 b - -,c8e6
r4rk1/pb1nbppp/4p3/3pP1P1/1pp1NB1P/2P1P3/qP2QP2/1BKR3R b - -,a2a4
2q5/5prk/2N1b1r1/P1PBp1b1/4P2p/1N3p2/1P3RPP/4Q2K b - -,g5f4
8/1bB2k1p/p3p1p1/1p3p2/P1P1pP2/1P2P2P/6P1/6K1 w - -,a4b5
8/7k/b1pNpPp1/p3P1qp/2pPR3/P1Q5/5K1P/2r2B2 w - -,h2h4
1rb4R/p7/8/3pR3/2k2P2/2p1K1P1/P7/8 w - -,h8d8
r2q1rk1/p2nb1pp/bpp1p3/3p1p2/2PP4/1PB1P1P1/P2N1PBP/R2QK2R w KQ -,e1g1
5k2/8/8/4pp2/R3P1N1/3b1PPK/1r5P/8 w - f6,e4f5
rb2k2r/pp1b2pp/4p3/1N1p3n/5B2/P2B2P1/1P3P1P/R4RK1 w kq -,f4b8
8/p4pkp/6p1/3Qn3/8/6P1/P2p1RKP/2q5 b - -,d2d1q
3r2k1/pbr1qppp/1p2n3/3p4/6Q1/1P2P1P1/PB3PBP/2RR2K1 w - -,h2h4
4r1k1/6qp/p5p1/2PNnp2/3Q4/1P6/P5PP/3R2K1 b - -,g8h8
r2q1rk1/ppp3bp/3p2n1/2PPp1p1/1P2PpQ1/B1N5/P4PPP/2R2RK1 b - -,f4f3
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - -,d1c2:d4d5:d1d2
rn2k2r/2qn1ppp/p2p1b2/2pP1P2/2P1N3/4B1PP/PP4B1/R2Q1RK1 b kq -,f6b2
1r6/3Rppk1/pp6/r5p1/PbP4P/1P3B1P/5PK1/3R4 b - -,g5h4
2kr3r/1pq1bR1p/p1n1p3/2pp4/3Pn3/2P1N3/PPNBQ1PP/5RK1 b - -,d8g8
3r4/p4kp1/2P2pp1/1p6/n7/2P2N2/P4PPP/2R3K1 b - -,a4b6
1r4k1/1Pp3pp/2p2q2/3p4/1Q6/1p1bB3/rP3PPP/R4RK1 w - -,f1e1
r1bqk2r/2p2ppp/pp1p1nn1/3N4/2P5/2N1P3/PP1QBPPP/R4RK1 w kq -,d5f6
8/5R2/4p3/3p1k2/1r3P2/8/4K2P/8 b - -,f5g6
8/2p2rkp/1pBb2p1/3P1p2/1P6/2P1R2P/5KP1/8 w - -,f2f3
8/7B/1p2k3/pPb1p2p/P1P2p2/2B2P2/4K1P1/8 w - -,e2d3
8/5pk1/P1Rnp1pp/8/r2P4/3BP1P1/4KP1P/8 b - -,d6e8
2r2rk1/4ppb1/3p1n2/p1q2P2/1p2PNQ1/3P4/PP4PP/4RR1K w - -,g4h4
r4rk1/5ppp/pqp1p1b1/4R3/Pb1P2P1/2B4P/1P3PB1/R2Q2K1 b - -,b4d6
r2q1rk1/pb1pbppp/1pn1pn2/6B1/2P5/1QN1PN2/PP2BPPP/3R1RK1 b - -,a8c8
2rq1rk1/4bp2/p2p2p1/1p1Pn1n1/3N4/4B1Pp/PPP1BQ1P/3R1RK1 b - -,d8d7
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/4P3/2PP1NP1/PP3P1P/RNBQKB1R b KQkq -,d7d5
1r6/2pk1pp1/2p4p/p1B1Pb2/P1P5/2KP4/6PP/4R3 b - -,d7e6
4rk2/4r1p1/p2p1bp1/1p1P2P1/8/P1P2K2/1P4R1/2B4R b - -,f6e5
r2qkbnr/pp3pp1/2n1p2p/3pPb2/2pP4/P1N1BNP1/1PP2P1P/R2QKB1R w KQkq -,f1g2
2rqnrk1/1b3ppp/pnp5/1p2R3/3P1BP1/P1N4P/1PP2QB1/4R1K1 w - -,e5e7
8/1p1rb2p/1P2kpp1/4p3/2R3P1/4B3/5PPK/8 w - -,c4c8
rnb1k2r/pp2q1pp/2pbpn2/2Pp1p2/3P1P2/2NBPNP1/PP5P/R1BQK2R b KQkq -,d6c7
r4rk1/2p2ppp/pp3nn1/2b5/P1P2P2/2NBPP1q/2Q4P/R1B2RK1 w - -,g1h1
2nrrnk1/3q1pp1/ppp4p/3p4/P2P4/1PBQPPP1/4R1BP/4R1K1 b - -,a6a5
8/4PR2/8/5pk1/6p1/8/6pr/6K1 b - -,h2h1
2r3k1/2qbpp1p/1p1p1npb/p2P4/PnNNP3/1P3P2/1B2B1PP/3Q1RK1 b - -,c7b7
n2b4/P6k/3B3p/8/2RpqN2/1P1R2P1/5K1P/8 b - -,e4h1
3r1rk1/pp3ppp/1qp1p3/2NnP3/1P6/2P2Q2/P2R1PPP/R5K1 w - -,a1d1
4nrk1/1pbq1pp1/p1n1r2p/2P1p3/1PNpN3/P2P1QP1/1B3PKP/2R1R3 b - -,f7f5
7r/1p6/b1p1kpp1/P1Pp4/3P1P2/1R4P1/6K1/3N4 b - -,h8g8
6k1/p1p1n1pp/b4p2/8/P1rB2N1/6P1/1P2PP1P/R4K2 w - -,a1d1
7r/1pkrppbp/p3b1p1/2P5/R4P2/4BN2/P1P3PP/1R4K1 b - -,h8d8
r4rk1/1ppq2p1/p4n1p/2Qb1p2/1P1Pp2N/P5P1/3B1PBP/2R4K b - -,g8h7
1r2kb1r/Qqp1ppp1/3p1n1p/3P4/3Nb3/6P1/PP2PPBP/R1B2RK1 w k -,a7a4
1r1r2k1/5ppp/1bn1p3/p7/4n3/4PN2/1P2NPPP/2RRB1K1 b - -,c6b4
1r6/4bk2/3p3p/R3n1p1/p1p1P1P1/2P4P/3BB3/5K2 w - -,a5a4
1r6/1r1p2kp/Q2Bppbn/1p6/8/2P5/P1P2PPP/3R2K1 b - -,b7b6
r1b2rk1/p1q5/4pppQ/3pPP2/2pp4/5N2/P5PP/R4RK1 w - -,f5g6
r2qkb1r/ppp2ppp/2npbn2/4p3/2B1PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,c4e6
r1b2rk1/1pq1bppp/p2ppn2/4n3/2P1P3/1PN1QN1P/P3BPP1/R1BR2K1 b - -,c8d7
8/4pk2/2np4/p5P1/3br1N1/2p5/P5K1/2R2B2 w - -,g2f3
r3k2r/ppB1bpp1/2p5/3b1nNp/8/1PP2N1P/P4PP1/R3R1K1 b - -,f7f6
r1bq1rk1/pp3p1p/2np1bp1/2p1p3/P1B1P3/2NP1N2/1PP2PPP/R2QR1K1 b - -,f6g7
1n3q1k/5n1p/1Qp2p1b/1pP2P2/pN3P2/P3r1BP/3R2BK/8 w - -,b4c6
8/1p1k2pp/4n3/1p1rp3/5pPP/P2P1P2/1P1K1B2/2R5 w - -,f2a7
r2br1k1/3p1pp1/ppb2n1p/5N2/3BPq2/2Q2PP1/PP2B2P/2R2RK1 b - -,f4g5
1k1r3r/1pq1bppp/p3b3/3n2N1/3P4/PR4P1/1P3PBP/3Q1RK1 w - -,g5e6
2r5/4b1pp/1B6/P1pkp3/3p4/4PP2/1P2K1PP/2R5 w - -,e3e4
4r3/1r2ppkp/3p2p1/p1nN1P2/1pP1P3/5K1P/PR2B1P1/3R4 w - -,g2g4
1r2r1k1/2q1bppp/2n1p3/1bn1P3/5QP1/2pp2B1/1P1N1P1P/R2NRBK1 w - -,b2c3
8/7p/2p5/n4Np1/P2kpp2/7P/2K2PP1/8 b - -,d4e5
5k2/5p1p/6r1/2Rpp3/3n2B1/5P2/1PP4q/1K2R3 b - -,h7h5
6b1/7P/8/5k2/8/4p3/pK2N3/8 b - -,g8h7
8/5pk1/p4r1p/P1R3p1/2P1Bn2/5P2/7K/8 w - -,c5c8
5r2/1p1q2bk/p1npr2p/3Np1p1/1P2Pp2/1QPP1P1P/6P1/R1B1R1K1 w - -,b4b5
8/Rp2r3/2p1k3/P1Pp4/4P3/3K4/8/8 b - -,d5e4
2rr2k1/2q1ppbp/1nn3p1/p7/4P3/PPp1BN1P/4QPP1/1BR2RK1 b - -,b6d7
2r2rk1/p2nqppp/bp3n2/4p3/2PR1B2/PPN3P1/1Q2PPBP/R5K1 w - -,d4d7
r2qkbnr/pp3ppp/2n1p3/2PpP3/2P3b1/5N2/PP2BPPP/RNBQK2R b KQkq c3,d5c4
r3r1k1/pp2qppp/2n1bn2/3p4/3P4/5N1P/PP1NQPP1/1BR2RK1 b - -,e7b4
1k6/2pq3p/p1p2p2/1p4pP/P1N1Pn2/1P3P1P/2P4K/5Q2 w - b6,a4b5
r2q2k1/1p3pp1/2p1bn1p/4p3/1bPrP3/3B1P2/2Q2BPP/1NRR2K1 w - -,f2d4
r7/1pRn1pk1/p1bBp3/P2pP1pB/N2b4/1P4PP/7K/8 b - -,a8h8
1R6/6k1/8/r6p/4K1p1/6P1/8/8 b - -,a5c5
2r3k1/8/4p1N1/3n1pb1/8/Pr4P1/1B2R2K/R7 b - -,g8h7
r2qr1k1/p4pbp/1pp1p1p1/3pn3/3P4/1QN3P1/PP4BP/R2R2K1 w - -,d4e5
7k/7p/4R1p1/4p3/P6P/2n5/1rB3PK/8 w - -,c2d3
r2q1rk1/pb2npbp/1pnpp1p1/2p5/2P2P2/P1NP1NP1/1P1BP1BP/1R1Q1RK1 b - -,d8d7
r3qrk1/1pp1b1pp/2n1b1n1/p3pp2/2P5/PP2PN2/1BQ1BPPP/1N1R1RK1 b - -,e5e4
r4rk1/p2n1pbp/3Pbnp1/q1p1p2P/Np2P1P1/1P2BP2/P2Q4/1K1R1BNR w - -,d1c1
8/5pp1/1p5p/3PkP1B/2P5/4r2P/1K4P1/8 b - -,f7f6
r4rk1/ppqn1ppb/2p1p2p/3p4/5PP1/2QPP2P/P1P3BN/1R3RK1 b - -,a8b8
bn1qkb1r/2p2ppp/4pn2/1p2N3/2pPP3/2N3P1/1P3PBP/2BQ1RK1 b k -,c7c6
rn1qk2r/pp3ppp/2p1p3/4Nb2/PbpPP3/2N5/1P4PP/R1BQKB1R b KQkq -,f5e4
1r4n1/2kr3p/3p4/p4P2/np3P1b/4R3/PPP4P/1K2R1Q1 w - -,e3e8
2r2nk1/4b1pp/pq1pp3/1p3rP1/5P2/PPN2R1P/2PQN1K1/4R3 b - -,f8g6
8/1p6/p1n3k1/2p2p1p/2P4P/PP1K4/6P1/2B5 b - -,g6f6
8/8/7k/R1P3p1/7p/5K1P/2r3P1/8 w - -,a5a6
8/8/4Rpk1/6p1/3N3p/2r2K2/8/8 w - -,f3g2
8/p5n1/3kp2R/3p4/4r3/PP4r1/1PK2R2/2N5 b - -,e4g4
rnbq1rk1/ppp1bppp/5n2/3p4/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,c7c6
8/p2r3k/1pbq2pb/2p1pp2/8/2NP3P/PP3QP1/3R1R1K b - -,h7g7
r4rk1/ppp1ppb1/6pn/4P2p/2b1PP2/3N2PP/PP4B1/R1B2RK1 w - -,f1d1
r3r1k1/p2q1pp1/bp1p1n1p/2pPn3/P7/1QN3P1/1P1BPPBP/R3R1K1 w - -,c3b5
r1bqk2r/p1p1bppp/np3n2/1N1p4/3P1B2/3B2N1/PPP2PPP/R2QR1K1 b kq -,e8g8
2r2rk1/1b1q1ppp/2n1pb2/1p6/p2PQ3/P3BNP1/1P3PBP/3RR1K1 w - -,e4g4
1r6/5k1p/5p2/1B1P4/P5b1/8/1P1R1b2/7K w - -,d2f2
2b1r3/q3r2k/4pQpP/1p3pP1/7P/1B6/PP6/1KR1R3 b - h3,e7f7
r4rk1/2q1bppp/pp1pp1n1/8/2P1NQ2/BP4P1/P3PPKP/R2R4 w - -,f4f3
rr6/8/1kp3bp/p3P3/P1PN2P1/1P1P4/7P/1R3R1K w - -,d4f5
4b3/1p2kp2/4p1p1/p5P1/1nBP4/4PP2/1P3K2/2N5 b - -,b7b5
5r2/3R1N1k/4pPp1/3bP3/3r3p/7P/1PR3PK/8 w - -,f7g5
8/R6p/3r4/3p1k2/3Pp2K/8/5P2/8 b - -,d6h6
r4rk1/ppp2qpp/1n1n1p2/8/3P4/2N2N2/PPQ2PPP/R3R1K1 w - -,b2b3
6k1/4K1pp/3P4/8/1p4P1/3r3P/5p2/5B2 b - -,d3d6
8/7p/B3bp2/3p4/1k1P3P/4PKP1/8/8 b - -,b4c3
4rrk1/1b1nq2p/3p1npb/p1p1p3/1pP5/1P2P2P/PBQNBPPN/3R1RK1 w - -,h2g4
2r3k1/ppr2p1p/5np1/2P1p3/b2N4/4PB1P/PR3PP1/2R3K1 w - -,c1c4
