8/2K5/4r3/P6p/7k/1R5P/8/8 w - -,b3a3
4r3/5p2/2q2k2/5P1p/p2p4/Pn1Q1RPK/1P2P2P/8 b - -,c6e4
rn1qkb1r/pp2pp1p/2p2np1/3p4/2PP4/2N1BP2/PP1QBPPP/R3K2R b KQkq -,f8g7
8/1p3R2/1q1p2pk/1P3p2/P3r3/1Q6/5b2/2R2K2 w - -,b3f3
r2q1rk1/1bppbppp/np2pn2/p5B1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 w - -,d1c2
8/6k1/R7/4PP2/5K2/8/8/1r6 w - -,a6a7
r4rk1/pbq1ppbp/1pn3p1/2P1P3/4BP2/2P2N2/P3Q1PP/R1B2RK1 b - -,b6c5
6q1/2Rr1r1k/p2P2p1/P1PP3p/8/6Q1/2B3P1/6K1 b - -,g8g7
1r1r2k1/ppp1np1p/4pbp1/8/1P1P4/P1B1P1PP/3N1Pb1/2RR2K1 w - -,g1g2
r4rk1/1pp2pp1/pbnp3p/4p1q1/PPBPP3/1QP1R1P1/1B3PK1/3R4 w - -,e3f3
r4rk1/pbqnbpp1/4pn1p/2p3N1/2P1N3/6P1/PPQ2PBP/R1B1R1K1 w - -,c1f4
r4rk1/pq3ppp/2n2n2/3P4/2P5/PP3p2/1BQ2PPP/R4RK1 b - -,c6e7
r1bqk2r/pp3ppp/1n1bp3/8/1n1P4/2NB1N2/PP3PPP/R1BQK2R w KQkq -,d3b1
r3kb1r/pp3ppp/2n2n2/1BP1pb2/1P6/2P2N2/P4PPP/RNBK3R b kq -,e8c8
b1r3k1/3q4/PQ2n1pp/3p1p2/2p1nP2/8/P4PPP/BBR1R1K1 w - -,f2f3
r3rnk1/pp1q1p2/2p1bn1p/4R1N1/3P4/P2B2BP/1P3PP1/R2Q2K1 b - -,h6g5
r2q1rk1/pp2bppp/2b1pn2/8/3BN3/1P4P1/P1P2PBP/R2Q1RK1 w - -,e4f6
8/1p6/2p2p2/1pP4k/1P2K2P/8/P7/8 b - -,h5g4
8/6k1/1p2P1b1/p1pB4/2Pp4/P2r2P1/7P/4R1K1 b - -,d3a3
r1bqr1k1/p4pbp/2p2np1/2p1p3/3p2P1/1P1PP2P/PBPNNP2/R2QK2R w KQ -,e3e4
2r2k2/pp3ppp/8/3p4/3P4/P3R1P1/RPr2PKP/2B5 b - -,c2c1
6k1/8/8/8/5N1p/1P2Rb2/P2r4/6K1 b - -,f3c6
6k1/r3qpp1/Q3p2p/2pb4/2N5/6P1/PP2PP1P/2R3K1 w - -,a6c8
r5k1/1rq1bpp1/3p1n1p/p3p3/b1P1P3/BP6/2Q2PPP/1R1R1NK1 w - -,b3a4
8/8/1R6/3p3P/3kp3/r7/4K3/8 b - -,a3a2
r4rk1/1p3p2/p1n1pqp1/2Pp3p/1P1P4/P2Q1B1P/4NPP1/2R3K1 w - -,d3c3
8/6k1/5p1n/2N2bp1/1P5p/P4R1P/1KPR2P1/4r3 b - -,g5g4
rnq1k2r/1pp2ppp/p2b1n2/5p2/1PQP4/2N1PN2/P4PPP/R1B1K2R b KQkq b3,e8g8
5rk1/pbq3bp/6p1/2p1pp1n/P1NpP3/3P2PP/1QP2PB1/1R2R1K1 b - -,b7c6
r1bqk2r/ppp1bppp/4pn2/8/3PN3/5N2/PPP2PPP/R2QKB1R w KQkq -,f1d3
r3r3/1pq2pbk/pnn1b1pp/4p3/8/NBP2NBP/PP2QPP1/3RR1K1 w - -,a3c4
3rr1k1/1bq2p2/1p2pn2/pPp1b1pp/P1PpP3/1Q1P1P2/1B2B1PP/1R1R1NK1 b - -,g8h7
5r2/2b4p/r2pkpp1/p1pR4/R1P1PPPP/1PB5/2K5/8 w - -,a4a1
r2q1rk1/pp3ppp/2nb1p2/8/3P2b1/1PP2N2/PB3PPP/R2QR1K1 w - -,h2h3
8/pq3p1k/5p1p/4bP2/PPQ4n/8/6r1/2R2R1K w - -,c4c6
4k3/5p2/5P2/r5Kp/1R6/1P6/8/8 w - -,g5h6
2b2rk1/1pn2nbp/2q3p1/Q1Pp4/4p3/5N1P/PPB2PP1/R3RNK1 b - -,e4f3
8/6pk/4Kn2/1P6/3N1p1p/8/6P1/8 b - -,f6e4
r2r2k1/5ppp/Qp2p3/3bN3/1q4P1/5P2/5R1P/R5K1 w - -,a6a8
5rk1/p2n2pp/2pb4/2p2p2/2Pp1P2/1P1P2P1/PB1N3P/4R1K1 b - -,g8f7
rb1q1rk1/pb1p1ppp/2pP1nn1/1p2P3/2N2p2/2PB2P1/PP2Q2P/RNB2RK1 w - -,e5f6
2kr3r/pp1b1pp1/1qn4p/3pPp2/3P4/7N/PP2NPPP/R2Q1RK1 w - -,d1d2
3r2k1/pp3ppp/8/3B1P2/8/2P1R3/PP4P1/1KB2r2 b - -,h7h5
2B5/p3r1kp/6p1/3p1p2/1r1Pn3/7P/P1R3P1/2R4K w - -,c1d1
r1br2k1/pp3ppp/2n1p3/4P3/8/2NB4/PPP3PP/2KRR3 w - -,b2b4
2q3k1/1nr3p1/4b2p/p3Np2/2PR1PP1/P3P2P/1PBQ4/K7 w - -,g4f5
2r5/p2bpk2/3p1pp1/1p1N3p/2r1P2P/2P2P2/PP1R2P1/1K1R4 w - -,d1c1
3r4/1p6/p1n2k1p/2p5/2P1Pp2/1P3NP1/P3R1K1/8 w - -,g3f4
r4r1k/p1p1np1p/1p2pp2/b2q4/3P4/2N1PN2/PPQ2PPP/R4RK1 b - -,a5c3
r5k1/3npp1p/1p2q1p1/1Nr5/2PRP3/1P3PP1/PQ5P/R5K1 b - -,d7e5
1rbq1rk1/p3ppbp/n2p1np1/2pP4/2N1PB2/2N5/PP2BPPP/R2Q1RK1 b - -,f6d7
r1bqkb1r/p2n1ppp/1pp1pn2/3p4/2PP4/1P1BPN2/PB3PPP/RN1QK2R b KQkq -,c8b7:f8e7:f8d6
2kr3r/1pp1qpp1/p1n1b3/4Pp1p/3P4/2P1BN2/PPQ2PPP/R3K2R b KQ -,c6a5
5k2/2nr1r2/1p1pqP1N/p1n2pP1/P1P1p3/1PQ5/1B2P3/5RK1 w - -,g5g6
8/6p1/ppb2p1p/3nk3/P7/1P3P2/2BB1KPP/8 w - -,c2e4
8/1pk2p1r/p1pb4/P2p2P1/4bP1N/4R1KQ/1q6/5R2 b - -,b2d4
rnbq1rk1/pp4bp/2pp2p1/4pp2/2PP4/2Q2NP1/PP2PPBP/1RB2RK1 w - e6,d4e5
8/P7/2b5/2Bpk1pB/4pb1p/5P1P/6P1/4K3 w - -,h5g4
r3n3/5ppp/1Pk1p3/2P5/3R4/8/5PPP/5K2 w - -,d4d1
8/5p1p/1b2k3/3p1p2/1pb2P2/5NP1/2K4P/2N5 b - -,f7f6
2r5/nN1k3p/p2Pp1p1/2P2p2/8/7R/5PPP/5K2 b - -,h7h5
r1bqr1k1/1p3ppp/1np3n1/p2P4/Pb1N4/1PN3B1/2PQBPPP/R4RK1 w - -,e2f3
r1bqkb1r/pppp2pp/2n2n2/4pp2/2P5/2NP2P1/PP2PP1P/R1BQKBNR w KQkq -,f1g2
rnbqk1nr/pp1p1ppp/4p3/2b5/8/2N5/PPP1PPPP/R1BQKBNR w KQkq -,c3e4
1rq2k2/3b3p/p5p1/3B1pB1/2Pp1p2/RP4P1/7P/4R1K1 b - -,f8g7
6k1/3qnpb1/2b1p1p1/P7/1Qp1P2p/2Pr1B2/6PP/1R2BN1K b - -,h4h3
5r2/5Pqk/1pn1PQp1/p1p3Pp/P1P1R2P/3P4/6K1/8 b - -,c6e7
r1bq3r/3n1k2/1pp2b1p/p1p1pp2/N7/P1QP1N1P/1PPB1PP1/R3R1K1 b - -,h8e8
3r2k1/p5pp/2n5/1q3p2/2p1p1nP/2B3PB/PPQ1PP2/3R2K1 b - -,e4e3
r1b2rk1/pp2pp1p/7b/6p1/B1PP4/3n2BP/P3NPP1/R3R1K1 w - -,e1b1
rnbq1rk1/ppp1b1pp/3ppn2/5p2/3P1B2/3BPN1P/PPP2PP1/RN1Q1RK1 b - -,b7b6
1nq3k1/1p3pp1/1B2n2p/P1pBP1bP/2P2r2/P7/5QPN/5RK1 w - -,f2e1
8/8/8/3p1kp1/3P4/b2N3b/5K2/8 w - -,f2e3
r2q1rk1/4bppp/p2p1n2/1pp2P2/3n1B2/2N2P2/PPPQ2PP/1K1R1B1R w - -,g2g4
4r1k1/1q4bp/p2p2p1/Qp1Pnp2/P1r5/2B4P/1PP3P1/3BRR1K w - -,b2b3
5nk1/q3bp2/1pp3p1/3pPpPp/1PbP1P2/2PNB3/4Q2P/2N3K1 w - -,e2d2
3r2k1/4pr1p/p5bB/2pP1pQ1/Pq6/5B1P/6P1/3R3K b - -,d8d6
2r2rk1/pb2qppp/1ppbpn2/8/2PP4/1P3N2/PBQ1BPPP/R2R2K1 w - -,d1e1
r2qkbnr/1p1n1ppp/p1p1p3/7b/3PN3/P4N1P/1PP1BPP1/R1BQ1RK1 b kq -,g8f6
8/p3k2p/1p1rppp1/8/1PP1KP2/6P1/P1R4P/8 b - f3,e7d7
r3k2r/1p2qpp1/1npb2p1/p2N4/P2PpP2/4P1P1/1P1B3P/R2QRBK1 b kq -,b6d5
4r1k1/1pBbq1p1/pP5p/3Pn3/8/5BPP/2Q2P1K/5R2 w - -,f3g2
r1bq1r1k/4b1pp/pnp1p3/2ppPp2/2P5/1P1P1N1P/P3QPP1/RNB1R1K1 w - f6,e5f6
rq3rk1/4b1p1/2p1bpn1/p1p5/2PpPN1P/1PN1BP2/P2Q2P1/R3K2R w KQ -,f4g6
8/3kb3/R7/2p1B3/P1K1P2p/4r3/7P/8 b - -,e3e4
r1bq1rk1/p1p3pp/2pbpn2/3p4/3P4/3N1N2/PPP2PPP/R1BQK2R b KQ -,f6e4
2b1r1k1/p3q2p/2p1p3/2N3p1/2Bb1r2/1P2Q3/P5PP/3RR1K1 w - -,d1d4
3r1rk1/2q1bppp/p2pbn2/1pp5/4PP2/1PN3PP/PBP2QB1/R2R2K1 w - b6,f4f5
2b5/4k3/4B3/2N1K3/5P2/1P2n1P1/8/8 b - -,c8e6
2k2Q2/1p6/8/2P2p2/1K4p1/6q1/8/8 b - -,c8c7
6k1/5p2/1B1p2p1/3B1nPp/1P3P2/p2R3K/Pbr1r2P/1R6 w - -,b1h1
7r/pp4p1/2p4p/4Pk2/Pb3P1P/3rPK2/1P3N2/1Rn4R w - -,b1c1
8/kr6/4p3/5p2/6p1/8/8/R5K1 b - -,a7b8
rr4k1/p1qbbppp/2p1p3/2PP4/Q4N2/6P1/P4PBP/2RR2K1 b - -,e6d5
2k2r1r/pp6/3p2B1/2pPb1N1/7q/4B1p1/PP1Q4/1K4R1 b - -,f8f2
8/8/8/pp6/4k3/1PPrp3/P1R1K3/8 w - -,c3c4
6k1/1p1r2b1/1B5p/3pn1p1/4p1b1/r3P1PN/5PBP/1RR3K1 w - -,c1c7
2b2r2/1p4bk/2p2r1p/1P1pN1p1/P2PpP2/2N1P1PP/7K/2R2R2 b - -,h6h5
5rk1/2p3p1/3p3p/P2P4/4r3/R7/KP2p3/4R3 w - -,a2b3
8/p6p/1p3k2/1P2pP2/P1n3p1/1N3PP1/6P1/6K1 b - -,f6f5
5rk1/1q4b1/p2p1p1p/6n1/Pp2P3/1P2R3/1B2Q1PP/5R1K b - -,g8h8
r1b1k2r/ppp2ppp/2nb3n/3p4/3P2P1/5N1P/PPP1KPB1/RNB4R w kq -,b1c3
3N4/2pR4/1b3k2/8/1P2r3/2K5/8/8 b - -,e4e1
r1b2rk1/p3ppbp/2p3p1/3pP1B1/3P4/2q2N2/P4PPP/R2QR1K1 w - -,a1c1
8/8/6k1/5R2/5Kp1/7p/8/8 w - -,f4g4
2r1k2r/p4ppp/2b1p3/1p1pP3/3Q1Pq1/8/PPP4P/R1B2R1K w k -,c1e3
3r4/7k/8/1Q3p2/4p3/4PnP1/1P2KP1P/7q w - -,b5f5
r1b1k2r/pp2qppp/1np2n2/3p4/3P4/2NBP2P/PPQ1NPP1/2KR3R b kq -,c8e6
8/8/Pk6/4p3/4P1KP/8/1p2nP2/1N6 w - -,h4h5
n1r2k2/rp3ppp/3p1n2/3Pp3/bP6/1B3P2/2P1N1PP/R2R2K1 w - -,a1a4
r5k1/ppp2rb1/2n3pp/4pb2/2P5/4BNP1/PP3PBP/2R2RK1 b - -,f5e4
1rbq1rk1/1p1nbppp/p3pn2/8/3NP3/1P4P1/PBQ2PBP/RN1R2K1 b - -,d8a5
r2qkb1r/pp2pppp/2n2n2/3p1b2/2PP4/5N1P/PP3PP1/RNBQKB1R w KQkq -,a2a3
4r3/1b4bk/6pp/2BN4/2P1p2n/7P/4NPP1/1R4K1 b - -,b7d5
1r3rk1/pb3pbp/1pn1p1p1/1N1q1n2/1P2P3/P2Q1NP1/5PBP/1RBR2K1 b - -,d5d3
2R2R2/pp6/6k1/3p2p1/8/BKP1q3/8/2b5 b - -,e3b6
8/4pp1p/5k2/6p1/1R2P3/r4P2/6PP/2K5 b - -,a3a1
3r4/3r4/5bk1/1p2p1p1/p1np2N1/P1P1P3/1P2R1K1/2NR4 w - -,c3d4
4r1k1/8/3q2p1/2pP1pQ1/p6R/7P/6P1/7K w - -,h1g1
r1bq1rk1/pp3pbp/2n3p1/3Pp3/8/2N1PN2/PP3PPP/R2QKB1R b KQ -,e5e4
8/p6p/4k1p1/1pp4n/1P2B1K1/2P2PP1/P7/8 b - -,h5f6
r2q1rk1/ppp2ppp/3p1bb1/1B1PnN2/3B2PP/2P2Q2/P1P2P2/R3K2R w KQ -,f3g3
r4rk1/ppq3p1/2n1p1p1/3p1P2/2PPnb2/1P3N1P/PB1NQP2/3R1RK1 b - -,g6f5
Q1R5/6k1/3p4/3Pb3/8/2p1K3/r7/8 b - -,a2a8
1r1q1r2/5pkp/pPBp1Np1/2nPn3/6P1/8/PP2QR1P/5R1K w - -,b6b7
2R5/6k1/7p/6qP/4B3/6P1/5PK1/8 w - -,c8c7
8/8/r3pk2/1p2bp2/8/1P2K1P1/P1R1NP2/8 b - -,e5b8
r1b2rk1/pp1n2pp/1qn1pp2/3pP3/1b1P1P2/3B1NP1/PP4KP/R1BQ2NR b - -,g8h8:f6e5:g7g5:b4e7:a7a5
2r5/p7/5R1R/4p3/2P1k3/r1K5/5P1P/8 w - -,c3b4
8/2K1k3/7p/1P5B/6P1/4b3/8/8 b - -,e3f4
1r2r1k1/Rp3ppp/1Np2nn1/1PPp4/Q2Pp1q1/4P3/3N1PPP/5RK1 w - -,a4d1
2N5/8/7k/2p2ppP/p2r4/P4K1P/1P6/8 b - -,h6h5
r1b1rbk1/1p3pp1/n1pp1n1p/p3q3/P1PNP3/1PN1BQPP/3R1PB1/1R4K1 b - -,a6c5
4r3/3b3R/p2k4/1p3p2/1P2P3/3B4/PKP4P/8 b - -,f5e4
rn1q1r2/p3ppkp/6p1/2p5/8/3B1b1P/PPPQ1PP1/2KR3R w - -,d2c3
r4k2/pp2r1bQ/8/3p2N1/1P6/P1PB4/5P1P/qN1K4 w - -,h7f5
4r1k1/pb3rp1/1pp1pn2/q6p/2P2P2/1P2R1PP/P3Q1B1/1RB3K1 b - -,a5f5
3nk2r/4bp2/2bp4/p1q1pQNp/1p5P/3B4/PP1B2P1/5R1K w - -,g5e4
r3k2r/4np1p/p3p2b/2ppP3/8/2PP2B1/P2N1P1P/1R2K2R b Kkq -,e8g8
8/8/8/5p2/5k2/1R6/r7/5K2 w - -,b3c3
5rk1/1b1n1r2/3q2p1/pBnpp3/Pp5p/1P2PP2/1B4PP/R2Q1RNK b - -,d7f6
r5k1/1p3p1p/p1p1r3/3ppnB1/R7/1PPP4/2P2PPP/4R1K1 w - -,g2g4
8/4k3/1R3p1p/1p4p1/3R2P1/1q2P3/5PKP/8 b - -,b3b1
r4k2/pp3p1p/2n5/2Pp1b2/1P6/P4NP1/4PP1P/R3KB1n b Q -,f5g4
r2qkbnr/p1n2ppp/1pp1p3/3pP3/3P1P2/2P5/PP4PP/RNBQK1NR w KQkq -,g1f3
4rbk1/5pp1/2p4p/p1pn1P2/3p4/qP1Q2BP/P1P2PP1/2NR2K1 b - -,a3b2
3r2k1/pq1r1pp1/7p/3np3/PpRP4/1P1Q2PP/3B1P2/2R3K1 w - -,d3e4
2rr2k1/p4p1p/5p2/3p1b2/3R4/1P2P1P1/q1pQ1PBP/2R3K1 w - -,e3e4
4r1k1/3q3p/p2p2pB/3Pp3/4P1bP/6Q1/P5PK/5R2 w - -,f1f6
2bqr1k1/1pp1ppbp/1n4p1/r7/2nP1P2/PQN1PNP1/P4RBP/1RB3K1 b - -,c7c5
4r3/1p2r1qk/p1b1pppp/P1Pp4/3P1P1P/2P1QN2/5RPK/6R1 w - -,g2g4
3r2k1/3bR2p/6p1/8/p6q/5P2/PP2Q1P1/2r2NK1 b - -,c1f1
8/3k4/R7/1p6/n1p1p3/2P1P3/2K5/8 b - -,d7c7
8/2r1p3/1p1p1kp1/p1r4p/P1PKBPb1/1P2R1P1/7P/4R3 w - -,e4d5
r1q2rk1/3nbppp/bpp1pn2/p1Pp4/1P1P1B2/P1NBPN1P/5PP1/1R1Q1RK1 b - -,c8b7
1kr5/3q4/1p4p1/p2nPpBp/3P4/1Q6/2P2PP1/R3K3 w Q -,a1a5
r1bq1rk1/ppp2ppp/1N1p1nn1/1B2p3/4P3/2PP1N1P/PP3PP1/R1BQ1RK1 b - -,a7b6
r6k/6bp/2bN1np1/q1P1p3/n1Q1P3/4B1NP/1r3PB1/2R2K1R b - -,h7h6
2r1r1k1/1b2pp1p/pp1p1np1/2qPn3/P1PN4/1PN5/4BPPP/2RQR1K1 w - -,d1d2
4Rb1r/2k2P2/8/5K2/8/5N2/8/8 b - -,c7d6
r2r2k1/1p3pp1/p3Nn1p/2q5/8/1P1R3P/P3QPP1/3R2K1 b - -,d8e8
r1bqk1nr/p4pbp/2p1p1p1/3p4/3PP3/5N2/PP3PPP/RNBQ1RK1 w kq d6,e4e5
3r1b2/5k2/5pp1/pp1N3p/b1P1P2P/6P1/1B1N1P2/6K1 b - -,f8b4
5bk1/1bq3p1/p2pNn2/1p6/2n1Pp2/P1NQ4/1PP5/R1B1K3 b Q -,c7e7
4r1k1/2Q2ppp/1p1n1q2/1P6/8/4PP2/6PP/2B1R1K1 b - -,d6b5
rnbqkb1r/pp1ppp1p/5np1/2p5/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq c6,g2g3
r1r4k/pp1qp1bp/2npb3/3B4/2P1NRP1/1P2B3/P2Q4/2R3K1 b - -,c6e5
7k/6b1/p7/1pNp3p/2b2p2/P3rP1B/1P4PP/2R4K b - -,g7b2
1r4k1/3b1pp1/3p1n1p/qPrPp3/1RB1P3/PR1QPN1P/6P1/6K1 b - -,f6e8
r1bq1rk1/1ppn1pbp/3p2p1/p3p3/3PP3/1PNQ1N2/PBP2PPP/3RR1K1 w - e6,d4e5
1r1qr1k1/2pb1pbp/p2p2p1/3np2n/4P3/1BPP1N1P/P2B1PP1/R2QR1K1 w - -,b3d5
3r2k1/4p1bp/4p1p1/n7/8/2PB4/P3NPPP/5RK1 w - -,f1d1
3r1rk1/pbq1b1p1/3Bp2p/2p2p2/2P5/1P2Q1P1/P3PPBP/R2R2K1 b - -,d8d6
4r1k1/6bp/4q3/2p1p2P/2P3R1/p1BP2P1/4Q1K1/8 b - -,e6c6
2r3k1/3Q1pp1/b6p/8/5N2/5PP1/1r2PK2/8 w - -,d7a4
r4qk1/1b1pnrbp/p5p1/1p4B1/4N2Q/1P3N2/1P3PPP/3RR1K1 b - -,e7f5
r4r1k/bpp1nppp/p1np4/P3p3/1PBPP1q1/2P1RN2/5P2/RNBQ1K2 b - -,e5d4
6k1/R7/p4p2/5P2/5KPp/8/5r1P/8 w - -,f4e3
3R4/8/8/3b4/3k4/r7/5K2/8 b - -,a3f3
1rq1r1k1/5pp1/pn1bb2p/n1p1P3/1p3P2/1Pp2NP1/P1Q2BBP/R2R2K1 w - -,d1d6
2kbr3/1ppb1pp1/p4n1p/8/3B4/2N3PP/PPP2PB1/2K1R3 w - -,e1e8
8/1k6/p2br3/1p4B1/8/P1R1PKp1/8/8 b - -,e6g6
r6k/p5pp/8/6q1/8/3b1r2/PP1B1PP1/R4RK1 w - -,d2g5
6k1/p3rp2/3N2p1/3R4/3p1P2/1P1b4/P6P/6K1 b - -,e7e1
r2q1rk1/pp2ppbp/2n2n2/3p1p2/3P1B2/2P2N1P/PP3PP1/RN1QR1K1 b - -,f6e4
4r3/5pk1/3R3p/5PPP/5K2/8/8/8 b - -,h6g5
6k1/3nqpp1/2p1p2p/Rrp5/4N3/QP1P2P1/P3PP1P/6K1 b - -,b5a5
2kr3r/pp2bppp/4p3/3n4/1P6/P1P2BPP/3B1P2/R4RK1 b - -,d5b6
6k1/4bppp/1n3n2/1p2p3/1P5Q/4PqP1/1B3PNP/3N2K1 w - -,d1c3
r1b2rk1/pp3ppp/8/3pR3/6n1/PP1B4/2PN1PPP/R2Q2K1 b - -,g4e5
rnb1kb1r/pp2pppp/2p2n2/q7/2BP4/2N5/PPP1NPPP/R1BQK2R b KQkq -,b7b5:c8f5
2r3k1/p1rn1ppp/1p2p3/2p5/1P1P4/P3PN2/2R1KPPP/2R5 w - -,d4c5
r2q1rk1/pbpp2pp/np1bpn2/3P1p2/2P5/P1N2NP1/1P2PPBP/R1BQK2R w KQ -,b2b4
2r2rk1/p4ppp/bp3q2/8/P1P5/1PN1p1P1/1Q2PPBP/1R4K1 w - -,f2f4
2krrq2/pppn2pp/1b1pb3/5p2/3BPP2/2N3P1/PPP1Q1BP/2KRR3 w - -,e2f3
3rr3/1p1n2k1/2bp1pP1/p6p/1pP1P2P/1P1Nq1P1/P2R2BK/Q4R2 w - -,a1d1
r2q1rk1/pp2bp1p/2p2np1/3n1p2/3P4/2NQPN2/PP1B1PPP/3R1RK1 w - -,d3c4
8/8/p4pk1/1r5p/4PK1P/1R3P2/8/8 w - -,b3c3
