8/8/k3K2r/1R6/PP6/8/8/8 w - -,e6f7
8/5pk1/8/3qp2p/PQ5P/5PP1/6K1/8 b - -,d5a2
6k1/1p2br1p/4n3/q4p2/p4B2/4Q2P/PP3PP1/1K2R3 w - -,e3e6
r2q1rk1/pp2ppbp/1np2np1/8/3PP3/2N2bPP/PPQ2PB1/R1BR2K1 w - -,g2f3
8/2k5/1p5R/2p2KN1/3p4/2nP4/8/4r3 b - -,c7b7
8/1R2nkpp/5p2/8/1P1BK3/r7/6PP/8 b - -,f7e6
2krr3/ppp2p2/1b1p3p/6p1/1P3q2/2PQN2P/P4PP1/R4RK1 w - -,e3d5
1k6/p1p5/1p6/6K1/5P2/8/6r1/5R2 w - -,g5f6
2r2rk1/ppq2pbp/3pPnp1/8/3B2PP/5P2/PPPQ3R/R3KB2 b Q -,f7e6
2r5/pp5p/5kp1/5p2/1Pp5/P4KP1/5P1P/3R4 b - -,b7b5
7r/4p3/3p4/3P1kr1/1pN5/1PbR4/4KP2/3R4 w - -,d3e3
2rq1rk1/1b1nbppp/pp2pn2/2ppN3/2PP4/1PN1P1P1/PB3PBP/R2Q1RK1 w - -,d1e2
r3k1r1/p1p4Q/1pnq4/3b1p2/4pP2/8/PPP1NPPP/2KR3R w q -,h7f5
8/3k2K1/1B4P1/P2n4/6r1/3R4/8/8 b - -,d7c6
5rk1/R4pbp/Bpn3p1/4P3/2bP4/4B3/4N1PP/6K1 w - -,a6c4
3r1r1k/pp4qp/4b3/2p2p2/2Pnp3/2N2P1P/PP2BQP1/3R1RK1 b - -,e4f3
2bqr1k1/2r2pb1/p2p1n2/2pPn2p/PpN1P1pP/1P2R1P1/1B3P2/QN2RBK1 b - -,e5f3
3q4/2p2kp1/p1p1bp1p/P1Q5/4P1PP/2N2PK1/8/8 w - -,c5c6
1r4k1/1p2Rp2/pPp2rpp/R7/4b3/P3K3/6PP/8 w - -,e3e4
8/5b2/3k4/8/1Kp2P1p/8/8/5B2 w - -,f1g2
3r1rk1/R4pp1/4p2p/1q6/8/4Q1P1/P4P1P/5RK1 w - -,a7a3
r2n2k1/pp2q2p/3p2p1/3P1rP1/5p1P/P1Q2P2/1P2BK2/3R2R1 w - -,g1e1
rn1qk1nr/5ppp/2p1p3/1p2Pb2/p2P4/PQP5/4BPPP/R1B1K1NR w KQkq -,b3d1
7r/pQ1nk3/3p2B1/2pP4/2P5/4P2P/PPK5/5r2 b - -,f1f2
r4rk1/p4ppp/1pbp1q2/2p1p3/P3P1B1/1PPPQ1P1/5P1P/1R2R1K1 w - -,h2h4
rnb1k2r/pp3ppp/5n2/2p1q3/1b2p3/2NPP1P1/PPNB1P1P/R2QKB1R b KQkq -,c8g4
r2r2k1/1pp3p1/1p3nBp/1P2R3/4P3/P2p4/2PBb1P1/R5K1 w - -,a3a4
1Q6/2p5/5nq1/2P4k/3P4/P3P3/1K1B3P/8 b - -,g6g2
r3k2r/pp1b1pbp/4p3/q2pP1p1/2p2P2/2P1P1P1/PP2B1P1/RN1QK2R w KQkq -,e1f2
5r1k/7p/B2R4/8/5n2/2r1p3/P4p1P/K4R2 b - -,e3e2
r1bq1rk1/p4ppp/1ppb1n2/3pB3/3P4/P1N3P1/1PP2PBP/R2Q1RK1 w - -,d1f3
2r1q3/2P3pk/4r3/4p3/2Q1p2p/B3P1nP/5RP1/3R2K1 w - -,f2f8
r3k2r/ppp2pp1/2npb2p/8/4PP1q/2N1Q1P1/PPP1B2P/R3K2R b KQkq -,h4d8
r1bq1rk1/5ppp/p2p1b2/1p2np2/4P3/P1NBB2Q/1PP3PP/R4RK1 w - -,e4f5
r1q4k/2p3pp/6n1/P2P1nP1/1BQ2p2/5N1P/5PB1/6K1 w - -,b4c3
8/2K2p2/p7/6k1/3R4/7p/8/8 w - -,d4d3
r1b2rk1/pp4q1/3bpp1p/3p1p2/3PnP1Q/P2B1N2/1PP1N1PP/1R3R1K w - -,b1d1
r2qk2r/p4ppp/bpn1p3/2p3N1/2PPp3/1P4P1/P2Q1PBP/R3K2R w KQkq -,d4c5
3r2k1/1p1r1p2/p1p1q1pp/P1Pn1N2/6Q1/4P1P1/5PKP/R2R4 w - -,e3e4
8/6p1/7p/5pk1/8/2r5/2PR1KPP/8 w - -,d2e2
3r4/5kp1/p4p1p/4p3/R1N4P/P1r1B1P1/5PK1/8 w - -,a4b4
r1b2rk1/4ppbp/1qp2np1/p2p4/3P4/1P6/PBPNBPPP/R2Q1RK1 w - a6,a2a4
5r2/1p3pbk/p3p1pp/4P3/3n1B1P/8/PPB1RPP1/6K1 w - -,e2d2
8/8/1N3p2/p7/3k2b1/KP6/5q2/2Q5 b - -,d4e4
8/7p/4N3/6p1/4K1k1/8/8/8 b - -,h7h6
8/R7/1p2pk1p/2r5/4P3/1P6/6PP/6K1 b - -,c5c3
4r2k/6p1/2p2p2/2Pqr2p/1P3Q2/2R3PP/8/5RK1 w - -,c3c2
3rr1k1/4b1pp/pq4b1/1p1p2P1/2pPpP2/P1N1PB2/1P5P/2RQR1K1 w - -,f3g4
r1b5/1p4bk/3p2np/1P2p3/1BB1P2P/P2P2p1/1Q4Nq/1R3K2 b - -,h2h1
6R1/8/p5k1/3pp3/5p1P/r5PK/8/8 b - -,g6f7
r1q1r1k1/1ppb1pp1/2np1n1p/p1b1p3/2P5/PPNPPNP1/1B3PBP/R2Q1RK1 w - -,a1c1
r3kb1r/pp1n1pp1/2p1pn2/3p2p1/2PP4/1qN1P3/PP1BBPPP/2KR3R w kq -,a2b3
r2qkb1r/1p1n1pp1/p2pbn2/4p2p/P3P3/1NN1BP2/1PP1B1PP/R2QK2R b KQkq a3,a8c8
8/8/3R1N2/1K2p1p1/4P1Pk/8/8/2r5 b - -,h4g3
4R3/8/3b4/7p/8/3kp3/6PK/8 w - -,h2h3
4rrk1/pp1n2pb/1qn1pp1B/3p3P/2pP4/2P1P3/PP1NBP2/R1Q1K1R1 b Q -,f8f7
r5k1/4n1bp/3rPn2/1Bp1pp2/N1P5/6P1/P4P1P/1R3RK1 b - -,f6e4
5r1k/1p3r2/p1n1p1pP/2PpP1R1/3P1q2/2B3Q1/4B1K1/8 b - -,f4f2
8/1n3p2/2k1pP2/2p1P1b1/1pP5/1P1N1K2/5B2/8 b - -,g5h6
r1bqk1nr/ppp2ppp/2np4/1B6/1b1PPp2/2N2N2/PPP3PP/R1BQK2R b KQkq d3,a7a6
r1bqk2r/pp2ppb1/2np1np1/2p4p/2P1P2P/2N3P1/PP1PNPB1/R1BQ1RK1 b kq h3,c8g4
8/3b2k1/2n1R3/4p1pp/3pP3/B2P2P1/5K1P/8 w - -,e6d6
5K2/8/5P1k/8/7p/8/8/8 w - -,f6f7
r2r2k1/4bppp/p5q1/1p1p3b/3N2P1/PQ2B2P/1P2BP2/3R2K1 b - g3,e7g5
1r1q2k1/1n2pp1p/p6b/np1PP1P1/8/P1Q2BPP/NP3B2/2R3K1 b - -,h6g5
r1b2nk1/pp1r1pbp/2n3p1/2P1p3/2B1N3/1PN1B3/P4PPP/2R1K2R b K -,c6d4
2r1r1k1/1p3pbp/p1b2np1/8/2nBP3/2N3P1/P3NPBP/3R1RK1 w - -,f2f3
r7/P3k3/RR1b2p1/4p3/8/4P2P/3r3P/6K1 w - -,g1f1
2r1k3/3p2p1/8/1p3p2/1N1Q1P2/P4rq1/1PP5/3RK3 w - -,e1d2
rnb1kbnr/2qp1ppp/p3p3/1p6/3NP3/2N5/PPP1BPPP/R1BQ1RK1 b kq -,c8b7:f8e7
r1b2k1r/ppp3b1/3p3p/3Ppn2/2P1N2q/3Q3B/PP2NP1P/R3K2R b KQ -,h4h5
rn1qk2r/pp2bppp/4pn2/3b4/P1NP1B2/5N2/1P2BPPP/R2Q1RK1 b kq -,b8c6
4r1k1/5pp1/1Pq4r/5P1P/4p1B1/4Q3/7P/1R5K b - -,e8b8
r2qkb1r/1p1npppp/2p2n2/p7/P1N3b1/3P1NP1/1P2PPBP/R1BQK2R b KQkq -,e7e6
2r3k1/p2n1pb1/1p4pp/4p3/P2PP3/3K1N2/3B1PPP/1R6 w - -,f3e5
8/2n2kp1/1p3p2/7p/P1K5/2N2P2/6PP/8 w - -,c3d5
4r1k1/ppq1r2p/2pn1np1/3p1pb1/N2P4/1P1BPPPP/P3RBK1/3QR3 b - -,c7c8
5rk1/5pb1/2PRp1pp/p7/1pq5/4Q1BP/PP3PP1/6K1 w - -,e3b6
r1bq1rk1/p2pnpbp/1pn1p1pB/2p5/4P2P/2NP2P1/PPPQ1PB1/R3K1NR b KQ h3,f7f6
r5k1/1p3ppp/pqN3n1/8/2P3P1/1P4NP/P4bB1/2Q1R1K1 w - -,g1h1
rn1qkbnr/pp1b1ppp/8/2ppP3/3P2P1/2N2N2/PP3P1P/R1BQKB1R b KQkq -,b8c6
7k/7p/3b2p1/3B4/6PP/2r1P3/5K2/5R2 b - g3,d6c5
r1bq1rk1/ppp2ppp/2p5/8/3QP3/4B1P1/PPP2PP1/R4RK1 b - -,d8d4
1krrb3/1pq2ppp/p2bpn2/4N3/5B2/1BP4P/PP2QPP1/3RR1K1 b - -,b8a8
8/p3k1pp/4np2/2p5/2R4P/P3P1B1/5PPK/3r4 w - -,c4a4
2rq1rk1/1p2bb1p/4ppp1/p2p4/1PnP4/PQN1P1B1/5PPP/2RR1BK1 b - -,d8d7
2r3k1/1b3pp1/1q6/3pP3/ppr5/1R3N1P/PP1Q1PP1/5RK1 w - -,b3d3
r2q1rk1/p2bbppp/3ppn2/1p6/3BP3/1BN2P2/PPPQ2PP/R3K2R w KQ b6,a2a3
3r4/5ppk/B2P4/pp3P1p/2pR2P1/2Pbp2P/PP6/4K3 b - -,h5g4
r1bq1rk1/pp2ppbp/6p1/3pN3/3PB3/1QB3P1/PP2PP1P/R4RK1 b - -,d5e4
r4rk1/pbp1qpbp/1p2p3/4P1p1/2P1p3/6P1/PPQ1PPBP/2BR1RK1 b - -,g7e5
1N4k1/5pp1/p2p3p/1p1P1b2/P1p5/2P2N1P/1r3bP1/R6K w - -,a4b5
8/3b1r1k/R7/1p2p3/3b1P2/P2p2N1/5P2/2B3K1 w - -,g3e4
1r5k/p1q1p1bp/3p2p1/3P2PB/1p6/4B1r1/PPPQ4/1K1R3R b - -,c7c3
2r4k/1p1b3p/5n2/p5p1/5q2/2p3N1/P1Q2PPP/1B2R1K1 b - -,d7a4
1r2r1k1/1p3pb1/p1bNp1p1/n3P3/2P1NPBq/4R3/PP4K1/2RQ4 b - -,b8d8
r2q1rk1/pp1bnpbp/3pp1p1/2p5/2PnPPP1/2NP4/PP2N1BP/R1BQ1R1K b - -,d7c6
3r1rk1/pp1nppbp/2p3p1/3n3q/P1NPb2P/1PQ2NP1/1B2PPB1/R3R1K1 w - -,c3a5
8/8/3P4/b2kPK2/P7/8/4B3/8 w - -,e2f3
6k1/1p2p1r1/p2ppn2/2r4p/4P2R/2P1NP2/1P3KP1/3R4 b - -,a6a5
r2qk2r/ppp2ppp/2nbp3/3n2P1/2B5/2P2N2/PP1P1PP1/R1BQK2R w KQkq -,c4d5
r1brn3/pp2k1pp/4pp2/8/2Np4/3R1B2/PPP2PPP/2KR4 w - -,d3d4
1rbq1rk1/5p1p/p2p1npb/n1pP4/2P2P2/8/PBQNP1BP/R2N1RK1 b - -,f8e8
8/5k2/1R1P2pp/2p5/1pP2P1P/r4P2/1K6/n7 w - -,h4h5
2rq1rk1/1p1nbppp/p3p1b1/P1PpPn2/5B2/1NP2N1P/1P2BPP1/R2Q1RK1 b - -,d7c5
r3r3/1p3pk1/p1p1qnp1/3p3p/PP1P3P/3QP1P1/1R1N1PK1/2R5 w - -,d2f3
8/5pk1/R2p3p/P2P4/3bn2N/6P1/5r2/5BK1 w - -,f1g2
r1b1kn1r/1p2q2p/2p1pbp1/p2p1p2/2PP4/1QN1PNPR/PP2BPP1/2K4R b kq -,e8f7
R7/8/1k6/1p6/p3K3/3r4/8/8 b - -,d3d7
8/5p2/p2r2p1/1p1k3p/7P/1R1K2P1/P4P2/8 b - -,d5c5
5rk1/p4p2/1pp1b1p1/4b1qp/1PP1Pp2/5Q1P/P3NPP1/1BRr2K1 w - -,c1d1
8/2p2b2/2k2P2/6R1/3p4/3B4/P6r/4K3 b - -,h2h6
r4k1r/3bqppp/2nNp3/2QnPP2/8/1N6/PPP3PP/2KR3R b - -,c6e5
1r3r1k/1p2p1q1/p1p1Pn1p/4Q1p1/1P1R4/PB3PP1/3R2KP/8 b - -,b8c8
r1br2k1/ppp2pb1/6pp/2pN4/2P1P3/5n1P/PP3PP1/R1B1R1K1 w - -,g2f3
2br1rk1/p1q1nppp/Ppn5/4p3/2N5/1QP1B1P1/4PPBP/R4RK1 w - -,b3b5
r3r1k1/4qppp/p1p1bn2/1p2R3/2PB4/PQN4P/1P3PP1/R5K1 w - -,b3c2
2r3k1/1q3p1p/5np1/8/3Q1P2/2N5/PP4PP/3R2K1 b - -,f6g4
8/5pp1/1p2p3/2bnPk1p/7P/2PN2P1/r2BKP2/2R5 w - -,e2e1
r3k1nr/1bqp3p/p1n1p1p1/2b1Pp2/Pp6/3B1N2/1PPN1PPP/R1BQR1K1 b kq -,c6a5
6k1/7p/pN2p1p1/3p4/1P1R4/P4rP1/3R1PKP/4q3 b - -,f3a3
r1b2r1k/3p1ppp/2n3q1/1p2p3/p3P3/P2QBP2/BPP3PP/R4RK1 b - -,b5b4
3qk3/5p1p/p1b1p1pP/1pp1P3/4PP2/2PQ2P1/P4K2/5B2 b - -,d8d3
2r2bk1/6p1/p1pp1n2/P2PpNq1/6Pp/7P/4Q3/1R1R2K1 b - -,c6d5
8/5pk1/1p1b2pp/p2B4/2P1K3/1P5P/5PP1/8 w - -,d5c6
r2r2k1/5pb1/3p1np1/3P1b1p/1pNR1B2/5BP1/PP3P1P/R5K1 b - -,b4b3
8/7p/3pkp2/2r1pp2/Rp6/P3P1P1/1K3P1P/8 w - -,a4b4
8/8/2k5/p5R1/P1r4B/5K2/8/8 w - -,h4e1
8/4kp2/R4np1/7p/4PK1P/6P1/8/8 w - -,e4e5
1r3rk1/p3b1p1/2p1p2p/2npPb2/q1nN4/2Q2NP1/P4PBP/R1R1B2K w - -,d4f5
rqb5/pp5k/1n1b1rp1/1B1pn3/3N3B/P7/1P3PPP/2RQ1RK1 w - -,h4f6
8/6p1/p2k1p1p/2nq4/5PP1/2R2N1K/3Pr2P/6Q1 w - -,f3d4
q4rk1/1bp2p1p/1n4p1/4P3/3Np3/6QP/1PB3P1/1NB3K1 w - -,c1h6
8/pp6/3pknQ1/4q3/b7/6p1/1PP1N3/1K3R2 w - -,e2g3
8/pp1b4/2p5/3p1pk1/3P4/P3PPK1/1P6/5B2 b - -,d7e8
8/p1N2R1k/3pn1p1/6P1/2b1P2p/4BKbP/P5B1/3r4 b - -,h7g8
2b3r1/1p2n2k/6rP/2p1ppP1/1PP5/3P1B2/3KP3/1R4R1 b - -,c5b4
1n1qkb1r/rp2pppp/p1p1b3/2Pp4/3Pn2N/1QN1P2P/PP3PP1/R1B1KB1R w KQk -,f1d3
r1nq1rk1/1p1b1pp1/pp1p3p/4p3/P1B1n2N/1QPPB2P/1P3PP1/R4RK1 w - -,h4g6
r3k2r/p1n1bppp/4p3/1pppP3/3P2P1/P1P1PN2/1P1N1R1P/5RK1 b kq -,a7a5
rnb2rk1/ppq1bppp/4pn2/2p1N3/8/1P1B4/PBPP1PPP/RN1Q1RK1 w - -,b1a3
3rr1k1/2p2p2/5P2/p2N3p/1nP3pP/4p3/1P2R3/1K1R4 w - -,e2e3
r1b2rk1/pp2pp1p/2q3p1/2n5/2B5/Q1P1PN2/P4PPP/R4RK1 b - -,c6c7
4rb1k/1b3qp1/p2rP2R/1p6/2p4Q/8/P5PP/1BBR3K b - -,g7h6
1rb1nrk1/p4p1p/1p3Pp1/2pP4/2P5/B2B4/P5PP/R4RK1 b - -,e8d6
3rr1k1/1pq3p1/p3b2p/2P1pp2/1P6/P7/1QB2PPP/3RR1K1 b - -,e5e4
3r4/p7/1bp1ppp1/3r3p/2pP1P1P/PkP1B1P1/1PRR4/2K5 w - -,d2d1
1k1r4/pp3pbp/2p5/PnN3pP/R2P4/4r3/1P2N1P1/5RK1 w - -,f1f7
rnbq1rk1/pp3pbp/2p1pnp1/3p2B1/2PP4/1QN1PN2/PP3PPP/R3KB1R w KQ -,f1e2:a1c1
r2qk2r/1b1nbp1p/p3p1p1/1p1pP3/3N1P2/2NP3Q/PP1B2PP/2R2R1K w kq -,f4f5
8/5k2/4p2p/4K1pP/P7/4P3/5r2/6R1 b - -,f2a2
rnbq1rk1/1pp1ppbp/3p1np1/p2P4/2P1P3/2NB1N2/PP3PPP/R1BQ1RK1 b - -,b8a6
8/5Rpk/3Pp2p/1p2r3/6KP/8/8/8 b - -,e5d5
r3k2r/pp1q1ppp/1nnbp3/2P5/8/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d6c5
2k5/8/2p5/2K1P3/5N2/4N2p/6pr/8 w - -,f4h3
3r4/ppnq1pk1/6p1/2RPp2p/4PPnP/2Q4N/P3N1PK/8 w - -,h2g3
2r2rk1/5pb1/p2q2p1/1p1np3/3p2Pp/1P1P3P/PBP2RB1/4RQ1K w - -,g2d5
1q1r2k1/1r2bpp1/2bp1n1p/p3p3/2P1P3/BP1QN3/R2N1PPP/R5K1 w - -,h2h4
r1bqr1k1/pp1n2bp/2p3p1/5p1n/2P1p1N1/1PN3PP/P1Q1PPB1/R1B2RK1 w - f6,g4h6
8/5pp1/5k1p/1p1R4/1R4P1/n1r2PK1/7P/8 b - -,f6e6
r4qk1/6bp/p2p2p1/2pR2B1/bp6/1P3N2/P1Q2PPP/6K1 b - -,a4c6
8/5pk1/3qp1p1/8/3PP1P1/4QP2/6K1/8 w - -,f3f4
8/7K/8/5Q2/7q/7P/k7/8 w - -,h7g6
r4rk1/p4ppp/1pb1pq2/8/Q1Pb4/6B1/PP3PPP/3R1RK1 w - -,a4c6
r3rb2/3q2kp/2p1p1p1/np3p2/pN1P1PB1/PbP1BQ2/1P3RPP/4R1K1 w - -,g4h3
r3rbk1/1bqn1p1p/ppnpp1pQ/6P1/P3PP2/1NN1BR2/1PP3BP/R5K1 w - -,h6h4
r2qrbk1/pppBnpp1/3p1n1p/4p3/4P3/2PP1NN1/PP3PPP/R1BQR1K1 b - -,d8d7
8/6p1/1q1kpp2/6p1/8/3r2PP/2R3QK/8 b - -,f6f5
N4rk1/3n1pbp/4p1p1/3pP3/p7/P4b1P/1PP2PP1/R1B1R1K1 b - -,f3e4
3q4/7p/1p1k4/8/3b2R1/1P4PK/b5B1/8 w - -,g4d4
3R4/b4k2/p7/P2R4/4r1p1/8/5r2/3K4 b - -,g4g3
r3kr2/4pp2/p2p1np1/q7/P2Pn3/5N1Q/4NPPP/R4K1R b q -,g6g5
8/3r4/r1ppkpp1/1p5p/1P1RPK1P/3R2P1/2P2P2/8 w - -,d3c3
2r2k2/5p2/R3p1p1/4Pn1p/2p5/7P/PP3RPK/8 b - -,h5h4
8/7R/2k2KB1/8/1p1n4/4r3/8/8 w - -,h7h8
rn1qk2r/1ppbn1b1/p2p2pp/3Ppp2/B1P1P3/4B3/PP1N1PPP/RN1Q1RK1 w kq f6,f2f3
2q1nrk1/2p1p2p/3pP1pb/nr1P1p2/Np6/1P1Q2P1/PBR2PBP/4R1K1 b - -,c8b7
2r1r3/3qb1kp/pp4p1/2p2p1P/P2p4/1P1P1QP1/2PNRPK1/4R3 b - -,b6b5
1k1r3r/pbpn1p2/1p1pp3/6qp/2PP4/P1NBPPP1/1P3Q2/2K2R1R b - -,f7f5
3r3k/p5qp/2p3p1/5p1n/P4P2/4Q3/1P2NP1P/5RK1 b - -,g7b2
r2q1rk1/np1bppbp/p2p1np1/8/2P1P3/2N1QN1P/PP2BPP1/1RBR2K1 b - -,b7b5
7k/pp5n/4q2P/8/8/P1P1p3/1P6/K4Q2 w - -,f1f4
rn1qkbnr/pbpppppp/8/8/Pp1P4/5N2/1PPNPPPP/R1BQKB1R b KQkq -,g8f6
6k1/1pp4p/p5p1/4PP2/2P1K1P1/7P/1P1r4/R7 b - -,g6f5
8/4npk1/1r6/6P1/5B2/5B2/5PK1/8 w - -,f4e5
6k1/5p2/6pp/2n5/3rp1P1/4N2K/P3R1P1/8 b - -,g8g7
r4rk1/1pq2ppp/p3bn2/8/1P1nP3/2NB1P2/1PPQ2PP/R3R1K1 b - -,f8d8
2rr2k1/p3qpbp/1pb1pnp1/n1p5/2PPP3/B1N2NP1/P3QPBP/1R1R2K1 w - -,e4e5
r1bq1rk1/pp2n1bp/2n1p1p1/2pp1p2/4PP2/2NP1N2/PPP3PP/R1BBQR1K b - -,a7a6
3q1rk1/2r3pp/b1p2n2/1p1pN3/pPnP2P1/P2NP1Q1/5PBP/R1R3K1 b - -,a6c8
rn2k2r/ppq2ppp/2p2n2/5p2/3P4/5Nb1/PPPB1PPP/R2Q1RK1 w kq -,f1e1
r2qr1k1/6pp/p2p4/2nP1p2/2R2P2/5B2/1PP3QP/5RK1 b - -,a6a5
8/1q3pkp/4p1p1/1pQ5/1P1P1n2/5N1P/5PP1/6K1 w - -,c5e5
4rbk1/5p1p/6p1/p7/1p1P3q/2P1PB2/P1QB2PP/4N1K1 b - -,b4c3
6k1/2p1rppp/8/1p2p3/bR6/4P1P1/5PKP/2R5 b - -,f7f6
rn1qk2r/pbp2ppp/1p2pn2/3p4/2PP4/P1P1PP2/4N1PP/R1BQKB1R w KQkq -,c4d5
6k1/pp3p1p/r3p1p1/3nP3/2q1N3/5Q1P/PP3PPK/4R3 w - -,e1d1
r2q1rk1/p2n1ppp/1p3b2/3b4/8/PQ3N2/1P2PPPP/3RKB1R w K -,d1d5
1k6/1p6/p7/5N1P/P4Kp1/2P5/1P2r3/8 b - -,e2b2
8/8/5p2/4pP2/2Pk4/1R1Pr1p1/6K1/8 b - -,e5e4
4nk2/5pp1/1pp2q1p/p1np1P2/P5P1/2PNQP1P/BP4K1/8 b - -,c5d3
6k1/5rp1/4p3/1p1pP2R/p3r3/P1P4P/1P4RK/8 w - -,g2g6
r5k1/1p3p2/6pp/1P2b3/2pN4/2qnQN1P/5PPK/4R3 w - -,f3e5
r2qrb2/p3nkp1/1p1p1p2/3Np3/2P1P2Q/8/PP1B1PP1/3RR1K1 w - -,d2b4
4r1k1/7p/6p1/1N2Pp2/5PP1/6KP/8/8 b - -,e8f8
7k/6p1/5n1p/P1B1R1p1/q2Pb3/8/3Q4/6K1 w - -,d2e1
8/5Rpp/3k4/1b2p3/3p4/5PP1/r6P/3K2R1 w - -,g1e1
r1qr2k1/pb1n1ppp/1pp1pn2/3p4/2PP1B2/bPN2NP1/P1Q1PPBP/2RR2K1 w - -,c1b1
r4rk1/4b2p/2qpb1p1/p5P1/3RP3/P3B3/1PPQ1P2/4R1K1 b - -,a5a4
7k/pb3n2/1p1n2q1/2p5/4PpPP/2P5/PP1NQ1B1/6K1 b - -,f7e5
r2q1rk1/1p2bppp/1p1pbn2/1Pp1p3/2B1P3/P2P2N1/2P2PPP/R1BQ1RK1 w - -,f2f4
1r2r1kb/2q2p1p/3p1Pp1/1bpPn1B1/pp2PR2/4N3/1P4B1/R1NQ3K b - -,c5c4
r2q1rk1/p3bppp/b1ppp1n1/4P3/3P4/BP3N2/P4PPP/RN1Q1RK1 w - -,f1e1
8/8/8/3R4/7P/3kp1p1/6K1/2r5 b - -,d3e4
8/1R6/3rp3/5p2/5P2/5P2/2p1K3/2k5 b - -,d6d2
b2rr1k1/B4ppp/4pq2/8/2P1p3/6P1/PPQ1PPBP/R5K1 b - -,f6e5
2rq1rk1/3bppB1/p2p2p1/1p2n2n/3NP2P/1BN2P2/PPPQ4/2KR3R b - -,g8g7
2r5/5pkp/3p2p1/3N4/3K2P1/5R1P/1r6/1Bn5 w - -,b1d3
2R5/8/7p/pk3ppP/3b4/6P1/6K1/2N1r3 w - -,c1d3
r2qrnk1/1b4bp/6p1/PN1p3n/1PpN1B2/6PB/2Q2P1P/1R1R2K1 w - -,f4c7
4r2r/p2n1kp1/5b1p/2ppp3/6P1/1P1P1N2/P2B1PKP/2R1R3 w - -,b3b4
