8/p2r2p1/2k4p/1R6/8/7P/5PP1/6K1 w - -,b5b8
5r1k/p1p3pp/2qp1bb1/2p5/5P1r/1P2B1N1/P1PQ2PP/4RRK1 w - -,c2c4
q3k2r/1b2bp2/pp1pp1n1/6P1/1PrNP3/2N1Q3/P4BKP/2R2R2 b k -,e6e5
r1q1r1k1/3n1pbp/p5p1/B1pR4/4n3/5NPP/PPQ2PB1/R5K1 b - -,a8b8
r3r1n1/pp2q2k/n1pb2pp/4p3/2P5/1N2B1P1/PPQ2PBP/R2R2K1 w - -,g2e4
2r5/6nk/Q3q2p/2ppp2P/2P1PpN1/2N2Pb1/PP6/2K4R w - -,a6e6
2r2rk1/p3qppp/1p6/1Qn5/4p3/4P3/PP3PPP/R2RN1K1 b - -,e7e6
6b1/8/p4kp1/5p2/2pN1K1P/P1P3P1/1P6/8 w - -,d4c6
1r3rk1/p2n1ppp/1qb1pn2/1p1p4/1P1P4/1NNQ2P1/P3PPBP/R1R3K1 w - -,a1b1
6k1/n4ppp/p3p3/1pPpP3/8/P7/1P1B1PPP/6K1 b - -,a7c6
8/pb1nkppp/1p2pn2/2b1N3/8/1P2P3/PB2NPPP/1B4K1 b - -,d7e5
r1bq1rk1/p4pp1/2p2n1p/3p4/1b5B/3B4/PPP1NPPP/R2Q1RK1 b - -,b4e7:b4d6:c8d7
1r4k1/6p1/1r2pp1p/Rb1pP3/1p3P2/1P1BK3/2P3PP/2R5 b - -,g8f7
2rr2k1/5ppp/p1bRp3/1p2n1P1/4P2P/PP2BP2/2P1B3/1K5R w - -,h1d1
1rq2r2/p2bppkn/2np2p1/2p3Pp/1p2PP2/3P3P/PPPQN1BK/R2N1R2 w - -,d1e3
r2qkb1r/1b1n1ppp/p1npp3/1p4P1/3NP2P/P1N1B3/1PP2P2/R2QKB1R w KQkq -,d4c6
1r1qrbk1/2pp1ppn/b1p4p/p7/B2BPP2/2N4P/PPP3P1/R2QR1K1 w - -,a4b3
8/8/1N1kp3/r2b3p/7K/8/8/2R5 w - -,h4h5
4r1k1/3R4/8/2p5/3b3P/1P1pB3/P4PP1/6K1 b - -,e8e3
r1bq1rk1/1p4p1/p2p3p/2bPpp2/8/2PB2N1/PP3PPP/R2Q1R1K b - -,e5e4
3r4/5pkp/4p1p1/1b6/2N1P3/1B3P2/2K3Pb/R7 b - -,d8c8
4r3/p3k2p/2R1p1rb/7B/8/1P1p3P/P4R2/7K b - -,d3d2
r4rk1/2q2ppp/p2b2b1/1p1P4/2p5/2P1RQPP/PP1B2P1/R4BK1 w - -,g1h1
8/2Bp4/p3k3/1p6/2p1p2p/2P5/PPP2Kr1/8 w - -,f2g2
r4rk1/p2n2p1/1p1p2qp/2pPp3/2P1Pp2/P1PQ2PP/3N1PK1/R4R2 b - -,d7f6
2kr1b1r/pp3pp1/1qp1p1p1/3n2P1/2PPn3/1B4B1/PP2QP1P/2KR3R w - -,e2e4
r4rk1/ppqnbpp1/2p1pn1p/8/3P3B/5B1P/PPP1NPP1/R2QR1K1 w - -,c2c4
8/5kp1/7p/2r4P/5P1K/1R4P1/8/8 b - -,c5c4
3r1rk1/ppq1b1pp/2p1pnb1/5p2/3P1PP1/2N1PB1P/PP1BQ3/2RR2K1 b - -,c7d7
r4rk1/2qbbppp/p2p1n2/nppPp3/4P3/2P2N1P/PPBN1PP1/R1BQR1K1 b - -,c5c4:f6e8
1rb2rk1/p2n1ppp/8/1pbPp3/5P2/1P2p1P1/PBN3BP/R2R3K w - -,f4e5
3rr1k1/p1q2pp1/1p1p3B/3PnB2/P1b5/2P3P1/3Q1P1P/1R2R1K1 w - -,e1e5
2r1kb1r/2qnnppb/pp2p2p/4P3/P1pP1N2/2P2NP1/3B1P1P/R2QRBK1 b k -,g7g5
6k1/5p2/4p3/3pPp2/5Prp/3KB3/4N2b/5R2 b - -,g8g7
r1bqk2r/2p1npbp/p1np2p1/1p6/3PP3/1B3N1P/PP3PP1/RNBQK2R w KQkq -,b1c3
r2q1rk1/pp1n1pp1/3bpn1p/3p4/3P4/2NQ1BPP/PP2PP2/R1B2RK1 w - -,c1d2
8/p5p1/4k2p/2P2p1n/2NK4/P4P2/8/8 b - -,h5f6
8/8/5B2/3P1R2/p3r3/P4kp1/1P3b2/3K4 b - -,f3g4:f3e3
r1b1kb1r/p2p1ppp/1pq1pn2/1N6/2Q1PP2/4B3/PPP3PP/R3KB1R b KQkq -,a8b8
r3r1k1/1pnq1p1p/2p2bp1/p2Pp1BP/Pnp1P2R/2N3P1/1P1Q1PK1/3RN3 b - -,d7d8
bqr3k1/2r1b2p/1N1p1np1/pP1PpP2/P5B1/4BPP1/7P/R1R2QK1 b - -,c7c1
8/8/4q2k/p2rPpp1/P6p/4Q2P/6P1/4R1K1 w - -,e3c3
r1bqk2r/p1pp1ppp/2p2n2/8/1b2P3/2NB4/PPP2PPP/R1BQK2R b KQkq -,e8g8:d7d6:d7d5
r4rk1/pp1npp1p/6p1/q7/2p1PP2/2P1QN2/P1P3PP/R4R1K b - -,a5c5
r1bqr1k1/pp3pb1/1np3pp/2N1p3/3n4/P2PBNP1/1P2PPBP/2RQ1RK1 w - -,e3d2
8/6k1/3R2pp/3p4/r5P1/8/4KP2/8 w - -,f2f3
2r4r/ppNk1Qpp/3p1b2/7n/4P1q1/P3B3/1PP2PPP/R3K2R b KQ -,d7c6
2rr2k1/3qnpbp/bpn1p1p1/pNpp4/2P5/PQ1P1NP1/1P1BPPBP/1RR3K1 w - -,b5c3
8/1brn2k1/5PBp/1p2P2P/p2R4/6P1/1P6/6K1 b - -,d7f6
r4rk1/2pb2pp/p1nb4/1p1N3q/3P4/5N1P/PPBnQPP1/2KR3R w - -,d1d2
8/5pk1/R5p1/2pBn2p/7P/2r3P1/6K1/8 w - -,a6a7
8/4p3/4P3/p1pP2p1/PpP3k1/1P2R3/4NK2/7q w - -,e3g3
3rq1k1/p2rppbn/1p4p1/1PBP3p/2N1P3/1Q1R1P1P/4N1P1/3R2K1 b - -,b6c5
rn2k2r/ppq2ppp/1n2p3/3p3b/3P3P/1QN1PP2/PP1BB2P/2KR3R w kq -,c1b1
7k/p2Rr1p1/1p5p/5P2/2p1r1P1/1P2p2P/P1P5/1K2R3 w - -,d7e7
r3k1nr/pp1b1ppp/4p3/1N1pq3/1b4Q1/3B4/PP3PPP/R1B2RK1 b kq -,h7h5
r3n1k1/4pp1p/q2p2p1/3P4/P1p1P3/1P3NPP/5PK1/QR6 b - -,c4b3
r1bq1rk1/1p1nbppp/p1p2n2/3pp3/2P3P1/1PN1PN2/PBQPBP1P/R3K1R1 b Q g3,e5e4
6k1/1pp2pbp/p3bnp1/4p3/4P3/2N1B2P/PPP1BPP1/3r2K1 w - -,e2d1
r2qr1k1/1p2ppbp/2bpnnp1/p5B1/2P1P3/1PN5/P1QNBPPP/1R3RK1 w - -,g5e3
r1bqkb1r/1pppnp1p/p1n3p1/8/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq -,d7d5
r6k/p5r1/b2PQ3/q1p5/1p3p2/7P/PP4P1/3R2KR w - -,d1d5
3q4/R1b3k1/2p1npp1/1p2p1n1/4P1N1/2P3P1/1PB2PK1/5Q2 b - -,d8c8
r4k2/4pp1p/3p2p1/2pP4/1rBb1P2/1P4P1/2R3KP/4R3 b - -,a8a3
r1b1k2r/1pp1qppp/3p4/p2P3n/1BPpP3/5P2/PPQ3PP/RN2KB1R b KQkq -,a5b4
2rr2k1/1p1b3p/4p1p1/1P1p1p2/pb1Pn3/4P1P1/PB3P1P/1NRR1BK1 w - -,f1d3
r1bqr1k1/1p1nbp1p/p1pn2p1/3pN1B1/NP1P4/3BP2P/P1Q2PP1/2R2RK1 w - -,g5e7
4r3/8/3R1P2/2P5/8/2k3p1/3p2K1/8 b - -,c3c2
8/3n1k2/3p2pp/3N4/4KPP1/2B5/5b2/8 b - -,h6h5
5b2/p2k1b1p/1pp1npp1/4p3/1PP1P3/P1N1BPP1/1K2B2P/8 w - -,b4b5
5k2/3R1p1p/1r4p1/3BKnP1/7P/4P3/8/8 w - -,d7f7
3qr1k1/p2r1pb1/3p2p1/Pp1P4/1BppPPQ1/3P2Pp/1P5P/2R2RK1 w - -,f4f5
8/5k2/1p1rb2R/4R3/3n4/3pK1P1/1P1B4/8 w - -,g3g4
r3r1k1/4npbp/3p4/ppqP1p2/4p3/P1P5/1PNQBPPP/3RK2R w K -,e1g1
8/8/1b3kp1/1p1Bp2p/7P/6P1/5PK1/8 w - -,f2f3
r5k1/r3bppp/4qn2/1QppB3/P7/4PN2/5PPP/R2R2K1 w - -,a4a5
r3kb1r/1q3ppp/p1p1pn2/Q2p4/3P1B2/2N1P3/PP3PPP/R4RK1 b kq -,f8b4
r3nrk1/1bp1qp1p/1p4p1/p3p3/PP2P3/2P1NP2/3QBKPP/R4R2 w - -,f1d1
6k1/R6p/1pN1b1p1/1P2pp2/7P/3nPB2/5PPK/2r5 w - f6,c6e7
1r1r2k1/1b3ppp/p2bp3/2p3P1/1p2PP2/6NB/PPP4P/1K3R1R b - -,d6c7
8/Pq3p1p/R5pk/1P1p4/8/6nP/4rbK1/Q1R5 b - -,f2a7
rnb2rk1/2q1ppbp/p5p1/1p1pp3/3P1PPP/4BQ2/PPP5/2KR1BNR w - -,f4e5
8/5R2/8/1P4pN/1n2k3/6PP/2r1KP2/8 w - -,e2f1
r3nr2/pp3N1R/1k2p3/3b4/1P3B2/2P5/P4P2/R3K3 w Q -,f4e3
2q3k1/pb5p/4p1pB/5r2/3P4/1P5P/P3QPP1/5BK1 b - -,c8c6
r3k2r/pp1qnpp1/2n1p1p1/3pP3/8/2PB1P2/PP1NQ1PP/R3K2R b KQkq -,d7c7
2kb1r1r/1pq5/p1n1p3/2pnP1p1/1P1p2Pp/2P5/P1NQBPPB/2R1R1K1 w - -,e2d3
r2q2k1/pp2nrbp/2np2p1/2P5/3PP1b1/5NP1/P1N2PB1/1RBQ1RK1 b - -,d6c5
2r1r1k1/1pq4p/p2p4/3PnQ2/nPP5/2R5/P3BRPP/6K1 w - -,c3g3
8/1Q3nk1/p2p2p1/3P4/6q1/4B3/PPP2PP1/2K5 b - -,g4c4
r3kb1r/pp2pp1p/2p3p1/3n4/3Pn1b1/PN2P1B1/1P1N1PPP/R2K1B1R w kq -,d1e1
6k1/5p2/b1p1B1pQ/p1P4p/Pp2K2P/1P6/2P2r2/7r w - -,h6g6
r1b1k2r/ppq1nppp/2nbp3/3p4/3P4/2PB1N1P/PP3PP1/RNBQ1RK1 w kq -,f1e1
4rrb1/p2q2kp/1p3pp1/2p5/1P1nPP2/2N1Q1P1/P4RBP/3R2K1 w - -,f2d2
8/8/p4pk1/1p3q1p/P5pP/2P1b1B1/1P5K/3Q4 b - -,f5e4
r1bq1rk1/1p3pbp/p2p1np1/4p3/3pPP2/2PB4/PP1PN1PP/R1BQ1R1K w - -,c3d4
2rq1rk1/pp1bbpp1/2n2n1p/1B1p4/3N3B/2N5/PPPQ1PPP/R3R1K1 b - -,c6d4
2r2rk1/4p1b1/p3b2p/6pP/4BP2/2p3PN/2R4K/2R5 b - -,e6h3
3r4/5pk1/2R3p1/r3q2p/p1Qp4/6P1/PP3PKP/2R5 w - -,c6c7
8/3k2p1/B4p2/P2b4/1P1p3p/5P2/1K4P1/8 w - -,b2c2
r2q1rk1/pp1bppbp/3p1np1/n7/2PNP3/1PN1BPP1/P5BP/R2Q1RK1 b - -,a5c6
r3r1k1/ppq2p2/2n3pb/4pb2/8/2P2BB1/PP1NRP2/R3Q1K1 b - -,f5d3
8/1p6/p1p3p1/2P2p1p/1k2qP1P/6PK/8/6Q1 w - -,h3h2
r1bqr1k1/1p3pbp/p5p1/3pn3/P4B2/1N2P2P/1P2BPP1/R2Q1RK1 w - -,b3d4
2rqr1k1/pb2bp1p/1p2p1PB/8/2nP4/P1PQ1N2/2B2PP1/3RR1K1 b - -,h7g6
1r4k1/2qnrp2/p2p2pb/1ppP3p/2PpPP1P/P2Q2PB/1P1NR2K/4R3 b - -,d7b6
1rbqr1k1/1ppn1pbp/3p2p1/p1n5/P1PNP3/1PN3PP/5PB1/1RBQR1K1 w - -,f2f4
5rk1/3r1ppp/pQ1pp3/6q1/2P1bb2/2R1Nn1P/PP2RBP1/3N3K b - -,d7b7
5rk1/pp3r2/2p1p1pq/3pP1p1/3P1nP1/1P2QR1P/P1P3BK/5R2 b - -,f7h7
5b2/pp1b3k/4p2p/1P1p1q2/PQ1P1N2/5NP1/2r2P1P/5RK1 w - -,b4a5
8/5kp1/2nbp2p/3b4/7P/5P2/1B1N2K1/1B6 w - -,d2e4
r4rk1/3n1p1p/1q2p1p1/3pP1P1/pp1P1N2/3QP2R/PP4P1/5RK1 b - -,a4a3
2r2rk1/ppn1ppb1/1qp1b1pp/8/3PP3/P5P1/1B1QRPBP/2R1N1K1 b - -,f8d8
r4rk1/pp1qppbp/2p2np1/4B3/P2P4/2PN4/1P3PPP/R2QR1K1 b - a3,a8d8
2kr1b1r/pppn1ppp/1q4b1/6Pn/3N4/1BN1BP2/PPP2K1P/R2Q3R b - -,d7c5
1rq2rk1/3nppbp/2np2p1/p1p5/PpB1P3/2PPQN1P/1P1B1PP1/R3R1K1 w - -,c4b5
r1n5/1p1k1p2/4p1p1/3pP2p/3P3P/pP1K4/3N1PP1/2R5 w - -,c1a1
r1b2rk1/1pq2pp1/2pb1n1p/3p3n/NP1P4/2PB1PP1/4NB1P/R2QK2R b KQ -,c8h3
r2qkb1r/pb1n1p1p/2p1p1p1/1p2P1N1/2pP4/2P3PQ/P4PBP/R1B2RK1 b kq -,d8c7
r3r1k1/2qnBppp/p1b1p3/3pP2P/1p4P1/3B1P2/PPPQN3/1K1R3R b - -,e8e7
3r4/pp2k3/2p4p/2b3p1/2P1N1P1/4P1B1/PP4KP/8 w - -,e4c5
8/pp6/3pknQ1/1b2q3/8/6N1/1PP5/1K1R4 b - -,b5c6
1rq2rk1/1p1b1ppp/p2p1nn1/3Np3/P1P1P3/3BN2P/1P3PP1/R2Q1RK1 b - -,f6d5
8/8/b3k3/5p1K/5B1b/8/8/8 b - -,h4f6
1r1q1rk1/3bpp1p/3p2p1/2pN4/1pPnP3/1P1PQ1PP/5PB1/1R3RK1 b - -,b8a8
2r2r1k/2q2ppp/p5b1/1p1Bp1B1/6Q1/2Pn4/PP2R1PP/5R1K b - -,f7f5
r1bq1rk1/ppp2pb1/1n4pp/n2Pp3/4P3/1PN2NP1/P1Q2PBP/R1B2RK1 b - -,c7c6
r3kb1r/pp2pppp/1qn2n2/1B1p4/3P2b1/1P3N2/P1P2PPP/RNBQ1RK1 w kq -,c2c4
8/5p1p/1RP1p3/2nk4/2N3p1/6K1/rP5P/8 b - -,a2a7
r1bqkb1r/2p2p1p/p1pp1np1/4p3/3PP3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,e5d4
2r5/3Rbr1k/1p2q1p1/p4p1p/P1P1pB1P/1P2P1P1/2Q3K1/3R4 w - -,c2d2
2rr2k1/pp2qp1p/n3p1pb/P1pp4/3P3P/2PNPQPB/1P3P2/R3R1K1 b - -,c8c7
8/4kpb1/1p1p2p1/1PpP1PP1/3pP1B1/3P4/r7/4K2R b - -,a2a1
1r2b1k1/p6p/n3p1pb/5p2/1Pp3n1/P4BPN/1BK1PP1P/3N3R b - -,e8a4
5r2/3n4/1p1Pkr1p/pPpR2p1/P1N1pP2/6P1/5P1P/3R1K2 b - -,g5f4
8/2k5/2b1p1pp/p1PpPp2/P1n2P2/3N2PP/4K3/R7 b - -,c6d7
r1bq1rk1/p3bppp/1pn1pn2/2p5/P1NpP3/2PP1NBP/1P3PP1/R2QKB1R b KQ -,c8a6
6k1/8/1Q6/p1p2K1p/2P5/1P3P1q/P7/8 w - -,f5g6
2R5/pp6/k2np3/3pq2B/8/6PK/P7/2Q5 w - -,h5e2
r1bqk2r/ppp2p1p/2np4/6p1/2P5/2N2P2/PP1QPP1P/R3KBR1 b Qkq -,h7h6
6k1/2p3p1/1p1p4/pPnP3p/r1PNp3/4R1P1/4P1KP/8 w - -,e3c3
3r2k1/1p2qpb1/p1p2n1p/2P1n1p1/1P2p3/P1N1P2P/1BQ1BPP1/3R2K1 w - -,d1d8
5rk1/p1r1qpbp/bpn2pp1/2pp4/3P4/1PP1PNP1/P1NQ1PBP/R3R1K1 b - -,f8c8
8/5pk1/6p1/2Pp1n1p/8/5P2/3Nr1PP/R5K1 w - -,d2b3
3rbnk1/2r3p1/p3p2p/1p1pP3/8/PBN3P1/1P3PP1/3RR1K1 b - -,d8c8
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2N2NP1/PP2PP1P/R1BQKB1R w KQ -,f1g2
r1q2rk1/pb1n2pp/1p2pb2/2pP4/5P2/P5PP/1PQNPBB1/2RR2K1 b - -,e6d5
2rr2k1/1p2ppbp/p3b1p1/3nN3/3P4/NPn2B2/P2B1PPP/R1R3K1 w - -,a3c4
r1bq1rk1/pp2ppbp/6p1/4P1B1/2BppP2/8/PPPQ2PP/2KR3R w - -,d2d4
r4rk1/p3ppbp/Np4pn/nN6/1P1Pb3/4B3/P3BPPP/2R2RK1 b - b3,a5b7
3r1k1r/5ppp/4p3/1B1q4/PQ2n3/4B3/1P3PPP/R5K1 b - -,f8g8
rnb3k1/ppp1qNbp/3p4/3Q1p2/2P3P1/2p5/PP2BPP1/R1B1K2R b KQ -,e7f7
r2q1rk1/1b3ppp/p2p1b2/1PpP4/2Q5/2N1PN2/1P3PPP/R4RK1 b - -,d8b6
r4rk1/pppb2pp/4p3/n2pPpqR/3P1N2/P2BQ3/1PP2PP1/R3K3 b Q -,g5e7
r1r2bk1/pq3p1p/p5p1/2N2b2/3p4/Q3P1B1/P4PPP/R1R3K1 w - -,e3d4
6k1/1p1r1pp1/pRp1p2p/8/PP1nB2P/6P1/5PK1/8 b - -,g8f8
1k4r1/ppp1q2p/1b4n1/n2p1pP1/3P1N2/PP1NKP1Q/2P4P/4R2R w - -,e3d2
8/3n1pk1/4p2p/2p3p1/3qN1P1/8/1r4BP/Q4R1K b - -,d7e5
r1bqnrk1/ppp1npbp/3p2p1/3Pp1B1/2P1P3/2N2N2/PP2BPPP/R2QR1K1 b - -,h7h6
5r2/1p2bnp1/3p2k1/pNpPp1p1/2P1N3/1P4PP/P4PK1/5R2 b - -,g6f5
3r2k1/p6p/1p2p1p1/5p2/PB1b4/5B1P/3R1PP1/5K2 b - -,e6e5
8/1b1k4/2p3p1/2PpB2p/PP4r1/3K2P1/1R6/8 b - -,g4c4
6k1/1q2bppp/2r1pn2/3p4/Np1Q4/1P2PPP1/PB1R2KP/8 w - -,d4d3
8/N2b4/pb6/2pPk1n1/2P3P1/5P1p/2K5/7B w - -,a7c6
8/5pp1/3kp2p/P2b4/3r4/R2N1P2/6PP/6K1 b - -,d5c4
4r1k1/2p5/1b2b2p/1P1n2p1/5p2/5N1P/1PB2PPB/2R3K1 w - g6,c1e1
r1bq1rk1/pp2n1b1/2n3pp/2p1pp2/2PpP2P/3P1NP1/PP1BNPB1/R2QK2R w KQ f6,f3h2
8/pp4rr/2p2k2/5p2/5K2/PN3B2/1P2R3/8 w - -,e2e8
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/2PP4/2N1PN2/PP2BPPP/R1BQK2R w KQkq -,e1g1
r4k2/1p3pp1/r1bp1n1p/2p5/2P3P1/P2BPP1P/5K2/1RBR4 w - -,h3h4
r1b2rk1/p1qn1pb1/2p3p1/3pp3/N3P3/3BB2P/PPP3P1/1R1Q1RK1 w - -,e4d5
rnbqkb1r/pppppppp/5n2/8/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq e3,e7e5
1r4k1/1Bpnqppp/Q7/4p3/1pPp4/P2P1NPb/4PP1P/R5K1 w - -,b7c6
r1q1r1k1/2nn1pbp/4p1pB/pp1pP2P/3P4/5NP1/PP1Q1P2/RB3RK1 b - -,e8e7
b3k3/3n4/p1p2n1B/1p5q/4PQ2/2N5/PPP4P/2KR4 w - -,h6g5
r3r1k1/1p1b1pp1/7p/p1Pp4/P2N4/1PR1P3/6PP/5RK1 b - -,e8e5
B2q1rk1/p1p1bppp/1p3n2/3p2B1/2nP4/2N1P3/PP3PPP/R2QK2R b KQ -,d8a8
q3kb1r/1b2nppp/3p4/1pp5/3pP3/NB6/1PP2PPP/2BQR1K1 b k -,b7a6
2r2k2/2P2p1p/3p1b2/1q3Bp1/r7/4B1N1/P4PPP/2RR2K1 b - -,a4a8
2kr3r/pppqbppp/2np4/8/6bP/2P1BN2/PPPQBPP1/R3K2R w KQ -,e1c1
8/5k1p/3p4/1p1p4/3B2PP/bPP5/P2K4/8 b - -,f7e6
5r2/2r4k/3P2pp/1p1QB2n/6Pq/5p1P/1P3R2/6K1 w - -,d6c7
rnbqk2r/ppp2pbp/3p1np1/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,d1d2
r3k2r/1p1qbp2/p3p3/P2pP1p1/1P1P4/1R1Qn1P1/3N1P2/2R3K1 w kq -,d3e3
3r2k1/4ppb1/2n3p1/8/1p6/P3BPNP/8/5RK1 w - -,a3b4
8/7r/p3p3/Pp1kPpp1/1PpP2p1/2P3Pr/2K3RP/5R2 w - -,f1f2
1rbq1r2/2pnb1kp/pp1p2p1/3PpBPP/1PP5/2N1BP2/P2QN3/2K3RR b - -,f8f5
8/R6p/2r1k2r/4B3/5P2/P5KP/8/8 w - -,g3g4
1r3r2/p2bppkp/1q1p2p1/1n2nP2/1pp1P1P1/3P2NP/PPPQ2B1/R2N1R1K w - -,d1e3
8/6pp/r1b2p2/p1kp4/P2R4/4PPP1/2P2K1P/1R6 w - -,b1b3
1k1r1r2/p1pb2pp/1p4q1/1Pn1P3/3N3Q/2N5/P1P3PP/3R1RK1 b - -,b8c8
r3kb1r/pN3ppp/2n1pn2/3p4/b2P1B2/P3PN2/4BPPP/R3K2R b KQkq -,f8e7
2rr2k1/1p1nb1p1/p2p2q1/P2Ppp1p/1PP3n1/6P1/3BBP1P/N1RRQ1K1 b - b3,h5h4
rn3rk1/ppq3bp/3p1np1/2pP1b2/8/1QN1B3/PP1NBPPP/R4RK1 b - -,b8a6:a7a6
4r1k1/1q1n1pbp/Q2p1np1/2pP4/4PP2/2N2B1P/1r3BP1/R3R1K1 b - -,b7b3
4k3/2p1b1p1/1pp2P2/4r3/2P1N3/pP4K1/P7/3R4 w - -,f6g7
3rr1k1/pp3ppp/1qn1b3/3pPp2/5N2/2P2N2/PP1Q1PPP/3R1RK1 w - -,f4h5
4B3/8/1b1k1pp1/7p/1P1NKP2/4P1P1/7P/3b4 b - -,g6g5
4r3/pp3pkp/3R2p1/5p2/1PP2P2/r4PK1/3R3P/8 w - -,d6d7
r2q1rk1/pb3ppp/1p2pn2/3p4/1nPP4/3B1N2/PP1NQPPP/3RR1K1 w - -,d3b1
3Rr1k1/pbq2p1p/1p2n1pQ/n3p3/4P3/B1P2N1P/B4PP1/4R1K1 b - -,e8d8
r2qkb1r/ppp2ppp/1n2p3/4P3/1n1PN3/4BN2/PP3PPP/R2QK2R w KQkq -,e1g1
r1bqkb1r/pp2pppp/8/2pP4/1n1NP3/2N5/PP3PPP/R1BQKB1R b KQkq -,c5d4
6k1/5p2/3Q4/4P3/5PK1/3q4/8/8 b - -,d3e3
7k/7p/2p5/p1N1R3/4Pp2/P4r1P/1P3b2/1K6 b - -,h8g7
2brk2r/1p2b2p/p3p3/5pp1/5P2/2NR3P/PPP1N1P1/1K1R4 w k -,d3d8
r2qbrk1/1p1Nbppp/2p1pn2/8/p2PP3/P3B1P1/1PQ2PBP/RN1R2K1 b - -,e8d7
r2r2k1/5ppp/4p3/pnNP4/1p1K1PP1/1P6/P6P/R4R2 w - -,d4e3
2r2k2/6p1/1pq1Qnp1/3p2P1/3P4/5R2/5PKP/8 w - -,e6h3
r1bqkb1r/pppnpppp/5n2/8/3PP3/2N5/PPP3PP/R1BQKBNR b KQkq -,e7e5
8/1p6/p6R/6P1/P3k3/1P1p4/2r5/3K4 b - -,c2g2
