8/2k3Kp/2P2p2/8/7P/3b1B2/8/8 b - -,d3b5
3r1rk1/pq1nb1pp/1p2b3/2ppPp2/5P2/1P2PB2/PB1Q2PP/1NR2RK1 b - -,d7b8
rn2k2r/ppq2ppp/2pb1pB1/8/3P4/2P4P/PPQ1NPP1/R1B2RK1 b kq -,h7g6
2kr4/2p2pp1/7p/pp6/3BP3/N1Pr1qP1/P4P1P/R3Q1K1 b - -,d8d4
8/2p3k1/3p2p1/p2Pp3/P3P1qp/2Pr3P/5P2/4R1K1 w - -,h3g4
r1b1kn2/pp6/2pbp3/3P1p2/3P4/2N1P3/PP1B1P2/R2K1B2 b q -,e6d5
r1bqr1k1/1p2ppbp/2p3p1/p2n1n2/3PB3/2P2N2/PP1BQPPP/R3RNK1 w - -,e4d3
r4rk1/ppp3pp/3p2q1/2n2b2/2PB1P2/1P3PP1/PQ4BP/3R1RK1 w - -,g3g4
r3rbk1/ppp1qpp1/5n2/7p/2nP4/P1N1PQPP/1P2N1K1/R1B2R2 w - -,c3d5
3r1bk1/ppn2p2/2n1b1p1/2p1p2p/4PP1N/2P1N1P1/PP3K1P/R1B2B2 b - -,f8e7
8/p3kp2/7P/5K2/R7/8/P7/6r1 b - -,g1f1
1r3k2/7p/p2N1Pp1/3K1P2/2P5/4B3/pn5P/8 b - -,a2a1q
8/r4pk1/p1R2np1/P3r1N1/R3p2P/4P3/5PK1/8 w - -,c6c4:c6b6
q3r3/1bp2pk1/1p1p1n1p/3PpPp1/1PP5/3B1N1P/2QB1PP1/4R1K1 w - -,d3e4
r2r2k1/pp2bppp/8/3bp3/1n4P1/3BBP2/PPPNK2P/R6R b - -,b4d3
r3k2r/pp1n1p1p/2p5/3bpP2/2P5/1P1Bq3/PB1NNbPP/R4Q1K w kq -,a1d1
5n2/2p1Q2k/3p1q2/1P1P1N1P/6K1/8/8/8 b - -,f6e7
1r6/3b1p1k/3p4/2pPbNp1/prP1P1P1/RP1B4/5PK1/7R b - -,h7g8
r2qk2r/1pp1bppp/p1p2n2/4p3/4P1b1/3P1N1P/PPP2PP1/RNBQ1RK1 b kq -,g4f3:g4h5
8/6k1/p2N1np1/2RPn1r1/1p2Pp1r/1P3PqP/PQ3RP1/5B1K w - -,f1a6
4r1k1/1r4bp/3p2p1/1NpP2q1/2P1p3/2B5/2Q1BP1P/5R1K b - -,g5f4
r2qR1k1/pb3pp1/1p1n2np/3N4/3P4/5N2/PPQ2PPP/3R1BK1 b - -,d6e8
5rk1/pp4np/2p1b1p1/q2p1r2/4N1PQ/3R3P/PPP2PB1/3R2K1 b - -,f5f4
3r4/4Q3/6pk/p3P3/5q1p/6bP/P5P1/2R4K w - -,c1g1
5bk1/1nrb4/3p4/3PP1KP/2N5/R1P5/2B5/8 w - -,e5d6
6k1/p2n1p1p/6p1/3p2B1/N2P4/3NPb2/P2b1P1P/6K1 w - -,g5e7
8/7k/2b5/5rb1/6N1/3N2RP/6P1/4r1K1 w - -,d3e1
r2qk2r/4npbp/b1p1p1p1/p1p5/N3PP1Q/5N2/PPP3PP/R1B1R1K1 b kq -,a6b5
1rb2rk1/2p2pp1/p1p1p3/7p/Q1N1q3/6P1/PP1RPP1P/R5K1 w - h6,f2f3
r4b1k/p3Np1n/2prbP2/q3p1Pp/1p2P2P/1P1B4/P1PQN3/1K1R3R w - -,e2g3
R7/2k2p2/2r5/3b3N/1p3Q1P/1q3PK1/7P/8 b - -,c7b6
2r3k1/Rb3r1p/1p1n1q2/1Bnp1ppQ/1B1N4/2P1PPP1/7P/5RK1 w - -,h2h4
3r2k1/p4n2/1p2p1pp/4nq2/4Qp2/2P2P2/P1B3PP/2B1R1K1 w - -,c1f4
r4rk1/5pbp/pq1p1np1/N2P4/2P2P2/R3p2P/1P1Q2P1/4KB1R w K -,d2c2
r5k1/P4pp1/2b1n2p/R1p1P3/1pP1pP2/4P1B1/3N2PP/6K1 b - -,g7g6
r1bqr1k1/pppn1ppp/5n2/3p4/2PPpN2/PPB1P1P1/5PBP/R2QK2R b KQ -,c7c6
6k1/p2p2p1/4p3/3P1q2/1P4p1/P3Q3/1B5K/8 w - -,e3d4
b1rq1rk1/3nbppp/p2pp3/1p2n1P1/4P2P/PNN1BP2/1PPQB3/1K1R3R b - -,c8b8
rnbqk1nr/p3bppp/2p1p3/6N1/PpBPN3/4P3/1P3PPP/R1BQK2R w KQkq -,g5f3
r4rk1/pp3qbp/2b1p1p1/3pP3/5PQ1/4P3/PP4BP/2RRB1K1 w - -,e1c3
r6k/p1p1n1pp/2pr1p2/2b2N2/4P3/1P1RB3/1P3PPP/3R2K1 b - -,e7f5
8/6R1/2rk3p/7P/4Kp2/8/8/2b5 w - -,g7g6
4k2r/p1q1npbp/brn1p1p1/2ppP3/5B2/P1PP1NP1/R3QPBP/1N2R1K1 w k -,e2c2
r1b1kb1r/1p1n1ppp/p3p3/2ppP3/Nn1P1P2/4BN2/PPP3PP/R3KB1R w KQkq -,e1d2
8/1kp4p/p5b1/2R5/1P1K1B2/P2p2P1/3N4/4r3 b - -,e1e7
2b2k2/1p3pp1/r6p/2p1pP2/2P1P3/1R2K3/4B1PP/8 b - -,f8e7
8/3rbk1p/p5p1/1p3p2/3P4/P1BK3P/1P3P2/2R5 b - -,d7c7
4rrk1/pp1b2pp/2pb1n2/3p2B1/1P2p2N/P2P2P1/2P3BP/4RR1K b - -,e4d3
2rq1rk1/p4pp1/b1p1p1p1/2P5/8/1P6/P4PPP/RN1QR1K1 b - -,d8a5
r2q1rk1/1p2bppp/2pp1n2/p1n2Q2/P1B1P3/2N4P/1PP2PP1/R1B2RK1 b - -,f8e8
1r1qk2r/p1p1n3/3p1ppP/5P2/2Q1P3/2N2p2/PPP5/2KR3R w - -,f5g6
5knQ/p4p2/1p6/8/4q3/2R2nP1/7P/7K w - -,h1g2
4r1k1/3R1p2/2Q3p1/1p5p/8/7P/5PPK/1q6 b - -,b1f5
r1bq1rk1/pp2bppp/4pn2/8/2Bn4/P1N2N2/1P1B1PPP/R2Q1RK1 w - -,d2f4
r1bqk2r/pppp1ppp/2n2n2/8/1bPPp3/2N5/PP1NPPPP/R1BQKB1R w KQkq -,e2e3
1nk2r2/1bp3pp/4p3/R1NpP1b1/1P1P3q/3B4/5QPP/R3B1K1 b - -,f8f2
r2q2k1/1b3Rp1/pp6/4b3/2pPp3/4P3/PPQ3P1/1B1R2K1 b - -,g8f7
4R3/1q3pk1/5p2/ppr1rP1P/3p4/1P1Q2P1/1PP5/4R1K1 w - -,h5h6
1R6/8/4pp2/2kr4/1p3P2/1P1K4/2P5/8 w - -,d3e3
r1b2rk1/1p1nqp1p/2p1p1p1/p2nP3/P1pP4/2N3P1/1PQN1PBP/R4RK1 b - -,d5b4
r3r2k/6p1/1bp2q1p/p2nNbp1/P2P4/BB5P/3Q1P2/R3R1K1 w - -,a1c1
r1bq1rk1/p3bppp/n1p1pn2/3p4/2P5/P1N2NP1/1PQ1PPBP/R1B1K2R b KQ -,c8b7
3q1rk1/pp1b1ppp/4p3/3pPP2/1brR2QP/2N2N2/PPP3P1/2K4R b - -,e6f5
8/4k1p1/3p3p/2b5/4KNP1/n7/5P2/4B3 b - -,a3c2
r1b2k1r/1p2p1bp/p3P1p1/P7/2Bp2n1/8/1PP1N1PP/R1BK1R2 b - -,f8e8
RQb5/2r2pk1/2pq4/1p1p4/3P1PPp/3N3P/5K2/8 b - -,d6e7
r4r1k/pppqbppp/2npbn2/8/3pP3/1BP2N2/PP1N1PPP/R1BQR1K1 w - -,f3d4
8/6p1/3n1k2/1p2p2P/1P2P3/5K2/3B4/8 b - -,f6e6
r2q1rk1/pppnb1p1/4p1p1/4P3/6P1/5N1P/PP2QP2/R1B2RK1 b - -,d7b6
8/5pkp/1R4p1/8/8/P1P3P1/1P5r/1K6 b - -,h7h5
r5k1/pp2pr1p/2n1Q3/2p3pP/2B5/1PP3q1/P7/2KR4 b - -,a8f8
8/p2r3k/1p2q1p1/4Pp1p/1P6/P3Q2P/6P1/4R1K1 b - -,h7g7
rnbqk2r/ppp2ppp/4p3/3p4/3PNP2/8/PPP2PPP/R2QKBNR b KQkq -,d5e4
8/4k3/2p2pp1/5p2/N2Kp2P/P5P1/2P2n2/8 w - -,a4c3
2r3k1/1pp1qppp/3p3r/p1P5/3Q4/PP2P3/2R2PPP/5RK1 b - -,c8d8
r2qk2r/p1pb1ppp/1bp5/3pP3/3NnP2/4B3/PPP3PP/RN1Q1RK1 w kq -,b1d2:b1c3
3R4/1p2B1kp/2r5/2P5/5PP1/5K2/3p4/8 b - -,g7f7
3r4/pq3pk1/2p3p1/R1P2p2/3P1Q2/4P1P1/5PKP/8 w - -,h2h4
r1b2r2/1pp2p2/pb1p1kpp/3Pp3/P1N1P2N/2P5/1P3PPP/R3R1K1 w - -,c4b6
r1bqk1nr/ppp2ppp/2np4/2b1p3/4PP2/2P2N2/PP1P2PP/RNBQKB1R w KQkq -,f1b5
2k5/8/p1bp4/8/1rpBP3/2N5/P2KB3/8 w - -,d2c2
7k/7p/2b3p1/2Rp1p2/5P2/4PP2/qr2BK1P/2R5 w - -,c1e1
r3r1k1/p2R3p/1pP3p1/5p2/5P2/1P4P1/P1P4P/3R2K1 b - -,a8c8
8/3nk1pp/1p1bpp2/2p5/1nP2P2/1PN1P1P1/1B2K2P/3N4 b - f3,d7b8
8/5pp1/4p3/4k2p/1p2P3/3K1PP1/3N2P1/b7 b - -,a1c3
r1b2rk1/pp1nppbp/5np1/2q5/7Q/2N1PN2/PP2BPPP/R1B2RK1 b - -,d7e5
8/2r3pp/4p3/4N1n1/1P1RP3/6k1/3K4/8 b - -,h7h5
3r3k/pb4qp/1p1P4/2p1bBr1/4p1PQ/P7/1P3P2/3RR1K1 b - -,e5d4
5rk1/1pB3p1/p1n2n1p/3q4/1P6/P1Q4P/6PK/4R3 w - -,c7g3
r2r1nk1/1p2qp1p/2p3pQ/p1b1p3/2P1P3/1P3BPP/PB3PK1/3R1R2 b - -,f7f6
2rq1rk1/1b1nbpp1/p2p1n1p/1p2pP2/4P3/PNNB1R2/1PPBQ1PP/4R1K1 b - -,d7b6
rn1b1rk1/p1pq2np/1p6/3p1pp1/3N4/P2BPP2/1PQ3PP/R1B2RK1 w - -,b2b4
2q2rk1/5p1n/1p1p2p1/pB1P4/P1P2Q2/5PPp/7P/5R1K b - -,c8d8
1rr4k/3n1p2/bb1p1Pp1/p2Pp1Pp/1p2P2P/1P3RRK/P2B2N1/3B4 b - -,b6d4
8/5R2/2p4r/K1P5/P7/1P2k3/5p2/8 w - -,b3b4
r1bqk2r/pp1pppbp/5np1/8/2PQ4/2N2PP1/PP3PBP/R1B1K2R w KQkq -,e1g1
r4k1r/p2b1pp1/2n1p3/1p1pP1pP/2pP2P1/P1P2R2/2PKNP2/R4B2 w - -,e2g1
r2n4/p1k1r1b1/2pN4/1pP1p2p/1nB4P/4B1R1/PP4P1/2K2R2 w - b6,c4b3
r3k2r/pbpnqp2/1p1p3p/4p1pn/2PPP3/2PB1P2/P4BPP/R2QKN1R w KQkq -,f1e3
R7/P5k1/8/5p2/5PPK/r7/8/8 b - -,f5g4
1Rb1r2k/7n/p2B1bQ1/P1pp4/8/6PP/4qP2/5RK1 w - -,d6c5
r5k1/2rp1pp1/p3p2p/1p2P3/5P2/P1PQ1R1P/1P1R2PK/2q5 b - -,c1a1
8/p2r2k1/5qp1/5p1p/P2p4/3Q2P1/1P3P1P/2R3K1 w - -,b2b4
r2q1rk1/pppbbppp/2np1n2/1B2p3/P3P3/2PP1N2/1P1N1PPP/R1BQ1RK1 b - a3,f8e8
8/p2R4/5k1p/3PN1p1/5n2/7P/r7/7K w - -,e5g4
6k1/1R5p/1p4p1/p5P1/5P2/1P3K2/r7/8 w - -,b7b6
r4rk1/p1q1ppbp/1p2b1p1/n1p5/3P4/B1P1P3/PQ1NBPPP/R3K2R w KQ -,e1g1
5k2/pp2qpp1/3bb3/2r3P1/4QP1r/P1BBP2p/1P5R/R3K3 b Q -,a7a5
b1rn1rk1/B1qnbppp/p2pP3/8/2PN4/1QN3P1/P4PBP/1R2R1K1 b - -,f7e6
8/5pk1/1p2pnpp/p7/4P2P/P2NrKP1/1P1R1P2/2r5 w - -,f3e3
5rk1/pb4bp/6p1/3pq3/2p5/2P1B2Q/PP4PP/1R3B1K b - -,b7c8
8/5p1k/1B5p/6pP/P5P1/2rn1PK1/3R4/8 w - -,a4a5
1k6/8/1NPP1b1p/5P2/p7/1p6/2K3P1/8 w - -,c2b1
4k2r/1b3pp1/p2ppb1p/8/1prNPPPP/2PR4/PP4B1/1K5R w k -,g4g5
r1b2b2/pp2r3/2p3Bk/4p2n/P3Pn1N/2N3R1/1PP2PPP/5RK1 w - -,g6h5
r1bq1k1r/pp2bppp/2n1p3/2ppP1B1/3P2QP/P7/1PP1NPP1/R3KB1R b KQ -,c5d4
r4r1k/2p5/1n1p2QP/3P1p2/pPq1pP2/P1b1B3/2B4R/3R3K w - -,d1g1
3R4/5pkp/6p1/p1n3P1/4P2P/P4P2/1PP5/2K5 w - -,d8d5
r3r1k1/3p1p1p/6pb/2pP4/Pnb1q3/1P2PN2/3Q1KPP/2RNR3 w - -,c1c4
2r1k2r/1pq2ppp/p2bp3/3n4/PP2Q3/2P2N2/3B1PPP/R3K2R w KQk -,e1g1
3r2k1/8/p1b1p1p1/4ppPn/4P2P/1RNN4/2P4K/8 w - f6,d3e5
8/5pp1/Q1P1pk1p/8/1P1qpP2/7P/6P1/6K1 w - -,g1f1
2r3k1/4npp1/4p3/1p1pPp2/pPr2P2/P1P1R2P/1B3KP1/2R5 w - -,g2g3
3k4/1p1bn2p/4pb2/2Pp2Np/3P1KP1/2BB4/5P2/8 w - -,g5h7
R7/8/B5k1/4p3/4P3/7p/r7/3K4 w - -,a8g8
r2qkbnr/pp1n1ppp/2p1p3/3p4/3P1P2/3BPQ1P/PPP3P1/RNB1K2R b KQkq -,g8f6:g8h6
1r1q1rk1/2p2ppp/2npbn2/1pb1p3/4P3/1B1P1N1P/1PPN1PP1/R1BQ1RK1 w - -,f1e1
r3k2r/pp1b1pp1/4pq1p/1Bn5/3p3P/5N2/PPP1QPP1/2KR3R w kq -,d1d4
r4rk1/ppqbb1pp/1n2p3/2ppPp2/P1P2P2/1P1BP3/1BQN2PP/R4RK1 b - a3,d5c4
8/8/8/8/3p1p2/R1n2k2/r7/7K w - -,a3b3
3R1nk1/1pn1qr1p/p4p2/2p1pB2/4P3/2P3P1/1P5P/3Q2K1 b - -,c7e6
r6k/4b2p/4q3/2P1p1P1/1p2N3/rN3P2/P1R2QP1/6K1 w - -,c5c6
r5k1/5p2/2p2qp1/p2p3p/3P3P/2Q2PK1/6P1/7R b - -,a5a4
r4rk1/p2n1pp1/1pp1p2p/q7/2PP3B/b2QPN2/P1R2PPP/5RK1 b - -,f8e8
5r2/3bppk1/1n1p2p1/r1pPn2p/4P3/1PN2PN1/P2KB1PP/R6R b - -,h5h4
6k1/5pp1/4p2p/1p1pP1qP/pPrP2P1/P2R1QK1/2r3P1/3R4 w - -,d1f1
rnb1k2r/1pp2ppp/p2q1n2/3p4/3P4/2N1P3/PP3PPP/R2QKBNR w KQkq -,f1d3
r1b1k2r/ppq2ppp/2n1pn2/8/1b2P3/1NN1B3/PPP1B1PP/R2Q1RK1 b kq -,e8g8
6k1/3n1ppp/2p1p3/8/1N4P1/1P2rPKP/8/2R5 w - -,c1d1
3rnk2/1p4pb/p3p2p/2b1N3/2B1P1P1/1P5P/PB2K3/2R5 b - -,h7e4
8/8/1K5Q/6P1/r5k1/8/8/8 w - -,g5g6
8/8/2Bp4/4p3/2P1P3/r3K1k1/8/8 w - -,e3d2
r3rbk1/1bq2ppp/p2p1n2/1pp1n3/4PB2/P1N4P/1PPN1PP1/R2QRBK1 b - -,b7c6
1r4k1/1P2pp2/3p2pp/2pP4/3rP3/1RQ3P1/q2N3P/R3b2K b - -,d4a4
5rk1/p3r1np/1p3R2/2pR2p1/2P1P3/P4BPP/1P3P2/6K1 w - -,f6f8
2r3k1/2q2pbp/4p1p1/3n4/8/1Q2PN1P/P4PP1/1R2B1K1 b - -,c7a7
4k3/p4r1p/1pp1p3/4Bp2/P6q/1P1R2R1/6P1/6K1 w - -,d3d4
8/6p1/4kp2/5n2/5PKP/R7/P5r1/8 w - -,g4h3
3rr1k1/1p5p/p1p2qp1/3pnb2/8/P1N4P/1PPQBPP1/1R2R1K1 w - -,c3a4
r1bq1rk1/2p1bppp/p2p4/1p1PP3/1n6/5N2/PPP2PPP/RNBQR1K1 b - -,d6e5
rnbqkb1r/ppppp1pp/5n2/8/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -,c1g5:f2f3:g2g4
r1nqk2r/pp1n1pbp/2p3p1/3pPp2/3P4/3B1Q2/PPP2PPP/RNB1R1K1 b kq -,d7f8
8/8/5p2/b2p4/1p1PkBp1/4P1P1/2K4P/8 b - -,b4b3
4r1k1/3bppbp/p5p1/qp1PP3/3N1P2/1Q2B2P/P5P1/2R3K1 b - -,e8c8
3r2k1/p3rp1p/1qp3pb/8/3pPN2/Pb4P1/1P1R1PBP/2Q1R1K1 w - -,g2f1
r5k1/p2qbr1p/2p2n1B/3pQ3/3P4/6P1/P2NP1BP/R5K1 w - -,h2h3
r2qr1k1/1n1n1p1p/2ppb1pb/1p2p3/3PPP2/1PPBB2P/2QNN1P1/R3R1K1 w - -,d2f3
r4rk1/pp4pp/2n2pq1/2PpPb2/3P4/2NB4/PP1Q2PP/3RK2R w K -,e1g1
7R/p5k1/5p2/3p1PpR/3Pp3/2r3P1/2P3KP/r7 b - -,c3c2
1qr4k/p4p1p/3p4/3pnPB1/4r3/P6P/1P4Q1/1K1R1B2 b - -,e5d7
q5k1/2p2pp1/2rb3p/3RB3/1p2P3/1P1Q2P1/P4PKP/8 b - -,a8a2
8/8/2k5/7p/6n1/P4pK1/5P2/8 w - -,g3f3
3rr3/R2n3k/n2B2p1/3B1pPp/p1P4P/8/8/5R1K b - -,a6b8
5rk1/1p3pp1/3Np1p1/p2nP3/3q2P1/7P/1PQ2P2/2R3K1 b - -,d5f4
r1b2rk1/1p3p1p/5q2/p2RbP2/P3p3/1P2B3/4NQPP/5RK1 b - -,a8a6
5k2/5p1p/p3p3/Pprn1pr1/2q5/2PR1QN1/3R3P/7K b - -,c4g4:f8g7:g5g4
rnbq1rk1/pp2p1bp/2pp2p1/8/3PN3/5NP1/PPP2PBP/R2Q1RK1 w - -,c2c3
4nb1r/1p1k3p/p3p3/2p1p2R/P1B1P3/4NP2/1PP3P1/2K5 b - -,f8g7
3r4/1r3pkp/3bp1p1/pp6/2pPRP2/P1P2KPP/NP6/2R5 b - -,g7f6
3k4/6R1/8/3KN3/8/8/8/7r b - -,d8c8
r3r1k1/1n4pp/3B4/p2p4/Pp6/1Pb1pPPB/4P2P/1R3R1K w - -,d6f4
1b2r1k1/1p1r1qpn/p2N1p2/2pP1P2/1P1P4/P3PQ1P/1B2R1RK/8 w - -,d4c5
3r1nk1/1pp3pp/1b5B/3pPN2/1P1P2q1/6P1/2Q3K1/7R b - -,f8e6
r4rk1/ppq1ppbp/6p1/2n5/1nN1P3/P3BP2/1P2BP1P/RQ1R2K1 b - -,b4a6
2rr2k1/1p2qp1p/p2p1p2/3Pn3/8/8/PPPQB1PP/4RR1K w - -,d2h6
1Q2k3/8/b3p1p1/2p1PpP1/3p1Pr1/r2P4/P5B1/4N1K1 b - -,e8f7
8/5pkP/pq1p2p1/3Pn1Q1/1pp1P3/8/1PP3P1/2KR4 w - -,d1h1
1r2r3/p1nb1kbp/1p4p1/8/q1P1NBP1/1R5P/5P2/3QR1K1 b - -,f7g8
2r3k1/pp3pp1/1q4bp/2pPN3/4nP2/1P2B2P/P2R2B1/R5K1 w - -,g2e4
r2q1rk1/pp3ppp/5n2/n2p4/3P4/2N1P1Pb/PPQ3BP/R1B2RK1 b - -,h3g2
3r2k1/3r1pp1/3p3p/pqn1p3/4P3/5P2/PPBR1QPP/3R2K1 w - -,f2e3
r2q2k1/1ppb1pbn/3p2p1/p2P3p/2PNBB2/7P/PP1Q1PP1/4R1K1 b - -,d8f6
2B5/4k1p1/2R4n/5P2/3r4/5K2/8/8 b - -,d4d6
r4rk1/1p1bp2p/pq1P4/4bp2/4PN2/B2Q2K1/PP4PP/R6R b - -,e5f4
r3k2r/1b3ppp/pp2p3/2b1q3/P1B1P1n1/1PN5/1BQ2PPP/R4RK1 w kq -,g2g3
2rr3k/p6p/1p1qpp2/8/2P2pR1/PP3BP1/2Q2P1P/6K1 b - -,d6d3
4rrk1/3q2np/3p1pp1/R1pP3b/2P1P3/1PQ2N2/3N1P1P/3K2R1 b - -,f6f5
5r1k/N3prbp/1np3p1/p1p5/P1P2P2/1P1RB1P1/7P/3R2K1 b - -,e7e5
2rqr1k1/1bn1bppp/pp1p1n2/3p2B1/8/1QN1N1P1/PP2PPBP/2R1R1K1 b - -,c7e6
8/8/2PK1k2/8/8/1r6/1p6/1R6 b - -,b3d3
2r4k/1b2q1b1/p4rp1/Q2B4/P3p2p/2P4P/4RPPB/3R3K b - -,f6f5
2rq1rk1/1bp1bppp/1pn1pn2/p2p4/2PP4/PP3NP1/1BQNPPBP/R4RK1 b - -,c6b8
4rbn1/1pqb1p1k/r2p2pp/p1p1P3/2P2P2/1PN1B1PP/1P1Q2B1/3RR1K1 w - -,c3e4
8/2k2p1p/P7/1KN2pp1/8/1P3B1P/5bP1/8 b - -,c7b8
