8/1k5r/2p2K2/ppBbP3/3P3P/5p2/8/5R2 w - -,f6g5
2r1r1k1/4bq1p/1Q3n2/p2pB1p1/P2Pp3/1P2P1PP/4bPB1/R1R3K1 w - -,b6a5
2q3k1/p4p2/1p5p/7K/5pP1/1R3P2/PP5P/8 b - -,c8c2
5rk1/p1R2p2/1n1N1n2/r5p1/4p3/4P1BP/6P1/5RK1 b - -,f6d5
4r1k1/1b4pp/4p3/3p2Pn/2q2N2/7P/Q5BK/3R1R2 b - -,c4a2
r1bqrbk1/1p1n1pp1/2pp1n1p/p3p3/P2PP3/1BNQBN1P/1PP2PP1/R3R1K1 b - -,d8c7
4r3/1p1n1pkp/2p3p1/p3n3/1PP1P3/P6P/B2N2PK/3R4 w - a6,d2b3
r1bq1r2/1pp1npbk/p2p1npp/3Pp3/2P1P1P1/2N1B2P/PP1QNPB1/R3K2R b KQ -,f6e8
4k3/r2p1p1p/b1B1p3/p1P1b2q/8/8/PPRQ1PPP/3R2K1 w - -,g2g3
1rb1k2r/2qpbppp/p1n1p1n1/1pP5/N2NP3/4B3/PP1QBPPP/2R2RK1 w k -,a4b6
Q1bkr2r/p3q2p/1p1p4/2p2p2/2n2P2/2N5/PP2P1BP/4RRK1 w - -,c3b5
r1bqr1k1/pp1np1bp/2p2np1/3p2B1/3P4/2PB1N2/PP3PPP/RN1QR1K1 b - -,d8c7
8/r3n2p/3Nk3/1P6/8/3R3P/1K4P1/8 w - -,d6e4
r2q1rk1/p3pp1p/3n2p1/3P4/nppbP3/5P1P/PPQ1B1P1/R1B2R1K w - -,c2a4
3r3r/p2k1p2/1p6/2p1QN2/Pn2P3/8/1P3PP1/6K1 b - -,d7c8
r2qr1k1/1p1b1ppp/p1pp1n2/8/2PbPP2/2NP1Q1P/PP1B2BK/3R1R2 w - -,c3e2
8/8/6B1/p7/8/kpn5/8/1K6 w - -,b1a1
r2q1rk1/pp2ppbp/8/n2p1p2/3pnB2/2P3P1/PPQ1PPBP/RN1R2K1 w - -,c3d4
3r1r1k/pp5p/4Qn1q/3p2p1/8/2B1PPP1/PP4KP/R4R2 w - -,a1d1
4r3/8/8/6p1/6P1/2kp3P/5RK1/5N2 w - -,f1d2
6k1/6pp/npp5/p4p2/1PP5/P1b3P1/4PPKP/2R5 b - -,a5b4
rn2kb1r/1pp1pppp/p2q4/7b/3PB3/5P2/PPP1N1PP/R1BQK2R b KQkq -,e7e6
1r2r1k1/5pbp/3n2p1/Rp1q4/1P1p1Q2/3B3P/2P1NPP1/R5K1 w - -,a5a7
4r2r/2p5/1p3nk1/p1p3p1/P3P3/2P2PN1/4K1P1/3R3R w - -,h1h8
r1bk3r/ppp2qb1/2n1R3/3p2p1/7B/2PB3Q/PP3PPP/3R2K1 w - -,h4g5
8/4p1k1/8/6p1/4r3/4p1K1/R6P/8 w - -,g3f3
1r3r1k/2B1bppp/3pbn2/N3p3/4P3/P4P2/1PPR2PP/5RK1 b - -,b8b2
5k2/1p2pp2/p2p2bp/2r5/2PNr3/1P4P1/2PR1K1P/7R b - -,b7b5
r1bq1rk1/1p2bppp/pn2pn2/2p5/3PPB2/PQN2NP1/1P3PBP/R4RK1 w - -,f1d1
rn2k2r/p2q2bp/2p2pp1/8/p1Bpp1P1/4P1B1/1PPQ2PP/R3K2R w KQkq -,e3d4
8/8/B6k/5ppp/8/6PP/6K1/8 w - f6,a6d3
4n3/2p1r1kp/1pR5/1P1p4/1P6/4rPK1/2B5/7R b - -,g7h8
2r2rk1/1pqn1pbp/p1n3p1/2p1p3/4P3/2P1BN1P/PPQ2PP1/R3RBK1 b - -,c6a5
3q1rk1/1p2bppp/p2pbn2/P3p3/2r1P3/1NN1BP2/1PPQ2PP/R2R2K1 b - -,f6d7
3rk2r/5ppp/p1q1bN2/1p1p4/2pP4/PnN1P3/1P2BPPP/1Q1R1R1K b k -,g7f6
8/p7/8/1p3pk1/1PpK3p/2P3pP/P5P1/8 w - -,d4e5
8/5ppk/3p2p1/3P4/2P5/p4PPK/P2Q3P/5q2 w - -,h3g4
2r3k1/p2q1p2/1p4p1/8/P1NpP1Pp/2bP3P/4QPK1/R7 w - -,a1a2
8/7p/3p2pk/1R1Pp3/P3b2P/6P1/3q4/5QK1 b - -,e4d5
r1bqk2r/pp1nbp1p/4p3/2Ppn3/3N2p1/2PB4/PP1N1PPP/R1BQ1RK1 w kq -,d3b5
2r1rnk1/pp1n4/2pq1p1p/3pN1p1/3P1P2/2N1P2P/PPQ5/2KR3R w - -,e5g4
2r1r3/2qnbp1k/p2p1n1p/1p1PpN2/2p1P1Pp/2P1B3/PPB1QP1K/R3R3 w - -,f5h6
r1bqk2r/3nbppp/2p1pn2/p7/PpBP4/4PN2/NP1B1PPP/R2Q1RK1 w kq -,d1c2
6k1/1pp3pp/1P1p4/8/2rPKpP1/3QqB1P/4P3/8 w - -,e4d5
3qr1k1/2rn1pb1/ppbpp1pp/8/1PPP4/P1N1QN1P/4BPP1/2RR2K1 b - -,d8b8
4k3/p2b2p1/3RP3/5q2/7p/P7/1B6/K1R5 b - -,d7e6
4k3/p7/1p3Q2/3p1B2/3P4/3P1pK1/5P2/3q4 w - -,f5e6
1kr4r/pp3p1p/2p1b3/2N2n2/nq1P4/3B1N2/PP3QPP/1K1RR3 w - -,f2c2
5rk1/1p1Pqnb1/2p4p/p1p1p3/2P1Pp1p/1P3Q1B/P3NPP1/3R2K1 w - -,f3d3
8/5k2/7K/4p1QP/8/8/8/4q3 w - -,h6h7
r1b1r1k1/1pp1qppp/2n2n2/p3p3/2P5/4PNP1/PPQN1PBP/2R2RK1 w - -,c2b3
rnbqkb1r/p2ppp1p/5np1/2pP4/PpP5/1P3N2/4PPPP/RNBQKB1R b KQkq -,f8g7
2kr4/2q2bp1/3b1pN1/1pp2P2/3B2P1/PP1Pn2Q/3N3P/1K2R3 b - -,c5d4
2r1rbk1/p1Rq1ppp/1p6/1N1p4/Pn1PnB2/1P4P1/5PBP/3QR1K1 b - -,c8c7
2qr1rk1/1pp1bppp/4p3/pNn1P3/2P2P2/P3B3/QP2b1PP/R3R1K1 w - -,e1e2
8/8/5n2/7p/5Np1/2k3P1/5K2/8 w - -,f2e3
r1bqrnk1/1pp1bppp/3p1n2/pP6/2PP4/5N2/PB1NBPPP/R2QK2R w KQ -,e1g1
8/p7/1p6/3bk3/1P3pr1/P3K3/4N3/3R4 w - -,e3d2
br4k1/4rp1p/3N2p1/1p2n3/1P2p3/6P1/P3PPBP/2RR2K1 w - -,d6e4
2kr1bnr/ppp3q1/2n2p2/3pp2p/3P4/2PBBQ1P/PP3PP1/RN3RK1 w - -,c3c4
8/pp1kp3/2ppbnr1/6B1/1qPP4/1P2QP2/P3RPB1/5K2 b - -,f6g8
1r6/5k1p/2r1p1p1/p2pR3/1p1R1PP1/P1P5/1P3K1P/8 w - -,a3b4
r2r2k1/pp1nqpbp/2p1b1p1/P3p3/4P3/1NN1B2P/1PP1QPP1/R4RK1 w - -,f1d1
r3r1k1/ppp2p2/1b2b1pp/6n1/N2P2Pq/3Q1P1P/PPB4B/R4RK1 b - -,h6h5
2r3k1/1rp2pp1/pnR1p2p/1p2P3/4P3/1P2B1P1/P4PKP/3R4 w - -,f2f4
rn2kb1r/ppqb1p1p/2p2np1/4PN2/2PpP3/3P2PP/PP1NQ1B1/R1B1K2R b KQkq -,g6f5
2b5/5qk1/4p2p/6p1/P1B5/4Q2P/1PP3P1/7K w - -,e3d4
r3k2r/pp1n1pp1/2p1pnp1/5q2/3P4/P1B5/BPP1QPPP/R3K2R w KQkq -,f2f3
3k3r/1p1rpp2/p2p4/1n3P2/3R4/2P1N1P1/PP4K1/4R3 w - -,d4g4
3r4/p4rbk/1p1p2p1/4p1B1/2P3Pp/1P3P1P/P3R1K1/3R4 b - -,d8f8
rr4k1/2pq2b1/3p2p1/3Pp1Pp/p3P3/PP2BR1P/nNK1Q3/3R4 w - -,e3d2
r2q1rk1/1p2ppbp/6p1/p2P4/Pn4n1/1NN1B3/1PPQ3P/2KR1B1R b - -,a8c8
1q2r2r/1b1p1k1p/p1nP1pp1/1pP1p3/7Q/1N1R4/PP1B1PPP/R5K1 w - -,f2f4
r2q1rk1/1b2bppp/ppn1pn2/2p5/2PP4/2N1PNP1/PB2QPBP/R4RK1 b - d3,c6a5
r4rk1/1bqn1pp1/1p1ppb1p/1Pp5/2P1P3/3P1N1P/3BQPP1/3RRNK1 w - -,f1h2
rn1qk2r/1b2bpp1/p3pn2/1ppp3p/4PP2/2NP2PP/PPP2NB1/R1BQ1RK1 b kq -,b8c6
8/5kpp/p1pRpp2/2P5/1P3rP1/P6n/1B6/4K3 w - -,d6c6
4r1k1/PR3p1p/6pB/n3b3/3N2P1/5P2/8/5K2 w - -,b7e7
8/1Q4k1/2p2rp1/2P1b3/2P5/8/6K1/8 b - -,g7h6
1r3rk1/5pb1/6pp/Bppqp3/2Nn4/P2P2P1/1P2PP1P/1R1Q1RK1 w - -,c4e3
8/Rp1r2k1/1Pp5/1np3p1/2N1Pb2/3P4/5PK1/7R w - -,c4a5
r1bqkbnr/pp3ppp/2n5/2pp4/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,g8f6:c8f5
2r1r1k1/1b2q1pp/p2bn3/2p5/N1B1n3/1P3N1P/PBR2pP1/Q2R1K2 w - -,f3d2
3r2k1/5ppp/1pp1p3/2brP3/5RQ1/2B2RPP/1Pq2PK1/8 b - -,d5d7
8/1r4k1/1P6/2P5/P4R2/6pp/8/1K6 w - -,f4g4
1r2q3/5p1k/1p1p1Ppp/8/P1QP2R1/7P/4r1P1/5R1K w - -,c4c7
1r2nrk1/1p1q2b1/pQ1p3p/3Pp1p1/2N1P2n/6N1/PP1B2PP/R4RK1 b - -,g7f6
8/1pk2p2/p4R2/3P4/1p2b3/1B6/3b2PP/7K b - -,e4g6
kr6/p1b5/1P2q2p/1R1p2pP/2rPp3/2P1B1P1/1Q3P2/1R4K1 b - -,c7b6
5rk1/pb4b1/8/3q1r2/2p3Q1/2P1B3/PP4PP/R3R2K w - -,a1d1
3R4/r3p3/4k1p1/2p1Pp1p/p1P2P1P/P7/1P4P1/2K5 w - -,c1c2
r5k1/1b1r1p1p/1nq1p1p1/2p1P3/2P5/1PB5/2B1QRPP/4R1K1 b - -,a8a2
8/b4pk1/p1nR2p1/6Np/7N/1P2P1PP/P4PBK/2q5 b - -,c6e5
1rb2rk1/pp1n1ppp/8/4p2q/2P5/2N1P1PP/P1Q1P1B1/1R3RK1 b - -,d7f6
2N3k1/1b3n1p/3p2p1/2p2p2/5P2/2P3PP/4rB2/R5K1 w - -,c8a7
r1b2rk1/pp1n1pp1/3B3p/4P3/8/4nN2/PPBR2PP/2K4R b - -,e3c4
r3r1k1/pb3pp1/1p1bpn1p/2q1N3/8/3B4/PPPBQPPP/3RR1K1 w - -,c2c4
2r2rk1/pp1nbp1p/1q2p1p1/3p4/1n1P1PP1/2N1P3/PP1B2QP/RB3RK1 w - -,d2e1
8/2r5/4p2R/p1ppNb2/P2P4/2K3k1/8/8 w - -,h6h8
8/5p2/3k3p/2pb1p2/5P2/2K1PBP1/7P/8 w - -,f3d1
3qr3/pp2kp1p/4b2Q/3p2R1/P1r2P2/7P/1PP3P1/4R1K1 w - -,f4f5
7k/p5p1/1p2Q2p/4Pp2/3P1P2/6PP/P3q1K1/8 w - -,g2g1
6k1/4b2p/p2pp3/1p4P1/2r5/P1R5/2P4P/1KB5 w - -,c3h3
2r5/4k2p/p7/1p2pp2/8/1PP1PP2/P2R1K1P/8 w - -,d2c2
r1bq1rk1/1pp3bp/1n1p2p1/p2Ppp2/2P1Pn2/1PN1BN1P/P1B2PPK/R2Q1R2 b - -,a5a4
b1r2rk1/p3qppp/1pn1p3/1Nbp4/P7/1QB1P1P1/1P3PBP/2RR2K1 w - -,b3c2
2k3r1/pp1b1p2/4pB2/n1q1Pn1P/1R1p4/P1pQ1N2/2P2PP1/4KB2 b - -,a5c6
r1bq1rk1/1p2bppp/p1n1pn2/8/1Pp5/P4NP1/1B1NPPBP/R2Q1RK1 w - -,d2c4
r1b2rk1/1pqpppbp/p1n2np1/8/3NP3/1BN1B3/PPP2PPP/R2Q1RK1 w - -,f1e1
r4rk1/p1pp2pp/np6/3P4/1b4n1/2N3P1/PP2NPP1/R1B2RK1 w - -,c1f4
8/1p5p/2b1k3/7r/3B4/4Kp2/P4R1P/8 w - -,a2a3
rnbqk2r/4bppp/p3p3/1p1nP3/3N4/1PN2Q2/PBP3PP/R3KB1R b KQkq -,c8b7
1r2r1k1/3n2p1/2q2n1p/5P2/2pbp2N/2N3PP/PP2Q2K/2B1RR2 w - -,c1f4
4k3/8/8/2N1Bnp1/P1pp4/1pK5/7P/8 w - -,c3b2
8/2B5/6p1/1p3p1p/p1kb3P/P4PP1/1PK5/8 b - -,d4f6
5k2/8/p1r1pBP1/R2pPb1P/2p1p2K/2P1P3/8/8 w - -,h4g5
8/6k1/2pB3p/2P3pP/B1b3P1/3n1P2/p7/K7 b - -,c4d5
rnbqk1nr/ppp2pbp/6p1/8/2Pp4/6P1/PPN1PPBP/RNBQK2R b KQkq -,g8e7
1r5b/3r1k1p/2pP1ppP/2p1p3/2P1P1P1/3R4/n1N1KP2/3R1N2 b - -,b8b2
r4r1k/4p2p/b5p1/p2n1p2/3Pp3/1R2P1P1/P4P1P/1R3BK1 b - -,a6f1
6k1/p4pb1/5qp1/1p6/4R3/P4P1P/1P2Q3/1K6 b - -,a7a6
3r4/7r/p1pp2k1/2p3P1/2P1p3/1P2B2B/P3K3/3R4 w - -,h3g2
rnq2rk1/p4ppp/1p1ppn2/8/2PN4/6P1/PPQ1PPKP/RN1R4 w - -,b1d2
2r2rk1/p3bp2/bqn1p1pp/3p4/8/2P1PNN1/PP2QPPP/1B1R1RK1 w - -,b1d3
3rk2r/1b3p2/4pp1p/1p6/1n6/P3PN1P/5PP1/R4RK1 w k -,a3b4
r3nrk1/pp4p1/1q2bp2/2p3Q1/4B1p1/P1B3P1/1P2PP1P/2KR3R w - -,g5g6
4rr2/3q2bk/p2pR2p/1ppP1p2/3p1P2/1P1P2P1/P2Q2BP/4R1K1 b - -,e8e6
2r4k/1p3Qp1/p6p/8/8/P5PK/1P2q2P/5R2 w - -,f1f2
r1bq1rk1/ppp1nppp/1b6/1B1pP3/3Pn3/2N2N1P/PP3PP1/R1BQ1RK1 b - -,c8f5
8/8/4p3/p3kp2/2P4R/1K3P1P/6P1/r7 w - -,g2g4
5bk1/2n2p2/7p/pp2PN2/2p1BPP1/5K2/PP6/8 w - -,f5d6
8/1p3p1p/4pk2/1P4p1/P3R1P1/5K2/4PP1P/7r w - -,f3e3
8/8/8/P1p1pkp1/2P5/2r2P2/P3R1P1/6K1 b - -,c3c4
2r2r2/4b1kp/pq2Ppp1/1p2n3/5B1P/P2p4/BP2QPP1/2RR2K1 w - -,e2d2
r1bqkb1r/p4ppp/2p1pn2/3p4/4P3/3B4/PPPN1PPP/R1BQ1RK1 b kq -,f8e7:d8c7
8/q2n2kp/5p2/1QR5/4PP2/5N1P/8/6K1 b - -,d7c5
4k3/2R5/6P1/2p1Pp1p/2r5/5K2/8/8 b - -,e8f8
8/2k1p2B/4P2n/2pK3p/1p6/1P2bN1P/2P5/8 b - -,c7b6
rnbqk1nr/ppp1bp2/7p/3P2N1/5ppP/2N5/PPPP2P1/R1BQKB1R w KQkq -,f1b5
rqr3k1/3nppbp/2np2p1/8/3PP3/N3B2P/3Q1PP1/R3RBK1 w - -,e1b1
8/8/3k2Kp/1r1P2p1/1p3p2/3R1P1P/r5P1/1R6 w - -,g6h6
1rr3k1/4bpp1/1q1p1n2/1B1Pp2p/PQ6/1N3P2/1P1R2PP/1K5R w - -,b3a5
8/1pb2kr1/p6R/P1pPp3/2P2p2/2B1r3/3K2PR/8 w - -,d5d6
8/1Rp5/4k3/p1p1P2p/b1P2Kp1/8/7P/8 b - -,h5h4
2Q3k1/7p/3p4/1P2p1P1/1q6/5PK1/8/8 b - -,g8g7
5R2/1p6/p1p3kp/2P2p2/3P4/2P3KP/P7/2r5 w - -,g3f4
r2qk2r/bp2npp1/pn2p1bp/4P3/2BN4/4BN2/PP3PPP/R2Q1RK1 w kq -,c4b3
5R2/8/6p1/1k5p/3p2rP/1P1K4/8/8 b - -,g4h4
6k1/1q4pp/1Qbp1r2/2p2p2/8/2PP1PP1/5PBP/4R1K1 w - -,b6d8
8/5p1k/q5pp/8/3NpPP1/2QbP2P/1P4K1/8 w - -,c3e1
3q1r2/rb2npbk/pp4pp/2ppp3/1PP5/P1NPPBP1/3B1P1P/1R1Q1RK1 w - -,f3g2
r1q3k1/p1prp2p/2p2bp1/2N3n1/5pB1/7Q/PP3PPP/5RK1 w - -,h3b3
1rb2r1k/3p3p/pp2p1nb/5p2/8/1BPN1P2/PPN1R1PP/1K1R4 b - -,h6g7
1r1q1rk1/1b4bp/pp1pppp1/2p5/2PnPP1B/1PNP2PP/P2Q2B1/4RRK1 w - -,g3g4
6k1/p7/3p4/2bnpbPN/7P/B5K1/P4r2/4R3 b - -,f2c2
1krnbr2/1p2bpp1/1q2p3/p2pP1Np/Pn1P3P/2N1BR2/1P3PP1/1B1QR1K1 w - -,f3g3
6k1/p5p1/1n1p3p/4p3/2PnP2Q/q6P/6P1/1R3B1K w - -,h4e1
6r1/2P1b3/4b1k1/4Bp2/4p2p/7P/5P1K/3Q4 w - -,e5f4
5rk1/1pqb1pbp/p2p2pn/2pPr1B1/P1B1P3/2N4P/1P1Q1PP1/R4RK1 w - -,g5h6
4r3/1bkp3p/2n2p2/2p3p1/2N5/5P2/PP3KPP/R3R3 b - -,e8a8
2r2bk1/p5q1/2Bp1nn1/N2Pp3/QP2P2p/4BP2/6P1/5RK1 b - -,g6f4
2rr2k1/pp1nbpp1/1qpnp1p1/2Pp2P1/3P3P/1QN1PP2/PP1B4/1K1R1B1R b - -,b6b3
r1bq1rk1/p3bp1p/1p4p1/2ppP3/2P5/3B4/P1P1QPPP/1RB2RK1 b - -,d5d4
1r1q1rn1/2p2p1k/2np2pp/1p1N4/1P2P1B1/7P/2PQ1PP1/3RR1K1 b - -,g8f6
2r1k2r/1p1qbpp1/p2p1n2/P3p1B1/4P3/2N2QP1/1PP2P2/R1R3K1 b k -,f6e4
r1bqkbnr/pp1ppppp/2n5/8/4P3/2p2N2/PP3PPP/RNBQKB1R w KQkq -,b1c3
q2kr3/3n1p1p/2b1pQp1/6P1/8/2N5/PPP3PP/2KR4 b - -,e8e7
8/5p1R/5r1p/3p2p1/3k2P1/6K1/8/8 w - g6,h7h8
rn1r2k1/1b1pbppp/1p2p3/2p5/2P1n3/1PN2NP1/P3PPBP/R1BR2K1 w - -,c3e4
8/8/1k1r2p1/p1R4p/2R5/1P3nPK/P4P2/8 b - -,g6g5
2r3k1/1qrnbppp/pn6/1p1pp3/4P1P1/PP1NQ2P/1BP1RP2/1NR3K1 b - -,f7f6
r4k2/6pp/3b4/6r1/2NP4/8/P4PPP/2R2K2 w - -,c4d6
r2qk2r/p1pnbp1p/np2p3/3pPp1Q/3P4/P1N1B3/1PP3PP/R3K1NR b KQkq -,d7f8
2r3k1/8/5p1p/4r1pP/4q1P1/1P6/PQ1R4/K2R4 w - -,b2d4
8/8/8/knp5/p7/4N3/1K6/8 b - -,b5d6
8/8/3p4/2nPk1p1/1r4p1/1p2P3/3R1P2/1B2K3 b - -,c5e4
1r4k1/4bp1p/1n1p2p1/2pPp3/4B1P1/1PP2P2/r2B3P/1R1R2K1 b - g3,b6d7
rnbqk1nr/pppp1ppp/8/2bNp3/2P5/4P3/PP1P1PPP/R1BQKBNR b KQkq -,g8f6:c7c6
rnbq1rk1/p3bppp/1p2pn2/2Pp4/1P1P1B2/2N2N2/P4PPP/R2QKB1R b KQ b3,a7a5
2r1q1k1/p4pp1/1bN1p2p/8/2r5/P5PP/1P2QP2/2R3K1 w - -,e2c4
rn1q1rk1/ppp1bppp/4pn2/3p1b2/8/1P1P1NP1/PBP1PPBP/RN1Q1RK1 b - -,h7h6
r7/1pp5/1p1pk2p/P2Rr3/1PP1Pp1p/5P2/5KP1/R7 b - -,c7c6
r4rk1/p5pp/1nqn4/R2p1pP1/3PpP2/PQ2P3/1BN4P/5BK1 b - -,d6c4
r1b2rk1/p1qnppbp/3p1np1/2pP4/2P1P3/1R1BBN1P/1P2NPP1/2Q2RK1 b - -,a8b8
3qrbk1/r2n1ppp/pp1Nbn2/2p2N2/5B2/3P2PB/PPR2P1P/3Q1RK1 b - -,f8d6
rr3k2/6pQ/b3p1P1/2pN4/6q1/1P1n2P1/P4PB1/2RR2K1 b - -,e6d5
3r3k/1bq2prp/3pn2N/4p3/1pP1P3/1P2QB2/3R2PP/5R1K b - -,c7c5
r3kn1r/pp2b3/2pq2p1/3pn1P1/5N1p/1P2P2B/PBPPQ3/R3K1R1 b Qkq -,e8d8
r2qr1k1/6pb/p1nb3p/5p2/PPpPp3/2P1B3/4BPPP/R2QR1K1 w - -,e2c4
1r4k1/ppp2ppp/3b1n2/5q2/3P2b1/4PNP1/PBP1Q1BP/4R1K1 b - -,b8e8
8/pp1R2k1/6p1/8/P1p5/2P5/KP6/7r b - -,g7g8
6k1/1q1rpp2/8/pp1r1P1p/3pN1pb/1P1Q2P1/1PP1RP2/4R1K1 b - -,h4f6
r1b2r1k/pp1pNpbp/3n2p1/q7/1n1N4/1B2BP2/P1P3PP/R2Q1RK1 b - -,a5e5
1k4r1/1p1bbp1p/pQ1ppp2/4rP1q/P3P3/1NNR2P1/1PP5/1K4R1 b - -,g8c8
2rq1rk1/pp3pp1/2n2n1p/2bp4/6b1/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,a1c1
8/3r4/1pk1p1p1/4Pp1p/pPPp1PP1/P2K3P/6R1/8 b - -,f5g4
r5k1/ppp2pb1/6pp/2N1p3/4P3/2Pr3P/PP3P2/3R2K1 w - -,d1d3
8/1p3pkp/6p1/3b4/5P2/1P3P2/Rb5P/7K w - -,a2b2
1r1q1rk1/1pnbppbp/p2p1np1/2pP4/P1P1PP2/2N2N2/1P2B1PP/R1BQR1K1 w - -,a4a5
r3r1k1/1p2q2p/p1p1p1p1/2PpPp2/4BP2/4P2P/PP4P1/2RQ1RK1 b - -,d5e4
2r2bk1/2rq1pp1/4p2p/1p1pP3/p2P2QN/Pn4RP/1P2NPP1/3R2K1 b - -,c7c2
4r3/p4p1k/7p/5n2/2b3p1/3RNnP1/P1N1KP1P/7R b - -,f5e3
r4rk1/pB1b1ppp/4pn2/8/5P2/6P1/PP2P2P/R1BR2K1 b - -,a8b8
1b2r1k1/3q4/pPn1r1pp/2R2pn1/3p4/BQPP1N2/3NPR1P/5K2 b - -,g5f3
r1bq1rk1/pppnppbp/5np1/3p4/8/2NP1NP1/PPP1PPBP/R1BQ1RK1 w - -,e2e4
4rbk1/1p2qp2/2pp2p1/p4r1p/2P4P/PP3QP1/3R2BK/5R2 w - -,f3d3
r1b2rk1/3nqpp1/pp2pn1p/3p4/P2P4/2PB1N2/1P2QPPP/R3RNK1 b - -,c8b7
