8/8/5b2/4pk1p/5p2/7P/3B2K1/8 b - -,f5e4
r4r1k/ppp2qbp/3p2p1/3b4/1PPB1Pn1/8/P2QB1PP/4RRK1 w - -,c4d5
6k1/1p1r2p1/4p3/pQ6/Pb2b3/1R2N1BP/3q1PPK/8 w - -,b5c4
2rqnrk1/1b1nbppp/1p2p3/p2pP3/Q2P4/5NP1/PP1N1PBP/R1B1R1K1 w - a6,g2f1
6k1/1r3p1p/3p2p1/2pP4/P1B5/1Pq3Pb/4RQ1P/6K1 w - -,e2e1
r7/np2kppN/4p1P1/pq2P3/2pR4/7P/1P2QP2/6K1 b - -,a7c6
1R6/2r5/5pk1/8/4p1PP/8/5PK1/8 b - -,c7e7
r3r1k1/p4p1p/2p3p1/8/4q3/3bN1P1/Pb1Q1P1P/R3R1K1 w - -,d2b2
r1bq2k1/pp2p1bp/1r4p1/3pNp2/1Q1PnP2/1P4P1/PBR1P1BP/5RK1 w - -,b4a5
2r3k1/1rqn1pp1/1p1p3p/pR1Pp3/2P1P3/4BP2/R2QB1PP/6K1 b - -,c8a8
3b4/7p/5p2/6p1/p1k1P3/5P2/2K3PP/4B3 b - -,d8c7
3rr3/Qp4kn/6p1/1P1Np1Pp/2P1P1bP/3P4/6B1/7K b - -,d8d7
r2q1rk1/pb2bpp1/1pp1pn1p/8/2PPN3/6P1/PPQ2PBP/R1BR2K1 b - -,d8d7
r2q1rk1/pp1n2pp/3b1n2/3pp1N1/6b1/2P5/PPQNBPPP/R1B1R1K1 b - -,e5e4
8/kp1b4/p3p1q1/3p2rp/2pP4/P1P1Rr1P/1P2N1P1/3Q3K w - -,e3f3
r6k/pp4qp/3p4/8/2BN1b2/8/PP1nKP2/R2Q3R b - -,d6d5
8/ppb3k1/2p5/4rpp1/1PP5/P4B2/5K2/7R w - -,h1d1
r5kr/pP3pp1/8/1P2pP1p/1B2P3/3n2q1/P5P1/RR4K1 b - -,a8b8
r5k1/r1b1npp1/2p1p2p/pq2P2P/2N2P2/2P3P1/RPB1Q2K/3R4 b - -,a8d8
rn1q1rk1/pp2ppbp/2p2np1/3p4/5P2/3PPbP1/PPP3BP/RNB1QRK1 w - -,g2f3
2R5/p5k1/2P1p1p1/5p1p/8/bP1B1P2/Pr5P/2K5 b - -,b2b3
8/7p/2p3RP/1p1k1p2/b2P1P2/2K5/8/8 b - -,d5e4
r1bqkb1r/p2p2pp/n4p2/1Nn1p3/2Q4P/8/PPPBPPP1/R3KBNR b KQkq -,d7d5
8/pp2rnk1/2p3p1/5p2/8/1PN4P/P1P3P1/3R2K1 b - -,e7e3
2r3k1/2qnbppp/r1n1p3/p1ppP3/1p1P1NN1/P1P1B2P/1P3PP1/R2QR1K1 b - -,b4c3
r2qkbnr/1p1bpppp/p2p4/6B1/3QP3/5N2/PPP2PPP/RN2K2R b KQkq -,a8c8:h7h6
8/5p1k/7p/R7/P5p1/1P2K1P1/7r/8 w - -,a5b5
5qk1/5rb1/2p2n1p/2Pp1p2/8/5RP1/1B2P2P/Q2N2K1 w - -,d1f2
r1bqr1k1/p4pp1/1pnp3p/2p1p3/2PPnP2/2P1PN2/P1Q3PP/R1B2RK1 w - -,c2e4
b1r5/2b1rpk1/p5p1/2p3P1/2PpP3/3B1RP1/P5PN/5R1K w - -,h2g4
8/1p1r1kpr/p1p1p3/3n1pRP/KP1P4/4PB2/1P3P2/6R1 b - -,d5b6
8/3B1pk1/6p1/7p/3K4/3R2PP/3r4/8 b - -,d2e2
r2qkb1r/pp3ppp/2n1pn2/2Pp4/3P2b1/2N2N2/PP2BPPP/R1BQK2R b KQkq -,f8e7
6k1/3q2p1/4Q2R/3pP2P/3P4/8/1r4PK/5b2 b - -,d7e6
3q2k1/ppp2rbp/n5p1/3NP3/2P5/1P2Qb1P/P4P2/1R3RK1 b - -,d8h4
rnbqk2r/4ppbp/p1p2np1/1p6/3PPN2/Np4PP/P4PB1/R1BQ1RK1 w kq -,a2b3
6k1/4bp1p/3p2pQ/4p3/1n2P3/q1r2BPP/4RPK1/5N2 w - -,f3g4
r2q1rk1/pp3ppp/2ppb1n1/4P3/3P4/2Q2N1P/PP2BPP1/R3R1K1 w - -,a1d1
rnb2rk1/ppp1qppp/4p3/8/3P4/2R2N2/PP2PPPP/3QKB1R b K -,b8c6
6r1/P4R2/8/8/4p3/8/4k2K/8 w - -,f7b7
6r1/8/4kB2/2pb1R1p/p4K2/P4P2/1P6/8 w - -,f5e5
4r1k1/1p5p/1np3b1/r3PpP1/8/1n1N2P1/1B2PRBP/4R1K1 w - -,b2c3
5r2/Q3n2p/3p2pk/3Bp1q1/P1P5/6Pb/4N2P/1R5K w - -,b1b7
r3k2r/pp1n1pp1/1qp1pnbp/8/Nb1P1B1P/1B4N1/PPP2PP1/R2Q1RK1 b kq -,b6d8
6k1/1bq1b2p/p2pp1p1/1p3P1n/1P3P2/PN1PB3/N3Q1PP/7K b - -,e6f5
r1b2rk1/p1q2pbp/1p4p1/2p3B1/2B5/2n2N2/P2Q1PPP/4RRK1 b - -,b6b5
r3k2r/ppp2ppp/1nn1b3/3p2P1/7P/B1PP1N2/P3PP2/R3KB1R w KQkq -,e1d2
r7/8/6kp/1B2Kpp1/8/4B1PP/5P2/8 w - -,b5d7
3qk2r/r2nbppp/p3pn2/1p1p4/3P3N/4PPPB/PP1BQ2P/2R1K2R b Kk -,e8g8
2r5/k1P2R2/5P2/7p/8/7K/6P1/8 b - -,h5h4
B5k1/p1b2ppp/3rpn2/1p6/1PP5/P3B1Pb/5P1P/R3R1K1 b - -,b5c4
8/2R5/8/2npb3/2k5/1p3B2/8/1K6 w - -,c7c5
r2qrn2/pp4bk/2p1p1pp/8/3PnB2/2PB4/PPQ2PP1/R3R1K1 w - -,e1e4
3r1rk1/1pq1n3/4ppp1/p1PpPn2/5P1p/1P1B3P/P4BPK/2R1QR2 w - -,e5f6
r1b2rk1/pp1nbpp1/2p1p2p/8/2PPNq2/1Q3N2/PPB2PPP/R3K2R w KQ -,e1g1
8/4k2p/2qp1npb/2p1pp2/p1P2P2/P1BP2P1/1Q2P2P/5NK1 b - f3,e7e6
r2q2k1/bpp2pp1/p3r2p/4P3/4p3/2P5/PP3PPP/R1BQR1K1 w - -,c1f4
r1b2rk1/4q1pp/1pp1p3/p2pnp2/2PPn3/1P4P1/PB2PPBP/R2Q1RK1 w - -,d4e5
2kr3r/pp3b1p/2np2p1/q1pNbp2/2P2NnP/1P2P3/PB1Q1PP1/2KR1B1R w - -,d5e7
2rq1rk1/pp2nppp/5n2/2bb2N1/Q4P2/2NB3P/PP3RP1/R1B3K1 w - -,c3d5
rn3rk1/1b2q1pp/1pp1pn2/p2p1p2/P1PP4/NP2PNP1/1Q3PBP/R4RK1 b - -,b8d7
r1b4k/pp2rpqn/2p1p1pp/b1PpP3/5PPR/1P1BP1Q1/PB5P/R4NK1 b - -,h6h5
3b1N1k/5ppp/3pp3/q7/3B2n1/P7/1PpR2PP/R5K1 w - -,d2c2
2q2r2/1r2ppkp/2p2Npn/p2bP1N1/1ppP1QP1/2P2P1P/PP2R2K/4R3 b - -,f8h8
4k3/8/2r5/2P3B1/3K4/5b2/8/6R1 b - -,e8d7
r1b2rk1/4bppp/p3pn2/1p1q4/1n1P4/1N3N2/PP2QPPP/RBBR2K1 w - -,b3d2
8/4p3/2kn1p2/4rP2/R7/4NK2/4P3/8 w - -,a4a6
6k1/2q2p2/6pp/b1Q1N2P/P1K2PP1/8/8/8 w - -,c5c7
6k1/R6p/6p1/8/3r2P1/4N3/4K3/8 w - -,e2f3
8/1q3k1p/3bn1p1/3p1pP1/3Nn2P/2P5/1PK1R3/3Q4 b - -,d6e5
5rk1/5ppp/2RNb3/4Q3/r3P3/3q4/5PPP/5RK1 b - -,a4d4
2r1r1k1/pp2qp1p/5bp1/3p4/b2N1PP1/3BP2P/PP2RQ2/1K5R b - -,e7b4
3rr1k1/1pp3qp/p2p4/3Ppn1p/8/2P1Q2P/PP3PPN/2R1R2K w - -,e3d3
7r/8/8/3k4/4R3/5P1P/7K/8 b - -,h8h7
bqr2rk1/4bpp1/4p2p/1pnnP3/3B4/1P3NP1/2RN1PBP/1QR3K1 b - -,c5a6
Q1R5/2p2pk1/1p1p4/1P5p/2q1P3/5K2/5P2/2r5 b - -,c4d3
r2qkb1r/2nn4/4p2p/pp1pPppP/2pP4/2P2NQ1/PP2NPP1/R1B1R1K1 b kq -,d7b6
r5k1/p2q1pp1/2p3rp/3p4/3Bn2P/4P1P1/PP3PK1/2RQ1R2 w - -,d4e5
8/5pkp/4n1p1/8/3bP2P/3P2P1/1q3P2/3Q1RK1 b - h3,h7h5
1r3r2/3nn1kp/b2q1pp1/p2Pp3/1bp1P3/4BPP1/P4QNP/1NRR1B1K b - -,f8c8
rn2kb1r/pp2pppp/2p2n2/q4b2/8/2NP1NP1/PPP2P1P/R1BQKB1R w KQkq -,f1g2
2rr2k1/1p3pb1/4p1pp/n1qnP3/p1p1QPP1/2P2N1P/PP1BR3/1R3B1K w - -,f4f5
2r1qr2/1p2pp1k/p1b2npb/4p2p/5P2/1PN1B1NP/1PP2QP1/R2R2K1 w - -,f4e5
6k1/pp3pp1/4pn1p/q7/2Pr4/1P1N2P1/P3QPKP/R7 w - -,a1d1
8/7p/4ppp1/2kb4/1p3P2/4P1P1/1KB4P/8 b - -,c5c4
1r1qr1k1/1b4bp/4P1p1/1pp2p2/3n1B2/2NP4/1PP2QBP/R3R2K b - -,b7g2
1k5r/pp1rbp1p/8/4pR2/8/2P1B3/PP4PP/R5K1 b - -,f7f6
6k1/5bp1/5p1p/1n1q4/1Q5P/1p3PB1/3N2PK/8 b - -,d5d4
r3kb1r/1p2pppp/1pp1b3/3n4/P2P1B2/2N2P2/1PP3PP/2KR1B1R w kq -,c3d5
r1bq1rk1/1pp1ppbp/nn4p1/p7/N2P1P2/4PN2/PP1B2PP/2RQKB1R b K -,b6a4
3b4/6k1/pBB5/P3p1pp/1P6/3b2PP/5PK1/8 b - -,d8e7
4r1k1/p1p2ppp/3b1n2/3p4/1q1B1PP1/1N3Q1P/PPP4K/5R2 b - -,f6e4
r2qk2r/bpp2pp1/p1n1b2p/3Np3/2B1P3/2P2N2/PPQ2PPP/R3K2R w KQkq -,e1c1
r1bqr1k1/p2nbpp1/1pp1p2p/4P3/2BP4/2NQ1N2/PP3PPP/R2R2K1 b - -,c8b7
3rk2r/1b2bp1p/pqn2p2/3B1N2/1p1P1P2/1P4P1/P6P/R2QR1K1 w k -,d5c6
8/q7/6p1/5p2/1K2p3/3rPk2/RP6/8 w - -,a2a7
r1b2r2/pp1n1pkp/2p3p1/q7/3pP3/2P2N2/P1BQ1PPP/R3K2R w KQ -,d2d4
rnb1kb1r/pp2p2p/1np2pp1/2N5/8/1B2B3/PPP2PPP/RN2K2R w KQkq -,b1c3
3r1k2/bP3p2/2Q1b3/8/3q2p1/3p2Pp/3N1P1P/5RKB w - -,c6c7
r3k2r/1p2np2/3p1q1b/1Pp1p3/p1P1P1p1/PnN3P1/1BQP4/3RK2B b kq -,b3d4
2r1r1k1/5qpp/p4n2/1pbp4/4p1b1/1PN3P1/PB2PPBP/1QRR2K1 b - -,f7h5
3r1qk1/pp3pb1/2p1b2p/2n1pNpP/P2nP1P1/2N4R/1PPQBP2/1K1R4 b - -,d8d7
8/8/2p1kp2/2q5/5Q2/4PPKP/6P1/8 b - -,e6f7
2q3k1/4bpp1/p3p2p/1p1nB3/1P6/P2QP2P/5PPK/1N1r4 w - -,d3d1
r1br2k1/p3p1b1/n1p3p1/2n2pN1/2P1p2N/4B3/PPB3PP/R4RK1 b - -,d8d6
rn1qk2r/1b2bppp/1p2p3/pPppP3/3P4/P1PB1N2/3QNPPP/R3K2R w KQkq -,e1g1
5r1r/3kbp1p/2n1p3/pp1pP1PN/q1pP2PP/P1P4K/2P1Q3/RRB5 w - -,h5g3
6k1/7R/2p3K1/1p1pp1P1/1P1P4/2P5/4r3/8 w - -,h7e7
rnbq1rk1/ppp2pbp/3p2p1/4P3/1PP3n1/4PN2/PB3PPP/RN1QKB1R w KQ -,f1e2
r1bqrbk1/ppp2ppp/2n2n2/2Ppp3/3P4/P1N1P1N1/1P2BPPP/R1BQK2R w KQ -,b2b4
2R5/8/2b5/8/8/4k2K/6r1/8 b - -,g2g6
4kb2/1r4pp/p3p3/4B3/2P5/1P6/P3K2P/3R4 w - -,e5d6
r1bqr3/5pk1/pp1p1npp/1p1Pp3/4P3/2P4P/PPBQ1PP1/1R2RNK1 w - -,f1g3
6k1/8/1p2pq2/p1p3pp/2P1R3/3P2PP/4Pr2/2R3K1 w - a6,c1b1
r3k2r/pp1b1ppp/4n3/2qn2B1/8/2PB1N2/P3QPPP/R3R1K1 b kq -,e8g8
1k4r1/1p1bQ3/p2p1p2/2q1n3/P2N4/2N4P/1PP3P1/1K1R4 w - -,d4b3
8/5k2/p2rb3/8/1P2R1P1/5P2/7K/8 b - -,d6c6
1r1qk2r/pp2ppbp/2np2pn/2p5/2PP2b1/2N1PNP1/PP3PBP/R1BQ1RK1 w k -,d4c5
8/4q1rk/p2p4/1pp2QbB/8/3P2PP/PPP4K/5R2 b - -,h7h6
r5k1/pp2ppbp/6p1/4P3/5P2/2P1N3/PP2K1P1/R1B4r w - -,e3f1
1rr3k1/3nppbp/p1bp2p1/q4PB1/1pP1P3/1PNB4/P1RQ2PP/5R1K w - -,c3d5
k1r4r/pp3pp1/3bp1p1/8/8/2P5/P2BBPPP/2R2RK1 w - -,h2h3
8/6k1/4p2p/3pP1P1/1p6/1P2bNP1/P1B4K/5b2 b - -,h6g5
rnbqk2r/p3bppp/1pp1pn2/3p4/3PP3/P1N1BPN1/1PP3PP/R2QKB1R b KQkq -,e8g8
2R5/5pk1/4p1p1/8/1rNb2Pp/7P/1P3P2/5K2 b - -,d4b2
r1b2rk1/ppqnbppp/2p2n2/4P3/2p5/2NBPN2/PP2QPPP/R1B1R1K1 w - -,d3c4
rn2k2r/ppq2ppp/2p1pn2/4Nb2/1bBP4/2N5/PPPBQPPP/2KR3R b kq -,e8g8
4k3/1pp4p/p1pq1pp1/5n2/2PP1P2/1P3P2/P3QBKP/8 b - -,e8d7
r1r3k1/5pbp/6p1/PP1P4/2p4q/3p3P/3QBPP1/R4RK1 w - -,e2f3
3R1n2/1p3pk1/4pn2/1P1pP3/1r1P1P2/5N2/6K1/8 w - -,e5f6
1r4k1/p4Npp/1qn1r3/2p5/4P3/P2R1P2/3Q2PP/5RK1 w - -,d3d7
1b6/8/4R1B1/3p1R2/4pP2/3q2P1/3k2K1/8 b - -,d2e1
4b3/8/3k1p2/8/5KP1/2pB4/8/8 b - -,e8d7
r2q1rk1/pp1bppbp/2n2np1/3p2B1/3PP3/3B1N1P/PP1Q1PP1/RN2K2R w KQ -,g5f6
rbb3k1/1p4pp/1Pp2n2/p1P2p2/3P4/N5P1/P1N3BP/4R1K1 w - -,a3c4
3qrn2/2pkb1Qp/r7/p2BBp1P/3P4/8/1PP3P1/2KRR3 w - -,g7f7
8/5p1p/5b2/2N3p1/8/4B1Pk/4KP1P/8 b - -,f6e7
8/8/2p2Rp1/2k5/1n4P1/3b4/P4K2/8 w - -,a2a4
3r4/8/1p3k2/8/1PR3pP/8/2BpK3/8 b - -,d8g8
r2qk2r/ppp1bppp/2n5/3np3/2B3b1/3P1N2/PPP2PPP/RNBQR1K1 w kq -,h2h3
r3k2r/p2qbppp/1p6/2pP1n2/8/P1N1BQP1/1P3P1P/R4RK1 b kq -,e8g8
3r1qk1/1p3p2/p1b1p2p/4P1pP/P3Q3/5NP1/5P2/1R1rR1K1 w - -,e4e2
r1bq1rk1/pp2ppbp/1n3np1/2pP4/2B1P3/2N2N2/PP3PPP/R1BQK2R w KQ -,c4e2
6r1/1p5k/p6p/4rq1P/3Q1N2/5P2/PP6/2K4R b - -,g8c8
8/2R1B3/3Pk1p1/5p1p/3n3P/6P1/3r1PK1/8 w - -,e7g5
8/8/4K2k/2p1R3/6RP/6P1/r7/6b1 w - -,e6f7
r1r3k1/pR1nBp1p/6p1/8/3bP3/5B2/q4PPP/3Q1RK1 b - -,d7c5
2r5/6P1/8/1R6/7K/8/1pk5/8 b - -,c8g8
rr6/4kpp1/4p2p/p7/1P2P2P/1K6/P5P1/3R3R w - a6,a2a3
6n1/6P1/8/3p4/7P/2k5/8/3K4 w - -,h4h5
5r1k/p2n3p/7N/P1pP4/2P1p3/4p1R1/1pK5/8 b - -,b2b1q
r2r3k/ppqnPQ1p/8/2p2R2/8/3bB2P/PP4P1/R5K1 w - -,e7d8q
8/5ppk/2p4p/p1Q5/3pP3/3P2P1/5PKP/1q6 b - -,b1b5
r2qkb1r/pp1b1ppp/2n1p2n/1BppP3/5P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e1g1
r3kn2/1pbq1p2/2p5/2Pp1Qp1/1P1P2P1/P3P3/7r/RNB2RK1 w q -,f1f2
8/7p/3k1pp1/1n1p4/3P2P1/5PNP/1K6/8 b - -,b5d4
3r2k1/2p1qrpp/1p1p1p2/pBnP3P/1n1QPPP1/2N1R3/PP6/1K1R4 b - -,e7f8
r3r1k1/pp4pp/2p5/4R3/8/6P1/PPP2P1P/4R1K1 b - -,e8e5
r1bR4/5pk1/pNp3pp/1p2r2n/2P5/7P/PP3PP1/2K2B1R b - -,a8b8
5k2/6p1/4R2p/3r3P/6K1/5P2/6P1/8 w - -,g2g3
rnbqk2r/pp1pppbp/5np1/2p5/3P4/5NP1/PPP1PPBP/RNBQ1RK1 b kq d3,c5d4
2b5/8/p1pk1p1p/3p2P1/1P1K3P/4P1P1/P7/5B2 b - -,f6g5
8/2k2p2/pr4p1/3K2P1/4P3/8/8/R7 b - -,c7d7
8/5p1p/pK1kp3/5p2/2PN4/3n1P2/P5PP/8 b - -,d3c5
r1bq1rk1/pp3p1p/5pp1/1N1Pb3/5P2/3B4/PP2Q1PP/R4RK1 b - -,e5b8
5r2/5Qkp/p2r2p1/4b3/1P2P1P1/P2Rn2P/5P2/3RK3 b - -,f8f7
6k1/pR4p1/6P1/r7/5K1P/8/8/8 b - -,a5a4
b7/4bpk1/1P1p2pp/1Qpq4/2N5/5N1P/1P3PP1/6K1 w - -,c4a5
rn1k1bnr/ppp3pp/4bp2/4p3/2P1P3/P4N2/1P3PPP/RNB1KB1R b KQ -,a7a5
r2qnrk1/pp2p1bp/3p1np1/2pP4/2P1NP2/7P/PP2B1P1/R1BQ1RK1 w - -,e4g5
r2q1rk1/3b1pp1/p3p2p/2pnP3/4N3/5N2/PP2QPPP/R4RK1 w - -,f1c1
r3r1k1/1bpnqp1p/pp1b1np1/3p4/3P4/1P1BPNN1/PBQ2PPP/2R2RK1 b - -,a8c8
rnbq1rk1/ppp2pbp/5pp1/3p4/3P4/3BPN2/PPP2PPP/RN1Q1RK1 b - -,f8e8
8/5pkp/3p4/3P1pPP/2P1pP2/3B4/2r5/4R2K b - -,e4d3
r3k2r/ppqbnppp/1bn1p3/3pP3/1P6/P2B1N2/1BP2PPP/RN1Q1RK1 w kq -,b1d2
2r2rk1/pp3ppp/8/q2p3n/2pP4/2P1PP2/P1QN2PP/RR4K1 b - -,c8c7
r2r2k1/pb2qpp1/1p2pn1p/2npN3/2P2B2/Q5P1/PP2PPBP/3R1RK1 w - -,f4e3
8/5p2/1p1b1k2/3p1Pp1/P2q3p/3B3P/6P1/5Q1K b - -,d4a4
8/1kr5/p1n2B1p/Pp3R1K/5P2/8/8/8 b - -,c6a5
1k1r3r/pp3ppp/3qp3/1PpnN3/P2P4/1R5P/2P1QPP1/5RK1 b - -,h8f8
r1bq1rk1/5pbp/p2p2p1/2pPp3/1pPn1P2/3PB1PP/PP2N1B1/1R1Q1RK1 b - -,d4e2
4r2k/1pq3p1/p1p4p/8/1P2Pp2/P1Q2PPb/2B4P/3R2K1 w - -,g1f2
r1r5/6pp/Nk3b2/1P3P2/2Ppp1PP/7R/3K1P2/5B2 b - -,d4d3
5r2/2p5/1q1p2k1/3P1p2/1P1NpPn1/4Q1Pp/r2R3P/5RK1 w - -,e3c3
8/p7/7p/2N2p2/p1P3k1/1bP3P1/5K2/8 b - -,b3c2
2r4k/1b3qbp/p5p1/2N5/1QppP3/7P/PP3PP1/3RR1K1 b - -,b7a8
8/3bkppp/8/3R4/1P2PnP1/5P2/P5P1/6K1 w - -,d5a5
3r2k1/1p2nppp/p2r4/3pn3/1q1N4/2N1P3/PPR1QPPP/3R2K1 b - -,h7h6
4rrk1/pp4qp/2pR2p1/2P5/1P2p3/2n1Q1P1/P4PBP/4R1K1 w - -,e3d2
6k1/5pp1/p6p/1p4n1/8/8/PP2QPPP/2qB3K w - -,e2c2
rnbqkb1r/ppp1pp1p/6p1/3p2B1/2PP3P/2P5/P3PPP1/R2QKBNR b KQkq -,d5c4:f8g7
rnb1k1nr/pp1pppbp/6p1/q1p5/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq -,c5d4
8/4p1bp/1N4p1/2k2p2/8/1KP1P3/5PPP/8 w - -,b6a4
r1bq1rk1/pp2pnbp/2n2pp1/3p4/2PP1B2/3B1N2/PP1N1PPP/R2QR1K1 b - -,e7e5
1r2r1k1/1bqnbppp/ppnpp3/6P1/P2NPP2/2N1B3/1PP3BP/R2Q1R1K w - -,d1h5
3r2k1/1p1rnp2/p3b2p/6p1/3P3N/1P6/P3BPPP/2RR2K1 w - g6,h4f3
2r2rk1/p3bpp1/2p1p2p/2n2b2/2P5/1B3P2/PP3BPP/RN1R2K1 w - -,f2c5
2rq1rk1/p2bppbp/1p1pNnp1/8/2P1P3/1PN2B1P/PB3PP1/R2QR1K1 b - -,d7e6
1k1r1R2/8/b4ppQ/2pN4/2pbP1P1/qrN2P2/P1R5/K7 b - -,d8c8
3r1q1k/p5bp/1p1n2p1/2p2pP1/2B2P2/2P2Q2/PP3B1P/4R2K w - -,c4d5
2b3k1/8/5p1p/2N1p1pP/1nPpP3/5PP1/1P5K/1B6 w - -,c5d3
r2q1rk1/pp1b1pp1/2n1pn1p/2b1N3/2P5/4P1P1/PBQ2PBP/RN1R2K1 b - -,c6e5
3r1rk1/pB5p/4n1p1/5nP1/P4R2/NP5P/5K2/3R4 w - -,d1d8
4Rb1r/5P2/3k4/5KN1/8/8/8/8 b - -,d6d7
r2q1rk1/bb3pp1/p2ppn1p/1p6/4PP2/1NNQ4/PPPB2PP/2KRR3 w - -,d2e3
r1bqk2r/p1np1pbp/6p1/1p2p3/2BnP3/B1N5/PPPQNPPP/R3K2R w KQkq b6,e2d4
8/3k3p/6p1/3K4/3B3P/r5P1/8/8 w - -,d4e5
1r4k1/4p3/p1n1brpB/2P2p2/8/P4NPP/1R1qPPBK/8 w - -,b2d2
4r1k1/2p3pp/q1p1b3/prBpPp2/3Q1P2/2R3P1/PPP4P/2K1R3 b - -,a6c8
