6k1/R7/1P2p3/P3K2p/1r3pP1/8/6P1/8 b - -,h5g4
2rr1k2/p4pp1/b3p2n/P3P2Q/1pP1N3/4b1P1/1B1q2BP/1RR4K b - -,d2d3
3r1rk1/1p3pp1/7p/pq1p4/3B2Qb/5K1P/PP6/3R3R b - -,h4g5
rn1qkb1r/1b1p1ppp/pp2pn2/8/2PN1B2/1QN1P3/PP3PPP/R3KB1R b KQkq -,d7d6
2r2rk1/2qn2pp/p2p1b2/Np1Pp2n/8/4BP1B/PPPQ3P/2KR3R w - -,a5c6
2r1r1k1/3q1p1p/p5p1/1pnp2P1/3NnP2/PP2P2P/1B2Q1K1/3RR3 b - -,h7h6
rnb1q1k1/pp3rbp/2p3p1/3Npp2/2P3n1/BP3NP1/P1Q1PPBP/3R1RK1 w - -,d5c3
r2qk1nr/pp2ppbp/2np2p1/8/4P1b1/2PB1N2/PP1NQPPP/R1BR2K1 b kq -,d8c7
r1bq1rk1/pp1n1ppp/2n1p3/2bpP3/3N1P2/2N1B1P1/PPPQ3P/R3KB1R b KQ -,c5d4:a7a6
bqr1r1k1/4bpp1/pp1pp2p/4n3/2P1P3/PQN2P2/1P3BPP/2RR1BK1 b - -,c8c6
rnbq1rk1/1p2bppp/p2p1n2/4p3/2B1P3/2N1BN2/PPP2PPP/R2Q1RK1 b - -,c8e6:b8c6:h7h6:d8c7
5r2/1r2qpk1/6p1/3R4/7P/2p5/1P3QP1/R5K1 w - -,b2c3
r1bqkb1r/ppp2ppp/1n6/3Ppn2/2P5/P4N2/1P1B1PPP/RN1QKB1R b KQkq -,b6d7
4r1k1/ppq1rp2/2p3p1/2p1b1P1/P1B5/2P2Q2/1PP2P2/1K2R2R w - -,h1h6
3r1rk1/p1qnbpp1/bp2p2p/4P3/1np1N2P/1P4PN/PBP1QPB1/R3R1K1 w - -,e2h5
r1bq1rk1/pp2npbp/2np2p1/2p1p3/1PP5/P1N2NP1/3PPPBP/R1BQ1RK1 w - -,a1b1
rnbqr1k1/1p3pbp/p2p1np1/2pP4/P3P3/2NB1N1P/1P3PP1/R1BQ1RK1 b - a3,b8d7
r2r1nk1/1p3p2/p2bp2p/6p1/3N3P/2Pn1NB1/PP3PP1/R2R2K1 b - -,d6g3
6k1/pp4b1/2np2qp/8/6P1/2Bp1P2/PP2r2P/R3NQK1 b - -,g7c3
r1b2rk1/pp1nb2p/2p3p1/3q1p2/3P1B2/2PBPN2/P1Q1KP1P/6RR b - -,d7f6
6k1/5pb1/2p3pp/2B1p3/N1b1Pn2/2N4P/2P2PP1/6K1 w - -,a4b2
2rr2k1/1bq1bppp/p4n2/1p1ppNBP/4P1P1/5P2/PPP1Q1B1/1K1R3R b - -,d5e4
rnb2rk1/pp2qppp/8/4p3/3N4/4Q1P1/PP2PPBP/R4RK1 b - -,e7e8
4qrk1/1pr1b1pp/p2p1n2/P2Ppp2/2P5/1P2BB2/R4PPP/3QR1K1 b - -,e8g6
r3kb2/ppp2pp1/2n1bq2/8/4B3/2PPp2P/PPQ1P3/RN2K1R1 b Qq -,f6h4
8/4K3/2k1p3/1p2Pp2/1P3P2/1bN5/8/8 b - -,b3c4
8/5p1k/8/5rp1/7p/6qP/3Q2P1/3R2K1 w - -,d2c2
4rb2/2qb1p1k/pp1p2pp/2pP3r/P1P5/2PBBP2/3Q1KP1/R3R3 w - -,e1h1
4k3/8/2p1p1p1/rp2Pp1p/1K1P1P1P/5P2/1R6/8 b - -,a5a4
r3brk1/pp4pp/3qp3/3p4/2pP4/2P1PB2/PPQ3PP/R4RK1 w - -,e3e4
r3k1nr/pp1bbppp/1q2p3/n2pP3/2pP4/P1P2NPB/1P1N1P1P/R1BQ1RK1 b kq -,h7h5
4k3/4b3/2R2P2/4K2p/4N3/4B2P/6b1/5r2 b - -,g2h3
6k1/2p3p1/3p3p/r7/8/P1K5/4R3/8 w - -,c3b4
r7/3qbk1p/3p1rp1/3Pp2P/P3Q1R1/1p2B3/1P3P2/1K1R4 w - -,d1h1
r4r1k/pp5p/3p2pb/3Qp2q/6n1/1N3BB1/PP2PP2/R4RK1 b - -,h6f4
8/1p1r2kp/pP3qp1/8/8/1Q3P2/4RKPP/8 b - -,f6d4
r6r/pp1nkpp1/2p1pnp1/8/1bP5/2N3P1/PPR1PPBP/R1B3K1 w - -,h2h3
rn1qk2r/5pbp/p3p1p1/1ppbP3/5P2/2PBBN2/PP2Q1PP/R4RK1 b kq -,c5c4
r1b2rk1/ppq2p1p/2p3p1/4b3/1P6/6P1/PBQ1PPBP/R4RK1 b - -,c8f5
1r3rk1/3nppbp/3p2p1/qn6/3PPP2/4B2P/B4QP1/2RN1RK1 b - -,b5d4
r7/4k2p/1prp1pp1/p3pP2/P1PnP3/1P4P1/1K1R3P/3R1B2 w - -,f5g6
r4rk1/3nqppp/p2b4/1p2p3/2QnP3/4N1PP/1PP2PB1/R1B1R1K1 w - -,c4d3
6k1/1p2b1pp/p3p3/3pP3/8/2q1B3/PP3PPP/6K1 w - -,b2c3
1r3rk1/p4ppp/q2p1b2/2n1p3/b1PpP1P1/3P2QP/P2BN1B1/R4RK1 w - -,f1f6
8/2B4p/p1p1b3/2P3P1/P2pk3/1P6/3K3P/8 w - -,a4a5
4k2r/r3bp1p/p1bppp1Q/1pq5/4PP2/2NB4/PPP3PP/1K1R3R b k -,b5b4
7k/6p1/1p5p/p1qp4/P4P2/1P1Q1NK1/8/8 b - a3,h8g8
6k1/7p/R5p1/2p2rPn/P4P2/3rB3/7P/4R2K b - -,h5f4
2r4r/pp1nqpk1/3p1npb/2pPp1Np/2P1P2P/PP4P1/3NQPK1/R1B4R w - -,a1b1
r1b2rk1/1p2nppp/2p2n2/p3p1B1/P3P2N/1BP5/2P2PPP/R2q1RK1 w - -,a1d1
r1bqk1nr/3nbppp/pp1pp3/8/2P1P3/1NNB4/PP3PPP/R1BQ1RK1 w kq -,d1e2
8/2p3k1/p5p1/1p6/3Qqp2/1PP5/P5PP/6K1 b - -,e4d4
8/8/1p1b4/1P1k4/4Rp1P/4pP2/r3B1K1/8 w - -,g2f1
r1q2rk1/pp1n1p1p/4pPp1/6Q1/2PbN3/8/PP4PP/3R1RK1 w - -,d1d4
1q1r4/pp1r1pkp/1np1pbp1/8/2PP3P/QP2BBP1/P2R1PK1/3R4 b - -,h7h5
8/6r1/p4k1p/8/b3Pp2/2N2B2/P4P1P/5K2 b - -,a4b5
r1b1k2r/ppp1qppp/2n1p3/3p4/1bPPn3/5NP1/PP1BPPBP/RN1Q1RK1 w kq -,d2e3
8/4n1pp/3k1p2/1p2p3/1P2K1P1/3NP3/5P1P/8 w - -,f2f4
5rk1/p6p/1p4p1/2p2b2/PPPn4/R1B1b1P1/3N2PK/3B4 b - -,f5e6
rnbqkbnr/ppp2ppp/4p3/8/4P3/8/PPP1QPPP/RNB1KBNR b KQkq -,b7b6:e6e5
1r4k1/3b2p1/rp3pn1/2pPp3/P1P1P2P/2B3P1/1R4B1/R5K1 b - a3,b8a8
2r3k1/n4pp1/1q1bp2p/3p4/1p1P4/1Pr1PNP1/P1R4P/2RQ1BK1 b - -,a7b5
4K3/2q5/4Q1pk/7p/5P1P/6P1/8/8 b - -,c7b8
r1b1k1nr/pp5p/2n1p1p1/q1ppPp2/P2P4/2P5/2P2PPP/R1BQKBNR w KQkq -,c1d2
8/8/5p1k/5P1N/3K2PP/8/5n2/8 w - -,h5f6
1rb2rk1/1pq2n2/pNp1p3/2PpPp1p/5Pp1/4PBPP/PP1Q4/2R2RK1 w - -,f3e2
3q1r2/2r2kb1/p2p2pp/P3nb2/Q4P2/R1N4P/1PP3P1/2B1R1K1 w - -,f4e5
r1b1qrk1/2pn1ppp/1pNp1n2/8/p1P1P3/P1BB4/1PQ2PPP/4RRK1 b - -,c8b7
4rk2/1R5p/4p3/pp2B3/N7/5K2/PP4P1/4b3 b - -,b5a4
2bq1rk1/1p4pp/3N1pn1/p7/1b1Q4/1P4P1/PB4BP/2R2RK1 b - -,d8d6
r1bqr1k1/1ppn1pbp/3p2p1/p2P4/2P1Pp2/2N2N2/PP1Q1PPP/R2B1RK1 w - -,d2f4
r1bq1rk1/ppp3pp/1n2pp2/3pN3/1bPPn3/1PNQ2P1/PB2PPBP/R3K2R w KQ -,e5f3
8/7p/1p1kp1p1/pP1b1p2/Pb1P1P2/1B2B1P1/1K5P/8 w - -,b3d5
2r5/5R2/1p3pr1/p4k1K/5P2/2B5/PP6/8 w - -,f7h7
2r3k1/1b3pbp/p5p1/1p1p4/3NnP2/qPP2BP1/P1Q3KP/5RB1 w - -,f3e4
2r1r1kb/pp1b1p1p/5np1/2p2n2/2Q5/Pq1PNNP1/1P1B1PBP/1R2R1K1 b - -,b3c4
3r4/4kp2/1q1p1p2/4pP1Q/2P1b3/1p6/P2R2PP/K2R4 w - -,h5e2
3r3k/p5pp/1p3n2/2p5/5P2/P4qPQ/7P/B2rRRK1 b - -,d1e1
3r2k1/5pp1/pq1p3p/n1r1p3/1pP1P3/1P1R3P/P2Q1PPN/3R2K1 b - -,a5b7
r4rk1/3q1pb1/pp2p3/5p2/2PP4/5bB1/P3QPP1/2RR2K1 w - -,e2f3
r1r3k1/1p1nbp1p/2npb3/p3p1pq/P1P1P3/4BPP1/1P3NBP/1NRQ1RK1 b - -,e7d8
8/5pbk/4b1pp/2q1p3/3nP1P1/5N1P/1Q1N1PBK/8 b - -,d4e2
r3k1nr/pppq1pb1/2npb1p1/3Np2p/2P1P2P/3P1PP1/PP2N1B1/R1BQK2R b KQkq -,f7f6
r7/1p3pk1/2p3pp/1p6/P2RP3/1PP2P2/7P/7K b - -,c6c5
3r1rk1/pb2q1pp/1p1N1p2/7Q/3pp3/1P2P3/PB3PPP/2R1R1K1 b - -,e7d6
1r3rk1/p2n1pb1/b1np2pp/q1pN4/3PPNPP/2P1B3/P4QB1/R2R2K1 b - -,a5a3
8/Q6p/5pk1/P4p2/8/5P1P/q4PK1/8 b - -,a2d2
r2q1rk1/pp1n1pp1/2p1p1np/3pPb2/2PP4/bPN1BN2/P3BPPP/2RQ1RK1 w - -,c4d5
1r1r2k1/p2qbppp/2p1p3/3n4/Q2P4/P1N1B1P1/1P1R1P1P/2R3K1 b - -,d5e3
1r3rk1/2qbn1bp/4p1p1/pp1pPp2/2pP1PP1/P1P1B2P/1P2QNBK/2R2R2 b - -,f5g4
rn2k1nr/p4ppp/1qp5/2b1pb2/3P4/8/PPP2PPP/R1BQKBNR w KQkq -,d4c5
rnbqkbnr/pp3ppp/3p4/2pPp3/4P3/8/PPP2PPP/RNBQKBNR w KQkq c6,c2c4
r1b1kb1r/ppp1q1pp/2n2N2/1B1pp3/8/5N2/PPPPQPPP/R1B2RK1 b kq -,g7f6
2r5/ppRbkp1p/6p1/P7/1P6/6P1/5PBP/7K w - -,c7c8
6k1/7p/p2N1P2/P1pP4/1p6/8/1b2r2P/5R1K b - -,b2e5
8/8/7p/5p1P/PbNk4/5K2/8/8 w - -,c4b6
1k4rr/5p2/2pq1p2/p1b1pP2/Pp5N/3B1QP1/1PP5/R1B4K w - -,c1e3
2br2k1/5q2/p1n4p/3pR1p1/3P1p2/P1NQ1P2/5BP1/6K1 w - -,e5e1
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3P4/2NBPN2/PP1B1PPP/R2Q1RK1 w kq -,a1c1
4r1k1/6pp/1qp5/1p6/8/1Q2b3/1PP2PPP/3R2K1 b - -,g8f8
r1bq1rk1/pp1nbppp/4p3/2P5/2B2P2/P1N2N2/1P3PPP/R2Q1RK1 b - -,d8c7
r2q1r1k/6bp/3pn1p1/1N1Qpp2/2PnP3/3B3P/5PP1/1RB2RK1 b - -,e6c5
2rr1k2/1b3ppQ/p4b2/2N1pP2/1q1Pp3/2N4R/1P4PP/5R1K b - -,d8d4
8/p5k1/1p2p3/8/3n2pP/5b2/PP3K2/2R5 b - -,d4f5
r1b2rk1/p5p1/2p1pb2/2p4p/2P4P/1PB1P1P1/P7/RN2K2R w KQ -,e1g1
2r3k1/5p2/4pb1p/p4p2/4b3/1B6/1PPN1PPP/R5K1 b - -,f6b2
r5k1/r3ppb1/1Q1p2pp/1b1P4/1q3P2/1P2P1P1/2R2NBP/1R4K1 w - -,g2f1
3r2k1/4pp1p/6pb/PP2p3/8/r4P2/2R2K1P/1R6 w - -,b5b6
5rk1/2r1ppbp/Q1p3p1/3pNq2/3P1P2/8/PPbB2PP/2R2RK1 w - -,a6b6
r1rq2k1/pp1nppbp/2np2p1/3N4/2PNP3/1P2BP2/P2Q2PP/2RR2K1 b - -,a7a5
4r1k1/1pqB1ppp/1p3n2/p3n3/P3P3/1NP5/2P2QPP/1K1R3R b - -,e5d7
r4r2/1pq2kpQ/2p2B1p/p7/2P5/8/PPB2PPP/5RK1 b - -,f7f6
8/5pk1/4p3/q1p1n2p/2PpP1pP/PQ4P1/4BP2/6K1 w - -,b3b8
r1bqkb1r/4pppp/p1pp4/3nP3/8/2N5/PPP1QPPP/R1B1KB1R w KQkq -,c1d2
r1b2rk1/pp4pp/2p5/1Pqp1p2/5P2/3B4/P3NnPP/1R1QNR1K w - -,f1f2
8/p2r2k1/2R4p/1P1P4/2Pb4/6P1/5P2/6K1 b - -,d7f7
1r5r/4k1p1/R2p4/pP2p2p/P1P1B3/7P/5PP1/6K1 b - -,d6d5
8/8/2KP4/6p1/5kb1/8/6B1/8 w - -,c6c7
r2q2k1/5pp1/n1p1p2p/R2pP3/1P1Q4/4P1PP/3N1P2/5bK1 w - -,g1f1
2r5/2P5/2Rp4/3P1k2/2P5/8/6K1/8 w - -,g2f3
q3r1k1/1bpp1ppp/2n5/1Qb1p3/4n3/1BP2N2/1P1P1PPP/1NB2RK1 w - -,b3f7
r1b3k1/1p3p2/4pbpB/p7/P7/1P2q3/5PPP/3B1RK1 w - -,h6e3
8/p4k2/2p5/7K/8/6P1/P7/4b3 b - -,e1g3
6k1/p4np1/1p2Q2p/q2p4/1N1P3P/2P3P1/P4P2/6K1 w - -,e6e8
8/rp1nkpp1/2p1p2p/1p1p4/rPPP4/P1R1P1P1/3NKPP1/2R5 w - -,c4b5
4bN2/2k5/3p2p1/p2Pp1P1/1p2P3/1P6/P2K4/8 w - -,f8e6
1r1qrbk1/3n1pp1/p1npb2p/4p3/Pp2P1N1/3PNQ1P/1PBB1PP1/R3R1K1 w - -,f3g3
3r4/5p2/2p2b2/ppPr1k2/3P1p2/PP1R4/2KR1BP1/8 b - -,d8g8
2kr3r/ppp2p2/5b2/3q4/8/2BP1QPR/PP2PPK1/1R6 b - -,d5f3
rnbqk2r/p1pp2pp/1p2pn2/5pB1/1b1P4/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f1d3
6k1/pp2bppp/2q5/2p2b2/2P1p3/1Q2BP2/PPP3PP/1K1B4 w - -,b3b5
8/4k2p/r1pp2p1/P1np1p2/3N4/R2PP1P1/PrP2R1P/4K3 b - -,b2b1
1r3r2/5pk1/b3p1p1/3Bb2p/2P5/1P2B3/P2R2PP/2K4R w - -,d5f3
2r1r1nk/pppq2bp/3pb1p1/1P2n1B1/2PN4/4NP2/P2QB1PP/3R1RK1 w - -,f3f4
2rq1b2/pp3k2/4pp2/5b1p/2np4/2N2PB1/PPB1Q1K1/2R1R3 w - -,c2f5
r3r1k1/ppp2ppp/2nbbq2/8/3Pp3/2N2NP1/PP3PBP/R2Q1RK1 w - -,c3e4
8/5Rk1/1P1p1b2/p2P1Q1p/8/q4r1P/5B2/7K b - -,g7f7
6r1/3R2p1/p1rbk2p/Bp5P/2p2P2/2P3P1/6K1/3R4 w - -,d7b7
r3r1k1/1p2qp2/2p3pQ/p2nP3/5P2/8/BP4PP/4RR1K b - -,e7f8
8/1pk5/p7/P5R1/5r2/3K4/2P2P2/8 w - -,d3e3
b7/r2q1pkp/pRn1pbp1/2Pp4/B2P4/1Q3N1P/P4PP1/1R4K1 b - -,d7c7
1k3r2/8/p2p4/3Pn1p1/4Bp2/1P6/P1P3P1/2K1R3 w - -,e1h1
4r1k1/1Q3pp1/4r3/7p/P7/2P3P1/1P3P1P/6K1 b - a3,h5h4
r2qkb1r/pb1n1ppp/1p2p3/2pn4/3P4/P1NBPN2/1P3PPP/R1BQK2R w KQkq c6,e1g1
2r2r1k/1p3q1B/3p3b/pP1Np2P/2P5/3Q1P2/1P6/4K2R w K -,h7e4
r4rk1/1bqnbppp/pp1pp3/4n3/2P1P3/NQN1BP2/PP1RB1PP/R5K1 b - -,a8c8
r6r/pp2k2p/2p2np1/2b1pp2/2P5/4P1PB/PP3P1P/R2RB1K1 b - -,h8d8
8/pp6/4k3/4p3/8/1P1p2PP/P3RK2/3r4 w - -,e2e3
5rk1/1pr2pp1/p1qpb2p/8/P2RPP2/8/4B1PP/3Q1RK1 b - f3,c6c5
1R6/3pk3/4p3/1P6/1KP3p1/1P3r2/8/8 b - -,g4g3
8/5k2/R3pb2/5p2/6p1/B3P2p/3K1nPP/8 w - -,g2h3
4r1rk/5p1p/p1Np4/1p1P1pq1/4pb1n/2P2P1R/PP3QPP/3R1B1K b - -,e4f3
5bB1/8/7p/P5k1/3Bnp2/7P/6P1/6K1 b - -,f8c5
8/pp3k2/5P2/3b3P/3P4/6K1/P7/8 b - -,f7f6
5rk1/1p1r2pp/p1n2bn1/2pp4/P5P1/BP1PNRP1/2P1N3/4R1K1 b - -,c6d4
r1b1kb1r/ppq2ppp/4pn2/8/2n5/2N1B1P1/P1N1PPBP/R2QK2R w KQkq -,a1c1
rnbqkbnr/pp1ppp1p/6p1/8/3N4/8/PPP1PPPP/RNBQKB1R w KQkq -,g2g3
8/8/6k1/R5p1/5q2/7R/5P2/6K1 w - -,a5a6
2rq1r1k/pp4bp/4b1p1/P2Np2n/2B1P3/1Q3pPP/3B1P2/2R1K2R b K -,e6d5
8/8/7R/P2rk1pP/5pP1/8/5PK1/8 w - -,h6g6
8/1R3k1p/6rP/8/8/5P2/5K2/8 b - -,f7g8
r1bq1rk1/1ppn1ppp/3ppn2/8/p1PP4/P1Q2NP1/1P2PPBP/R1B2RK1 b - -,d8e7
3r1n1r/pp3kp1/4p1pp/1b1pP3/1b1B3P/P4N2/3N1PP1/2R2RK1 w - -,a3b4
2rr1k2/1b2Nppp/p2n4/1p2p3/5PP1/4P3/PP1B1KBP/R2R4 b - -,f8e7
r7/1p3Npk/2p4p/2P2b2/1PBp1P2/p7/P3K2P/2B5 w - -,f7d6
r2q1rk1/1p1nn1pp/4p3/3pPp2/p2P1P2/5BQP/PP4P1/R1B2R1K b - -,d7b6
3r3k/pp3qbp/6p1/2P5/1Pp5/3r2P1/P1Q2BBP/5RK1 w - -,f2e1
rnbq1rk1/pp2p1bp/2pp1npB/5p2/2P5/2NP2P1/PP1QPPBP/R3K1NR b KQ -,g7h6
3rr1k1/pp3pp1/q2bn2p/3R4/8/PQ2BN1P/1P3PP1/3R2K1 b - -,d6c7
r1bqkb1r/1p1n1p2/p1n1p2p/2ppP1p1/3P4/2PB1N2/PP3PPP/RNBQ1RK1 w kq -,d3c2
6k1/6p1/4p3/1p1q1n1P/1B4QP/P7/5P2/6K1 w - -,b4c3
6r1/1b2k3/2n5/pN2p3/P2pp2r/1P5P/3R4/2KR1B2 w - -,f1c4
8/2n5/6p1/P5K1/1k6/5P2/3N4/8 w - -,g5g6
3n1k2/p1q4p/1p4p1/3Bp3/2P1Q3/6P1/P5KP/8 w - -,h2h4
8/Q7/2p5/3b2p1/3P4/4Pk2/8/6K1 w - -,a7e7
8/8/5pkp/5R2/4B1P1/7K/3q1P2/8 b - -,g6g7
3r2k1/1p3r1p/p1p1N1p1/2q5/4P3/2Q1nPP1/P5KP/2R3N1 w - -,g2h1
8/pp3p2/4q3/1k1r4/1P1p4/5R2/P3PQ2/5K2 b - -,f7f5
1k6/p5p1/8/2p1n2r/p4R2/2P1Np2/1P1r1P2/1R4K1 b - -,h5g5
2r2r2/p5kp/3qp1p1/3nNp2/Pp1P3P/3b2P1/1Q2PPB1/5RK1 w - -,e5d3
r1b2rk1/3nppbp/1qp1n1pB/pp1pP3/3P4/3B1N1P/PPPQNPP1/R3R1K1 w - a6,c2c3
5rk1/p1p2pp1/2b3p1/2P1P3/2p2P2/8/P1Pr1BPP/2R1R1K1 b - -,f8d8
r5k1/1r3ppb/2p2b1p/p3p2P/RnRPPN2/4BPP1/1P3K2/5B2 w - -,d4e5
nrb2rk1/3nbppp/3p4/p1qPp3/PpN1P3/1P3N1P/2BBRPP1/2R1Q1K1 b - -,c5c7
8/8/3p4/2pPp1k1/1pP1P3/1P2n1K1/2B5/8 w - -,c2d3
rnbqk2r/ppp2ppp/5n2/4p3/1bPp4/3P1NP1/PP2PPBP/RNBQK2R w KQkq -,c1d2
6k1/3q2b1/p3p1p1/Qp6/3p1B2/1P6/5PPK/8 b - -,e6e5
3r2k1/5pp1/p7/2p2pP1/7P/8/PPP5/2K4R w - -,h1e1
8/8/6k1/6P1/4RK2/8/8/6r1 b - -,g1f1
8/8/5n2/1pN1pk2/3p2pP/P2P2P1/4K3/4B3 b - -,f6h5
r1bqkb1r/pp1n1ppp/2n1p3/1N1pP3/3p4/4BN2/PPP2PPP/R2QKB1R w KQkq -,e3d4
2rr2k1/1q3ppp/2pnpB2/pb2N3/p1BPP3/2P4P/4QPP1/RR4K1 b - -,g7f6
8/8/4Rpk1/6p1/3N3p/2r5/6K1/8 b - -,g5g4
2r2nk1/2rqbppp/bp2p3/3pP2P/p2P1BP1/P3RN2/1P3QPK/RB6 w - -,f2d2
8/4k3/6p1/1p3pP1/1P3P2/3N2K1/8/8 b - -,e7d6
rnbqr1k1/1p3ppp/5b2/pP6/3Pp3/P1N1B3/4BPPP/R2Q1RK1 b - -,c8f5
1r6/pp2n2r/2n1k1p1/5p2/2P5/2N2BP1/PP2P3/R4RK1 w - -,a1d1
8/1p3kp1/2b1p1p1/p2pBn2/3P1PQ1/8/Pq3P1P/6RK w - -,g4g6
4r2k/r1p2pp1/pp3q2/4n1B1/4B3/4P3/PPQ2PPP/3R1RK1 b - -,f6g5
r2q1rk1/pb3ppp/1p1bpn2/8/2N5/2PBB3/P1P2PPP/R2QR1K1 b - -,d6b8
r5k1/3R3p/p5pB/1p2p3/2r3pP/8/P4PK1/3R4 b - -,c4d4
3k4/7R/3Bp3/3bP3/5P1p/4K3/7r/8 w - -,d6e7
5r1k/1r1nbpp1/p4q1p/1p2N3/3B4/P7/1P2QPPP/2R2RK1 b - -,d7e5
r4rk1/pq1n1p2/1p1p2pp/2p5/1PPb2Q1/7P/P2N1PPB/2R2RK1 w - c6,h2d6
8/8/8/P5pp/1K3k2/5P1P/8/8 b - -,f4f3
r2q1rk1/pb2npbp/1p2p1p1/3p4/2Pp4/P1NP2P1/1P1BPPBP/1RQ2RK1 w - -,c3d1
7k/p2r4/1p2p3/2p2ppP/2Pn1qP1/P2Q1B2/1P3PK1/7R w - f6,g4f5
3r4/R2nk1p1/1p1r1p1p/7Q/7B/2q1P3/5PPP/5RK1 b - -,c3d3
r1bq1rk1/1pp1n1pp/2np1p2/p1b1p3/2P5/P1NPP1P1/1P2NPBP/R1BQ1RK1 b - -,c8g4
2r5/4Rpk1/4p2p/8/2P3P1/P2r3P/5P2/4R1K1 w - -,e1e6
4r3/3b1p2/1k3n2/pP1prP1p/P1pN2pP/2K1P1R1/2B2P2/4R3 w - -,e1d1
8/7p/2q1ppk1/5p2/7P/5RP1/B4R1K/8 b - -,c6b6
R7/5p2/pp3kpp/2n5/8/P3K3/5PPP/8 b - -,f6e5
6k1/4ppbp/p5p1/1p1P1b2/1N4n1/8/PP1N1PPP/2rBK2R b K -,c1d1
8/6k1/Rnp5/1p6/2p2P2/2N2K2/1P1r3P/8 b - -,d2b2
1rbq1rk1/ppn3pp/5p2/4p3/2Pp4/1P1P2P1/P1N2PBP/R2QR1K1 w - -,d1d2
