8/8/P6R/5p2/4pk2/8/r3KP2/8 w - -,e2f1
r4r2/pp1nppkp/3p2p1/3P1b2/q2N1P2/8/PPP1B1PP/R2Q1RK1 b - -,d7f6
q5k1/3r1pb1/p1Bp2pp/1p3n2/5B2/2PQ1N1P/PP3PP1/3R2K1 b - -,a8c6
r3k2r/2qbbppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 w kq -,b1d2
3r4/P7/6p1/1B5p/4ppk1/P1R5/8/7K w - -,b5d7
8/8/8/3p4/p3k1K1/P7/1P6/8 w - -,g4g3
2bn4/4k3/1P6/2NBP1pp/8/2K3P1/8/8 b - -,h5h4
r2qk2r/pp3pb1/2p1pn1p/8/3PN1P1/6P1/PPP1Q1P1/2KR1B1R b kq -,f6e4
6k1/1pq2ppp/5n2/p1b5/3p2b1/PP1P2P1/2QN1PBP/R1B1r1K1 w - -,d2f1
2R5/p7/1rPkp1p1/5p1p/2B2P2/b3K3/P6P/8 b - -,a3c5
4r1k1/6pp/p7/1p1q1p2/3PrBn1/1P4P1/P6P/R2Q1RK1 w - -,d1f3
4r1k1/1p1b2bp/2p2pp1/2P5/3pP3/7P/1B2BPP1/R5K1 w - -,b2d4
8/4nrk1/r2qb2p/1R3p2/1Qp1p3/2P1N1PB/5P1P/3R2K1 b - -,d6b4
rnbqkb1r/p3pp1p/3p1np1/1PpP4/8/6P1/PP2PPBP/RNBQK1NR b KQkq -,f8g7
r4rk1/pq1n1pbp/1p4p1/3n1P2/3Np2N/2P3PP/P3P3/R1B1QRK1 w - -,g3g4
r2r2k1/5pp1/2b1pn1p/pp6/5N2/PB3P2/1PP2RPP/R6K b - -,d8d6
r1bqr1k1/pp3pbp/n2p2p1/3P4/5P2/1N6/PP2B1PP/R1BQ1RK1 b - -,c8f5
r6k/1p4pP/p1n1p3/4p3/4P2b/1NPq1R2/P5Q1/R1B1K3 w Q -,f3f2
3r2k1/r2n1p1p/2Qq1np1/p1pP4/5b2/2B3N1/PP3PBP/3RR1K1 b - -,h7h5
r2q1rk1/pp2bppp/4b3/3p4/3P4/1Q2P1P1/PP4BP/R1B2RK1 w - -,b3b7
rr4k1/p3bppp/2p2n2/2Np1bB1/3P4/1Pq3P1/4PPBP/R2Q1RK1 w - -,a1c1
2b1r3/ppq1r1pk/3b3p/3pNp1n/3P4/P2Q1P1P/1P2R1PB/1B2R1K1 b - -,h7g8
5r1k/r3Npp1/1p3n2/p1p3p1/4P3/8/PP1R3P/3R2K1 w - -,e4e5
4r3/1p1Rrpk1/2p2bp1/q7/2B5/PQ1RPP2/4KP2/8 b - -,e7d7
rr3qk1/5pp1/1pp1nn1p/3p4/P2P4/1QN1PN1P/5PP1/1RR3K1 b - -,f8d6
r2qk2r/pp1b1ppp/2n1pn2/2b5/2Q5/5NP1/PP2PPBP/RNB2RK1 b kq -,c5e7
1q4k1/1b2bp1p/p2pp1p1/1p5n/1P2PP2/PN1P4/N3Q1PP/2B4K b - -,b8c7
1q1rrbk1/1b1n1ppp/pp2pn2/3p4/2P1PP2/1PN1R1PP/P3NBB1/2RQ2K1 w - -,c4d5
r2qnrk1/1b2bppp/1p2p3/p1ppP3/5BP1/2PBPQ1P/PP1N1P2/R3K2R w KQ -,h3h4
r3r1k1/pp3ppp/2n5/3p4/Nq6/1P3PP1/P4P1P/2RQR1K1 b - -,e8e1
8/pkp2p1R/1p6/4PprP/P2Pp3/2P4K/8/8 w - -,e5e6
r4rk1/1b1nppbp/1qp1n1pB/pp1pP3/1P1P4/P1PB1N1P/3QNPP1/R3R1K1 b - -,b6a7
5rk1/1R1R1p2/1q2r1p1/2p1p2p/2P1P3/2Q2P1P/6PK/8 b - -,b6c6
6Q1/8/2p2q1k/2p1n3/8/p5N1/5PK1/8 w - -,g8a8
r2r2k1/1p1qbppp/p1nppn2/8/2PNP3/1P3N2/PB3PPP/R2QR1K1 b - -,d7c7
8/8/6RK/7p/2k3rP/P7/8/8 b - -,g4h4
2r2qk1/p2b3r/1p1p1p2/n1pPpPp1/2P1R1Pp/R1PB1P1P/P4B2/K2Q4 w - -,e4e2
8/5p1p/6p1/2r3k1/8/7P/4BK2/8 b - -,c5c2
r4rk1/ppqnbppp/2p1pn2/3p1b2/2PP4/1QN1PN2/PP1BBPPP/R1R3K1 b - -,a8c8
2kn2rr/1p1bbp2/p2ppp1p/5P2/2BqP3/2NN3Q/PPP3PP/1K1RR3 w - -,c4b3
rn2kbnr/1b1pqppp/p7/1PppP3/8/2N2P1N/PP2Q1PP/R1B1KB1R b KQkq -,e7h4:f7f6:c5c4
8/8/8/8/8/4pr2/2K1k2R/8 b - -,f3f2
7r/1r1q4/npk1p2p/pR1pPp1P/P1pP1Pp1/2P3N1/2PK2P1/R6Q w - -,b5b1
3r1rk1/2q1bppp/4p3/1pN5/1Q3P2/4BR2/2P3PP/2R3K1 b - -,d8c8
r1br4/1p2ppkp/p5p1/NP1n4/8/6P1/3PPPBP/R2R2K1 w - -,a1b1
r5k1/pp4p1/1n3p2/5q2/2PB1P2/PP6/6QP/4rRK1 w - -,f1e1
8/r1kp3p/4p3/P1P1Ppp1/3R4/6PP/5K2/8 b - -,a7a5
2r2rk1/pp3ppp/8/3p4/bP1Bn1q1/P3P1P1/1Q2BP1P/2R1K2R b K -,g4h3
r1bqkb1r/1p1n1pp1/p2ppn1p/8/3NP3/2N1BQ2/PPP2PPP/2KR1B1R b kq -,d8c7
8/pn3pn1/2pr1k1p/4p1p1/1pb1P3/5PB1/PP2K1PP/1BR5 w - -,c1c4
3k4/2p1bpp1/p1p4p/4p3/4P3/P3B3/1PP1KPPP/8 b - -,c6c5
r1b1kb1r/1pqp1ppp/p1n1p1n1/8/3NP3/2N3P1/PPP2PBP/R1BQR1K1 b kq -,c6d4
r2qr1k1/pppb1pbp/2np1np1/8/2PPB3/2N2N1P/PP1Q1PPB/R4RK1 w - -,e4c2
r1b5/8/5R2/p1Bp4/P3k3/1P5P/7K/8 w - -,f6f8
r7/3n2kp/1q2b3/p3p1pR/5pP1/P7/1PP2P1P/R1Q3K1 b - -,h7h6
r1b1r1k1/pp2qppp/1np1p3/8/8/1P2B1P1/2Q1PPBP/2RR2K1 w - -,e3c5
4rrk1/2p2pb1/pp4pp/3bP3/PP4PB/7P/2P2P2/3RRBK1 b - -,d5c6
5r1k/5p2/pq1p2pp/1n2b3/2B1P3/3Q2BP/5PP1/1R4K1 w - -,g3e5
r2r2k1/p1q2pp1/1pp1p1bp/3nN3/3P4/P1P5/BP2QPPP/3RR1K1 b - -,g6h7
r1b2rk1/ppN2pbp/5np1/4n3/2B4q/1Q2P1N1/PP3PPP/2R1K2R w K -,c7a8
8/3bp1kp/3p1pp1/p1qP4/1p2P3/1P4PP/P2Q1PK1/5B2 b - -,c5c3
r1bqk2r/pppnbppp/8/8/3p4/2P2NP1/P3PPBP/R1BQK2R w KQkq -,c3d4
1r1q1rk1/1b3pbp/2np1npB/2p1p3/1p2P3/3P2PP/1PPQNPB1/R2N1RK1 w - e6,h6g7
2rq1rk1/5ppp/p2p1b2/1p1NpP2/2n1P3/2P2N2/PP2Q1PP/R4RK1 w - -,g1h1
2rq1rk1/pp2bppn/n2p3p/1Np5/4P3/PB4B1/1PP2PPP/R2Q1R1K b - -,c5c4
2r1k3/3bn1pp/p4p2/P2Bp3/4P3/B7/4NPPP/1R4K1 b - -,e7d5
8/7k/6p1/pqP5/3Q2PP/8/KP6/8 w - -,a2a3
rnb5/p4Qbk/1n4pp/1Np1P1q1/4B3/P7/1PPP2PP/R1B3K1 b - -,g5g4
r2qr1k1/1pp2pb1/p2p1np1/P2Pn1Np/7P/4BP2/1PP1BKP1/R2Q3R b - -,d8d7
8/5bk1/8/5K1p/2p5/R1P3r1/8/8 b - -,h5h4
rn2k2r/pb1qbppp/1p1ppn2/1NP5/2P2B2/5NP1/PP2PPBP/R2Q1RK1 b kq -,e8g8
6k1/3q1p2/4p3/Q6p/6pN/1p4P1/7P/7K b - -,d7d5
5b2/p5kn/p1Q1p2N/4P1p1/3P4/8/1q3BP1/2R3K1 w - -,h6g4
1r1nk3/R4ppp/1p2p3/p5b1/1PP5/PK3B2/5PPP/3R4 b - -,a5b4
3rr3/1bqn1pbk/p1p3pp/1p2p3/P3P3/2P1B1NP/1PB1QPP1/3RR1K1 w - -,c2b3
r2r2k1/1p3ppp/1R2pn2/8/p7/b4N2/2R2PPP/B4BK1 w - -,a1f6
r1bqrbk1/1p1n1ppp/2pp1n2/p2Pp3/2P1P3/2N1BN1P/PP2BPP1/1R1Q1RK1 b - -,d7c5
r1r3k1/3n1qp1/2p1p3/p2pPpB1/PpP4R/1P2QP2/4PK2/5NR1 b - -,d5c4
8/6R1/5pp1/5k1p/4p2P/r5P1/4KP2/8 b - -,a3a1
1r4k1/1pq1pp1p/p2p1bp1/2r5/P1P1Q3/1P4P1/3BPP1P/2RR2K1 w - -,b3b4
2rq1rk1/pb3pp1/1p2p2p/3nN3/3P4/2PB2R1/P4PPP/R2Q2K1 b - -,c8c3
r3r1k1/3n1pb1/pq1N4/2pP3p/2N3pP/6Pn/RP1QPP2/4RK2 b - -,b6b8
2rr2k1/ppq1bpp1/1np2np1/1N2p3/3P4/1Q2PPP1/PP1BB2P/2RR2K1 b - -,c7b8
6k1/ppq2pp1/2b2n1p/3pr3/3N4/2P3PP/PP1Q1PB1/4R1K1 b - -,c7e7
r3qrk1/1pp2pp1/p3pn1p/Pb2N3/1b1PP3/2N3P1/1PQ2PBP/R2R2K1 b - -,c7c6
8/pp6/3k4/8/P5r1/1PKN4/8/8 b - -,d6d5
6k1/2r4p/1p2pbp1/3p4/1N1Pp2P/r3P3/5PP1/R4RK1 b - -,a3a5
8/5k2/3bppp1/3b3p/1q3R1P/4B3/2Q2PPK/8 w - -,c2c1
2rq1rk1/1b3pb1/p2p2pp/1pnPp2n/4P3/P1NNBP2/1PQ1B1PP/R4RK1 b - -,c5d3
4b3/3r1k2/6p1/1p4Kp/1B2R2P/P4P2/8/8 w - -,e4f4
2r5/4kp2/1pp1n2R/1p1nr3/2p5/5P2/PP1B4/2KR1B2 b - -,d5f4
5k2/4bpp1/p1n1p3/2p1P2p/1pP1NP2/1P4P1/PB5P/3K4 w - h6,d1e2
r3r1k1/pp3pp1/2pb1qnp/3p4/3P1Pb1/1NNBP3/PPQ3PP/4RR1K b - -,f6h4
8/5kb1/R7/1p2Np1p/2r4P/P2K4/3B1PP1/8 b - -,g7e5
2Rrk3/1p2bppp/p3p3/4P3/8/4B3/PP3PPP/5K2 w - -,c8c7
r1b2rk1/ppq2ppp/1nnbp3/2p5/3P4/1BP2N2/PP2QPPP/RNB1R1K1 b - -,f8d8
6r1/8/8/5k2/7K/7N/8/8 w - -,h3f2
r5k1/1pr1bppp/1pn1p1n1/1B1pP3/3P2P1/P3BN1P/1P3P2/2RR2K1 w - -,c1c3
8/2b5/8/2R2p2/6p1/5rP1/1k2N1K1/8 b - -,c7d6
r2q1rk1/1b2bppp/1pn1pn2/p2p4/2PP4/PP1B1N2/1B1NQPPP/R4RK1 b - -,g7g6
r1b1qrk1/1pp2ppp/3p4/n1n5/p1P1PPP1/2N2N1P/PP2Q3/1BKR3R b - -,c8e6
2k5/7R/6p1/8/8/2r4P/5KP1/8 b - -,c8d8
8/1p6/p5k1/7p/R4K1P/1P4P1/P2r4/8 w - -,a4a5
2b2R2/1p6/2p3pk/4R3/8/r7/2P2K2/5Br1 b - -,g1f1
r1b1k2r/ppq2p2/4p1pp/3pP3/3Q4/1RPB4/P1PK1PPP/R7 b kq -,c8d7
2r1r1k1/1p2qppp/p4nb1/3p4/3NP2Q/3P3P/PP3RPB/5R1K w - -,d4f5
8/6kp/2P3p1/pp2R3/P7/1r6/6PP/4K3 b - -,b5a4
3r4/p5bk/3pr2p/2pRPp2/8/1P4P1/PB5P/4R2K b - -,h7g6
r4nk1/pb2b1pp/1p1pp3/1q1n1p2/2NP1P2/PP3RN1/1B2Q1PP/2R3K1 b - -,a8c8
r5k1/1b1q1pp1/p2r1n1p/1p2p3/4P3/P2BQ1NP/1P3PP1/3R1R1K b - -,a8d8
r3r1k1/pppq1pp1/3b4/3p4/3P4/2P1P1P1/1nQN1P1P/R4RK1 w - -,c2b2
r1bq1rk1/4ppb1/p1np1npp/1pp5/3PP3/2PBNP2/PP1BN1PP/R2QK2R b KQ -,d8b6
2r2k2/pp3p1p/2bR2p1/8/2P5/1P6/PB3PPP/6K1 w - -,f2f3
3R4/2k5/8/8/6K1/5P2/8/2r5 w - -,d8d4
8/4p3/5kp1/8/K3PBP1/P7/1b6/8 b - -,b2c3
1r1qr1k1/1p1nppBp/3p2p1/p2P4/PnP5/1PN3PP/5PBK/1R1Q1R2 b - -,g8g7
1N2k2r/5ppp/p7/6bP/1P1R4/5P2/1P4K1/8 w k -,b8a6
3br2k/6n1/1p1p3q/p1pP4/P1P1pPPp/1P2N3/3Q3R/5R1K w - -,d2c3
r1bq1rk1/1p1nbppp/2p2n2/p3p3/P1B1P3/2N2N2/1PPBQPPP/R2R2K1 b - -,d8c7
5bk1/1p3p1p/pRb1p1p1/8/2rPP3/P1N1KP2/1B4PP/8 b - -,f8a3
4r3/6kp/pp1p1np1/2pP2N1/P1P2P2/1P4PP/8/1B2K3 w - -,e1f2
r1bqk2r/2pn1pbp/p2pp1p1/1p1nP3/5P2/2N2N2/PPP1B1PP/R1BQ1RK1 w kq -,c3d5
r1q2rk1/pbpn1ppp/1p2p3/6B1/2pP4/P1Q1P3/1P2BPPP/R3K2R w KQ -,e1g1
8/1p6/p2n3p/5k2/8/2P2K1P/PP3N2/8 b - -,h6h5
rn2k2r/1b3ppp/pp2pn2/2b1N3/8/2N1P3/PP2BPPP/R1BR2K1 b kq -,b6b5
8/2r1p2p/3p1kp1/1p1P1p2/2r5/P4P2/1P1RRKPP/8 w - -,g2g3
2kr3r/pp4pp/2nb1p2/5p2/3P1P2/5NP1/PP3P1P/2KR1B1R w - -,f1b5
4r2k/1p4p1/2b4p/8/P3pP1P/1P1r3B/4R2K/4R3 w - -,h3g2
4rn1k/1pq1r1pp/p7/3p1p2/3P1P1P/2P1p3/PP1QR1PN/2R3K1 w - -,d2c2
5k2/pp1r1p2/3p2p1/2pPP2p/5P2/1P3P2/P6P/3R2K1 w - -,g1f2
rnbqk1nr/pppp1ppp/8/1Bb1p3/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq -,c7c6
2r1k2r/1p1b1ppp/p3p3/3N4/3q4/1Q1B4/5PPN/R3R1K1 b k -,d7c6
r1q1nrk1/1p1bb1pp/3p2R1/2pP1p2/P1P1PP2/2N1B3/2BQ1N1P/2R4K b - -,h7g6
r1bqk1nr/pppn1pb1/3pp1pp/8/2BPP3/2N1BN2/PPP2PPP/R2Q1RK1 b kq -,a7a6
8/p4p1k/2p3p1/2Pq4/8/P1Q3P1/7K/8 w - -,c3a5
rn2kb1r/1bqp1ppp/p3pn2/P7/1p1P4/1N1B1N2/1PP2PPP/R1BQK2R w KQkq -,h2h3
1b1r4/1p1rq1k1/p1p1ppp1/7p/2PP3P/1P2B1P1/P2RQPK1/3R4 b - -,e7f7
2bq1r1k/4n1rp/3p1bpQ/pB1N1p2/R3PP2/1PP1N3/3K4/7R w - -,d5e7
2r1r1k1/3R1ppp/p3p3/2b5/1p6/1P2PP2/PB3P1P/2R3K1 w - -,b2d4
r1b1k2r/pp2ppbp/2n2np1/q2p4/3P4/1QP1B2P/PP1NBPP1/R3K1NR b KQkq -,a5c7
r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP4/2NBPQ1P/PP3PP1/R1BR2K1 b - -,f8e8
5k2/7q/7P/8/4p3/4B1K1/8/8 b - -,h7f5
6k1/p5p1/4R2p/2p5/r1P5/6P1/5P1P/6K1 w - -,e6e7
8/pppR3p/6k1/8/8/2P1K2P/P1P3r1/8 w - -,d7c7
8/4n3/p3rk2/2R1N2p/5P1P/P1P1K3/8/8 w - -,e3f3
R7/P5pk/4p3/7p/4p2P/4P1P1/5PK1/r7 w - -,g2h2
r1bq1rk1/ppp1bppp/1nn5/2Pp4/3P4/2N1B3/PP2BPPP/2RQK1NR b K -,b6c4
r2qr1k1/pp2ppbp/2n3p1/3b4/3P4/B3PN2/P2QBPPP/1RR3K1 b - -,a8b8
1R6/3pkp2/4p3/Q1p1Pp2/p1Pq2r1/3N2P1/5K1P/8 w - -,f2g2
8/8/8/2bk2pp/1p2pp2/1P2P1PP/3B4/5K2 w - -,g3f4
r1b1rbk1/ppqn4/2p2p1p/4pPp1/2PpP1PP/PP6/2QBP1B1/R3NRK1 w - -,f1f3
2b1k2r/r5b1/1q2p1Pp/1p1pP1RN/pPnP4/P2B4/R4PP1/2BQ2K1 b k -,h6g5
2rq1rk1/pp2bppp/2n1bn2/3pN1B1/2pP4/2N1P1P1/PP3PBP/R2Q1RK1 w - -,f2f4
2rq1rk1/pp1b1ppp/8/3p4/1P1Bn3/P3P3/1Q3PPP/3RKB1R b K -,d7a4
r2qk2r/pb2bppp/2np1n2/1pp1p3/4P2N/1P1P2P1/PBPN1PBP/R2Q1RK1 b kq -,g7g6
r4r1k/3bq1bp/n1pp2p1/4pp1n/Q1P5/2NPBNP1/4PPBP/R4RK1 w - -,e3d2
1rbq1rk1/ppn1ppbp/1np3p1/N7/3PP3/1P3NP1/1BQ2PBP/R2R2K1 w - -,f3e5
2rq1rk1/p4pbp/1pn1p1p1/3P4/4P3/4BN1P/P3QPP1/3R1RK1 b - -,e6d5
2rq1rk1/5pbp/2ppb1p1/p2n4/3NB3/2P2P2/PP3BPP/R2Q1RK1 b - -,d8g5
r1bq1rk1/1ppnbppp/p3pn2/8/2NP4/6P1/PP2PPBP/RNBQ1RK1 w - -,e2e4
r2qr1k1/1pp2ppp/p1b2n2/3p2P1/3QP2P/2N2P2/PPPB4/2KR3R b - -,f6h5
5k2/5p2/4qp2/p7/2P2R2/5QPK/1P1r4/8 w - -,f3g4
8/8/3p4/3P2kp/1R4b1/6P1/r3BK2/8 w - -,b4e4
3r1nk1/pp2rp1p/2p1pbp1/1P5n/P1PPB3/4N3/1B3PPP/3RR1K1 b - -,c6b5
1b6/1p2kp2/p1p3p1/2P4r/1P1P1PB1/2B3P1/1P2Rr2/6K1 b - -,f2e2
r2q2k1/p4ppp/1pn1rn2/2pp4/3P4/P1PQPPN1/4R1PP/2B2RK1 b - -,h7h5
4r3/8/4rk1p/3R4/5P2/3RPK2/8/8 b - -,e8a8
r1b2rk1/ppp1qppp/2n2n2/3p4/1b1P4/2N2NP1/PP1BPPBP/R2QK2R w KQ -,e1g1
r3k2r/3pp1bp/n1q2pp1/2pN4/4PB2/2Q5/PP3PPP/R2R2K1 b kq -,d7d6
3r2k1/pp2qpb1/6pp/1B6/1P2Q3/5n2/PB3PPP/R5K1 w - -,e4f3
r3kb1r/1p1n1ppp/p1p1p3/2Pp4/1P1PnB2/4PN1P/1P3PP1/R3KB1R b Kkq -,a8c8
5rk1/r5pp/1nRp4/3Pppb1/1P2p3/P5NP/1B3PP1/3R2K1 b - -,b6a4
6k1/4bqp1/3pp1np/rpp1p3/4P3/1QPPN1PP/1P3PKN/4R3 w - -,b3c2
rnbqr1k1/p4ppp/2pb1n2/1p1p4/1P1P4/P1NBP1N1/3B1PPP/R2QK2R w KQ -,e1g1
r3k2r/pp1bqppp/2n1pn2/2Pp4/8/2PBPNP1/PP1NQPP1/R3K2R b KQkq -,e7c5
r1b2rk1/p2nqppp/1pp1p3/4P3/4N1Q1/4P1B1/PPP2PPP/R4RK1 b - -,f7f5
8/8/5p2/8/1N3p1p/5PbP/2p1K1P1/1k6 w - -,b4c2
2k2r2/p1p3p1/2n1r2p/4p2q/3pN3/3Q1P2/PPP3PP/R1B1R1K1 w - -,e4g3
3R4/p5pk/8/2p2p1P/Ppr2P2/6P1/6K1/8 w - -,d8b8
r1bqr1k1/4b2p/np2p1p1/p2pPp2/3P1PP1/P1NBB3/1P2Q2P/R4RK1 b - -,a6c7
r2r2k1/ppq1bppp/2bppn2/6B1/3NPP2/2N5/PPPQ2PP/2KRR3 b - f3,h7h6
2r1k3/1n2bp1p/p1rpp1p1/1p4P1/2P2P1P/BP2PK2/P2RN3/3R4 w - -,e2d4
