8/6p1/5k1p/8/4P3/2P3P1/1P1rRK2/8 b - -,d2d3
r1b1q3/pp4k1/2p1pb1r/2P5/3P1Np1/P5K1/1P1QRP2/3R4 w - -,d1e1
r1bqr1k1/1p4b1/p2p1np1/2pPn2p/P3p3/R1N1BP1P/NP1QB1P1/5RK1 w - -,c3e4
1k1r3r/1p4pp/pb1q1p2/1nNPpP2/1P1nP3/5N2/3BQ1PP/1R3R1K w - -,f3d4
4Q3/p4pk1/1pn2pBp/3p3P/2r5/8/P4PP1/4q1K1 w - -,e8e1
r1bq1rk1/1p3pBp/1np3p1/p2pP1b1/P2N4/1PNB1Q2/2P2PPP/3RR1K1 b - -,g8g7
1r1q1rk1/1p3pbp/p2pb1p1/2pnp3/1PPnP3/P2PBPP1/4N1BP/1R1Q1RK1 w - -,c4d5
r3r1k1/1p2bppp/p2p4/6Pn/4bpqP/1P6/PBP1NQB1/R4RK1 w - -,g1h2
2r3k1/5pp1/4pn1p/qpNp4/3P4/P2QP2P/5PP1/1R4K1 b - -,c8a8
rq4k1/1p1Q1pbp/pN2p1p1/Pn2n3/2R1P3/1P3P2/5BPP/5R1K w - -,c4c8
r4k2/1b1n3r/pp1P4/1Pp2p2/P1B1pPp1/4P1P1/1B3Kq1/2R4R w - -,f2g2
1q1r1k1r/4bppp/1pB1pn2/1N6/P4Bn1/8/1PP3PP/R3QR1K b - -,e6e5
5r1k/6pp/8/8/P2n1q2/1Q5P/1PP3P1/R6K w - -,b3d3
3k3r/1p2r1p1/p5p1/1N3p2/5B2/8/PP4nP/2R2R1K w - -,f1d1
3r2k1/p2q1rbp/1p2p1p1/5p2/2Pn3B/1PNQ1P2/P5PP/3R1R1K b - -,g7f6
r1bq1rk1/1pp2pb1/p1np1n1p/4p1p1/B3P2B/2PP1N2/PP3PPP/RN1QR1K1 w - -,h4g3
r1b1qrk1/pp4bp/nnp1p1p1/4Pp2/2PP4/1PN2NP1/P3Q1BP/R1B2RK1 b - -,a6c7
1rbqk2r/1p2bpp1/p2p2nn/2pPp1Np/2P1P2P/2NB1PP1/PPQB4/R3K2R b KQk -,c8d7
r1b1k2r/ppqnbp2/2pp1n2/4p1Np/3P2pP/2PBP1B1/PPQN1PP1/R3K2R b KQkq -,h8g8
6k1/1p3p2/p6p/8/5R2/PP6/1N1r1PPP/6K1 b - -,d2b2
8/7p/4k3/1n2P1P1/5K2/p7/8/2B5 b - -,a3a2
3r1rk1/1bqnbppp/pp1pp3/8/2P1PB2/1PN2Q1P/P4PP1/1BRR2K1 b - -,f7f5
rnb2rk1/ppp2pp1/5q1p/3p4/3P4/P1Q1P3/1P3PPP/R3KBNR b KQ -,c7c6
2r1Rrk1/6p1/5p2/3q1P1Q/1p3BPP/8/5P2/6K1 w - -,e8e7
3r2k1/1pp2pp1/6np/1P2p3/1q2P3/1P1BR2P/Q4PPK/8 b - -,g6f4
2r1kb1r/pp1qpppp/2np1n2/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w k -,d2d4
r1bqk1nr/pp2ppbp/2np2p1/8/3PP3/6P1/PP2NPBP/RNBQK2R b KQkq -,c8g4:e7e5
rnb1qrk1/ppp3bp/3p2pB/3Ppp2/2P1Pn2/2N2N2/PP1QBPPP/R3K2R w KQ -,h6f4
k2rn2r/pp3p1p/1qp1b1p1/3p4/Q2P4/2RBP1N1/PP3PPP/1KR5 w - -,c3b3
1r3rk1/p1pq2b1/3p2p1/PPpPpb1p/2Q4P/3P2P1/3N1PB1/1R3RK1 b - h3,g7h6
3bqr1k/1p3p1p/p2p2p1/2rNn3/2P1P3/1P5Q/P3BRPP/5R1K b - -,h8g7
r2qr3/pp1b1pbk/3p1npp/n1p1p3/4P3/2PPBNNP/PPBQ1PP1/3RR1K1 b - -,a8c8
1r6/1p2kpp1/p2pb2p/P1r1p3/1KP1P1PP/1P1B1P2/4R3/R7 w - -,a1g1
r3qrk1/1pp2pbp/3p1np1/p2Pp3/1nP1P1b1/2N2N2/PP2BPPP/R1BQR1K1 w - a6,c1e3:h2h3
r4q2/Pp2r1kp/1Pp2pp1/8/2Q5/2N2BP1/5PKP/3R4 b - -,a8d8
8/3Nk1p1/2p1p3/1p1bB3/6P1/2P2P2/2P2K2/8 b - -,e7d7
2r1r1k1/pp3ppp/1q3b2/3p4/3p1P2/1N5P/PPPB3K/R2Q1R2 w - -,d2a5
8/3N2kp/6p1/2b2p2/1pP5/1P3RP1/r4PK1/8 b - -,c5d4
4rrk1/pp1bn1b1/2p3pp/2Pp1p2/3Pp2P/NP4P1/1P2PPB1/R1BR2K1 w - -,a3c2
r2q1rk1/4p1b1/pp3n1p/3P1bp1/2P2p2/1N5P/PP1QB1PB/R4R1K w - -,e2f3
8/5p2/4p1k1/R3N2p/4r2b/8/5PK1/8 b - -,g6f6
rn1q1rk1/pbpp2pp/1p2p3/5pn1/2PP4/2PBP3/P1QN1PPP/R1B2RK1 w - -,f2f3
2r5/3nkpp1/3Rpnp1/1p6/r4P2/PN2N3/1P4PP/3R2K1 w - -,g2g3
2r3k1/1rq1npbp/3p2p1/Rp1P4/1P1Bp3/6P1/R1PQ1P1P/5BK1 b - -,e7f5
r1bq1rk1/bpp2pp1/p1n2n1p/3pp3/4P3/1BPP1NN1/PP2QPPP/R1B1K2R b KQ -,c8e6
r3rqk1/1p3pb1/nBp3pp/p3p3/2P1P3/1P4PP/2Q2PB1/R4RK1 b - -,a6c5
r3qrk1/1pp2pbp/p2p2p1/3Pp2n/P3P1P1/2N1BQ2/1PP2P1P/R2R2K1 b - g3,h5f4
5nk1/1p2r2p/p2R2p1/3P1p2/8/2P1rB2/PP4PP/5R1K b - -,f8d7
r1b1k2r/p5pp/1p2pp2/3nB3/1P6/2PK4/P1N2bPP/RN5R w kq -,h1f1
r2qkb1r/pp1nppp1/2p2n1p/5b2/3P3B/2N2N2/PP2PPPP/2RQKB1R w Kkq -,d1b3
r3k2r/pp3ppp/4p1b1/3pP3/2nn1NPb/5PN1/PP4KP/R1B2B1R w kq -,f4g6
1rr2k2/p5p1/4Q2p/4P3/2p5/2P5/PP3KPP/8 w - -,f2e3
r3k2r/1ppb1ppp/p1n1pn2/q7/1bBP1B2/5N2/PPP1NPPP/R2Q1RK1 b kq -,e8g8
r4rk1/p3pp1p/n1P2bp1/8/4n3/5N2/P2BNPPP/1R3RK1 w - -,d2a5
3rrbk1/5pp1/p1np2qp/1pp5/3PP3/P3BN1P/1PQ2PP1/2R1R1K1 b - -,d8c8
r1b1qr1k/ppn1b1pp/2pp1n2/4pp2/1P2P3/2PP1NP1/PBQN1PBP/R4RK1 b - -,f5f4
r7/6k1/1n1p2P1/4b3/2p5/BPP4R/PK6/6R1 b - -,b6d5
rnb2k1r/pp2nppp/4p3/2ppP3/q2P1NQ1/P1P5/2PB1PPP/R3KB1R b KQ -,b8c6
r1bqr1k1/3n2bp/p2p2p1/2pP4/Np2pB2/5N2/PPQ2PPP/R3R1K1 w - -,e1e4
6k1/1Q3p2/4b2p/2q3p1/8/5BP1/r4PP1/4R1K1 w - -,f3e2
8/8/3k4/1K4P1/4n3/P4N2/8/8 b - -,d6d5
3q2rk/1r2Np2/3pbPpp/p1p3QP/np2P1n1/3P2N1/P1P3B1/2B2RK1 w - -,g5f4
2r4k/p6p/3r1bp1/Bpp5/8/P2PP3/1P1R1PBP/6K1 w - -,g2b7
2rr2k1/1b1nqppp/pn2p3/1p6/P2pP3/1P2QNP1/5PBP/RN2R1K1 w - -,f3d4
r3r1k1/ppp2ppp/5n2/q4PP1/b1PQ4/4P3/P3B2P/R1B2RK1 b - -,a8d8
8/4k3/p5pp/5p2/1p6/1r2PP1P/6P1/R2K4 w - -,a1a6
rn1qkbnr/pbp2ppp/1p1pp3/8/3PP3/2N2NP1/PPP2P1P/R1BQKB1R b KQkq -,b8d7
r1bqk1nr/pp2ppbp/2p3p1/3n4/3PN3/1B2B3/PPPQ1PPP/R3K1NR w KQkq -,g1f3
8/4k3/4p2p/Pr6/5KP1/P4P2/R7/8 b - -,b5a5
2q1nk2/r3bp1r/1p2p2p/1Pp1P1PP/p1PpR3/3P1N1K/1P2Q3/2B3R1 b - -,h6g5
8/1p2kp1p/p2np3/b3Np2/3P4/4P3/5PPP/2N2K2 b - -,a5c7
5r2/1k2B1b1/p6p/Pp1Pp1pP/2P1P1B1/R7/2r5/3R2K1 b - -,f8f2
2r1k2r/4ppbp/p1qp2p1/1b6/1Q4PP/1P1BBP2/P1P5/1K1R3R w k -,d3e4
r4rk1/p1q1ppbp/1pn3p1/2p5/2BPP3/2P1Bb2/P3QPPP/R2R2K1 w - -,g2f3
3q2k1/5p1p/4p1p1/p3P3/1nB1Q2P/6P1/1P3P2/6K1 w - -,g1g2
8/5p1p/2n1p3/ppr1Pp1k/P4P2/1PBK2P1/2R4P/8 w - -,a4b5
2Q5/3B2p1/1kpb4/1p1p2pK/8/2r1r2P/8/8 w - -,c8a8
3r4/3r1k1p/P2p4/2pRp1p1/4P3/5P2/1R4PP/6K1 b - -,f7e7
5rk1/5p1p/3p2p1/3P1bq1/B7/2Q2P2/1PPKR2P/8 w - -,c3e3
8/8/8/4N3/p1k5/np6/3K4/8 b - -,c4d4
8/5PR1/6K1/7p/7k/8/5r2/8 b - -,h4g4
3r4/1p3kq1/p2b2r1/P1pPp3/2B1Ppp1/3K1P2/1P4P1/3Q2RR w - -,g2g3
3rk2r/1b3ppp/p3p3/B1p1P1P1/1p3P2/1P6/1PP4P/2K2BR1 w k -,a5d8
r2qrnk1/3n1pb1/b2p2p1/pppP2Pp/4PP1P/4B1Q1/PP1N1N2/1R2RBK1 w - -,d2f3
r7/5ppk/1p4n1/4pq2/PP2p2p/4PP1P/1BQ3P1/3R2K1 w - -,f3e4
r3r1k1/5ppp/2q1b3/p1Bp4/P1pR1Q2/2P1P2P/2B2PP1/2R3K1 b - -,c6c5
2r3k1/p2q1p1p/1p1r2p1/3P4/P2R4/4Q1P1/5P1P/3R2K1 b - -,c8c5
3r4/3b1p2/3p1k2/p1r4p/1p1N1P2/1P2R2P/P3RKP1/8 w - -,f2g3
r1b1nrk1/4b1pp/pqp5/np1pPp2/3N1P2/2NB4/PPP3PP/R1BQ1RK1 w - -,c1e3
rn4k1/5ppp/p3p3/2rn4/8/R2BP2P/3BKPP1/R7 b - -,c5c6
2R5/P3kppp/8/3p1P2/3P3n/8/r7/6K1 w - -,a7a8q
8/1p3p2/p1p5/P4P1P/1PkP4/6p1/2K4r/6R1 w - -,c2d1
r1q1r1kb/pppnpp1p/3p1npB/8/3P2b1/2N2NP1/PPPQPPBP/R3R1K1 w - -,f3g5
3r2k1/5pp1/pq5p/3bP3/3p1R2/8/5QPP/5R1K w - -,f1d1
8/4bpp1/6k1/1rBR4/rPR5/6PP/5P2/6K1 w - -,d5d4
2k5/1p5p/p1n2p2/3p1p1N/3P2r1/2P3n1/PP3qP1/R1Q1R2K w - -,h5g3
rnb1k2r/1p3ppp/2p1pn2/3q4/p2P4/1PB2N2/P1P3PP/2KRQB1R w kq -,f1c4
r1b2rk1/ppqnppbp/2p2np1/8/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 w - -,h2h3
5Q2/8/k7/1r3p2/8/8/2K5/1n6 w - -,c2d3:f8c8
8/8/8/8/8/2k1n3/1p2K3/1B6 b - -,c3d4
8/5p2/4p3/4P1K1/4kP2/8/8/8 b - -,e4f3
r2qk2r/3nbppp/p2p1n2/3Pp3/Pp6/6P1/1PP1NPBP/R1BQ1RK1 w kq -,c1d2
8/3rk3/2Q5/2Pn3P/3P1p2/P7/1P4P1/6K1 w - -,h5h6
3rr3/q5kp/p2p2p1/1p1B4/2PR1Pb1/1P4P1/P7/3R1QK1 w - -,d5f3
rnbqkb1r/p1pp1ppp/1p2pn2/8/8/1P2PN2/PBPP1PPP/RN1QKB1R b KQkq -,c8b7
rnbqkbnr/ppppp2p/6p1/5p2/8/3P1N2/PPP1PPPP/RNBQKB1R w KQkq -,e2e4
8/5pp1/4q1k1/7p/3Qp2P/6P1/5P2/6K1 b - -,f7f6
r2q1rk1/4bppp/pp1ppn2/2n5/2PN4/BPN1Q1P1/P3PPKP/R2R4 b - -,f6g4
5Q2/7p/6p1/6q1/3p2Pk/7P/5P1K/8 w - -,f2f4
3r1nk1/2p2qpp/1p1n1p2/p2p4/P2P1NQ1/2PP2BP/5PP1/4R1K1 w - a6,h3h4
2r1r3/5pbk/p2p2pp/1p2P3/3BRP1q/1P5P/P2Q2P1/3R3K w - -,e5e6
r1bqkbnr/pp3ppp/2n1p3/2pp4/4P3/2PB1N2/PP1PQPPP/RNB1K2R b KQkq -,g8f6
2kr2r1/ppqbn2p/2n1pp1B/3p4/2pP3N/P1P5/2P2PPP/R2QRBK1 w - -,d1f3
r4rk1/p4p1p/4pbp1/1q1p4/R2P4/2PN3P/1P3PP1/3QR1K1 b - -,a7a5
r4rk1/1bq1ppb1/p2p2p1/1p5p/2B5/2P1BP1N/P1PQ2PP/1K2R2R b - -,c7c4
3r1rk1/1p3ppp/q2b1n2/p1p2P2/P1N5/1PN1BQ2/2n3PP/3R1RK1 w - -,d1d6
r1bqr1k1/1p2bp1p/2p1nnp1/p2p2B1/3P4/P1NBPN1P/1PQ2PP1/1R3RK1 w - -,g5h6
b1r1r1k1/5pbp/1np2qp1/Np2p3/1P2Pn2/2P2NPP/1BQ2P2/3RRBK1 b - -,f4e6
2r2r2/1b1qnpbk/1pn1p1pp/pNpp4/2P5/P2PPNP1/1PQB1PBP/1R2R1K1 b - -,f8d8
r1b2rk1/pp1nq1bp/6p1/2p1pp1n/2P5/BPN1PNP1/P1Q2PBP/R4RK1 b - -,d7b6
8/4k3/8/4P3/3R3K/3pr3/8/8 b - -,e7e6
6k1/3n1nb1/1p2q2p/pPp2p2/P1P1pB2/4P1NP/4BP2/3Q2K1 b - -,d7e5
r3k2r/1p1n2p1/p1p1p1p1/3p1p2/2PPn3/P2BqP1P/1P4P1/R2QBR1K b kq -,e4d6
2kr3r/ppp2ppp/4p1b1/3n4/5nP1/5P2/PP1QNK1P/R6R b - -,f4d3
3qr1k1/pp3p2/2bBp1np/4P2Q/2p5/P3RN2/1P3P1P/6K1 b - -,g8g7
8/7p/5kp1/3p1b2/Pr6/1P4KP/5RP1/8 w - -,f2b2
2r3k1/2rq1ppp/p2p1bn1/P2Bp3/1pP1P3/1N1R2P1/1PQ2P1P/5RK1 w - -,f1d1
8/5rkp/2R2pp1/p3p3/P1Q5/qPp5/2P2PPP/6K1 w - -,c4f1
r2qr1k1/p2n1ppp/bp2p3/2bNP3/P1p5/1P3NP1/4QPBP/R1BR2K1 b - -,e6d5
3rr1k1/1p1nbpnp/1qp3pB/p2p4/1P1P4/P1NQPP2/3N2PP/1R3R1K b - b3,a5b4
8/8/3K4/1k6/2NP4/2n5/8/8 w - -,c4e3
6k1/3q2p1/5p1p/3Pb3/1p4P1/1P3Q1P/P3R1K1/r4B2 w - -,e2c2
1k6/1r5p/p2Q3p/Bp3p2/1P3Pq1/4P3/6P1/6K1 b - -,b8a7
r3k2r/1b2bp2/p2pp2p/1p3NPn/2q1P2B/2N1Q3/PPP3PP/2KRR3 b kq -,e6f5
rnb1k1nr/pp2ppbp/6p1/3q4/2Bp4/N1P2N2/PP3PPP/R1BQK2R b KQkq -,d5d8:d5e4
R7/8/8/4K3/P7/8/1k6/r7 b - a3,b2b3
3r4/1p3q1k/p3b2p/2bpPpp1/1P6/5Q2/P4PP1/3RR2K w - -,b4c5
3R4/1k6/8/5KP1/p1r2P2/8/8/8 b - -,b7c7
3r2k1/pq1rnpbp/1p2p1p1/n1p5/4PP2/2P1NNP1/PP2QB1P/R3RK2 w - -,e4e5
r1br2k1/1p2qpp1/p1n2n1p/2P5/5B2/3B4/P1Q1NPPP/1R1R2K1 b - -,f6g4
1r2k2r/2q1bpp1/p1bppn1p/2p3B1/2P1P3/1PN3P1/P4PBP/R2QR1K1 w k -,g5f4
3rr1k1/ppb2ppp/2bq1n2/2p2BN1/3p4/1PP1P1PP/PBQ2P2/R2R2K1 b - -,h7h6
r1b1r1k1/2q1bppp/pp1pp3/2n1n3/P3P3/1N1BBP2/1PP1NQPP/2RR2K1 w - -,b3c5
2n5/2N2pk1/4b1p1/6Pp/3K3P/3B4/P4R2/8 b - -,e6d7
3rr1k1/1pqnbppp/2p1p3/p3P3/2PB4/1P2QN2/P4PPP/3R1RK1 b - -,a5a4
r4rk1/1p1nqppp/2pb1n2/p2pp2b/2P5/PPBP1NPP/3NPPB1/R1Q2RK1 w - -,e2e4
2r1k2r/1pqnbppp/p2pbn2/P3p3/4P3/1NN3PP/1PP2PB1/R1BQ1RK1 b k -,e8g8
6k1/5p2/2bb2pp/1p5n/7P/1P1B3K/P2R2P1/2r5 b - -,c6d7
8/k2n4/pp1N2n1/3N4/PPK5/2P5/8/8 b - -,g6e5
r2r2k1/3n1ppp/p1b1pb2/P7/Npp1PP2/4B1P1/1PP3BP/R2R2K1 b - f3,a8c8
8/3b4/8/6pk/7p/4B3/7K/8 b - -,d7b5
1k1r2r1/pp1b4/2np1pp1/4p2p/2q1PP1P/P1PpQ1P1/1P3N2/1KRB3R b - -,f6f5
1r4k1/5p2/3p2pp/p1p1p1q1/PrPnP3/1P2QPP1/1R3K1P/1R1B4 w - -,f3f4
1r2r1k1/p4pbp/3p2p1/3P3q/2R1p3/1P2BP2/P2RQPKP/8 b - -,h5h4
5rk1/8/1N2q1p1/5p1p/5Q2/1P1rp3/P1R3PP/5R1K b - -,e6b6
r1b1k2r/p1pp1p1p/1np1q1p1/4P3/1bP1QP2/2N5/PP1B2PP/R3KB1R b KQkq -,e8g8:a7a5
3r2k1/4bppp/p1q1pn2/3r4/PpN2P2/1P3Q2/1BP3PP/R4R1K w - -,a1e1
2k4r/p1p1b2p/2p1b3/3n4/3Pp3/4B2P/PPP2PP1/R3K2R w KQ -,e1e2
2r2k2/pp3ppp/8/3p4/8/2P2P2/P2K2PP/2R5 b - -,f8e7
1k1r4/1p6/p7/3r1p1p/5qp1/1PPp2P1/1P1R1P1P/3R2K1 w - -,g3f4
r4rk1/pp2b1pp/2n1pn2/1N1p2B1/8/6P1/PP2PPBP/R4RK1 b - -,a8c8
8/1p3pk1/p2p2p1/P2Pp1b1/1P2P3/6P1/2N1QPK1/1q6 b - -,b1b3
r2qrnk1/5pb1/bn1p2p1/pppP1PPp/4P2P/4BNQ1/PP3N2/1R2RBK1 b - -,g6f5
4q3/7k/1Qp3bp/1pPp1pp1/4r3/P3P3/6PP/4RR1K w - -,b6c7
8/5p2/r4k1p/7P/2R1KPP1/8/8/8 w - -,e4d5
5q1k/2r2p2/4p1p1/p2pPb1n/1p1P2NQ/1Pr2N1P/P4P1K/R5R1 w - -,f3g5
3rk2r/1bqnbppp/pp1ppn2/4P3/P2N1P2/2N2B2/1PP3PP/R1B1QR1K b k -,d6e5
r3r1k1/6b1/4b1qp/3pn3/3Bpp1P/1P4P1/P1Q2PB1/3RRNK1 b - -,e5d3
2r3k1/pbr2p2/1p4pp/1B2R3/4P3/4K1P1/P4P1P/3R4 b - -,c7c5
r1b5/pp3k2/2p4p/2Pp2p1/6P1/1PPB1P2/P2b1BK1/7R b - -,d2c3
r4rk1/1b2ppbp/p4np1/3qN1B1/Bp1P4/7P/PP3PP1/R2QR1K1 w - -,f2f3
4b1k1/pr6/2p1p2q/2PpPrpp/3R1p2/5P1N/PP1Q2PP/4R2K w - -,h3f2
2r3k1/5pbp/2b1p1p1/ppN5/3P4/PP2P3/1B2K3/3R4 w - -,b2c3
8/4r3/7p/4p1k1/4B3/4N1P1/5PK1/8 b - -,e7a7
4rr1k/pp2b1pp/2q5/3R1b1Q/8/4B3/PP3PPP/5RK1 w - -,d5f5
r2qr1k1/pbp3bp/3p2p1/5p2/2P1N3/4PN2/PP1Q2PP/2K1RB1R b - -,b7e4
2r5/1p2k3/p2b2p1/3Pp1Pp/2Q1P3/2B2P2/1P4K1/5R2 b - -,c8c4
3B4/1r6/6k1/P2p1p2/2pp1P2/1P1P1N1P/2P4K/8 w - -,d8b6
4r3/7k/p3P2p/1pqB1pp1/3R4/8/PP3NPP/5R1K b - -,c5d4
8/7B/3r4/4k1p1/8/5K2/6P1/8 b - -,d6d4
8/3nkp2/5Q2/2pp4/8/1BP4P/4r1P1/3R2K1 b - -,d7f6
3r2k1/4qpb1/p3p1pp/1pr1P3/3P4/5N2/PP2QPPP/2R3K1 w - -,d4c5
1rbk4/3n2p1/p3pp1p/1p1p4/3P4/3BP3/PP1K1PPP/2R1N3 b - -,c8b7
r1b2rk1/pp1nn1p1/1qp4p/3p1p2/3Pp3/2P1P3/PPBNNPPP/R1Q2RK1 b - -,d7f6
r7/7k/2pprnp1/1p3pB1/5P1P/P1N2B2/1P1K4/6R1 b - -,d6d5
r1r3k1/1q1n1pp1/p2p3p/R2Pp3/1PP5/5N2/2Q2PPP/1R4K1 b - b3,d7b6
2r5/2qb2nk/5pp1/3Pp3/pN2P3/Pn2Q1N1/4B1PP/5R1K b - -,g7e8
r1b2rk1/2q3pp/1n1bp3/pQ1pNpB1/1P1P4/6P1/P3PPBP/1R3RK1 b - -,c8a6
1r3rk1/6p1/7p/p2p1p2/q1bN1P2/2P1R2P/3Q2P1/4R1K1 b - -,a4a2
r5qr/pp1kb3/n1p1p3/3pPn2/3P1P2/2P5/PP1NQ1PP/R1B2RK1 w - -,d2f3
1kr5/pp5p/8/2p3P1/3b2Q1/2q5/P3R2P/3R3K w - c6,e2e7
r4rk1/p3qppp/1p1ppn2/2n5/2P5/2N1PP2/PPQ1BP1P/R4RK1 w - -,a1d1
5rk1/1r5p/1n1Rq3/1Np1p3/P4p2/1P4P1/R1Q2P1P/6K1 b - -,e6h3
r1b2rk1/p1p3p1/2p2p1p/3pP3/8/1N1B2B1/P1P3PP/2R2K2 w - -,e5f6
r4k2/1p1bnp1p/p5p1/3p1p2/3P1P2/2PBN3/PP4PP/R5K1 w - -,d3e2
8/5p2/5b2/5k1p/1p1p1P2/1P1P1K1P/8/4B3 b - -,f6e7
r1r3k1/3n1pqp/4b1p1/n1Pp2B1/3P4/3B1N1P/3Q2P1/R3R1K1 b - -,a5c6
r1b1kb1r/1p1npppp/p1n5/2p5/P1N1P3/2P2P2/1P4PP/RNB1KB1R b KQ a3,b7b6
rnbqkb1r/1p3p1p/p2p1np1/2pP4/P3P3/2N5/1P3PPP/R1BQKBNR w KQkq -,h2h3
r3qr2/1p3pbk/p2p2p1/3N1P1p/3NP1bP/8/PPPQ4/1K3R1R w - -,d5c7
r1b4r/ppp2kbp/1nn2pp1/q7/5P1B/P1N1Q3/1PP1B1PP/2KR2NR w - -,e2d3
8/p3rpkp/2R3p1/8/1P4n1/5N2/P2K2PP/8 w - -,c6a6
3r4/p5pk/1p2npb1/6q1/7p/P1Q2B1P/1B1R1PP1/2K5 w - -,c1d1
r1bq1rk1/5pbp/n2p1np1/2pP4/8/2N2NP1/PP2BP1P/R1BQ1RK1 b - -,d8b6
8/8/8/7r/P7/K1Pk4/1P4R1/8 w - -,a3b3
r3r3/pppk2p1/2np1nNp/4p3/Nb2P1b1/PB1P4/1PP2PP1/R1B2RK1 b - -,b4a5
8/6pk/7p/8/p2q3P/4R1P1/1P2R2K/8 w - -,e3e7
r1bqkbnr/6pp/p1pp4/2p1pp2/Q3P3/2P2N1P/PP1P1PP1/RNB2RK1 b kq -,d8c7
r2qkb1r/ppp3pp/2n1bp2/3p1p2/3P4/2PBPN2/PP3PPP/RN1QK2R b KQkq -,d8d7
r6r/p2k4/n2p1pn1/1BpP2p1/4P3/2P1B1P1/3N1P2/1R4K1 b - -,d7c7
r2q1rk1/1pp1ppb1/p3bnp1/4B2p/3P3P/2N5/PPPQBPP1/R3K2R w KQ h6,e1c1
8/1pr1kp2/p5pp/3RK3/5P1P/1P6/P7/8 b - -,f7f6
8/1pp1kp2/p2p2p1/3P3p/2P1K3/7P/PP3PP1/8 w - -,b2b4
8/6p1/2kn3p/4p3/PB1b2P1/1B1K3P/8/8 b - -,d4b2
8/6pk/1b1Qppp1/1N6/P3qP2/1P5P/1Bn3P1/7K w - -,d6b6
6k1/4np2/br2q1p1/2p1P3/p2p1QNP/2P1N3/P4RPK/8 w - -,c3d4
3q1k2/p3n1bp/6p1/P1Q2p2/1P2p3/5BP1/5P1P/6K1 w - -,f3e2
r1bqk2r/ppp1bppp/2np1n2/4p3/2P5/2NP1NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
4k3/1R6/2r2p2/8/p2B4/PpP1K3/8/8 b - -,f6f5
2kq2r1/1p2bp2/p1p1p3/P2pP3/1P1PbPP1/2P1N2r/3KQ2B/3R2R1 w - -,d1e1
3qnkr1/p2b1pp1/1pB4p/1QB1p3/1p4PP/8/PPP2P2/2KR4 b - -,b6c5
8/pp4k1/8/5p2/2PnpPp1/1P6/P2b2PB/3B3K w - -,h1g1
