8/8/3Q4/2pPp3/2P1q3/8/7k/4K3 w - -,e1d2
6k1/p4p2/1p5r/3p1Pp1/3R2P1/2P5/PP6/5K2 w - -,f1g2
6k1/p1b2b2/7p/P4P2/6Q1/1q1PPp2/3K4/2B2B2 b - -,g8f8
rnb1r1k1/1pq2pnp/p2p2p1/P1pP4/2N5/2N1P2P/1PQ1BPP1/R3K2R b KQ -,f7f5
r1bqk1nr/pppp1ppp/2n5/4p3/1bP5/2N1P3/PPQP1PPP/R1B1KBNR b KQkq -,b4c3:d7d6
r1b1k2r/pp3ppp/1qn1pn2/1B1p4/3P4/2N1PNP1/PP3PP1/R2QK2R b KQkq -,c8d7
8/ppN2rk1/3Q1pp1/4p3/8/4q3/P5PP/5RK1 w - -,g1h1
1r4k1/p1p1pp1p/2p3pb/2P1B3/8/P3P3/b1KP1PPP/5B1R w - -,e5c7
r6k/pp4p1/2p4p/8/3P4/1BN4b/PP3r1P/4R1K1 w - -,g1f2
6rk/3RR1pp/p4r2/1p3p2/7P/P7/1P3PP1/6K1 w - -,d7a7
3r1rk1/pp3pbp/2p1b1p1/4p1q1/1PPnP3/P3N3/3R1PPP/BR1Q1B1K b - -,f7f5
8/2k5/8/8/R1KB3r/1P6/2P5/8 b - -,c7b7
2B5/2R5/5k2/8/P5pp/6PP/1P3r2/K5b1 w - -,g3h4
6k1/5p2/4Q1p1/8/6KP/6P1/8/8 b - -,f7e6
2k5/1b4p1/p3pb2/5p2/1P5p/2PQ1P2/q1N2NPP/6K1 w - -,c3c4
1nbqr1k1/r4p1p/3p2p1/p1pPb2n/Np2P3/P2B3P/1P1N1PPB/R2QR1K1 w - -,h2e5
5r2/B2Bpk2/4n1p1/R4p1p/4p2P/1b2P3/1r3PP1/2R3K1 b - -,f8d8
5rk1/2p2qpp/8/7b/1RPpP1P1/7P/P7/1Q2K2R b - -,f7f2
r1bqkbnr/1p1npppp/p2p4/1Bp5/4P3/5N2/PPPP1PPP/RNBQ1RK1 w kq -,b5d3:b5e2:b5d7
r1bq2k1/ppp2rb1/3p1nn1/2PPp1p1/4PpP1/2NN1P2/PP1BB3/R2Q1RK1 w - -,b2b4
r3r1k1/pp3ppp/2n1b3/4p3/4Q3/B4NN1/P4PPP/5K2 w - -,f3g5
r3r1k1/ppq2ppp/n1pb1n2/8/3N2b1/2N2QP1/PP1BPPBP/2RR2K1 w - -,f3d3
8/4K1k1/7R/6PP/8/8/8/7r b - -,h1e1
r4rk1/pp2bppp/1q2pn2/3pnb2/2pP1B2/2P1P3/PP1NBPPP/R1Q1K2R w KQ -,f4e5
3r2k1/6pp/p1b1p1r1/1p2q2n/3bN3/2B2P2/PPP4P/1KR1QB1R w - -,c1d1
r1b2rk1/ppp2ppp/1n2p3/8/3q4/P5P1/1PQbPPBP/R1B2RK1 w - -,c1d2
6k1/4P2p/5R2/6p1/pK4P1/P1n1NP2/4r3/8 b - -,e2e3
r2qrnk1/p3bppp/2p1bn2/1p1p4/3P1BP1/2NBPN1P/PPQ2P2/1K1R3R b - -,a7a5
1r4r1/8/4Np2/3k1P2/4p2P/1p1b4/1P1R3K/2R5 w - -,e6f4
r2qk2r/pbpnnpbp/1p1p2p1/5P2/3P4/2NBBN2/PPP3PP/R2Q1RK1 b kq -,d7f6
r1r3k1/pp2ppbp/3p2p1/4n3/P1P1P3/1P6/R2BNPPP/5RK1 b - -,e5d3
1k2r3/pp5R/4pR2/3pP1r1/8/P1P5/1P6/1K6 b - -,g5e5
1r3rn1/2q2pkp/b5p1/pnppPP2/7N/N1PP4/1P2Q1BP/R4RK1 b - -,b5a3
2rr2k1/p5pp/5p2/P3p3/1P1bq3/3QB1P1/5P1P/1R1R2K1 b - -,e4d3
1rb3k1/1p1r1pbp/p1nppnp1/q7/2P1P3/P1N1BPN1/1P1QB1PP/2RR2K1 w - -,b2b4
4r1k1/1b1n1p1p/pprR1np1/4p3/2P5/PPB2P2/1KN1B1PP/7R w - -,h1d1
2r1r1k1/4b1pp/p3pn1B/q3N3/1p5P/2N3Q1/PPP3b1/1K1RR3 b - -,e7f8
r2q1rk1/ppp1bppp/2n1bn2/3pp3/4P3/1BPP1N2/PP2QPPP/RNB2RK1 b - -,d5e4
8/8/8/8/2p2k2/1q6/1NK1B3/8 w - -,c2c1
8/2k2p1p/4p3/5p2/1r3P2/4P1PK/1P1R3P/8 b - f3,b4b3
7Q/3b1kp1/8/1p2p3/1P2N2P/8/6PK/2q5 w - -,h8h5
r4rk1/1p2ppb1/p1p1bnpp/q7/3PP3/2N1BN1P/PP1Q1PP1/R3R1K1 b - -,g8h7
r1bq1rk1/1ppn1pbp/3p1np1/p2Pp3/2P1P2P/2N3N1/PP2BPP1/R1BQK2R b KQ h3,h7h5
1r5k/8/1pp2pp1/4b2p/8/PRp1P1P1/4P2P/2R3K1 b - -,h8g7
2rr2k1/5p1p/p2bb1p1/1p2B3/3pP3/1P1P2NP/PPR3P1/2R3K1 b - -,g8f8
8/k1p2r2/pP3q2/1n1Q4/4p3/6P1/P1P1RP1P/4R1K1 b - -,c7b6
r2qk2r/pp1bbppp/2n1p3/3pP3/3P1PP1/2N1B3/PP2B2P/R2Q1RK1 b kq -,a7a6
4r1k1/pp3p2/1bb3q1/6pp/4p3/2Q1P2P/PP2NPP1/R2R2K1 w - -,d1d2
rnbq1rk1/1p2bppp/p3p3/3n4/3NN3/P3P3/1P3PPP/R1BQKB1R w KQ -,f1d3
1R6/8/5n2/8/4k1K1/3r4/8/8 w - -,g4g5
8/8/8/1r4p1/8/k6P/p2RK3/8 w - -,d2d3
5rk1/1p2ppbp/p5p1/n3P3/3P2b1/4B1P1/P2N1PBP/2R3K1 b - -,f8c8
6r1/1pbk4/1n2p1pp/3pPp2/pP1P1P1P/P3B1P1/3N1K2/2R5 w - -,f2e2
1r3k2/2p3p1/p4p1p/Pbn1p3/4P3/2P1NP2/3R2PP/5BK1 b - -,b5f1
r2q1rk1/pp1n1pbp/2p1pnp1/3p4/2PP4/1PN2BP1/PB2PP1P/R2Q1RK1 b - -,d8e7
r1bqkb1r/pp3ppp/2n2n2/1N2p3/2Pp4/6P1/PP2PPBP/RNBQ1RK1 w kq -,e2e4
1rq2bk1/p3r1pp/3npp2/2ppN2Q/P4PP1/1PBR4/2P1RP1P/6K1 w - -,d3h3
2rb1k2/7R/8/pP6/P1pB3p/2P5/6PP/6K1 w - -,b5b6
r1bq1rk1/1pppbppp/p7/2n1P3/B2Q4/2N5/PPP2PPP/R1BR2K1 b - -,d7d6
8/7k/6R1/p4P2/1r4PP/6K1/8/8 b - -,a5a4
rn1qr1k1/1bp1bppp/p2p1n2/1p1Pp3/4P3/2P2N1P/PPB2PP1/RNBQR1K1 w - -,b2b3
r5k1/pp2pp1p/6p1/B1b5/P7/7P/1R3PP1/3B2K1 b - -,b7b6
2kr3r/pp1b1p2/2nq1n1p/8/6pN/2N5/PP2PPPP/3RKB1R w K -,d1d6
6k1/5p2/6pp/5q2/3r4/3pRBP1/3R1PK1/8 b - -,h6h5
r3kb1r/pp1n1ppp/2p1pn2/q6b/2PP1B2/5N1P/PP2BPP1/RN1Q1RK1 w kq -,b1c3
4r3/p2RP1pk/2N5/1nN2p2/1P5n/8/5P2/5K2 b - -,h4g6
7r/R2R4/1pPp2Bk/1P4nn/2P2pQ1/5P1P/7P/3q3K w - -,g4g1
2kr1b1r/p2qn1pp/1pb1pp2/3p4/3QPPP1/2N1B3/PPP1N2P/1K1R3R w - -,e2g3
2r2rk1/1p1bbpp1/1q5p/1PpB4/8/1Q2P2P/1P1N1PP1/R2R2K1 w - -,d2e4
rnb2rk1/ppp3pp/4p3/3pNp2/1bPPn2q/3BPN2/PP3PPP/R1BQ1RK1 b - -,h4h5
1qr1n1k1/3b1ppp/3b4/1p2p3/pP2P3/P4N1P/1BBQ1PP1/3R2K1 b - -,c8c6
4rrk1/1pqb2np/2p5/5p1n/1PP5/3N1QPB/4N2P/R4RK1 b - -,d7e6
2q3k1/5p2/3b2p1/Q2N1n1p/3P4/Pr2PRPP/5B2/6K1 b - -,f5d4
8/4N1p1/5P1p/2r5/2k4P/2pR4/3nK3/8 b - -,g7f6
3B4/5K2/6p1/7p/6kP/6n1/8/8 b - -,g4f5
r5k1/1p4pp/3p4/1Bp1p2P/2Pn3q/P2P1r2/5R1P/2B1QRK1 b - -,a8f8
8/p5k1/1pq1p3/3n1ppr/3P4/P1PN1PP1/3Q2K1/7R b - -,g7h6
r1bq1rk1/ppp1bppp/4pn2/8/1npP4/1Q3NP1/PP2PPBP/RNB2RK1 w - -,b3c4
q4r1k/2n1r2p/p3ppp1/1pNn4/3P3Q/7R/PP1B1PPP/4R1K1 w - -,d2h6
r2q1rk1/1pp2p1p/2npb1p1/2n5/2P1P3/1p3PP1/PNBQNR1P/1R4K1 w - -,a2b3
8/pp4k1/3p3p/4n2P/2p5/7Q/PP6/2KBq3 b - -,e5d3
r2q1r2/4p1kp/3p1pp1/pbpP4/4P3/7P/1PPQ1PPN/1R2R1K1 b - -,b5d7
3rr1k1/pp3ppb/2pqp1np/8/2PP2P1/P3Q2P/NP1R1P2/4RBK1 b - -,e8e7
2kr3r/pp1b1p2/2pb3p/4qPp1/4P3/P2B3P/1PQ1N1P1/R4R1K w - -,g2g3
6k1/2r2p1p/p5p1/8/8/R4P2/R4KPP/2r5 b - -,c1c2
6Q1/p4p2/1p3P1k/4r1n1/8/6K1/P7/8 b - -,e5e4
r1b3rk/1p1nq2p/p2p1n2/P1pPp1p1/NPP1Pp2/R4P2/3NB1PP/1Q3RK1 b - b3,c5b4
r1b2br1/pp1n4/1qpk3p/2Ppp3/3P1Q2/1P1BP3/P5PP/RN3RK1 b - -,d7c5
r2nk2r/pq2npp1/1p2p2p/2ppP2P/P2P1QPN/2P4R/2P2P2/R1B2K2 w - -,f1g1
8/8/p2k2p1/PpnP1p1p/5P1P/2K2B2/6P1/8 w - -,g2g3
r2qk2r/1b1nbppp/p3pn2/2p5/Pp6/1Q1P1NP1/1P2PPBP/R1BN1RK1 b kq -,a6a5
1k3n2/pp6/3Nr3/5P2/1P4P1/P2R2K1/8/8 b - -,e6e1
r3r1k1/3N1pp1/p6p/qp1n4/2pP4/b1P3B1/P1Q2PPP/R2R2K1 w - -,d7e5
1r4k1/4p1b1/1pp1q1pp/p7/PnNPP3/1P4P1/1B1RQ1KP/8 b - -,h6h5
3rr1k1/p6p/2q1p1p1/1pb1P3/2p2B2/1PPp4/P2Q1PPP/R3R1K1 w - b6,b3c4
r1r3k1/5pbp/3qp1p1/Rp2N3/nP1p1P2/3P4/1RPBQ1PP/6K1 w - -,b2a2
2r2rk1/pb1q1pp1/1pp1pnnp/8/1PNPP3/P2BQP2/4N1PP/3R1RK1 b - -,d7c7
4rqk1/1pn2rbp/p2p1np1/2pP1p2/P1P5/2NBB1PP/1P1QRPK1/2R5 b - -,f6h5
rn1qkb1r/ppp2ppp/3p1n2/5b2/2PpP3/2N2P2/PP4PP/R1BQKBNR w KQkq -,d1d4:c3b5
5r1k/pppqp1bp/1nn2rp1/8/3P4/1QP2BN1/PP4PP/R1B2RK1 w - -,g3e4
r2q1rk1/1p1n2bp/pnp1p1p1/3pP3/5P2/PPNQ2PP/2P3B1/R1B2RK1 w - -,h3h4
8/2p2pk1/p1q3p1/4p3/1Pn1P3/4N2P/5PP1/Q5K1 w - -,a1c3
8/3r2pk/5p1p/2R4P/1P1p4/3P2P1/5PK1/8 b - -,h7g8
3rkb1r/ppq2ppp/1np1p3/4Pn2/N1PP2b1/5N1P/PB2BPP1/2RQ1RK1 b k -,g4f3
8/8/1K2k3/4P3/5P2/7B/8/1b4r1 b - -,b1f5
8/2B5/8/P7/3pkp1R/2b5/r5P1/3K4 b - -,c3d2
6k1/2R3p1/5p2/8/5K2/2B5/b6r/8 b - -,h2g2
r4rk1/p1q2ppp/5P2/2pn1NP1/1p1p4/5P2/PPPQ3P/2KR3R w - -,f6g7
R4r2/4k1p1/2p1p1n1/1pNb4/6P1/2P2PB1/2P2K2/8 w - -,a8f8:a8a7
8/8/8/1K5p/6p1/7k/8/3Q4 b - -,h5h4
r1bqk1nr/1pp2ppp/p1nb4/1B1P4/2p5/5N2/PP3PPP/RNBQK2R w KQkq -,b5a4
5bk1/1q1n1ppp/2b1r3/1pppP3/3PN3/2P1NBBP/1PQ3P1/5RK1 b - -,d5e4
8/6pk/3p3p/2PPp3/7R/6K1/4r3/8 b - -,d6c5
r2q1rk1/pp1nbppp/2p1p3/7b/2PPB3/P3BN1P/1P3PP1/R2Q1RK1 b - c3,f7f5
2r1r3/2q3kp/1pNp1np1/p2Ppp2/2P5/PP4P1/3QRP1P/4R1K1 w - -,b3b4
rnbqk2r/1p1n2pp/p3p3/2bpP3/8/3B4/PPP2PPP/RNBQR1K1 w kq -,d1h5
r1b2q1k/ppn1p2p/3pB1p1/2pPb3/8/P7/1PP1QPPP/R1B2RK1 b - -,c7e6
r1n1k2r/1pp1qpp1/pn5p/3Pp3/4Q3/2N1P3/PP2BPPP/R3K2R w KQkq -,e1g1
5rk1/1p3rpp/1p2p3/3pP1b1/3Pp3/4P3/PPRB2PP/5RK1 w - -,f1f7
r1bqk2r/pp3ppp/1np1pn2/3pN3/1bPP4/2NBP3/PP3PPP/R1BQ1RK1 b kq -,e8g8
2n1rr1k/1ppq2pp/p1p1bp2/2b1pN2/P3P3/3PN1Q1/1PPB1PPP/R4R1K w - -,a1d1
8/4kp2/1n1R1npr/1q2p2p/4P2P/5P2/1PP2QP1/1K6 w - -,d6b6
1rnbqrk1/2pb1ppp/p2p3n/1p2p3/1PP2P2/PNNPP1P1/1B4BP/1R1QR1K1 b - -,f7f6
4q1k1/3r1pp1/2p1n2p/1p5Q/1Pp1P2P/2B2RP1/5PK1/8 w - -,h5e5
4r3/2p2p2/3p1np1/r2P2k1/1pBPP2p/4RK1P/1P4P1/4R3 w - -,e1c1
4r2k/1p4p1/1p5q/pP3Q2/P2P3r/2R4P/5P2/3R3K b - -,h4f4
5bnk/5q1r/2bp1p1p/p1p1pP2/1rP1P1PR/4BBN1/PP4KR/2Q5 w - -,b2b3
3r3k/pp3p1p/1qp2b1B/4pP2/7r/1B3R1K/PPP5/R3Q3 w - -,e1h4
1qrr2k1/pb2bppp/1pn1pn2/8/2pP4/PP1BQN1P/1B1N1PP1/2RR2K1 w - -,b3c4
8/1b3pk1/p2p2p1/6P1/P2N1P1P/1P5n/2N5/5K2 b - -,h3f4
8/p7/1pk5/3p4/P1pP4/B1P1P3/1P1K1r2/8 w - -,d2e1
r4rk1/pbp1q1pp/1p1ppn2/3PQp2/2P1nB2/P5PN/1P2PPBP/R2R2K1 w - -,e5e6
r3kb1r/1bq2ppp/p2ppn2/8/nP1NP1P1/1P2BP2/2PQ3P/2KR1B1R w kq -,b3a4
8/4k3/6RP/2P1K3/1p6/8/P2r4/8 b - -,d2e2
6r1/pp2q1k1/8/3Pppr1/1bQ3PR/1P5P/P1B2P2/6RK b - -,b7b5
r3k2r/p3bppp/2n1pn2/q2p1b2/2pP1B2/P1P1PN1P/3NBPP1/R1Q2RK1 b kq -,e8g8
2r2k2/3n1pp1/1p5p/p4p2/2PB3P/4R3/PP3PP1/5K2 w - -,b2b3
4b3/pp6/8/1P2N3/2P5/4K3/P7/5k2 w - -,a2a4
8/b7/8/p1p1Pk1p/P4P1K/4B3/7P/8 b - -,a7b6
4r1k1/p1q2pp1/1pp2np1/4r3/8/5QPP/PPPR1PB1/3R2K1 b - -,e5e6
3r1k2/pb2b1p1/1p6/3p3B/P1P2B2/1P4R1/5P1P/6K1 w - -,h5f3
