8/8/5k2/2R3p1/Pp3pP1/5K2/2P2P2/r7 w - -,a4a5
3r3k/2q4p/p3Q3/2p2N2/7b/2P2P2/PP4PP/3rR1K1 w - -,f5h4
1rbRn3/1pr2kpp/p1p2p2/N4P2/PP2P3/2N3PP/5K2/3R4 w - -,a5b3
7R/8/8/5p2/5k1p/5r2/4K3/8 b - -,f3h3
r4k1r/pp2qpp1/1n2p2p/4P3/4Q2P/Pb1B3N/1P3PP1/R4K1R b - -,b3d5
r1q1r1k1/pp2ppb1/4n1pp/4p3/BNb1P3/2P1BQ1P/PP1R1PP1/3R2K1 b - -,b7b5
r2q1rk1/pp1bbppp/3p4/3Pp2n/4P3/N3BPP1/PP1QB2P/R3K2R w KQ -,e1g1
2kr3r/pbpn1pp1/1p2p3/3P4/1qP2Bp1/1N1Q2P1/P1P2P1P/R3R1K1 w - -,f4d2
8/6p1/1p1kpp1p/p7/PnPq1P2/1P3QP1/7P/1K1B4 w - -,d1c2
5nk1/4n1p1/1p1p1q2/pPpPp3/P1P1B3/5NPP/4Q1K1/8 w - -,f3h4
8/4rr1k/1p2Rp1p/3p3Q/5P2/1P3NP1/5P1K/5q2 b - -,f1f2
rnbqkb1r/1pp2ppp/p3pn2/3p4/2P5/1P3NP1/P2PPPBP/RNBQK2R b KQkq -,b8d7:c7c5:d5d4
8/6p1/3kp3/1b6/1rpP4/5P2/1PR2KP1/5B2 w - -,f2e2
1n4k1/pr3p1p/1n2p1p1/R1B1b3/8/P3N1P1/3N1PKP/8 b - -,e5c3
r5k1/5pbp/3p1qp1/3N4/4PP2/2P2QPP/rP2R2K/3R4 b - -,f6d8
1r3r1k/1bp1qpp1/pb1p1n1p/4p3/3PP2N/2P1B3/1PB2PPP/R2QR1K1 b - -,b7c8
r2qk2r/pb2bppp/1pnp1n2/3P4/8/P1NB1N2/1P3PPP/R1BQ1RK1 b kq -,c6e5
8/1ppk1ppp/p3r3/8/1n3P2/3K2P1/P3B2P/2R5 w - -,d3d2
r2q1rk1/pp2bp2/4b2p/n1P1p3/1Q1pN1p1/P2P2P1/2N1PPBP/RR4K1 w - -,e2e3
4r2k/ppp4p/3p2b1/2nP2B1/2P5/2b4P/PP1RBr2/3K2R1 w - -,b2c3
2r1q1kr/p1n1n1b1/1p2p1pp/2p1PP2/2PpB1PN/1P1P3R/P2B2KQ/5R2 b - -,g6f5
r3r1k1/2qbbpp1/2p1p1np/1pPn4/1P1P4/1Q3NP1/1B1N1PBP/R4RK1 w - -,d2e4
r3rbk1/1p3p1p/2p1b1p1/p3p3/P1P1P1n1/1P1N2P1/5PBP/2BR1RK1 b - -,b7b5
r2qr1k1/1b3pbp/p5p1/np2P3/3Np3/1P5P/P1B2PP1/R1BQR1K1 w - -,c2e4
3q1rr1/1b1kb3/p2pp2n/1p6/1P1Bp3/P2P1N1P/2R1Q1B1/5R1K w - -,d3e4
5rnk/p1P5/7p/4PB2/8/7P/P3rPP1/2R3K1 b - -,g8e7
8/p7/1k1bp1p1/2p3Pp/4Kp2/5P2/P2N3P/8 b - -,b6b5
r2q1rk1/3nppbp/p2p2p1/1ppbP1N1/3P1P2/P1PBB3/1P4PP/R2Q1RK1 b - -,c5d4
2Br4/p2Pkpb1/1nR4p/1P3K2/8/8/7P/8 w - -,c6c7
8/5k2/R4p2/6p1/4r2p/5K1P/5P2/8 b - -,e4b4
1r2qrk1/3n2b1/p2p2pp/B1pPp3/2P1R3/R6P/4QPP1/5BK1 w - -,a5c7
r1bqkb1r/ppp1pp1p/1nnp2p1/4P1N1/3P4/1B6/PPP2PPP/RNBQK2R b KQkq -,d6d5
1rbq1rk1/p3n1bp/1pnpp3/2p2p2/5P2/2PPBNP1/PPN3BP/R2Q1RK1 w - -,d3d4
8/7r/R3pp2/1p3k2/2pBbP2/P1P5/2P4P/6K1 w - -,a6a5
r2q1rk1/1bp3bp/3pn3/p1p1pp2/2P2P2/3PB2P/PP1QN1PN/1R3RK1 w - -,h2f3
8/2k2p1p/4n3/2N1P3/1PK2p2/6P1/7P/1N6 w - -,g3f4
8/1R5k/4r3/4r3/P5RP/8/3n2P1/6K1 b - -,h7h6
4rr2/pbq2pk1/1p1pn1p1/4n3/1B2P2Q/1N2RB2/P1P3P1/3R2K1 b - -,e6c5
8/7p/5Kp1/2k3P1/8/8/7P/8 b - -,c5d5
rr2n1k1/1b2qp2/1n1p2pp/2p1p3/p3P3/N1PBNP2/PP1RQ1PP/3R2K1 w - -,d3b5
2r1k3/pp2ppQ1/7P/n7/3P4/2P3R1/P4PPK/4q3 b - -,e1f2
2r2rk1/p6p/1n2p1p1/3pPp1P/1P1P2N1/1R3Q2/2q2PP1/R5K1 w - f6,e5f6
r2q1rk1/p4p2/1p1b1Bp1/3b4/8/5N2/P4PPP/2RQ1RK1 b - -,d8f6
8/2p5/3k3p/6p1/2B1Kp2/5P2/4P2P/8 b - -,d6c5
3r2k1/1pQ2p1p/p3p1p1/3q4/3P1P2/P5P1/5P1P/5RK1 w - -,f1b1
8/6k1/3p3p/3PpBb1/4P2N/1P4PP/5r2/7K b - -,g5h4
8/2p5/3p1k2/2bP1p1p/2P5/p2K1P1p/P2B2P1/8 w - -,g2h3
5rk1/2R2b1p/1p4p1/p2rqpQ1/P3p2P/8/4BPP1/3R2K1 w - -,d1c1
r1b1kb1r/5ppp/p1nqpn2/1p4B1/2Bp4/1N3N2/PPP1QPPP/2KR3R w kq b6,c4d3
5k2/1b6/4p1pr/p3Pp2/PpPK3P/1P3P2/3R2B1/8 w - -,d4c5
2rqr1k1/pp2ppb1/1n2P1pp/2pP4/b4B2/5NPP/P3QPB1/R3R1K1 b - -,f7f5
8/p3kp2/1pb1p3/3pP1p1/3P4/2P1N3/P3KpPr/1R6 w - -,e2f2
r1bqkb1r/pp2pppp/8/2pP4/1n2pB2/4P3/PPP2PPP/RN1QK1NR w KQkq -,b1c3
5n2/4k3/1p6/1N3KP1/8/8/8/8 w - -,b5c7
3r1b2/3P2kp/1q3pp1/1ppQp2P/8/1P2P1P1/5PB1/3R2K1 b - -,b6c7
8/p4p1p/1p2bkp1/8/4BP2/P5KP/1P1R1P2/2r5 b - -,h7h5
r2r1bk1/q5pp/2p1pp2/pbpnp3/8/1P1P4/PNPNQPPP/R1B1R1K1 b - -,d5c3
r4rk1/1b1qnpbp/p2p2p1/1pp5/3PPB2/nPNB1N1P/P4PP1/R2QR1K1 w - c6,f4c1
r1bq1rk1/p4pbp/1pnnp1p1/P2p4/1P1P4/2PB1N1P/3NQPPB/R4RK1 b - -,b6a5
8/1p1rkp1p/2p3p1/3b4/3P3P/2R1P1P1/5PB1/4K3 w - -,g2d5
r1b1kbnr/3p1ppp/pqn1p3/1p6/4P3/1NNB4/PPP2PPP/R1BQ1RK1 b kq -,g8f6
2r3k1/pp1bp2p/3p1npQ/q4N2/2r1P1P1/2N2P2/PPP5/R3K2R b KQ -,d7f5
rnbq1rk1/pp3pbp/3p1np1/2pP4/2P5/2N2N2/PP2BPPP/R1BQ1RK1 b - -,b7b6:b8a6:c8g4:f8e8:c8f5
8/1p3r2/8/P1n2R2/3k4/3p2N1/7P/3K4 b - -,f7h7
6k1/3r1pp1/2prpq1p/p2n1P2/3PB1P1/P2R1Q1P/1P5K/3R4 b - -,e6f5
2r5/5kpp/p7/1P2b3/1P3P2/1KPR4/7P/8 b - -,e5f4
8/7k/p2pN1p1/2pPp3/2P1P3/6R1/2q2K2/8 w - -,f2e3
r1bqk1nr/ppp2pbp/2np2p1/8/2PP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,c1g5
2k3r1/1p6/p1p5/2b2b1r/8/3p2PP/PP1B1P2/2KR3R w - -,g3g4
8/8/1p1n1k1p/1PpPb1p1/8/2PB2P1/3B2KP/8 w - -,c3c4
qr3rk1/4p1b1/6p1/1bpP4/6Q1/5NPP/1P1R1PB1/4R1K1 b - -,b8b6
8/3k4/8/8/K7/P7/8/8 b - -,d7c7
6k1/5p2/2q3pp/2r5/p4N1P/P3Q1P1/5PK1/8 w - -,g2h2
3r4/2n2pp1/pk5p/RpN5/1KpPP3/5PP1/7P/8 w - -,d4d5
8/8/pp1n4/7p/PP1Pp2P/7k/5KN1/8 w - -,d4d5
6k1/1p1Q1pp1/1pp4p/4p1q1/4P3/1PP3PP/1P3P2/6K1 b - -,g5c1
2q1rbk1/pr3ppp/8/2pNP1B1/8/1P4P1/P1Q2PKP/3R4 w - -,c2e4
1rbq1r2/p4pkp/2np1np1/4p3/1pp1PP2/3P1NPP/PPPQN1B1/R3K2R w KQ -,e1g1
8/8/6B1/2Pk4/3p4/4n3/1p1K4/8 w - -,g6b1
r2qk2r/ppp2ppp/2n1bn2/2b5/2P5/5N2/PP1PBPPP/RNBQK2R w KQkq -,e1g1
2r1k2r/2p1b2p/p3N1p1/1p2n3/8/1N5P/PPP2PP1/R4RK1 w k -,b3c5
5rk1/8/p4r2/2p2q1p/P2Q1NpP/2B3P1/5P2/5RK1 w - -,d4c4
rn2kb1r/pp2pppp/2p2n2/q7/3PNPb1/3B1N2/PPP3PP/R1BQ1RK1 b kq -,b8d7
r2q1rk1/pp1nbppp/2p1pnb1/8/2PP4/1P1B1NN1/P4PPP/R1BQ1RK1 w - -,d3g6
8/8/8/1B4pn/4p3/6P1/3k1K2/8 b - -,h5f6
R7/2p1r3/3p4/3P3p/1P2Bp2/P4Pk1/8/6K1 b - -,e7g7
r2q1rk1/pp1nbppp/2p1p3/8/3PB3/4BQ1P/PPP2PP1/3R1RK1 b - -,d7f6
3rq3/p1Q1Nrbk/p2P3n/5pp1/7p/7P/PP3PPB/3RR1K1 b - -,e8d7
2r1r1k1/1p1n1pp1/p3p1p1/q2pP3/Pb1P4/1B2B1P1/1P2QP1P/R1R3K1 w - -,h2h4
8/r3kp1p/p2qn1p1/P1Rp4/8/3BP3/4QPPP/2R3K1 b - -,e6c5
r4rk1/ppp1pp2/4b1p1/4b3/8/2P4P/PP1BBPP1/2KR3R w - -,a2a3
r3kn1r/2pbbpp1/1q2p2p/p2pP2P/1p1P4/3PBNR1/PP1QNPP1/2R2K2 b kq -,h8h7
8/3bkp2/6pp/6P1/p1NKPP2/7P/8/8 b - -,h6g5
8/8/4k2p/5p2/2P1p3/2P1K3/7P/8 b - -,e6e5
1qr1r1k1/pb2bpp1/1pp1pn1p/4N3/2PP4/1P6/PB2QPPP/1BRR2K1 b - -,c8d8
8/6pk/2pQ3p/1p2P3/1P2q3/7P/6P1/6K1 b - -,e4e3
r4rk1/pp1q2bp/2npbnp1/2pN4/2P1PNP1/7P/PP4B1/R1BQ1RK1 b - -,e6f7
rnb1qr1k/pp2p1bp/2pp1np1/5p2/1PPP4/1QN1PN2/PB2BPPP/3RK2R b K -,e7e5
2r5/5p1p/p4kp1/8/3p4/1P3R2/P1PK2PP/8 b - -,f6e6
r2qr1k1/1b3ppp/p1nppn2/1p6/4P3/PNNBQ2P/1PP2PP1/3R1RK1 b - -,a8c8
8/p1p3pk/1p1p3R/n3p1Q1/2P5/2P2qP1/P7/2B3K1 b - -,g7h6
rnb1k2r/pp2bppp/1qpp1n2/8/2BPPp2/2N2N2/PPP3PP/R1BQ1RK1 b kq -,e8g8
7k/5r2/8/6R1/4R1K1/4P2P/8/5r2 w - -,e4e6
3rr3/k1p2p2/pqb4p/3P2pP/2Q5/1P1N1P2/P1P3P1/1K1R3R b - -,c6d5
3r3k/p5p1/1p1pB2p/2pPp3/5rP1/PbP4P/5PK1/2R1R3 w - -,f2f3
r3kbr1/pp3p1p/1np1pp2/5q2/3P1Bb1/1PP2N2/P3BPPP/R2Q1RK1 w q -,f4g3
r1qr2k1/2p1bpp1/p1npbn1p/P3p3/2N1P3/1BPP1N1P/5PP1/R1BQR1K1 b - -,e7f8
r2q1rk1/pp3ppp/1n1b1n2/3Pp3/8/1BN2Q1P/PP3PP1/R1B2RK1 b - -,h7h6
2r3k1/p4pb1/1p4pp/5P2/2pq4/2Nn4/PP1Q2PP/3R1R1K w - -,f5g6
2r1r1kb/3n3p/1n2p1pP/3pPpB1/1R1P1N2/5NP1/2b1BPK1/4R3 w - -,e2d3
1r4k1/7p/3p2p1/8/BpK2P2/1Pn3P1/7P/2R5 b - -,c3a4
3qr1k1/pp3ppp/3b4/3n1b2/2n5/P1P1PP2/4B2P/R1BQ1R1K w - -,e2c4
r3kb1r/4ppp1/1q2b2p/pp1n4/1n6/NQ3NP1/1P1PPPBP/R1B2RK1 w kq a6,b3d1
r5k1/5pbp/1q1p1np1/1p1Pn3/4P3/1Pp2PP1/2QNB1KP/2B1R3 w - -,d2f1
8/8/1p6/pBp2kPp/P7/4K1P1/1Pb5/8 w - -,g5g6
2q2nk1/8/p1n1p1PQ/3p1p2/Pp1P4/1P3N2/3B1PK1/8 w - -,f3g5
r2r2k1/pp1nppbp/4qnp1/1P6/5B2/Q1N1PN2/P4PPP/2R2RK1 w - -,f3g5
r2q1rk1/1pp1ppbp/5np1/p2p4/1nPPb3/NP3NP1/PB1QPPBP/R2R2K1 b - -,c7c6
8/1p3pkp/5p2/5P2/8/1r3PKP/1n1R4/8 w - -,g3g4
rn1qk1nr/pp2ppbp/2pp2p1/3P4/2P3b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,g2g3
rn1qk2r/pp2bppp/2p1p3/2NnPbB1/2BP4/5N2/PP3PPP/R1Q2RK1 b kq -,d8c7
8/8/2k3K1/p7/7P/2N5/2b2rP1/2R5 w - -,g6g5
8/6kp/4p1n1/5p2/R7/2N2P1K/3r2P1/8 w - f6,h3g3
8/6k1/3p1bPp/2pP4/1pP5/1P5N/5PP1/7K w - -,h3f4
6R1/2kp1r2/pp2rp2/2pR1Np1/2P3P1/1Pn1P3/P4PK1/8 w - -,d5d2
r3rqk1/1bp3bp/p2p2p1/2p2P1n/2P5/2N1BP2/PP4PP/2QRRBK1 b - -,f8f5
r1bq1rk1/pp3p2/7p/2np2p1/1b2n3/2N1PNB1/PPQ1BPPP/R3K2R w KQ -,f3d4
r3kbnr/1b1p1ppp/p1q1p3/1p6/3QPB2/2N2N2/PPP2PPP/R4RK1 w kq -,a1d1
r3b1k1/2r1qppp/4p3/pp1pP3/3P4/P1P5/1N2RPPP/1RQ3K1 w - -,b2d3
rnbqk2r/4bppp/4pn2/1p1p4/3P1B2/4PN2/PP3PPP/2RQKB1R w Kkq -,f4c7
2r3k1/1p1b1rp1/p1p3np/3q1p2/1BQP1PP1/PP1B4/7P/4RRK1 b - -,g6h4
4n1k1/2qnpp1p/3p2p1/2pP3P/rrB1P3/2R5/1P2QPP1/2B2RK1 b - -,d7e5
2r2rk1/pp3pbp/5qp1/3Pp2n/3nP2P/2BB4/PP1QNP2/3RK2R w K -,c3d4
rn1q1rk1/1b2ppbp/2p2np1/pp6/3P4/1QN1PN2/PP2BPPP/R1B2RK1 w - a6,f1d1
2R5/5p2/2pr4/1p1p1k2/1P1P4/4PP2/4K3/8 w - -,c8c7:e2d3
1r6/1p3k1p/p5r1/2NN1p2/1PPRpPP1/P7/6KP/8 w - -,d5e3
r3k2r/pbp1qpp1/1p1p1nnp/4p3/2PPP3/2PB1P2/P4BPP/R2QKN1R b KQkq -,g6f4
2R5/p1Rrkp2/4p1p1/1r5p/4P2P/1K1P2P1/5P2/8 w - -,b3c3
1B6/8/8/3k4/4n1p1/5b2/7K/8 w - -,b8f4
2B1R3/p1r4p/8/3p1p1p/2nk4/5K2/8/8 w - -,c8e6
r2qkb1r/pp2nppp/2n1p3/2ppPb2/3P4/2P2N2/PP2BPPP/RNBQ1RK1 w kq -,d4c5
5k2/5ppp/8/P2p1P2/3P3n/7r/1P6/2R3K1 b - -,h3b3
1q4k1/p2n1ppp/8/1b2p1b1/1pN1Pn2/1Pr2P2/PN3BPP/3RQBK1 w - -,g1h1
2rR2k1/p1q1ppbp/4n1p1/2P5/8/4BB2/P1Q2PPP/3R2K1 b - -,c8d8
6r1/4R3/7K/3k4/5P2/8/8/8 b - -,g8f8
6k1/p4pp1/4p1np/2N5/1Pr2q2/P3Q1RP/5PPK/8 w - -,e3f4
r2q1k2/p2bn1bR/2np1p2/1p2pPp1/1P2P1P1/1Q1PN3/PB2NKB1/8 w - -,e2g3
r3kb1r/3bnpp1/1q2p3/1p1pN1Bp/3P4/2NQ4/PP3PPP/R4RK1 w kq -,e5d7
2brq1k1/r6p/1pR2p2/pP1p1np1/B2Pn3/PQ1NP3/5PPP/R3N1K1 b - -,e4d2
1n1r1rk1/5p1p/3P2p1/6P1/1p2NN1P/1Pb1B3/4Q1K1/8 b - -,f8e8
6k1/4rn1p/8/1p4p1/p4p2/P1Pp2B1/1P4PP/3R2K1 w - -,g3f2
r1bqk2r/p1p2pp1/1p1bpn1p/8/3P4/3BBN2/PPP2PPP/R2QK2R w KQkq -,d1e2
8/4kN2/4P1Kp/7P/8/8/8/2b5 b - -,e7e6
8/5p1k/p5pp/4P3/1r6/7P/2Q3PK/8 w - -,c2c7
5bk1/3Q1pp1/2b4p/1p2pN2/1Pp1P3/2P4P/2B2PP1/6K1 b - -,c6d7
8/8/6k1/p5pp/3bp1P1/B7/7P/5K2 w - -,h2h3
2rr2k1/p2q1pb1/2npp2p/1p4p1/4P3/2P1NNP1/PP1Q1PP1/R3R1K1 w - -,a1c1
4k3/2b1n2p/1p3ppB/pPp1pP2/P3K1PP/1P2N3/8/8 b - -,e7g8
r1bq1rk1/5pbp/p1n2np1/1p1p4/5P2/P1NB1N2/1PP3PP/R1BQ1R1K w - -,f4f5
4r1k1/5pp1/7p/p2pr3/4q1PQ/1P6/P6P/3R1RK1 w - -,h4g3
3r2k1/p3R1p1/2p4p/3r4/1PNb1P2/P2P1R1P/6PK/8 w - -,e7c7
r1bqkb1r/pp2pppp/2n2n2/2pp4/2P5/1P3NP1/P2PPPBP/RNBQK2R b KQkq -,d5d4
5k2/6p1/5PPp/pp2P3/6r1/2PK3R/8/8 w - -,h3h5
