8/7R/5k1p/5p1P/5P2/4PK2/8/1r6 b - -,b1h1
8/p2k4/1p6/3B1np1/PP6/5K1P/8/8 w - -,f3e4
rnb2rk1/ppq1p1bp/5ppn/2ppP3/3P1P2/NPPB1N2/P5PP/R1BQ1RK1 b - -,c8g4
r2q1rk1/pb1nbpp1/1p2p2p/2pn4/3P4/2N1PNB1/PP2BPPP/2RQ1RK1 b - -,c5d4:a7a6
5rk1/2b3pp/bp6/p4p2/3Bn3/PP1N2P1/4P1BP/2R3K1 b - -,f8d8
2k1rr2/p1ppq1bp/1n4p1/2p1P3/2P5/1P1BQP2/PB5P/2K1R2R b - -,d7d6
4r1k1/5p1p/p1p2pb1/1p6/3bP3/2N4P/PPB3P1/4RK2 b - -,g8f8
4b3/8/k4p1p/4p1pP/1PPpP1P1/KB3P2/8/8 b - -,e8d7
6k1/5p2/1b2p1pp/3r4/7P/P1Q2PP1/8/2K5 w - -,c3b3
4r1k1/7p/p1p3p1/1pP5/5r2/1PP2P2/4B3/1K5R w - -,e2d1
r2q1rk1/1b1nppbp/pp1p1np1/2p5/P2P1B2/N1P1PN1P/1P2BPP1/R2Q1RK1 w - -,f4h2
r2q1rk1/pppBnppp/3p4/3Pp3/2P1P3/2N5/PP3PPP/2RQK2R b K -,d8d7
2r1kb1r/1b1p1pp1/pp3n2/1NqpQ3/2P5/1P4P1/PB3PB1/R3R1K1 b k -,f8e7
3rk2r/1p4pp/p3pq2/8/P1Q1p3/5P2/1P4PP/R2R2K1 b k -,e8g8
4b3/2k2p1p/1p2p1p1/1P2P3/2P2P2/2N1K1PP/8/8 w - -,e3d4
6k1/5pbp/3pb1p1/8/1P2QP2/3B4/q1N3PP/6K1 w - -,b4b5
1n4k1/3n1p2/4p1p1/2P4p/N1p1P3/1r3PP1/4B2P/2R2K2 b - -,b3a3
6k1/5p1p/4p1p1/8/1b6/3q3P/Q3NP2/5BK1 w - -,a2a8
8/8/3k4/8/8/4r3/4K3/8 w - -,e2e3
3r1r1k/ppbbq1pp/2p1p3/4Pp2/1PB5/PQ2P3/1B1R1PPP/5RK1 b - -,d7c8
r1bqnrk1/1p2bpp1/2pp3p/p1Q5/P1B1P3/2N1BN1P/1PP2PP1/3RR1K1 b - -,d6c5
r7/2n3k1/4p3/3p2p1/N2P2K1/3BP2P/8/5R2 b - -,a8a4
2r5/5k1r/4p1b1/6Qp/6P1/1P2N2p/P4P1K/8 w - -,g5f4
6k1/p3p2p/2p3p1/2q2p2/3r1Q1P/1PnrN1P1/P1R2P2/4R1K1 w - -,f4g5
6r1/1p2k3/p7/3p4/PP1PpB2/4P2B/7K/8 b - -,g8g6
2r3k1/1R4p1/p1p4p/P2pBb1P/2pP1P2/2P3Q1/3q1KP1/8 w - -,f2f1
2r3k1/p5b1/8/4p1N1/3n4/6B1/P1r2PP1/R4R1K b - -,e5e4
5rk1/pp3ppp/1qr1p3/3pPn2/3P1P2/1P3N2/P5PP/BQ1R2K1 w - -,a1b2
r2q1r1k/7p/3n1p2/pp6/4P3/6P1/PQ1N1P1P/3RR1K1 b - -,d8e7
2q2bk1/R2p2rp/p3p1p1/1p5P/8/1P3QB1/5PPK/8 b - -,d7d5
r4rk1/pp3ppp/2n2n2/3q4/3p1Bb1/P2B2N1/1PPQ1PPP/R3R1K1 b - -,f8e8
r1bqkb1r/pp3ppp/2p5/3pP3/8/2NQ4/PPP2PPP/R1B2RK1 w kq -,c3e2
1rbqkb1r/p2n1ppp/4p3/1pp1P3/2p5/2N1Q1P1/PP2PPBP/R1B2RK1 b k -,d8c7
2q1k1rb/4p2p/3p1ppB/1bpP1P2/1p2PPQ1/4N2P/rPP4K/1R4R1 w - -,g4h4
8/5r2/2k1R2p/1pp2p2/2n4B/1KP2PPP/8/8 b - -,c6d5
4rrk1/1pq2pbp/p2p4/3P3p/P1p1P3/3nB1NP/1PQ2PP1/R4RK1 w - -,a1a3
4r1k1/2q2pPp/8/6PP/ppp1P3/4Q3/PPP5/2K1R3 w - -,c1b1
2r2rk1/3b2p1/3pp3/pp2b3/4P1Q1/2P5/PPN1Nq1P/1K1RR3 w - -,a2a3
4b1k1/5p2/3p1npp/2bP4/R5P1/8/5PBP/6K1 w - -,a4a8
r2qkb1r/pp1n1ppp/n1p5/4Nb2/P2P4/2N1P3/1P3PPP/R1BQKB1R b KQkq -,d7e5
r1bq1rk1/pp3pp1/2n2n1p/3p4/3P4/P1PB4/2Q1NPPP/R1B2RK1 w - -,f2f3
5k2/5p1p/1pB2p2/p4N1P/8/1P6/P1K4b/8 b - -,h2g1
1r3rk1/3qnpbp/2npp1p1/1pp5/4P3/P1NPB1PP/1P1Q1PB1/1R3RK1 w - -,b2b4
8/p2q1ppk/1pnN3p/2pQ4/5P2/P5P1/1P3PKP/8 w - -,h2h4
1R6/8/4K3/1n5r/8/3k4/8/8 b - -,d3e4
8/r3n1p1/3k3p/p6P/4RK1P/1B6/2P5/8 b - -,e7c6:a7c7
rn3rk1/1pqb1pp1/p3pn1p/1P1p4/3N1P2/1PBP4/3QB1PP/R1R3K1 w - -,c3b4
1r1q1rk1/3bppbp/p2p2p1/n1pP4/2P1P1n1/6P1/PBQN1PBP/1R1N1RK1 b - -,g7b2
3r1rk1/p3ppbp/B1P3p1/2pn4/8/P7/1P3PPP/R1B1R1K1 b - -,g7d4
6k1/4bppp/2n1p3/p2pP3/n1pP1P2/P1P5/3KN1PP/1NB5 b - -,g8f8
r1bqkbnr/5ppp/p1p1p3/3pP3/N2Q4/5N2/PPP2PPP/R1B1K2R b KQkq -,d8a5
r7/4k3/4bB2/2p4p/p4R2/P4PK1/1P6/8 b - -,e7d7
r2q1rk1/pp4bp/3p4/2nP1p2/3p4/5NP1/P2Q1PBP/4RRK1 w - -,f3d4
1qr1r1k1/pb2ppbp/1p1p1np1/3N4/2P1P3/1P1Q2P1/P2B1PBP/2R1R1K1 b - -,e7e6
3r1rk1/5pbp/p3N1p1/4p3/2B1PP2/Q1P1q1P1/P5KP/3R1R2 b - -,e3e4
8/pb5p/1p1k1b2/5p2/2P1P3/1P6/P1B2KPP/4N3 b - -,f5e4
1r1r2k1/2p1qp2/1b4pp/ppN1p3/1P6/2Q3P1/P3PPBP/1R1R2K1 w - -,a2a3
8/8/6p1/4pk1p/1R2p2P/r5P1/4KP2/8 w - -,b4c4
r3kb1r/pb1p1pp1/1pn1pq1p/4P3/3P4/3B1N2/PP1N1PPP/R2QK2R b KQkq -,f6d8
rnb1qr1k/pp2p1bp/2p3p1/3p2N1/2PPpB2/Q5P1/PP2PPBP/R2R2K1 b - -,h7h6
6k1/1p3pp1/8/P1ppB3/4nP2/8/6K1/8 b - -,f7f6
r2q1rk1/pp2bppp/2n1pn2/3p4/3P4/2NBPQ2/PP1B1PPP/R4RK1 w - -,f3h3
r1b1r1k1/1pq2pb1/p1n3pp/4p3/1P1pPB2/P2B1N1P/2PNQPP1/RR4K1 b - -,e5f4
r3r1k1/1p3pp1/2pq1n1p/p2p1b2/3P4/P1R1PP2/1P1BB1PP/3Q1RK1 b - -,a5a4
5k2/8/p1p1pBP1/P1K1Pn2/8/4P3/8/8 b - -,f5e3
r2q1rk1/pb3ppp/2pb1n2/5N2/4P1n1/2p3P1/PPQ1BP1P/R1B2RK1 w - -,e2g4
8/8/4k3/8/5PK1/r7/3R4/8 w - -,d2h2
r5k1/5ppp/b7/2n1P1P1/3RP3/BP1nK2P/8/N7 w - -,a1c2
8/k7/P5p1/3KB3/4P1P1/8/1b6/8 b - -,b2c1
r1b3k1/p1p1qppp/2p2n2/8/4p3/2N1P1P1/PP1N1PBP/R3K2R w KQ -,d2e4
r3rnk1/pp2ppb1/1q3npp/3p1b2/2pP3B/1PP1PN2/P2NBPPP/R1QR2K1 b - -,c4b3
r3k3/4pp2/1npp2p1/p6r/1pqPP3/3Q1P1N/PPP4P/1K1R3R w q -,h3f4
r3k2r/ppqbp3/n2p1n2/2pP1pB1/2P5/2P5/P3PPPN/R1Q1KB1R b KQkq -,f6g4
r3b3/7Q/p1pBk1r1/5p2/P3pP2/6P1/7P/5RK1 b - -,e6d6
8/3rn1k1/8/2R2p1p/3P2pP/5PK1/1R2B1P1/7r w - -,b2d2
8/8/8/p4kp1/P1R4p/6K1/3r3P/8 w - -,g3h3
3rr3/k1p2p2/pq5p/3b2pP/2Q5/1P1N1P2/P1P3P1/1K1R3R w - -,c4c3
bq1r1bk1/2rn1pp1/pp1ppn1p/8/1PP1P3/PNNBQ2P/1B3PP1/3RR1K1 b - -,b8c8
2r3k1/1p5p/4p1pb/1p1pP3/3P4/R5P1/P1N4P/3K4 w - -,a3b3
r3k2r/1p2b1pp/p1b5/3Qp3/4N3/1P6/P4PPP/R1B2RK1 b kq -,c6d5
r7/4k1pp/4bp2/1p2p1P1/4P2P/3PNR2/2P5/r4RK1 b - -,a1f1
5rk1/5p1p/p1P1p1p1/p3P1Pn/1p2QP2/1Pq4P/6BK/5R2 b - -,h5g3
8/7p/4k1pP/p4p2/5P2/p1r3P1/K1P1R3/8 b - -,e6f6
rn1qkb1r/pp2pppp/2p2n2/8/3P4/2NQPN2/PP3PPP/R1B1K2R b KQkq -,b8d7
r2q1rk1/1bp2ppp/pp2p3/3nP3/Pb1P4/2NB1N2/1P2QPPP/2RR2K1 w - -,e2e4
r2q1rk1/p1p2pbp/1pn1p1p1/4P3/2P5/2B2NP1/PP2QPKP/R4R2 b - -,d8e7
4R3/8/8/8/7p/5p1K/4k3/3r4 b - -,e2f2
r7/5r2/2k1pPP1/1p6/3p2K1/2pP4/4R3/5R2 b - -,a8g8
3q1rk1/p2n1ppp/2b1p3/r1ppP3/5P2/2P3P1/2QNP1BP/R4RK1 w - -,e2e4
1r1q1knr/pppnbBpp/3p4/4p3/3PP1b1/1QP2N1P/PP1N1P2/R1B1K2R b KQ -,g8h6
8/p6R/P4p2/R5pP/3PN3/3qpPk1/8/4K3 b - -,g3f3
6k1/2r5/p5pp/3N4/1p5P/2b5/P1P5/1K6 w - -,d5c7
1r6/1pRN3p/p2n2pk/P2P1p2/8/4r1PP/4B3/2R3K1 w - -,d7b8
rnbqkb1r/pp2pp1p/5np1/2pp4/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq c6,b2f6:c2c4
r5k1/5p1p/4n1p1/pP6/3p4/N3P2P/2R2PP1/6K1 b - -,d4d3
8/5Bp1/2p5/k6P/p7/K1P5/8/8 w - -,f7c4
6k1/pN5p/P1p2bp1/2P2p2/5P1P/5KP1/8/8 b - -,g8f7
3rr1k1/1pp2pp1/p6p/8/4BB2/1bPn3P/1P3PP1/R3R1K1 w - -,e4d3
rnbq1rk1/pp2ppbp/2p3p1/3n4/3P4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,d5b6:b8a6:d5c3:b8d7
4k3/8/2N3p1/2P1K3/5P1p/6rP/6P1/8 b - -,g3g2
8/pp1k2pp/8/8/4R3/2P5/PP1r1KPP/8 w - -,e4e2
8/2r3p1/p1P4p/3k3K/1P6/7P/2R3P1/8 b - -,c7c6
4r1k1/6p1/p1q4p/6p1/3p4/P5R1/1P1RNP2/6K1 w - -,g3d3
3k4/1pb4p/p1p1ppp1/3r3r/PPRP4/4PPB1/5P1P/1R3K2 w - -,f1e2
r2r2k1/pp1qnpp1/2pBpb1p/2P5/1P1PB3/6P1/P4P1P/R2QR1K1 w - -,d1f3
r1bq1rk1/bp3ppp/p1n1pn2/8/1PPp4/P1N1PN2/1BQ2PPP/R3KB1R w KQ -,e3d4
8/R7/5Kp1/8/5P1k/4P3/p7/r7 w - -,a7a5
r3k2r/pppq2pp/2nn1p2/3p4/3P4/P1PBB3/2P2PPP/R2Q1RK1 w kq -,e3f4
2rqr1k1/pb1npp1p/1p3np1/3P4/P2P1b2/BPN2N1P/2R1BPP1/3QR1K1 b - -,f6d5
5n2/3b4/1p1k4/pB1p1pp1/P2Pp3/1PN1P1P1/3K1P2/8 b - -,d7e6
r1bq1rk1/pp1nppbp/2p3p1/3p3n/3P1B2/2PBPN2/PP1N1PPP/R2Q1RK1 w - -,h2h3
1r3rk1/p3npbp/1q2p1p1/1pN1P3/8/3P2PP/PPPB1Qb1/R4RK1 w - -,g1g2
4r3/p3q1k1/1np1r1pp/Q2p4/2P1p3/1P5P/P3RPP1/4RNK1 w - -,c4d5
1nk5/ppq1b1p1/4p2p/1Pp1PP1P/5P2/P1N1B3/2P5/2KQ4 b - -,e6f5
5rk1/Nb1p3p/np1p3n/3Pr1q1/1PP1Pp2/P4Q1P/1B4B1/R4RK1 b - -,e5e8
2R5/8/8/8/5Pp1/4r1K1/2p5/2k5 w - -,g3g4
1r4k1/4qpp1/3bp2p/prp1N3/Rn1Pb3/2Q1P1P1/3B1P1P/2R2BK1 b - -,c5d4
6k1/pB3p1p/2p3p1/3p1n2/P2P4/2P5/1q3B2/4QK2 w - -,b7c6
8/6k1/5p2/1p5p/4q1pP/1QP1b1B1/1P5K/8 w - -,b3d1
q5k1/p4pp1/3p1P2/4p1p1/PPPp2P1/3b2K1/7Q/7R b - -,a8h1
5rk1/pp1bppbp/2np1np1/8/3NP1PP/P1P1BP2/3K4/3R1B1R b - -,b7b6
r1bqk2r/pp3ppp/2nbpn2/2pp4/3P4/2P2NP1/PP2PPBP/RNBQ1RK1 w kq -,c1g5:b1d2
2rr2k1/pb2qp2/1p1pppnp/1N6/2PR4/P3PP2/1P2B1PP/3QK2R b K -,d6d5
r3k2N/6pp/2p1bn2/p1n1p1b1/PpB1P3/8/1PPN2PP/2KR3R w - -,c1b1
r3k2r/pp2bppp/2p3b1/2n1N3/6P1/2n4P/PP3PB1/R1B1R1K1 w kq -,b2c3
8/6p1/5p1p/3k1P1N/4p1PP/pK3P2/1b6/8 w - -,f3e4
2q2rk1/pp1bppbp/6p1/7P/2nPP3/Q2BB3/P3NPP1/4K2R w K -,a3e7
2n3k1/b2q1ppp/p4n2/1p1p4/1P1P4/P2Q1BP1/4NP1P/2B3K1 b - -,c8d6
1r4k1/R4p1p/5p2/1P2pb2/2r5/2N2P2/1P4PP/R5K1 b - -,g8g7
2rq2k1/5r1p/3pP1p1/pp3b2/3Q4/1P2BP2/PP4P1/K1R4R b - -,f5e6
2r4k/p1rnqpp1/1p2p2p/2p5/3PQ3/2R1PN1P/PP3PP1/2R3K1 w - -,d4c5
1k6/7p/KPP3p1/3P4/6P1/6bP/8/8 w - -,b6b7
8/8/5pk1/3q2p1/1P1Bp1b1/2P1K1P1/3Q4/8 b - -,f6f5
2kr3r/pp1b1p1p/1np3p1/3p2q1/P2P4/2NBP1P1/1PQ2PP1/1KR4R b - a3,c8b8
8/8/8/7K/8/1R1bk3/8/6r1 b - -,e3d4
8/8/3kbp1p/pB4p1/P1pKP3/8/1P4PP/8 w - g6,b5c4
3r2k1/p5pp/1p6/4pp2/1PP5/P3PP2/6PP/Q1BqbBK1 w - -,a1b2
r1bqk2r/p4ppp/2pp1n2/4p3/1bP1P3/2NB4/PPQ2PPP/R1B1K2R w KQkq -,a2a3
4b2k/6p1/6rp/Pn1PBp2/1P2pP2/8/4B1PP/2R1q2K w - -,c1e1
r1r3k1/pp4pp/1npbp1b1/3p1p2/1P1P3B/2P1P3/1P1N1PPP/R2BR1K1 b - -,e6e5
r2qk2r/pp1nbppp/3p1n2/2p1p3/4P3/2P2N2/PP1P1PPP/RNBQR1K1 w kq -,d2d4
5R2/5n2/3p1k1p/p3b3/P7/7P/3q2P1/Q6K w - -,a1g1
1k1rr3/p1p2ppp/Bpnq4/1Q2p3/P2P1P1n/2P1P3/3B1P1P/1R3R1K b - -,d6g6
rn1q1rk1/p1pp1ppp/1p2pn2/8/2PPb3/2B2NP1/PP2PPBP/R2Q1RK1 b - -,d7d6
nr3rk1/5p1p/6p1/3bp3/1p6/pP4PP/P2NNq2/3R1RK1 w - -,f1f2
5k2/3Rpp1p/6p1/8/4P3/1r5P/4KPP1/8 b - -,b3b2
rnbqk2r/ppp5/3p1npb/5pB1/2PPp3/1N3PP1/PP2P1B1/RN1Q1RK1 w kq -,d1d2
r1bq1rk1/1p2bppp/4nn2/p1pp4/3P1N2/P1N1PP2/1PB3PP/R1B1QRK1 w - -,f4e6
5k2/4bppp/8/2R5/p7/2K3P1/N6P/8 b - -,e7c5
rq2n1k1/pb1r2p1/5p1p/BPp2N2/4pP1Q/4P3/4B1PP/R5K1 w - -,h4g4
8/8/4kp2/4p3/1K1p2R1/2r3n1/3N4/8 b - -,e6d5
r1bq1rk1/1pp2ppp/p1np4/4p2n/1PP1P1P1/P2PPN1P/R4K2/1N1Q1B1R b - g3,h5f6
r3k2r/1p1qbpp1/p1n1n2p/4P3/1P1pB3/P4NQ1/2RB2PP/5RK1 b kq -,a8c8
6k1/p4pp1/2p1r2p/P2p4/3P4/6Pb/q2B1P1P/2RQ2K1 b - -,h3f5
r1b1kb1r/1p1n1ppp/p2qpn2/2p5/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f8e7
5r2/4qpkp/r2p2p1/pb2p3/4P3/1P3P2/2PQN1PP/2KR3R b - -,a5a4
1b2rrk1/p4ppp/1p4q1/2pB1b2/2PpN3/1Q1P2P1/PP3P1P/R3R1K1 w - -,b3a4
3r3k/5pbp/2pP2p1/p3p3/P1P5/r6P/5PP1/R3R1K1 w - -,a1a3
r1b2b1r/pp2k1pp/1qn5/3pp2Q/8/1NPB4/PP3PPP/R1B1K2R w KQ -,c1e3
1rr2bk1/4nb1p/6p1/3p1p2/p1B1pN1P/P5P1/1BPR1P2/2KR4 w - -,c4d5
r1b1k2r/pp3ppp/2n1pn2/3q4/1b1P4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,b4c3
8/p3rpkp/1p4r1/2pR4/8/P1P4P/1P3RP1/7K b - -,g6f6
3r2k1/Q3bppp/1p3n2/7q/4p3/P3PNB1/1P3PPP/2R3K1 w - -,a7e7
2r1k3/4np2/p1p1bB2/1pq5/4P2p/3Q3P/BP4r1/2KR3R w - -,c1b1
r2qkbnr/pp1n1ppb/2p1p2p/3pP3/2PP4/1P3N2/P3BPPP/RNBQ1RK1 b kq c3,g8e7
8/1k6/2p4R/4B3/1p4P1/5K2/1Pr5/8 b - -,c6c5
5r2/6bk/1Bq1p1pp/8/NRP5/6P1/5P2/5RK1 b - -,f8a8
K7/8/8/2Q5/8/8/5kp1/3q4 b - -,f2f1
r1b1k1r1/2qnbpp1/p2pp3/1p4Pp/3BPPnP/PNN2B2/1PP1Q3/2KR3R b - -,d7c5
4r3/1p1qr1k1/p1p2np1/P2p1p1p/1P1P1P2/4P1PP/4B1RK/2Q1R3 w - -,e2f3
5rk1/1b3qpp/r1npn3/P1p1p3/2P2p2/2B1PP2/3QB1PP/1R1R1NK1 w - -,e2d3
r6r/3bkpp1/p2p1n1p/1Pq1p1N1/2N1P3/3Q4/PP3PPP/3R1RK1 w - -,g5f7
3r1q1k/1p5p/p2p2p1/Pn1Nprb1/1PN1Q3/2PR4/5PPP/5RK1 w - -,f2f3
2r1rnk1/2qbb2p/4p1pB/p2pPp1P/8/1PP2NQ1/5PP1/1BR1R1K1 b - -,g8f7
r2qk2r/ppp3pp/2nb4/3p1p2/3Pn1b1/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,d1c2
r2q1rk1/pp2ppbp/2n3p1/1B1pPn2/3P4/2N1BQ1P/PP3PP1/R3K2R w KQ -,a1d1
r1bqkb1r/p2n1ppp/2p1p3/2ppP3/8/3P1N2/PPP1QPPP/RNB1K2R w KQkq -,c2c4
r2qkb1r/pp3ppp/2p1pn2/3pn3/4P3/2N2QPP/PPPP1PB1/R1B2RK1 w kq -,f3e2
6k1/p4p2/6Pp/1pp1PQ2/2b3P1/P3q2P/6BK/8 w - -,h3h4
4r1k1/1p1q2p1/2p2p2/1n1p4/pP1Pr3/P3P1p1/2Q2PNP/2R1R1K1 w - -,h2g3
5rk1/p1p3pp/4pn2/4Nr2/P2P4/2P2P2/1P4PP/R1B2RK1 w - -,g2g4
1r6/5pk1/1qrp1pp1/7p/1P1RP3/5PP1/1Q1R2KP/8 w - -,b2a3:b2a1
2r1k2r/1b1p1ppp/1q2p3/npb5/3pPP2/P2P1NP1/1BP1Q1BP/R2K3R w k -,e2f2
3q1bk1/p4p1p/4p1p1/1p2P2P/4Q1P1/2P1B3/PPK5/8 b - -,a7a6
r1b1kb1r/1pqp1ppp/p1n1pn2/8/4P3/1NN1B3/PPP1BPPP/R2QK2R w KQkq -,f2f4:a2a4
r1bq1rk1/4npb1/ppnp2pp/2p1p3/1P2P3/P1PP1NP1/1B1N1PBP/R2QR1K1 b - -,c8e6
8/3kbp2/6p1/1r1pP2r/QPpP1P1p/P1Bq4/5RPP/5RK1 b - -,d3c3
4rr1k/ppp3pp/5n2/2P3q1/8/P1Q4P/5PP1/1B2RRK1 b - -,c7c6
8/6k1/4R3/7p/5KPP/r4P2/8/8 b - -,h5g4
8/8/5k2/4p3/6P1/2r2P2/5K2/4R3 b - -,c3a3
3rn1k1/pp6/2nPb1pp/5P2/8/8/P2RBPPP/3R2K1 b - -,g6f5
2r3k1/p4ppp/1q2p3/2pr4/P4P2/1P2P3/2Q2P1P/1RR3K1 w - -,c1d1:b3b4
3rr1k1/ppp2pbp/8/2q1np2/4p3/1PP1P1PP/P3RPB1/1NQR2K1 b - -,e5d3
8/8/5R2/3r1p1k/6Pp/8/5KP1/8 b - -,f5g4
8/7Q/1pk1q2p/p2bp2P/P4p2/1PK2P2/3N2P1/8 b - -,e6f6
4r1k1/pp3ppp/3p2n1/3P2q1/2PPrp2/3Q1R2/PP1B2PP/5RK1 b - -,g5g4
4r1k1/p2q1p1p/1pb5/7p/2Pp4/P1QP2P1/5PB1/1R4K1 w - -,g2c6
1rb2rk1/pp2p1bp/1n4p1/1B6/3pNP2/8/PPPB2PP/2KR3R b - -,c8e6
r2r2k1/p2nqppp/1pppb3/3n4/4P3/1P4P1/PB3PBP/R2QR1K1 w - -,e4d5
r1bqr1k1/1p2bpnp/2p2npB/3p4/1p1P4/P1NBPN1P/2Q2PP1/1R3RK1 w - -,a3b4
4r3/1p6/2nbkp2/p5r1/2Rp2p1/P2N2P1/1P1RPPK1/5N2 b - -,e6d5
5k2/7p/p3p2P/1b1pN3/1p1P1p2/5P2/PP3K1P/8 w - -,f2g2
2kr2r1/3nbp1p/bq3n1Q/pp2pP2/4P3/2NBBN2/1PP4P/2KR2R1 b - -,b6b7
1rb1k2r/5p1p/p1n1p1p1/q2pP3/2p2P2/P1N2N2/1PPQ2PP/KR1R4 b k -,a5c5
R7/4rp1k/1BP1p1bP/p7/Bb2p1P1/1P5P/4K3/8 b - -,b4d6
r1bq3r/p2npkb1/1pp2n2/3p2p1/NP1P4/2P1PN2/P1B2PPP/RQ3RK1 w - -,f3g5
2rq2k1/p2r2pp/1pp1bp2/3np3/1P2N3/P2P1BP1/2Q1PP1P/2RR2K1 w - -,c2b2
r4rk1/pQ2nppp/2p5/q7/3nP3/3B2R1/PP2N1P1/6KR w - -,b7e7
r1b3k1/1pp1qr2/p1Pp1npp/3PpPbn/PPB5/2N2P2/2RN1BPP/R2Q3K b - -,g6f5
r1bqk2r/pp2npb1/2n3pp/2pp4/8/2NP1NP1/PP1BPPBP/R1Q1K2R b KQkq -,b7b6
2b5/7p/3k2p1/1K1p1p2/3P3P/3BP1P1/5P2/8 b - -,c8d7
4k1nr/1p1bbpp1/p2p4/4p1P1/4P3/3RBQ1P/P1PK4/q4BR1 b k -,a1a2
4b3/8/8/4NkP1/5P2/4K3/8/8 w - -,e3f3:e5f3
r5rk/p4ppp/1q2pb2/3pB3/1P1P2Q1/P7/5PPP/R2R2K1 b - -,f6e7
rnbqkb1r/pp1npppp/8/2PpP3/8/2N5/PPP2PPP/R1BQKBNR b KQkq -,e7e6
