8/8/5n2/P3p3/1KB4p/8/1P4k1/8 b - -,h4h3
1n1r4/p1r2pkp/1pP1pb2/1P3p2/3P4/5B2/1B1R1PPP/3R2K1 w - -,d4d5
4qrk1/1b1n1ppp/p2bp3/1pr1n3/3NP3/2NBB2Q/PPP3PP/1K1R1R2 b - -,e5d3
5rk1/1b1n1rpp/pq2p3/1p1p4/3R1P2/P1N5/1PPQB1PP/5R1K w - -,f1f3
r1b2b2/ppk1p1pr/3qp3/2ppQ3/3P4/2P4P/PP3PP1/RNB1K2R b KQ d3,d6e5
3r2k1/ppqr1pb1/2n1b1pp/1Bp1p3/P3P1n1/2P1NNP1/1PQ2P1P/R1B1R1K1 w - -,e3d5
r3r1k1/ppq3Pp/1nb1ppn1/6N1/2P5/1B2B3/PP2QPP1/3RR1K1 w - -,e3b6
2r5/5k2/4p1p1/2B2p1p/p2Pb3/P2K4/8/6R1 w - -,d3e3
2r1r1k1/1p1n1pp1/1qp1b1np/p2pP3/P2P4/1P2RNPP/2QN1P1K/R4B2 w - -,e3c3
r4rk1/ppp1pp1p/1nn1b1p1/4P3/3qPB2/Q1N2P2/PP4PP/3RKB1R b K -,d4b4
r2qr1k1/1bnnppbp/3p2p1/p2P4/1pPNN3/1P5P/P4PPB/1R1QRBK1 b - -,c7a6
r3k3/ppq2pp1/2n1pn2/3p4/Q2P2br/2PB1N2/PP1N1PP1/R4RK1 b q -,h4h6
r1bq1rk1/ppp2p1p/3p1bp1/7n/2B1P3/2N1B3/PPPQ1PPP/R4RK1 w - -,c3d5
rr4k1/2pnbpp1/4b2p/2p5/p1P1N3/P1B5/1P3PPP/2R1RBK1 b - -,d7f8
2kr1b1r/1bq1npp1/pp2p2p/2p1P1B1/2P5/P1N5/1PB1QPPP/R4RK1 w - -,g5h4
rnbqk2r/pp1pppbp/5np1/2p5/3P1P2/3BP3/PPP3PP/RNBQK1NR w KQkq c6,c2c3
6k1/p4p1p/4b1p1/1B6/P7/6P1/2r2P1P/4R1K1 b - -,g8g7
8/6pk/7p/p5n1/P2N4/1P3P2/5PK1/8 b - -,h7g6
8/r1r1kp1p/P3n3/5R2/8/R4B1P/5PP1/6K1 b - -,e6d4
5rk1/5p2/3p2p1/R2Pp2p/P3r2q/5Q1P/5PP1/2R3K1 w - -,g2g3
rn2k2r/p1q2ppp/1ppBpn2/5b2/3P4/1N3NP1/PPP2P1P/R2QKB1R b KQkq -,c7d6
7k/1p1bNnb1/r2P4/1p2pP2/1B2Pp1q/3Q1p1p/1R3P1P/6RK b - -,h8h7
r1bqk2r/1p1pnpbp/p1n1p1p1/8/3pP3/1BP2N2/PP2QPPP/RNB2RK1 w kq -,c3d4
3r1rk1/pb1qbppp/1pn1pn2/2pp4/2P5/1PNPPNP1/PB2QPBP/R4RK1 w - -,a1d1
r1bq1rk1/pp1nbppp/2p1p3/8/2PPB3/5N2/PP3PPP/R1BQ1RK1 b - -,c6c5:d7f6
3r1r2/1p2q2k/p2pp1p1/P1p1p2p/2PnP3/2NP3P/1P1Q1PP1/R4RK1 w - -,a1a3
r1b1nqk1/pp2r2p/3p2p1/2pP1p2/2PbPN2/1PN3P1/P1Q3BP/4RR1K b - -,e8g7
rn2k2r/3p2pp/pq2p3/2b5/Qp6/2P1B1P1/PP3P1P/R3R1K1 w kq -,e3c5
r3k2r/pp2bp1p/2n1p3/5p1N/8/2P2N2/PP3PPP/3R1RK1 b kq -,h8g8
4k3/pp3p1p/2nr2p1/8/4P3/P1R1KbP1/7P/1R6 w - -,e3f3
1br3k1/q4pp1/2B1pn1p/Q7/8/1P2P2P/3B1PP1/2R3K1 b - -,a7e7
5r1k/pp3pp1/7p/2rp2q1/2nN2b1/P3P3/1PB2PPP/RQ2R1K1 w - -,c2d1
b5k1/6p1/p2Np2p/3nBpn1/8/P5P1/4PPBP/6K1 b - -,a8c6
r2q1rk1/4bppp/p3b3/1p1np3/8/PN3P2/1PPQBBPP/R2R2K1 b - -,f8e8
7r/p4pbp/3kp1p1/1r1p1P2/1p1P3P/6N1/PPP2P2/1K1R3R w - -,f5e6
2rqkb1r/pb1npppp/1p1p1n2/8/2PNP3/2N2P2/PP2B1PP/R1BQK2R w KQk -,e1g1
1rbqrnk1/5pbp/p2p1np1/2p5/2P2P2/2NB1N1P/PP3BP1/1R1QR1K1 b - -,e8e1
6k1/4ppb1/3p3p/2pP1NpP/4r3/3r4/5PP1/1R2R1K1 b - -,e4e1
q1r3k1/5pp1/2Q1bn1p/p2p4/1p6/1P2BP2/P3BKPP/2R5 w - -,c6a8
4B3/4k3/Q7/5p2/P2bpq1p/7P/5PK1/8 w - -,a6b7
r1bq1r1k/1p2n1bp/2p3p1/3N1p2/1P1Pp3/4P2P/2QNBPPB/1R1R2K1 b - -,e7d5
7k/p7/2B3PP/1pP5/1Pb1PK2/P7/8/8 b - -,a7a6
6k1/p4rp1/1p5p/3p4/3P4/1P4Pb/P1R4P/4R1K1 b - -,f7f3
r2qkb1r/1b1n1pp1/p2ppn1p/1p6/3NP1P1/P1N1BP2/1PPQ3P/2KR1B1R b kq -,a8c8
2r1r1k1/pb3qbp/1pn1p1n1/2p5/P1PpPp2/3P1PPN/1P3B1N/R2QRBK1 w - -,g1g2
1R6/1p1k1p2/3rbB2/6P1/p3B3/6P1/1P1b1PK1/8 b - -,b7b6
1q1r1bk1/2rn1pp1/ppbppn1p/8/1PP1P3/PNNBQ2P/1B3PP1/1R2R1K1 b - -,c6a8
4qr2/r1p1n1bk/ppn1p2p/4Pp1p/2P2P2/2N1BNP1/PP1R4/3R2KQ b - -,a7a8
8/5bk1/6p1/2n5/8/1P6/P5Bp/1K5R w - -,h1h2
r1b3k1/1p3p1p/p2p2p1/3P4/Pr3P2/1BR4P/1P4P1/5R1K w - -,h1h2
r1b1nnrk/1p2qp1p/p2p2p1/b1pPp1PP/2P1P3/P1N1B1N1/1P1QBP2/R3K2R b KQ -,c8d7
8/1p6/p2b4/3k4/3Bp1r1/PK6/1P1R2P1/8 b - -,d6f4
8/p7/2pk4/5Kp1/3P3p/1P5P/3bB3/8 w - -,e2c4
4rk2/2qnrpbp/p1p3p1/1pP1p3/1P1P3P/PB3QB1/4RPP1/4R1K1 w - -,h4h5
r1b2rk1/pp2ppbp/2np1np1/q7/4P3/2NBBN1P/PPPQ1PP1/R3R1K1 b - -,f8e8
7R/ppp2kp1/5p2/7P/1P6/P7/3rrPP1/1R4K1 w - -,b1f1
r1br1qk1/p4pbp/n2p2p1/1ppP4/4NB2/6P1/PP2PPBP/R2QR1K1 w - -,a2a4
3r3k/5p1P/1rp1p1p1/p3P3/3P1P2/q3n3/2pR2BP/2R1Q1K1 b - -,d8d4
2kr1b1r/ppp1pppp/1nn5/4Pq2/3P4/4BP2/PP2N1PP/RN1Q1RK1 w - -,b1d2
2rq1rk1/1p1nppbp/3p2p1/p7/PnbNPP2/2N1BB2/1PPR2PP/R2Q2K1 b - -,d8c7
1rbqk2r/pp4pp/2pb1n2/3p1p2/3P4/2N1PN2/PP3PPP/R2QKB1R w KQk -,a2a3
2r3k1/1p1Rb1p1/6Bp/8/8/6P1/7P/7K w - -,d7e7
4b3/pp6/3kprp1/2ppNn2/8/1PP4B/P3P3/4K1R1 w - -,e5g4
1r3k2/6r1/p2nBp1p/nppP4/5PPP/4N3/P5R1/2R3K1 b - -,c5c4
2k4r/1p1r1pp1/p1n1pn1p/2b5/2p1P3/P1N2PP1/1PPBN2P/2KR3R b - -,h8d8
8/p5p1/4B1K1/8/5PP1/1pb5/2k5/8 w - -,g4g5
r2q1r1k/ppnbp1bp/2pp2p1/5p2/2PP4/2Q1BNP1/PP2PPBP/2RR2K1 b - -,h7h6
4r1k1/6p1/1p2pp2/3p1n2/1q1P1PQP/1P3NP1/r2N1PK1/4R3 w - -,g4g6
rnb1kb1r/pp3ppp/2pp1n2/q3p3/2BPP3/2N5/PPPB1PPP/R2QK1NR w KQkq e6,g1e2
3r4/5k2/pp2pp1p/2p5/2PnN3/1P3PP1/P3RK1P/8 w - -,e2d2
1q3r2/3Q2bk/3p2pp/1r1N1p2/1P1Pn3/4P1P1/3B1PBP/R1R3K1 b - -,b5d5
4rrk1/pp3p1p/1q4p1/3p1P2/2n5/2P1PRN1/PP2R2P/2Q3K1 b - -,e8e7:c4e5
3r1rk1/1p2nqpp/p1n1bp2/4p3/Q3N3/2PBB3/PP3PPP/R2R2K1 w - -,e3b6
r1bq1rk1/ppp2ppp/2n2n2/4p3/1bBP4/P1N1P3/1P2NPPP/R1BQ1RK1 b - -,b4d6
4rrk1/2p3pp/bpNp4/p2P3q/4p3/4P1P1/P1Q2PBP/3R2K1 w - -,c6d4
r4r1k/pp4b1/2p3Rp/2P2ppn/1Pb1p3/2N1P2P/P3NPPB/4R1K1 b - -,h5f6
1r4k1/5pp1/2p4p/8/P1P5/2R4P/r5P1/2N3K1 b - -,a2a4
1rbqkb1r/3n2pp/p1n1p3/1pppPp2/3P1P2/4BN2/PPPQB1PP/R2NK2R w KQk f6,e5f6
r3k3/2q1bpp1/2bp4/p3pPP1/1p2n3/3BB3/PPP4r/1KNRQ1R1 b q -,e8c8
1rbq1rk1/2pnb1pp/p3p3/1p2Np2/3PPP2/1N6/PPQ2PBP/R4RK1 b - -,d7e5
1r6/5p1k/7p/P5p1/4N3/1P3P1P/2r1n1P1/1R1R3K b - -,e2f4
2k4r/1pp1np2/p6p/6p1/1b6/3R1NP1/PPP4P/1K5R b - -,f7f5
r2q1rk1/p1p1bppp/2pp1n2/8/3PP1b1/5N2/PPQN1PPP/R1B1K2R b KQ -,d8d7
8/5pk1/6pp/8/1P2n3/P3QR1P/1q6/7K b - -,b2a1
8/8/pb2k1pp/4p3/P7/2NK1P2/1P4PP/8 b - -,b6g1
5r2/pR4pk/2p4r/2P2pB1/P2PpK2/8/8/4R3 w - -,g5h6
r1bq1rk1/pp2ppbp/3P1np1/8/1n1N4/2N1B3/PPP1BPPP/R2Q1RK1 b - -,d8d6
8/1p2r3/p4k2/5p1r/P1P1p3/2P1R3/1P3R1P/7K b - -,f6e5
3k4/1p1P1pp1/p1p5/4bPp1/3qP3/7P/PP2Q3/1K3B2 w - -,a2a3
1k1r3r/ppqnn3/2p4p/P2pb1p1/8/1NPQB1P1/1P2BP1P/R4RK1 b - -,h8f8
r4rk1/1pqbbppp/p2p1n2/4p3/P2BPP2/2NB4/1PP3PP/R2Q1R1K w - -,d4e3
r1b2rk1/1p2qpp1/2nb4/p3p1N1/2Pp4/PP1P2N1/5PBP/R1Q1R1K1 b - -,g7g6
3q2k1/p2b1ppp/2pb4/3P4/2P1rP1N/P5PP/1B2Q2K/8 w - -,e2e4
1qr1r1k1/1b1n1pbp/6p1/1p1n4/2p1PN2/4BP2/1PQ1B1PP/3RR1K1 w - -,f4d5
r5k1/1b3pp1/Bq2p2p/4n3/4P3/1P2N2P/5PP1/R4QK1 b - -,a8a6
6R1/3bkr2/p5P1/3pp3/2p2P2/P7/1PP5/K4R2 b - -,f7f6
4r1k1/p5p1/2p4p/3b4/P1pR4/2P1N3/1r4PP/4R1K1 b - a3,b2a2
5b2/1b3pk1/4q1p1/2pN3p/1p3PP1/1P2P2P/3R2B1/3R2K1 w - -,g1f2
2q2n1k/5rrn/p2bp1p1/Pp1p2P1/3P1PN1/3BB3/1P4KQ/R4R2 b - -,f7c7
3r1Q1k/p1b3pp/2p5/1pPq4/3Bp1n1/1P2P3/P2N3P/2K2R2 b - -,d8f8
r3r1k1/5ppp/ppq2n2/2p1P1R1/Pb6/5N2/1P2QPPP/R1B3K1 w - -,c1e3
8/4k3/1p1pbr2/p3p1pp/2P1R3/1P3PP1/3R2KP/8 w - h6,f3f4
2r4k/p4p1p/6p1/2pp1b2/3b1B2/1P6/P5PP/3R1R1K b - -,c8e8
8/6p1/1k6/p7/Pp6/1P1B4/1KP5/3n4 w - -,b2c1
rnb2rk1/pp2ppbp/6p1/q1PP4/5B2/2n1PN2/PP3PPP/2RQKB1R w K -,d1d2
5rk1/2p1q2p/brPp4/Q5p1/2P1pp2/2P1P1P1/5P1P/R2R1BK1 b - -,f4e3
r7/p2q2kp/1p1r1pp1/2p1n3/P1P1P1bP/R2PQ1P1/5RBK/4N3 w - -,a4a5
8/2Q2kpp/4pb2/p4b2/P3q3/1BP5/1K1R4/8 b - -,f7g6
r4rk1/1pq2pp1/2p2np1/p1nPp3/PbB1P3/8/NP2QPPP/R1BR2K1 w - a6,f2f3
8/5pk1/8/R3P2p/5P2/5P1K/8/6r1 w - -,h3h2:a5a2
r1b1k2r/7p/3bp1p1/1p1p3B/2p5/2PnB3/P2NRPPP/R5K1 w kq -,e3d4
2r3k1/2r2pp1/b1qnp2p/1pNpN3/3Pn3/2PBP2P/1Q3PP1/2R1R1K1 b - -,c6b6
8/p3kp2/1p1r1npQ/2p1r3/3q4/2PBN2P/P3R3/7K b - -,d4d3
r4rk1/pbpnq1pp/1p1ppn2/5p2/1PPP4/P1Q2NP1/4PPBP/R1B2RK1 w - -,c1b2
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/2N3P1/PP1PPPBP/R1BQNRK1 w - -,a2a3
1Rb2rk1/6b1/3p1qpp/1NpPpn2/2P1B1P1/3Q1P2/3B3P/6K1 b - -,c8d7
2r4r/5pkp/p3bNp1/1p2P3/1P5R/P4Q2/3q1PPP/R5K1 w - -,h2h3
r2r2k1/4bpp1/2npqn1p/2p5/4P3/2N1BNP1/PP2RPKP/2RQ4 w - -,a2a3
r2qkbnr/1b3ppp/p2p4/n2Pp3/Pp2P3/5N2/1PB2PPP/RNBQ1RK1 w kq -,d1e1
7k/5pbp/2N1b1p1/4p3/8/1P4P1/r4PBP/1R4K1 b - -,e6f5
2rq1rk1/p2nbppp/b4n2/P3pN2/3p4/1PN3P1/2Q1PPBP/1R1RB1K1 w - -,b3b4
8/4k3/8/3b2pp/1B3p1n/5P2/4BK1P/8 b - -,e7f7
5r2/p6k/1bR3p1/4B2p/5PBP/6P1/3nP1K1/8 w - -,g4c8
r2q1rk1/3nbppp/p3p3/4P3/R7/2B2Q2/1P2BPPP/2R3K1 b - -,d7c5
5R2/8/6p1/6k1/6p1/8/r6P/6K1 b - -,g4g3
6rk/2qp3n/p3pr1p/2p4Q/4PP1P/P7/1bP1N3/1R2R2K w - -,b1b2
7Q/r3r2R/4k1p1/2q1p3/p3P3/PpP2P2/1P6/2KR1N2 w - -,h8g8
rn2k2r/pp3p1p/2pb1p2/3p1b1P/3P4/2N1PN2/PP3PP1/R3KB1R b KQkq -,h7h6
8/1p6/p2k1pp1/8/4KPP1/1P6/P7/8 w - -,e4d4
rnbq1rk1/ppp1bppp/8/3pP3/8/2nB1N2/PPP2PPP/R1BQ1RK1 w - -,b2c3
3r2k1/1p1r1ppn/1B1P1pq1/7R/8/7Q/Pb3PPP/3R2K1 b - -,d7d6
4r1k1/4nppn/2p1p2p/p3P3/2PP4/6P1/P2B1PBP/5RK1 w - -,f1b1
r5k1/p3ppbp/1p4p1/q2nP3/3R1P2/4BP2/P4Q1P/2R3K1 w - -,a2a4
5r1k/2r2pbp/1q2p1p1/R3P1P1/1n1p1PN1/1N1P3P/3B2Q1/6K1 w - -,g4f6
4k3/8/p7/8/p2Q4/2P2q2/1P6/1K6 b - -,f3f1
2r5/prbk1p1p/2p1p1p1/8/R2P4/1PRKB2P/1P3PP1/8 w - -,b3b4
r4rk1/1b1nbppp/pq1p1n2/8/4Pp2/2N2N2/BPP1Q1PP/R1B2R1K w - -,a1b1
r2qk2r/ppp2ppp/2nbpn2/8/3P2b1/2N1PN2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
R7/2r4p/8/2ppr3/Pk2p1p1/4P3/5PPP/3R2K1 w - -,a8b8
2b5/4k3/2n1p3/p1PpPB2/1r1P1Pp1/2N1K1P1/8/R7 b - -,c6d4
8/8/p1k3p1/4K1P1/1PP2B1P/8/8/3b4 b - -,d1g4
3r2k1/1pR3p1/8/3p1pR1/pP1q1P2/P7/5N2/7K w - -,f2d3
1k5r/pp3p1p/2pp1P2/3n2r1/3PQ1qP/P2B4/1P3B2/2KR3R b - -,d5f6
4r1k1/p7/3p1qnQ/2pP1p2/1pP5/1P1P3P/P2Nr2K/4R1R1 w - -,h2h1
r1r2b1k/5pp1/4p2p/p6P/q4B2/6Q1/5PP1/2R1R1K1 w - -,g3f3
8/4rpkp/6p1/5n2/8/5NP1/2R2PKP/8 w - -,c2a2
rnbq1rk1/pp2bppp/4p3/2pn4/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQ -,c3d5
r4rk1/ppp1qppp/2n5/4P3/6b1/2Q2N2/PP2BPPP/R4RK1 w - -,f1e1
5k2/p4p2/7p/Pbp1P2B/5P2/2K3P1/8/8 b - -,f8e7
8/8/8/2p3r1/kpp5/8/1PP5/2K4R w - -,c1b1
8/5pk1/8/1PN2b2/6p1/2P3p1/R5K1/5r2 b - -,f1b1
r4rk1/2p4p/p1pb2p1/1pn1pp2/4P3/2PP1P1P/PP1B1PK1/R3RN2 w - -,d2h6
r6r/ppp3pp/3bkn2/8/3nP3/2PPN1Pq/PP5P/RNBQK2R w KQ -,c3d4
2r2qr1/4np1k/5p1p/pp1ppPPQ/7P/P1P5/1PB2K2/R5R1 b - -,e5e4
8/1N3p2/1n3Pp1/3k4/P3p3/8/3K1P1P/8 b - -,b6a4
r2qk2r/pp1nbp2/3n4/2p2pp1/7p/5N1P/PP2NPP1/R1BQ1RK1 w kq -,c1g5
2k2r1r/1pp3pp/3pn3/1P6/R4P1n/2NN1R2/1P4PP/6K1 w - -,f3e3
8/4R3/2p1bp2/2p4P/2Pk1r2/1P3B2/r7/2R3K1 w - -,e7e6
5B2/1b3p2/4k1p1/2P4p/8/4KP2/7P/8 w - -,f8g7
4r1k1/p4p1p/1p4p1/3P4/2R5/1P1Q2Pq/P3PP1P/6K1 w - -,d5d6
6k1/4bp2/4p1p1/p7/1p1P4/4P1P1/PP2qPK1/2Q1N3 b - -,g8g7
4b1rr/2q2kpp/pb2p1pP/1p1pP3/5PQ1/1N1B4/PPP4R/1K5R b - -,f7e7
r4k2/p4p2/1p2b2q/2bpBp1P/5PP1/3B4/1Q4K1/4R3 b - -,f5g4
8/8/R7/Kp5p/1P5r/2k5/8/8 w - -,a6c6
r3k2r/1bqnbppp/p2pp3/1p3PP1/3NP3/P1N2Q2/1PP4P/2KR1B1R b kq -,e7g5
8/6Bp/1b1k4/ppp5/4K3/1P4P1/P6P/8 w - -,g3g4
r2n1q2/r2b1pbk/2pN1npp/1pP1p3/1P2P1P1/1B2BP2/4N2P/1RQR2K1 w - -,c1d2
r3r1k1/pppq1pbp/4p1p1/3P4/4P1P1/2N1Q2P/PP3P2/2KR3R w - -,f2f3
8/p4pk1/1p4p1/8/1P1PQ3/P6P/5qPK/8 w - -,e4e5
5n1k/pR2P2p/2pr1N2/8/1P3pP1/8/P1P4P/4K3 b - -,d6f6
r1b2rk1/ppqnbppp/4pn2/8/4N3/3B1N2/PPP1QPPP/R1B2RK1 w - -,e4f6
r2qr1k1/p2nbppp/1p6/2Pb4/5B2/5NP1/P1Q1PPBP/R3R1K1 b - -,a8c8
r1b1k2r/pp3p2/4p1pp/q2pP3/3P1Q2/2PB4/P2K1PPP/R6R b kq -,b7b6
3k4/1p1r3p/3p3R/3K4/P7/1P6/8/8 b - -,d8c8
2r2rk1/p2qppb1/6p1/1P1P3p/5P1P/1QnBB3/P4P2/2R1R1K1 w - -,d3f1
r7/3k1b2/8/2K5/2pB4/4R3/8/8 w - -,e3h3
8/8/7P/5pk1/1r2pR2/4P1K1/5P1P/8 w - f6,h6h7
r1r3k1/p2N2pp/1p1b1n2/1B1b4/P2P4/2P4P/1P3PP1/R3R1K1 b - -,f6h5
6k1/1p1R3p/1r6/8/2rBKp2/7P/6P1/8 w - -,e4d5
r2qkb1r/p4ppp/2pppn2/2p5/4PP2/2N2Q1P/PPPP2P1/R1B1K2R w KQkq -,e1g1
6k1/2p2p2/5P1p/1p6/1P3p2/2P2r2/5PKP/2R5 b - -,f3d3
r1bqk2r/1p3pb1/p2p2p1/2pPn2p/P3P3/2N1BPP1/1P1Q2P1/R3KB1R w KQkq h6,f1e2
r1b5/1p5k/p2b1q1p/3Q1pp1/3p4/P2P2P1/1P2RNBP/6K1 w - -,g3g4
r1bqk2r/pp4p1/2pb1n1p/3pP1N1/2P1P3/6P1/PPQ1P1BP/R1B2RK1 b kq -,d6c5
2r4k/3R1p2/1p4pp/p3p2P/PnB1P3/1P2P1P1/6K1/8 b - -,g6h5
rnbqk2r/pp2ppbp/3p1np1/8/2BNP3/2N5/PPP2PPP/R1BQ1RK1 b kq -,e8g8
1b6/kP6/2B1R2p/7K/5r1P/8/8/8 b - -,f4c4
8/2k5/2p1r2p/5R1N/B3p3/2P1P3/1r6/7K w - -,h5g3
8/1p3pkp/8/p1p5/P4P2/2P1n2P/1P6/5BK1 w - -,f1e2
r2qk2r/1b1nbppp/p2ppn2/1p4B1/3NP1P1/P1N2P2/1PPQ3P/2KR1B1R b kq g3,a8c8
r1bqkb1r/pppp1ppp/2n2n2/4P3/3p4/2P2N2/PP3PPP/RNBQKB1R b KQkq -,f6d5:f6e4:f6g4
1rr3k1/4qpbp/3pn1p1/6P1/ppP1P2P/P2p2RB/1P1N1P2/1KRQ4 w - -,d1a4
r2qrbk1/5p1p/p1Np2p1/1p1Pn1Pn/4P3/4B3/PP4BP/2RQ1RK1 b - -,d8d7
rn1q1rk1/1p1n2pp/p2b4/3ppp2/8/1P2PN1P/PBQPBPP1/R3K2R w KQ -,c2d3
2r2rk1/1p3ppp/p1nqpn2/3pN3/3P1P2/2PQ4/PP1N2PP/R3R1K1 b - f3,c6e7
2r2r1k/1p4bp/pq4p1/4p3/n2pP3/1N1B2P1/PPPQ3P/K2R1R2 b - -,b6d6
2k4r/3rbppp/p1p1p3/B3R3/1nP5/6P1/PP3P1P/R2N2K1 w - -,d1c3
2k3r1/2p1b3/p1p1b3/7p/2PPp3/1P2n1PP/P3KP2/R6R w - -,e2e3
1n3b2/2p5/p2kp2p/4p1p1/P1K1P1P1/2PNBP2/7P/8 b - -,f8g7
1rbq1rk1/p4pp1/1p3n1p/3p4/2PPpN2/1Q2P1P1/P4PBP/R4RK1 b - -,c8a6
8/1p1b1k2/p1pN2p1/2Pp1P2/1P4P1/8/P4K2/8 b - -,f7f6
r1r1q1k1/2pn1pp1/1p1pp2p/b7/P1PPn3/1Q3NP1/P1N1PPKP/2BR1R2 w - -,d1d3
r2qr1k1/1bb2ppp/p3p3/1p2P3/1PBNnP2/P7/1B4PP/R3QRK1 w - -,c4b3
8/5p1p/3p1k2/2p2bp1/2P5/2K1PP2/B5PP/8 b - -,h7h5
8/8/8/5p2/4k1p1/1Br3P1/2P2K2/8 w - -,b3a4
8/1p3kp1/p1qb1p1p/5Q2/4p1P1/2B1P2P/PP3PK1/8 w - -,h3h4
r1bqk2r/1p3ppp/p1n2n2/3pp3/1bP5/2N3P1/PP1BPP1P/RN1QKB1R w KQkq d6,c4d5
r5k1/6pp/1B2n3/p2Rn3/P7/2N3P1/1P5P/6K1 b - -,e5c4
7k/p4r1p/8/2p2p2/5P1P/6P1/P1R4K/8 w - -,c2c5
6k1/1R3p2/N6p/P2n2p1/8/6PP/r5K1/8 w - -,g2f3
1r5r/2q1n1k1/1p1p1pp1/p2Pb3/P1P3P1/1P5p/5QKP/1BBR1R2 w - -,g2h1
2R5/8/3k4/3p4/1r3KP1/4p3/8/8 w - -,f4e3
rn1qkbnr/pp2pppp/2p5/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq -,e2e3
6k1/1p4p1/2p2b1p/2Pp2n1/1P1P4/4KP2/6BP/B7 b - -,g8f7
r3rk2/1p1n1pp1/1pp1p2p/3p4/2PPb3/P3PNP1/1P2BPP1/R2R1K2 w - -,a1c1
8/5N1k/1p3Qpp/p7/4P3/6P1/1P2nPKP/3q4 b - -,d1d4
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/4P3/PP1P1PPP/RNBQKBNR w KQkq -,a2a3:b1c3
2r2r2/1p1bpq1k/3p2pp/pNnPbp2/7P/2N2QP1/PP2PPB1/2RR2K1 w - -,e2e3
1Q6/P6k/2p1q1p1/2B4n/1P2p3/7P/2P4K/8 b - -,e6c4
