8/2r2rk1/R3p1p1/3pP3/5P1P/R5K1/8/8 b - -,f7e7
r2qk2r/pp2bppp/1nn5/3N4/8/1Q2BP2/PP3P1P/2KR1B1R b kq -,b6d5
2kb4/5K2/8/6p1/5BP1/8/2P5/8 w - -,f4d2
r5k1/pp1b1ppp/2p2q2/2Ppr3/3P4/2NQR1P1/PP3P1P/6K1 w - -,e3e5
1rb2rk1/5p2/p2p2p1/2pBP3/2P2P1p/2N3Pq/RP6/4Q1K1 b - -,h4g3
3rr1k1/pp1qppbp/3pbnp1/8/P1PP4/1PN3P1/1B3PBP/R2QR1K1 b - -,b7b6
2kr4/2qp2b1/p3p3/npp1Prp1/6Np/1PP2P2/PKPRQ1PB/3R4 w - -,d2d6
3r2k1/6b1/3N2pp/3Pp3/8/1n2R3/1PN2PP1/6K1 b - -,d8d6
1rbq1rk1/p3ppbp/1pn1n1p1/2p5/8/1QNP1NP1/PP1BPPBP/2R2RK1 w - -,f1e1
3nn3/2p2k2/2Pp4/3Pp1pp/4Pp2/q4P1P/4QNP1/4BK2 b - -,a3a4
5rk1/1p1r2pp/p1n2bn1/2pp4/P5P1/BP1PNpP1/2P1N3/4RRK1 w - -,f1f3
8/1kp5/p7/1p6/6R1/r5P1/2r2R2/6K1 b - -,a3a2
8/6k1/3bQpp1/1p1B4/2p3P1/2P4P/1P3q2/3K4 w - -,d5c4
4b3/4b3/p1p1pk2/PpPp2p1/1P1PpPB1/4K1P1/8/5N2 w - -,f1h2
r1b2rk1/pp1nqpp1/4pn1p/8/3N3B/2P1P3/P1Q1BPPP/R4RK1 b - -,d7e5
8/1p3p2/6p1/3k4/P2p1P2/3K2Pp/5B1b/8 b - -,b7b6
r1b1k2r/1p2ppbp/pq1p1np1/8/3pP3/N1P2Q1P/PP3PP1/R1B1RBK1 w kq -,a3c4
3k3r/5ppp/2R1p3/3pP2P/B2P4/b7/5PP1/6K1 w - -,c6a6
8/8/5k2/2p1pp2/2Pr4/4K3/8/6R1 w - -,g1c1
2krrb2/ppp2ppp/8/4P3/8/P2P2q1/1P2Q1N1/2R2RK1 b - -,e8e5
7k/1R6/3p2np/2nP1K2/5p2/1P6/8/8 w - -,b7f7
r1bq1rk1/pppnbppp/2n1p3/3pP3/3P4/5N2/PPPNBPPP/R1BQ1RK1 w - -,c2c3
8/8/4kp1R/1p1p4/2r2p2/P7/1K5P/8 w - -,h6h3
2k1r3/p1nN2p1/1pp1pp1p/1q5P/3PQ1P1/7R/1PP2P2/2KR4 b - -,c8d7
4r1k1/2pnrqp1/p7/1bPpR2p/1P1P2NP/6P1/3B1P2/1Q2R1K1 w - -,e5e7
r7/pp1n4/2p2k1r/3p2R1/3P1N2/4P3/PP3P2/2K3R1 b - -,a8h8
5rk1/1pp1nrb1/p1Q1p1np/P3p1p1/1P4P1/2PP1P1P/3B2N1/2NR1RK1 b - -,e7c6
r1b1k2r/3nbppp/p1qpp3/1p4PP/4P3/2N1B3/PPP2P2/R2QKB1R w KQkq -,d1d4
8/8/2p5/1pPp1n1k/1P1Pp3/4Pp1P/5B1K/8 b - -,h5g5
r2q1rk1/pppnppb1/5npp/3p1b2/PP1P3B/2P1PN2/3N1PPP/R2QKB1R b KQ a3,c7c6
r2q1rk1/ppp3bp/n2p2p1/3Ppb2/1PP1Nn2/P5PP/3B1P2/RQ2KBNR b KQ -,c7c6
r1b2rk1/p2nppbp/2pp1Pp1/q7/3P1B2/2p1PN1P/PPPQBP2/R3K2R w KQ -,d2c3
k5r1/p1q2p2/8/4p2p/nQ6/4P1B1/5PPP/R5K1 b - -,a4b6
1r4k1/R5b1/5npp/1pN2p2/1P1pp3/3P2P1/3BPPKP/8 b - -,b8e8
r7/8/4R3/6P1/6KP/3k4/4p3/8 b - h3,a8a6
r3rbk1/pbq2ppp/2p2n2/1p1P4/8/1PP1NBP1/PB3P1P/R3RQK1 b - -,c6d5
r1bqnr1k/4n1bp/2p1ppp1/ppN1P3/P2P1B2/5NP1/1PQ2PBP/R2R2K1 w - -,e5f6
4r1k1/p3qpb1/2p3pp/2Npr3/1P2P3/2PQ4/P2R2PP/R6K w - -,d3a6
r3k1nr/ppp2ppp/2p1b3/8/3bP2q/3B1Q2/PPPN1PPP/R1B2RK1 w kq -,f3g3
8/4r2k/8/2Pb1p2/p2K4/P3B2P/8/6R1 b - -,d5c6
1k1rr3/p1qn1p1p/1pp3p1/2B1pPPP/4Pn2/2N2B2/PPP2Q2/2KR3R b - -,d7c5
5k2/5pp1/1r5p/8/1p1R4/1P6/3K1PPP/8 w - -,d2d3
r1bq1rk1/1p2n1p1/p1np3p/5p2/4PP1P/1NBB4/PPP3Q1/2KR3R b - -,g7g6
r4rk1/pb1qbppp/1p2p3/8/2P5/1P1B4/PB2QPPP/R4RK1 b - -,f8d8
2r1rbk1/3q1p2/6p1/pN1pPpPp/1n1P1P1P/1N6/3Q1B2/1R3RK1 b - -,d7b5
5brk/p4p1p/2n1pP2/2pr4/2R2q1P/6N1/5P1K/1B2R3 w - -,c4f4
4r1k1/1pn3b1/pQ1p4/3P2P1/5PK1/3B1R2/7P/3q4 b - -,c7d5
2kr1bnr/Qpp2ppp/4q3/8/3P4/3BBN2/PP2KPPP/n6R b - -,f8d6
r3r2k/1bq2p1p/p2p2pQ/1pn1pP2/P1p5/2P3NP/1PB2PP1/3RR1K1 b - -,e8g8
r1bq1rk1/pp2ppbp/2np2p1/7n/3PP3/1P1B1N2/P2N1PPP/R1BQ1RK1 w - -,c1b2
r2qk1nr/ppp2ppp/2np4/2b5/2BpP3/1QP2b2/PP3PPP/RNB2RK1 w kq -,c4f7
1r5r/p3b1k1/2q1Pp2/3p2p1/3P4/P1B1Q1P1/1P4R1/5RK1 w - -,g2f2
5k2/3r1p2/R7/1pR5/1P1P1n2/2K5/8/8 b - -,f4e2
1nQqk2r/r4ppp/p5b1/1p1BP3/3P4/5N2/P4PPP/2R2RK1 w k -,c8d8
4rr2/pp1q3k/3p3p/P2P1pp1/1RP2n2/3P1PN1/5BPP/1Q4K1 b - -,f8f7
1k5r/1ppr2p1/5qp1/p1pPQ1p1/P1P1P3/1P3P1P/1K6/3R3R w - -,e5f6
r1r3k1/pbq2ppp/8/2bp2B1/4n3/3BPN2/P3QPPP/2R2RK1 w - -,g5f4
2r3k1/p4p1p/3bp1pP/1p1q4/r2P4/P1P2R2/3BQPP1/R5K1 b - -,a7a6
2kr1b1r/ppp1pppp/2B2n2/q7/3P2b1/2N2N2/PPP2PPP/R1BQK2R b KQ -,b7c6
r2qr1kb/2p2p1p/p2p2p1/1p1P2PP/n4P2/2P5/PPQ5/1KBR1B1R b - -,d8e7
2r1k2r/1bq2pbp/pp1ppnp1/2n3B1/2P1P3/2N5/PPQNBPPP/R3K2R b KQk -,e8g8
r4rk1/pp2ppbp/1qnpbnp1/8/2P1P3/2N2P2/PPN1Q1PP/1RB1KB1R w K -,c1e3
r2qkb1r/1p2pppp/p1n2n2/3p1b2/3P1B2/2NBP3/PP3PPP/2RQK1NR b Kkq -,f5d3
r1r1n1k1/1bB1qpbp/6p1/p3p3/PpB1P3/5N2/1P2QPPP/2R1R1K1 w - -,c7b6
6k1/pb2r1p1/1p2np1p/3p4/4PP1P/1P4PB/PB1R3K/8 w - -,b2a3
rn2kbnr/pp3ppp/1qp1p3/3pPb2/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1e2
r3k2r/1bq1bpp1/p1pp1n1p/4pPB1/4P3/2NB1Q2/PPP3PP/R4R1K w kq -,g5h4
2r5/4p3/p1b2k2/1p3p2/3R1Ppp/P7/1PP2KPP/3N4 w - -,d1e3
8/8/5kp1/7p/1r5P/4RPK1/6P1/8 b - -,b4b2
r2nk2r/1bqpbnpp/4p3/p1p1Pp2/P1P5/1NQ1BNPP/1P2BP2/R3R1K1 w kq -,f3d2
1q6/p2Q2k1/1b2p1p1/1p2p2p/1P2r2P/PNP3P1/2R3K1/8 b - -,g7h6
4q2r/4k1b1/pn1p1p2/2p1pP1p/2P1P2B/2N5/PP2Q1P1/3R2K1 w - -,b2b3
r2rq1k1/pb2bppp/1pn1pn2/8/2PP4/3B1N2/PB1NQPPP/2RR2K1 w - -,d3b1
5k2/p5p1/4pPp1/2r4P/5R2/1P6/5PPK/8 w - -,h5g6
r2q1rk1/pbpnppbp/1p1p1np1/8/3P1B2/2P1PN1P/PP1NBPP1/R2Q1RK1 b - -,f8e8:d8e8
4b3/2k3p1/4nr2/1p1pp2P/1P5R/2P1B3/3KB3/8 b - -,c7d6
r3kb1r/ppqnnp2/2p1p2p/3pPbp1/3P1P2/1N6/PPP1B1PP/R1BQNRK1 b kq f3,c6c5
3b4/5k2/6pp/1p6/2nB2pP/3KPP2/6N1/8 w - -,f3g4
r6k/ppp3b1/3p3p/5rBq/1PP1N3/3P1p2/P4PRP/1R1Q2K1 w - -,g2g3
8/pp2p2p/3pkp1N/4n1PP/1PbKP3/6R1/8/8 b - -,f6g5
6k1/pp2bppp/4pn2/2rp4/8/P2P1BP1/NP2PP1P/R5K1 w - -,a1c1
5rk1/r2nbpp1/6bp/2ppB3/PppP2P1/2P2P2/1P1N3P/R2BR1K1 w - -,a4a5
4r1k1/Rrqb1pb1/5np1/1ppPp1Np/2p1P3/2P2Q1P/1PB2PP1/R4NK1 w - -,a7b7
r4bk1/1p3nr1/pB1p4/P2Pp3/N3Pp1p/2R2PnP/1P3N2/2R1K3 b - -,f7g5
1r6/4kppp/8/1B2n3/P7/5P2/6PP/2R3K1 w - -,f3f4
8/8/5pkp/P4Rp1/6PP/5PK1/r7/8 w - -,h4h5
4k3/4n3/2p1p1p1/1pP1N3/1P2PKP1/7P/8/8 w - -,f4g5
5rk1/pq3p1p/1p2p1p1/2bnN3/8/1P2P3/P1Q2PPP/2RR2K1 w - -,c2e2
rn1qkb1r/3p1ppp/b4n2/2pN4/8/5N2/PP2PPPP/R1BQKB1R b KQkq -,b8c6
8/8/2p1Nn2/1p2k3/p5p1/P4P1B/1PK5/8 w - -,f3g4
2b2rk1/4b2p/3p1pp1/1pnPpP2/n1p1P1N1/2P3NP/qPBQ2P1/2B2RK1 b - -,g6g5
4Qrk1/q6p/2p3p1/p3p3/1P1bQ3/8/6PP/R4RK1 w - -,g1h1
2r5/5pkp/p2p1p2/1p1Nr3/1P3K2/P2BN2P/2P5/8 b - -,c8c6
r4rk1/pp1q1pbp/2n5/2pp2P1/Q4P2/P2PP3/1P3PB1/R1B1K2R w KQ -,g2h3
8/8/6p1/5k1p/n4N1P/P4K2/6P1/8 w - -,f4e2
2r2rk1/1pq2pp1/p5b1/P1pP2p1/2P1p3/8/1P1QBPPP/2RR2K1 b - -,c7e5
1q3bk1/p1n2p1p/1p2n2p/5P2/8/4B1P1/P2Q2BP/2R3K1 b - -,e6c5
r1b2rk1/pp2qpp1/1b1p1n1p/2p1p3/2B1P3/2PPBN1P/PP2QPP1/R4RK1 w - -,f1e1
5rk1/4bppp/p1r1p1b1/qp1p4/3P1B2/P1P1R2P/1P2QPP1/R4BK1 w - -,a1e1
r2r2k1/pp1q1pbp/2pnb1p1/2P1p3/6n1/1PN1P1P1/P1Q1NPBP/2RR2K1 w - -,d1d6
2r3k1/1p1rbppp/p1q1pnb1/3P4/2P5/1Q2R1P1/PB1N1P1P/R4BK1 b - -,c6c5
8/6P1/8/8/p1b3kp/5p2/1p6/6K1 w - -,g1h2
1r1q1r2/Qp3p1k/2ppb1pp/8/2P5/1P4P1/P3PPBP/R2R2K1 b - -,d8c7
rnbqkb1r/pp2ppp1/5n1p/3pN3/8/2N5/PPPP1PPP/R1BQKB1R w KQkq -,f1b5
2q1r1k1/1b3pp1/p6p/P1B1p3/1P3n2/Q4P2/3N2PP/4R1K1 b - -,e8d8
7r/2pknpp1/1p2p3/pR2P2p/P1pPP3/B1P5/2P2KPP/8 w - -,d4d5
r2q1rk1/pp3ppp/2p1pb2/5b2/2PP4/6P1/PP3PBP/R1BQ1RK1 w - -,d4d5
2br2k1/p4ppp/1q1r4/2N5/1P6/4PPP1/PQ5P/2RR2K1 w - -,d1d6
rnbq1rk1/p1ppppbp/1p3np1/8/3P4/1P2PN2/PBP2PPP/RN1QKB1R w KQ -,f1d3
1qrr2k1/1b1n1pp1/pp1ppn1p/8/1PPP4/P1N3B1/3R1PPP/3QRBK1 b - -,d7f8
5rk1/2p1q2p/1b4p1/3Pp3/R5P1/1P5P/P5B1/4Q2K b - -,b6f2
4r1k1/1bqn1rbp/pp1p1np1/3Pp3/PPp5/N1P1B1PP/QR2NPB1/3R2K1 b - -,e8c8
8/1p2k3/p3p2p/2n4N/1P6/2np1R2/2r2PPK/4R3 b - -,d3d2
3r2k1/p4ppp/1pb1p3/8/8/2P1B1P1/P3PP1P/R5K1 w - -,c3c4
1r3rk1/2q2ppp/2b2b2/2nnpN2/1p6/2P4P/1PBN1PP1/R1BQR1K1 w - -,d1g4
r1b2rk1/pp2qppp/2pb1n2/4n3/2BBP3/2N2N2/PPQ2PPP/R4RK1 w - -,c4e2
5rk1/pb5p/1p2p1p1/3qP3/3p1P2/N5P1/PP1Q1K1P/6R1 b - -,d5e5
r1b1k2r/pp2nppp/2n1p3/2ppP2P/q2P4/P1P2N2/2PB1PP1/R2QKB1R b KQkq -,c5d4:b7b6:h7h6
8/3b4/8/P1k5/5Kp1/6N1/7p/8 b - -,c5b5
5rk1/pp2q2p/2prb3/2Rn1pp1/3Pp3/1PN1P1P1/P2Q1PBP/5RK1 b - -,d5f6
rn3rk1/2q1ppb1/3p3p/p1pP1Pp1/4P2B/8/PPQ1N1PP/R4RK1 w - -,h4e1
6k1/4bppp/p2Np3/2P5/8/3R3P/P4PP1/1r4K1 w - -,g1h2
7k/3b2p1/1P5p/5r2/1P5P/5pP1/5P1K/R7 b - -,f5b5
8/8/7n/6nP/7K/8/5k2/8 b - -,g5e4
3q4/b2n1p1k/p7/1pp1p1pp/4P3/1PQ1PPPB/PB2K2P/8 b - -,g5g4
2r3k1/5p2/pr1pn1p1/4b3/1B6/P1P2R2/1P1N1R2/1K6 b - -,e6g5
7k/5qp1/p3rp1p/3Q4/P2B4/1r3PRP/6PK/8 b - -,b3b8
5rk1/p4r1p/Q2p2p1/2pPp3/2P1B3/4qP1P/PR2n1P1/1R5K w - -,b2e2
r5k1/bp1b1ppp/p1n1pn2/8/2N5/1N2P3/PP1B1PPP/R2B2K1 b - -,f6e4
r1bq1rk1/1p1nppbp/3p2pn/pN6/2P5/1P2P1P1/PB1QNPBP/R4RK1 b - -,g7b2
3r2k1/p2P1ppp/1p3n2/4N3/q7/3Q3P/5PP1/4R1K1 w - -,d3d6
2n3r1/1k2r3/1p6/pR2B3/P2N2p1/2P3K1/1P3PP1/8 w - -,e5f4
r4rk1/p2n1ppp/1p1Bpn2/bNp5/3PP1q1/P4N2/1P2QPPP/R4RK1 b - -,g4e4
r1br2k1/1p2q1bp/p1np1np1/2p2p2/2PPp2P/NP2P1P1/PB1QNP2/3RKB1R b K -,b7b5
5r2/pk4p1/2p3R1/2P1R3/1P5p/P2K3P/5r2/8 b - -,f8f7
2q3k1/3n1pp1/1pr4p/p7/P2Q4/2n1PP2/3N1BPP/R6K w - -,h2h4
rnbqkb1r/pp3pp1/3p1n2/4pNPp/4P3/2N5/PPP2P1P/R1BQKB1R b KQkq -,f6e4
r2q1rk1/5ppp/p7/4p1b1/1pb5/1PnB1P2/P1P2BPP/R3QRK1 w - -,b3c4
2kr3b/pR5p/2p5/PnN3pP/R2P4/4r3/1P2N1P1/6K1 w - -,e2c3
4b1r1/2p4R/1p1p1k2/p2PpP2/P1P1B3/1P4PK/8/8 w - -,h3h4
2rq1rk1/1b2bppp/pn2pn2/1p4B1/3P1N2/P1NQ4/1P3PPP/1B1R1RK1 b - -,g7g6
rnbqkb1r/pp2p2p/2p2np1/3p1pB1/3PP3/2NQ1P2/PPP3PP/R3KBNR b KQkq e3,f5e4
3r1k1r/p1p2p2/b1pp1N2/4n2p/2P2PpP/1P2R3/P5P1/2K2BR1 b - f3,e5g6
3rk2r/1pq1ppbp/p1p2np1/2P5/3Pb3/4BN1P/PPQ1BPP1/R4RK1 w k -,c2b3
3r1rk1/1pn4p/2pp4/2n2PPB/p1PNR2K/P1B5/1P6/4R3 b - -,c5e4
r1b1r1k1/pp2ppbp/n2p1np1/q1pP2B1/2P1P3/2NB4/PP1QNPPP/R3K2R w KQ -,a1c1
rn2k2r/pp3ppp/4p3/3pNb2/1b1P2P1/4B3/PPP2P1P/2KR1B1R b kq g3,f5e4
r2qk1nr/pp1nbppp/3pp3/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,g8f6
r3r1k1/p1qn1pbp/1pp3p1/4p3/P2P4/B1P1PN1P/2Q2PP1/1R1R2K1 w - -,f3d2
8/5pk1/4n1p1/4q2p/N2b3P/1P1B1QP1/2P2P2/6K1 w - -,d3e4
r1b2rk1/1p1nq1pp/p1p1pn2/3p1p2/1PPP4/NQ3NP1/P3PPBP/R4RK1 w - -,a3c2
1rq2rk1/4ppbp/p2p1np1/n1pP4/Q1P1P3/2N3Pb/P2N1PBP/B3RRK1 b - -,h3g2
r1b2rk1/pp3ppp/2p3n1/4P1B1/1b1pP3/1BPP1N2/PP2NqPP/R2Q3K b - -,d4c3
8/p3kp2/1pp1b1p1/4q2p/2P5/1P4P1/P2QPP1P/3R2K1 b - -,f7f5
r2r2k1/pbn4p/1pn1pbp1/2p3N1/2P2P2/2N1B3/PP2B1PP/3R1RK1 b - -,h7h6
r1b2rk1/pp4b1/2pp1np1/4p1Bn/4P3/2NP1NP1/PPP2K2/R4B1R w - -,f2g2
r4rk1/pp1bppbp/2np1np1/q7/4P3/2N2N2/PPP2PPP/R1BQRBK1 w - -,c1d2
rn1qr1k1/1p4bp/2pBb1p1/p2n1p2/8/2N2NP1/PP2PPBP/1R1Q1RK1 w - -,d6e5
r3qrk1/2n1b1pp/bp2p3/p1ppP3/P4P1P/2P1B1P1/1P4B1/RNRQ2K1 w - -,g1h2
r2r2k1/p1q1bp1p/4p1p1/1p2P2P/4QBP1/2P5/PP6/2KR1R2 b - -,d8d1
r2qr1k1/ppp2pbp/1n3np1/3P4/3B4/2N3P1/PP2BP1P/R2Q1RK1 w - -,e2f3
rnbqk2r/1pp1bppp/p4n2/3p4/3P1B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8g8
r3nrk1/5qpp/5p2/p1pPpP2/PpPb2PP/1P3B2/R3Q3/2B2R1K b - -,e8d6
r4rk1/ppq3p1/2n1p3/3p4/2PPp2Q/1P5P/PB3P2/3R1RK1 b - -,f8f4
2r1r1k1/p3Bpp1/2b4p/8/8/P2PR2P/5PP1/R5K1 b - -,c6d5
8/2Rb4/3B4/4P3/p2k4/K6r/8/8 w - -,a3a2
r1b3k1/pp2qpbp/3p1np1/2pPN3/2P5/2NBP2P/PP2Q1P1/R4RK1 b - -,e7e5
br3rk1/2qn2pp/p3pp2/2bpP3/1n1N1PP1/2N1BB2/1PP3QP/R4RK1 w - -,e5f6
r3k2r/pp2n2p/2pb1qp1/3ppb2/8/2NP2Q1/PPP1NPPP/R1B2RK1 w kq -,f2f4
r3k3/7p/4n3/2p2p1P/1p2P2p/3N2bP/1P1BR3/1K6 b - -,f5f4
8/1p4Q1/2pK3k/2P5/8/p7/P7/8 b - -,h6g7
q4rk1/2p2pp1/3p1n1p/1bbP4/1p6/1B5P/1PP1NPP1/2BQ1RK1 w - -,f1e1
1r6/5kb1/3p1p1p/p1p2p2/2P5/1P4R1/6PP/5RK1 w - -,f1f5
6k1/5pp1/2p4p/6r1/1P6/2P2R2/3r1BPK/8 b - -,d2c2
8/5pk1/p2Np2p/3n1p1P/P7/1P3P2/2r3P1/1R4K1 w - -,b3b4
r1bq1rk1/pp3nbp/2n1p1p1/1BPpP3/5B2/2N2N1P/PPP3P1/R2Q1RK1 b - -,d8e7
8/7p/2k4P/1p3KP1/1p6/1P2R3/8/2r5 b - -,c6d6
rnbq1rk1/pp1pp1bp/2p2np1/5p2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 b - c3,f6e4:d7d6
b2qr1k1/5p1p/3b2p1/1P2N3/1n4Q1/1N1p3P/1P3PP1/2B1R1K1 b - -,a8d5
rn6/3pk1pp/4p2b/1Bp5/PP6/2BR4/6PP/7K b - b3,b8c6
r3kb1r/1bpnpppp/p2q1n2/1p6/3P4/2NB1N2/PPP1QPPP/R1B1K2R w KQkq -,e1g1
5rk1/R4ppp/8/1p6/8/2PQ4/1P4qr/1K1R4 w - -,a7a2
r3kb1r/pp1n1ppp/1q2bn2/2pp4/3P1BP1/2NBPP2/PP1QN2P/R3K2R b KQkq -,h7h6
2b3k1/q4pp1/2p1rn1p/4pN2/1P2P1P1/5P2/3Q2KP/B2R4 b - -,c8d7
r2q1rk1/1pnbppbp/3p2p1/p1p5/P1PnP3/1PNPB1P1/3QNPBP/1R3RK1 b - a3,d7c6
3b1rk1/2r2ppp/p1Np4/1q1P2P1/1pnRQB1P/8/PPP5/1K2R3 b - -,c4e5
r6r/p1k1nppp/1pp1p3/2n5/2P2P2/2N3P1/PP3PBP/2KR3R b - -,a8d8
1rnbq1rk/3b1pp1/p3p1Np/1p1pP3/1B1P4/1P1BP1Q1/P1R3PP/2R3K1 b - -,h8h7
4r3/8/p7/1p3k2/4p1p1/2R1B1K1/Pn3PP1/8 w - -,c3c5
5k2/p3n1bp/2qp4/2p1n3/4P3/1NP1B2P/PN1Q4/6K1 w - -,d2g2
r2qnrk1/pb2bppp/1p6/2ppP3/8/BPN1P3/P3BPPP/R2Q1RK1 w - -,e2f3
r1b1k2r/1pq1nppp/p3p3/3pP3/1b3PP1/3Q4/PPP1N2P/2KR1BBR b kq -,h7h5
r1bqrnk1/pp2bpp1/2p2n1p/3p4/3P1B2/2NBP3/PPQ1NPPP/1R3RK1 b - -,a7a5
r4rk1/ppqb2p1/2nbpn1p/3p4/3P4/3B1N2/PP1BNPPP/2RQ1RK1 w - -,d2c3
5bk1/r2p1p1p/2rpn1p1/2p5/P1N1P1P1/1P2BP2/2R1K2P/3R4 b - -,a7a6
r2q1R1k/4n1pp/p1n5/1p2p3/1b1pP2B/NQ6/PPP1N1PP/2K4R b - -,d8f8
r1bq1bk1/pp4r1/3p4/1N1Pp2n/4P1P1/1Q3B2/PPR3K1/4BR1N b - -,h5f4
1r6/ppn1p2p/4k1p1/2P1Pp2/NR6/P3P3/1P2K1PP/8 w - -,a4c3
8/2nbnpk1/6pp/1p1p4/1P1P2P1/2NB1P2/5K1P/5N2 b - -,c7a6
r1b1rbk1/pp3p2/1qpp2p1/4n2n/2PNP3/1P4P1/P1Q1NPB1/2BR1RK1 b - -,a7a5
5rk1/5qbp/6p1/1N2n3/2pN4/1P5P/2Q2BP1/3R3K b - -,f7f2
r4rk1/pb1pppbp/1p2n1p1/4q3/2P1P3/P1NBB3/1P2QPPP/2R2RK1 w - -,f2f4
3b1r1k/p2qrp1p/2pNnRpn/1p2P3/2BP2P1/7P/PP2Q2B/5R1K w - b6,c4b3
8/1r3p1R/4k3/6p1/6P1/5P2/5K1P/8 w - -,f2g3
1r3r1k/p1qb1pb1/4pNp1/2ppP2p/5B2/1P1P2Q1/P1P3PP/R4RK1 b - -,c7c6
r4rk1/1ppq1ppp/p2pbn2/2n1p3/2P1P2N/2P1BPP1/PP2Q1BP/R3K2R w KQ -,e1g1
4kb1r/5ppp/1qn1p3/1B1p1b2/7r/P1N1P3/1P2QPPP/R1B1K2R w KQk -,g2g3
r4rk1/pp1qppbp/3p1np1/4n3/2PNP3/1PN1BP2/P5PP/R2Q1RK1 b - -,a8c8
r2nk2r/ppqBbppp/3p1n2/2pPp3/4P3/2P2N1P/PP3PP1/RNBQR1K1 b kq -,f6d7
8/pk1r1p2/1p1P1Qp1/5p1p/2p1q3/P7/1P1R1P2/1K6 w - -,b1c1
r5k1/1b1n1pp1/1qp1p2p/p2r4/3P4/2R2N1P/PP2QPP1/1BR3K1 b - -,d5b5
r2q1rk1/1b1nbppp/pp1ppn2/8/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,a1c1
8/1p4pp/p1b2k2/P1N1pp2/2P5/3r1P2/1P4PP/4R1K1 b - -,d3d2
5k2/5p2/p1rR2p1/2n1p3/p3q1Pb/2B5/1PP1B3/1K1Q4 b - -,h4e7
8/1pp3pk/1p1p3p/nPnP1q2/2P2B2/4R1KP/P3Q3/8 b - -,f5g6
2kr3r/1p3p1p/p3p1p1/P1qb4/5P2/R2B4/1PP1Q1PP/5R1K b - -,c8b8
