4B3/8/4pk2/R4pp1/Pn1K4/6P1/1r6/8 w - -,a5b5
rq3rk1/1b1nppbp/1n1p2p1/1NpP4/4P3/1N4P1/PP3P1P/1RBQRBK1 w - -,a2a3
r2q1rk1/1p2b1pp/pn1p4/1b1n1p2/3P4/5NB1/PP1N1PPP/RB1QR1K1 w - f6,a2a4
2r3k1/pp3pp1/2n1N3/3B3p/3p4/3b2P1/PP1b1P1P/4R1K1 w - -,e1d1
r2q1rk1/1b1nbppp/2n1p3/ppppP3/8/P2P1NNP/BPP2PP1/R1BQR1K1 w - -,c2c3
3r4/1r1k2p1/np1p1p2/2pNpn1p/P1P4P/1P2B1P1/1R2PK2/3R4 b - -,f5e7
8/5k2/3p4/1p1RpnP1/8/2r5/P7/1K5R w - e6,d5b5
5k2/3K1p2/5p2/1p5P/6N1/1P1B4/8/4b3 b - -,b5b4
1k1r1b1r/ppp3pp/5n2/3Npp2/1P5q/2PP1B1P/P4PP1/1R1Q1RK1 w - -,d5f6
3r1rk1/ppqnppbp/1np3p1/4Pb2/2PB4/1P3NPP/P2N1PBK/Q3RR2 b - -,f5e6
1r1qr1k1/pbp2pbp/3p2p1/2p1n3/2P1P3/1P4PP/PBQ1NPB1/R4RK1 w - -,a1d1
8/1b2kpp1/p6p/8/4PP2/1PN5/P1n1K1PP/8 b - -,e7d6
r5qk/p3pr2/n4ppb/2pP4/2P5/P1NQ2BP/6P1/1R3RK1 b - -,f6f5
3rr1k1/pb1nqpbp/1pp2np1/3p4/1P1P4/P1N1PNP1/1B3PBP/R2QR1K1 w - -,f3d2
2b2r2/4b1k1/p3p1B1/1p1p4/5p2/P1P2P2/1P2N3/3R3K w - -,g6c2
r1bqk2r/1pp2ppp/p4b2/n2p4/P1p1P3/2N2N2/1P3PPP/R2QKB1R w KQkq -,e4e5
r1bq1rk1/3pbppp/p3p1n1/1p6/4P3/1PN1BN2/1P1Q1PPP/2RR2K1 b - -,d7d6
r3k2r/1p2n1pp/p2p4/3Ppp2/2N5/4P3/PP1K1PPP/R6R b kq -,e8c8
rnbqkbnr/1pp2ppp/p3p3/8/2B5/4PN2/PP1P1PPP/RNBQK2R w KQkq -,e1g1:d2d4
8/1Q3p1k/p3b1p1/PPp4p/2P5/6PP/5PBK/3q4 b - -,d1d4
rnbqk1nr/ppp2ppp/3b4/3p4/3P4/3B4/PPP1NPPP/RNBQK2R b KQkq -,c7c6:d8f6:c8g4:g8e7:b8c6
2rqk2r/1b1nbppp/pp2p3/4P3/2P1N3/3B4/PBQ2PPP/3R1RK1 b k -,b7e4
8/6p1/8/8/1pPp4/3P1k2/3K1P1r/5R2 w - -,c4c5
2rqrbk1/p4p1p/1p4p1/2p5/P3p3/1P2P1P1/1Q1P1PNP/2RR2K1 b - -,c8c7
R1r5/5pkp/4bb2/3p3P/3P4/8/R1P3P1/6K1 w - -,a8c8
3r1rk1/p1q1bppp/3p1n2/4p1B1/1PPp4/P5P1/2Q1PPbP/R2RN1K1 w - -,e1g2
3B4/7p/1p2k1p1/2b1Np2/3n1P2/2R3PK/7P/1r6 w - -,c3e3
1kr3r1/pp2b3/2np3p/4p3/8/2P1Nq2/PP1R1PQ1/R3B1K1 b - -,g8g2
r1b2rk1/1p2bppp/1qnp1n2/p3p3/4PP2/1NN5/PPP1B1PP/R1BQ1R1K w - a6,c3d5
r1bqk1nr/pp1p1pbp/2n1p1p1/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e4e5:e1g1:d2d3:f4f5
r4r1k/pppq3p/3p1n2/3Pp3/2P5/2N1P3/PP2QR2/2K4R b - -,f8f7
8/4k1P1/6K1/8/8/8/6r1/5R2 w - -,g6h7
2r5/2R5/1p2p2p/1k2P2P/q1p1b3/p1P5/P7/K5Q1 b - -,e4b7
3r3k/1ppB1Rp1/p7/3P2qp/P1P1r3/2Q4P/1B4P1/6K1 b - -,d8g8
8/8/r3kp2/p1Rbp3/P3p1p1/1PN5/3K1P2/8 w - -,c5d5
3kR3/6p1/p2r4/1pqB1Q1p/5P2/2P5/P5PP/5K2 b - -,d8e8
8/5p2/p2r2p1/1pk4p/5P1P/1RK3P1/P7/8 b - -,a6a5
8/6p1/p2k4/1pp2K2/P1Pb3P/3N4/8/8 w - -,a4b5
1r4k1/4Rp1p/3p2p1/1PqP1b2/5QP1/7P/5P2/5BK1 b - -,g8f8
5rk1/1p3qpp/p2Q4/3p1r2/4n3/3R2BP/PPP2PK1/5R2 w - -,d6b6
r1bqkbnr/pp1p1p1p/4p1p1/2p5/2BnP3/2N5/PPPPNPPP/R1BQK2R w KQkq -,e1g1:d2d3
r3rk2/pp3p2/5P2/2p5/1n1p4/6QP/qPB2P2/2KRR3 b - -,e8e6
5rk1/rp3pp1/1p2pn2/3p3b/1b1P1B1P/P3PP2/1P2NK2/R4B1R b - -,b4e7
1r1q1rk1/1n4pp/BN1p4/P2P1b2/1P1bp1Q1/R3B3/5PpP/4R1K1 w - -,g4d1
6k1/p1B1bp1p/2B1p1p1/2n5/8/P6P/1P3PP1/6K1 b - -,c5a6
r1b2nk1/p4ppp/1p2pn1q/8/2NP1P2/2PB3P/P1Q3P1/R4RK1 w - -,c4e5
8/3k1pp1/1pnbp2p/3p4/3P4/2PNN3/1P3PPP/5K2 w - -,f2f4
2r2rk1/2q2pb1/p3p2p/1p3Q2/2n2P2/2PN1B2/PP3RPP/4R1K1 w - -,f5g4
rnbqk2r/pppnbppp/4p3/4P3/2p5/1P3N2/PB1P1PPP/RN1QKB1R w KQkq -,b3c4
rn1q1rk1/pbp2ppp/1p2pb2/8/3P4/2PBBN2/PP3PPP/R2QK2R w KQ -,d1c2
3r1r1k/1b2qpb1/p5pp/1pp5/4P3/1QP2RNP/PP1N2P1/3R2K1 w - c6,b3c2
r1br4/pp2pp2/5kpp/5n2/8/1BP2N1P/PP3PP1/3RR1K1 b - -,d8d1
r2qk2r/ppp1bppp/2npb3/8/8/2P1BN2/PPPQ1PPP/2KR1B1R b kq -,e7f6:c6e5:d8d7:a7a6
5k1r/2pq1pb1/rp1p1np1/1N1Pp1Nn/p1P1P2P/P3BP2/1P3Q1R/1KR5 w - -,c1g1
r4rk1/1p2qpp1/p1npbn1p/4p3/4P3/2NBB3/PPP2PPP/R2QK2R w KQ -,h2h3
6k1/5p2/2N2b1p/5P2/2R5/1r6/4rPKP/5R2 w - -,f1d1
8/3B4/3b4/6k1/1p2Kp2/6p1/2P5/4N3 b - -,g5f6
r1q2rk1/pbpn3p/1p1ppbp1/5p2/2PPP3/2PB1N1P/P3QPPB/3RK2R w K -,e1g1
8/6k1/2p3p1/3p1p2/1q1P3P/rrp1P1P1/2Q1RK2/2R5 w - -,c2d3
r2qkb1r/pp1npppp/2p5/3p3n/3P4/3QPNB1/PPP2PPP/RN2K2R w KQkq -,b1d2
3r2k1/pp2bppp/4p3/1b2P3/P4B2/1P3q2/5PPP/1R1B2K1 w - -,d1f3
8/p6p/5k2/r3n1p1/2p3P1/3bRPK1/P5B1/4R3 w - -,f3f4
r1bqr1k1/3nBp1p/2p1p1p1/p1N5/3P4/PP1Q4/2B2PPP/R3R1K1 b - -,d8e7
1R6/4r3/4k3/8/4P3/4K3/8/8 b - -,e7a7
r1br1bk1/1pp1qn1p/p4n1P/3Pp1p1/4PP2/1PN2P1N/P4B2/1KQR1B1R b - -,g5f4
1r2k2r/p1p2ppp/2bp1bn1/2p5/2N1P3/1PP1BP2/P1K2P1P/3R1B1R w k -,h1g1
r1k3r1/2p2p1p/p1p2Bp1/8/Np2PPb1/8/PPPb2PP/1K2RR2 w - -,h2h3
r2q1rk1/1pp3bp/4p1p1/p3P3/1n1PQ3/2N2N2/PP3PP1/R4K1R w - -,e4g4
q3r1k1/1p2pp2/2bp1bpB/7p/3N2PP/5P2/1PPQ4/rNKR3R w - -,d2d3
r1bq1rk1/ppp2ppp/nB2pb2/3P4/2P5/P1N2N2/1P2BPPP/R2Q1RK1 b - -,a7b6
7r/pRrk3p/4p1p1/3p1p2/3P4/4PP2/P5PP/R5K1 w - -,a1b1
r1bq1rk1/1pp2p1p/6pQ/p1pP4/2PbN3/7P/PP2BPP1/R3K2R b KQ -,d8e7
r3rbk1/qpp2p2/2n1bnpp/p3p3/4P3/BPP2NP1/P1Q2PBP/3RRNK1 w - -,a3f8
4N3/1p2n1p1/2k4p/4Pp2/PB1P3P/1b1K2P1/8/8 w - -,b4e7
4r1k1/2qr1pbp/4b1p1/p2p4/P1pNP3/2P1BQ2/1P1R2PP/R5K1 w - -,e4d5
8/p5p1/2b1kp1p/Pp6/1Pp2p2/2K3P1/2B4P/8 w - -,g3f4
r4rk1/pbq1bp1p/1pn1p1p1/4P3/4Q3/2PB1N2/P4PPP/R1B1R1K1 w - -,e4g4
rnbqrbk1/pp3ppp/4pn2/3P4/3P4/P1N3N1/1P2BPPP/R1BQK2R b KQ -,f6d5
r4k2/2pn2p1/P4p1p/3Pp3/4P3/1N5P/4K1P1/R7 b - -,f8e7
r5k1/1bp2pp1/p4n1p/P1q1p3/1p2P3/1B3P1P/1PPrQ1P1/R1B1R1K1 w - -,e2e3
r1bq1rk1/ppbn1ppp/8/3np3/8/PB2P1N1/1P3PPP/R1BQ1RK1 w - -,b3d5
3r1rk1/pp1n1ppp/2p5/q1P2R2/3BnQP1/P1P4P/4B3/R5K1 b - -,e4c3
r2qkb1r/p2n1ppp/np2p3/2ppP3/3P4/2P1BP2/PP2N1PP/RN1Q1RK1 b kq -,f8e7
r1bq1rk1/3nbppp/ppp1pn2/3p2B1/P1PP4/1QNBPN2/1P3PPP/R4RK1 b - -,c8b7
rnbq1rk1/3p2bp/p3pnp1/1Pp5/4P3/N4P2/PP2N1PP/R1BQKB1R w KQ -,d1d6
rn3rk1/ppq1bppp/2p1pn2/8/3P4/5BPP/PPP1NP2/R1BQ1RK1 w - -,c2c4
r1b5/3n1pkp/1qp1p1p1/p2nP3/1ppPN3/2P3P1/P2Q1PBP/R3R1K1 w - -,a2a3
2r2b2/3k2pp/5p2/R2r4/8/P3BP2/KP3P2/8 w - -,a5d5
1r3rk1/3n1ppp/p2p1n2/1pqP4/2PR4/1P3NP1/P1Q2PBP/4R1K1 b - -,f8e8
2r5/5pk1/pp4p1/2p4p/6P1/1P1P1P2/P1P2K2/7R w - -,g4h5
8/6k1/6p1/p2p1r1p/nP1RpN1P/6P1/2r2P2/3R2K1 w - -,b4a5
5rk1/4bppp/2P5/q2pp3/Pp6/8/1PP2PPP/R2Q1RK1 b - -,e7f6
5k2/2b2ppp/p6r/1p1p1P2/3Pb2P/2P1N1P1/PP1B1K2/4R3 b - h3,g7g5
rq1r3k/1p3pbp/2bp2p1/p1n1p3/2P1P3/1PN1BP2/P1R1B1PP/3RQ1K1 b - -,c5e6
r1b2rk1/2p3pp/p7/1ppq1p2/3P4/7P/PPN2PP1/R2QR1K1 b - -,c5d4
2brrbk1/2q2p2/1ppp1np1/p1n5/2P1P1P1/1PN1BP2/P2RNQB1/3R2K1 w - -,e3g5
n1r1r3/6kp/6pN/pPBpN3/3P4/1PP5/4pKPP/4R3 w - -,h6f7
8/2r2k2/R6p/1p1n1p2/5P2/2p1PP1P/P3K3/1R6 w - -,a6h6
r7/2p2p2/P2p3p/3Pk1p1/4PbP1/3K4/R7/3B4 b - -,a8a7
r1b1k2r/4bppp/p7/4q3/1p2p3/1P2B1N1/1PP1Q1PP/R4RK1 w kq -,f1f4
1rb2rk1/pp1n1q2/2p4n/1PbP1p2/P1N2N1P/7P/1BQ3B1/R4R1K b - -,c6b5
r2q1rk1/pb1n1ppp/2pbpn2/1p6/3P4/P1N1PN2/1PQ1BPPP/R1B2RK1 b - -,d8c7
r1bq1rk1/ppp1bppp/5n2/3Pp3/8/2NB4/PPP2PPP/R1BQ1RK1 w - -,f1e1
r4rk1/pq1n1ppp/b1p3n1/R2p4/1P1PpP2/P3P1P1/1B4BP/3QNRK1 b - f3,a6f1
r2q1rk1/1p1n1pbp/p1p1p1p1/n7/P1pPPP2/2N1BB1P/1P4P1/R2Q1RK1 w - -,d1e1
r2Q1rk1/1b3ppp/p3p3/1pb5/4n3/4PN2/PP1BBPPP/R2R2K1 b - -,f8d8
1q4k1/4ppb1/2N3pp/Q2P4/2p1n1b1/8/1rBB1PPP/2R3K1 b - -,c4c3
2r1qrk1/p2bppbp/n2p1np1/1PpP2B1/4P1P1/2N2N1P/PP1Q1PB1/R3K2R b KQ -,d7b5
8/2R5/5k2/3b1p1B/5P1P/3r2P1/8/4K3 b - -,d3g3
2r3k1/p2n1ppp/1p2p3/4n3/1P2P3/P3NP2/1B2K1PP/7R b - -,g8f8
1r1r2k1/1p4pp/pn3p2/4p3/8/P3PN2/1PR2PPP/2R3K1 b - -,b8c8
8/1p3pkp/6p1/p7/P7/2n4P/3R2PK/2rB4 w - -,d1c2
8/8/4rk1p/6p1/pR6/5K2/1P6/8 b - -,e6a6
6k1/5pp1/1r2pn1p/1p1p3P/p1rR2P1/P1P1RPq1/1P2Q3/KB6 w - -,d4c4
2kr1b1r/p1p2ppp/4pn2/3p2B1/2Pn4/2NP2P1/PP2PPBP/R4RK1 b - -,d5c4
1qr1r2k/1p4pp/pn2pn2/1Nb3B1/4P3/PB6/1P2Q1PP/3R1R1K w - -,e4e5
8/2k4p/1p6/3p4/P2N1n2/1P3P2/3K4/8 w - -,d2e3
r3kb1r/2qn1pp1/1p1p1n2/p2Pp2p/2P5/1N2BP2/PP1Q2PP/2R1KB1R w Kkq -,f1e2
4r1k1/Qp2qp1p/6p1/3p4/3R4/1P2P1P1/P4K1P/3R4 b - -,e7e3
8/4R3/5p2/3k2p1/6P1/1r3PKP/8/8 b - -,b3a3
4r3/5k2/p5p1/1pp5/8/PP1bP2P/3K2P1/2R5 b - -,c5c4
8/6kp/p4pp1/8/1P1Q4/3p3P/5PK1/2q5 b - -,c1c6
2r2rk1/pp1qbppp/2bp4/3Bp3/4P3/2P1B3/PP3PPP/R2QR1K1 b - -,b7b6
8/8/r5B1/7p/5NkP/6P1/1K6/8 b - -,g4g3
r1bq1rk1/pp3pbp/2pp1np1/2n5/2PNP3/2N1B3/PP2BPPP/R2QR1K1 w - -,f2f3
2r3k1/p3rqp1/2B1p1n1/1P2P3/5P1p/6P1/P2Q2K1/2RR4 b - -,h4g3
r7/1R5p/4pkp1/2Np4/P1nPp3/4P2P/5PP1/6K1 b - a3,h7h6
r3r3/1bp2p1k/1p1p1Bp1/p2P2Qp/1qP1P2R/5N1P/P5P1/R5K1 b - -,b4c5
r4k1r/p1q1npp1/n3p3/2ppP2p/2P3Q1/P4N2/2PB1PPP/R3K2R w KQ h6,g4f4
8/4n3/5k2/3K1Pp1/4P3/8/4B3/8 w - -,d5d6
6k1/2qnppbp/1n1p2p1/1P1P4/2p1P3/r3B2P/4BPP1/2RQ1NK1 w - -,e3d4
5rk1/B3pp1p/5bp1/3R4/8/6P1/n3PP1P/5BK1 w - -,d5b5
r1b2rk1/1q2bppp/p2ppn2/4n3/Np1NP3/1B2BPQ1/PPP3PP/2RR2K1 b - -,c8d7
5q2/pppnrrkp/3pRpp1/2nP2P1/b1PQ1PBP/8/PBPN4/2R3K1 b - -,h7h5
r3r1k1/p1qnbppp/2n1p1b1/1pp1P3/3p2P1/1BPP1N1P/PP2QP2/R1B1RNK1 w - b6,c1f4
8/4r3/1p1p1k1p/3P4/PpB5/1P6/2P5/6K1 w - -,g1f2
r2k3r/pb1nQ1p1/1p1p1bBp/8/3P1P2/5NP1/PP1N3P/R3K2R b KQ -,f6e7
3rr2k/2qn2bp/1nB3p1/1P2pp2/p1N2P2/R7/1PQ3PP/2B2R1K b - -,b6c4
r1b1kb1r/pp3ppp/1qnppn2/8/4P3/1NN5/PPPBQPPP/R3KB1R b KQkq -,a7a6
2rq1rk1/1p1bbppp/p2ppn2/8/2Pn4/1PN3P1/PB2PPBP/2RQ1RK1 w - -,d1d4
1r4k1/R7/3R3p/6p1/2r1p1P1/4P2P/5PK1/8 b - -,b8e8
r1b1k2r/pp3p2/2n2n1p/q1Pp2p1/1b6/2N3B1/PPQ1PPPP/1K1R1BNR b kq -,b4c3
rnbqk2r/pp1pbppp/4pn2/2p5/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,h2h3
3r1rk1/pbq1bppp/2p2n2/2N1n3/1pN1P3/1P2BP2/P1Q3PP/R3KB1R b KQ -,b7c8
1k6/8/2K5/8/5b2/8/3R4/8 w - -,d2e2
r4rk1/1p1n1pbp/2pp1np1/p3pq2/2PP4/4NPP1/PP1B1PBP/R1Q1R1K1 b - -,f5e6
8/3K4/1k6/2R5/1P6/r1P5/8/8 b - -,a3a1
r4nk1/pp3pp1/2p1b3/q3P1b1/3pN3/3BP3/PPQ2P2/2KR3R b - -,g5h6
r1bqkb1r/pp3p1p/2np1np1/2p1p3/2B1P3/1PN5/PBPPNPPP/R2Q1RK1 b kq -,f8g7
8/1bBkb1pp/2p1pp2/8/P2P1P2/7B/5P1P/6K1 w - -,c7b6
rn1qkbnr/pb1p1ppp/1p2p3/2p5/2P5/2N1PN2/PP1PBPPP/R1BQK2R b KQkq -,g8f6
2kr3r/pp2nn1p/1q3p2/3p1R2/2pP2P1/P1P4P/P3B3/R1BQ2K1 w - -,f5f2
r2qr1k1/1p1b1ppp/2pp1n2/p1n5/2PNP3/1PQ3P1/P2N1PBP/R3R1K1 w - -,h2h3
3q1rk1/p2b1pb1/1n3pQ1/1Nr4p/5p1P/1BN5/PPP3P1/2KR3R w - -,b5d6
8/4kp2/P1q4b/3pr3/1p2p1Q1/1P4P1/4RPKP/R7 b - -,e5g5
r2b2k1/ppq2ppp/4p3/8/Q1n1N3/2P1B2P/PP3PP1/R5K1 w - -,a4e8
5rk1/1b2b1pp/2n1p3/1pp1Pp2/3p1P2/1P1P1NQ1/q1PB2PP/1NR3K1 b - -,c5c4
r3k2r/pp1b4/1n2qp2/2Q3p1/7p/P1P1P1B1/5PPP/2R1KB1R w Kkq -,g3c7
5rk1/5ppp/pp3n2/1q6/8/5B1P/PPQ2PP1/3R2K1 w - -,f3c6
8/8/1p6/1Pb3p1/5r1p/1k5P/4B1K1/5R2 b - -,f4e4
1rbqr2k/1p1n2bp/p2P1pp1/2p1P1B1/P1Bn4/2N2N2/1P4PP/R2QR2K w - -,e5f6
1r3rk1/1b2nppp/pp2pn2/3p4/2P1P3/1PN2NP1/P4PBP/R2R2K1 w - -,c4d5
3rk2r/1p2bpp1/p1b4p/N3p3/2P3P1/2B2P1P/qP2Q3/2KR3R b k -,e7g5
r1r4k/p2R1Q1p/1pP3p1/1P2p3/1P2n3/2q2NP1/4BP1P/6K1 b - -,c3c1
r1bq1rk1/bp3pp1/p1n2n1p/3p4/1P6/P1N1PN2/1B2BPPP/R2Q1RK1 b - -,d5d4
2rr2k1/ppq2ppp/2pbpn2/8/2PP4/5QPP/PP3PB1/R1BR2K1 b - -,e6e5
r4rk1/1npb1pp1/p2b2qp/1p1P4/3NN3/1P4P1/P4PBP/2RQ1RK1 w - -,f2f4
2r3k1/5ppp/5n2/bpr1p3/4P3/pKPP1BPP/P7/B1RR4 b - -,b5b4
r1bqnrk1/pp3pp1/2npp2p/1N6/3PB1P1/Q6P/P1P1NP2/1R3RK1 b - -,d6d5
2R5/8/8/5pkp/8/6P1/6K1/4r3 b - -,e1e6
r2qr1k1/1ppb1pp1/1pnp1n1p/4p3/2P1P3/1P1P1NPP/PB3PB1/R2Q1RK1 b - e3,f6h7
r1bq1rk1/pp2bppp/2np1n2/2p1p3/2B1P3/2NP1NP1/PPP2P1P/R1BQ1RK1 w - -,f3h4
8/3k3p/R5p1/1N1p4/n1r5/P1p3PP/P1K2P2/8 b - -,d7e7
rnbq1rk1/pp3pb1/3p1npp/2pP4/4P2B/2N2N2/PP3PPP/R2QKB1R w KQ -,f3d2
r7/3k3p/8/P1R5/2b2B2/P2p2P1/3K4/8 w - -,c5c4
r3k2r/1p1qbp2/p3p2p/P2pP1P1/1PnP1B2/1R1Q2P1/3N1P2/2R3K1 b kq -,h6g5
r1b3k1/2p2ppp/2pp3r/p1b5/2P2N1q/1P2P2P/PB3PP1/R2Q1RK1 w - -,d1f3
2r1k1nr/1pqbbp2/p2p3p/4p1p1/P3P3/1P1B4/2P1QPPP/R1B1NRK1 b k -,c7c3
r5k1/1p3p2/pbppb3/6B1/1PPpP2q/P2P2PP/6B1/5RK1 w - -,g5h4
8/r6p/1p6/1p2k3/1Pp5/7R/2BK2PP/8 w - -,h3h7
r2q1rk1/pp2ppb1/2n1b1pp/3n2B1/3P4/2N2N2/PP2BPPP/2RQ1RK1 w - -,g5e3
2r3k1/p2n1p1p/6pb/2pq4/3p4/BP1QrNP1/P1R2P1P/3R2K1 w - -,f2e3
5k2/p5p1/1pb2r1p/3B4/2PP4/P7/6PP/4R1K1 w - -,d5e6
2kr3r/pp2bp2/4b3/q1ppP2p/6pP/P1P1B1Q1/1PP1N1P1/2KR3R w - -,e2f4
1r1r3k/5qpp/p1p1b1n1/1P3p2/N4P2/1P4P1/PQ4BP/3R1R1K b - -,a6b5
8/3b1k1p/p1p3p1/1pBP1n2/8/5B2/PP4P1/6K1 b - -,c6d5
3rr1k1/5p1p/p1p5/1pb1P3/4ppN1/2P5/PP3P2/R4RK1 w - -,g4f6
q5k1/1b1nbppp/p3p3/3p4/Pp1P4/1Pr2NP1/2RBPPBP/3Q2K1 b - -,c3c2
r1bqkb1r/pp3ppp/2n1pn2/2pp4/4PP2/2NP1NP1/PPP4P/R1BQKB1R b KQkq -,d5e4:f8e7
r1bqkb1r/p1pp1p1p/5np1/8/2PpP3/8/PP3PPP/RNBQK1NR b KQkq -,c7c5
1r6/2R3p1/4k2n/5p2/1P1b1P1p/1R2BP1P/8/7K b - -,e6d6
r2qkb1r/p1pn1ppp/1p2pn2/3p4/3P1P2/6P1/PPP2PBP/RNBQ1RK1 w kq -,f1e1
r4rk1/p1p3p1/1p2p2p/2Pp1q2/2nP1PP1/2P5/4Q2P/2B1RRK1 b - -,f5g6
1br2r1k/1p3ppp/p3p3/3pQP2/8/1PP4P/P3N1P1/3R1RK1 b - -,b8e5
2r3k1/pp3ppp/3prb2/8/8/2NRP3/PPP3PP/R5K1 b - -,g8f8
8/6k1/8/4ppP1/8/6P1/5rN1/6K1 b - -,f2g2
5rk1/5p2/p1r1p2p/P3Q1qP/2pP1p2/2P5/5PP1/1R2R1K1 b - -,f8d8
8/p3p3/3p1kb1/p2Pq1p1/8/P1N2PP1/1P1Q1K2/8 w - -,c3d1
6r1/8/1pp1bk2/7R/2P2p1P/1P3P2/P3K1P1/8 w - -,e2f2
3q1rk1/3bbppp/1n2pn2/r2pN3/8/PQN1P3/1B2BPPP/R3K2R w KQ -,e1g1
5r1k/1pq3bp/p2pn2r/3B1p2/2P2P2/1P5P/P2Q1B1K/4R1R1 b - -,e6c5
4r1k1/ppN2pp1/4q1bp/1BP3n1/1P1Q1BP1/7P/P7/6K1 w - -,c7e6
1q1rr1k1/3Nnpb1/p3b1pp/1p1p4/1P1P2P1/P3B2P/4NPB1/1Q1RR1K1 b - -,e6d7
r1bqn1k1/pp3rbp/4p3/3p1pp1/P2Pn3/BPNNP1P1/1Q3PBP/R4RK1 b - -,e4c3
r1bqrbk1/1p3ppp/p1n1pn2/8/2Pp4/PP1P1NP1/1B1N1PBP/R2QR1K1 b - -,e6e5
8/1r2p1kp/2BnP1p1/2BP1p2/8/3R2P1/1b3P1P/6K1 b - -,b7c7
2b1q1k1/2Q3pp/8/1p1PpP2/2p1P3/8/6PP/5RK1 w - -,f1a1
2r5/1r1k1p2/p1pP2p1/2Pp1p1p/PP3P2/4K1PP/2R5/1R6 w - -,e3d3
8/3k1np1/3p3p/1p1N1PP1/1P2PK2/8/8/8 w - -,g5h6
